#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
84764at50557_13686_0:002310|STRG.13516.1:140-1153|+    -            338 84764at50557         -            287    5e-160  530.2   4.0   1   1  2.9e-160  4.7e-159  527.0   4.0     1   286     7   324     7   325 0.93 -
84764at50557_91411_0:001d03|STRG.16617.2:217-1095|+    -            293 84764at50557         -            287   4.8e-48  162.7   0.0   1   1   3.6e-49   5.7e-48  162.4   0.0     1   257     1   265     1   285 0.83 -
84764at50557_319348_0:00198b|STRG.16617.1:214-1098|+   -            295 84764at50557         -            287   3.6e-47  159.8   0.0   1   1   2.6e-48   4.2e-47  159.6   0.0     1   257     2   266     2   287 0.82 -
63395at50557_219809_0:002247|STRG.15629.2:195-1427|+   -            411 84764at50557         -            287   5.3e-47  159.3   0.2   1   1     9e-48   1.4e-46  157.9   0.1    41   226    25   238    13   243 0.83 -
84764at50557_7493_0:00284f|STRG.14209.2:675-1190|+     -            172 84764at50557         -            287   8.1e-47  158.7   0.0   1   1   5.9e-48   9.3e-47  158.5   0.0    97   251     2   166     1   171 0.88 -
84764at50557_29031_0:002a8c|STRG.9404.1:1978-2943|+    -            322 84764at50557         -            287   1.5e-46  157.8   0.0   1   1   1.2e-47   1.9e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_29031_0:002a8c|STRG.9404.2:1999-2964|+    -            322 84764at50557         -            287   1.5e-46  157.8   0.0   1   1   1.2e-47   1.9e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_29031_0:002a8c|STRG.9404.3:909-1874|+     -            322 84764at50557         -            287   1.5e-46  157.8   0.0   1   1   1.2e-47   1.9e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_29031_0:002a8c|STRG.9404.4:479-1444|+     -            322 84764at50557         -            287   1.5e-46  157.8   0.0   1   1   1.2e-47   1.9e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_91411_0:001d03|STRG.16617.4:521-1354|+    -            278 84764at50557         -            287   1.5e-46  157.8   0.1   1   1   1.2e-47   1.9e-46  157.4   0.1    41   257    26   250     4   270 0.82 -
84764at50557_91411_0:001d03|STRG.16617.3:141-965|+     -            275 84764at50557         -            287   1.6e-46  157.7   0.1   1   1   1.2e-47   1.9e-46  157.4   0.1    42   257    24   247     3   268 0.82 -
84764at50557_104688_0:0005e9|STRG.9404.5:930-1856|+    -            309 84764at50557         -            287   7.8e-45  152.2   0.1   1   1   7.3e-45   1.2e-43  148.3   0.1     3   248     2   267     1   290 0.78 -
84764at50557_91411_0:001d03|STRG.797.1:6-881|+         -            292 84764at50557         -            287   3.4e-44  150.0   0.0   1   1   2.5e-45     4e-44  149.8   0.0    42   222    44   231     8   271 0.87 -
84764at50557_326594_0:0017ea|STRG.7912.4:389-967|+     -            193 84764at50557         -            287     1e-43  148.5   0.0   1   1   7.3e-45   1.2e-43  148.3   0.0   110   262     9   165     1   180 0.88 -
84764at50557_29029_0:001026|STRG.3071.1:532-1473|+     -            314 84764at50557         -            287   3.5e-42  143.4   0.0   1   1   2.8e-43   4.4e-42  143.1   0.0     1   244     1   251     1   255 0.84 -
84764at50557_29029_0:001026|STRG.3071.5:304-1245|+     -            314 84764at50557         -            287   3.5e-42  143.4   0.0   1   1   2.8e-43   4.4e-42  143.1   0.0     1   244     1   251     1   255 0.84 -
84764at50557_29029_0:001026|STRG.3071.2:801-1745|+     -            315 84764at50557         -            287   3.3e-41  140.2   0.0   1   1   2.6e-42   4.1e-41  139.9   0.0    11   244    12   252     2   256 0.79 -
84764at50557_29029_0:001026|STRG.3071.3:775-1719|+     -            315 84764at50557         -            287   3.3e-41  140.2   0.0   1   1   2.6e-42   4.1e-41  139.9   0.0    11   244    12   252     2   256 0.79 -
84764at50557_224129_0:000e1f|STRG.14319.1:1051-1725|+  -            225 84764at50557         -            287   4.7e-33  113.5   0.0   1   1   3.3e-34   5.3e-33  113.3   0.0     1   219     1   225     1   225 0.83 -
84764at50557_224129_0:000e1f|STRG.14319.2:2131-2805|+  -            225 84764at50557         -            287   4.7e-33  113.5   0.0   1   1   3.3e-34   5.3e-33  113.3   0.0     1   219     1   225     1   225 0.83 -
84764at50557_224129_0:000e1f|STRG.14319.3:572-1246|+   -            225 84764at50557         -            287   4.7e-33  113.5   0.0   1   1   3.3e-34   5.3e-33  113.3   0.0     1   219     1   225     1   225 0.83 -
84764at50557_224129_0:000e1f|STRG.14319.4:721-1395|+   -            225 84764at50557         -            287   4.7e-33  113.5   0.0   1   1   3.3e-34   5.3e-33  113.3   0.0     1   219     1   225     1   225 0.83 -
84764at50557_224129_0:000e1f|STRG.14319.5:3020-3694|+  -            225 84764at50557         -            287   4.7e-33  113.5   0.0   1   1   3.3e-34   5.3e-33  113.3   0.0     1   219     1   225     1   225 0.83 -
84764at50557_123851_0:00190f|STRG.8264.1:621-1478|+    -            286 84764at50557         -            287   8.5e-32  109.4   0.3   1   1   6.7e-33   1.1e-31  109.0   0.3     2   221     1   216     1   235 0.84 -
84764at50557_123851_0:00190f|STRG.8264.2:316-1173|+    -            286 84764at50557         -            287   8.5e-32  109.4   0.3   1   1   6.7e-33   1.1e-31  109.0   0.3     2   221     1   216     1   235 0.84 -
84764at50557_7159_0:002468|STRG.6388.1:93-647|+        -            185 84764at50557         -            287   1.3e-31  108.7   0.0   1   1   9.3e-33   1.5e-31  108.6   0.0     1   183     3   185     3   185 0.90 -
57980at50557_7220_0:000304|STRG.11707.1:144-998|+      -            285 84764at50557         -            287   1.9e-30  105.0   0.0   1   1   1.4e-31   2.3e-30  104.7   0.0     1   203     1   203     1   222 0.84 -
57980at50557_7220_0:000304|STRG.11707.5:453-1307|+     -            285 84764at50557         -            287   1.9e-30  105.0   0.0   1   1   1.4e-31   2.3e-30  104.7   0.0     1   203     1   203     1   222 0.84 -
84764at50557_54969_0:0028ad|STRG.9699.1:844-1536|+     -            231 84764at50557         -            287   2.2e-30  104.7   0.0   1   1   1.6e-31   2.5e-30  104.5   0.0     1   220     5   230     5   231 0.83 -
84764at50557_54969_0:0028ad|STRG.9699.2:844-1536|+     -            231 84764at50557         -            287   2.2e-30  104.7   0.0   1   1   1.6e-31   2.5e-30  104.5   0.0     1   220     5   230     5   231 0.83 -
84764at50557_54969_0:0028ad|STRG.9699.3:832-1524|+     -            231 84764at50557         -            287   2.2e-30  104.7   0.0   1   1   1.6e-31   2.5e-30  104.5   0.0     1   220     5   230     5   231 0.83 -
57980at50557_37344_0:0015f6|STRG.13873.2:1984-2787|+   -            268 84764at50557         -            287   1.5e-29  102.0   0.0   1   1   1.1e-30   1.8e-29  101.7   0.0     2   196    17   211    16   228 0.90 -
57980at50557_37344_0:0015f6|STRG.13873.1:270-1022|+    -            251 84764at50557         -            287   7.5e-27   93.1   0.0   1   1   5.6e-28   8.9e-27   92.9   0.0     9   197     7   195     1   211 0.89 -
57980at50557_133901_0:001b12|STRG.13260.3:199-963|+    -            255 84764at50557         -            287   1.1e-26   92.6   0.0   1   1   8.2e-28   1.3e-26   92.3   0.0     8   193     3   191     1   210 0.84 -
84764at50557_74869_0:002aa7|STRG.3036.1:275-667|+      -            131 84764at50557         -            287   2.1e-26   91.7   0.0   1   1   1.7e-27   2.8e-26   91.3   0.0    82   199     1   128     1   131 0.82 -
84764at50557_74869_0:002aa7|STRG.3036.2:199-591|+      -            131 84764at50557         -            287   2.1e-26   91.7   0.0   1   1   1.7e-27   2.8e-26   91.3   0.0    82   199     1   128     1   131 0.82 -
84764at50557_7539_0:000ea4|STRG.7995.1:2194-3153|+     -            320 84764at50557         -            287   4.1e-26   90.7   0.1   1   1   3.3e-27   5.2e-26   90.4   0.1     2   211     2   216     1   231 0.82 -
84764at50557_7539_0:000ea4|STRG.7995.2:2194-3153|+     -            320 84764at50557         -            287   4.1e-26   90.7   0.1   1   1   3.3e-27   5.2e-26   90.4   0.1     2   211     2   216     1   231 0.82 -
84764at50557_7539_0:000ea4|STRG.7995.3:2194-3153|+     -            320 84764at50557         -            287   4.1e-26   90.7   0.1   1   1   3.3e-27   5.2e-26   90.4   0.1     2   211     2   216     1   231 0.82 -
57980at50557_110193_0:0003c9|STRG.5289.1:450-1280|+    -            277 84764at50557         -            287   5.4e-26   90.3   0.0   1   1     4e-27   6.4e-26   90.1   0.0     2   219    23   243    22   273 0.84 -
57980at50557_110193_0:0003c9|STRG.5289.2:369-1199|+    -            277 84764at50557         -            287   5.4e-26   90.3   0.0   1   1     4e-27   6.4e-26   90.1   0.0     2   219    23   243    22   273 0.84 -
57980at50557_110193_0:0003c9|STRG.5289.3:356-1186|+    -            277 84764at50557         -            287   5.4e-26   90.3   0.0   1   1     4e-27   6.4e-26   90.1   0.0     2   219    23   243    22   273 0.84 -
58206at50557_103372_0:002486|STRG.14224.1:534-1778|+   -            415 84764at50557         -            287   2.5e-24   84.9   0.0   1   1     2e-25   3.2e-24   84.5   0.0     2   195    85   277    84   294 0.83 -
57980at50557_286706_0:000fec|STRG.6760.2:356-1180|+    -            275 84764at50557         -            287   4.3e-24   84.1   0.1   1   1   3.2e-25   5.1e-24   83.8   0.1     6   232    27   254    22   271 0.82 -
57980at50557_286706_0:000fec|STRG.6665.3:1710-2444|+   -            245 84764at50557         -            287   5.1e-24   83.8   0.0   1   1   4.4e-25   7.1e-24   83.4   0.0     1   192     1   193     1   208 0.92 -
57980at50557_286706_0:000fec|STRG.6665.1:1710-2609|+   -            300 84764at50557         -            287     7e-24   83.4   0.0   1   1   6.4e-25     1e-23   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.6665.4:230-1129|+    -            300 84764at50557         -            287     7e-24   83.4   0.0   1   1   6.4e-25     1e-23   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.6665.7:1754-2653|+   -            300 84764at50557         -            287     7e-24   83.4   0.0   1   1   6.4e-25     1e-23   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.6665.8:1075-1974|+   -            300 84764at50557         -            287     7e-24   83.4   0.0   1   1   6.4e-25     1e-23   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.6665.10:1708-2619|+  -            304 84764at50557         -            287   7.5e-24   83.3   0.0   1   1   6.6e-25   1.1e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.6665.11:1708-2619|+  -            304 84764at50557         -            287   7.5e-24   83.3   0.0   1   1   6.6e-25   1.1e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.6665.12:1710-2621|+  -            304 84764at50557         -            287   7.5e-24   83.3   0.0   1   1   6.6e-25   1.1e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.6665.5:2321-3232|+   -            304 84764at50557         -            287   7.5e-24   83.3   0.0   1   1   6.6e-25   1.1e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.6665.6:1445-2356|+   -            304 84764at50557         -            287   7.5e-24   83.3   0.0   1   1   6.6e-25   1.1e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.6665.2:1710-2624|+   -            305 84764at50557         -            287   9.9e-24   82.9   0.0   1   1     9e-25   1.4e-23   82.4   0.0     1   192     1   193     1   208 0.92 -
84269at50557_7159_0:0033d6|STRG.2579.1:113-967|+       -            285 84764at50557         -            287   2.7e-23   81.4   0.0   1   1   2.1e-24   3.3e-23   81.2   0.0     6   198     7   202     2   229 0.83 -
84764at50557_37344_0:000c86|STRG.13230.1:318-1289|+    -            324 84764at50557         -            287   4.2e-23   80.8   2.8   1   1   2.7e-23   4.3e-22   77.5   2.8     1   224     1   217     1   243 0.74 -
57980at50557_456900_0:001387|STRG.6891.3:184-1281|+    -            351 84764at50557         -            287   5.1e-23   80.6   0.1   1   1   4.9e-24   7.7e-23   80.0   0.1     1   225    22   257    22   303 0.80 -
47at50557_2015173_0:000a26|STRG.3214.4:0-8471|+        -           2824 84764at50557         -            287   5.4e-23   80.5   0.1   1   2   1.2e-14   1.9e-13   49.2   0.0    48   227  1832  2012  1801  2029 0.86 -
47at50557_2015173_0:000a26|STRG.3214.4:0-8471|+        -           2824 84764at50557         -            287   5.4e-23   80.5   0.1   2   2   1.7e-08   2.7e-07   28.9   0.0     1   200  2501  2702  2501  2723 0.71 -
57980at50557_456900_0:001387|STRG.6891.1:184-1179|+    -            332 84764at50557         -            287   6.3e-23   80.2   0.0   1   1   5.1e-24   8.1e-23   79.9   0.0     1   224    22   256    22   266 0.79 -
57980at50557_456900_0:001387|STRG.6891.2:184-1365|+    -            379 84764at50557         -            287   6.5e-23   80.2   0.0   1   1   7.6e-24   1.2e-22   79.3   0.0     1   224    22   256    22   266 0.78 -
47at50557_34720_0:00180d|STRG.3214.1:0-9530|+          -           3177 84764at50557         -            287   7.3e-23   80.0   0.1   1   2   1.4e-14   2.2e-13   49.0   0.0    48   227  2185  2365  2154  2382 0.86 -
47at50557_34720_0:00180d|STRG.3214.1:0-9530|+          -           3177 84764at50557         -            287   7.3e-23   80.0   0.1   2   2     2e-08   3.2e-07   28.7   0.0     1   200  2854  3055  2854  3076 0.71 -
57980at50557_7070_0:001946|STRG.9917.1:1926-2708|+     -            261 84764at50557         -            287   7.5e-23   80.0   0.1   1   1   5.7e-24   9.1e-23   79.7   0.1     6   206     3   207     2   246 0.78 -
57980at50557_7070_0:001946|STRG.9917.2:1746-2528|+     -            261 84764at50557         -            287   7.5e-23   80.0   0.1   1   1   5.7e-24   9.1e-23   79.7   0.1     6   206     3   207     2   246 0.78 -
47at50557_34720_0:00180d|STRG.3214.2:162-11867|+       -           3902 84764at50557         -            287   1.2e-22   79.3   0.2   1   2   1.8e-14   2.8e-13   48.6   0.0    48   227  2910  3090  2880  3107 0.86 -
47at50557_34720_0:00180d|STRG.3214.2:162-11867|+       -           3902 84764at50557         -            287   1.2e-22   79.3   0.2   2   2   2.5e-08     4e-07   28.4   0.0     1   200  3579  3780  3579  3800 0.71 -
47at50557_34720_0:00180d|STRG.3214.3:382-12869|+       -           4139 84764at50557         -            287   1.4e-22   79.1   0.2   1   2   1.9e-14     3e-13   48.5   0.0    48   227  3147  3327  3117  3344 0.86 -
47at50557_34720_0:00180d|STRG.3214.3:382-12869|+       -           4139 84764at50557         -            287   1.4e-22   79.1   0.2   2   2   2.7e-08   4.3e-07   28.3   0.0     1   200  3816  4017  3816  4037 0.71 -
57980at50557_104421_0:00216f|STRG.6760.1:317-1072|+    -            252 84764at50557         -            287   1.4e-22   79.1   0.0   1   1     1e-23   1.6e-22   78.9   0.0    11   228     2   220     1   240 0.83 -
63962at50557_7539_0:002c1b|STRG.6028.4:236-1006|+      -            257 84764at50557         -            287   1.8e-22   78.8   0.0   1   1   1.4e-23   2.2e-22   78.5   0.0     8   202     8   205     2   248 0.83 -
65033at50557_34740_0:001a5d|STRG.10055.5:1479-2240|+   -            254 84764at50557         -            287   1.8e-22   78.7   0.0   1   1   1.7e-23   2.7e-22   78.2   0.0     8   192     2   191     1   203 0.81 -
17813at50557_378494_0:006207|STRG.9176.1:968-1561|+    -            198 84764at50557         -            287   1.9e-22   78.7   0.1   1   1   1.4e-23   2.1e-22   78.5   0.1     1   191     5   192     5   197 0.86 -
57980at50557_7536_0:003723|STRG.13846.2:373-1149|+     -            259 84764at50557         -            287   2.1e-22   78.5   0.0   1   1   1.6e-23   2.5e-22   78.3   0.0     4   213     4   215     1   248 0.80 -
47at50557_34720_0:00180d|STRG.3214.5:0-16004|+         -           5335 84764at50557         -            287   2.3e-22   78.4   0.1   1   2   2.5e-14     4e-13   48.1   0.0    48   227  4343  4523  4313  4540 0.86 -
47at50557_34720_0:00180d|STRG.3214.5:0-16004|+         -           5335 84764at50557         -            287   2.3e-22   78.4   0.1   2   2   3.6e-08   5.8e-07   27.9   0.0     1   200  5012  5213  5012  5232 0.71 -
65033at50557_34740_0:001a5d|STRG.10055.1:2622-3461|+   -            280 84764at50557         -            287   2.5e-22   78.3   0.0   1   1   2.3e-23   3.7e-22   77.7   0.0     8   192     2   191     1   203 0.81 -
65033at50557_34740_0:001a5d|STRG.10055.2:2618-3457|+   -            280 84764at50557         -            287   2.5e-22   78.3   0.0   1   1   2.3e-23   3.7e-22   77.7   0.0     8   192     2   191     1   203 0.81 -
65033at50557_34740_0:001a5d|STRG.10055.3:2549-3388|+   -            280 84764at50557         -            287   2.5e-22   78.3   0.0   1   1   2.3e-23   3.7e-22   77.7   0.0     8   192     2   191     1   203 0.81 -
65033at50557_34740_0:001a5d|STRG.10055.4:2508-3347|+   -            280 84764at50557         -            287   2.5e-22   78.3   0.0   1   1   2.3e-23   3.7e-22   77.7   0.0     8   192     2   191     1   203 0.81 -
47at50557_34720_0:00180d|STRG.3214.6:0-17027|+         -           5676 84764at50557         -            287   2.7e-22   78.2   0.1   1   2   2.7e-14   4.3e-13   48.0   0.0    48   227  4684  4864  4654  4881 0.86 -
47at50557_34720_0:00180d|STRG.3214.6:0-17027|+         -           5676 84764at50557         -            287   2.7e-22   78.2   0.1   2   2   3.9e-08   6.2e-07   27.8   0.0     1   200  5353  5554  5353  5573 0.71 -
57980at50557_286706_0:000fec|STRG.7752.1:1249-2016|+   -            256 84764at50557         -            287   3.7e-22   77.7   0.0   1   1   2.8e-23   4.4e-22   77.5   0.0     6   211     5   213     1   222 0.85 -
84764at50557_74869_0:002aa7|STRG.8937.1:2-430|+        -            143 84764at50557         -            287   4.1e-22   77.6   0.0   1   1   3.1e-23     5e-22   77.3   0.0   141   216     1    75     1    88 0.92 -
65033at50557_136037_0:0017d6|STRG.606.1:1983-2828|+    -            282 84764at50557         -            287   4.4e-22   77.5   0.0   1   1   3.5e-23   5.5e-22   77.2   0.0    46   193    63   214     3   230 0.79 -
65033at50557_136037_0:0017d6|STRG.606.2:1887-2732|+    -            282 84764at50557         -            287   4.4e-22   77.5   0.0   1   1   3.5e-23   5.5e-22   77.2   0.0    46   193    63   214     3   230 0.79 -
65033at50557_136037_0:0017d6|STRG.606.3:1245-2090|+    -            282 84764at50557         -            287   4.4e-22   77.5   0.0   1   1   3.5e-23   5.5e-22   77.2   0.0    46   193    63   214     3   230 0.79 -
65033at50557_136037_0:0017d6|STRG.606.4:1248-2093|+    -            282 84764at50557         -            287   4.4e-22   77.5   0.0   1   1   3.5e-23   5.5e-22   77.2   0.0    46   193    63   214     3   230 0.79 -
65033at50557_13686_0:0008e0|STRG.16396.1:93-1382|+     -            430 84764at50557         -            287   9.4e-22   76.4   0.0   1   1   8.6e-23   1.4e-21   75.9   0.0     2   190    67   265    66   288 0.82 -
65033at50557_13686_0:0008e0|STRG.16396.2:0-1292|+      -            431 84764at50557         -            287   9.5e-22   76.4   0.0   1   1   8.6e-23   1.4e-21   75.9   0.0     2   190    67   265    66   288 0.82 -
57980at50557_112268_0:000772|STRG.4045.1:979-1803|+    -            275 84764at50557         -            287   1.1e-21   76.2   0.0   1   1   9.7e-23   1.5e-21   75.7   0.0    12   204     8   210     3   218 0.79 -
57980at50557_112268_0:000772|STRG.4045.2:788-1612|+    -            275 84764at50557         -            287   1.1e-21   76.2   0.0   1   1   9.7e-23   1.5e-21   75.7   0.0    12   204     8   210     3   218 0.79 -
65033at50557_77166_0:001c33|STRG.9291.4:168-941|+      -            258 84764at50557         -            287   2.6e-21   75.0   0.0   1   1   1.8e-22   2.8e-21   74.8   0.0     2   212     4   218     3   256 0.83 -
17813at50557_378494_0:006207|STRG.12695.1:978-1598|+   -            207 84764at50557         -            287   3.1e-21   74.7   0.1   1   1   2.2e-22   3.6e-21   74.5   0.1     4   191     8   200     5   205 0.85 -
