#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89456at50557_34720_0:000c24|STRG.5219.1:339-1358|+     -            340 89456at50557         -            230   9.2e-75  249.9   2.7   1   1   1.8e-75   2.8e-73  245.0   2.7     1   226    52   329    52   336 0.84 -
36185at50557_77166_0:001a90|STRG.5107.3:1352-2395|+    -            348 89456at50557         -            230   2.1e-09   36.0   1.0   2   2   4.6e-10   7.2e-08   31.0   0.1     3    63   174   231   172   244 0.84 -
36185at50557_77166_0:001a90|STRG.5107.4:763-1806|+     -            348 89456at50557         -            230   2.1e-09   36.0   1.0   1   2      0.12        18    3.5   0.1    94   109    35    52     4    55 0.68 -
36185at50557_77166_0:001a90|STRG.5107.4:763-1806|+     -            348 89456at50557         -            230   2.1e-09   36.0   1.0   2   2   4.6e-10   7.2e-08   31.0   0.1     3    63   174   231   172   244 0.84 -
36185at50557_77166_0:001a90|STRG.5107.5:1029-2072|+    -            348 89456at50557         -            230   2.1e-09   36.0   1.0   1   2      0.12        18    3.5   0.1    94   109    35    52     4    55 0.68 -
36185at50557_77166_0:001a90|STRG.5107.5:1029-2072|+    -            348 89456at50557         -            230   2.1e-09   36.0   1.0   2   2   4.6e-10   7.2e-08   31.0   0.1     3    63   174   231   172   244 0.84 -
36185at50557_56086_0:003183|STRG.1019.1:499-1443|+     -            315 89456at50557         -            230   2.9e-09   35.6   1.2   1   2      0.53        83    1.3   0.1    99   111    42    54     2    66 0.64 -
36185at50557_56086_0:003183|STRG.1019.1:499-1443|+     -            315 89456at50557         -            230   2.9e-09   35.6   1.2   2   2   1.2e-10   1.8e-08   33.0   0.2     2    82   126   203   125   230 0.83 -
89456at50557_121225_0:0003b4|STRG.8752.1:619-1143|+    -            175 89456at50557         -            230   1.3e-07   30.1   0.0   1   2   2.5e-07   3.9e-05   22.0   0.0     7    65     1    58     1    84 0.83 -
89456at50557_121225_0:0003b4|STRG.8752.1:619-1143|+    -            175 89456at50557         -            230   1.3e-07   30.1   0.0   2   2     0.015       2.4    6.4   0.1    98   143   110   161    94   168 0.83 -
36185at50557_34720_0:000ec6|STRG.6189.1:59-2239|+      -            727 89456at50557         -            230   1.9e-07   29.6   3.2   1   3       1.8   2.8e+02   -0.4   0.0    99   110   257   268   248   274 0.88 -
36185at50557_34720_0:000ec6|STRG.6189.1:59-2239|+      -            727 89456at50557         -            230   1.9e-07   29.6   3.2   2   3   7.4e-09   1.1e-06   27.1   0.0     3    72   319   384   317   411 0.78 -
36185at50557_34720_0:000ec6|STRG.6189.1:59-2239|+      -            727 89456at50557         -            230   1.9e-07   29.6   3.2   3   3      0.92   1.4e+02    0.6   0.5   141   177   615   651   542   696 0.77 -
36185at50557_34720_0:000ec6|STRG.6189.2:215-2395|+     -            727 89456at50557         -            230   1.9e-07   29.6   3.2   1   3       1.8   2.8e+02   -0.4   0.0    99   110   257   268   248   274 0.88 -
36185at50557_34720_0:000ec6|STRG.6189.2:215-2395|+     -            727 89456at50557         -            230   1.9e-07   29.6   3.2   2   3   7.4e-09   1.1e-06   27.1   0.0     3    72   319   384   317   411 0.78 -
36185at50557_34720_0:000ec6|STRG.6189.2:215-2395|+     -            727 89456at50557         -            230   1.9e-07   29.6   3.2   3   3      0.92   1.4e+02    0.6   0.5   141   177   615   651   542   696 0.77 -
36185at50557_34720_0:000ec6|STRG.6189.3:203-2383|+     -            727 89456at50557         -            230   1.9e-07   29.6   3.2   1   3       1.8   2.8e+02   -0.4   0.0    99   110   257   268   248   274 0.88 -
36185at50557_34720_0:000ec6|STRG.6189.3:203-2383|+     -            727 89456at50557         -            230   1.9e-07   29.6   3.2   2   3   7.4e-09   1.1e-06   27.1   0.0     3    72   319   384   317   411 0.78 -
36185at50557_34720_0:000ec6|STRG.6189.3:203-2383|+     -            727 89456at50557         -            230   1.9e-07   29.6   3.2   3   3      0.92   1.4e+02    0.6   0.5   141   177   615   651   542   696 0.77 -
36185at50557_34720_0:000ec6|STRG.6189.4:101-2281|+     -            727 89456at50557         -            230   1.9e-07   29.6   3.2   1   3       1.8   2.8e+02   -0.4   0.0    99   110   257   268   248   274 0.88 -
36185at50557_34720_0:000ec6|STRG.6189.4:101-2281|+     -            727 89456at50557         -            230   1.9e-07   29.6   3.2   2   3   7.4e-09   1.1e-06   27.1   0.0     3    72   319   384   317   411 0.78 -
36185at50557_34720_0:000ec6|STRG.6189.4:101-2281|+     -            727 89456at50557         -            230   1.9e-07   29.6   3.2   3   3      0.92   1.4e+02    0.6   0.5   141   177   615   651   542   696 0.77 -
89456at50557_7536_0:0022e4|STRG.1969.1:596-1168|+      -            191 89456at50557         -            230   2.4e-07   29.3   0.1   1   2   1.8e-07   2.8e-05   22.5   0.0     4    68     3    67     1   118 0.79 -
89456at50557_7536_0:0022e4|STRG.1969.1:596-1168|+      -            191 89456at50557         -            230   2.4e-07   29.3   0.1   2   2     0.045         7    4.9   0.4    89   116   116   142    97   151 0.68 -
35377at50557_568069_0:0005b1|STRG.1938.1:98-2017|+     -            640 89456at50557         -            230   3.9e-06   25.3   0.1   1   2       4.4   6.7e+02   -1.6   0.0    95   114   199   217   167   235 0.71 -
35377at50557_568069_0:0005b1|STRG.1938.1:98-2017|+     -            640 89456at50557         -            230   3.9e-06   25.3   0.1   2   2   1.4e-07   2.1e-05   22.9   0.0     4    63   365   421   362   432 0.81 -
111718at50557_520822_0:002278|STRG.9785.3:209-1767|+   -            395 89456at50557         -            230   6.5e-06   24.6   0.2   1   2     0.065        10    4.3   0.0    70   110    36    83    25   121 0.71 -
111718at50557_520822_0:002278|STRG.9785.3:209-1767|+   -            395 89456at50557         -            230   6.5e-06   24.6   0.2   2   2   4.5e-06   0.00069   18.0   0.0     4    60   142   204   139   209 0.64 -
105221at50557_224129_0:000e95|STRG.9393.1:963-1451|+   -            163 89456at50557         -            230     3e-05   22.4   0.3   1   1   4.1e-07   6.4e-05   21.3   0.3     4   117     7   128     4   163 0.65 -
105221at50557_224129_0:000e95|STRG.9393.2:515-1003|+   -            163 89456at50557         -            230     3e-05   22.4   0.3   1   1   4.1e-07   6.4e-05   21.3   0.3     4   117     7   128     4   163 0.65 -
105221at50557_224129_0:000e95|STRG.9393.3:960-1448|+   -            163 89456at50557         -            230     3e-05   22.4   0.3   1   1   4.1e-07   6.4e-05   21.3   0.3     4   117     7   128     4   163 0.65 -
105221at50557_224129_0:000e95|STRG.9393.4:741-1229|+   -            163 89456at50557         -            230     3e-05   22.4   0.3   1   1   4.1e-07   6.4e-05   21.3   0.3     4   117     7   128     4   163 0.65 -
105221at50557_224129_0:000e95|STRG.9393.5:850-1338|+   -            163 89456at50557         -            230     3e-05   22.4   0.3   1   1   4.1e-07   6.4e-05   21.3   0.3     4   117     7   128     4   163 0.65 -
105221at50557_224129_0:000e95|STRG.9393.6:985-1473|+   -            163 89456at50557         -            230     3e-05   22.4   0.3   1   1   4.1e-07   6.4e-05   21.3   0.3     4   117     7   128     4   163 0.65 -
66657at50557_34720_0:001d68|STRG.12041.1:114-2378|+    -            755 89456at50557         -            230   0.00021   19.6   0.5   1   2     0.032       4.9    5.4   0.1    96   154   358   430   347   433 0.65 -
66657at50557_34720_0:001d68|STRG.12041.1:114-2378|+    -            755 89456at50557         -            230   0.00021   19.6   0.5   2   2   0.00025     0.038   12.3   0.0     4    30   431   457   427   469 0.87 -
89456at50557_2015173_0:001860|STRG.5456.1:156-782|+    -            209 89456at50557         -            230    0.0011   17.4   0.1   1   1   1.5e-05    0.0024   16.2   0.1     3    27     9    33     7    38 0.88 -
89456at50557_609295_0:001f5d|STRG.5456.2:235-837|+     -            201 89456at50557         -            230    0.0015   16.8   0.0   1   1   2.3e-05    0.0035   15.6   0.0     3    27     1    25     1    30 0.88 -
22862at50557_30069_0:002d82|STRG.9457.3:809-3436|+     -            876 89456at50557         -            230    0.0018   16.6   0.2   1   1   3.6e-05    0.0056   15.0   0.2    44   129    77   167    16   180 0.72 -
117348at50557_103372_0:000852|STRG.4767.1:130-744|+    -            205 89456at50557         -            230    0.0018   16.6   0.0   1   2      0.16        25    3.0   0.0     5    20    20    35    17   104 0.88 -
117348at50557_103372_0:000852|STRG.4767.1:130-744|+    -            205 89456at50557         -            230    0.0018   16.6   0.0   2   2   0.00034     0.052   11.8   0.0   128   157   165   194   141   198 0.93 -
22862at50557_30069_0:002d82|STRG.9457.4:809-3445|+     -            879 89456at50557         -            230    0.0018   16.6   0.2   1   1   3.6e-05    0.0056   15.0   0.2    44   129    77   167    16   180 0.72 -
22862at50557_30069_0:002d82|STRG.9457.1:809-3532|+     -            908 89456at50557         -            230    0.0019   16.5   0.2   1   1   3.9e-05     0.006   14.9   0.2    44   129    77   167    16   180 0.72 -
22862at50557_30069_0:002d82|STRG.9457.2:691-3414|+     -            908 89456at50557         -            230    0.0019   16.5   0.2   1   1   3.9e-05     0.006   14.9   0.2    44   129    77   167    16   180 0.72 -
115559at50557_42026_0:0013f7|STRG.2218.1:1291-1782|+   -            164 89456at50557         -            230    0.0055   15.0   0.0   1   1   0.00046     0.071   11.4   0.0     3   113     9   127     7   132 0.69 -
115559at50557_42026_0:0013f7|STRG.2218.2:1146-1637|+   -            164 89456at50557         -            230    0.0055   15.0   0.0   1   1   0.00046     0.071   11.4   0.0     3   113     9   127     7   132 0.69 -
115559at50557_42026_0:0013f7|STRG.2218.3:727-1218|+    -            164 89456at50557         -            230    0.0055   15.0   0.0   1   1   0.00046     0.071   11.4   0.0     3   113     9   127     7   132 0.69 -
99773at50557_34720_0:00204d|STRG.13123.1:161-1342|+    -            394 89456at50557         -            230    0.0058   14.9   2.7   1   3      0.15        24    3.1   0.0     5    25    37    57    33    62 0.88 -
99773at50557_34720_0:00204d|STRG.13123.1:161-1342|+    -            394 89456at50557         -            230    0.0058   14.9   2.7   2   3     0.014       2.2    6.5   0.5    96   112   194   210   106   221 0.69 -
99773at50557_34720_0:00204d|STRG.13123.1:161-1342|+    -            394 89456at50557         -            230    0.0058   14.9   2.7   3   3      0.27        42    2.3   0.0   130   152   256   278   239   286 0.82 -
99773at50557_34720_0:00204d|STRG.13123.2:147-1328|+    -            394 89456at50557         -            230    0.0058   14.9   2.7   1   3      0.15        24    3.1   0.0     5    25    37    57    33    62 0.88 -
99773at50557_34720_0:00204d|STRG.13123.2:147-1328|+    -            394 89456at50557         -            230    0.0058   14.9   2.7   2   3     0.014       2.2    6.5   0.5    96   112   194   210   106   221 0.69 -
99773at50557_34720_0:00204d|STRG.13123.2:147-1328|+    -            394 89456at50557         -            230    0.0058   14.9   2.7   3   3      0.27        42    2.3   0.0   130   152   256   278   239   286 0.82 -
117348at50557_104452_0:003894|STRG.10938.1:82-591|+    -            170 89456at50557         -            230    0.0062   14.8   0.1   1   2   8.6e-05     0.013   13.8   0.1     3    23     6    26     4    53 0.89 -
117348at50557_104452_0:003894|STRG.10938.1:82-591|+    -            170 89456at50557         -            230    0.0062   14.8   0.1   2   2       3.5   5.4e+02   -1.3   0.0    99   109   112   122    62   169 0.64 -
66657at50557_7539_0:0015a0|STRG.12041.2:58-952|+       -            269 89456at50557         -            230    0.0063   14.8   0.0   1   1   8.2e-05     0.013   13.8   0.0     5    30     3    28     1    40 0.87 -
104262at50557_132113_0:00109a|STRG.7868.2:387-935|+    -            183 89456at50557         -            230     0.011   14.1   0.1   1   1   0.00045     0.069   11.4   0.1     2   111    13   131    12   144 0.64 -
104262at50557_132113_0:00109a|STRG.7868.4:494-1042|+   -            183 89456at50557         -            230     0.011   14.1   0.1   1   1   0.00045     0.069   11.4   0.1     2   111    13   131    12   144 0.64 -
104262at50557_411798_0:001745|STRG.1128.1:160-804|+    -            215 89456at50557         -            230      0.02   13.2   0.1   1   2   0.00076      0.12   10.7   0.1     2    59     5    63     4   115 0.76 -
104262at50557_411798_0:001745|STRG.1128.1:160-804|+    -            215 89456at50557         -            230      0.02   13.2   0.1   2   2      0.83   1.3e+02    0.7   0.0   182   206    96   120    94   140 0.80 -
108755at50557_116153_0:002245|STRG.7968.1:137-511|+    -            125 89456at50557         -            230      0.02   13.2   0.0   1   1   0.00013     0.021   13.1   0.0     2    88     2    94     1   120 0.71 -
106023at50557_39758_0:004d29|STRG.5785.1:124-660|+     -            179 89456at50557         -            230     0.023   13.0   0.0   1   2   0.00027     0.042   12.1   0.0     2    88    16   100    15   116 0.73 -
106023at50557_39758_0:004d29|STRG.5785.1:124-660|+     -            179 89456at50557         -            230     0.023   13.0   0.0   2   2       8.7   1.3e+03   -2.6   0.0   175   198   154   177   141   179 0.70 -
108271at50557_28612_0:005172|STRG.4235.1:254-823|+     -            190 89456at50557         -            230     0.026   12.8   0.1   1   1   0.00073      0.11   10.7   0.1     3   122     4   133     2   138 0.72 -
107216at50557_51655_0:0016fc|STRG.7868.1:534-905|+     -            124 89456at50557         -            230     0.028   12.7   0.1   1   1   0.00049     0.076   11.3   0.1     2    59     8    66     7   124 0.76 -
107216at50557_51655_0:0016fc|STRG.7868.3:402-773|+     -            124 89456at50557         -            230     0.028   12.7   0.1   1   1   0.00049     0.076   11.3   0.1     2    59     8    66     7   124 0.76 -
117348at50557_37344_0:00207e|STRG.2289.1:292-654|+     -            121 89456at50557         -            230     0.028   12.7   0.1   1   1   0.00025     0.039   12.2   0.1     4    24    17    37    14    48 0.84 -
108271at50557_7536_0:004142|STRG.3786.3:1076-1615|+    -            180 89456at50557         -            230     0.029   12.6   0.0   1   1   0.00031     0.048   11.9   0.0     4    44     1    41     1    99 0.70 -
108271at50557_7536_0:004142|STRG.3786.4:959-1498|+     -            180 89456at50557         -            230     0.029   12.6   0.0   1   1   0.00031     0.048   11.9   0.0     4    44     1    41     1    99 0.70 -
115559at50557_286306_0:000620|STRG.14065.1:219-824|+   -            202 89456at50557         -            230     0.033   12.5   0.5   1   1    0.0009      0.14   10.4   0.5     3   154    27   191    25   202 0.68 -
115559at50557_286306_0:000620|STRG.14065.2:568-1173|+  -            202 89456at50557         -            230     0.033   12.5   0.5   1   1    0.0009      0.14   10.4   0.5     3   154    27   191    25   202 0.68 -
115559at50557_286306_0:000620|STRG.14065.3:243-848|+   -            202 89456at50557         -            230     0.033   12.5   0.5   1   1    0.0009      0.14   10.4   0.5     3   154    27   191    25   202 0.68 -
115559at50557_286306_0:000620|STRG.14065.4:616-1221|+  -            202 89456at50557         -            230     0.033   12.5   0.5   1   1    0.0009      0.14   10.4   0.5     3   154    27   191    25   202 0.68 -
115559at50557_286306_0:000620|STRG.14065.5:820-1425|+  -            202 89456at50557         -            230     0.033   12.5   0.5   1   1    0.0009      0.14   10.4   0.5     3   154    27   191    25   202 0.68 -
115559at50557_286306_0:000620|STRG.14065.6:1133-1738|+ -            202 89456at50557         -            230     0.033   12.5   0.5   1   1    0.0009      0.14   10.4   0.5     3   154    27   191    25   202 0.68 -
107632at50557_38123_0:001c0e|STRG.4463.1:544-1956|+    -            471 89456at50557         -            230     0.051   11.8   0.1   1   1   0.00064     0.099   10.9   0.1     5    34    42    71    40    79 0.91 -
107632at50557_38123_0:001c0e|STRG.4463.2:502-1914|+    -            471 89456at50557         -            230     0.051   11.8   0.1   1   1   0.00064     0.099   10.9   0.1     5    34    42    71    40    79 0.91 -
107216at50557_51655_0:0016fc|STRG.10335.1:632-1135|+   -            168 89456at50557         -            230     0.052   11.8   0.0   1   2   0.00077      0.12   10.6   0.0     2    31     8    37     7    76 0.80 -
107216at50557_51655_0:0016fc|STRG.10335.1:632-1135|+   -            168 89456at50557         -            230     0.052   11.8   0.0   2   2       5.7   8.9e+02   -2.0   0.0    98   115   118   135   115   140 0.77 -
107216at50557_51655_0:0016fc|STRG.10335.2:631-1134|+   -            168 89456at50557         -            230     0.052   11.8   0.0   1   2   0.00077      0.12   10.6   0.0     2    31     8    37     7    76 0.80 -
107216at50557_51655_0:0016fc|STRG.10335.2:631-1134|+   -            168 89456at50557         -            230     0.052   11.8   0.0   2   2       5.7   8.9e+02   -2.0   0.0    98   115   118   135   115   140 0.77 -
107216at50557_51655_0:0016fc|STRG.10335.3:628-1131|+   -            168 89456at50557         -            230     0.052   11.8   0.0   1   2   0.00077      0.12   10.6   0.0     2    31     8    37     7    76 0.80 -
107216at50557_51655_0:0016fc|STRG.10335.3:628-1131|+   -            168 89456at50557         -            230     0.052   11.8   0.0   2   2       5.7   8.9e+02   -2.0   0.0    98   115   118   135   115   140 0.77 -
107216at50557_51655_0:0016fc|STRG.10335.4:628-1131|+   -            168 89456at50557         -            230     0.052   11.8   0.0   1   2   0.00077      0.12   10.6   0.0     2    31     8    37     7    76 0.80 -
107216at50557_51655_0:0016fc|STRG.10335.4:628-1131|+   -            168 89456at50557         -            230     0.052   11.8   0.0   2   2       5.7   8.9e+02   -2.0   0.0    98   115   118   135   115   140 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89456at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/89456at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89456at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:13:11 2024
# [ok]
