#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
70072at50557_456900_0:00138d|STRG.6827.1:110-1567|+   -            486 70072at50557         -            398  1.6e-204  678.2   2.4   1   1  2.4e-207  2.1e-204  677.7   2.4    19   394    78   463    66   467 0.95 -
27499at50557_319348_0:002d28|STRG.10203.1:1508-3349|+ -            614 70072at50557         -            398     0.074   10.8   1.3   1   3   0.00036      0.33    8.7   0.1    60   140    51   131     2   141 0.72 -
27499at50557_319348_0:002d28|STRG.10203.1:1508-3349|+ -            614 70072at50557         -            398     0.074   10.8   1.3   2   3      0.37   3.4e+02   -1.2   0.1    59    85   187   213   163   282 0.72 -
27499at50557_319348_0:002d28|STRG.10203.1:1508-3349|+ -            614 70072at50557         -            398     0.074   10.8   1.3   3   3      0.63   5.7e+02   -2.0   0.0    54   121   372   440   365   447 0.66 -
27499at50557_319348_0:002d28|STRG.10203.2:1281-3122|+ -            614 70072at50557         -            398     0.074   10.8   1.3   1   3   0.00036      0.33    8.7   0.1    60   140    51   131     2   141 0.72 -
27499at50557_319348_0:002d28|STRG.10203.2:1281-3122|+ -            614 70072at50557         -            398     0.074   10.8   1.3   2   3      0.37   3.4e+02   -1.2   0.1    59    85   187   213   163   282 0.72 -
27499at50557_319348_0:002d28|STRG.10203.2:1281-3122|+ -            614 70072at50557         -            398     0.074   10.8   1.3   3   3      0.63   5.7e+02   -2.0   0.0    54   121   372   440   365   447 0.66 -
27499at50557_319348_0:002d28|STRG.10203.3:1276-3117|+ -            614 70072at50557         -            398     0.074   10.8   1.3   1   3   0.00036      0.33    8.7   0.1    60   140    51   131     2   141 0.72 -
27499at50557_319348_0:002d28|STRG.10203.3:1276-3117|+ -            614 70072at50557         -            398     0.074   10.8   1.3   2   3      0.37   3.4e+02   -1.2   0.1    59    85   187   213   163   282 0.72 -
27499at50557_319348_0:002d28|STRG.10203.3:1276-3117|+ -            614 70072at50557         -            398     0.074   10.8   1.3   3   3      0.63   5.7e+02   -2.0   0.0    54   121   372   440   365   447 0.66 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/70072at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/70072at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/70072at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:11:54 2024
# [ok]
