#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98900at50557_104421_0:0000b7|STRG.8423.1:441-1256|+   -            272 98900at50557         -            220  3.8e-106  352.4   0.1   1   1  6.3e-108  2.5e-105  349.7   0.1     1   220    12   270    12   270 0.91 -
98900at50557_7395_0:002c0d|STRG.14540.3:244-840|+     -            199 98900at50557         -            220   5.1e-30  103.5   0.0   1   1   2.7e-32   1.1e-29  102.4   0.0    17   190     1   199     1   199 0.80 -
98900at50557_7200_0:001faf|STRG.14540.2:139-786|+     -            216 98900at50557         -            220   7.1e-30  103.0   0.2   1   1   1.4e-31   5.4e-29  100.1   0.2    34   191    37   214     2   216 0.82 -
98900at50557_7200_0:001faf|STRG.14540.4:235-882|+     -            216 98900at50557         -            220   7.1e-30  103.0   0.2   1   1   1.4e-31   5.4e-29  100.1   0.2    34   191    37   214     2   216 0.82 -
98900at50557_217634_0:00105f|STRG.10911.1:1380-2153|+ -            258 98900at50557         -            220   1.4e-27   95.4   0.1   1   1   3.5e-29   1.4e-26   92.2   0.1    47   217    76   258     7   258 0.83 -
98900at50557_217634_0:00105f|STRG.10911.2:1380-2153|+ -            258 98900at50557         -            220   1.4e-27   95.4   0.1   1   1   3.5e-29   1.4e-26   92.2   0.1    47   217    76   258     7   258 0.83 -
98900at50557_217634_0:00105f|STRG.10911.3:1380-2153|+ -            258 98900at50557         -            220   1.4e-27   95.4   0.1   1   1   3.5e-29   1.4e-26   92.2   0.1    47   217    76   258     7   258 0.83 -
98900at50557_7213_0:0022ed|STRG.3850.2:284-982|+      -            233 98900at50557         -            220   6.9e-27   93.2   0.0   1   1   2.7e-29   1.1e-26   92.6   0.0    28   216    30   230    17   233 0.81 -
98900at50557_7213_0:0022ed|STRG.3850.3:226-924|+      -            233 98900at50557         -            220   6.9e-27   93.2   0.0   1   1   2.7e-29   1.1e-26   92.6   0.0    28   216    30   230    17   233 0.81 -
98900at50557_7213_0:0022ed|STRG.3850.4:216-914|+      -            233 98900at50557         -            220   6.9e-27   93.2   0.0   1   1   2.7e-29   1.1e-26   92.6   0.0    28   216    30   230    17   233 0.81 -
98900at50557_34740_0:003818|STRG.3850.1:262-807|+     -            182 98900at50557         -            220   5.4e-26   90.3   0.0   1   1     2e-28   7.8e-26   89.8   0.0    49   215     7   181     1   182 0.84 -
98900at50557_535359_0:001c37|STRG.3848.1:291-668|+    -            126 98900at50557         -            220   8.8e-21   73.3   0.9   1   1   2.6e-23     1e-20   73.1   0.9    51   142     2   100     1   126 0.81 -
98621at50557_166361_0:000283|STRG.16399.1:194-649|+   -            152 98900at50557         -            220      0.06   11.7   0.2   1   2   0.00031      0.12   10.7   0.1    30    86    13    72     5    83 0.79 -
98621at50557_166361_0:000283|STRG.16399.1:194-649|+   -            152 98900at50557         -            220      0.06   11.7   0.2   2   2         2   7.8e+02   -1.8   0.0    56    74    82   100    63   105 0.70 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98900at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/98900at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98900at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:13:50 2024
# [ok]
