#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_64793_0:00239e|STRG.8033.1:0-1115|+       -            372 107413at50557        -             88   5.9e-35  118.7   2.5   1   1   4.2e-36   3.1e-34  116.3   2.5     1    88   255   361   255   361 0.85 -
98621at50557_28612_0:00515f|STRG.12776.1:5274-6132|+    -            263 107413at50557        -             88   1.7e-17   62.7   0.6   1   1     4e-17   2.9e-15   55.6   0.6    21    88   163   234   124   234 0.70 -
107413at50557_178035_0:001dcd|STRG.12023.3:890-1411|+   -            174 107413at50557        -             88   1.8e-17   62.6   1.5   1   1     1e-18   7.5e-17   60.6   1.5     1    88    63   162    63   162 0.77 -
107413at50557_178035_0:001dcd|STRG.12023.4:1231-1752|+  -            174 107413at50557        -             88   1.8e-17   62.6   1.5   1   1     1e-18   7.5e-17   60.6   1.5     1    88    63   162    63   162 0.77 -
107413at50557_411798_0:001add|STRG.12023.1:279-761|+    -            161 107413at50557        -             88   1.8e-17   62.6   1.8   1   1     1e-18   7.5e-17   60.6   1.8     1    88    55   154    55   154 0.77 -
98621at50557_28612_0:00515f|STRG.4102.1:3037-3741|+     -            235 107413at50557        -             88   1.8e-17   62.6   0.2   1   1     1e-17   7.6e-16   57.4   0.2    15    88   153   230   120   230 0.68 -
98621at50557_28612_0:00515f|STRG.4102.2:2816-3565|+     -            250 107413at50557        -             88   2.2e-17   62.3   0.2   1   1   1.2e-17   8.7e-16   57.2   0.2    15    88   168   245   135   245 0.68 -
98621at50557_136037_0:0009c4|STRG.4442.1:2032-2775|+    -            248 107413at50557        -             88   2.6e-17   62.1   3.0   1   1   4.6e-17   3.4e-15   55.3   2.0     3    88   137   244   135   244 0.69 -
98621at50557_136037_0:0009c4|STRG.4442.2:2300-3043|+    -            248 107413at50557        -             88   2.6e-17   62.1   3.0   1   1   4.6e-17   3.4e-15   55.3   2.0     3    88   137   244   135   244 0.69 -
17536at50557_116153_0:000f8b|STRG.12776.2:3955-5766|+   -            604 107413at50557        -             88   3.7e-17   61.6   0.7   1   1   6.2e-17   4.5e-15   54.9   0.7    21    88   525   596   486   596 0.72 -
107413at50557_2015173_0:00166d|STRG.12023.2:268-924|+   -            219 107413at50557        -             88   3.8e-17   61.6   1.7   1   1   2.1e-18   1.5e-16   59.6   1.7     1    88   113   212   113   212 0.77 -
107413at50557_79782_0:001336|STRG.16115.1:2244-3002|+   -            253 107413at50557        -             88   7.8e-17   60.6   0.5   1   1   6.4e-18   4.7e-16   58.1   0.5     1    88   142   251   142   251 0.76 -
107413at50557_79782_0:001336|STRG.16115.2:2205-2963|+   -            253 107413at50557        -             88   7.8e-17   60.6   0.5   1   1   6.4e-18   4.7e-16   58.1   0.5     1    88   142   251   142   251 0.76 -
98621at50557_37344_0:001be5|STRG.12023.5:2703-3437|+    -            245 107413at50557        -             88   8.7e-17   60.4   2.9   1   1   2.5e-18   1.8e-16   59.4   1.5     1    88   140   239   140   239 0.77 -
107413at50557_211228_0:00176b|STRG.12207.1:688-1422|+   -            245 107413at50557        -             88   1.1e-16   60.1   2.3   1   1   7.6e-18   5.5e-16   57.9   2.3     2    88   142   245   141   245 0.82 -
107413at50557_136037_0:000dc2|STRG.2689.1:5870-6601|+   -            244 107413at50557        -             88     2e-16   59.2   2.3   1   1   5.6e-18   4.1e-16   58.3   2.3    27    88   174   237   155   237 0.91 -
107413at50557_136037_0:000dc2|STRG.2689.2:5675-6406|+   -            244 107413at50557        -             88     2e-16   59.2   2.3   1   1   5.6e-18   4.1e-16   58.3   2.3    27    88   174   237   155   237 0.91 -
107413at50557_136037_0:000dc2|STRG.2689.3:5801-6532|+   -            244 107413at50557        -             88     2e-16   59.2   2.3   1   1   5.6e-18   4.1e-16   58.3   2.3    27    88   174   237   155   237 0.91 -
107413at50557_136037_0:000dc2|STRG.2689.4:5120-5851|+   -            244 107413at50557        -             88     2e-16   59.2   2.3   1   1   5.6e-18   4.1e-16   58.3   2.3    27    88   174   237   155   237 0.91 -
107413at50557_136037_0:000dc2|STRG.2689.5:5873-6604|+   -            244 107413at50557        -             88     2e-16   59.2   2.3   1   1   5.6e-18   4.1e-16   58.3   2.3    27    88   174   237   155   237 0.91 -
107413at50557_136037_0:000dc2|STRG.2689.6:5561-6292|+   -            244 107413at50557        -             88     2e-16   59.2   2.3   1   1   5.6e-18   4.1e-16   58.3   2.3    27    88   174   237   155   237 0.91 -
107413at50557_136037_0:000dc2|STRG.2689.7:5105-5836|+   -            244 107413at50557        -             88     2e-16   59.2   2.3   1   1   5.6e-18   4.1e-16   58.3   2.3    27    88   174   237   155   237 0.91 -
93746at50557_54969_0:0026b9|STRG.8656.1:605-1516|+      -            304 107413at50557        -             88   3.5e-16   58.5   2.4   1   1   1.2e-16   9.1e-15   54.0   1.5    29    88   234   299   186   299 0.84 -
93746at50557_54969_0:0026b9|STRG.8656.2:605-1516|+      -            304 107413at50557        -             88   3.5e-16   58.5   2.4   1   1   1.2e-16   9.1e-15   54.0   1.5    29    88   234   299   186   299 0.84 -
98621at50557_7425_0:001b7b|STRG.5365.1:953-1708|+       -            252 107413at50557        -             88   5.8e-16   57.8   3.0   1   1   3.3e-17   2.4e-15   55.8   3.0    28    88   188   247   143   247 0.91 -
98621at50557_13249_0:0015dd|STRG.11266.1:333-1043|+     -            237 107413at50557        -             88   6.6e-16   57.6   1.8   1   1   4.1e-17     3e-15   55.5   1.8    17    88   164   237   133   237 0.90 -
98621at50557_13249_0:0015dd|STRG.11266.2:251-961|+      -            237 107413at50557        -             88   6.6e-16   57.6   1.8   1   1   4.1e-17     3e-15   55.5   1.8    17    88   164   237   133   237 0.90 -
107413at50557_108931_0:000e8f|STRG.2256.1:1435-2181|+   -            249 107413at50557        -             88   1.9e-15   56.1   1.5   1   1   8.1e-17   5.9e-15   54.6   1.5    25    88   179   244   142   244 0.82 -
98621at50557_28612_0:00515f|STRG.11272.1:140-835|+      -            232 107413at50557        -             88   2.3e-15   55.9   0.8   1   1     4e-16   2.9e-14   52.3   0.8    18    88   157   227   124   227 0.70 -
98621at50557_28612_0:00515f|STRG.11272.2:140-835|+      -            232 107413at50557        -             88   2.3e-15   55.9   0.8   1   1     4e-16   2.9e-14   52.3   0.8    18    88   157   227   124   227 0.70 -
98621at50557_286706_0:000660|STRG.2780.1:82-750|+       -            223 107413at50557        -             88   2.7e-15   55.7   3.1   1   2       3.1   2.3e+02    1.4   0.0    25    38    19    32     4    75 0.67 -
98621at50557_286706_0:000660|STRG.2780.1:82-750|+       -            223 107413at50557        -             88   2.7e-15   55.7   3.1   2   2   3.5e-16   2.5e-14   52.5   1.3     1    88   121   217   121   217 0.75 -
98621at50557_29031_0:002023|STRG.8658.1:357-896|+       -            180 107413at50557        -             88   4.4e-15   55.0   2.0   1   1   2.6e-15   1.9e-13   49.7   2.0    29    88   115   176    67   176 0.73 -
98621at50557_13037_0:001de5|STRG.4083.2:1334-2157|+     -            236 107413at50557        -             88   1.1e-14   53.7   2.3   1   2       6.5   4.7e+02    0.4   0.1     3    11   129   137   127   169 0.65 -
98621at50557_13037_0:001de5|STRG.4083.2:1334-2157|+     -            236 107413at50557        -             88   1.1e-14   53.7   2.3   2   2   4.3e-16   3.1e-14   52.2   0.5    28    88   174   236   169   236 0.90 -
98621at50557_7038_0:0003d0|STRG.4083.3:1768-2526|+      -            253 107413at50557        -             88   1.3e-14   53.5   2.3   1   2       7.3   5.3e+02    0.2   0.1     3    11   146   154   144   185 0.64 -
98621at50557_7038_0:0003d0|STRG.4083.3:1768-2526|+      -            253 107413at50557        -             88   1.3e-14   53.5   2.3   2   2   4.8e-16   3.5e-14   52.1   0.5    28    88   191   253   185   253 0.90 -
98621at50557_13037_0:001de5|STRG.13974.1:288-1019|+     -            244 107413at50557        -             88   1.4e-14   53.4   0.2   1   1   4.6e-16   3.4e-14   52.1   0.1    29    88   176   240   159   240 0.86 -
98621at50557_13037_0:001de5|STRG.13974.2:229-960|+      -            244 107413at50557        -             88   1.4e-14   53.4   0.2   1   1   4.6e-16   3.4e-14   52.1   0.1    29    88   176   240   159   240 0.86 -
107413at50557_13249_0:002cfe|STRG.6815.3:177-875|+      -            233 107413at50557        -             88   1.8e-14   53.0   3.5   1   2      0.59        43    3.7   0.0    23    48    20    50     6    57 0.70 -
107413at50557_13249_0:002cfe|STRG.6815.3:177-875|+      -            233 107413at50557        -             88   1.8e-14   53.0   3.5   2   2     4e-14   2.9e-12   45.9   2.5    24    88   167   229   127   229 0.82 -
107413at50557_13249_0:002cfe|STRG.6815.4:194-892|+      -            233 107413at50557        -             88   1.8e-14   53.0   3.5   1   2      0.59        43    3.7   0.0    23    48    20    50     6    57 0.70 -
107413at50557_13249_0:002cfe|STRG.6815.4:194-892|+      -            233 107413at50557        -             88   1.8e-14   53.0   3.5   2   2     4e-14   2.9e-12   45.9   2.5    24    88   167   229   127   229 0.82 -
98621at50557_7282_0:0024d9|STRG.8658.2:223-1011|+       -            263 107413at50557        -             88   2.9e-14   52.4   3.6   1   1   4.8e-15   3.5e-13   48.9   1.7    29    88   194   255   146   255 0.75 -
45935at50557_108931_0:001010|STRG.3399.1:886-1620|+     -            245 107413at50557        -             88   2.9e-14   52.3   6.2   1   2      0.25        18    4.9   0.2     1    22   132   157   132   166 0.70 -
45935at50557_108931_0:001010|STRG.3399.1:886-1620|+     -            245 107413at50557        -             88   2.9e-14   52.3   6.2   2   2   3.7e-15   2.7e-13   49.2   2.2    13    88   165   243   159   243 0.82 -
45935at50557_108931_0:001010|STRG.3399.2:1083-1817|+    -            245 107413at50557        -             88   2.9e-14   52.3   6.2   1   2      0.25        18    4.9   0.2     1    22   132   157   132   166 0.70 -
45935at50557_108931_0:001010|STRG.3399.2:1083-1817|+    -            245 107413at50557        -             88   2.9e-14   52.3   6.2   2   2   3.7e-15   2.7e-13   49.2   2.2    13    88   165   243   159   243 0.82 -
98621at50557_156304_0:000097|STRG.6815.2:18-821|+       -            268 107413at50557        -             88   4.1e-14   51.8   3.9   1   2      0.69        50    3.5   0.0    23    48    55    85    40    92 0.70 -
98621at50557_156304_0:000097|STRG.6815.2:18-821|+       -            268 107413at50557        -             88   4.1e-14   51.8   3.9   2   2   5.3e-14   3.8e-12   45.5   2.5    24    88   202   264   162   264 0.82 -
17536at50557_7070_0:002b6d|STRG.15926.1:2354-4144|+     -            597 107413at50557        -             88   1.1e-13   50.5   3.2   1   1   1.5e-15   1.1e-13   50.5   3.2    27    88   527   593   482   593 0.87 -
98621at50557_286706_0:000660|STRG.2779.1:110-787|+      -            226 107413at50557        -             88     3e-13   49.1   3.6   1   2       7.1   5.2e+02    0.3   0.0    25    36    19    30    12    45 0.78 -
98621at50557_286706_0:000660|STRG.2779.1:110-787|+      -            226 107413at50557        -             88     3e-13   49.1   3.6   2   2   1.1e-14   8.3e-13   47.7   1.6    25    88   161   220   124   220 0.82 -
98621at50557_28612_0:00515f|STRG.3093.1:687-1433|+      -            249 107413at50557        -             88   8.5e-13   47.6   0.2   1   2      0.69        50    3.5   0.0     3    26   137   163   135   170 0.81 -
98621at50557_28612_0:00515f|STRG.3093.1:687-1433|+      -            249 107413at50557        -             88   8.5e-13   47.6   0.2   2   2   7.6e-13   5.6e-11   41.8   0.1    22    88   174   245   166   245 0.83 -
98621at50557_28612_0:00515f|STRG.3093.2:773-1519|+      -            249 107413at50557        -             88   8.5e-13   47.6   0.2   1   2      0.69        50    3.5   0.0     3    26   137   163   135   170 0.81 -
98621at50557_28612_0:00515f|STRG.3093.2:773-1519|+      -            249 107413at50557        -             88   8.5e-13   47.6   0.2   2   2   7.6e-13   5.6e-11   41.8   0.1    22    88   174   245   166   245 0.83 -
98621at50557_28612_0:00515f|STRG.3093.4:511-1257|+      -            249 107413at50557        -             88   8.5e-13   47.6   0.2   1   2      0.69        50    3.5   0.0     3    26   137   163   135   170 0.81 -
98621at50557_28612_0:00515f|STRG.3093.4:511-1257|+      -            249 107413at50557        -             88   8.5e-13   47.6   0.2   2   2   7.6e-13   5.6e-11   41.8   0.1    22    88   174   245   166   245 0.83 -
98621at50557_28612_0:00515f|STRG.3093.5:396-1142|+      -            249 107413at50557        -             88   8.5e-13   47.6   0.2   1   2      0.69        50    3.5   0.0     3    26   137   163   135   170 0.81 -
98621at50557_28612_0:00515f|STRG.3093.5:396-1142|+      -            249 107413at50557        -             88   8.5e-13   47.6   0.2   2   2   7.6e-13   5.6e-11   41.8   0.1    22    88   174   245   166   245 0.83 -
107413at50557_13249_0:002cfe|STRG.6815.1:231-1044|+     -            232 107413at50557        -             88   1.1e-12   47.3   3.4   1   2      0.58        42    3.7   0.0    23    48    20    50     6    57 0.70 -
107413at50557_13249_0:002cfe|STRG.6815.1:231-1044|+     -            232 107413at50557        -             88   1.1e-12   47.3   3.4   2   2   2.5e-12   1.8e-10   40.2   2.4    24    88   167   228   127   228 0.81 -
98621at50557_166361_0:000283|STRG.11267.1:207-980|+     -            258 107413at50557        -             88   1.7e-12   46.6   1.4   1   1   3.4e-13   2.5e-11   42.9   1.4     2    88   147   257   146   257 0.73 -
107413at50557_7539_0:000e62|STRG.7665.1:136-967|+       -            220 107413at50557        -             88   2.5e-12   46.1   3.9   1   2       2.1   1.5e+02    1.9   0.0    25    36    19    30    12    54 0.84 -
107413at50557_7539_0:000e62|STRG.7665.1:136-967|+       -            220 107413at50557        -             88   2.5e-12   46.1   3.9   2   2   7.3e-13   5.3e-11   41.9   2.5     1    88   122   220   122   220 0.66 -
107413at50557_7539_0:000e62|STRG.7665.3:136-967|+       -            220 107413at50557        -             88   2.5e-12   46.1   3.9   1   2       2.1   1.5e+02    1.9   0.0    25    36    19    30    12    54 0.84 -
107413at50557_7539_0:000e62|STRG.7665.3:136-967|+       -            220 107413at50557        -             88   2.5e-12   46.1   3.9   2   2   7.3e-13   5.3e-11   41.9   2.5     1    88   122   220   122   220 0.66 -
107413at50557_222816_0:000d60|STRG.7665.2:109-801|+     -            231 107413at50557        -             88   2.9e-12   45.9   3.9   1   2       2.3   1.7e+02    1.8   0.0    25    36    28    39    21    62 0.84 -
107413at50557_222816_0:000d60|STRG.7665.2:109-801|+     -            231 107413at50557        -             88   2.9e-12   45.9   3.9   2   2   7.8e-13   5.7e-11   41.8   2.5     1    88   131   229   131   229 0.66 -
98621at50557_37344_0:001be5|STRG.14262.1:1581-2285|+    -            235 107413at50557        -             88   3.1e-12   45.8   2.2   1   1     6e-14   4.4e-12   45.3   1.0    28    88   173   235   154   235 0.91 -
98621at50557_37344_0:001be5|STRG.14262.2:1536-2240|+    -            235 107413at50557        -             88   3.1e-12   45.8   2.2   1   1     6e-14   4.4e-12   45.3   1.0    28    88   173   235   154   235 0.91 -
98621at50557_37344_0:001be5|STRG.14262.3:1836-2540|+    -            235 107413at50557        -             88   3.1e-12   45.8   2.2   1   1     6e-14   4.4e-12   45.3   1.0    28    88   173   235   154   235 0.91 -
98621at50557_37344_0:001be5|STRG.14262.4:1581-2285|+    -            235 107413at50557        -             88   3.1e-12   45.8   2.2   1   1     6e-14   4.4e-12   45.3   1.0    28    88   173   235   154   235 0.91 -
98621at50557_37344_0:001be5|STRG.14262.5:1536-2240|+    -            235 107413at50557        -             88   3.1e-12   45.8   2.2   1   1     6e-14   4.4e-12   45.3   1.0    28    88   173   235   154   235 0.91 -
98621at50557_79782_0:0026bc|STRG.11277.1:186-902|+      -            239 107413at50557        -             88   3.7e-12   45.6   1.4   1   1   2.3e-13   1.6e-11   43.5   1.4     3    88   138   239   136   239 0.71 -
98621at50557_110193_0:0027e7|STRG.3094.1:233-1006|+     -            258 107413at50557        -             88     5e-12   45.2   1.2   1   1   2.7e-13     2e-11   43.2   1.1    27    88   196   257   152   257 0.84 -
98621at50557_110193_0:0027e7|STRG.3094.2:224-997|+      -            258 107413at50557        -             88     5e-12   45.2   1.2   1   1   2.7e-13     2e-11   43.2   1.1    27    88   196   257   152   257 0.84 -
45935at50557_34720_0:00050a|STRG.2185.1:226-2525|+      -            759 107413at50557        -             88   6.1e-12   44.9   4.8   1   1     2e-13   1.5e-11   43.7   3.3    29    88   690   750   675   750 0.88 -
45935at50557_34720_0:00050a|STRG.2185.2:252-2528|+      -            759 107413at50557        -             88   6.1e-12   44.9   4.8   1   1     2e-13   1.5e-11   43.7   3.3    29    88   690   750   675   750 0.88 -
98621at50557_7091_0:002a38|STRG.15291.1:188-934|+       -            249 107413at50557        -             88   6.2e-12   44.9   0.6   1   2       8.2     6e+02    0.1   0.0    20    38    37    55    26    90 0.75 -
98621at50557_7091_0:002a38|STRG.15291.1:188-934|+       -            249 107413at50557        -             88   6.2e-12   44.9   0.6   2   2   4.6e-13   3.4e-11   42.5   0.2    26    88   186   249   169   249 0.79 -
98621at50557_7493_0:001d9f|STRG.10541.1:0-686|+         -            229 107413at50557        -             88   6.5e-12   44.8   1.5   1   2       5.8   4.2e+02    0.5   0.0    24    37    15    27    10    46 0.74 -
98621at50557_7493_0:001d9f|STRG.10541.1:0-686|+         -            229 107413at50557        -             88   6.5e-12   44.8   1.5   2   2   4.5e-13   3.3e-11   42.5   0.2    28    88   166   229   151   229 0.87 -
98621at50557_315563_0:000f4d|STRG.2776.1:117-785|+      -            223 107413at50557        -             88     1e-11   44.2   2.7   1   1   2.4e-13   1.7e-11   43.4   0.6     1    88   123   219   123   219 0.72 -
98621at50557_7038_0:0003d0|STRG.10542.1:104-826|+       -            241 107413at50557        -             88   1.3e-11   43.8   1.0   1   2       5.1   3.7e+02    0.7   0.0    28    37    29    38    21    73 0.78 -
98621at50557_7038_0:0003d0|STRG.10542.1:104-826|+       -            241 107413at50557        -             88   1.3e-11   43.8   1.0   2   2   1.9e-12   1.4e-10   40.5   0.5    28    88   177   240   170   240 0.87 -
98621at50557_28612_0:00515f|STRG.10544.1:110-844|+      -            245 107413at50557        -             88   1.4e-11   43.7   0.8   1   1   4.6e-13   3.4e-11   42.5   0.4    28    88   177   241   161   241 0.86 -
93746at50557_568069_0:0045cd|STRG.13975.1:177-1313|+    -            379 107413at50557        -             88   1.9e-11   43.3   4.0   1   2        10   7.2e+02   -0.2   0.1     2    21   261   284   260   305 0.65 -
93746at50557_568069_0:0045cd|STRG.13975.1:177-1313|+    -            379 107413at50557        -             88   1.9e-11   43.3   4.0   2   2   2.7e-13     2e-11   43.3   1.3    27    88   311   374   298   374 0.83 -
93746at50557_568069_0:0045cd|STRG.13975.2:47-1153|+     -            369 107413at50557        -             88   1.9e-11   43.3   1.4   1   2       9.6     7e+02   -0.2   0.1     2    21   251   274   250   295 0.65 -
93746at50557_568069_0:0045cd|STRG.13975.2:47-1153|+     -            369 107413at50557        -             88   1.9e-11   43.3   1.4   2   2   2.7e-13   1.9e-11   43.3   1.4    27    88   301   364   288   364 0.83 -
98621at50557_568069_0:004daa|STRG.2783.1:90-767|+       -            226 107413at50557        -             88   2.7e-11   42.8   3.9   1   1   3.8e-13   2.8e-11   42.8   1.5     3    88   127   222   125   222 0.75 -
98621at50557_166361_0:000283|STRG.16398.2:95-790|+      -            232 107413at50557        -             88   3.3e-11   42.5   1.6   1   2       4.3   3.1e+02    0.9   0.1    23    36    27    39    17    54 0.77 -
98621at50557_166361_0:000283|STRG.16398.2:95-790|+      -            232 107413at50557        -             88   3.3e-11   42.5   1.6   2   2   4.9e-12   3.6e-10   39.2   0.3     3    88   135   231   133   231 0.69 -
98621at50557_286706_0:000660|STRG.13152.1:353-1024|+    -            224 107413at50557        -             88   3.5e-11   42.5   0.2   1   1   2.1e-12   1.5e-10   40.4   0.1    28    88   163   219   144   219 0.84 -
98621at50557_166361_0:000283|STRG.16398.1:277-984|+     -            236 107413at50557        -             88   3.8e-11   42.3   1.7   1   2       4.4   3.2e+02    0.9   0.1    23    36    31    43    21    58 0.77 -
98621at50557_166361_0:000283|STRG.16398.1:277-984|+     -            236 107413at50557        -             88   3.8e-11   42.3   1.7   2   2   5.2e-12   3.8e-10   39.1   0.3     3    88   139   235   137   235 0.69 -
107413at50557_2015173_0:00166d|STRG.10543.1:94-834|+    -            247 107413at50557        -             88   4.7e-11   42.1   1.0   1   1   1.8e-12   1.3e-10   40.6   0.5    28    88   185   247   167   247 0.86 -
107413at50557_2015173_0:00166d|STRG.10543.3:94-834|+    -            247 107413at50557        -             88   4.7e-11   42.1   1.0   1   1   1.8e-12   1.3e-10   40.6   0.5    28    88   185   247   167   247 0.86 -
98621at50557_79782_0:0026bc|STRG.15335.1:85-759|+       -            225 107413at50557        -             88   6.1e-11   41.7   5.2   1   1   1.1e-11     8e-10   38.1   5.2     3    88   125   225   123   225 0.67 -
98621at50557_166361_0:000283|STRG.7792.1:618-1415|+     -            266 107413at50557        -             88   7.5e-11   41.4   2.9   1   1   1.4e-11     1e-09   37.8   2.9     2    88   154   262   153   262 0.66 -
98621at50557_166361_0:000283|STRG.7792.3:450-1247|+     -            266 107413at50557        -             88   7.5e-11   41.4   2.9   1   1   1.4e-11     1e-09   37.8   2.9     2    88   154   262   153   262 0.66 -
93746at50557_568069_0:0045cd|STRG.7795.1:201-1289|+     -            363 107413at50557        -             88   7.6e-11   41.4   3.0   1   1   2.7e-11     2e-09   36.9   3.0    26    88   294   363   253   363 0.73 -
93746at50557_568069_0:0045cd|STRG.7795.2:222-1310|+     -            363 107413at50557        -             88   7.6e-11   41.4   3.0   1   1   2.7e-11     2e-09   36.9   3.0    26    88   294   363   253   363 0.73 -
93746at50557_568069_0:0045cd|STRG.7792.2:336-1418|+     -            361 107413at50557        -             88   1.4e-10   40.5   2.6   1   1   2.2e-11   1.6e-09   37.2   2.6     2    88   253   361   252   361 0.66 -
107413at50557_222816_0:000d60|STRG.10540.1:64-777|+     -            238 107413at50557        -             88   1.7e-10   40.3   3.4   1   3       9.4   6.8e+02   -0.1   0.0    29    44    30    50    25    70 0.61 -
107413at50557_222816_0:000d60|STRG.10540.1:64-777|+     -            238 107413at50557        -             88   1.7e-10   40.3   3.4   2   3       3.9   2.8e+02    1.1   0.0     3    23   128   153   126   160 0.70 -
107413at50557_222816_0:000d60|STRG.10540.1:64-777|+     -            238 107413at50557        -             88   1.7e-10   40.3   3.4   3   3   1.3e-11   9.8e-10   37.8   0.6    20    88   167   237   155   237 0.79 -
93746at50557_568069_0:0045cd|STRG.15176.3:320-1372|+    -            351 107413at50557        -             88   2.1e-10   40.0   0.5   1   1   7.4e-12   5.4e-10   38.7   0.5    35    88   292   346   280   346 0.84 -
93746at50557_568069_0:0045cd|STRG.15176.1:148-1230|+    -            361 107413at50557        -             88   2.2e-10   39.9   0.5   1   1   7.7e-12   5.6e-10   38.6   0.5    35    88   302   356   290   356 0.84 -
93746at50557_568069_0:0045cd|STRG.15176.2:148-1230|+    -            361 107413at50557        -             88   2.2e-10   39.9   0.5   1   1   7.7e-12   5.6e-10   38.6   0.5    35    88   302   356   290   356 0.84 -
98621at50557_35570_0:003022|STRG.4776.1:16-495|+        -            160 107413at50557        -             88   5.8e-10   38.5   0.8   1   1   1.5e-11   1.1e-09   37.7   0.8    30    88   101   158    85   158 0.86 -
98621at50557_211228_0:0004ca|STRG.15292.1:118-810|+     -            231 107413at50557        -             88     2e-09   36.8   6.5   1   1     6e-11   4.3e-09   35.7   4.6    29    88   169   226   124   226 0.87 -
107413at50557_597456_0:0008f9|STRG.13932.1:180-818|+    -            213 107413at50557        -             88   3.9e-09   35.9   4.5   1   1   1.2e-10   8.9e-09   34.8   4.5    28    88   154   208   111   208 0.89 -
45935at50557_67767_0:003589|STRG.12252.1:568-1347|+     -            260 107413at50557        -             88   8.3e-09   34.8   3.7   1   2       0.5        36    3.9   0.0     1    24   137   165   137   171 0.63 -
45935at50557_67767_0:003589|STRG.12252.1:568-1347|+     -            260 107413at50557        -             88   8.3e-09   34.8   3.7   2   2   4.1e-09     3e-07   29.9   2.2    27    88   186   251   166   251 0.84 -
98621at50557_139723_0:00116f|STRG.15518.1:423-1169|+    -            249 107413at50557        -             88   8.9e-09   34.7   0.6   1   1   4.2e-10     3e-08   33.0   0.6    29    88   186   246   146   246 0.64 -
107413at50557_2015173_0:00166d|STRG.15278.1:1804-2559|+ -            252 107413at50557        -             88   9.7e-09   34.6   4.1   1   1   5.5e-09     4e-07   29.5   4.1    27    88   185   250   142   250 0.69 -
107413at50557_2015173_0:00166d|STRG.15278.2:1676-2431|+ -            252 107413at50557        -             88   9.7e-09   34.6   4.1   1   1   5.5e-09     4e-07   29.5   4.1    27    88   185   250   142   250 0.69 -
98621at50557_79782_0:0026bc|STRG.11674.1:259-972|+      -            238 107413at50557        -             88   9.7e-09   34.6   2.2   1   1   3.3e-10   2.4e-08   33.4   1.1    41    88   183   232   131   232 0.80 -
98621at50557_79782_0:0026bc|STRG.11674.2:255-968|+      -            238 107413at50557        -             88   9.7e-09   34.6   2.2   1   1   3.3e-10   2.4e-08   33.4   1.1    41    88   183   232   131   232 0.80 -
