#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42026at50557_34720_0:001298|STRG.7787.1:631-2202|+    -            524 42026at50557         -            429  1.4e-204  678.8   6.3   1   1  1.3e-205  3.9e-203  674.0   6.3     5   416    28   473    24   504 0.91 -
84764at50557_319348_0:00198b|STRG.7080.1:288-1172|+   -            295 42026at50557         -            429     0.036   11.9   0.9   1   2       1.8   5.3e+02   -1.9   0.0   119   144     7    33     6    57 0.79 -
84764at50557_319348_0:00198b|STRG.7080.1:288-1172|+   -            295 42026at50557         -            429     0.036   11.9   0.9   2   2   0.00018     0.053   11.3   0.2   262   311   118   169    74   219 0.68 -
58206at50557_103372_0:002486|STRG.4927.1:649-1893|+   -            415 42026at50557         -            429     0.065   11.0   0.0   1   1    0.0003     0.091   10.5   0.0   226   303   158   239   126   248 0.85 -
58206at50557_103372_0:002486|STRG.4927.2:649-1893|+   -            415 42026at50557         -            429     0.065   11.0   0.0   1   1    0.0003     0.091   10.5   0.0   226   303   158   239   126   248 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42026at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/42026at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42026at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:09:27 2024
# [ok]
