#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
92898at50557_103372_0:00055a|STRG.9030.1:352-1155|+     -            268 92898at50557         -            222  2.9e-109  362.6   3.4   1   1  5.4e-111    2e-108  359.9   3.4     1   222     3   249     3   249 0.95 -
60961at50557_168631_0:0009c7|STRG.13481.1:416-730|+     -            105 92898at50557         -            222     0.002   16.6   0.2   1   1   5.9e-06    0.0022   16.4   0.2   116   146    26    56     6    72 0.86 -
60961at50557_168631_0:0009c7|STRG.13481.2:251-565|+     -            105 92898at50557         -            222     0.002   16.6   0.2   1   1   5.9e-06    0.0022   16.4   0.2   116   146    26    56     6    72 0.86 -
60961at50557_168631_0:0009c7|STRG.13481.3:405-719|+     -            105 92898at50557         -            222     0.002   16.6   0.2   1   1   5.9e-06    0.0022   16.4   0.2   116   146    26    56     6    72 0.86 -
60961at50557_168631_0:0009c7|STRG.13481.4:390-704|+     -            105 92898at50557         -            222     0.002   16.6   0.2   1   1   5.9e-06    0.0022   16.4   0.2   116   146    26    56     6    72 0.86 -
60961at50557_168631_0:0009c7|STRG.13481.5:293-607|+     -            105 92898at50557         -            222     0.002   16.6   0.2   1   1   5.9e-06    0.0022   16.4   0.2   116   146    26    56     6    72 0.86 -
60961at50557_168631_0:0009c7|STRG.13481.6:300-614|+     -            105 92898at50557         -            222     0.002   16.6   0.2   1   1   5.9e-06    0.0022   16.4   0.2   116   146    26    56     6    72 0.86 -
138527at50557_1049336_0:004c49|STRG.16476.1:1165-1449|+ -             95 92898at50557         -            222    0.0093   14.4   0.0   1   1   2.6e-05    0.0098   14.3   0.0   117   159    35    77    19    92 0.83 -
65618at50557_110193_0:0020cd|STRG.6309.1:352-1041|+     -            230 92898at50557         -            222     0.016   13.6   0.0   1   1   6.7e-05     0.025   12.9   0.0   116   173     7    66     2    82 0.79 -
138527at50557_1049336_0:004c49|STRG.389.1:48-281|+      -             78 92898at50557         -            222     0.043   12.2   0.0   1   1   0.00013      0.05   12.0   0.0   134   176    13    53     7    61 0.87 -
138527at50557_217634_0:002b14|STRG.1316.1:1519-1854|+   -            112 92898at50557         -            222     0.073   11.4   0.0   1   1   0.00022     0.084   11.2   0.0   123   194    33   101    12   110 0.82 -
138527at50557_217634_0:002b14|STRG.1316.2:1455-1790|+   -            112 92898at50557         -            222     0.073   11.4   0.0   1   1   0.00022     0.084   11.2   0.0   123   194    33   101    12   110 0.82 -
138527at50557_217634_0:002b14|STRG.1316.3:1339-1674|+   -            112 92898at50557         -            222     0.073   11.4   0.0   1   1   0.00022     0.084   11.2   0.0   123   194    33   101    12   110 0.82 -
138527at50557_217634_0:002b14|STRG.1316.4:1339-1674|+   -            112 92898at50557         -            222     0.073   11.4   0.0   1   1   0.00022     0.084   11.2   0.0   123   194    33   101    12   110 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/92898at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/92898at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/92898at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:13:19 2024
# [ok]
