#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117699at50557_104421_0:002a75|STRG.4224.1:440-1039|+   -            200 117699at50557        -            170   5.7e-91  302.2   0.1   1   1   5.1e-93   1.2e-90  301.1   0.1     1   169     1   197     1   198 0.94 -
120473at50557_37344_0:000b45|STRG.1766.3:280-762|+     -            161 117699at50557        -            170   4.7e-26   90.9   0.0   1   1   2.2e-28   5.4e-26   90.7   0.0    25   127    31   132     5   147 0.90 -
116934at50557_103372_0:000d14|STRG.2538.1:173-733|+    -            187 117699at50557        -            170   1.3e-24   86.3   0.0   1   1   6.3e-27   1.5e-24   86.0   0.0    25   125    58   157    29   175 0.83 -
117699at50557_7394_0:002ded|STRG.11572.1:788-1180|+    -            131 117699at50557        -            170   8.5e-22   77.1   0.0   1   1     4e-24   9.6e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.11572.2:1489-1881|+   -            131 117699at50557        -            170   8.5e-22   77.1   0.0   1   1     4e-24   9.6e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.11572.3:830-1222|+    -            131 117699at50557        -            170   8.5e-22   77.1   0.0   1   1     4e-24   9.6e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
117699at50557_7394_0:002ded|STRG.11572.4:788-1180|+    -            131 117699at50557        -            170   8.5e-22   77.1   0.0   1   1     4e-24   9.6e-22   76.9   0.0    29   125    15   112     6   128 0.90 -
116934at50557_286706_0:0006a3|STRG.16194.1:1125-1619|+ -            165 117699at50557        -            170   1.7e-21   76.0   0.0   1   1   8.4e-24     2e-21   75.8   0.0    24   110    52   137    29   153 0.91 -
116934at50557_286706_0:0006a3|STRG.16194.2:997-1491|+  -            165 117699at50557        -            170   1.7e-21   76.0   0.0   1   1   8.4e-24     2e-21   75.8   0.0    24   110    52   137    29   153 0.91 -
120473at50557_1041015_0:0012df|STRG.4882.1:1357-1839|+ -            161 117699at50557        -            170   1.8e-20   72.7   0.0   1   1   3.3e-22   7.9e-20   70.6   0.0    19   125    24   143    11   158 0.83 -
117699at50557_28612_0:004e72|STRG.13893.1:82-462|+     -            127 117699at50557        -            170   2.5e-19   69.0   0.0   1   1   1.2e-21   2.8e-19   68.8   0.0    23   124    26   126    10   127 0.86 -
120473at50557_1041015_0:0012df|STRG.3292.1:198-686|+   -            163 117699at50557        -            170   3.6e-19   68.5   0.1   1   1   6.8e-21   1.6e-18   66.4   0.1    32   126    40   146    26   159 0.80 -
116934at50557_108931_0:001c95|STRG.14919.1:274-696|+   -            141 117699at50557        -            170   7.5e-19   67.5   0.0   1   1   3.9e-21   9.5e-19   67.1   0.0    35   123    36   123    29   139 0.89 -
120473at50557_28612_0:003609|STRG.15377.1:197-616|+    -            140 117699at50557        -            170   2.6e-18   65.7   0.0   1   1   1.2e-20   2.8e-18   65.6   0.0    18   118    18   117     2   136 0.92 -
116934at50557_121225_0:000e6c|STRG.3772.1:156-491|+    -            112 117699at50557        -            170   1.3e-15   56.9   0.0   1   1   5.8e-18   1.4e-15   56.8   0.0    16   109    17   111     7   112 0.91 -
116934at50557_121225_0:000e6c|STRG.3772.2:370-756|+    -            129 117699at50557        -            170   1.8e-15   56.5   0.0   1   1   8.3e-18     2e-15   56.3   0.0    16   109    34   128    16   129 0.91 -
120473at50557_1049336_0:000626|STRG.16575.1:279-731|+  -            151 117699at50557        -            170   5.2e-15   55.0   0.0   1   1   2.8e-17   6.7e-15   54.6   0.0    29   123    41   136    36   150 0.86 -
120473at50557_1049336_0:000626|STRG.7891.1:248-733|+   -            162 117699at50557        -            170   5.6e-14   51.6   0.0   1   1   9.9e-16   2.4e-13   49.6   0.0    22   131    29   147     1   157 0.80 -
128261at50557_103372_0:000077|STRG.16063.1:338-769|+   -            144 117699at50557        -            170   4.4e-13   48.7   0.0   1   1   3.2e-15   7.6e-13   47.9   0.0    26   112    43   131    32   137 0.87 -
117699at50557_7493_0:0020c6|STRG.10213.1:279-716|+     -            146 117699at50557        -            170   7.4e-13   47.9   0.0   1   1   3.5e-15   8.3e-13   47.8   0.0    41   121    37   123    29   146 0.80 -
117699at50557_7244_0:002000|STRG.11539.1:796-1164|+    -            123 117699at50557        -            170     9e-12   44.4   0.0   1   1   1.4e-13   3.4e-11   42.5   0.0    12   107    14   122     5   123 0.79 -
117699at50557_7244_0:002000|STRG.11539.2:796-1164|+    -            123 117699at50557        -            170     9e-12   44.4   0.0   1   1   1.4e-13   3.4e-11   42.5   0.0    12   107    14   122     5   123 0.79 -
117699at50557_7244_0:002000|STRG.11539.3:796-1164|+    -            123 117699at50557        -            170     9e-12   44.4   0.0   1   1   1.4e-13   3.4e-11   42.5   0.0    12   107    14   122     5   123 0.79 -
117925at50557_37001_0:0022f0|STRG.2641.1:295-744|+     -            150 117699at50557        -            170   6.3e-08   31.9   0.0   1   1   3.4e-10   8.3e-08   31.5   0.0     6   109    17   125    12   132 0.79 -
120473at50557_28612_0:003609|STRG.9236.1:13452-13745|+ -             98 117699at50557        -            170   1.5e-07   30.7   0.0   1   1   7.3e-10   1.8e-07   30.5   0.0    34   113     2    93     1    98 0.78 -
117925at50557_103372_0:00113b|STRG.1920.4:489-1184|+   -            232 117699at50557        -            170   2.2e-06   26.9   0.0   1   1   1.2e-08     3e-06   26.5   0.0    22   110    33   121     8   142 0.83 -
117925at50557_103372_0:00113b|STRG.1920.1:572-1270|+   -            233 117699at50557        -            170   2.2e-06   26.9   0.0   1   1   1.2e-08     3e-06   26.4   0.0    22   110    34   122     9   143 0.83 -
117925at50557_103372_0:00113b|STRG.1920.2:572-1270|+   -            233 117699at50557        -            170   2.2e-06   26.9   0.0   1   1   1.2e-08     3e-06   26.4   0.0    22   110    34   122     9   143 0.83 -
117925at50557_103372_0:00113b|STRG.1920.3:522-1220|+   -            233 117699at50557        -            170   2.2e-06   26.9   0.0   1   1   1.2e-08     3e-06   26.4   0.0    22   110    34   122     9   143 0.83 -
117925at50557_307491_0:0033e6|STRG.11760.1:523-972|+   -            150 117699at50557        -            170   2.5e-05   23.5   0.0   1   1   2.1e-07     5e-05   22.5   0.0    45   108    55   119     5   142 0.72 -
117925at50557_307491_0:0033e6|STRG.11760.2:582-1031|+  -            150 117699at50557        -            170   2.5e-05   23.5   0.0   1   1   2.1e-07     5e-05   22.5   0.0    45   108    55   119     5   142 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/117699at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/117699at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/117699at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:53 2024
# [ok]
