#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83902at50557_13686_0:0017a1|STRG.12660.1:0-851|+       -            284 83902at50557         -            211  3.7e-106  352.4  11.3   1   1  2.1e-107  1.6e-105  350.3  11.3     1   211    15   256    15   256 0.93 -
54603at50557_217634_0:0030bb|STRG.5530.1:514-1614|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   5   5   2.8e-07   2.2e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
54603at50557_217634_0:0030bb|STRG.5530.2:514-1614|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   1   5   4.7e-07   3.6e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.5530.2:514-1614|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   2   5   7.7e-23   5.9e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.2:514-1614|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   3   5   8.8e-06   0.00067   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.2:514-1614|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   4   5   1.3e-08   9.9e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.5530.2:514-1614|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   5   5   2.8e-07   2.2e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
54603at50557_217634_0:0030bb|STRG.5530.4:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   1   5   4.7e-07   3.6e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.5530.4:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   2   5   7.7e-23   5.9e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.4:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   3   5   8.8e-06   0.00067   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.4:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   4   5   1.3e-08   9.9e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.5530.4:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   5   5   2.8e-07   2.2e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
54603at50557_217634_0:0030bb|STRG.5530.5:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   1   5   4.7e-07   3.6e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.5530.5:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   2   5   7.7e-23   5.9e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.5:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   3   5   8.8e-06   0.00067   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.5:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   4   5   1.3e-08   9.9e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.5530.5:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   5   5   2.8e-07   2.2e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
54603at50557_217634_0:0030bb|STRG.5530.6:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   1   5   4.7e-07   3.6e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.5530.6:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   2   5   7.7e-23   5.9e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.6:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   3   5   8.8e-06   0.00067   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.6:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   4   5   1.3e-08   9.9e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.5530.6:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   5   5   2.8e-07   2.2e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
54603at50557_217634_0:0030bb|STRG.5530.7:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   1   5   4.7e-07   3.6e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.5530.7:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   2   5   7.7e-23   5.9e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.7:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   3   5   8.8e-06   0.00067   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.7:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   4   5   1.3e-08   9.9e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.5530.7:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   5   5   2.8e-07   2.2e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
54603at50557_217634_0:0030bb|STRG.5530.8:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   1   5   4.7e-07   3.6e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.5530.8:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   2   5   7.7e-23   5.9e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.8:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   3   5   8.8e-06   0.00067   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.5530.8:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   4   5   1.3e-08   9.9e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.5530.8:480-1580|+    -            367 83902at50557         -            211   9.2e-44  148.5  21.9   5   5   2.8e-07   2.2e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 83902at50557         -            211   2.2e-39  134.2  57.0   1   9   4.9e-07   3.8e-05   22.4   1.2    34   174    25   181    10   185 0.80 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 83902at50557         -            211   2.2e-39  134.2  57.0   2   9    0.0069      0.53    8.8   0.0    37    72   173   208   164   212 0.90 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 83902at50557         -            211   2.2e-39  134.2  57.0   3   9   1.9e-08   1.4e-06   27.0   4.3    41   178   200   352   199   361 0.80 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 83902at50557         -            211   2.2e-39  134.2  57.0   4   9   1.6e-05    0.0013   17.4   4.7    91   159   435   507   387   528 0.71 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 83902at50557         -            211   2.2e-39  134.2  57.0   5   9   3.6e-06   0.00028   19.5   3.6    50   181   481   625   480   631 0.72 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 83902at50557         -            211   2.2e-39  134.2  57.0   6   9   1.2e-12     9e-11   40.7   5.9    34   177   631   792   627   796 0.75 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 83902at50557         -            211   2.2e-39  134.2  57.0   7   9   4.3e-07   3.3e-05   22.5   0.8    90   174   796   884   792   887 0.84 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 83902at50557         -            211   2.2e-39  134.2  57.0   8   9   1.3e-05     0.001   17.7   0.4   118   178   848   912   844   916 0.86 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 83902at50557         -            211   2.2e-39  134.2  57.0   9   9      0.31        24    3.4   0.2    31    74   894   938   889   951 0.79 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   1   9   5.6e-07   4.3e-05   22.2   1.2    34   174    25   181    15   185 0.80 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   2   9    0.0068      0.52    8.8   0.0    37    72   173   208   166   217 0.90 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   3   9   6.4e-09   4.9e-07   28.5   4.2    38   178   197   352   195   361 0.81 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   4   9   1.3e-05   0.00098   17.7   4.4    91   160   435   508   381   530 0.72 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   5   9   2.6e-05     0.002   16.7   0.6   117   181   556   625   528   632 0.77 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   6   9   1.3e-12   9.9e-11   40.6   5.8    34   177   631   792   627   795 0.75 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   7   9   1.1e-05   0.00082   18.0   0.3    90   154   796   864   792   867 0.90 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   8   9   5.7e-08   4.4e-06   25.4   0.5    86   178   816   912   814   917 0.87 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   9   9       2.7   2.1e+02    0.3   0.1    95   115   920   939   914   958 0.50 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   1   9   5.6e-07   4.3e-05   22.2   1.2    34   174    25   181    15   185 0.80 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   2   9    0.0068      0.52    8.8   0.0    37    72   173   208   166   217 0.90 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   3   9   6.4e-09   4.9e-07   28.5   4.2    38   178   197   352   195   361 0.81 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   4   9   1.3e-05   0.00098   17.7   4.4    91   160   435   508   381   530 0.72 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   5   9   2.6e-05     0.002   16.7   0.6   117   181   556   625   528   632 0.77 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   6   9   1.3e-12   9.9e-11   40.6   5.8    34   177   631   792   627   795 0.75 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   7   9   1.1e-05   0.00082   18.0   0.3    90   154   796   864   792   867 0.90 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   8   9   5.7e-08   4.4e-06   25.4   0.5    86   178   816   912   814   917 0.87 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   9   9       2.7   2.1e+02    0.3   0.1    95   115   920   939   914   958 0.50 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   1   9   5.6e-07   4.3e-05   22.2   1.2    34   174    25   181    15   185 0.80 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   2   9    0.0068      0.52    8.8   0.0    37    72   173   208   166   217 0.90 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   3   9   6.4e-09   4.9e-07   28.5   4.2    38   178   197   352   195   361 0.81 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   4   9   1.3e-05   0.00098   17.7   4.4    91   160   435   508   381   530 0.72 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   5   9   2.6e-05     0.002   16.7   0.6   117   181   556   625   528   632 0.77 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   6   9   1.3e-12   9.9e-11   40.6   5.8    34   177   631   792   627   795 0.75 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   7   9   1.1e-05   0.00082   18.0   0.3    90   154   796   864   792   867 0.90 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   8   9   5.7e-08   4.4e-06   25.4   0.5    86   178   816   912   814   917 0.87 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 83902at50557         -            211   2.8e-39  133.8  57.2   9   9       2.7   2.1e+02    0.3   0.1    95   115   920   939   914   958 0.50 -
54603at50557_7070_0:002ddb|STRG.4930.1:168-1349|+      -            394 83902at50557         -            211   8.5e-39  132.3  21.1   1   4      0.16        12    4.4   0.0    38   136    11    47     6    56 0.52 -
54603at50557_7070_0:002ddb|STRG.4930.1:168-1349|+      -            394 83902at50557         -            211   8.5e-39  132.3  21.1   2   4   4.5e-25   3.5e-23   81.3   2.6    34   184    54   213    46   223 0.86 -
54603at50557_7070_0:002ddb|STRG.4930.1:168-1349|+      -            394 83902at50557         -            211   8.5e-39  132.3  21.1   3   4     5e-10   3.9e-08   32.1   0.3    81   183   223   327   221   332 0.90 -
54603at50557_7070_0:002ddb|STRG.4930.1:168-1349|+      -            394 83902at50557         -            211   8.5e-39  132.3  21.1   4   4   7.5e-08   5.8e-06   25.0   2.1    35    84   331   380   327   385 0.91 -
54603at50557_7070_0:002ddb|STRG.4930.3:168-1349|+      -            394 83902at50557         -            211   8.5e-39  132.3  21.1   1   4      0.16        12    4.4   0.0    38   136    11    47     6    56 0.52 -
54603at50557_7070_0:002ddb|STRG.4930.3:168-1349|+      -            394 83902at50557         -            211   8.5e-39  132.3  21.1   2   4   4.5e-25   3.5e-23   81.3   2.6    34   184    54   213    46   223 0.86 -
54603at50557_7070_0:002ddb|STRG.4930.3:168-1349|+      -            394 83902at50557         -            211   8.5e-39  132.3  21.1   3   4     5e-10   3.9e-08   32.1   0.3    81   183   223   327   221   332 0.90 -
54603at50557_7070_0:002ddb|STRG.4930.3:168-1349|+      -            394 83902at50557         -            211   8.5e-39  132.3  21.1   4   4   7.5e-08   5.8e-06   25.0   2.1    35    84   331   380   327   385 0.91 -
54603at50557_7070_0:002ddb|STRG.4930.2:168-1412|+      -            415 83902at50557         -            211   1.3e-38  131.7  21.3   1   4      0.11       8.1    4.9   0.0    37    77    10    51     6    59 0.50 -
54603at50557_7070_0:002ddb|STRG.4930.2:168-1412|+      -            415 83902at50557         -            211   1.3e-38  131.7  21.3   2   4   6.4e-25   4.9e-23   80.8   3.0    34   184    54   213    47   225 0.86 -
54603at50557_7070_0:002ddb|STRG.4930.2:168-1412|+      -            415 83902at50557         -            211   1.3e-38  131.7  21.3   3   4   5.6e-10   4.3e-08   32.0   0.3    81   183   223   327   221   332 0.90 -
54603at50557_7070_0:002ddb|STRG.4930.2:168-1412|+      -            415 83902at50557         -            211   1.3e-38  131.7  21.3   4   4     1e-07   7.9e-06   24.6   2.2    35    84   331   380   328   385 0.91 -
54603at50557_116153_0:001d7a|STRG.10090.2:485-1951|+   -            489 83902at50557         -            211   1.4e-35  121.8  35.5   1   5   4.3e-14   3.3e-12   45.4   9.4    61   181    11   133     1   133 0.80 -
54603at50557_116153_0:001d7a|STRG.10090.2:485-1951|+   -            489 83902at50557         -            211   1.4e-35  121.8  35.5   2   5   2.3e-09   1.8e-07   30.0   0.2    32    85    90   143    87   147 0.94 -
54603at50557_116153_0:001d7a|STRG.10090.2:485-1951|+   -            489 83902at50557         -            211   1.4e-35  121.8  35.5   3   5       0.1       7.7    5.0   0.0    34    72   138   175   136   181 0.77 -
54603at50557_116153_0:001d7a|STRG.10090.2:485-1951|+   -            489 83902at50557         -            211   1.4e-35  121.8  35.5   4   5   3.1e-08   2.4e-06   26.3   2.4    81   184   168   273   164   293 0.85 -
54603at50557_116153_0:001d7a|STRG.10090.2:485-1951|+   -            489 83902at50557         -            211   1.4e-35  121.8  35.5   5   5   2.1e-15   1.6e-13   49.7   6.0    33   172   339   489   319   489 0.87 -
54603at50557_116153_0:001d7a|STRG.10090.3:374-1840|+   -            489 83902at50557         -            211   1.4e-35  121.8  35.5   1   5   4.3e-14   3.3e-12   45.4   9.4    61   181    11   133     1   133 0.80 -
54603at50557_116153_0:001d7a|STRG.10090.3:374-1840|+   -            489 83902at50557         -            211   1.4e-35  121.8  35.5   2   5   2.3e-09   1.8e-07   30.0   0.2    32    85    90   143    87   147 0.94 -
54603at50557_116153_0:001d7a|STRG.10090.3:374-1840|+   -            489 83902at50557         -            211   1.4e-35  121.8  35.5   3   5       0.1       7.7    5.0   0.0    34    72   138   175   136   181 0.77 -
54603at50557_116153_0:001d7a|STRG.10090.3:374-1840|+   -            489 83902at50557         -            211   1.4e-35  121.8  35.5   4   5   3.1e-08   2.4e-06   26.3   2.4    81   184   168   273   164   293 0.85 -
54603at50557_116153_0:001d7a|STRG.10090.3:374-1840|+   -            489 83902at50557         -            211   1.4e-35  121.8  35.5   5   5   2.1e-15   1.6e-13   49.7   6.0    33   172   339   489   319   489 0.87 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 83902at50557         -            211   9.2e-31  106.0  64.0   1   9   0.00058     0.044   12.3   0.8    91   186   124   228    71   229 0.70 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 83902at50557         -            211   9.2e-31  106.0  64.0   2   9   0.00046     0.035   12.6   0.4   104   180   229   310   221   318 0.84 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 83902at50557         -            211   9.2e-31  106.0  64.0   3   9   3.2e-06   0.00024   19.7   3.5    35   177   317   475   310   478 0.78 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 83902at50557         -            211   9.2e-31  106.0  64.0   4   9   8.7e-06   0.00067   18.3   2.0    34   158   413   553   384   563 0.75 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 83902at50557         -            211   9.2e-31  106.0  64.0   5   9   0.00022     0.017   13.7   2.2    52   178   506   648   503   670 0.76 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 83902at50557         -            211   9.2e-31  106.0  64.0   6   9   3.8e-15   2.9e-13   48.9   3.8    38   179   662   814   661   820 0.83 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 83902at50557         -            211   9.2e-31  106.0  64.0   7   9   9.6e-05    0.0073   14.9   4.9    38   135   802   909   800   918 0.78 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 83902at50557         -            211   9.2e-31  106.0  64.0   8   9   8.6e-05    0.0066   15.0   2.8    97   170   916   991   911  1002 0.84 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 83902at50557         -            211   9.2e-31  106.0  64.0   9   9       3.4   2.6e+02   -0.0   0.2   120   156  1058  1099  1037  1138 0.48 -
54603at50557_88501_0:001520|STRG.12557.2:27-1118|+     -            364 83902at50557         -            211   3.9e-30  104.0  23.4   1   4   2.7e-05    0.0021   16.7   0.2   127   185    12    70     5    91 0.79 -
54603at50557_88501_0:001520|STRG.12557.2:27-1118|+     -            364 83902at50557         -            211   3.9e-30  104.0  23.4   2   4   3.4e-07   2.6e-05   22.9   1.2    23    75    85   137    73   144 0.87 -
54603at50557_88501_0:001520|STRG.12557.2:27-1118|+     -            364 83902at50557         -            211   3.9e-30  104.0  23.4   3   4   1.9e-09   1.5e-07   30.2   7.8    33   133   142   251   137   255 0.78 -
54603at50557_88501_0:001520|STRG.12557.2:27-1118|+     -            364 83902at50557         -            211   3.9e-30  104.0  23.4   4   4   1.7e-17   1.3e-15   56.5   6.0    33   184   189   353   187   360 0.84 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3   1  11   4.8e-10   3.7e-08   32.2   2.0    70   178   111   228    59   229 0.77 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3   2  11     2e-06   0.00015   20.4   0.3    91   154   183   251   179   258 0.86 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3   3  11   9.2e-05     0.007   14.9   1.0    71   181   241   356   237   364 0.84 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3   4  11    0.0085      0.65    8.5   0.2   119   179   312   378   303   393 0.78 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3   5  11       2.8   2.1e+02    0.3   0.2   114   153   413   452   400   477 0.74 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3   6  11   7.3e-05    0.0056   15.3   2.3    43   157   497   627   463   630 0.77 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3   7  11    0.0015      0.12   10.9   0.6    91   124   629   662   626   679 0.82 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3   8  11     2e-06   0.00015   20.4   2.5    96   178   694   782   664   785 0.78 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3   9  11   0.00039      0.03   12.9   0.2   136   180   763   808   758   812 0.86 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3  10  11   7.7e-07   5.9e-05   21.7   5.7    34   198   814  1003   808  1016 0.72 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 83902at50557         -            211   3.4e-29  100.9  60.3  11  11   0.00014     0.011   14.4   1.6    26    86   929   990   923  1102 0.78 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 83902at50557         -            211   3.9e-29  100.7  60.4   1  12   4.8e-10   3.7e-08   32.2   2.0    70   178   119   236    67   237 0.77 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 83902at50557         -            211   3.9e-29  100.7  60.4   2  12     2e-06   0.00015   20.4   0.3    91   154   191   259   187   267 0.86 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 83902at50557         -            211   3.9e-29  100.7  60.4   3  12   7.2e-05    0.0055   15.3   1.2    68   181   246   364   241   372 0.84 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 83902at50557         -            211   3.9e-29  100.7  60.4   4  12    0.0086      0.66    8.5   0.2   119   179   320   386   311   401 0.78 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 83902at50557         -            211   3.9e-29  100.7  60.4   5  12       2.8   2.1e+02    0.3   0.2   114   153   421   460   408   485 0.74 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 83902at50557         -            211   3.9e-29  100.7  60.4   6  12   7.4e-05    0.0057   15.2   2.1    43   157   505   635   487   638 0.76 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 83902at50557         -            211   3.9e-29  100.7  60.4   7  12    0.0013       0.1   11.1   0.6    91   124   637   670   633   692 0.82 -
