#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_456900_0:001092|STRG.307.1:117-1994|+    -            626 35385at50557         -            530  1.6e-303 1006.6   0.5   1   1  1.9e-305  2.3e-303 1006.0   0.5     6   530    32   626    29   626 0.94 -
46658at50557_1155016_0:0008f1|STRG.9383.1:254-1357|+  -            368 35385at50557         -            530   5.3e-50  169.9   0.8   1   1   5.2e-52   6.2e-50  169.7   0.8   131   470     1   355     1   366 0.86 -
65449at50557_7237_0:000776|STRG.8371.1:104-1294|+     -            397 35385at50557         -            530   7.6e-50  169.4   0.6   1   1     1e-51   1.2e-49  168.8   0.6   125   464     8   368     2   381 0.80 -
65449at50557_7237_0:000776|STRG.8371.2:276-1466|+     -            397 35385at50557         -            530   7.6e-50  169.4   0.6   1   1     1e-51   1.2e-49  168.8   0.6   125   464     8   368     2   381 0.80 -
65449at50557_42026_0:002fbc|STRG.5863.1:304-1617|+    -            438 35385at50557         -            530   5.4e-49  166.6   0.0   1   1   5.5e-51   6.6e-49  166.3   0.0   132   450     2   339     1   365 0.84 -
65449at50557_34720_0:000b83|STRG.4923.2:205-1974|+    -            590 35385at50557         -            530   9.4e-49  165.8   0.1   1   1   1.3e-50   1.5e-48  165.1   0.1   133   452    10   353     3   407 0.83 -
46658at50557_219809_0:0017ae|STRG.15304.1:515-1864|+  -            450 35385at50557         -            530   1.1e-46  159.0   0.8   1   1   1.2e-48   1.4e-46  158.6   0.8   123   468    55   413    19   429 0.83 -
46658at50557_83485_0:000f8c|STRG.15304.2:499-1689|+   -            397 35385at50557         -            530   2.3e-46  157.9   1.0   1   1   2.4e-48   2.9e-46  157.6   1.0   129   468     8   360     2   376 0.85 -
46658at50557_28612_0:0048c7|STRG.3411.1:202-1386|+    -            395 35385at50557         -            530   4.9e-44  150.3   2.1   1   1   5.1e-46   6.1e-44  149.9   2.1   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.3411.2:202-2556|+    -            395 35385at50557         -            530   4.9e-44  150.3   2.1   1   1   5.1e-46   6.1e-44  149.9   2.1   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.3411.3:244-1428|+    -            395 35385at50557         -            530   4.9e-44  150.3   2.1   1   1   5.1e-46   6.1e-44  149.9   2.1   129   469    16   375     3   386 0.83 -
65449at50557_7220_0:002055|STRG.16957.1:1209-3020|+   -            604 35385at50557         -            530   7.2e-43  146.4   0.3   1   3     9e-29   1.1e-26   93.0   0.0   146   297     2   164     1   170 0.85 -
65449at50557_7220_0:002055|STRG.16957.1:1209-3020|+   -            604 35385at50557         -            530   7.2e-43  146.4   0.3   2   3       0.2        24    2.8   0.0   298   329   272   303   253   314 0.82 -
65449at50557_7220_0:002055|STRG.16957.1:1209-3020|+   -            604 35385at50557         -            530   7.2e-43  146.4   0.3   3   3   8.3e-15   9.9e-13   46.9   0.0   390   477   404   497   391   518 0.78 -
65449at50557_199890_0:0002ce|STRG.4923.4:217-1849|+   -            539 35385at50557         -            530   2.2e-42  144.8   0.1   1   2   7.8e-38   9.3e-36  122.9   0.1   133   354     6   241     3   257 0.86 -
65449at50557_199890_0:0002ce|STRG.4923.4:217-1849|+   -            539 35385at50557         -            530   2.2e-42  144.8   0.1   2   2   1.5e-06   0.00018   19.7   0.0   415   452   270   307   264   361 0.76 -
25910at50557_103372_0:001a63|STRG.11026.2:0-2186|+    -            729 35385at50557         -            530     3e-41  141.1   0.0   1   3     9e-08   1.1e-05   23.7   0.0   129   208     2    81     1    88 0.89 -
25910at50557_103372_0:001a63|STRG.11026.2:0-2186|+    -            729 35385at50557         -            530     3e-41  141.1   0.0   2   3   6.5e-19   7.7e-17   60.5   0.0   193   292   276   387   254   433 0.82 -
25910at50557_103372_0:001a63|STRG.11026.2:0-2186|+    -            729 35385at50557         -            530     3e-41  141.1   0.0   3   3   1.1e-16   1.3e-14   53.2   0.0   365   464   507   619   474   623 0.85 -
25910at50557_520822_0:0021f4|STRG.11026.1:18-2186|+   -            723 35385at50557         -            530   2.4e-40  138.1   0.0   1   3   7.4e-07   8.8e-05   20.7   0.0   140   208     8    76     1    83 0.86 -
25910at50557_520822_0:0021f4|STRG.11026.1:18-2186|+   -            723 35385at50557         -            530   2.4e-40  138.1   0.0   2   3   6.4e-19   7.6e-17   60.5   0.0   193   292   271   382   249   428 0.82 -
25910at50557_520822_0:0021f4|STRG.11026.1:18-2186|+   -            723 35385at50557         -            530   2.4e-40  138.1   0.0   3   3   1.1e-16   1.3e-14   53.2   0.0   365   464   502   614   469   618 0.85 -
25910at50557_103372_0:001a63|STRG.11026.3:15-2153|+   -            713 35385at50557         -            530     7e-40  136.5   0.0   1   3   2.3e-06   0.00027   19.1   0.0   148   208     5    65     1    72 0.87 -
25910at50557_103372_0:001a63|STRG.11026.3:15-2153|+   -            713 35385at50557         -            530     7e-40  136.5   0.0   2   3   6.3e-19   7.5e-17   60.5   0.0   193   292   260   371   238   417 0.82 -
25910at50557_103372_0:001a63|STRG.11026.3:15-2153|+   -            713 35385at50557         -            530     7e-40  136.5   0.0   3   3     1e-16   1.2e-14   53.2   0.0   365   464   491   603   458   607 0.85 -
46658at50557_28612_0:0048c7|STRG.13327.1:188-1324|+   -            379 35385at50557         -            530   2.4e-39  134.8   0.4   1   1   2.6e-41   3.1e-39  134.4   0.4   129   465    11   369     2   376 0.82 -
46658at50557_28612_0:0048c7|STRG.13327.2:121-1257|+   -            379 35385at50557         -            530   2.4e-39  134.8   0.4   1   1   2.6e-41   3.1e-39  134.4   0.4   129   465    11   369     2   376 0.82 -
43304at50557_34720_0:00174e|STRG.9580.1:48-2264|+     -            739 35385at50557         -            530   1.2e-38  132.4   4.1   1   3   1.4e-10   1.7e-08   33.0   0.0   128   192   138   203   119   216 0.87 -
43304at50557_34720_0:00174e|STRG.9580.1:48-2264|+     -            739 35385at50557         -            530   1.2e-38  132.4   4.1   2   3   7.9e-14   9.4e-12   43.7   0.0   204   310   255   379   236   402 0.77 -
43304at50557_34720_0:00174e|STRG.9580.1:48-2264|+     -            739 35385at50557         -            530   1.2e-38  132.4   4.1   3   3   2.6e-17   3.1e-15   55.2   0.0   389   458   490   565   443   584 0.78 -
43304at50557_34720_0:00174e|STRG.9580.2:48-2279|+     -            744 35385at50557         -            530   1.5e-38  132.1   4.4   1   3   1.4e-10   1.6e-08   33.0   0.0   128   193   138   204   119   217 0.87 -
43304at50557_34720_0:00174e|STRG.9580.2:48-2279|+     -            744 35385at50557         -            530   1.5e-38  132.1   4.4   2   3   7.6e-14   9.1e-12   43.8   0.0   204   310   260   384   237   407 0.77 -
43304at50557_34720_0:00174e|STRG.9580.2:48-2279|+     -            744 35385at50557         -            530   1.5e-38  132.1   4.4   3   3   2.6e-17   3.1e-15   55.2   0.0   389   458   495   570   448   589 0.78 -
41619at50557_34720_0:0004fb|STRG.2175.1:130-1770|+    -            547 35385at50557         -            530     2e-38  131.8   0.2   1   2   2.5e-30     3e-28   98.1   0.1   126   327     9   221     3   233 0.85 -
41619at50557_34720_0:0004fb|STRG.2175.1:130-1770|+    -            547 35385at50557         -            530     2e-38  131.8   0.2   2   2   3.9e-10   4.6e-08   31.5   0.0   417   495   344   430   335   466 0.78 -
65449at50557_103372_0:002499|STRG.4923.3:205-885|+    -            227 35385at50557         -            530   3.5e-36  124.3   0.0   1   1   3.6e-38   4.3e-36  124.0   0.0   133   330    10   219     3   226 0.89 -
123578at50557_7168_0:0013fb|STRG.10928.1:397-1815|+   -            473 35385at50557         -            530     6e-30  103.8   0.1   1   1   1.2e-31   1.4e-29  102.5   0.1   124   452    70   431    52   448 0.81 -
123578at50557_7168_0:0013fb|STRG.10928.2:397-1815|+   -            473 35385at50557         -            530     6e-30  103.8   0.1   1   1   1.2e-31   1.4e-29  102.5   0.1   124   452    70   431    52   448 0.81 -
46658at50557_174628_0:001983|STRG.15730.5:502-1611|+  -            370 35385at50557         -            530   4.4e-29  100.9   0.4   1   1   5.2e-31   6.2e-29  100.4   0.4   132   462     2   352     1   364 0.80 -
46658at50557_7260_0:0034ab|STRG.15730.1:321-1445|+    -            375 35385at50557         -            530   2.1e-26   92.1   0.3   1   1   2.4e-28   2.9e-26   91.6   0.3   132   462     2   357     1   369 0.79 -
46658at50557_7260_0:0034ab|STRG.15730.2:539-1663|+    -            375 35385at50557         -            530   2.1e-26   92.1   0.3   1   1   2.4e-28   2.9e-26   91.6   0.3   132   462     2   357     1   369 0.79 -
46658at50557_7260_0:0034ab|STRG.15730.3:417-1541|+    -            375 35385at50557         -            530   2.1e-26   92.1   0.3   1   1   2.4e-28   2.9e-26   91.6   0.3   132   462     2   357     1   369 0.79 -
46658at50557_7260_0:0034ab|STRG.15730.4:504-1628|+    -            375 35385at50557         -            530   2.1e-26   92.1   0.3   1   1   2.4e-28   2.9e-26   91.6   0.3   132   462     2   357     1   369 0.79 -
57791at50557_34720_0:001e64|STRG.12347.1:233-2176|+   -            648 35385at50557         -            530   7.6e-25   86.9   4.8   1   2   1.1e-11   1.3e-09   36.7   1.6   165   324   224   407     3   415 0.71 -
57791at50557_34720_0:001e64|STRG.12347.1:233-2176|+   -            648 35385at50557         -            530   7.6e-25   86.9   4.8   2   2   6.8e-16   8.1e-14   50.5   0.1   408   519   519   636   442   646 0.78 -
57791at50557_34720_0:001e64|STRG.12347.2:0-1967|+     -            656 35385at50557         -            530   1.1e-24   86.4   5.3   1   2   1.5e-11   1.8e-09   36.2   2.1   165   324   232   415     9   422 0.70 -
57791at50557_34720_0:001e64|STRG.12347.2:0-1967|+     -            656 35385at50557         -            530   1.1e-24   86.4   5.3   2   2     7e-16   8.3e-14   50.5   0.1   408   519   527   644   450   654 0.78 -
65449at50557_103372_0:002499|STRG.4923.1:240-862|+    -            158 35385at50557         -            530   1.1e-21   76.4   0.1   1   1   1.2e-23   1.5e-21   76.1   0.1   133   266    10   151     3   155 0.87 -
46658at50557_29031_0:002653|STRG.13327.3:503-976|+    -            158 35385at50557         -            530   4.9e-13   47.9   0.0   1   1   4.4e-15   5.2e-13   47.9   0.0   387   467    42   128     2   145 0.77 -
65449at50557_1629725_0:001b14|STRG.16957.2:593-1057|+ -            155 35385at50557         -            530   3.4e-09   35.3   0.0   1   1   3.3e-11   3.9e-09   35.1   0.0   414   484     1    75     1    91 0.80 -
19244at50557_29053_0:002948|STRG.1344.2:1653-2840|+   -            396 35385at50557         -            530   5.1e-06   24.8   0.1   1   2     0.029       3.5    5.5   0.0   153   188     8    43     3    55 0.89 -
19244at50557_29053_0:002948|STRG.1344.2:1653-2840|+   -            396 35385at50557         -            530   5.1e-06   24.8   0.1   2   2   8.8e-06     0.001   17.2   0.0   409   494   280   368   250   380 0.79 -
19244at50557_29053_0:002948|STRG.1344.3:1626-2813|+   -            396 35385at50557         -            530   5.1e-06   24.8   0.1   1   2     0.029       3.5    5.5   0.0   153   188     8    43     3    55 0.89 -
19244at50557_29053_0:002948|STRG.1344.3:1626-2813|+   -            396 35385at50557         -            530   5.1e-06   24.8   0.1   2   2   8.8e-06     0.001   17.2   0.0   409   494   280   368   250   380 0.79 -
19244at50557_34720_0:002014|STRG.12985.2:258-4712|+   -           1485 35385at50557         -            530   8.9e-06   24.0   0.1   1   2       1.1   1.3e+02    0.3   0.0   156   189   797   830   770   841 0.82 -
19244at50557_34720_0:002014|STRG.12985.2:258-4712|+   -           1485 35385at50557         -            530   8.9e-06   24.0   0.1   2   2   7.9e-07   9.5e-05   20.6   0.0   408   466  1083  1144  1056  1179 0.71 -
19244at50557_34720_0:002014|STRG.12985.1:101-4666|+   -           1522 35385at50557         -            530   9.5e-06   23.9   0.1   1   2       1.1   1.4e+02    0.3   0.0   156   189   834   867   807   878 0.82 -
19244at50557_34720_0:002014|STRG.12985.1:101-4666|+   -           1522 35385at50557         -            530   9.5e-06   23.9   0.1   2   2   8.2e-07   9.7e-05   20.6   0.0   408   466  1120  1181  1093  1216 0.71 -
19244at50557_29053_0:002948|STRG.480.1:432-1661|+     -            410 35385at50557         -            530   1.6e-05   23.2   0.1   1   2    0.0041      0.49    8.3   0.0   148   189    27    68     6    83 0.85 -
19244at50557_29053_0:002948|STRG.480.1:432-1661|+     -            410 35385at50557         -            530   1.6e-05   23.2   0.1   2   2    0.0002     0.024   12.7   0.0   408   454   305   351   281   390 0.86 -
19244at50557_29053_0:002948|STRG.480.2:660-1889|+     -            410 35385at50557         -            530   1.6e-05   23.2   0.1   1   2    0.0041      0.49    8.3   0.0   148   189    27    68     6    83 0.85 -
19244at50557_29053_0:002948|STRG.480.2:660-1889|+     -            410 35385at50557         -            530   1.6e-05   23.2   0.1   2   2    0.0002     0.024   12.7   0.0   408   454   305   351   281   390 0.86 -
19244at50557_29053_0:002948|STRG.480.4:331-1560|+     -            410 35385at50557         -            530   1.6e-05   23.2   0.1   1   2    0.0041      0.49    8.3   0.0   148   189    27    68     6    83 0.85 -
19244at50557_29053_0:002948|STRG.480.4:331-1560|+     -            410 35385at50557         -            530   1.6e-05   23.2   0.1   2   2    0.0002     0.024   12.7   0.0   408   454   305   351   281   390 0.86 -
19244at50557_29053_0:002948|STRG.480.6:347-1576|+     -            410 35385at50557         -            530   1.6e-05   23.2   0.1   1   2    0.0041      0.49    8.3   0.0   148   189    27    68     6    83 0.85 -
19244at50557_29053_0:002948|STRG.480.6:347-1576|+     -            410 35385at50557         -            530   1.6e-05   23.2   0.1   2   2    0.0002     0.024   12.7   0.0   408   454   305   351   281   390 0.86 -
19244at50557_116153_0:001e22|STRG.1032.1:158-1183|+   -            342 35385at50557         -            530   2.1e-05   22.8   0.0   1   2     0.008      0.95    7.4   0.0   154   190     9    46     6    61 0.79 -
19244at50557_116153_0:001e22|STRG.1032.1:158-1183|+   -            342 35385at50557         -            530   2.1e-05   22.8   0.0   2   2   0.00015     0.018   13.1   0.0   367   451   243   334   236   338 0.79 -
29312at50557_1218281_0:002f13|STRG.1819.1:78-341|+    -             88 35385at50557         -            530   4.4e-05   21.7   0.0   1   2       2.9   3.5e+02   -1.1   0.0   283   296     1    14     1    38 0.87 -
29312at50557_1218281_0:002f13|STRG.1819.1:78-341|+    -             88 35385at50557         -            530   4.4e-05   21.7   0.0   2   2   7.6e-07   9.1e-05   20.7   0.0   289   341    32    84    20    88 0.80 -
65449at50557_88501_0:00074b|STRG.4923.4:1040-4798|+   -           1041 35385at50557         -            530   0.00046   18.3   0.0   1   1   6.5e-06   0.00077   17.6   0.0   415   452     1    38     1    90 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/35385at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:09:00 2024
# [ok]
