#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135254at50557_103372_0:002a85|STRG.583.1:124-498|+     -            125 135254at50557        -            104   1.4e-58  194.6   1.6   1   1   8.6e-61   1.6e-58  194.4   1.6     1   104     7   120     7   120 0.92 -
129956at50557_13686_0:0011f5|STRG.13208.2:954-1181|+   -             76 135254at50557        -            104   0.00017   20.8   0.0   1   1   9.8e-07   0.00019   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_13686_0:0011f5|STRG.13208.3:1461-1688|+  -             76 135254at50557        -            104   0.00017   20.8   0.0   1   1   9.8e-07   0.00019   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_13686_0:0011f5|STRG.13208.4:1522-1749|+  -             76 135254at50557        -            104   0.00017   20.8   0.0   1   1   9.8e-07   0.00019   20.7   0.0    27    78    18    69     1    73 0.72 -
101501at50557_34720_0:0002e2|STRG.1211.3:373-2715|+    -            781 135254at50557        -            104   0.00062   19.0   8.2   1   3       9.2   1.8e+03   -1.7   0.0    11    65    44   102    38   109 0.66 -
101501at50557_34720_0:0002e2|STRG.1211.3:373-2715|+    -            781 135254at50557        -            104   0.00062   19.0   8.2   2   3   6.8e-05     0.013   14.8   0.1    15   100   191   281   176   285 0.81 -
101501at50557_34720_0:0002e2|STRG.1211.3:373-2715|+    -            781 135254at50557        -            104   0.00062   19.0   8.2   3   3     0.012       2.3    7.6   0.0    10    66   383   447   375   477 0.69 -
101501at50557_34720_0:0002e2|STRG.1211.5:19-2361|+     -            781 135254at50557        -            104   0.00062   19.0   8.2   1   3       9.2   1.8e+03   -1.7   0.0    11    65    44   102    38   109 0.66 -
101501at50557_34720_0:0002e2|STRG.1211.5:19-2361|+     -            781 135254at50557        -            104   0.00062   19.0   8.2   2   3   6.8e-05     0.013   14.8   0.1    15   100   191   281   176   285 0.81 -
101501at50557_34720_0:0002e2|STRG.1211.5:19-2361|+     -            781 135254at50557        -            104   0.00062   19.0   8.2   3   3     0.012       2.3    7.6   0.0    10    66   383   447   375   477 0.69 -
129956at50557_441921_0:0017da|STRG.5249.1:140-382|+    -             81 135254at50557        -            104   0.00085   18.6   0.0   1   1   5.1e-06   0.00096   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.5249.2:140-382|+    -             81 135254at50557        -            104   0.00085   18.6   0.0   1   1   5.1e-06   0.00096   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.5249.4:140-382|+    -             81 135254at50557        -            104   0.00085   18.6   0.0   1   1   5.1e-06   0.00096   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.5249.6:140-382|+    -             81 135254at50557        -            104   0.00085   18.6   0.0   1   1   5.1e-06   0.00096   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.5249.7:140-382|+    -             81 135254at50557        -            104   0.00085   18.6   0.0   1   1   5.1e-06   0.00096   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.5249.8:140-382|+    -             81 135254at50557        -            104   0.00085   18.6   0.0   1   1   5.1e-06   0.00096   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_34720_0:00189a|STRG.9820.1:157-573|+     -            139 135254at50557        -            104    0.0012   18.1   0.1   1   1     1e-05    0.0019   17.4   0.1    25    94    51   120    30   129 0.73 -
129956at50557_7160_0:003f5c|STRG.16935.1:571-783|+     -             71 135254at50557        -            104    0.0019   17.4   0.0   1   1   1.1e-05    0.0022   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_7160_0:003f5c|STRG.16935.2:571-783|+     -             71 135254at50557        -            104    0.0019   17.4   0.0   1   1   1.1e-05    0.0022   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_7160_0:003f5c|STRG.16935.3:572-784|+     -             71 135254at50557        -            104    0.0019   17.4   0.0   1   1   1.1e-05    0.0022   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_441921_0:0017da|STRG.7246.1:210-434|+    -             75 135254at50557        -            104    0.0039   16.4   0.0   1   1   2.4e-05    0.0045   16.2   0.0    23    78    18    71     5    74 0.87 -
129956at50557_441921_0:0017da|STRG.7246.2:210-434|+    -             75 135254at50557        -            104    0.0039   16.4   0.0   1   1   2.4e-05    0.0045   16.2   0.0    23    78    18    71     5    74 0.87 -
129956at50557_441921_0:0017da|STRG.7246.3:216-440|+    -             75 135254at50557        -            104    0.0039   16.4   0.0   1   1   2.4e-05    0.0045   16.2   0.0    23    78    18    71     5    74 0.87 -
24138at50557_7176_0:001e33|STRG.452.6:106-570|+        -            155 135254at50557        -            104    0.0072   15.6   0.0   1   1   7.6e-05     0.014   14.6   0.0    17    84    64   138    49   150 0.73 -
117816at50557_7200_0:000429|STRG.16312.8:812-1324|+    -            171 135254at50557        -            104     0.011   15.0   0.0   1   2    0.0019      0.36   10.1   0.0    27    86     9    68     4    79 0.86 -
117816at50557_7200_0:000429|STRG.16312.8:812-1324|+    -            171 135254at50557        -            104     0.011   15.0   0.0   2   2      0.29        56    3.1   0.0    27    71    92   139    74   141 0.67 -
101501at50557_1218281_0:0033ae|STRG.14069.2:239-457|+  -             73 135254at50557        -            104     0.014   14.6   0.0   1   1   7.4e-05     0.014   14.6   0.0    28    72    15    59     1    71 0.79 -
129956at50557_441921_0:0017da|STRG.6302.1:1171-1401|+  -             77 135254at50557        -            104     0.015   14.5   0.0   1   1   8.3e-05     0.016   14.5   0.0    26    74    14    64     1    72 0.75 -
129956at50557_441921_0:0017da|STRG.6301.1:1188-1418|+  -             77 135254at50557        -            104     0.018   14.3   0.0   1   1   9.5e-05     0.018   14.3   0.0    26    74    14    64     1    72 0.76 -
117816at50557_121225_0:000cee|STRG.452.4:132-635|+     -            168 135254at50557        -            104     0.018   14.3   0.0   1   1   0.00022     0.042   13.1   0.0    17    83    94   167    78   168 0.73 -
117816at50557_121225_0:000cee|STRG.452.5:219-722|+     -            168 135254at50557        -            104     0.018   14.3   0.0   1   1   0.00022     0.042   13.1   0.0    17    83    94   167    78   168 0.73 -
108346at50557_113334_0:0032e8|STRG.5918.1:140-1471|+   -            444 135254at50557        -            104     0.024   13.9   0.1   1   2       7.4   1.4e+03   -1.4   0.0    63    85    50    72    18    88 0.76 -
108346at50557_113334_0:0032e8|STRG.5918.1:140-1471|+   -            444 135254at50557        -            104     0.024   13.9   0.1   2   2   0.00099      0.19   11.0   0.1    12    82   369   441   354   444 0.65 -
117816at50557_7200_0:0014c2|STRG.16312.1:758-1477|+    -            240 135254at50557        -            104     0.033   13.5   0.0   1   2    0.0038      0.73    9.1   0.0    28    86    10    68     4    78 0.86 -
117816at50557_7200_0:0014c2|STRG.16312.1:758-1477|+    -            240 135254at50557        -            104     0.033   13.5   0.0   2   2      0.59   1.1e+02    2.1   0.0    27    71    92   139    75   141 0.66 -
129956at50557_7425_0:001fb1|STRG.9613.1:808-1050|+     -             81 135254at50557        -            104     0.043   13.1   0.0   1   1   0.00027     0.051   12.8   0.0    26    81    17    72     7    77 0.89 -
129956at50557_7425_0:001fb1|STRG.9613.2:820-1062|+     -             81 135254at50557        -            104     0.043   13.1   0.0   1   1   0.00027     0.051   12.8   0.0    26    81    17    72     7    77 0.89 -
129956at50557_7425_0:001fb1|STRG.9613.4:1008-1250|+    -             81 135254at50557        -            104     0.043   13.1   0.0   1   1   0.00027     0.051   12.8   0.0    26    81    17    72     7    77 0.89 -
129956at50557_37344_0:0029cb|STRG.1561.3:472-714|+     -             81 135254at50557        -            104     0.043   13.1   0.0   1   1   0.00024     0.046   13.0   0.0    27    81    18    72     2    80 0.74 -
104832at50557_315563_0:002a5b|STRG.3271.2:1792-2415|+  -            208 135254at50557        -            104     0.057   12.7   0.0   1   2     0.044       8.4    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.3271.2:1792-2415|+  -            208 135254at50557        -            104     0.057   12.7   0.0   2   2      0.08        15    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.3271.3:1792-2415|+  -            208 135254at50557        -            104     0.057   12.7   0.0   1   2     0.044       8.4    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.3271.3:1792-2415|+  -            208 135254at50557        -            104     0.057   12.7   0.0   2   2      0.08        15    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.3271.4:1792-2415|+  -            208 135254at50557        -            104     0.057   12.7   0.0   1   2     0.044       8.4    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.3271.4:1792-2415|+  -            208 135254at50557        -            104     0.057   12.7   0.0   2   2      0.08        15    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.3271.5:1792-2415|+  -            208 135254at50557        -            104     0.057   12.7   0.0   1   2     0.044       8.4    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.3271.5:1792-2415|+  -            208 135254at50557        -            104     0.057   12.7   0.0   2   2      0.08        15    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.3271.6:3359-3982|+  -            208 135254at50557        -            104     0.057   12.7   0.0   1   2     0.044       8.4    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.3271.6:3359-3982|+  -            208 135254at50557        -            104     0.057   12.7   0.0   2   2      0.08        15    4.9   0.0    33    81   155   200   143   205 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/135254at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/135254at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/135254at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:06:35 2024
# [ok]
