#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
84764at50557_286306_0:001d5c|STRG.13075.1:167-1180|+   -            338 84764at50557         -            287    1e-159  529.3   4.4   1   1    6e-160  9.4e-159  526.2   4.4     1   286     7   324     7   325 0.93 -
84764at50557_441921_0:00052c|STRG.6235.1:418-1254|+    -            279 84764at50557         -            287   3.6e-62  209.2   0.0   1   1   2.7e-63   4.2e-62  209.0   0.0    11   252     1   251     1   265 0.87 -
84764at50557_286706_0:000034|STRG.8846.4:155-1005|+    -            254 84764at50557         -            287   1.8e-61  206.9   0.0   1   1   1.3e-62   2.1e-61  206.7   0.0    39   263     1   230     1   244 0.93 -
84764at50557_7493_0:00284f|STRG.14649.1:303-1175|+     -            291 84764at50557         -            287   3.4e-59  199.4   0.0   1   1   2.4e-60   3.8e-59  199.3   0.0     2   244     1   251     1   289 0.86 -
84764at50557_326594_0:0017ea|STRG.3402.1:1316-2200|+   -            295 84764at50557         -            287   2.5e-58  196.6   0.0   1   1     2e-59   3.2e-58  196.3   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.3402.2:1346-2230|+   -            295 84764at50557         -            287   2.5e-58  196.6   0.0   1   1     2e-59   3.2e-58  196.3   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.3402.3:580-1464|+    -            295 84764at50557         -            287   2.5e-58  196.6   0.0   1   1     2e-59   3.2e-58  196.3   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.3402.4:825-1709|+    -            295 84764at50557         -            287   2.5e-58  196.6   0.0   1   1     2e-59   3.2e-58  196.3   0.0     2   226     5   233     4   247 0.92 -
84764at50557_326594_0:0017ea|STRG.3402.5:957-1841|+    -            295 84764at50557         -            287   2.5e-58  196.6   0.0   1   1     2e-59   3.2e-58  196.3   0.0     2   226     5   233     4   247 0.92 -
84764at50557_7493_0:00284f|STRG.14634.1:112-1053|+     -            314 84764at50557         -            287   5.7e-57  192.1   0.1   1   1   4.5e-58   7.1e-57  191.8   0.1     1   226     5   244     5   261 0.89 -
84764at50557_7539_0:000ea4|STRG.13738.1:587-1450|+     -            288 84764at50557         -            287   3.9e-54  182.8   0.0   1   1   3.1e-55   4.9e-54  182.5   0.0     1   216     5   219     5   234 0.92 -
84764at50557_7539_0:000ea4|STRG.13738.2:642-1505|+     -            288 84764at50557         -            287   3.9e-54  182.8   0.0   1   1   3.1e-55   4.9e-54  182.5   0.0     1   216     5   219     5   234 0.92 -
84764at50557_7539_0:000ea4|STRG.13738.3:657-1520|+     -            288 84764at50557         -            287   3.9e-54  182.8   0.0   1   1   3.1e-55   4.9e-54  182.5   0.0     1   216     5   219     5   234 0.92 -
84764at50557_7539_0:000ea4|STRG.13738.4:741-1604|+     -            288 84764at50557         -            287   3.9e-54  182.8   0.0   1   1   3.1e-55   4.9e-54  182.5   0.0     1   216     5   219     5   234 0.92 -
84764at50557_7539_0:000ea4|STRG.13738.5:112-975|+      -            288 84764at50557         -            287   3.9e-54  182.8   0.0   1   1   3.1e-55   4.9e-54  182.5   0.0     1   216     5   219     5   234 0.92 -
84764at50557_112268_0:000773|STRG.10630.1:912-1832|+   -            307 84764at50557         -            287   1.6e-52  177.5   0.0   1   1   1.6e-52   2.6e-51  173.6   0.0     3   254     2   280     1   299 0.84 -
84764at50557_112268_0:000773|STRG.10630.2:1071-1991|+  -            307 84764at50557         -            287   1.6e-52  177.5   0.0   1   1   1.6e-52   2.6e-51  173.6   0.0     3   254     2   280     1   299 0.84 -
84764at50557_112268_0:000773|STRG.10630.3:949-1869|+   -            307 84764at50557         -            287   1.6e-52  177.5   0.0   1   1   1.6e-52   2.6e-51  173.6   0.0     3   254     2   280     1   299 0.84 -
84764at50557_121225_0:001830|STRG.7574.1:3175-4173|+   -            333 84764at50557         -            287   7.3e-52  175.4   0.0   1   1   6.4e-53     1e-51  174.9   0.0     3   227     2   240     1   276 0.86 -
84764at50557_121225_0:001830|STRG.7574.2:3073-4071|+   -            333 84764at50557         -            287   7.3e-52  175.4   0.0   1   1   6.4e-53     1e-51  174.9   0.0     3   227     2   240     1   276 0.86 -
84764at50557_121225_0:001830|STRG.7574.3:3073-4071|+   -            333 84764at50557         -            287   7.3e-52  175.4   0.0   1   1   6.4e-53     1e-51  174.9   0.0     3   227     2   240     1   276 0.86 -
84764at50557_121225_0:001830|STRG.7574.4:3073-4071|+   -            333 84764at50557         -            287   7.3e-52  175.4   0.0   1   1   6.4e-53     1e-51  174.9   0.0     3   227     2   240     1   276 0.86 -
84764at50557_121225_0:001830|STRG.7574.5:3073-4071|+   -            333 84764at50557         -            287   7.3e-52  175.4   0.0   1   1   6.4e-53     1e-51  174.9   0.0     3   227     2   240     1   276 0.86 -
84764at50557_7539_0:000ea4|STRG.16899.1:453-1322|+     -            290 84764at50557         -            287   1.7e-51  174.2   0.0   1   1   1.3e-52     2e-51  174.0   0.0     1   254     1   266     1   286 0.85 -
84764at50557_441921_0:00052c|STRG.15162.3:75-944|+     -            290 84764at50557         -            287   2.9e-51  173.4   0.0   1   1   2.3e-52   3.7e-51  173.1   0.0     1   216     3   219     3   247 0.89 -
84764at50557_441921_0:00052c|STRG.15162.1:71-949|+     -            293 84764at50557         -            287     3e-51  173.4   0.0   1   1   2.4e-52   3.8e-51  173.0   0.0     1   216     6   222     6   250 0.89 -
84764at50557_441921_0:00052c|STRG.15162.2:207-1085|+   -            293 84764at50557         -            287     3e-51  173.4   0.0   1   1   2.4e-52   3.8e-51  173.0   0.0     1   216     6   222     6   250 0.89 -
63395at50557_219809_0:002247|STRG.12987.1:42-1430|+    -            463 84764at50557         -            287   1.2e-48  164.8   0.0   1   1   2.2e-49   3.5e-48  163.3   0.0     8   226    37   290    32   295 0.80 -
84764at50557_30019_0:002ccd|STRG.15197.1:275-1156|+    -            294 84764at50557         -            287   2.5e-48  163.8   0.0   1   1   1.9e-49   2.9e-48  163.5   0.0     1   254     2   259     2   285 0.84 -
84764at50557_30019_0:002ccd|STRG.15197.2:228-1109|+    -            294 84764at50557         -            287   2.5e-48  163.8   0.0   1   1   1.9e-49   2.9e-48  163.5   0.0     1   254     2   259     2   285 0.84 -
84764at50557_91411_0:001d03|STRG.7080.2:291-1169|+     -            293 84764at50557         -            287   4.5e-48  162.9   0.0   1   1   3.4e-49   5.3e-48  162.7   0.0     1   257     1   265     1   285 0.83 -
84764at50557_108931_0:001940|STRG.4275.1:316-1209|+    -            298 84764at50557         -            287   2.6e-47  160.4   0.0   1   1   2.2e-48   3.5e-47  160.0   0.0     2   229     2   242     1   274 0.82 -
84764at50557_108931_0:001940|STRG.4275.2:309-1202|+    -            298 84764at50557         -            287   2.6e-47  160.4   0.0   1   1   2.2e-48   3.5e-47  160.0   0.0     2   229     2   242     1   274 0.82 -
84764at50557_108931_0:001940|STRG.4275.3:310-1203|+    -            298 84764at50557         -            287   2.6e-47  160.4   0.0   1   1   2.2e-48   3.5e-47  160.0   0.0     2   229     2   242     1   274 0.82 -
84764at50557_319348_0:00198b|STRG.7080.1:288-1172|+    -            295 84764at50557         -            287   3.3e-47  160.1   0.0   1   1   2.5e-48   3.9e-47  159.9   0.0     1   257     2   266     2   287 0.82 -
84764at50557_29031_0:002a8c|STRG.12299.2:2066-3031|+   -            322 84764at50557         -            287   1.7e-46  157.8   0.0   1   1   1.4e-47   2.2e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_29031_0:002a8c|STRG.12299.3:2045-3010|+   -            322 84764at50557         -            287   1.7e-46  157.8   0.0   1   1   1.4e-47   2.2e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_29031_0:002a8c|STRG.12299.6:2045-3010|+   -            322 84764at50557         -            287   1.7e-46  157.8   0.0   1   1   1.4e-47   2.2e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_29031_0:002a8c|STRG.12299.7:470-1435|+    -            322 84764at50557         -            287   1.7e-46  157.8   0.0   1   1   1.4e-47   2.2e-46  157.4   0.0     3   248     2   254     1   278 0.83 -
84764at50557_104688_0:0005e9|STRG.12299.5:470-1396|+   -            309 84764at50557         -            287   8.7e-45  152.2   0.1   1   1   8.3e-45   1.3e-43  148.3   0.1     3   248     2   267     1   290 0.78 -
84764at50557_104688_0:0005e9|STRG.12299.8:470-1396|+   -            309 84764at50557         -            287   8.7e-45  152.2   0.1   1   1   8.3e-45   1.3e-43  148.3   0.1     3   248     2   267     1   290 0.78 -
84764at50557_535359_0:000b99|STRG.5262.1:75-818|+      -            248 84764at50557         -            287   8.2e-44  149.0   0.0   1   1   5.7e-45     9e-44  148.8   0.0    46   222     4   187     1   230 0.91 -
84764at50557_535359_0:000b99|STRG.5262.2:75-818|+      -            248 84764at50557         -            287   8.2e-44  149.0   0.0   1   1   5.7e-45     9e-44  148.8   0.0    46   222     4   187     1   230 0.91 -
84764at50557_29029_0:001026|STRG.10905.2:304-1245|+    -            314 84764at50557         -            287   3.9e-42  143.4   0.0   1   1   3.1e-43     5e-42  143.1   0.0     1   244     1   251     1   255 0.84 -
84764at50557_29029_0:001026|STRG.10905.1:688-1632|+    -            315 84764at50557         -            287   3.7e-41  140.2   0.0   1   1     3e-42   4.7e-41  139.9   0.0    11   244    12   252     2   256 0.79 -
84764at50557_37344_0:000c86|STRG.11563.1:4168-5172|+   -            335 84764at50557         -            287   5.1e-36  123.4   0.0   1   1   4.1e-37   6.4e-36  123.1   0.0     1   224     1   228     1   254 0.79 -
84764at50557_37344_0:000c86|STRG.11563.3:1746-2750|+   -            335 84764at50557         -            287   5.1e-36  123.4   0.0   1   1   4.1e-37   6.4e-36  123.1   0.0     1   224     1   228     1   254 0.79 -
84764at50557_91411_0:001d03|STRG.4275.4:675-1367|+     -            231 84764at50557         -            287     1e-33  115.8   0.0   1   1   8.4e-35   1.3e-33  115.5   0.0    82   229     1   158     1   214 0.84 -
84764at50557_224129_0:000e1f|STRG.15263.1:936-1610|+   -            225 84764at50557         -            287   5.2e-33  113.5   0.0   1   1   3.7e-34   5.9e-33  113.3   0.0     1   219     1   225     1   225 0.83 -
84764at50557_224129_0:000e1f|STRG.15263.2:3106-3780|+  -            225 84764at50557         -            287   5.2e-33  113.5   0.0   1   1   3.7e-34   5.9e-33  113.3   0.0     1   219     1   225     1   225 0.83 -
84764at50557_224129_0:000e1f|STRG.15263.3:667-1341|+   -            225 84764at50557         -            287   5.2e-33  113.5   0.0   1   1   3.7e-34   5.9e-33  113.3   0.0     1   219     1   225     1   225 0.83 -
84764at50557_123851_0:00190f|STRG.8210.1:316-1173|+    -            286 84764at50557         -            287   9.5e-32  109.4   0.3   1   1   7.6e-33   1.2e-31  109.0   0.3     2   221     1   216     1   235 0.84 -
84764at50557_123851_0:00190f|STRG.8210.2:195-1052|+    -            286 84764at50557         -            287   9.5e-32  109.4   0.3   1   1   7.6e-33   1.2e-31  109.0   0.3     2   221     1   216     1   235 0.84 -
84764at50557_123851_0:00190f|STRG.8210.3:419-1276|+    -            286 84764at50557         -            287   9.5e-32  109.4   0.3   1   1   7.6e-33   1.2e-31  109.0   0.3     2   221     1   216     1   235 0.84 -
57980at50557_7220_0:000304|STRG.10646.2:206-1054|+     -            283 84764at50557         -            287   1.3e-30  105.6   0.0   1   1     1e-31   1.6e-30  105.4   0.0     1   203     1   203     1   222 0.86 -
57980at50557_7220_0:000304|STRG.10646.4:421-1269|+     -            283 84764at50557         -            287   1.3e-30  105.6   0.0   1   1     1e-31   1.6e-30  105.4   0.0     1   203     1   203     1   222 0.86 -
84764at50557_54969_0:0028ad|STRG.8321.2:2213-2905|+    -            231 84764at50557         -            287   2.5e-30  104.7   0.0   1   1   1.8e-31   2.8e-30  104.5   0.0     1   220     5   230     5   231 0.83 -
84764at50557_54969_0:0028ad|STRG.8321.3:2213-2905|+    -            231 84764at50557         -            287   2.5e-30  104.7   0.0   1   1   1.8e-31   2.8e-30  104.5   0.0     1   220     5   230     5   231 0.83 -
84764at50557_54969_0:0028ad|STRG.8321.4:2213-2905|+    -            231 84764at50557         -            287   2.5e-30  104.7   0.0   1   1   1.8e-31   2.8e-30  104.5   0.0     1   220     5   230     5   231 0.83 -
57980at50557_211228_0:0018dc|STRG.15629.1:834-1637|+   -            268 84764at50557         -            287   1.7e-29  102.0   0.0   1   1   1.3e-30     2e-29  101.7   0.0     2   196    17   211    16   228 0.90 -
57980at50557_64459_0:000345|STRG.11537.1:209-1009|+    -            267 84764at50557         -            287   1.8e-26   92.0   0.0   1   1   1.3e-27   2.1e-26   91.9   0.0     8   193     3   191     1   230 0.85 -
57980at50557_110193_0:0003c9|STRG.1474.1:458-1288|+    -            277 84764at50557         -            287   2.6e-26   91.5   0.0   1   1     2e-27   3.1e-26   91.3   0.0     2   223    23   247    22   270 0.85 -
93513at50557_7395_0:0011bf|STRG.15996.1:2214-3326|+    -            371 84764at50557         -            287     4e-26   90.9   0.1   1   1   3.4e-27   5.4e-26   90.5   0.1     1   222    44   271    44   288 0.85 -
93513at50557_7395_0:0011bf|STRG.15996.4:2214-3326|+    -            371 84764at50557         -            287     4e-26   90.9   0.1   1   1   3.4e-27   5.4e-26   90.5   0.1     1   222    44   271    44   288 0.85 -
84764at50557_7539_0:000ea4|STRG.526.1:2210-3169|+      -            320 84764at50557         -            287   4.6e-26   90.7   0.1   1   1   3.7e-27   5.8e-26   90.4   0.1     2   211     2   216     1   231 0.82 -
84764at50557_7539_0:000ea4|STRG.526.2:2210-3169|+      -            320 84764at50557         -            287   4.6e-26   90.7   0.1   1   1   3.7e-27   5.8e-26   90.4   0.1     2   211     2   216     1   231 0.82 -
84764at50557_7539_0:000ea4|STRG.526.3:2210-3169|+      -            320 84764at50557         -            287   4.6e-26   90.7   0.1   1   1   3.7e-27   5.8e-26   90.4   0.1     2   211     2   216     1   231 0.82 -
84764at50557_7539_0:000ea4|STRG.526.4:2210-3169|+      -            320 84764at50557         -            287   4.6e-26   90.7   0.1   1   1   3.7e-27   5.8e-26   90.4   0.1     2   211     2   216     1   231 0.82 -
93513at50557_7395_0:0011bf|STRG.15996.2:1963-3174|+    -            404 84764at50557         -            287     5e-26   90.6   0.1   1   1   4.3e-27   6.8e-26   90.1   0.1     1   222    44   271    44   288 0.85 -
58206at50557_103372_0:002486|STRG.4927.1:649-1893|+    -            415 84764at50557         -            287   3.1e-24   84.7   0.0   1   1   2.6e-25   4.1e-24   84.3   0.0     2   194    85   276    84   293 0.84 -
58206at50557_103372_0:002486|STRG.4927.2:649-1893|+    -            415 84764at50557         -            287   3.1e-24   84.7   0.0   1   1   2.6e-25   4.1e-24   84.3   0.0     2   194    85   276    84   293 0.84 -
65033at50557_13249_0:002565|STRG.12623.1:217-990|+     -            258 84764at50557         -            287   6.2e-24   83.7   0.0   1   1   4.3e-25   6.7e-24   83.6   0.0     2   212     4   218     3   256 0.83 -
65033at50557_13249_0:002565|STRG.12623.3:187-960|+     -            258 84764at50557         -            287   6.2e-24   83.7   0.0   1   1   4.3e-25   6.7e-24   83.6   0.0     2   212     4   218     3   256 0.83 -
65033at50557_13249_0:002565|STRG.12623.4:187-960|+     -            258 84764at50557         -            287   6.2e-24   83.7   0.0   1   1   4.3e-25   6.7e-24   83.6   0.0     2   212     4   218     3   256 0.83 -
57980at50557_286706_0:000fec|STRG.13837.3:1917-2816|+  -            300 84764at50557         -            287   7.9e-24   83.4   0.0   1   1   7.3e-25   1.1e-23   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.13837.4:2020-2919|+  -            300 84764at50557         -            287   7.9e-24   83.4   0.0   1   1   7.3e-25   1.1e-23   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.13837.5:2050-2949|+  -            300 84764at50557         -            287   7.9e-24   83.4   0.0   1   1   7.3e-25   1.1e-23   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.13837.9:1732-2631|+  -            300 84764at50557         -            287   7.9e-24   83.4   0.0   1   1   7.3e-25   1.1e-23   82.8   0.0     1   192     1   193     1   249 0.91 -
57980at50557_286706_0:000fec|STRG.13837.10:1699-2610|+ -            304 84764at50557         -            287   8.4e-24   83.3   0.0   1   1   7.5e-25   1.2e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.13837.1:1985-2896|+  -            304 84764at50557         -            287   8.4e-24   83.3   0.0   1   1   7.5e-25   1.2e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.13837.2:1969-2880|+  -            304 84764at50557         -            287   8.4e-24   83.3   0.0   1   1   7.5e-25   1.2e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.13837.7:1804-2715|+  -            304 84764at50557         -            287   8.4e-24   83.3   0.0   1   1   7.5e-25   1.2e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.13837.8:2028-2939|+  -            304 84764at50557         -            287   8.4e-24   83.3   0.0   1   1   7.5e-25   1.2e-23   82.8   0.0     1   192     1   193     1   250 0.91 -
57980at50557_286706_0:000fec|STRG.16374.2:108-932|+    -            275 84764at50557         -            287   9.4e-24   83.1   0.1   1   1     7e-25   1.1e-23   82.9   0.1     6   232    27   254    22   271 0.82 -
57980at50557_286706_0:000fec|STRG.16374.1:379-1224|+   -            282 84764at50557         -            287   1.3e-23   82.6   0.0   1   1     1e-24   1.6e-23   82.4   0.0     6   228    27   250    22   269 0.83 -
47at50557_34720_0:00180d|STRG.10212.8:163-10845|+      -           3561 84764at50557         -            287   1.8e-23   82.2   0.1   1   2   3.9e-15   6.1e-14   50.9   0.0    48   227  2569  2749  2539  2772 0.86 -
47at50557_34720_0:00180d|STRG.10212.8:163-10845|+      -           3561 84764at50557         -            287   1.8e-23   82.2   0.1   2   2     2e-08   3.2e-07   28.9   0.0     1   200  3238  3439  3238  3468 0.72 -
47at50557_34720_0:00180d|STRG.10212.4:792-11651|+      -           3620 84764at50557         -            287   1.8e-23   82.2   0.1   1   2     4e-15   6.3e-14   50.9   0.0    48   227  2628  2808  2598  2831 0.86 -
47at50557_34720_0:00180d|STRG.10212.4:792-11651|+      -           3620 84764at50557         -            287   1.8e-23   82.2   0.1   2   2   2.1e-08   3.2e-07   28.9   0.0     1   200  3297  3498  3297  3527 0.72 -
47at50557_34720_0:00180d|STRG.10212.3:382-11631|+      -           3750 84764at50557         -            287     2e-23   82.1   0.1   1   2   4.2e-15   6.5e-14   50.8   0.0    48   227  2758  2938  2728  2961 0.86 -
47at50557_34720_0:00180d|STRG.10212.3:382-11631|+      -           3750 84764at50557         -            287     2e-23   82.1   0.1   2   2   2.1e-08   3.4e-07   28.8   0.0     1   200  3427  3628  3427  3657 0.72 -
47at50557_34720_0:00180d|STRG.10212.2:382-11643|+      -           3754 84764at50557         -            287     2e-23   82.1   0.1   1   2   4.2e-15   6.5e-14   50.8   0.0    48   227  2762  2942  2732  2965 0.86 -
47at50557_34720_0:00180d|STRG.10212.2:382-11643|+      -           3754 84764at50557         -            287     2e-23   82.1   0.1   2   2   2.2e-08   3.4e-07   28.8   0.0     1   200  3431  3632  3431  3661 0.72 -
47at50557_34720_0:00180d|STRG.10212.1:382-11751|+      -           3790 84764at50557         -            287     2e-23   82.0   0.1   1   2   4.2e-15   6.6e-14   50.8   0.0    48   227  2798  2978  2768  3001 0.86 -
47at50557_34720_0:00180d|STRG.10212.1:382-11751|+      -           3790 84764at50557         -            287     2e-23   82.0   0.1   2   2   2.2e-08   3.4e-07   28.8   0.0     1   200  3467  3668  3467  3697 0.72 -
47at50557_34720_0:00180d|STRG.10212.7:163-11862|+      -           3900 84764at50557         -            287   2.2e-23   81.9   0.1   1   2   4.3e-15   6.8e-14   50.8   0.0    48   227  2908  3088  2878  3111 0.86 -
47at50557_34720_0:00180d|STRG.10212.7:163-11862|+      -           3900 84764at50557         -            287   2.2e-23   81.9   0.1   2   2   2.3e-08   3.5e-07   28.7   0.0     1   200  3577  3778  3577  3807 0.72 -
47at50557_34720_0:00180d|STRG.10212.6:0-17072|+        -           5691 84764at50557         -            287   5.1e-23   80.7   0.1   1   2   6.7e-15   1.1e-13   50.2   0.0    48   227  4699  4879  4669  4902 0.86 -
47at50557_34720_0:00180d|STRG.10212.6:0-17072|+        -           5691 84764at50557         -            287   5.1e-23   80.7   0.1   2   2   3.5e-08   5.5e-07   28.1   0.0     1   200  5368  5569  5368  5597 0.72 -
57980at50557_456900_0:001387|STRG.4843.2:0-1163|+      -            388 84764at50557         -            287   7.3e-23   80.2   0.0   1   1   7.4e-24   1.2e-22   79.5   0.0     1   225    22   257    22   295 0.80 -
57980at50557_7070_0:001946|STRG.3418.1:1863-2645|+     -            261 84764at50557         -            287   8.4e-23   80.0   0.1   1   1   6.5e-24     1e-22   79.7   0.1     6   206     3   207     2   246 0.78 -
57980at50557_7070_0:001946|STRG.3418.2:1741-2523|+     -            261 84764at50557         -            287   8.4e-23   80.0   0.1   1   1   6.5e-24     1e-22   79.7   0.1     6   206     3   207     2   246 0.78 -
57980at50557_456900_0:001387|STRG.4843.1:0-1247|+      -            416 84764at50557         -            287   9.5e-23   79.8   0.0   1   1     1e-23   1.6e-22   79.1   0.0     1   224    22   256    22   266 0.78 -
17813at50557_378494_0:006207|STRG.14459.1:645-1265|+   -            207 84764at50557         -            287   1.6e-22   79.1   0.1   1   1   1.2e-23   1.9e-22   78.9   0.1     4   191     8   200     5   205 0.86 -
17813at50557_378494_0:006207|STRG.14459.2:645-1265|+   -            207 84764at50557         -            287   1.6e-22   79.1   0.1   1   1   1.2e-23   1.9e-22   78.9   0.1     4   191     8   200     5   205 0.86 -
17813at50557_378494_0:006207|STRG.14459.3:930-1550|+   -            207 84764at50557         -            287   1.6e-22   79.1   0.1   1   1   1.2e-23   1.9e-22   78.9   0.1     4   191     8   200     5   205 0.86 -
17813at50557_378494_0:006207|STRG.14459.4:709-1329|+   -            207 84764at50557         -            287   1.6e-22   79.1   0.1   1   1   1.2e-23   1.9e-22   78.9   0.1     4   191     8   200     5   205 0.86 -
57980at50557_7536_0:003723|STRG.5342.1:805-1617|+      -            271 84764at50557         -            287   1.8e-22   79.0   0.0   1   1   1.5e-23   2.4e-22   78.5   0.0     2   191     2   204     1   212 0.85 -
57980at50557_7536_0:003723|STRG.5342.2:685-1497|+      -            271 84764at50557         -            287   1.8e-22   79.0   0.0   1   1   1.5e-23   2.4e-22   78.5   0.0     2   191     2   204     1   212 0.85 -
57980at50557_69319_0:002e57|STRG.6828.1:342-1151|+     -            270 84764at50557         -            287   1.8e-22   78.9   0.0   1   1   1.5e-23   2.3e-22   78.6   0.0     1   199     1   206     1   212 0.86 -
84269at50557_108931_0:00068a|STRG.15651.3:336-1127|+   -            264 84764at50557         -            287   2.3e-22   78.6   0.0   1   1   1.7e-23   2.7e-22   78.3   0.0     4   213    10   221     7   254 0.79 -
65033at50557_34740_0:001a5d|STRG.6793.5:2399-3238|+    -            280 84764at50557         -            287   2.8e-22   78.3   0.0   1   1   2.6e-23   4.2e-22   77.7   0.0     8   192     2   191     1   203 0.81 -
65033at50557_34740_0:001a5d|STRG.6793.6:2327-3166|+    -            280 84764at50557         -            287   2.8e-22   78.3   0.0   1   1   2.6e-23   4.2e-22   77.7   0.0     8   192     2   191     1   203 0.81 -
17813at50557_378494_0:006207|STRG.15698.1:913-1557|+   -            215 84764at50557         -            287   3.5e-22   78.0   0.1   1   1   2.5e-23     4e-22   77.8   0.1     1   191    22   209    22   214 0.86 -
65033at50557_136037_0:0017d6|STRG.12383.1:1961-2806|+  -            282 84764at50557         -            287   3.7e-22   77.9   0.0   1   1     3e-23   4.7e-22   77.6   0.0    46   193    63   214     3   230 0.80 -
65033at50557_136037_0:0017d6|STRG.12383.2:1242-2087|+  -            282 84764at50557         -            287   3.7e-22   77.9   0.0   1   1     3e-23   4.7e-22   77.6   0.0    46   193    63   214     3   230 0.80 -
57980at50557_286706_0:000fec|STRG.16084.1:89-856|+     -            256 84764at50557         -            287   4.2e-22   77.7   0.0   1   1   3.2e-23     5e-22   77.5   0.0     6   211     5   213     1   222 0.85 -
57980at50557_286706_0:000fec|STRG.16084.3:89-856|+     -            256 84764at50557         -            287   4.2e-22   77.7   0.0   1   1   3.2e-23     5e-22   77.5   0.0     6   211     5   213     1   222 0.85 -
57980at50557_286706_0:000fec|STRG.16084.4:115-882|+    -            256 84764at50557         -            287   4.2e-22   77.7   0.0   1   1   3.2e-23     5e-22   77.5   0.0     6   211     5   213     1   222 0.85 -
57980at50557_286706_0:000fec|STRG.16084.5:112-879|+    -            256 84764at50557         -            287   4.2e-22   77.7   0.0   1   1   3.2e-23     5e-22   77.5   0.0     6   211     5   213     1   222 0.85 -
