#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.12718.1:75-1919|+    -            615 54603at50557         -            483    2e-232  771.0  24.8   1   1  3.7e-234  2.6e-232  770.7  24.8     1   481    96   613    96   615 0.95 -
54603at50557_217634_0:0030bb|STRG.5530.8:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   1   4     2e-24   1.4e-22   79.0   5.2   271   431    27   193    21   195 0.91 -
54603at50557_217634_0:0030bb|STRG.5530.8:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   2   4     2e-22   1.4e-20   72.4   3.1   336   435   142   243   141   247 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.8:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   3   4   6.5e-18   4.6e-16   57.5   9.5   339   435   237   335   234   338 0.94 -
54603at50557_217634_0:0030bb|STRG.5530.8:480-1580|+    -            367 54603at50557         -            483   7.9e-56  188.7  36.0   4   4   5.5e-05    0.0039   14.9   0.0   163   201   326   364   324   367 0.74 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 54603at50557         -            483   1.5e-55  187.8  55.2   1   8   3.4e-05    0.0024   15.6   0.1   356   417     1    65     1    69 0.85 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 54603at50557         -            483   1.5e-55  187.8  55.2   2   8   0.00011    0.0076   13.9   0.4   139   217    71   156    68   161 0.72 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 54603at50557         -            483   1.5e-55  187.8  55.2   3   8     9e-12   6.4e-10   37.3   0.6   251   393   127   279   124   290 0.63 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 54603at50557         -            483   1.5e-55  187.8  55.2   4   8   3.2e-05    0.0023   15.7   0.1   269   324   264   320   260   322 0.86 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 54603at50557         -            483   1.5e-55  187.8  55.2   5   8   0.00024     0.017   12.8   2.1    41   139   317   428   316   431 0.76 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 54603at50557         -            483   1.5e-55  187.8  55.2   6   8    0.0002     0.014   13.1   0.2   271   307   513   549   505   553 0.93 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 54603at50557         -            483   1.5e-55  187.8  55.2   7   8   4.9e-17   3.5e-15   54.6   6.6    46   221   571   767   566   791 0.80 -
25718at50557_29031_0:000108|STRG.7144.2:765-3635|+     -            957 54603at50557         -            483   1.5e-55  187.8  55.2   8   8   6.1e-13   4.3e-11   41.1   4.9    55   179   799   938   779   951 0.82 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   1   9   3.7e-06   0.00026   18.7   0.2   356   429     1    78     1    83 0.80 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   2   9   0.00026     0.018   12.7   0.1   139   200    71   137    68   145 0.84 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   3   9     4e-11   2.8e-09   35.1   0.5   266   393   142   279   131   290 0.66 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   4   9   2.8e-05     0.002   15.8   0.1   269   326   264   322   261   323 0.87 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   5   9   0.00026     0.018   12.7   2.2    41   139   317   428   316   432 0.76 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   6   9   3.7e-07   2.6e-05   22.0   3.8   331   420   412   506   364   512 0.66 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   7   9   0.00024     0.017   12.8   0.2   271   307   513   549   508   553 0.93 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   8   9   5.7e-17     4e-15   54.4   6.9    46   221   571   767   566   795 0.80 -
25718at50557_29031_0:000108|STRG.7144.1:1442-4453|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   9   9   7.2e-13   5.1e-11   40.9   5.2    55   180   799   939   779   957 0.82 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   1   9   3.7e-06   0.00026   18.7   0.2   356   429     1    78     1    83 0.80 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   2   9   0.00026     0.018   12.7   0.1   139   200    71   137    68   145 0.84 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   3   9     4e-11   2.8e-09   35.1   0.5   266   393   142   279   131   290 0.66 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   4   9   2.8e-05     0.002   15.8   0.1   269   326   264   322   261   323 0.87 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   5   9   0.00026     0.018   12.7   2.2    41   139   317   428   316   432 0.76 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   6   9   3.7e-07   2.6e-05   22.0   3.8   331   420   412   506   364   512 0.66 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   7   9   0.00024     0.017   12.8   0.2   271   307   513   549   508   553 0.93 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   8   9   5.7e-17     4e-15   54.4   6.9    46   221   571   767   566   795 0.80 -
25718at50557_29031_0:000108|STRG.7144.3:1246-4257|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   9   9   7.2e-13   5.1e-11   40.9   5.2    55   180   799   939   779   957 0.82 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   1   9   3.7e-06   0.00026   18.7   0.2   356   429     1    78     1    83 0.80 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   2   9   0.00026     0.018   12.7   0.1   139   200    71   137    68   145 0.84 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   3   9     4e-11   2.8e-09   35.1   0.5   266   393   142   279   131   290 0.66 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   4   9   2.8e-05     0.002   15.8   0.1   269   326   264   322   261   323 0.87 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   5   9   0.00026     0.018   12.7   2.2    41   139   317   428   316   432 0.76 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   6   9   3.7e-07   2.6e-05   22.0   3.8   331   420   412   506   364   512 0.66 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   7   9   0.00024     0.017   12.8   0.2   271   307   513   549   508   553 0.93 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   8   9   5.7e-17     4e-15   54.4   6.9    46   221   571   767   566   795 0.80 -
25718at50557_29031_0:000108|STRG.7144.4:1322-4333|+    -           1004 54603at50557         -            483   3.1e-55  186.7  55.7   9   9   7.2e-13   5.1e-11   40.9   5.2    55   180   799   939   779   957 0.82 -
54603at50557_7070_0:002ddb|STRG.4930.1:168-1349|+      -            394 54603at50557         -            483   1.3e-51  174.8  16.6   1   4   7.7e-14   5.5e-12   44.1   0.1   108   206    11   121     3   123 0.82 -
54603at50557_7070_0:002ddb|STRG.4930.1:168-1349|+      -            394 54603at50557         -            483   1.3e-51  174.8  16.6   2   4   2.5e-15   1.8e-13   49.0   0.2    55   139   120   204   117   207 0.95 -
54603at50557_7070_0:002ddb|STRG.4930.1:168-1349|+      -            394 54603at50557         -            483   1.3e-51  174.8  16.6   3   4   5.9e-14   4.2e-12   44.5   0.4   334   434   191   293   191   299 0.94 -
54603at50557_7070_0:002ddb|STRG.4930.1:168-1349|+      -            394 54603at50557         -            483   1.3e-51  174.8  16.6   4   4   1.8e-18   1.2e-16   59.4   3.9   335   438   284   389   284   392 0.94 -
54603at50557_7070_0:002ddb|STRG.4930.3:168-1349|+      -            394 54603at50557         -            483   1.3e-51  174.8  16.6   1   4   7.7e-14   5.5e-12   44.1   0.1   108   206    11   121     3   123 0.82 -
54603at50557_7070_0:002ddb|STRG.4930.3:168-1349|+      -            394 54603at50557         -            483   1.3e-51  174.8  16.6   2   4   2.5e-15   1.8e-13   49.0   0.2    55   139   120   204   117   207 0.95 -
54603at50557_7070_0:002ddb|STRG.4930.3:168-1349|+      -            394 54603at50557         -            483   1.3e-51  174.8  16.6   3   4   5.9e-14   4.2e-12   44.5   0.4   334   434   191   293   191   299 0.94 -
54603at50557_7070_0:002ddb|STRG.4930.3:168-1349|+      -            394 54603at50557         -            483   1.3e-51  174.8  16.6   4   4   1.8e-18   1.2e-16   59.4   3.9   335   438   284   389   284   392 0.94 -
54603at50557_7070_0:002ddb|STRG.4930.2:168-1412|+      -            415 54603at50557         -            483   2.2e-51  174.0  17.3   1   4   6.6e-14   4.6e-12   44.3   0.2   108   206    11   121     3   125 0.81 -
54603at50557_7070_0:002ddb|STRG.4930.2:168-1412|+      -            415 54603at50557         -            483   2.2e-51  174.0  17.3   2   4   2.7e-15   1.9e-13   48.9   0.2    55   139   120   204   117   207 0.95 -
54603at50557_7070_0:002ddb|STRG.4930.2:168-1412|+      -            415 54603at50557         -            483   2.2e-51  174.0  17.3   3   4   1.7e-14   1.2e-12   46.2   0.3   332   434   189   293   188   297 0.94 -
54603at50557_7070_0:002ddb|STRG.4930.2:168-1412|+      -            415 54603at50557         -            483   2.2e-51  174.0  17.3   4   4   1.6e-18   1.1e-16   59.5   4.4   335   439   284   390   283   410 0.93 -
54603at50557_116153_0:001d7a|STRG.10090.2:485-1951|+   -            489 54603at50557         -            483   1.8e-47  161.1  45.9   1   5   1.3e-18   9.1e-17   59.8  10.1   329   429    17   119     1   120 0.87 -
54603at50557_116153_0:001d7a|STRG.10090.2:485-1951|+   -            489 54603at50557         -            483   1.8e-47  161.1  45.9   2   5   1.3e-06   9.1e-05   20.3   0.1    72   120   106   154   105   167 0.87 -
54603at50557_116153_0:001d7a|STRG.10090.2:485-1951|+   -            489 54603at50557         -            483   1.8e-47  161.1  45.9   3   5   8.3e-14   5.9e-12   44.0   4.2   337   435   162   262   154   273 0.90 -
54603at50557_116153_0:001d7a|STRG.10090.2:485-1951|+   -            489 54603at50557         -            483   1.8e-47  161.1  45.9   4   5   1.3e-15     9e-14   50.0   0.9    27   139   330   445   321   452 0.90 -
54603at50557_116153_0:001d7a|STRG.10090.2:485-1951|+   -            489 54603at50557         -            483   1.8e-47  161.1  45.9   5   5   5.1e-12   3.6e-10   38.1   3.9   336   433   388   488   386   489 0.91 -
54603at50557_116153_0:001d7a|STRG.10090.3:374-1840|+   -            489 54603at50557         -            483   1.8e-47  161.1  45.9   1   5   1.3e-18   9.1e-17   59.8  10.1   329   429    17   119     1   120 0.87 -
54603at50557_116153_0:001d7a|STRG.10090.3:374-1840|+   -            489 54603at50557         -            483   1.8e-47  161.1  45.9   2   5   1.3e-06   9.1e-05   20.3   0.1    72   120   106   154   105   167 0.87 -
54603at50557_116153_0:001d7a|STRG.10090.3:374-1840|+   -            489 54603at50557         -            483   1.8e-47  161.1  45.9   3   5   8.3e-14   5.9e-12   44.0   4.2   337   435   162   262   154   273 0.90 -
54603at50557_116153_0:001d7a|STRG.10090.3:374-1840|+   -            489 54603at50557         -            483   1.8e-47  161.1  45.9   4   5   1.3e-15     9e-14   50.0   0.9    27   139   330   445   321   452 0.90 -
54603at50557_116153_0:001d7a|STRG.10090.3:374-1840|+   -            489 54603at50557         -            483   1.8e-47  161.1  45.9   5   5   5.1e-12   3.6e-10   38.1   3.9   336   433   388   488   386   489 0.91 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 54603at50557         -            483   5.5e-43  146.3  52.7   1   8   3.5e-10   2.5e-08   32.0   0.9    77   416   125   259    82   266 0.48 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 54603at50557         -            483   5.5e-43  146.3  52.7   2   8   6.6e-09   4.7e-07   27.8   3.1   334   435   267   374   260   380 0.73 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 54603at50557         -            483   5.5e-43  146.3  52.7   3   8   0.00085      0.06   11.0   0.0   270   326   389   445   376   446 0.83 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 54603at50557         -            483   5.5e-43  146.3  52.7   4   8   1.1e-11     8e-10   37.0   0.6   272   416   439   599   434   603 0.82 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 54603at50557         -            483   5.5e-43  146.3  52.7   5   8   1.7e-05    0.0012   16.6   2.6    76   221   580   741   561   745 0.65 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 54603at50557         -            483   5.5e-43  146.3  52.7   6   8     1e-12   7.2e-11   40.4  11.0   273   460   707   910   705   929 0.76 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 54603at50557         -            483   5.5e-43  146.3  52.7   7   8   2.7e-07   1.9e-05   22.5  10.4   252   433   804   992   804  1020 0.76 -
8280at50557_609295_0:000daa|STRG.11452.1:135-3641|+    -           1169 54603at50557         -            483   5.5e-43  146.3  52.7   8   8       1.7   1.2e+02    0.1   0.1    92   123  1102  1130  1041  1139 0.55 -
54603at50557_88501_0:001520|STRG.12557.2:27-1118|+     -            364 54603at50557         -            483   2.5e-42  144.1  57.7   1   3     2e-18   1.4e-16   59.2  16.8    53   226    20   211    16   212 0.85 -
54603at50557_88501_0:001520|STRG.12557.2:27-1118|+     -            364 54603at50557         -            483   2.5e-42  144.1  57.7   2   3   2.3e-18   1.6e-16   59.0  17.3   273   437   122   295   118   301 0.91 -
54603at50557_88501_0:001520|STRG.12557.2:27-1118|+     -            364 54603at50557         -            483   2.5e-42  144.1  57.7   3   3   1.4e-16   9.6e-15   53.2   7.5    56   216   213   364   213   364 0.93 -
8280at50557_30069_0:0032d2|STRG.15901.1:777-3263|+     -            829 54603at50557         -            483   5.9e-40  136.3  32.3   1   6   7.1e-12     5e-10   37.6   0.0   271   420    12   184     3   190 0.79 -
8280at50557_30069_0:0032d2|STRG.15901.1:777-3263|+     -            829 54603at50557         -            483   5.9e-40  136.3  32.3   2   6     5e-19   3.6e-17   61.2  11.0    82   306   192   420   187   423 0.83 -
8280at50557_30069_0:0032d2|STRG.15901.1:777-3263|+     -            829 54603at50557         -            483   5.9e-40  136.3  32.3   3   6   1.2e-07   8.5e-06   23.7   0.4   356   415   407   468   406   474 0.92 -
8280at50557_30069_0:0032d2|STRG.15901.1:777-3263|+     -            829 54603at50557         -            483   5.9e-40  136.3  32.3   4   6    0.0003     0.021   12.5   1.0   229   308   485   562   471   567 0.89 -
8280at50557_30069_0:0032d2|STRG.15901.1:777-3263|+     -            829 54603at50557         -            483   5.9e-40  136.3  32.3   5   6   8.1e-05    0.0057   14.3   0.1   316   393   681   764   675   772 0.82 -
8280at50557_30069_0:0032d2|STRG.15901.1:777-3263|+     -            829 54603at50557         -            483   5.9e-40  136.3  32.3   6   6      0.01      0.72    7.4   0.1   271   312   775   814   766   828 0.60 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 54603at50557         -            483   7.2e-38  129.4  62.7   1   6   2.4e-05    0.0017   16.1   0.2   346   418    64   139    56   141 0.86 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 54603at50557         -            483   7.2e-38  129.4  62.7   2   6   2.5e-14   1.7e-12   45.7   4.6    40   221   126   312   122   314 0.75 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 54603at50557         -            483   7.2e-38  129.4  62.7   3   6     4e-07   2.8e-05   21.9  18.3    58   415   321   681   317   688 0.70 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 54603at50557         -            483   7.2e-38  129.4  62.7   4   6    0.0044      0.31    8.6   0.5   103   139   701   739   672   745 0.72 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 54603at50557         -            483   7.2e-38  129.4  62.7   5   6   5.8e-13   4.1e-11   41.2   5.8    81   222   727   888   723   894 0.81 -
8280at50557_103372_0:001996|STRG.11738.1:460-4302|+    -           1281 54603at50557         -            483   7.2e-38  129.4  62.7   6   6   1.9e-06   0.00013   19.7   4.1    63   148   927  1014   900  1035 0.79 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 54603at50557         -            483   8.7e-38  129.2  63.1   1   5   2.5e-05    0.0018   16.0   0.2   346   418    56   131    49   133 0.86 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 54603at50557         -            483   8.7e-38  129.2  63.1   2   5   2.5e-14   1.8e-12   45.7   4.7    40   221   118   304   114   306 0.75 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 54603at50557         -            483   8.7e-38  129.2  63.1   3   5   4.2e-07     3e-05   21.9  18.3    58   414   313   672   309   678 0.70 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 54603at50557         -            483   8.7e-38  129.2  63.1   4   5     1e-12   7.1e-11   40.4   6.4    81   222   719   880   716   885 0.81 -
8280at50557_103372_0:001996|STRG.11738.2:463-4281|+    -           1273 54603at50557         -            483   8.7e-38  129.2  63.1   5   5   9.7e-07   6.8e-05   20.7   3.0    68   148   924  1006   910  1028 0.77 -
25718at50557_219809_0:00105d|STRG.13708.2:327-2948|+   -            874 54603at50557         -            483   1.7e-37  128.2  55.8   1   4   1.8e-14   1.3e-12   46.2  18.4    36   308   148   450    94   458 0.59 -
25718at50557_219809_0:00105d|STRG.13708.2:327-2948|+   -            874 54603at50557         -            483   1.7e-37  128.2  55.8   2   4   5.5e-13   3.9e-11   41.3   8.2   271   460   461   665   453   665 0.86 -
25718at50557_219809_0:00105d|STRG.13708.2:327-2948|+   -            874 54603at50557         -            483   1.7e-37  128.2  55.8   3   4   3.9e-06   0.00028   18.7   4.8   141   201   648   716   647   746 0.79 -
25718at50557_219809_0:00105d|STRG.13708.2:327-2948|+   -            874 54603at50557         -            483   1.7e-37  128.2  55.8   4   4   0.00025     0.018   12.7   1.9   334   372   800   840   797   849 0.86 -
25718at50557_219809_0:00105d|STRG.13708.1:327-2951|+   -            875 54603at50557         -            483   9.8e-37  125.7  55.7   1   6     2e-14   1.4e-12   46.0  18.6    36   308   148   450    95   459 0.58 -
25718at50557_219809_0:00105d|STRG.13708.1:327-2951|+   -            875 54603at50557         -            483   9.8e-37  125.7  55.7   2   6     2e-13   1.4e-11   42.8   5.7    85   222   344   499   341   510 0.65 -
25718at50557_219809_0:00105d|STRG.13708.1:327-2951|+   -            875 54603at50557         -            483   9.8e-37  125.7  55.7   3   6   2.4e-12   1.7e-10   39.1   7.9   271   460   461   666   454   667 0.84 -
25718at50557_219809_0:00105d|STRG.13708.1:327-2951|+   -            875 54603at50557         -            483   9.8e-37  125.7  55.7   4   6   1.8e-06   0.00012   19.8   3.9   140   201   648   717   647   747 0.79 -
25718at50557_219809_0:00105d|STRG.13708.1:327-2951|+   -            875 54603at50557         -            483   9.8e-37  125.7  55.7   5   6   0.00018     0.013   13.2   0.1   159   201   750   793   729   799 0.65 -
25718at50557_219809_0:00105d|STRG.13708.1:327-2951|+   -            875 54603at50557         -            483   9.8e-37  125.7  55.7   6   6   6.6e-05    0.0047   14.6   6.1   165   241   756   839   754   850 0.61 -
25718at50557_34720_0:000a06|STRG.4050.3:282-3287|+     -           1002 54603at50557         -            483   5.1e-36  123.3  35.0   1   4   8.2e-06   0.00058   17.6   1.2   271   435    79   255    72   273 0.79 -
25718at50557_34720_0:000a06|STRG.4050.3:282-3287|+     -           1002 54603at50557         -            483   5.1e-36  123.3  35.0   2   4   9.2e-09   6.5e-07   27.4   0.5   270   416   271   433   247   437 0.78 -
25718at50557_34720_0:000a06|STRG.4050.3:282-3287|+     -           1002 54603at50557         -            483   5.1e-36  123.3  35.0   3   4   3.2e-10   2.2e-08   32.2   0.4   274   417   375   531   370   541 0.80 -
25718at50557_34720_0:000a06|STRG.4050.3:282-3287|+     -           1002 54603at50557         -            483   5.1e-36  123.3  35.0   4   4   7.6e-21   5.4e-19   67.2  16.8    55   414   536   934   528   937 0.82 -
54603at50557_224129_0:0029b4|STRG.12557.1:97-1227|+    -            377 54603at50557         -            483   5.5e-35  119.9  47.5   1   3   2.8e-18     2e-16   58.8  17.2    53   226     4   195     3   197 0.84 -
54603at50557_224129_0:0029b4|STRG.12557.1:97-1227|+    -            377 54603at50557         -            483   5.5e-35  119.9  47.5   2   3     3e-18   2.1e-16   58.6  17.5   273   439   106   281   103   286 0.91 -
54603at50557_224129_0:0029b4|STRG.12557.1:97-1227|+    -            377 54603at50557         -            483   5.5e-35  119.9  47.5   3   3   1.7e-08   1.2e-06   26.5   0.1   352   414   288   351   284   362 0.64 -
