#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
119324at50557_609295_0:001eaf|STRG.11700.1:275-784|+   -            170 119324at50557        -            141   6.6e-84  278.1   5.3   1   1   5.3e-86   8.3e-84  277.8   5.3     1   141     1   154     1   154 0.97 -
119324at50557_28612_0:006210|STRG.12115.1:469-921|+    -            151 119324at50557        -            141   5.2e-13   48.3   6.0   2   2     9e-12   1.4e-09   37.2   1.4    50   141    42   143    29   143 0.78 -
119324at50557_28612_0:006210|STRG.12115.2:440-892|+    -            151 119324at50557        -            141   5.2e-13   48.3   6.0   1   2   1.8e-06   0.00029   20.0   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.12115.2:440-892|+    -            151 119324at50557        -            141   5.2e-13   48.3   6.0   2   2     9e-12   1.4e-09   37.2   1.4    50   141    42   143    29   143 0.78 -
119324at50557_28612_0:006210|STRG.12115.3:545-997|+    -            151 119324at50557        -            141   5.2e-13   48.3   6.0   1   2   1.8e-06   0.00029   20.0   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.12115.3:545-997|+    -            151 119324at50557        -            141   5.2e-13   48.3   6.0   2   2     9e-12   1.4e-09   37.2   1.4    50   141    42   143    29   143 0.78 -
119324at50557_28612_0:006210|STRG.12115.4:668-1120|+   -            151 119324at50557        -            141   5.2e-13   48.3   6.0   1   2   1.8e-06   0.00029   20.0   0.2    85   141     4    62     1    62 0.80 -
119324at50557_28612_0:006210|STRG.12115.4:668-1120|+   -            151 119324at50557        -            141   5.2e-13   48.3   6.0   2   2     9e-12   1.4e-09   37.2   1.4    50   141    42   143    29   143 0.78 -
119324at50557_28612_0:006210|STRG.10739.1:137-562|+    -            142 119324at50557        -            141   2.7e-12   46.0   0.4   1   1   5.8e-14   9.1e-12   44.3   0.4    37   140    30   137     1   138 0.79 -
119324at50557_1049336_0:003cac|STRG.16524.2:330-767|+  -            146 119324at50557        -            141   5.2e-12   45.1   0.2   1   1   4.9e-14   7.6e-12   44.5   0.2    17   140    14   146     5   146 0.80 -
119324at50557_1049336_0:003cac|STRG.16524.1:330-743|+  -            138 119324at50557        -            141   7.6e-12   44.5   0.7   1   1   6.7e-14   1.1e-11   44.1   0.7    19   140     8   138     1   138 0.79 -
119324at50557_29053_0:0019d1|STRG.593.1:662-1009|+     -            116 119324at50557        -            141   2.5e-11   42.9   0.1   1   1   8.6e-13   1.3e-10   40.5   0.1    44   139     6   111     1   113 0.76 -
119324at50557_38123_0:00169f|STRG.10737.1:126-569|+    -            148 119324at50557        -            141   3.1e-11   42.5   0.9   1   2   3.1e-05    0.0049   16.0   0.1    80   141     6    69     2    69 0.85 -
119324at50557_38123_0:00169f|STRG.10737.1:126-569|+    -            148 119324at50557        -            141   3.1e-11   42.5   0.9   2   2   5.4e-10   8.4e-08   31.4   0.1    51   140    50   145    37   146 0.81 -
119324at50557_319348_0:001162|STRG.15142.1:721-2133|+  -            148 119324at50557        -            141   2.3e-10   39.7   0.0   1   1     2e-12   3.1e-10   39.3   0.0    49   133    50   137    32   141 0.84 -
119324at50557_319348_0:001162|STRG.15142.2:662-2074|+  -            148 119324at50557        -            141   2.3e-10   39.7   0.0   1   1     2e-12   3.1e-10   39.3   0.0    49   133    50   137    32   141 0.84 -
119324at50557_516756_0:001c87|STRG.2815.1:3084-3446|+  -            121 119324at50557        -            141   3.3e-09   36.0   0.6   1   1   2.3e-11   3.6e-09   35.8   0.6    32   108     2    78     1   107 0.87 -
119324at50557_516756_0:001c87|STRG.2815.2:2426-2788|+  -            121 119324at50557        -            141   3.3e-09   36.0   0.6   1   1   2.3e-11   3.6e-09   35.8   0.6    32   108     2    78     1   107 0.87 -
119324at50557_319348_0:001162|STRG.11659.1:218-535|+   -            106 119324at50557        -            141   5.2e-09   35.3   0.0   1   1   3.7e-11   5.7e-09   35.2   0.0    40   102     1    69     1    96 0.85 -
119324at50557_79782_0:002ece|STRG.8214.1:117-536|+     -            140 119324at50557        -            141   5.3e-09   35.3   0.8   1   1   1.9e-10     3e-08   32.9   0.8    14   140     5   140     1   140 0.82 -
119324at50557_54969_0:002fed|STRG.8652.1:1145-1525|+   -            127 119324at50557        -            141   1.2e-08   34.2   0.7   1   2      0.21        32    3.6   0.1    56    90    13    48     4    53 0.79 -
119324at50557_54969_0:002fed|STRG.8652.1:1145-1525|+   -            127 119324at50557        -            141   1.2e-08   34.2   0.7   2   2   6.5e-10     1e-07   31.1   0.1    47   109    42   103    34   111 0.89 -
119324at50557_54969_0:002fed|STRG.8652.2:879-1259|+    -            127 119324at50557        -            141   1.2e-08   34.2   0.7   1   2      0.21        32    3.6   0.1    56    90    13    48     4    53 0.79 -
119324at50557_54969_0:002fed|STRG.8652.2:879-1259|+    -            127 119324at50557        -            141   1.2e-08   34.2   0.7   2   2   6.5e-10     1e-07   31.1   0.1    47   109    42   103    34   111 0.89 -
119324at50557_54969_0:002fed|STRG.8652.4:335-715|+     -            127 119324at50557        -            141   1.2e-08   34.2   0.7   1   2      0.21        32    3.6   0.1    56    90    13    48     4    53 0.79 -
119324at50557_54969_0:002fed|STRG.8652.4:335-715|+     -            127 119324at50557        -            141   1.2e-08   34.2   0.7   2   2   6.5e-10     1e-07   31.1   0.1    47   109    42   103    34   111 0.89 -
119324at50557_54969_0:002fed|STRG.8652.5:505-885|+     -            127 119324at50557        -            141   1.2e-08   34.2   0.7   1   2      0.21        32    3.6   0.1    56    90    13    48     4    53 0.79 -
119324at50557_54969_0:002fed|STRG.8652.5:505-885|+     -            127 119324at50557        -            141   1.2e-08   34.2   0.7   2   2   6.5e-10     1e-07   31.1   0.1    47   109    42   103    34   111 0.89 -
119324at50557_54969_0:002fed|STRG.8652.6:771-1151|+    -            127 119324at50557        -            141   1.2e-08   34.2   0.7   1   2      0.21        32    3.6   0.1    56    90    13    48     4    53 0.79 -
119324at50557_54969_0:002fed|STRG.8652.6:771-1151|+    -            127 119324at50557        -            141   1.2e-08   34.2   0.7   2   2   6.5e-10     1e-07   31.1   0.1    47   109    42   103    34   111 0.89 -
119324at50557_454923_0:001f56|STRG.8652.7:188-487|+    -            100 119324at50557        -            141     3e-08   32.9   0.3   1   1     3e-09   4.7e-07   29.0   0.3    62   109     2    48     1    96 0.85 -
119324at50557_197043_0:001c16|STRG.6615.3:1501-1752|+  -             84 119324at50557        -            141   2.7e-07   29.8   0.4   1   2    0.0056      0.88    8.7   0.0    81   107     1    27     1    36 0.83 -
119324at50557_197043_0:001c16|STRG.6615.3:1501-1752|+  -             84 119324at50557        -            141   2.7e-07   29.8   0.4   2   2   1.7e-06   0.00027   20.1   0.1    51    91    44    84    29    84 0.89 -
112578at50557_88501_0:001fa9|STRG.15499.1:208-702|+    -            165 119324at50557        -            141   5.3e-07   28.8   1.3   1   1   7.1e-09   1.1e-06   27.8   1.3    11   140    23   165    18   165 0.72 -
119324at50557_319348_0:001162|STRG.8501.2:162-587|+    -            142 119324at50557        -            141     7e-07   28.4   1.1   1   1   2.8e-08   4.4e-06   25.8   1.1    17   140    19   142     9   142 0.79 -
119324at50557_28612_0:006210|STRG.6906.1:219-548|+     -            110 119324at50557        -            141   7.9e-07   28.2   0.0   1   1   5.4e-09   8.4e-07   28.2   0.0    47   105    52   109    15   110 0.91 -
119324at50557_28612_0:006210|STRG.6906.2:326-655|+     -            110 119324at50557        -            141   7.9e-07   28.2   0.0   1   1   5.4e-09   8.4e-07   28.2   0.0    47   105    52   109    15   110 0.91 -
119324at50557_29053_0:0019d1|STRG.8652.3:799-1077|+    -             93 119324at50557        -            141   2.5e-06   26.7   0.1   1   1   2.6e-07     4e-05   22.7   0.2    69   109     2    41     1    89 0.80 -
119324at50557_29053_0:0019d1|STRG.8652.8:366-644|+     -             93 119324at50557        -            141   2.5e-06   26.7   0.1   1   1   2.6e-07     4e-05   22.7   0.2    69   109     2    41     1    89 0.80 -
119324at50557_54969_0:002fed|STRG.8501.1:194-682|+     -            163 119324at50557        -            141   9.3e-06   24.8   1.2   1   1   1.6e-07   2.6e-05   23.4   1.2    18   141    10   143     4   143 0.77 -
119324at50557_319348_0:001162|STRG.11252.6:1313-1729|+ -            139 119324at50557        -            141   1.5e-05   24.1   1.7   1   1   1.9e-07     3e-05   23.2   1.7    21   141     5   132     1   132 0.76 -
119324at50557_319348_0:001162|STRG.11252.8:560-976|+   -            139 119324at50557        -            141   1.5e-05   24.1   1.7   1   1   1.9e-07     3e-05   23.2   1.7    21   141     5   132     1   132 0.76 -
119324at50557_54969_0:002fed|STRG.11450.1:22-276|+     -             85 119324at50557        -            141   1.7e-05   24.0   0.3   1   1   1.5e-07   2.4e-05   23.5   0.3    85   138     2    65     1    68 0.74 -
112578at50557_315563_0:0020eb|STRG.3081.1:42-293|+     -             84 119324at50557        -            141   1.7e-05   23.9   0.5   1   2   1.7e-05    0.0026   16.8   0.1    84   109     2    27     1    35 0.87 -
112578at50557_315563_0:0020eb|STRG.3081.1:42-293|+     -             84 119324at50557        -            141   1.7e-05   23.9   0.5   2   2     0.033       5.2    6.1   0.1    13    45    48    78    34    84 0.60 -
119324at50557_1218281_0:003071|STRG.9183.2:360-671|+   -            104 119324at50557        -            141   5.2e-05   22.4   1.3   1   1   4.1e-07   6.4e-05   22.1   1.3    51   139     1    90     1    92 0.83 -
119324at50557_54969_0:002fed|STRG.10377.2:172-642|+    -            157 119324at50557        -            141   8.6e-05   21.7   0.3   1   2     7e-05     0.011   14.8   0.0    47    95    45    92    31   106 0.84 -
119324at50557_54969_0:002fed|STRG.10377.2:172-642|+    -            157 119324at50557        -            141   8.6e-05   21.7   0.3   2   2      0.06       9.5    5.3   0.0    22   108   133   150   113   157 0.62 -
119324at50557_54969_0:002fed|STRG.10377.3:172-642|+    -            157 119324at50557        -            141   8.6e-05   21.7   0.3   1   2     7e-05     0.011   14.8   0.0    47    95    45    92    31   106 0.84 -
119324at50557_54969_0:002fed|STRG.10377.3:172-642|+    -            157 119324at50557        -            141   8.6e-05   21.7   0.3   2   2      0.06       9.5    5.3   0.0    22   108   133   150   113   157 0.62 -
57153at50557_7244_0:001c0f|STRG.14378.2:317-1279|+     -            321 119324at50557        -            141   0.00011   21.3   2.2   1   3    0.0034      0.54    9.3   0.0    16    71    43   100    29   111 0.76 -
57153at50557_7244_0:001c0f|STRG.14378.2:317-1279|+     -            321 119324at50557        -            141   0.00011   21.3   2.2   2   3       3.2     5e+02   -0.3   0.0    52    70   156   177   140   198 0.72 -
57153at50557_7244_0:001c0f|STRG.14378.2:317-1279|+     -            321 119324at50557        -            141   0.00011   21.3   2.2   3   3    0.0024      0.37    9.9   0.2   116   141   286   311   218   315 0.63 -
119324at50557_54969_0:002fed|STRG.10377.4:283-612|+    -            110 119324at50557        -            141   0.00011   21.3   0.2   1   2   0.00014     0.021   13.9   0.0    51    95     2    45     1    60 0.85 -
119324at50557_54969_0:002fed|STRG.10377.4:283-612|+    -            110 119324at50557        -            141   0.00011   21.3   0.2   2   2     0.031       4.9    6.2   0.0    22   108    86   103    64   110 0.63 -
119324at50557_7237_0:000ec2|STRG.10377.1:294-611|+     -            106 119324at50557        -            141   0.00013   21.1   0.4   1   1   1.6e-05    0.0025   16.9   0.5    51   140     3   102     1   103 0.68 -
119324at50557_319348_0:001162|STRG.12338.1:119-475|+   -            119 119324at50557        -            141   0.00016   20.8   0.2   1   2     6e-06   0.00095   18.3   0.1    46   107     4    65     1    75 0.90 -
119324at50557_319348_0:001162|STRG.12338.1:119-475|+   -            119 119324at50557        -            141   0.00016   20.8   0.2   2   2       1.8   2.9e+02    0.5   0.0    44    77    85   119    81   119 0.73 -
57153at50557_7244_0:001c0f|STRG.14378.1:317-1441|+     -            375 119324at50557        -            141    0.0004   19.5   2.6   1   3     0.007       1.1    8.3   0.0    16    70    43    99    29   116 0.79 -
57153at50557_7244_0:001c0f|STRG.14378.1:317-1441|+     -            375 119324at50557        -            141    0.0004   19.5   2.6   2   3       4.1   6.4e+02   -0.6   0.0    52    70   210   231   195   250 0.72 -
57153at50557_7244_0:001c0f|STRG.14378.1:317-1441|+     -            375 119324at50557        -            141    0.0004   19.5   2.6   3   3     0.003      0.47    9.5   0.1    46    70   341   365   273   369 0.64 -
119324at50557_319348_0:001162|STRG.12338.2:35-316|+    -             94 119324at50557        -            141   0.00044   19.3   0.1   1   1   3.5e-06   0.00055   19.0   0.1    46   107    25    86    17    91 0.90 -
119324at50557_79782_0:002ece|STRG.4288.1:703-1134|+    -            144 119324at50557        -            141   0.00057   19.0   1.0   1   1   5.3e-06   0.00083   18.5   1.0    22   140     2   127     1   128 0.77 -
119324at50557_79782_0:002ece|STRG.4288.2:765-1196|+    -            144 119324at50557        -            141   0.00057   19.0   1.0   1   1   5.3e-06   0.00083   18.5   1.0    22   140     2   127     1   128 0.77 -
119324at50557_79782_0:002ece|STRG.4288.3:580-1011|+    -            144 119324at50557        -            141   0.00057   19.0   1.0   1   1   5.3e-06   0.00083   18.5   1.0    22   140     2   127     1   128 0.77 -
119324at50557_29053_0:0019d1|STRG.16589.4:975-1238|+   -             88 119324at50557        -            141   0.00068   18.7   0.1   1   1   1.4e-05    0.0023   17.0   0.1    80   139    17    87     2    88 0.69 -
119324at50557_29053_0:0019d1|STRG.16589.3:657-977|+    -            107 119324at50557        -            141   0.00069   18.7   0.2   1   1   1.3e-05    0.0021   17.2   0.2    79   139    35   106     2   107 0.66 -
119324at50557_29053_0:0019d1|STRG.16589.5:1080-1400|+  -            107 119324at50557        -            141   0.00069   18.7   0.2   1   1   1.3e-05    0.0021   17.2   0.2    79   139    35   106     2   107 0.66 -
112578at50557_37001_0:00357a|STRG.16589.2:404-757|+    -            118 119324at50557        -            141   0.00079   18.5   0.2   1   1   1.7e-05    0.0026   16.9   0.2    79   139    46   117     9   118 0.66 -
119324at50557_1155016_0:001688|STRG.10392.1:393-821|+  -            143 119324at50557        -            141    0.0018   17.4   0.5   1   1   8.1e-05     0.013   14.6   0.4    40   141    35   140     6   140 0.65 -
119324at50557_1155016_0:001688|STRG.10392.2:548-934|+  -            129 119324at50557        -            141    0.0081   15.3   0.1   1   1   6.6e-05      0.01   14.9   0.1    61   141    43   126     1   126 0.65 -
112578at50557_113334_0:002156|STRG.9675.3:36-320|+     -             95 119324at50557        -            141     0.031   13.3   0.0   1   1    0.0005     0.078   12.1   0.0    86   141    27    86    21    86 0.70 -
112578at50557_113334_0:002156|STRG.9675.6:672-956|+    -             95 119324at50557        -            141     0.031   13.3   0.0   1   1    0.0005     0.078   12.1   0.0    86   141    27    86    21    86 0.70 -
112578at50557_28612_0:0042e6|STRG.9675.1:326-676|+     -            117 119324at50557        -            141     0.055   12.6   0.0   1   2   0.00088      0.14   11.3   0.0    86   141    49   108    43   108 0.70 -
112578at50557_28612_0:0042e6|STRG.9675.1:326-676|+     -            117 119324at50557        -            141     0.055   12.6   0.0   2   2      0.38        59    2.7   0.0    21    40    91   110    81   116 0.73 -
112578at50557_28612_0:0042e6|STRG.9675.2:326-676|+     -            117 119324at50557        -            141     0.055   12.6   0.0   1   2   0.00088      0.14   11.3   0.0    86   141    49   108    43   108 0.70 -
112578at50557_28612_0:0042e6|STRG.9675.2:326-676|+     -            117 119324at50557        -            141     0.055   12.6   0.0   2   2      0.38        59    2.7   0.0    21    40    91   110    81   116 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/119324at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/119324at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/119324at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:06:00 2024
# [ok]
