#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96662at50557_286306_0:0043a3|STRG.13757.1:278-2271|+   -            461 96662at50557         -            445  1.4e-179  596.8   0.2   1   1  4.2e-181  1.6e-179  596.7   0.2     1   411    22   460    22   461 0.97 -
2648at50557_7539_0:00235a|STRG.10972.1:704-2977|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1  10  10   1.4e-10   5.2e-09   34.6   0.0   357   444   657   745   655   746 0.93 -
2648at50557_7539_0:00235a|STRG.10972.2:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   1  10   1.8e-12   6.8e-11   40.8   0.1   340   444    18   122     9   123 0.92 -
2648at50557_7539_0:00235a|STRG.10972.2:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   2  10   5.1e-08   1.9e-06   26.2   0.0   371   444    81   155    80   156 0.95 -
2648at50557_7539_0:00235a|STRG.10972.2:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   3  10   1.6e-06   6.1e-05   21.2   0.1   366   444   171   250   155   251 0.88 -
2648at50557_7539_0:00235a|STRG.10972.2:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   4  10   1.6e-06     6e-05   21.2   0.0   372   431   243   302   239   307 0.94 -
2648at50557_7539_0:00235a|STRG.10972.2:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   5  10   1.1e-08   3.9e-07   28.4   0.0   368   443   305   381   301   382 0.91 -
2648at50557_7539_0:00235a|STRG.10972.2:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   6  10   2.6e-05   0.00097   17.3   0.0   368   429   371   432   364   434 0.90 -
2648at50557_7539_0:00235a|STRG.10972.2:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   7  10   9.8e-08   3.7e-06   25.2   0.0   372   444   441   514   435   515 0.92 -
2648at50557_7539_0:00235a|STRG.10972.2:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   8  10   7.7e-09   2.9e-07   28.9   0.0   345   430   513   598   504   609 0.85 -
2648at50557_7539_0:00235a|STRG.10972.2:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   9  10     4e-06   0.00015   19.9   0.0   369   430   603   664   598   668 0.93 -
2648at50557_7539_0:00235a|STRG.10972.2:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1  10  10   1.4e-10   5.2e-09   34.6   0.0   357   444   657   745   655   746 0.93 -
2648at50557_7539_0:00235a|STRG.10972.3:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   1  10   1.8e-12   6.8e-11   40.8   0.1   340   444    18   122     9   123 0.92 -
2648at50557_7539_0:00235a|STRG.10972.3:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   2  10   5.1e-08   1.9e-06   26.2   0.0   371   444    81   155    80   156 0.95 -
2648at50557_7539_0:00235a|STRG.10972.3:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   3  10   1.6e-06   6.1e-05   21.2   0.1   366   444   171   250   155   251 0.88 -
2648at50557_7539_0:00235a|STRG.10972.3:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   4  10   1.6e-06     6e-05   21.2   0.0   372   431   243   302   239   307 0.94 -
2648at50557_7539_0:00235a|STRG.10972.3:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   5  10   1.1e-08   3.9e-07   28.4   0.0   368   443   305   381   301   382 0.91 -
2648at50557_7539_0:00235a|STRG.10972.3:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   6  10   2.6e-05   0.00097   17.3   0.0   368   429   371   432   364   434 0.90 -
2648at50557_7539_0:00235a|STRG.10972.3:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   7  10   9.8e-08   3.7e-06   25.2   0.0   372   444   441   514   435   515 0.92 -
2648at50557_7539_0:00235a|STRG.10972.3:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   8  10   7.7e-09   2.9e-07   28.9   0.0   345   430   513   598   504   609 0.85 -
2648at50557_7539_0:00235a|STRG.10972.3:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   9  10     4e-06   0.00015   19.9   0.0   369   430   603   664   598   668 0.93 -
2648at50557_7539_0:00235a|STRG.10972.3:662-2935|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1  10  10   1.4e-10   5.2e-09   34.6   0.0   357   444   657   745   655   746 0.93 -
2648at50557_7539_0:00235a|STRG.10972.4:585-2858|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   1  10   1.8e-12   6.8e-11   40.8   0.1   340   444    18   122     9   123 0.92 -
2648at50557_7539_0:00235a|STRG.10972.4:585-2858|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   2  10   5.1e-08   1.9e-06   26.2   0.0   371   444    81   155    80   156 0.95 -
2648at50557_7539_0:00235a|STRG.10972.4:585-2858|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   3  10   1.6e-06   6.1e-05   21.2   0.1   366   444   171   250   155   251 0.88 -
2648at50557_7539_0:00235a|STRG.10972.4:585-2858|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   4  10   1.6e-06     6e-05   21.2   0.0   372   431   243   302   239   307 0.94 -
2648at50557_7539_0:00235a|STRG.10972.4:585-2858|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   5  10   1.1e-08   3.9e-07   28.4   0.0   368   443   305   381   301   382 0.91 -
2648at50557_7539_0:00235a|STRG.10972.4:585-2858|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   6  10   2.6e-05   0.00097   17.3   0.0   368   429   371   432   364   434 0.90 -
2648at50557_7539_0:00235a|STRG.10972.4:585-2858|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   7  10   9.8e-08   3.7e-06   25.2   0.0   372   444   441   514   435   515 0.92 -
2648at50557_7539_0:00235a|STRG.10972.4:585-2858|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   8  10   7.7e-09   2.9e-07   28.9   0.0   345   430   513   598   504   609 0.85 -
2648at50557_7539_0:00235a|STRG.10972.4:585-2858|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1   9  10     4e-06   0.00015   19.9   0.0   369   430   603   664   598   668 0.93 -
2648at50557_7539_0:00235a|STRG.10972.4:585-2858|+      -            758 96662at50557         -            445   2.1e-66  223.8  17.1  10  10   1.4e-10   5.2e-09   34.6   0.0   357   444   657   745   655   746 0.93 -
2648at50557_1629725_0:0018e5|STRG.13970.1:101-2443|+   -            781 96662at50557         -            445   1.3e-65  221.2   2.0   1   9   7.6e-10   2.8e-08   32.2   0.0   342   441     7   107     2   107 0.88 -
2648at50557_1629725_0:0018e5|STRG.13970.1:101-2443|+   -            781 96662at50557         -            445   1.3e-65  221.2   2.0   2   9   4.5e-09   1.7e-07   29.7   0.0   367   444    65   143    63   147 0.97 -
2648at50557_1629725_0:0018e5|STRG.13970.1:101-2443|+   -            781 96662at50557         -            445   1.3e-65  221.2   2.0   3   9   3.1e-11   1.2e-09   36.8   0.0   339   441   157   260   144   264 0.91 -
2648at50557_1629725_0:0018e5|STRG.13970.1:101-2443|+   -            781 96662at50557         -            445   1.3e-65  221.2   2.0   4   9     0.056       2.1    6.3   0.0   390   431   241   282   240   297 0.88 -
2648at50557_1629725_0:0018e5|STRG.13970.1:101-2443|+   -            781 96662at50557         -            445   1.3e-65  221.2   2.0   5   9     1e-09   3.7e-08   31.8   0.2   352   427   359   434   350   451 0.93 -
2648at50557_1629725_0:0018e5|STRG.13970.1:101-2443|+   -            781 96662at50557         -            445   1.3e-65  221.2   2.0   6   9   8.2e-12   3.1e-10   38.7   0.0   335   431   467   565   447   569 0.90 -
2648at50557_1629725_0:0018e5|STRG.13970.1:101-2443|+   -            781 96662at50557         -            445   1.3e-65  221.2   2.0   7   9   8.9e-05    0.0033   15.5   0.0   392   443   559   611   558   613 0.90 -
2648at50557_1629725_0:0018e5|STRG.13970.1:101-2443|+   -            781 96662at50557         -            445   1.3e-65  221.2   2.0   8   9   1.3e-11   4.8e-10   38.1   0.0   335   428   622   715   615   718 0.90 -
2648at50557_1629725_0:0018e5|STRG.13970.1:101-2443|+   -            781 96662at50557         -            445   1.3e-65  221.2   2.0   9   9   2.1e-05    0.0008   17.5   0.0   392   444   712   765   711   766 0.92 -
2648at50557_1629725_0:0018e5|STRG.13970.2:101-2410|+   -            770 96662at50557         -            445   4.5e-64  216.1   0.6   1   8   2.3e-10   8.7e-09   33.9   0.0   342   443     7   109     3   112 0.88 -
2648at50557_1629725_0:0018e5|STRG.13970.2:101-2410|+   -            770 96662at50557         -            445   4.5e-64  216.1   0.6   2   8   1.4e-11   5.2e-10   37.9   0.0   336   441   143   249   113   253 0.84 -
2648at50557_1629725_0:0018e5|STRG.13970.2:101-2410|+   -            770 96662at50557         -            445   4.5e-64  216.1   0.6   3   8     0.031       1.2    7.1   0.0   389   431   229   271   227   286 0.87 -
2648at50557_1629725_0:0018e5|STRG.13970.2:101-2410|+   -            770 96662at50557         -            445   4.5e-64  216.1   0.6   4   8   9.8e-10   3.7e-08   31.8   0.2   352   427   348   423   339   440 0.93 -
2648at50557_1629725_0:0018e5|STRG.13970.2:101-2410|+   -            770 96662at50557         -            445   4.5e-64  216.1   0.6   5   8   8.1e-12     3e-10   38.7   0.0   335   431   456   554   436   558 0.90 -
2648at50557_1629725_0:0018e5|STRG.13970.2:101-2410|+   -            770 96662at50557         -            445   4.5e-64  216.1   0.6   6   8   8.8e-05    0.0033   15.5   0.0   392   443   548   600   547   602 0.90 -
2648at50557_1629725_0:0018e5|STRG.13970.2:101-2410|+   -            770 96662at50557         -            445   4.5e-64  216.1   0.6   7   8   1.2e-11   4.7e-10   38.1   0.0   335   428   611   704   604   707 0.90 -
2648at50557_1629725_0:0018e5|STRG.13970.2:101-2410|+   -            770 96662at50557         -            445   4.5e-64  216.1   0.6   8   8   2.1e-05   0.00079   17.6   0.0   392   444   701   754   700   755 0.92 -
2648at50557_1629725_0:0018e5|STRG.13970.3:101-2434|+   -            778 96662at50557         -            445   8.4e-64  215.2   1.8   1   9   7.6e-10   2.8e-08   32.2   0.0   342   441     7   107     2   107 0.88 -
2648at50557_1629725_0:0018e5|STRG.13970.3:101-2434|+   -            778 96662at50557         -            445   8.4e-64  215.2   1.8   2   9   4.4e-09   1.7e-07   29.7   0.0   367   444    65   143    63   147 0.97 -
2648at50557_1629725_0:0018e5|STRG.13970.3:101-2434|+   -            778 96662at50557         -            445   8.4e-64  215.2   1.8   3   9   3.1e-11   1.2e-09   36.8   0.0   339   441   157   260   144   264 0.91 -
2648at50557_1629725_0:0018e5|STRG.13970.3:101-2434|+   -            778 96662at50557         -            445   8.4e-64  215.2   1.8   4   9     0.055       2.1    6.3   0.0   390   431   241   282   240   297 0.88 -
2648at50557_1629725_0:0018e5|STRG.13970.3:101-2434|+   -            778 96662at50557         -            445   8.4e-64  215.2   1.8   5   9   9.3e-08   3.5e-06   25.3   0.2   352   412   359   419   352   437 0.86 -
2648at50557_1629725_0:0018e5|STRG.13970.3:101-2434|+   -            778 96662at50557         -            445   8.4e-64  215.2   1.8   6   9   6.2e-12   2.3e-10   39.1   0.0   335   431   464   562   426   566 0.87 -
2648at50557_1629725_0:0018e5|STRG.13970.3:101-2434|+   -            778 96662at50557         -            445   8.4e-64  215.2   1.8   7   9   0.00076     0.029   12.4   0.0   395   443   559   608   559   610 0.89 -
2648at50557_1629725_0:0018e5|STRG.13970.3:101-2434|+   -            778 96662at50557         -            445   8.4e-64  215.2   1.8   8   9   1.3e-11   4.7e-10   38.1   0.0   335   428   619   712   612   715 0.90 -
2648at50557_1629725_0:0018e5|STRG.13970.3:101-2434|+   -            778 96662at50557         -            445   8.4e-64  215.2   1.8   9   9   2.1e-05    0.0008   17.5   0.0   392   444   709   762   708   763 0.92 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   1  11   5.6e-09   2.1e-07   29.3   0.0   376   444     1    70     1    71 0.97 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   2  11   6.7e-07   2.5e-05   22.5   0.1   365   444   118   198   102   199 0.84 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   3  11   7.7e-05    0.0029   15.7   0.0   371   430   190   249   185   254 0.91 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   4  11   4.1e-09   1.5e-07   29.8   0.1   353   444   238   330   232   331 0.86 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   5  11   2.6e-05   0.00098   17.3   0.0   370   441   321   393   315   396 0.84 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   6  11   5.5e-07   2.1e-05   22.8   0.1   372   444   389   462   383   463 0.89 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   7  11   5.7e-06   0.00021   19.4   0.1   372   440   422   491   415   492 0.89 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   8  11   1.2e-10   4.4e-09   34.9   0.2   343   444   459   561   453   561 0.90 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   9  11   3.5e-08   1.3e-06   26.7   0.0   354   430   536   612   532   614 0.93 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2  10  11   4.3e-09   1.6e-07   29.7   0.0   366   444   614   693   612   694 0.95 -
2648at50557_7539_0:00235a|STRG.13301.1:308-2542|+      -            745 96662at50557         -            445     1e-62  211.6  18.2  11  11     0.023      0.86    7.6   0.1   370   424   684   738   679   741 0.86 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   1  11   5.6e-09   2.1e-07   29.3   0.0   376   444     1    70     1    71 0.97 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   2  11   6.7e-07   2.5e-05   22.5   0.1   365   444   118   198   102   199 0.84 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   3  11   7.7e-05    0.0029   15.7   0.0   371   430   190   249   185   254 0.91 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   4  11   4.1e-09   1.5e-07   29.8   0.1   353   444   238   330   232   331 0.86 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   5  11   2.6e-05   0.00098   17.3   0.0   370   441   321   393   315   396 0.84 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   6  11   5.5e-07   2.1e-05   22.8   0.1   372   444   389   462   383   463 0.89 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   7  11   5.7e-06   0.00021   19.4   0.1   372   440   422   491   415   492 0.89 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   8  11   1.2e-10   4.4e-09   34.9   0.2   343   444   459   561   453   561 0.90 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   9  11   3.5e-08   1.3e-06   26.7   0.0   354   430   536   612   532   614 0.93 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2  10  11   4.3e-09   1.6e-07   29.7   0.0   366   444   614   693   612   694 0.95 -
2648at50557_7539_0:00235a|STRG.13301.3:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2  11  11     0.023      0.86    7.6   0.1   370   424   684   738   679   741 0.86 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   1  11   5.6e-09   2.1e-07   29.3   0.0   376   444     1    70     1    71 0.97 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   2  11   6.7e-07   2.5e-05   22.5   0.1   365   444   118   198   102   199 0.84 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   3  11   7.7e-05    0.0029   15.7   0.0   371   430   190   249   185   254 0.91 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   4  11   4.1e-09   1.5e-07   29.8   0.1   353   444   238   330   232   331 0.86 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   5  11   2.6e-05   0.00098   17.3   0.0   370   441   321   393   315   396 0.84 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   6  11   5.5e-07   2.1e-05   22.8   0.1   372   444   389   462   383   463 0.89 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   7  11   5.7e-06   0.00021   19.4   0.1   372   440   422   491   415   492 0.89 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   8  11   1.2e-10   4.4e-09   34.9   0.2   343   444   459   561   453   561 0.90 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   9  11   3.5e-08   1.3e-06   26.7   0.0   354   430   536   612   532   614 0.93 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2  10  11   4.3e-09   1.6e-07   29.7   0.0   366   444   614   693   612   694 0.95 -
2648at50557_7539_0:00235a|STRG.13301.4:231-2465|+      -            745 96662at50557         -            445     1e-62  211.6  18.2  11  11     0.023      0.86    7.6   0.1   370   424   684   738   679   741 0.86 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   1  11   5.6e-09   2.1e-07   29.3   0.0   376   444     1    70     1    71 0.97 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   2  11   6.7e-07   2.5e-05   22.5   0.1   365   444   118   198   102   199 0.84 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   3  11   7.7e-05    0.0029   15.7   0.0   371   430   190   249   185   254 0.91 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   4  11   4.1e-09   1.5e-07   29.8   0.1   353   444   238   330   232   331 0.86 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   5  11   2.6e-05   0.00098   17.3   0.0   370   441   321   393   315   396 0.84 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   6  11   5.5e-07   2.1e-05   22.8   0.1   372   444   389   462   383   463 0.89 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   7  11   5.7e-06   0.00021   19.4   0.1   372   440   422   491   415   492 0.89 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   8  11   1.2e-10   4.4e-09   34.9   0.2   343   444   459   561   453   561 0.90 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   9  11   3.5e-08   1.3e-06   26.7   0.0   354   430   536   612   532   614 0.93 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2  10  11   4.3e-09   1.6e-07   29.7   0.0   366   444   614   693   612   694 0.95 -
2648at50557_7539_0:00235a|STRG.13301.6:225-2459|+      -            745 96662at50557         -            445     1e-62  211.6  18.2  11  11     0.023      0.86    7.6   0.1   370   424   684   738   679   741 0.86 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   1  11   5.6e-09   2.1e-07   29.3   0.0   376   444     1    70     1    71 0.97 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   2  11   6.7e-07   2.5e-05   22.5   0.1   365   444   118   198   102   199 0.84 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   3  11   7.7e-05    0.0029   15.7   0.0   371   430   190   249   185   254 0.91 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   4  11   4.1e-09   1.5e-07   29.8   0.1   353   444   238   330   232   331 0.86 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   5  11   2.6e-05   0.00098   17.3   0.0   370   441   321   393   315   396 0.84 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   6  11   5.5e-07   2.1e-05   22.8   0.1   372   444   389   462   383   463 0.89 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   7  11   5.7e-06   0.00021   19.4   0.1   372   440   422   491   415   492 0.89 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   8  11   1.2e-10   4.4e-09   34.9   0.2   343   444   459   561   453   561 0.90 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2   9  11   3.5e-08   1.3e-06   26.7   0.0   354   430   536   612   532   614 0.93 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2  10  11   4.3e-09   1.6e-07   29.7   0.0   366   444   614   693   612   694 0.95 -
2648at50557_7539_0:00235a|STRG.13301.7:294-2528|+      -            745 96662at50557         -            445     1e-62  211.6  18.2  11  11     0.023      0.86    7.6   0.1   370   424   684   738   679   741 0.86 -
96662at50557_104452_0:001c4a|STRG.13757.1:1681-2394|+  -            238 96662at50557         -            445   5.2e-61  206.0   0.1   1   1   1.7e-62   6.2e-61  205.8   0.1   230   444    12   230     2   231 0.95 -
96662at50557_104452_0:001c4a|STRG.13757.3:97-810|+     -            238 96662at50557         -            445   5.2e-61  206.0   0.1   1   1   1.7e-62   6.2e-61  205.8   0.1   230   444    12   230     2   231 0.95 -
2648at50557_454923_0:001379|STRG.13665.1:720-3614|+    -            965 96662at50557         -            445   1.7e-58  197.8  17.0   1  14   1.6e-09     6e-08   31.1   0.1   342   444     2   104     1   105 0.92 -
2648at50557_454923_0:001379|STRG.13665.1:720-3614|+    -            965 96662at50557         -            445   1.7e-58  197.8  17.0   2  14   3.8e-07   1.4e-05   23.3   0.1   366   433    91   158    89   164 0.91 -
2648at50557_454923_0:001379|STRG.13665.1:720-3614|+    -            965 96662at50557         -            445   1.7e-58  197.8  17.0   3  14   1.3e-08   4.9e-07   28.1   0.1   366   444   157   237   155   238 0.92 -
2648at50557_454923_0:001379|STRG.13665.1:720-3614|+    -            965 96662at50557         -            445   1.7e-58  197.8  17.0   4  14   2.3e-05   0.00087   17.4   0.0   374   444   232   304   229   305 0.88 -
2648at50557_454923_0:001379|STRG.13665.1:720-3614|+    -            965 96662at50557         -            445   1.7e-58  197.8  17.0   5  14   2.1e-05   0.00078   17.6   0.0   363   444   288   370   281   371 0.89 -
2648at50557_454923_0:001379|STRG.13665.1:720-3614|+    -            965 96662at50557         -            445   1.7e-58  197.8  17.0   6  14   8.3e-09   3.1e-07   28.8   0.0   353   444   378   470   372   471 0.93 -
