#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76747at50557_103372_0:001eb5|STRG.9995.1:400-1359|+   -            320 76747at50557         -            260  7.2e-118  391.7   0.7   1   1  1.2e-119  1.1e-117  391.1   0.7     2   260    25   315    24   315 0.89 -
84237at50557_307491_0:0026ad|STRG.7648.1:0-755|+      -            252 76747at50557         -            260   1.2e-23   82.8   0.0   1   1     2e-25     2e-23   82.2   0.0    11   187    37   227    30   232 0.84 -
84237at50557_307491_0:0026ad|STRG.7648.2:0-755|+      -            252 76747at50557         -            260   1.2e-23   82.8   0.0   1   1     2e-25     2e-23   82.2   0.0    11   187    37   227    30   232 0.84 -
84237at50557_307491_0:0026ad|STRG.7648.3:291-1046|+   -            252 76747at50557         -            260   1.2e-23   82.8   0.0   1   1     2e-25     2e-23   82.2   0.0    11   187    37   227    30   232 0.84 -
84237at50557_307491_0:0026ad|STRG.7648.4:234-989|+    -            252 76747at50557         -            260   1.2e-23   82.8   0.0   1   1     2e-25     2e-23   82.2   0.0    11   187    37   227    30   232 0.84 -
76747at50557_108931_0:001125|STRG.16631.1:290-892|+   -            201 76747at50557         -            260   2.2e-23   82.0   0.9   1   1   2.8e-25   2.7e-23   81.7   0.9    13   191     4   200     1   201 0.80 -
76747at50557_441921_0:001a0c|STRG.9458.1:155-928|+    -            258 76747at50557         -            260   2.5e-23   81.8   0.2   1   1   3.5e-25   3.4e-23   81.4   0.2    14   190     3   193     2   196 0.84 -
76747at50557_441921_0:001a0c|STRG.9458.2:612-1385|+   -            258 76747at50557         -            260   2.5e-23   81.8   0.2   1   1   3.5e-25   3.4e-23   81.4   0.2    14   190     3   193     2   196 0.84 -
76747at50557_441921_0:001a0c|STRG.9458.3:437-1210|+   -            258 76747at50557         -            260   2.5e-23   81.8   0.2   1   1   3.5e-25   3.4e-23   81.4   0.2    14   190     3   193     2   196 0.84 -
84237at50557_1155016_0:0033de|STRG.3879.4:287-922|+   -            212 76747at50557         -            260   2.3e-22   78.6   0.0   1   1   3.1e-24     3e-22   78.3   0.0    19   188     1   185     1   212 0.86 -
84237at50557_34720_0:000c53|STRG.5185.1:242-1093|+    -            284 76747at50557         -            260   1.8e-21   75.7   0.0   1   1   2.7e-23   2.6e-21   75.2   0.0    20   182     1   181     1   229 0.83 -
76747at50557_74869_0:00005d|STRG.16133.1:215-925|+    -            237 76747at50557         -            260   3.7e-21   74.7   0.1   1   1   4.8e-23   4.6e-21   74.4   0.1    18   189    50   236    39   237 0.85 -
76747at50557_74869_0:00005d|STRG.16133.2:311-1021|+   -            237 76747at50557         -            260   3.7e-21   74.7   0.1   1   1   4.8e-23   4.6e-21   74.4   0.1    18   189    50   236    39   237 0.85 -
84237at50557_28612_0:005f4c|STRG.16628.1:305-835|+    -            177 76747at50557         -            260   4.8e-21   74.3   0.0   1   1     6e-23   5.8e-21   74.1   0.0    18   173     1   166     1   171 0.81 -
76747at50557_76194_0:002b0e|STRG.11116.1:74-727|+     -            218 76747at50557         -            260   1.3e-20   72.9   0.2   1   1     2e-22   1.9e-20   72.4   0.2    15   194     1   200     1   207 0.81 -
76747at50557_76194_0:002b0e|STRG.11116.2:103-756|+    -            218 76747at50557         -            260   1.3e-20   72.9   0.2   1   1     2e-22   1.9e-20   72.4   0.2    15   194     1   200     1   207 0.81 -
76747at50557_7397_0:00281d|STRG.11117.1:183-767|+     -            195 76747at50557         -            260   4.8e-20   71.1   2.3   1   1   7.2e-22   6.9e-20   70.5   2.3    15   189     1   195     1   195 0.78 -
76747at50557_7397_0:00281d|STRG.11117.2:183-767|+     -            195 76747at50557         -            260   4.8e-20   71.1   2.3   1   1   7.2e-22   6.9e-20   70.5   2.3    15   189     1   195     1   195 0.78 -
76747at50557_7237_0:00014a|STRG.1513.1:144-713|+      -            190 76747at50557         -            260   1.1e-19   69.9   0.1   1   1   1.2e-21   1.2e-19   69.7   0.1    19   189     5   190     1   190 0.82 -
76747at50557_7160_0:0007ff|STRG.4188.1:19-558|+       -            180 76747at50557         -            260   1.2e-19   69.8   0.1   1   1   1.5e-21   1.4e-19   69.5   0.1    14   183     4   178     2   180 0.88 -
93379at50557_609295_0:002525|STRG.9922.1:6-941|+      -            312 76747at50557         -            260   6.5e-18   64.1   0.2   1   1   2.1e-18     2e-16   59.2   0.2    13   143    12   164     6   169 0.76 -
130558at50557_6973_0:006c0f|STRG.15879.1:199-831|+    -            211 76747at50557         -            260   1.1e-17   63.3   0.1   1   1   1.5e-19   1.4e-17   63.0   0.1    13   202     1   202     1   210 0.82 -
93379at50557_103372_0:002590|STRG.7107.1:74-1069|+    -            332 76747at50557         -            260     6e-17   60.9   0.5   1   1     9e-19   8.7e-17   60.4   0.5    13   148    47   192    37   195 0.85 -
76747at50557_110193_0:0000ad|STRG.3879.1:547-1029|+   -            161 76747at50557         -            260   6.1e-17   60.9   0.0   1   1   2.3e-18   2.3e-16   59.0   0.0    86   238     2   150     1   159 0.87 -
84237at50557_28612_0:005f4c|STRG.7157.1:136-744|+     -            203 76747at50557         -            260   1.1e-16   60.1   0.4   1   1   1.4e-18   1.4e-16   59.7   0.4    16   189     1   190     1   196 0.81 -
84237at50557_28612_0:005f4c|STRG.7157.2:81-689|+      -            203 76747at50557         -            260   1.1e-16   60.1   0.4   1   1   1.4e-18   1.4e-16   59.7   0.4    16   189     1   190     1   196 0.81 -
93379at50557_54969_0:0004f8|STRG.9925.2:430-1149|+    -            240 76747at50557         -            260   2.4e-16   58.9   0.7   1   1   1.5e-16   1.4e-14   53.1   0.5    11   143    13   166     7   180 0.76 -
93379at50557_77166_0:00303f|STRG.10266.2:173-1114|+   -            314 76747at50557         -            260   2.6e-16   58.8   0.7   1   1   1.3e-16   1.2e-14   53.3   0.7    12   146    11   167     5   231 0.73 -
66318at50557_34720_0:0013d0|STRG.8237.2:20-1117|+     -            366 76747at50557         -            260   4.2e-16   58.1   0.2   1   1   6.9e-18   6.7e-16   57.5   0.2    16   181    66   244    57   275 0.76 -
66318at50557_34720_0:0013d0|STRG.8237.1:283-1398|+    -            372 76747at50557         -            260   4.4e-16   58.1   0.2   1   1   7.2e-18     7e-16   57.4   0.2    16   181    72   250    63   281 0.76 -
66318at50557_34720_0:0013d0|STRG.8237.3:150-1265|+    -            372 76747at50557         -            260   4.4e-16   58.1   0.2   1   1   7.2e-18     7e-16   57.4   0.2    16   181    72   250    63   281 0.76 -
93379at50557_28588_0:000c70|STRG.9925.1:454-1374|+    -            307 76747at50557         -            260   4.5e-16   58.0   0.5   1   1   2.4e-16   2.3e-14   52.4   0.5    11   144     5   159     1   225 0.79 -
76747at50557_108931_0:001125|STRG.8721.1:2641-3255|+  -            205 76747at50557         -            260   6.3e-16   57.5   1.2   1   1   1.7e-17   1.7e-15   56.2   1.2     9   189    15   205    10   205 0.76 -
93379at50557_28588_0:000c70|STRG.9925.3:166-1089|+    -            308 76747at50557         -            260   1.1e-15   56.8   1.6   1   1   2.7e-16   2.6e-14   52.2   0.3    11   144     5   159     1   167 0.75 -
76747at50557_456900_0:0011c0|STRG.16059.1:732-1304|+  -            191 76747at50557         -            260   1.7e-15   56.1   0.9   1   1     3e-17   2.9e-15   55.4   0.9    12   183     8   191     2   191 0.73 -
76747at50557_456900_0:0011c0|STRG.16059.2:251-823|+   -            191 76747at50557         -            260   1.7e-15   56.1   0.9   1   1     3e-17   2.9e-15   55.4   0.9    12   183     8   191     2   191 0.73 -
76747at50557_456900_0:0011c0|STRG.16059.3:213-785|+   -            191 76747at50557         -            260   1.7e-15   56.1   0.9   1   1     3e-17   2.9e-15   55.4   0.9    12   183     8   191     2   191 0.73 -
66318at50557_6973_0:003194|STRG.1539.1:377-952|+      -            192 76747at50557         -            260   2.1e-15   55.8   0.0   1   1   4.6e-17   4.5e-15   54.8   0.0    15   183     1   185     1   191 0.80 -
93379at50557_441921_0:000194|STRG.10266.3:170-1176|+  -            305 76747at50557         -            260   2.6e-15   55.5   0.5   1   1   1.3e-15   1.3e-13   50.0   0.5    12   146    12   168     6   232 0.73 -
76747at50557_610380_0:001c9f|STRG.8722.1:82-780|+     -            233 76747at50557         -            260   8.1e-15   53.9   0.4   1   1   1.8e-16   1.7e-14   52.9   0.4    14   192     2   190     1   192 0.76 -
93379at50557_156304_0:001895|STRG.9923.2:90-932|+     -            281 76747at50557         -            260   1.4e-14   53.1   0.4   1   1   1.6e-14   1.5e-12   46.4   0.2    12   142    12   164     4   170 0.72 -
93379at50557_219809_0:002a60|STRG.15213.1:528-1403|+  -            292 76747at50557         -            260   1.6e-14   52.9   0.1   1   1   2.2e-16   2.2e-14   52.5   0.1     6   144     5   152     1   159 0.82 -
93379at50557_219809_0:002a60|STRG.15213.2:475-1350|+  -            292 76747at50557         -            260   1.6e-14   52.9   0.1   1   1   2.2e-16   2.2e-14   52.5   0.1     6   144     5   152     1   159 0.82 -
93379at50557_219809_0:002a60|STRG.15213.3:561-1436|+  -            292 76747at50557         -            260   1.6e-14   52.9   0.1   1   1   2.2e-16   2.2e-14   52.5   0.1     6   144     5   152     1   159 0.82 -
76747at50557_7160_0:0007ff|STRG.9170.1:185-754|+      -            190 76747at50557         -            260   3.5e-14   51.8   1.4   1   1   3.4e-15   3.3e-13   48.6   1.4    15   171     5   176     2   190 0.74 -
76747at50557_7160_0:0007ff|STRG.9170.2:245-814|+      -            190 76747at50557         -            260   3.5e-14   51.8   1.4   1   1   3.4e-15   3.3e-13   48.6   1.4    15   171     5   176     2   190 0.74 -
76747at50557_7160_0:0007ff|STRG.9170.3:144-713|+      -            190 76747at50557         -            260   3.5e-14   51.8   1.4   1   1   3.4e-15   3.3e-13   48.6   1.4    15   171     5   176     2   190 0.74 -
76747at50557_7160_0:0007ff|STRG.9170.4:32-601|+       -            190 76747at50557         -            260   3.5e-14   51.8   1.4   1   1   3.4e-15   3.3e-13   48.6   1.4    15   171     5   176     2   190 0.74 -
76747at50557_7160_0:0007ff|STRG.9170.5:128-697|+      -            190 76747at50557         -            260   3.5e-14   51.8   1.4   1   1   3.4e-15   3.3e-13   48.6   1.4    15   171     5   176     2   190 0.74 -
76747at50557_112268_0:0015a7|STRG.17114.2:98-670|+    -            191 76747at50557         -            260   5.7e-14   51.1   0.9   1   1   7.1e-16   6.9e-14   50.9   0.9    15   190     1   190     1   191 0.78 -
93379at50557_136037_0:0013df|STRG.12525.1:405-1346|+  -            314 76747at50557         -            260   1.7e-13   49.6   0.0   1   1   7.9e-15   7.6e-13   47.5   0.0    12   192    27   237    22   241 0.75 -
93379at50557_37001_0:0007ab|STRG.8533.1:230-1096|+    -            289 76747at50557         -            260   4.9e-13   48.1   0.4   1   1   9.3e-15     9e-13   47.2   0.4    13   190     7   208     4   215 0.79 -
130558at50557_6973_0:006c0f|STRG.16058.1:481-1125|+   -            215 76747at50557         -            260   5.4e-13   47.9   0.0   1   1   8.8e-15   8.5e-13   47.3   0.0    15   189     1   186     1   191 0.73 -
76747at50557_610380_0:001c9f|STRG.11594.1:92-790|+    -            233 76747at50557         -            260   2.1e-12   46.0   0.2   1   1   4.2e-14   4.1e-12   45.1   0.2    14   193     2   191     1   231 0.75 -
76747at50557_112268_0:0015a7|STRG.17114.1:121-678|+   -            186 76747at50557         -            260   2.6e-12   45.7   1.0   1   1   3.3e-14   3.2e-12   45.4   1.0    20   190     1   185     1   186 0.77 -
76747at50557_166361_0:0015eb|STRG.607.1:263-826|+     -            188 76747at50557         -            260   3.5e-12   45.3   0.2   1   1   1.6e-10   1.5e-08   33.3   0.2    13   162     3   166     1   180 0.66 -
76747at50557_166361_0:0015eb|STRG.607.2:306-869|+     -            188 76747at50557         -            260   3.5e-12   45.3   0.2   1   1   1.6e-10   1.5e-08   33.3   0.2    13   162     3   166     1   180 0.66 -
76747at50557_166361_0:0015eb|STRG.607.3:376-939|+     -            188 76747at50557         -            260   3.5e-12   45.3   0.2   1   1   1.6e-10   1.5e-08   33.3   0.2    13   162     3   166     1   180 0.66 -
76747at50557_166361_0:0015eb|STRG.607.4:612-1175|+    -            188 76747at50557         -            260   3.5e-12   45.3   0.2   1   1   1.6e-10   1.5e-08   33.3   0.2    13   162     3   166     1   180 0.66 -
130558at50557_6973_0:006c0f|STRG.16056.1:82-717|+     -            212 76747at50557         -            260   9.5e-12   43.9   0.1   1   1   1.9e-13   1.9e-11   42.9   0.1    13   195     4   196     1   211 0.77 -
93379at50557_610380_0:00171d|STRG.10266.1:210-1066|+  -            275 76747at50557         -            260   2.5e-11   42.5   0.2   1   2   1.8e-06   0.00017   20.1   0.0    12    42    13    43     7    47 0.89 -
93379at50557_610380_0:00171d|STRG.10266.1:210-1066|+  -            275 76747at50557         -            260   2.5e-11   42.5   0.2   2   2   1.6e-06   0.00015   20.2   0.0    71   146    54   131    43   194 0.73 -
76747at50557_7160_0:0007ff|STRG.1745.1:269-838|+      -            190 76747at50557         -            260   1.7e-10   39.7   0.1   1   1   2.1e-12     2e-10   39.5   0.1    17   162     1   165     1   189 0.78 -
84237at50557_69319_0:000146|STRG.8964.2:698-1306|+    -            203 76747at50557         -            260   1.8e-10   39.7   0.4   1   1   3.9e-12   3.8e-10   38.6   0.4    13   189     1   200     1   202 0.75 -
84237at50557_69319_0:000146|STRG.8964.3:712-1320|+    -            203 76747at50557         -            260   1.8e-10   39.7   0.4   1   1   3.9e-12   3.8e-10   38.6   0.4    13   189     1   200     1   202 0.75 -
93379at50557_51655_0:0030d6|STRG.9923.1:214-977|+     -            250 76747at50557         -            260   2.7e-10   39.1   0.2   1   1   2.6e-11   2.5e-09   35.9   0.2    13   142     4   123     2   189 0.87 -
84237at50557_6973_0:0059bf|STRG.9231.1:328-876|+      -            183 76747at50557         -            260   4.2e-10   38.5   1.3   1   1   7.3e-11     7e-09   34.5   1.3    20   142     2   140     1   166 0.73 -
84237at50557_6973_0:0059bf|STRG.9231.2:312-860|+      -            183 76747at50557         -            260   4.2e-10   38.5   1.3   1   1   7.3e-11     7e-09   34.5   1.3    20   142     2   140     1   166 0.73 -
84237at50557_64838_0:002455|STRG.16060.3:246-842|+    -            199 76747at50557         -            260     7e-10   37.7   0.2   1   1   1.3e-11   1.2e-09   36.9   0.2    14   192     2   192     1   196 0.67 -
76747at50557_133901_0:0036de|STRG.16060.2:239-817|+   -            193 76747at50557         -            260   7.9e-10   37.6   0.2   1   1   1.3e-11   1.3e-09   36.9   0.2    14   191     2   191     1   193 0.66 -
93379at50557_116153_0:000985|STRG.6040.1:261-932|+    -            224 76747at50557         -            260   9.2e-10   37.3   0.1   1   2   2.2e-10   2.1e-08   32.9   0.0    19   148     2   139     1   146 0.81 -
93379at50557_116153_0:000985|STRG.6040.1:261-932|+    -            224 76747at50557         -            260   9.2e-10   37.3   0.1   2   2      0.37        36    2.6   0.0   153   187   184   224   159   224 0.77 -
84237at50557_1155016_0:0033de|STRG.16635.1:449-1198|+ -            250 76747at50557         -            260   1.5e-09   36.6   0.3   1   1   2.4e-11   2.3e-09   36.0   0.3    12   174    12   186     9   200 0.79 -
84237at50557_1155016_0:0033de|STRG.16635.2:170-919|+  -            250 76747at50557         -            260   1.5e-09   36.6   0.3   1   1   2.4e-11   2.3e-09   36.0   0.3    12   174    12   186     9   200 0.79 -
84237at50557_1155016_0:0033de|STRG.16635.3:296-1045|+ -            250 76747at50557         -            260   1.5e-09   36.6   0.3   1   1   2.4e-11   2.3e-09   36.0   0.3    12   174    12   186     9   200 0.79 -
76747at50557_610380_0:001c9f|STRG.16055.1:74-706|+    -            211 76747at50557         -            260   1.5e-09   36.6   0.1   1   1   2.7e-11   2.6e-09   35.8   0.1    14   188     3   187     1   208 0.71 -
93379at50557_116153_0:000985|STRG.15963.2:171-857|+   -            229 76747at50557         -            260   4.4e-09   35.1   0.0   1   2   6.7e-09   6.5e-07   28.0   0.0    14   147     2   143     1   146 0.80 -
93379at50557_116153_0:000985|STRG.15963.2:171-857|+   -            229 76747at50557         -            260   4.4e-09   35.1   0.0   2   2     0.055       5.3    5.3   0.0   152   187   188   229   152   229 0.84 -
76747at50557_7160_0:0007ff|STRG.2259.2:102-671|+      -            190 76747at50557         -            260   5.6e-09   34.8   0.1   1   1   6.9e-11   6.7e-09   34.5   0.1    17   163     1   166     1   189 0.77 -
76747at50557_7160_0:0007ff|STRG.2259.1:164-658|+      -            165 76747at50557         -            260     8e-09   34.3   0.1   1   1   9.8e-11   9.5e-09   34.0   0.1    17   162     1   165     1   165 0.77 -
84237at50557_103372_0:001926|STRG.16060.1:257-946|+   -            230 76747at50557         -            260   4.5e-08   31.8   0.2   1   2   0.00028     0.028   12.8   0.0    16    45     1    30     1    42 0.88 -
84237at50557_103372_0:001926|STRG.16060.1:257-946|+   -            230 76747at50557         -            260   4.5e-08   31.8   0.2   2   2   1.5e-05    0.0014   17.1   0.0    79   192    85   199    74   207 0.70 -
93379at50557_93721_0:00028d|STRG.12139.1:806-1627|+   -            274 76747at50557         -            260   5.6e-08   31.5   0.4   1   2   7.6e-09   7.4e-07   27.8   0.2    17   129     2   124     1   148 0.74 -
93379at50557_93721_0:00028d|STRG.12139.1:806-1627|+   -            274 76747at50557         -            260   5.6e-08   31.5   0.4   2   2       0.6        59    1.9   0.0   172   193   190   211   161   242 0.81 -
93379at50557_93721_0:00028d|STRG.12139.2:618-1439|+   -            274 76747at50557         -            260   5.6e-08   31.5   0.4   1   2   7.6e-09   7.4e-07   27.8   0.2    17   129     2   124     1   148 0.74 -
93379at50557_93721_0:00028d|STRG.12139.2:618-1439|+   -            274 76747at50557         -            260   5.6e-08   31.5   0.4   2   2       0.6        59    1.9   0.0   172   193   190   211   161   242 0.81 -
93379at50557_93721_0:00028d|STRG.12139.3:623-1444|+   -            274 76747at50557         -            260   5.6e-08   31.5   0.4   1   2   7.6e-09   7.4e-07   27.8   0.2    17   129     2   124     1   148 0.74 -
93379at50557_93721_0:00028d|STRG.12139.3:623-1444|+   -            274 76747at50557         -            260   5.6e-08   31.5   0.4   2   2       0.6        59    1.9   0.0   172   193   190   211   161   242 0.81 -
84237at50557_6973_0:0059bf|STRG.9231.3:312-659|+      -            116 76747at50557         -            260   8.6e-06   24.3   1.4   1   1   1.6e-06   0.00015   20.2   1.4    20   107     2   105     1   116 0.66 -
66318at50557_133901_0:002cee|STRG.6388.1:3-614|+      -            204 76747at50557         -            260     3e-05   22.6   0.1   1   1   6.4e-07   6.2e-05   21.5   0.1    17   171     6   189     3   204 0.64 -
41868at50557_34720_0:00183d|STRG.10094.1:514-2211|+   -            566 76747at50557         -            260      0.06   11.7   0.1   1   1    0.0013      0.13   10.6   0.0    14    45   178   209   167   212 0.91 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76747at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/76747at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/76747at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:12:20 2024
# [ok]
