#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
28600at50557_520822_0:000c07|STRG.5897.2:532-2412|+    -            627 28600at50557         -            507    5e-242  803.2  16.2   1   1  3.6e-242  2.3e-240  797.7  16.2     1   497    10   609    10   620 0.87 -
140221at50557_568069_0:001a32|STRG.16475.9:305-769|+   -            155 28600at50557         -            507   4.6e-13   47.8   0.0   1   1   8.3e-15   5.4e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
108271at50557_286306_0:004073|STRG.11619.1:125-715|+   -            197 28600at50557         -            507   1.1e-12   46.6   0.0   1   1   2.1e-14   1.4e-12   46.3   0.0     4   154    13   173    10   179 0.83 -
140221at50557_568069_0:001a32|STRG.9334.1:85-576|+     -            164 28600at50557         -            507     3e-12   45.1   0.0   1   1     5e-14   3.3e-12   45.0   0.0     3   114     8   127     6   158 0.85 -
140221at50557_568069_0:001a32|STRG.9334.2:72-563|+     -            164 28600at50557         -            507     3e-12   45.1   0.0   1   1     5e-14   3.3e-12   45.0   0.0     3   114     8   127     6   158 0.85 -
140221at50557_568069_0:001a32|STRG.923.1:803-1279|+    -            159 28600at50557         -            507   3.2e-12   45.1   0.0   1   1   5.7e-14   3.7e-12   44.8   0.0     1   111     1   119     1   133 0.86 -
140221at50557_568069_0:001a32|STRG.923.5:803-1279|+    -            159 28600at50557         -            507   3.2e-12   45.1   0.0   1   1   5.7e-14   3.7e-12   44.8   0.0     1   111     1   119     1   133 0.86 -
108271at50557_64793_0:001833|STRG.11619.3:567-1184|+   -            206 28600at50557         -            507   3.7e-12   44.8   0.0   1   1     7e-14   4.5e-12   44.6   0.0     4   148    18   172    15   182 0.83 -
108271at50557_64793_0:001833|STRG.11619.4:207-824|+    -            206 28600at50557         -            507   3.7e-12   44.8   0.0   1   1     7e-14   4.5e-12   44.6   0.0     4   148    18   172    15   182 0.83 -
108271at50557_64793_0:001833|STRG.11619.2:104-727|+    -            208 28600at50557         -            507   3.8e-12   44.8   0.0   1   1   7.2e-14   4.7e-12   44.5   0.0     4   148    20   174    17   184 0.83 -
108271at50557_224129_0:0005ad|STRG.12440.1:1068-1610|+ -            181 28600at50557         -            507   6.5e-12   44.0   0.1   1   1   1.1e-13   6.9e-12   44.0   0.1     4   167     2   177     1   181 0.78 -
108271at50557_224129_0:0005ad|STRG.12440.2:245-787|+   -            181 28600at50557         -            507   6.5e-12   44.0   0.1   1   1   1.1e-13   6.9e-12   44.0   0.1     4   167     2   177     1   181 0.78 -
107216at50557_110193_0:000c8b|STRG.7804.1:324-902|+    -            193 28600at50557         -            507   8.6e-12   43.6   0.0   1   1   1.7e-13   1.1e-11   43.3   0.0     4   149    14   171    12   186 0.79 -
140221at50557_568069_0:001a32|STRG.16535.1:117-596|+   -            160 28600at50557         -            507   1.9e-11   42.5   0.0   1   1   3.2e-13   2.1e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
140221at50557_568069_0:001a32|STRG.16535.2:414-893|+   -            160 28600at50557         -            507   1.9e-11   42.5   0.0   1   1   3.2e-13   2.1e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
140221at50557_568069_0:001a32|STRG.16535.3:536-1015|+  -            160 28600at50557         -            507   1.9e-11   42.5   0.0   1   1   3.2e-13   2.1e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
104262at50557_132113_0:00109a|STRG.3358.1:232-741|+    -            170 28600at50557         -            507   8.5e-11   40.4   0.0   1   1   1.5e-12     1e-10   40.1   0.0     4   146    18   170    16   170 0.79 -
104262at50557_132113_0:00109a|STRG.3358.2:231-740|+    -            170 28600at50557         -            507   8.5e-11   40.4   0.0   1   1   1.5e-12     1e-10   40.1   0.0     4   146    18   170    16   170 0.79 -
106023at50557_456900_0:0019f7|STRG.12795.1:907-1554|+  -            216 28600at50557         -            507   1.3e-10   39.8   0.0   1   1   2.4e-12   1.6e-10   39.5   0.0     3   149    23   179    21   189 0.74 -
106023at50557_456900_0:0019f7|STRG.12795.3:201-848|+   -            216 28600at50557         -            507   1.3e-10   39.8   0.0   1   1   2.4e-12   1.6e-10   39.5   0.0     3   149    23   179    21   189 0.74 -
106023at50557_456900_0:0019f7|STRG.12795.6:263-910|+   -            216 28600at50557         -            507   1.3e-10   39.8   0.0   1   1   2.4e-12   1.6e-10   39.5   0.0     3   149    23   179    21   189 0.74 -
106023at50557_456900_0:0019f7|STRG.12795.4:76-726|+    -            217 28600at50557         -            507   1.3e-10   39.8   0.0   1   1   2.5e-12   1.6e-10   39.5   0.0     3   149    24   180    22   190 0.74 -
105221at50557_224129_0:000e95|STRG.9393.1:963-1451|+   -            163 28600at50557         -            507   1.3e-10   39.7   0.1   1   1   2.5e-12   1.6e-10   39.4   0.1     4   147     7   160     4   162 0.83 -
105221at50557_224129_0:000e95|STRG.9393.2:515-1003|+   -            163 28600at50557         -            507   1.3e-10   39.7   0.1   1   1   2.5e-12   1.6e-10   39.4   0.1     4   147     7   160     4   162 0.83 -
105221at50557_224129_0:000e95|STRG.9393.3:960-1448|+   -            163 28600at50557         -            507   1.3e-10   39.7   0.1   1   1   2.5e-12   1.6e-10   39.4   0.1     4   147     7   160     4   162 0.83 -
105221at50557_224129_0:000e95|STRG.9393.4:741-1229|+   -            163 28600at50557         -            507   1.3e-10   39.7   0.1   1   1   2.5e-12   1.6e-10   39.4   0.1     4   147     7   160     4   162 0.83 -
105221at50557_224129_0:000e95|STRG.9393.5:850-1338|+   -            163 28600at50557         -            507   1.3e-10   39.7   0.1   1   1   2.5e-12   1.6e-10   39.4   0.1     4   147     7   160     4   162 0.83 -
105221at50557_224129_0:000e95|STRG.9393.6:985-1473|+   -            163 28600at50557         -            507   1.3e-10   39.7   0.1   1   1   2.5e-12   1.6e-10   39.4   0.1     4   147     7   160     4   162 0.83 -
140221at50557_568069_0:001a32|STRG.13462.1:306-785|+   -            160 28600at50557         -            507   1.4e-10   39.7   0.0   1   1   2.3e-12   1.5e-10   39.5   0.0     2   117     3   126     2   157 0.81 -
106023at50557_67767_0:00110a|STRG.12795.5:188-856|+    -            223 28600at50557         -            507   1.4e-10   39.6   0.0   1   1   2.7e-12   1.7e-10   39.3   0.0     3   149    30   186    28   196 0.74 -
108755at50557_178035_0:0020de|STRG.8551.2:289-915|+    -            209 28600at50557         -            507   1.7e-10   39.3   0.0   1   1   3.4e-12   2.2e-10   39.0   0.0     2   148    13   169    12   177 0.80 -
108755at50557_456900_0:000c82|STRG.8551.1:299-951|+    -            213 28600at50557         -            507   1.9e-10   39.2   0.0   1   1   3.6e-12   2.3e-10   38.9   0.0     2   148    13   169    12   177 0.80 -
105221at50557_7460_0:001362|STRG.3195.1:10-651|+       -            214 28600at50557         -            507     2e-10   39.1   0.0   1   1   3.7e-12   2.4e-10   38.9   0.0     3   147    26   183    24   206 0.77 -
129498at50557_103372_0:001a9c|STRG.11051.1:4342-5040|+ -            233 28600at50557         -            507   2.1e-10   39.1   0.0   1   1   3.7e-12   2.4e-10   38.8   0.0     3   149    12   168    10   189 0.77 -
129498at50557_103372_0:001a9c|STRG.11051.2:4205-4903|+ -            233 28600at50557         -            507   2.1e-10   39.1   0.0   1   1   3.7e-12   2.4e-10   38.8   0.0     3   149    12   168    10   189 0.77 -
129498at50557_103372_0:001a9c|STRG.11051.3:3221-3919|+ -            233 28600at50557         -            507   2.1e-10   39.1   0.0   1   1   3.7e-12   2.4e-10   38.8   0.0     3   149    12   168    10   189 0.77 -
129498at50557_103372_0:001a9c|STRG.11051.4:2917-3615|+ -            233 28600at50557         -            507   2.1e-10   39.1   0.0   1   1   3.7e-12   2.4e-10   38.8   0.0     3   149    12   168    10   189 0.77 -
129498at50557_103372_0:001a9c|STRG.11051.5:2917-3615|+ -            233 28600at50557         -            507   2.1e-10   39.1   0.0   1   1   3.7e-12   2.4e-10   38.8   0.0     3   149    12   168    10   189 0.77 -
129498at50557_103372_0:001a9c|STRG.11051.6:2893-3591|+ -            233 28600at50557         -            507   2.1e-10   39.1   0.0   1   1   3.7e-12   2.4e-10   38.8   0.0     3   149    12   168    10   189 0.77 -
129498at50557_103372_0:001a9c|STRG.11051.7:568-1266|+  -            233 28600at50557         -            507   2.1e-10   39.1   0.0   1   1   3.7e-12   2.4e-10   38.8   0.0     3   149    12   168    10   189 0.77 -
104262at50557_132113_0:00109a|STRG.6247.1:470-946|+    -            159 28600at50557         -            507   2.3e-10   38.9   0.0   1   1     4e-12   2.6e-10   38.7   0.0     4   146     8   159     5   159 0.79 -
106023at50557_609295_0:001bec|STRG.12795.2:15-917|+    -            301 28600at50557         -            507   3.2e-10   38.4   0.0   1   1   6.4e-12   4.1e-10   38.1   0.0     3   149   108   264   106   274 0.74 -
108271at50557_166361_0:003235|STRG.8344.1:390-944|+    -            185 28600at50557         -            507   4.7e-10   37.9   0.0   1   1   8.6e-12   5.6e-10   37.7   0.0     4   148     2   156     1   165 0.78 -
108271at50557_166361_0:003235|STRG.8344.2:315-869|+    -            185 28600at50557         -            507   4.7e-10   37.9   0.0   1   1   8.6e-12   5.6e-10   37.7   0.0     4   148     2   156     1   165 0.78 -
140221at50557_568069_0:001a32|STRG.2283.1:37-516|+     -            160 28600at50557         -            507   7.7e-10   37.2   0.0   1   1   1.4e-11   9.3e-10   36.9   0.0     2   118     3   128     2   136 0.82 -
108271at50557_43151_0:001e01|STRG.16853.1:39-596|+     -            186 28600at50557         -            507   1.5e-09   36.3   0.0   1   1   2.6e-11   1.7e-09   36.1   0.0     4   153     2   161     1   173 0.76 -
108271at50557_28612_0:005172|STRG.4235.1:254-823|+     -            190 28600at50557         -            507   1.8e-09   36.0   0.0   1   1   2.9e-11   1.9e-09   35.9   0.0     4   147     5   159     2   189 0.75 -
140221at50557_568069_0:001a32|STRG.9169.1:282-728|+    -            149 28600at50557         -            507   2.4e-09   35.6   0.0   1   1     4e-11   2.6e-09   35.5   0.0     4   120     2   126     1   149 0.75 -
140221at50557_568069_0:001a32|STRG.9169.2:965-1411|+   -            149 28600at50557         -            507   2.4e-09   35.6   0.0   1   1     4e-11   2.6e-09   35.5   0.0     4   120     2   126     1   149 0.75 -
108271at50557_197043_0:002be2|STRG.4523.1:34-540|+     -            169 28600at50557         -            507   4.1e-09   34.8   0.0   1   1   7.4e-11   4.8e-09   34.6   0.0     5   147     1   153     1   164 0.79 -
108271at50557_1629725_0:00106a|STRG.2098.2:522-1033|+  -            128 28600at50557         -            507   6.6e-09   34.1   0.0   1   1   1.1e-10   7.2e-09   34.0   0.0     3   112    11   124     9   128 0.82 -
104262at50557_132113_0:00109a|STRG.7868.2:387-935|+    -            183 28600at50557         -            507   7.5e-09   33.9   0.0   1   1   1.2e-10     8e-09   33.8   0.0     3   119    14   138    12   177 0.80 -
104262at50557_132113_0:00109a|STRG.7868.4:494-1042|+   -            183 28600at50557         -            507   7.5e-09   33.9   0.0   1   1   1.2e-10     8e-09   33.8   0.0     3   119    14   138    12   177 0.80 -
115559at50557_42026_0:0013f7|STRG.2218.1:1291-1782|+   -            164 28600at50557         -            507   1.4e-08   33.1   0.0   1   1   2.5e-10   1.6e-08   32.9   0.0     5   145    11   159     7   162 0.72 -
115559at50557_42026_0:0013f7|STRG.2218.2:1146-1637|+   -            164 28600at50557         -            507   1.4e-08   33.1   0.0   1   1   2.5e-10   1.6e-08   32.9   0.0     5   145    11   159     7   162 0.72 -
115559at50557_42026_0:0013f7|STRG.2218.3:727-1218|+    -            164 28600at50557         -            507   1.4e-08   33.1   0.0   1   1   2.5e-10   1.6e-08   32.9   0.0     5   145    11   159     7   162 0.72 -
115559at50557_286306_0:000620|STRG.14065.1:219-824|+   -            202 28600at50557         -            507   1.8e-08   32.7   0.1   1   1   3.4e-10   2.2e-08   32.4   0.1     2   151    26   185    25   196 0.74 -
115559at50557_286306_0:000620|STRG.14065.2:568-1173|+  -            202 28600at50557         -            507   1.8e-08   32.7   0.1   1   1   3.4e-10   2.2e-08   32.4   0.1     2   151    26   185    25   196 0.74 -
115559at50557_286306_0:000620|STRG.14065.3:243-848|+   -            202 28600at50557         -            507   1.8e-08   32.7   0.1   1   1   3.4e-10   2.2e-08   32.4   0.1     2   151    26   185    25   196 0.74 -
115559at50557_286306_0:000620|STRG.14065.4:616-1221|+  -            202 28600at50557         -            507   1.8e-08   32.7   0.1   1   1   3.4e-10   2.2e-08   32.4   0.1     2   151    26   185    25   196 0.74 -
115559at50557_286306_0:000620|STRG.14065.5:820-1425|+  -            202 28600at50557         -            507   1.8e-08   32.7   0.1   1   1   3.4e-10   2.2e-08   32.4   0.1     2   151    26   185    25   196 0.74 -
115559at50557_286306_0:000620|STRG.14065.6:1133-1738|+ -            202 28600at50557         -            507   1.8e-08   32.7   0.1   1   1   3.4e-10   2.2e-08   32.4   0.1     2   151    26   185    25   196 0.74 -
104262at50557_411798_0:001745|STRG.1128.1:160-804|+    -            215 28600at50557         -            507   3.1e-08   31.9   0.0   1   1   5.9e-10   3.8e-08   31.6   0.0     3   153     6   167     4   177 0.71 -
104262at50557_39758_0:003743|STRG.6842.1:618-1232|+    -            205 28600at50557         -            507   4.7e-08   31.3   0.0   1   1   9.2e-10     6e-08   31.0   0.0     4   151     8   165     6   177 0.75 -
104262at50557_39758_0:003743|STRG.6842.2:618-1229|+    -            204 28600at50557         -            507   4.7e-08   31.3   0.0   1   1   9.4e-10   6.1e-08   30.9   0.0     4   151     8   165     6   176 0.75 -
107216at50557_39758_0:004d90|STRG.14393.1:284-826|+    -            181 28600at50557         -            507     8e-08   30.6   0.0   1   1   1.5e-09   9.9e-08   30.2   0.0     4   155    13   174    11   178 0.77 -
108271at50557_40932_0:00088c|STRG.2098.1:549-1092|+    -            167 28600at50557         -            507   1.4e-07   29.7   0.0   1   1   2.3e-09   1.5e-07   29.7   0.0     4   118     3   126     1   162 0.76 -
108271at50557_40932_0:00088c|STRG.2098.3:549-1165|+    -            167 28600at50557         -            507   1.4e-07   29.7   0.0   1   1   2.3e-09   1.5e-07   29.7   0.0     4   118     3   126     1   162 0.76 -
108271at50557_40932_0:00088c|STRG.2098.4:543-1043|+    -            167 28600at50557         -            507   1.4e-07   29.7   0.0   1   1   2.3e-09   1.5e-07   29.7   0.0     4   118     3   126     1   162 0.76 -
107216at50557_51655_0:0016fc|STRG.10335.1:632-1135|+   -            168 28600at50557         -            507   2.4e-07   29.0   0.0   1   1   4.1e-09   2.7e-07   28.8   0.0     4   144    10   166     7   168 0.72 -
107216at50557_51655_0:0016fc|STRG.10335.2:631-1134|+   -            168 28600at50557         -            507   2.4e-07   29.0   0.0   1   1   4.1e-09   2.7e-07   28.8   0.0     4   144    10   166     7   168 0.72 -
107216at50557_51655_0:0016fc|STRG.10335.3:628-1131|+   -            168 28600at50557         -            507   2.4e-07   29.0   0.0   1   1   4.1e-09   2.7e-07   28.8   0.0     4   144    10   166     7   168 0.72 -
107216at50557_51655_0:0016fc|STRG.10335.4:628-1131|+   -            168 28600at50557         -            507   2.4e-07   29.0   0.0   1   1   4.1e-09   2.7e-07   28.8   0.0     4   144    10   166     7   168 0.72 -
108271at50557_7536_0:004142|STRG.3786.3:1076-1615|+    -            180 28600at50557         -            507   2.5e-07   28.9   0.0   1   1   4.4e-09   2.9e-07   28.7   0.0     5   154     2   162     1   171 0.74 -
108271at50557_7536_0:004142|STRG.3786.4:959-1498|+     -            180 28600at50557         -            507   2.5e-07   28.9   0.0   1   1   4.4e-09   2.9e-07   28.7   0.0     5   154     2   162     1   171 0.74 -
104262at50557_34740_0:0027f7|STRG.726.4:2016-2657|+    -            214 28600at50557         -            507   3.5e-07   28.4   0.0   1   1   6.5e-09   4.2e-07   28.2   0.0     2   119    10   140     9   180 0.71 -
104262at50557_34740_0:0027f7|STRG.726.8:11-652|+       -            214 28600at50557         -            507   3.5e-07   28.4   0.0   1   1   6.5e-09   4.2e-07   28.2   0.0     2   119    10   140     9   180 0.71 -
107216at50557_7038_0:002032|STRG.12428.1:688-1251|+    -            188 28600at50557         -            507   3.8e-07   28.3   0.0   1   1   7.5e-09   4.9e-07   28.0   0.0     4   147    18   172    16   182 0.71 -
107216at50557_7038_0:002032|STRG.12428.2:395-958|+     -            188 28600at50557         -            507   3.8e-07   28.3   0.0   1   1   7.5e-09   4.9e-07   28.0   0.0     4   147    18   172    16   182 0.71 -
106023at50557_39758_0:004d29|STRG.5785.1:124-660|+     -            179 28600at50557         -            507     5e-07   27.9   0.0   1   1   9.2e-09     6e-07   27.7   0.0     4   147    18   175    14   179 0.69 -
107216at50557_7004_0:001b36|STRG.12142.1:490-1053|+    -            188 28600at50557         -            507   5.2e-07   27.9   0.0   1   1     1e-08   6.5e-07   27.5   0.0     4   147     8   160     6   173 0.77 -
107216at50557_103372_0:00094d|STRG.15862.1:384-1028|+  -            215 28600at50557         -            507   7.9e-07   27.3   0.0   1   1   1.5e-08     1e-06   26.9   0.0     4   148    13   167    11   180 0.79 -
104262at50557_103372_0:002a03|STRG.8872.1:174-833|+    -            220 28600at50557         -            507   1.4e-06   26.4   0.0   1   1   2.9e-08   1.9e-06   26.0   0.0     4   147    19   172    17   186 0.75 -
104262at50557_103372_0:002a03|STRG.8872.2:271-930|+    -            220 28600at50557         -            507   1.4e-06   26.4   0.0   1   1   2.9e-08   1.9e-06   26.0   0.0     4   147    19   172    17   186 0.75 -
107216at50557_103372_0:00094d|STRG.10328.1:138-704|+   -            189 28600at50557         -            507   1.5e-06   26.4   0.0   1   1   2.8e-08   1.8e-06   26.1   0.0     4   156     6   168     4   179 0.74 -
104262at50557_103372_0:002a03|STRG.8872.3:431-1096|+   -            222 28600at50557         -            507   1.5e-06   26.4   0.0   1   1     3e-08   1.9e-06   26.0   0.0     4   147    21   174    19   188 0.75 -
104262at50557_64793_0:001dc9|STRG.8872.4:626-1405|+    -            260 28600at50557         -            507   2.3e-06   25.7   0.0   1   1   4.8e-08   3.1e-06   25.3   0.0     4   147    59   212    57   226 0.75 -
107216at50557_51655_0:0016fc|STRG.12428.3:876-1472|+   -            199 28600at50557         -            507   2.5e-06   25.6   0.0   1   1   4.9e-08   3.2e-06   25.3   0.0     4   148    11   166     9   176 0.75 -
107216at50557_51655_0:0016fc|STRG.12428.4:1024-1620|+  -            199 28600at50557         -            507   2.5e-06   25.6   0.0   1   1   4.9e-08   3.2e-06   25.3   0.0     4   148    11   166     9   176 0.75 -
107216at50557_51655_0:0016fc|STRG.12428.5:866-1462|+   -            199 28600at50557         -            507   2.5e-06   25.6   0.0   1   1   4.9e-08   3.2e-06   25.3   0.0     4   148    11   166     9   176 0.75 -
107216at50557_51655_0:0016fc|STRG.12428.6:1022-1618|+  -            199 28600at50557         -            507   2.5e-06   25.6   0.0   1   1   4.9e-08   3.2e-06   25.3   0.0     4   148    11   166     9   176 0.75 -
108271at50557_35570_0:000679|STRG.8309.1:109-588|+     -            160 28600at50557         -            507   2.6e-06   25.6   0.0   1   1   4.8e-08   3.1e-06   25.3   0.0     4   122     1   125     1   158 0.70 -
105221at50557_29053_0:00200e|STRG.8787.1:50-580|+      -            177 28600at50557         -            507   2.6e-06   25.5   0.0   1   1   5.1e-08   3.3e-06   25.2   0.0     3   147    10   170     8   175 0.73 -
104262at50557_411798_0:001745|STRG.16075.1:557-1084|+  -            176 28600at50557         -            507   2.8e-06   25.4   0.0   1   1   5.1e-08   3.3e-06   25.2   0.0     4   154    14   174    12   176 0.75 -
104262at50557_83485_0:001dc3|STRG.5949.2:238-747|+     -            170 28600at50557         -            507   2.8e-06   25.4   0.2   1   1   5.1e-08   3.3e-06   25.2   0.2     4   148     2   161     1   168 0.79 -
41766at50557_286306_0:004435|STRG.726.4:169-2726|+     -            737 28600at50557         -            507   4.1e-06   24.9   0.0   1   1   1.1e-07     7e-06   24.1   0.0     2   118   510   639   509   677 0.72 -
107216at50557_7394_0:0010f2|STRG.7033.1:804-1400|+     -            199 28600at50557         -            507   7.6e-06   24.0   0.1   1   1   4.1e-07   2.7e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
107216at50557_7394_0:0010f2|STRG.7033.3:721-1317|+     -            199 28600at50557         -            507   7.6e-06   24.0   0.1   1   1   4.1e-07   2.7e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
107216at50557_7394_0:0010f2|STRG.7033.4:860-1456|+     -            199 28600at50557         -            507   7.6e-06   24.0   0.1   1   1   4.1e-07   2.7e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
107216at50557_7394_0:0010f2|STRG.7033.5:900-1496|+     -            199 28600at50557         -            507   7.6e-06   24.0   0.1   1   1   4.1e-07   2.7e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
107216at50557_7394_0:0010f2|STRG.7033.6:886-1482|+     -            199 28600at50557         -            507   7.6e-06   24.0   0.1   1   1   4.1e-07   2.7e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
108271at50557_103372_0:0020f5|STRG.11251.2:284-940|+   -            219 28600at50557         -            507     1e-05   23.6   0.0   1   1   5.3e-07   3.4e-05   21.9   0.0     2   147    13   181    12   191 0.64 -
108271at50557_34740_0:0010fd|STRG.11251.1:1464-2102|+  -            213 28600at50557         -            507   1.1e-05   23.5   0.0   1   1   5.9e-07   3.8e-05   21.7   0.0     2   146    37   204    36   212 0.64 -
107216at50557_51655_0:0016fc|STRG.7868.1:534-905|+     -            124 28600at50557         -            507     2e-05   22.6   0.0   1   1   3.4e-07   2.2e-05   22.5   0.0     3   110     9   124     7   124 0.79 -
107216at50557_51655_0:0016fc|STRG.7868.3:402-773|+     -            124 28600at50557         -            507     2e-05   22.6   0.0   1   1   3.4e-07   2.2e-05   22.5   0.0     3   110     9   124     7   124 0.79 -
104262at50557_88501_0:0010fe|STRG.7412.1:206-823|+     -            206 28600at50557         -            507   3.1e-05   22.0   0.2   1   2    0.0035      0.23    9.3   0.0     2    42    27    66    26    94 0.71 -
104262at50557_88501_0:0010fe|STRG.7412.1:206-823|+     -            206 28600at50557         -            507   3.1e-05   22.0   0.2   2   2   0.00084     0.055   11.3   0.1    50   122   107   179    90   199 0.82 -
108271at50557_166361_0:003235|STRG.14688.1:1101-1592|+ -            164 28600at50557         -            507   3.6e-05   21.8   0.0   1   1   5.8e-07   3.8e-05   21.7   0.0     5   114     3   123     1   156 0.73 -
129498at50557_7493_0:00132e|STRG.15445.1:349-825|+     -            159 28600at50557         -            507   3.8e-05   21.7   0.0   1   1     8e-07   5.2e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
129498at50557_7493_0:00132e|STRG.15445.2:424-900|+     -            159 28600at50557         -            507   3.8e-05   21.7   0.0   1   1     8e-07   5.2e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
108755at50557_28612_0:002c6d|STRG.6625.1:327-920|+     -            198 28600at50557         -            507   7.4e-05   20.8   0.0   1   1   1.5e-06   9.8e-05   20.4   0.0     4   177     1   189     1   192 0.73 -
109573at50557_103372_0:0023c7|STRG.16392.1:487-1140|+  -            218 28600at50557         -            507   8.9e-05   20.5   0.0   1   1   1.9e-06   0.00012   20.1   0.0     3   155    10   177     8   189 0.70 -
104262at50557_2015173_0:0022de|STRG.14269.1:127-672|+  -            182 28600at50557         -            507   0.00021   19.3   0.0   1   1     4e-06   0.00026   19.0   0.0     3   146    26   179    24   181 0.75 -
104262at50557_28612_0:0030d7|STRG.2998.1:205-840|+     -            212 28600at50557         -            507   0.00024   19.1   0.0   1   1     6e-06   0.00039   18.4   0.0     4   154    10   177     7   185 0.72 -
104262at50557_28612_0:0030d7|STRG.2998.2:691-1326|+    -            212 28600at50557         -            507   0.00024   19.1   0.0   1   1     6e-06   0.00039   18.4   0.0     4   154    10   177     7   185 0.72 -
104262at50557_64793_0:001dc9|STRG.2998.3:1564-2259|+   -            232 28600at50557         -            507   0.00032   18.7   0.0   1   1   8.1e-06   0.00052   18.0   0.0     4   154    30   197    27   205 0.72 -
104262at50557_411798_0:001745|STRG.2998.4:127-855|+    -            243 28600at50557         -            507   0.00037   18.4   0.0   1   1   9.3e-06   0.00061   17.7   0.0     4   154    41   208    38   216 0.72 -
115559at50557_110193_0:002217|STRG.3786.6:54-500|+     -            149 28600at50557         -            507   0.00039   18.4   0.0   1   1   6.5e-06   0.00042   18.3   0.0    47   130    33   127    13   148 0.68 -
106023at50557_7038_0:002188|STRG.4026.1:190-735|+      -            182 28600at50557         -            507   0.00048   18.1   0.0   1   1   1.2e-05   0.00079   17.4   0.0     4   119     6   128     4   160 0.73 -
99773at50557_34720_0:00204d|STRG.13123.1:161-1342|+    -            394 28600at50557         -            507   0.00074   17.5   0.1   1   2     0.031         2    6.1   0.0     5    32    37    64    33    95 0.83 -
99773at50557_34720_0:00204d|STRG.13123.1:161-1342|+    -            394 28600at50557         -            507   0.00074   17.5   0.1   2   2    0.0032      0.21    9.4   0.1    75   149   165   244   137   261 0.73 -
