#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108755at50557_178035_0:0020de|STRG.8551.2:289-915|+    -            209 108755at50557        -            150   2.6e-95  315.3   2.5   1   1   5.4e-97   3.1e-95  315.0   2.5     1   150    11   165    11   165 0.98 -
107216at50557_110193_0:000c8b|STRG.7804.1:324-902|+    -            193 108755at50557        -            150   6.5e-35  119.3   0.4   1   1   1.7e-36   9.7e-35  118.7   0.4     4   148    13   164    11   166 0.89 -
107216at50557_103372_0:00094d|STRG.15862.1:384-1028|+  -            215 108755at50557        -            150   1.4e-34  118.2   0.2   1   1   3.1e-36   1.8e-34  117.8   0.2     4   149    12   162    10   163 0.92 -
129498at50557_103372_0:001a9c|STRG.11051.1:4342-5040|+ -            233 108755at50557        -            150   4.2e-34  116.6   0.3   1   1   1.1e-35   6.4e-34  116.0   0.3     3   149    11   162    10   163 0.94 -
129498at50557_103372_0:001a9c|STRG.11051.2:4205-4903|+ -            233 108755at50557        -            150   4.2e-34  116.6   0.3   1   1   1.1e-35   6.4e-34  116.0   0.3     3   149    11   162    10   163 0.94 -
129498at50557_103372_0:001a9c|STRG.11051.3:3221-3919|+ -            233 108755at50557        -            150   4.2e-34  116.6   0.3   1   1   1.1e-35   6.4e-34  116.0   0.3     3   149    11   162    10   163 0.94 -
129498at50557_103372_0:001a9c|STRG.11051.4:2917-3615|+ -            233 108755at50557        -            150   4.2e-34  116.6   0.3   1   1   1.1e-35   6.4e-34  116.0   0.3     3   149    11   162    10   163 0.94 -
129498at50557_103372_0:001a9c|STRG.11051.5:2917-3615|+ -            233 108755at50557        -            150   4.2e-34  116.6   0.3   1   1   1.1e-35   6.4e-34  116.0   0.3     3   149    11   162    10   163 0.94 -
129498at50557_103372_0:001a9c|STRG.11051.6:2893-3591|+ -            233 108755at50557        -            150   4.2e-34  116.6   0.3   1   1   1.1e-35   6.4e-34  116.0   0.3     3   149    11   162    10   163 0.94 -
129498at50557_103372_0:001a9c|STRG.11051.7:568-1266|+  -            233 108755at50557        -            150   4.2e-34  116.6   0.3   1   1   1.1e-35   6.4e-34  116.0   0.3     3   149    11   162    10   163 0.94 -
107216at50557_7004_0:001b36|STRG.12142.1:490-1053|+    -            188 108755at50557        -            150   5.4e-33  113.0   0.0   1   1   1.1e-34   6.6e-33  112.7   0.0     4   149     7   156     4   157 0.91 -
104262at50557_2015173_0:0022de|STRG.14269.1:127-672|+  -            182 108755at50557        -            150   1.9e-32  111.3   0.0   1   1   3.8e-34   2.2e-32  111.0   0.0     3   149    25   176    23   177 0.93 -
107216at50557_39758_0:004d90|STRG.14393.1:284-826|+    -            181 108755at50557        -            150   4.3e-32  110.1   0.0   1   1   9.5e-34   5.5e-32  109.8   0.0     4   149    12   162    10   163 0.93 -
104262at50557_132113_0:00109a|STRG.6247.1:470-946|+    -            159 108755at50557        -            150   5.2e-32  109.8   0.6   1   1   1.1e-33   6.3e-32  109.6   0.6     4   149     7   156     5   157 0.89 -
106023at50557_39758_0:004d29|STRG.5785.1:124-660|+     -            179 108755at50557        -            150   1.2e-31  108.6   0.1   1   1   2.6e-33   1.5e-31  108.3   0.1     5   150    18   172    13   172 0.83 -
104262at50557_29053_0:001062|STRG.7146.2:365-1033|+    -            223 108755at50557        -            150   2.3e-30  104.5   0.0   1   1   5.2e-32     3e-30  104.1   0.0     5   149    23   178    20   179 0.85 -
109573at50557_103372_0:0023c7|STRG.16392.1:487-1140|+  -            218 108755at50557        -            150   2.6e-30  104.3   0.0   1   1   6.1e-32   3.5e-30  103.9   0.0     3   149     9   165     8   166 0.88 -
106023at50557_7038_0:002188|STRG.4026.1:190-735|+      -            182 108755at50557        -            150   4.9e-30  103.4   0.0   1   1   1.1e-31   6.6e-30  103.0   0.0     5   142     6   146     3   153 0.90 -
129498at50557_166361_0:0004c6|STRG.4026.2:181-705|+    -            175 108755at50557        -            150   9.3e-27   92.8   0.0   1   1   2.1e-28   1.2e-26   92.4   0.0    13   142     2   134     1   141 0.90 -
106023at50557_7038_0:002188|STRG.4026.3:207-710|+      -            168 108755at50557        -            150   1.9e-26   91.7   0.0   1   1   4.3e-28   2.5e-26   91.4   0.0    14   142     1   132     1   139 0.90 -
106023at50557_7038_0:002188|STRG.4026.4:185-688|+      -            168 108755at50557        -            150   1.9e-26   91.7   0.0   1   1   4.3e-28   2.5e-26   91.4   0.0    14   142     1   132     1   139 0.90 -
104262at50557_132113_0:00109a|STRG.7868.2:387-935|+    -            183 108755at50557        -            150   1.8e-25   88.6   0.0   1   1     4e-27   2.3e-25   88.3   0.0     4   146    14   160    12   164 0.90 -
104262at50557_132113_0:00109a|STRG.7868.4:494-1042|+   -            183 108755at50557        -            150   1.8e-25   88.6   0.0   1   1     4e-27   2.3e-25   88.3   0.0     4   146    14   160    12   164 0.90 -
108271at50557_286306_0:004073|STRG.11619.1:125-715|+   -            197 108755at50557        -            150   4.8e-25   87.2   0.2   1   1     1e-26     6e-25   86.9   0.2     4   149    12   162     9   163 0.88 -
108271at50557_64793_0:001833|STRG.11619.3:567-1184|+   -            206 108755at50557        -            150   5.3e-25   87.1   0.2   1   1   1.2e-26     7e-25   86.7   0.2     4   149    17   167    14   168 0.88 -
108271at50557_64793_0:001833|STRG.11619.4:207-824|+    -            206 108755at50557        -            150   5.3e-25   87.1   0.2   1   1   1.2e-26     7e-25   86.7   0.2     4   149    17   167    14   168 0.88 -
108271at50557_64793_0:001833|STRG.11619.2:104-727|+    -            208 108755at50557        -            150   5.5e-25   87.1   0.2   1   1   1.2e-26   7.2e-25   86.7   0.2     4   149    19   169    16   170 0.88 -
108271at50557_224129_0:0005ad|STRG.12440.1:1068-1610|+ -            181 108755at50557        -            150   2.9e-24   84.7   0.5   1   1   7.7e-26   4.4e-24   84.1   0.5     4   149     1   151     1   152 0.86 -
108271at50557_224129_0:0005ad|STRG.12440.2:245-787|+   -            181 108755at50557        -            150   2.9e-24   84.7   0.5   1   1   7.7e-26   4.4e-24   84.1   0.5     4   149     1   151     1   152 0.86 -
107216at50557_51655_0:0016fc|STRG.10335.1:632-1135|+   -            168 108755at50557        -            150   6.5e-24   83.6   0.0   1   1   1.4e-25   8.2e-24   83.2   0.0     5   149    10   165     7   166 0.86 -
107216at50557_51655_0:0016fc|STRG.10335.2:631-1134|+   -            168 108755at50557        -            150   6.5e-24   83.6   0.0   1   1   1.4e-25   8.2e-24   83.2   0.0     5   149    10   165     7   166 0.86 -
107216at50557_51655_0:0016fc|STRG.10335.3:628-1131|+   -            168 108755at50557        -            150   6.5e-24   83.6   0.0   1   1   1.4e-25   8.2e-24   83.2   0.0     5   149    10   165     7   166 0.86 -
107216at50557_51655_0:0016fc|STRG.10335.4:628-1131|+   -            168 108755at50557        -            150   6.5e-24   83.6   0.0   1   1   1.4e-25   8.2e-24   83.2   0.0     5   149    10   165     7   166 0.86 -
109573at50557_103372_0:0023c7|STRG.16392.2:114-677|+   -            188 108755at50557        -            150   1.8e-23   82.2   0.0   1   1     4e-25   2.3e-23   81.8   0.0    33   149     9   135     2   136 0.85 -
108271at50557_43151_0:001e01|STRG.16853.1:39-596|+     -            186 108755at50557        -            150   1.9e-22   78.8   0.1   1   1   3.9e-24   2.3e-22   78.6   0.1     4   150     1   152     1   152 0.88 -
104262at50557_28612_0:0030d7|STRG.2998.1:205-840|+     -            212 108755at50557        -            150   4.4e-22   77.6   0.0   1   1   1.1e-23   6.4e-22   77.1   0.0     4   149     9   166     6   167 0.83 -
104262at50557_28612_0:0030d7|STRG.2998.2:691-1326|+    -            212 108755at50557        -            150   4.4e-22   77.6   0.0   1   1   1.1e-23   6.4e-22   77.1   0.0     4   149     9   166     6   167 0.83 -
104262at50557_64793_0:001dc9|STRG.2998.3:1564-2259|+   -            232 108755at50557        -            150   5.9e-22   77.2   0.0   1   1   1.5e-23   8.6e-22   76.7   0.0     4   149    29   186    26   187 0.83 -
104262at50557_411798_0:001745|STRG.2998.4:127-855|+    -            243 108755at50557        -            150   6.8e-22   77.0   0.0   1   1   1.7e-23   9.9e-22   76.5   0.0     4   149    40   197    37   198 0.83 -
129498at50557_28612_0:005150|STRG.4026.5:175-662|+     -            158 108755at50557        -            150   5.3e-21   74.1   0.0   1   1   1.2e-22   6.7e-21   73.8   0.0    14   142     1   126     1   133 0.89 -
108271at50557_166361_0:003235|STRG.8344.1:390-944|+    -            185 108755at50557        -            150   1.2e-20   72.9   0.1   1   1   2.5e-22   1.4e-20   72.7   0.1     4   148     1   150     1   152 0.90 -
108271at50557_166361_0:003235|STRG.8344.2:315-869|+    -            185 108755at50557        -            150   1.2e-20   72.9   0.1   1   1   2.5e-22   1.4e-20   72.7   0.1     4   148     1   150     1   152 0.90 -
108755at50557_28612_0:002c6d|STRG.6625.1:327-920|+     -            198 108755at50557        -            150   1.9e-20   72.3   0.0   1   1   4.1e-22   2.4e-20   72.0   0.0     5   148     1   154     1   156 0.82 -
108271at50557_197043_0:002be2|STRG.4523.1:34-540|+     -            169 108755at50557        -            150   2.7e-20   71.8   0.0   1   1   5.5e-22   3.2e-20   71.6   0.0     7   149     2   149     1   150 0.87 -
107216at50557_51655_0:0016fc|STRG.7868.1:534-905|+     -            124 108755at50557        -            150   2.9e-20   71.7   0.0   1   1     6e-22   3.5e-20   71.5   0.0     4   115     9   124     7   124 0.89 -
107216at50557_51655_0:0016fc|STRG.7868.3:402-773|+     -            124 108755at50557        -            150   2.9e-20   71.7   0.0   1   1     6e-22   3.5e-20   71.5   0.0     4   115     9   124     7   124 0.89 -
104262at50557_34740_0:0027f7|STRG.726.4:2016-2657|+    -            214 108755at50557        -            150   4.1e-19   68.0   0.1   1   1   1.3e-20   7.8e-19   67.1   0.0     2   148     9   164     8   166 0.88 -
104262at50557_34740_0:0027f7|STRG.726.8:11-652|+       -            214 108755at50557        -            150   4.1e-19   68.0   0.1   1   1   1.3e-20   7.8e-19   67.1   0.0     2   148     9   164     8   166 0.88 -
108271at50557_28612_0:005172|STRG.4235.1:254-823|+     -            190 108755at50557        -            150   1.7e-18   66.0   0.0   1   1   3.8e-20   2.2e-18   65.6   0.0     2   144     2   149     1   155 0.86 -
107216at50557_121225_0:0005b8|STRG.5018.1:383-604|+    -             74 108755at50557        -            150   2.8e-18   65.3   0.0   1   1   5.4e-20   3.1e-18   65.1   0.0     5    75     1    71     1    73 0.96 -
129498at50557_7493_0:00132e|STRG.15445.1:349-825|+     -            159 108755at50557        -            150     4e-18   64.8   0.0   1   1   8.1e-20   4.7e-18   64.6   0.0     4   148     1   147     1   149 0.82 -
129498at50557_7493_0:00132e|STRG.15445.2:424-900|+     -            159 108755at50557        -            150     4e-18   64.8   0.0   1   1   8.1e-20   4.7e-18   64.6   0.0     4   148     1   147     1   149 0.82 -
41766at50557_286306_0:004435|STRG.726.4:169-2726|+     -            737 108755at50557        -            150   6.4e-18   64.1   0.0   1   1   2.3e-19   1.3e-17   63.1   0.0     2   148   509   664   508   666 0.88 -
108271at50557_40932_0:00088c|STRG.2098.1:549-1092|+    -            167 108755at50557        -            150   1.3e-17   63.1   0.0   1   1   2.8e-19   1.6e-17   62.8   0.0     4   143     2   146     1   152 0.84 -
108271at50557_40932_0:00088c|STRG.2098.3:549-1165|+    -            167 108755at50557        -            150   1.3e-17   63.1   0.0   1   1   2.8e-19   1.6e-17   62.8   0.0     4   143     2   146     1   152 0.84 -
108271at50557_40932_0:00088c|STRG.2098.4:543-1043|+    -            167 108755at50557        -            150   1.3e-17   63.1   0.0   1   1   2.8e-19   1.6e-17   62.8   0.0     4   143     2   146     1   152 0.84 -
115559at50557_286306_0:000620|STRG.14065.1:219-824|+   -            202 108755at50557        -            150   1.8e-17   62.6   0.8   1   1   4.4e-19   2.5e-17   62.2   0.8     4   147    27   175    25   178 0.84 -
115559at50557_286306_0:000620|STRG.14065.2:568-1173|+  -            202 108755at50557        -            150   1.8e-17   62.6   0.8   1   1   4.4e-19   2.5e-17   62.2   0.8     4   147    27   175    25   178 0.84 -
115559at50557_286306_0:000620|STRG.14065.3:243-848|+   -            202 108755at50557        -            150   1.8e-17   62.6   0.8   1   1   4.4e-19   2.5e-17   62.2   0.8     4   147    27   175    25   178 0.84 -
115559at50557_286306_0:000620|STRG.14065.4:616-1221|+  -            202 108755at50557        -            150   1.8e-17   62.6   0.8   1   1   4.4e-19   2.5e-17   62.2   0.8     4   147    27   175    25   178 0.84 -
115559at50557_286306_0:000620|STRG.14065.5:820-1425|+  -            202 108755at50557        -            150   1.8e-17   62.6   0.8   1   1   4.4e-19   2.5e-17   62.2   0.8     4   147    27   175    25   178 0.84 -
115559at50557_286306_0:000620|STRG.14065.6:1133-1738|+ -            202 108755at50557        -            150   1.8e-17   62.6   0.8   1   1   4.4e-19   2.5e-17   62.2   0.8     4   147    27   175    25   178 0.84 -
104262at50557_6973_0:00268c|STRG.7146.1:649-1154|+     -            163 108755at50557        -            150   3.7e-17   61.6   0.3   1   2   2.2e-08   1.3e-06   27.4   0.1     5    60     7    67     4    70 0.82 -
104262at50557_6973_0:00268c|STRG.7146.1:649-1154|+     -            163 108755at50557        -            150   3.7e-17   61.6   0.3   2   2   5.6e-10   3.2e-08   32.6   0.0   106   149    75   118    68   119 0.94 -
105221at50557_7460_0:001362|STRG.3195.1:10-651|+       -            214 108755at50557        -            150   1.4e-16   59.7   0.0   1   1   3.4e-18     2e-16   59.3   0.0     3   149    25   179    23   180 0.78 -
109797at50557_83485_0:000ec1|STRG.5891.1:1-906|+       -            302 108755at50557        -            150   3.6e-16   58.4   0.0   1   1   9.2e-18   5.3e-16   57.9   0.0     5   149    28   174    25   175 0.84 -
129498at50557_29053_0:002abd|STRG.194.1:580-942|+      -            121 108755at50557        -            150   1.2e-15   56.7   0.0   1   1   2.4e-17   1.4e-15   56.5   0.0     4   119     1   120     1   121 0.84 -
140221at50557_568069_0:001a32|STRG.9334.1:85-576|+     -            164 108755at50557        -            150   1.2e-15   56.7   0.0   1   1   2.9e-17   1.7e-15   56.2   0.0     4   127     8   135     6   163 0.85 -
140221at50557_568069_0:001a32|STRG.9334.2:72-563|+     -            164 108755at50557        -            150   1.2e-15   56.7   0.0   1   1   2.9e-17   1.7e-15   56.2   0.0     4   127     8   135     6   163 0.85 -
105221at50557_121845_0:0034ac|STRG.10766.1:526-1059|+  -            178 108755at50557        -            150   1.3e-15   56.6   0.2   1   1     2e-15   1.1e-13   50.3   0.2     4   148     7   171     4   173 0.74 -
105221at50557_121845_0:0034ac|STRG.10766.2:338-871|+   -            178 108755at50557        -            150   1.3e-15   56.6   0.2   1   1     2e-15   1.1e-13   50.3   0.2     4   148     7   171     4   173 0.74 -
129498at50557_37001_0:002409|STRG.7131.1:9-666|+       -            175 108755at50557        -            150   3.4e-15   55.3   0.3   1   1   7.4e-17   4.3e-15   54.9   0.3    14   148     1   141     1   143 0.84 -
105221at50557_29053_0:00200e|STRG.8787.1:50-580|+      -            177 108755at50557        -            150   1.5e-14   53.2   0.0   1   1   3.2e-16   1.8e-14   52.9   0.0     2   149     8   166     7   167 0.82 -
104262at50557_13164_0:00360e|STRG.726.7:471-983|+      -            171 108755at50557        -            150   3.4e-14   52.0   0.0   1   1   6.8e-16   3.9e-14   51.8   0.0    17   148     1   141     1   143 0.88 -
140221at50557_568069_0:001a32|STRG.16475.1:1910-2374|+ -            155 108755at50557        -            150   3.9e-14   51.8   0.0   1   1     8e-16   4.6e-14   51.6   0.0     5   130     1   130     1   154 0.84 -
140221at50557_568069_0:001a32|STRG.16475.2:118-582|+   -            155 108755at50557        -            150   3.9e-14   51.8   0.0   1   1     8e-16   4.6e-14   51.6   0.0     5   130     1   130     1   154 0.84 -
140221at50557_568069_0:001a32|STRG.16475.3:311-775|+   -            155 108755at50557        -            150   3.9e-14   51.8   0.0   1   1     8e-16   4.6e-14   51.6   0.0     5   130     1   130     1   154 0.84 -
140221at50557_568069_0:001a32|STRG.16475.4:707-1171|+  -            155 108755at50557        -            150   3.9e-14   51.8   0.0   1   1     8e-16   4.6e-14   51.6   0.0     5   130     1   130     1   154 0.84 -
140221at50557_568069_0:001a32|STRG.16475.5:906-1370|+  -            155 108755at50557        -            150   3.9e-14   51.8   0.0   1   1     8e-16   4.6e-14   51.6   0.0     5   130     1   130     1   154 0.84 -
140221at50557_568069_0:001a32|STRG.16475.6:911-1375|+  -            155 108755at50557        -            150   3.9e-14   51.8   0.0   1   1     8e-16   4.6e-14   51.6   0.0     5   130     1   130     1   154 0.84 -
140221at50557_568069_0:001a32|STRG.16475.7:306-770|+   -            155 108755at50557        -            150   3.9e-14   51.8   0.0   1   1     8e-16   4.6e-14   51.6   0.0     5   130     1   130     1   154 0.84 -
140221at50557_568069_0:001a32|STRG.16475.8:110-574|+   -            155 108755at50557        -            150   3.9e-14   51.8   0.0   1   1     8e-16   4.6e-14   51.6   0.0     5   130     1   130     1   154 0.84 -
140221at50557_568069_0:001a32|STRG.16475.9:305-769|+   -            155 108755at50557        -            150   3.9e-14   51.8   0.0   1   1     8e-16   4.6e-14   51.6   0.0     5   130     1   130     1   154 0.84 -
140221at50557_568069_0:001a32|STRG.16535.1:117-596|+   -            160 108755at50557        -            150     8e-14   50.8   0.0   1   1   8.4e-15   4.9e-13   48.3   0.0     2   142     2   159     1   160 0.79 -
140221at50557_568069_0:001a32|STRG.16535.2:414-893|+   -            160 108755at50557        -            150     8e-14   50.8   0.0   1   1   8.4e-15   4.9e-13   48.3   0.0     2   142     2   159     1   160 0.79 -
140221at50557_568069_0:001a32|STRG.16535.3:536-1015|+  -            160 108755at50557        -            150     8e-14   50.8   0.0   1   1   8.4e-15   4.9e-13   48.3   0.0     2   142     2   159     1   160 0.79 -
107216at50557_34720_0:000049|STRG.201.1:0-425|+        -            142 108755at50557        -            150   1.3e-13   50.1   0.0   1   1   2.6e-15   1.5e-13   49.9   0.0    84   149    24    89     2    90 0.91 -
140221at50557_568069_0:001a32|STRG.2283.1:37-516|+     -            160 108755at50557        -            150   1.3e-13   50.1   0.0   1   1   2.5e-15   1.5e-13   50.0   0.0     2   122     2   126     1   153 0.82 -
140221at50557_568069_0:001a32|STRG.923.1:803-1279|+    -            159 108755at50557        -            150   2.7e-13   49.1   0.0   1   1   6.8e-15   3.9e-13   48.6   0.0     3   119     2   123     1   158 0.80 -
140221at50557_568069_0:001a32|STRG.923.5:803-1279|+    -            159 108755at50557        -            150   2.7e-13   49.1   0.0   1   1   6.8e-15   3.9e-13   48.6   0.0     3   119     2   123     1   158 0.80 -
140221at50557_568069_0:001a32|STRG.13462.1:306-785|+   -            160 108755at50557        -            150   3.5e-13   48.7   0.0   1   1   4.3e-14   2.5e-12   46.0   0.0     2   142     2   159     1   160 0.76 -
105221at50557_224129_0:000e95|STRG.9393.1:963-1451|+   -            163 108755at50557        -            150   1.1e-12   47.1   0.5   1   1   2.7e-14   1.5e-12   46.7   0.5     3   150     5   157     4   157 0.79 -
105221at50557_224129_0:000e95|STRG.9393.2:515-1003|+   -            163 108755at50557        -            150   1.1e-12   47.1   0.5   1   1   2.7e-14   1.5e-12   46.7   0.5     3   150     5   157     4   157 0.79 -
105221at50557_224129_0:000e95|STRG.9393.3:960-1448|+   -            163 108755at50557        -            150   1.1e-12   47.1   0.5   1   1   2.7e-14   1.5e-12   46.7   0.5     3   150     5   157     4   157 0.79 -
105221at50557_224129_0:000e95|STRG.9393.4:741-1229|+   -            163 108755at50557        -            150   1.1e-12   47.1   0.5   1   1   2.7e-14   1.5e-12   46.7   0.5     3   150     5   157     4   157 0.79 -
105221at50557_224129_0:000e95|STRG.9393.5:850-1338|+   -            163 108755at50557        -            150   1.1e-12   47.1   0.5   1   1   2.7e-14   1.5e-12   46.7   0.5     3   150     5   157     4   157 0.79 -
105221at50557_224129_0:000e95|STRG.9393.6:985-1473|+   -            163 108755at50557        -            150   1.1e-12   47.1   0.5   1   1   2.7e-14   1.5e-12   46.7   0.5     3   150     5   157     4   157 0.79 -
140221at50557_568069_0:001a32|STRG.9169.1:282-728|+    -            149 108755at50557        -            150   8.6e-12   44.2   0.0   1   1   1.6e-13   9.5e-12   44.1   0.0     5   142     2   148     1   149 0.77 -
140221at50557_568069_0:001a32|STRG.9169.2:965-1411|+   -            149 108755at50557        -            150   8.6e-12   44.2   0.0   1   1   1.6e-13   9.5e-12   44.1   0.0     5   142     2   148     1   149 0.77 -
108271at50557_166361_0:003235|STRG.14688.1:1101-1592|+ -            164 108755at50557        -            150   2.4e-11   42.8   0.0   1   1   6.4e-13   3.7e-11   42.2   0.0     4   146     1   150     1   154 0.78 -
108271at50557_7460_0:001bde|STRG.2098.2:803-1275|+     -            119 108755at50557        -            150   7.3e-10   38.0   0.0   1   1   1.5e-11   8.4e-10   37.8   0.0    81   143    36    99     9   105 0.78 -
115559at50557_42026_0:0013f7|STRG.2218.1:1291-1782|+   -            164 108755at50557        -            150   8.6e-10   37.7   0.0   1   1   2.5e-10   1.5e-08   33.7   0.0     4   148     9   156     6   158 0.69 -
115559at50557_42026_0:0013f7|STRG.2218.2:1146-1637|+   -            164 108755at50557        -            150   8.6e-10   37.7   0.0   1   1   2.5e-10   1.5e-08   33.7   0.0     4   148     9   156     6   158 0.69 -
115559at50557_42026_0:0013f7|STRG.2218.3:727-1218|+    -            164 108755at50557        -            150   8.6e-10   37.7   0.0   1   1   2.5e-10   1.5e-08   33.7   0.0     4   148     9   156     6   158 0.69 -
108271at50557_13249_0:001644|STRG.8644.3:482-967|+     -            162 108755at50557        -            150   2.3e-09   36.4   0.0   1   1     5e-11   2.9e-09   36.0   0.0     5   143     1   143     1   148 0.83 -
108271at50557_13249_0:001644|STRG.8644.4:1303-1788|+   -            162 108755at50557        -            150   2.3e-09   36.4   0.0   1   1     5e-11   2.9e-09   36.0   0.0     5   143     1   143     1   148 0.83 -
108271at50557_1629725_0:00106a|STRG.2098.2:522-1033|+  -            128 108755at50557        -            150   4.8e-09   35.3   0.1   1   1     1e-10   5.9e-09   35.0   0.1     1   121     8   128     8   128 0.79 -
