#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.5640.1:130-1302|+   -            391 75144at50557         -            307  8.3e-148  490.5   1.4   1   1  1.5e-148  5.8e-146  484.5   1.4     1   307     7   381     7   381 0.87 -
57613at50557_610380_0:00141b|STRG.16692.4:272-1495|+ -            408 75144at50557         -            307   8.4e-40  135.8   0.1   1   3       3.5   1.4e+03   -2.9   0.0     1    22    12    33    12    42 0.84 -
57613at50557_610380_0:00141b|STRG.16692.4:272-1495|+ -            408 75144at50557         -            307   8.4e-40  135.8   0.1   2   3     2e-40   7.7e-38  129.3   0.0    33   279    70   339    59   353 0.83 -
57613at50557_610380_0:00141b|STRG.16692.4:272-1495|+ -            408 75144at50557         -            307   8.4e-40  135.8   0.1   3   3      0.56   2.2e+02   -0.3   0.0   293   307   382   396   343   396 0.84 -
52703at50557_103372_0:001b91|STRG.10294.1:110-1360|+ -            417 75144at50557         -            307   9.5e-26   89.6   0.0   1   1   1.1e-26   4.5e-24   84.1   0.0    33   280    61   343    38   353 0.74 -
75144at50557_28612_0:003734|STRG.3282.1:174-755|+    -            194 75144at50557         -            307   2.5e-19   68.6   0.0   1   1   7.4e-22   2.9e-19   68.3   0.0     1   161     9   193     9   194 0.77 -
75144at50557_7539_0:003503|STRG.11477.1:207-1496|+   -            430 75144at50557         -            307   5.1e-19   67.5   0.1   1   3   3.8e-15   1.5e-12   46.3   0.0    53   145    87   187    78   213 0.86 -
75144at50557_7539_0:003503|STRG.11477.1:207-1496|+   -            430 75144at50557         -            307   5.1e-19   67.5   0.1   2   3    0.0061       2.4    6.2   0.0   225   244   297   316   256   327 0.86 -
75144at50557_7539_0:003503|STRG.11477.1:207-1496|+   -            430 75144at50557         -            307   5.1e-19   67.5   0.1   3   3   0.00019     0.075   11.1   0.0   240   283   334   378   329   422 0.80 -
75144at50557_7539_0:003503|STRG.12612.1:145-1377|+   -            411 75144at50557         -            307   5.4e-18   64.2   0.1   1   2   4.2e-14   1.7e-11   42.9   0.0    53   161    75   196    60   213 0.82 -
75144at50557_7539_0:003503|STRG.12612.1:145-1377|+   -            411 75144at50557         -            307   5.4e-18   64.2   0.1   2   2   5.6e-06    0.0022   16.2   0.0   239   307   316   405   283   405 0.66 -
75144at50557_7539_0:003503|STRG.12612.2:24-1256|+    -            411 75144at50557         -            307   5.4e-18   64.2   0.1   1   2   4.2e-14   1.7e-11   42.9   0.0    53   161    75   196    60   213 0.82 -
75144at50557_7539_0:003503|STRG.12612.2:24-1256|+    -            411 75144at50557         -            307   5.4e-18   64.2   0.1   2   2   5.6e-06    0.0022   16.2   0.0   239   307   316   405   283   405 0.66 -
57613at50557_7536_0:002bce|STRG.3282.1:1638-1994|+   -            119 75144at50557         -            307   5.2e-13   47.8   0.0   1   1   1.9e-13   7.6e-11   40.7   0.0   223   294     2    97     1   119 0.64 -
52703at50557_116153_0:001375|STRG.11704.2:370-1317|+ -            316 75144at50557         -            307   8.6e-12   43.8   0.0   1   1   9.2e-13   3.6e-10   38.5   0.0     2   283     2   289     1   310 0.64 -
52703at50557_116153_0:001375|STRG.11704.1:256-1257|+ -            334 75144at50557         -            307   9.2e-12   43.7   0.0   1   1     1e-12   4.1e-10   38.3   0.0     2   284     2   290     1   321 0.65 -
75144at50557_132113_0:003254|STRG.16390.1:851-1636|+ -            262 75144at50557         -            307   1.6e-09   36.4   0.0   1   1   4.8e-12   1.9e-09   36.1   0.0    65   283     3   247     1   259 0.75 -
150643at50557_315563_0:0000a6|STRG.791.1:1006-1302|+ -             99 75144at50557         -            307   2.1e-06   26.1   0.0   1   1   1.2e-08   4.6e-06   25.0   0.0   251   307    17    90     5    90 0.73 -
45419at50557_51655_0:002e4f|STRG.2757.4:1607-1861|+  -             85 75144at50557         -            307     0.029   12.5   0.0   1   1   7.4e-05     0.029   12.5   0.0    85   132     2    49     1    81 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/75144at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:12:15 2024
# [ok]
