#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106896at50557_34720_0:0025d6|STRG.15267.1:527-1954|+    -            476 106896at50557        -             70   2.2e-34  116.3   4.0   1   1   7.7e-36   2.2e-34  116.3   4.0    12    70   376   435   369   435 0.93 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   6  11     2e-06   5.7e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   7  11   7.3e-07   2.1e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   8  11   7.1e-06   0.00021   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   9  11   0.00015    0.0043   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9  10  11   0.00039     0.011   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.13577.2:1671-3026|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9  11  11      0.22       6.4    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   1  11     0.079       2.3    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   2  11     0.011      0.32   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   3  11   0.00054     0.016   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   4  11    0.0016     0.045   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   5  11   0.00041     0.012   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   6  11     2e-06   5.7e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   7  11   7.3e-07   2.1e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   8  11   7.1e-06   0.00021   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   9  11   0.00015    0.0043   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9  10  11   0.00039     0.011   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.13577.3:1829-3184|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9  11  11      0.22       6.4    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   1  11     0.079       2.3    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   2  11     0.011      0.32   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   3  11   0.00054     0.016   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   4  11    0.0016     0.045   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   5  11   0.00041     0.012   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   6  11     2e-06   5.7e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   7  11   7.3e-07   2.1e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   8  11   7.1e-06   0.00021   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   9  11   0.00015    0.0043   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9  10  11   0.00039     0.011   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.13577.4:2254-3609|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9  11  11      0.22       6.4    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   1  11     0.079       2.3    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   2  11     0.011      0.32   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   3  11   0.00054     0.016   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   4  11    0.0016     0.045   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   5  11   0.00041     0.012   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   6  11     2e-06   5.7e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   7  11   7.3e-07   2.1e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   8  11   7.1e-06   0.00021   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9   9  11   0.00015    0.0043   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9  10  11   0.00039     0.011   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.13577.6:1397-2752|+   -            452 106896at50557        -             70   2.8e-22   77.6  93.9  11  11      0.22       6.4    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.13577.5:1974-3245|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   1  10     0.075       2.2    7.5   2.0    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.13577.5:1974-3245|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   2  10      0.01       0.3   10.2   2.7    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.13577.5:1974-3245|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   3  10   0.00049     0.014   14.4   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.13577.5:1974-3245|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   4  10    0.0015     0.042   12.9   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.13577.5:1974-3245|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   5  10   0.00037     0.011   14.8   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.13577.5:1974-3245|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   6  10   1.7e-05    0.0005   19.1   4.4    22    68   228   274   222   278 0.92 -
14133at50557_286706_0:001942|STRG.13577.5:1974-3245|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   7  10   6.7e-07   1.9e-05   23.6   5.2    19    68   253   302   250   304 0.94 -
14133at50557_286706_0:001942|STRG.13577.5:1974-3245|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   8  10     8e-06   0.00023   20.2   8.7    22    68   284   330   276   332 0.93 -
14133at50557_286706_0:001942|STRG.13577.5:1974-3245|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   9  10    0.0003    0.0086   15.1   7.9    22    68   340   386   333   388 0.92 -
14133at50557_286706_0:001942|STRG.13577.5:1974-3245|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2  10  10      0.21       6.1    6.0   0.0    18    46   392   420   386   423 0.91 -
14133at50557_286706_0:001942|STRG.13577.7:2781-4052|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   1  10     0.075       2.2    7.5   2.0    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.13577.7:2781-4052|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   2  10      0.01       0.3   10.2   2.7    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.13577.7:2781-4052|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   3  10   0.00049     0.014   14.4   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.13577.7:2781-4052|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   4  10    0.0015     0.042   12.9   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.13577.7:2781-4052|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   5  10   0.00037     0.011   14.8   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.13577.7:2781-4052|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   6  10   1.7e-05    0.0005   19.1   4.4    22    68   228   274   222   278 0.92 -
14133at50557_286706_0:001942|STRG.13577.7:2781-4052|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   7  10   6.7e-07   1.9e-05   23.6   5.2    19    68   253   302   250   304 0.94 -
14133at50557_286706_0:001942|STRG.13577.7:2781-4052|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   8  10     8e-06   0.00023   20.2   8.7    22    68   284   330   276   332 0.93 -
14133at50557_286706_0:001942|STRG.13577.7:2781-4052|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2   9  10    0.0003    0.0086   15.1   7.9    22    68   340   386   333   388 0.92 -
14133at50557_286706_0:001942|STRG.13577.7:2781-4052|+   -            424 106896at50557        -             70   2.1e-19   68.3  88.2  10  10      0.21       6.1    6.0   0.0    18    46   392   420   386   423 0.91 -
14133at50557_7536_0:001741|STRG.2972.2:4556-6082|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   1   9      0.31         9    5.5   0.1    50    68     7    25     4    27 0.87 -
14133at50557_7536_0:001741|STRG.2972.2:4556-6082|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   2   9    0.0015     0.043   12.9   7.5    14    68    28    82    25    84 0.92 -
14133at50557_7536_0:001741|STRG.2972.2:4556-6082|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   3   9     0.078       2.3    7.4   0.3    18    43   151   176   139   200 0.87 -
14133at50557_7536_0:001741|STRG.2972.2:4556-6082|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   4   9       3.5     1e+02    2.1   0.2    23    39   222   238   219   241 0.71 -
14133at50557_7536_0:001741|STRG.2972.2:4556-6082|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   5   9      0.11       3.1    7.0   1.2    18    68   244   297   240   299 0.84 -
14133at50557_7536_0:001741|STRG.2972.2:4556-6082|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   6   9      0.21       5.9    6.0   0.2    47    69   336   358   322   359 0.83 -
14133at50557_7536_0:001741|STRG.2972.2:4556-6082|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   7   9    0.0016     0.046   12.8   4.9    15    68   359   412   357   414 0.88 -
14133at50557_7536_0:001741|STRG.2972.2:4556-6082|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   8   9   1.5e-09   4.3e-08   32.1   2.1     9    68   419   478   414   480 0.90 -
14133at50557_7536_0:001741|STRG.2972.2:4556-6082|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   9   9     0.017       0.5    9.5   0.4    36    68   474   506   473   508 0.88 -
14133at50557_7536_0:001741|STRG.2972.3:2171-3697|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   1   9      0.31         9    5.5   0.1    50    68     7    25     4    27 0.87 -
14133at50557_7536_0:001741|STRG.2972.3:2171-3697|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   2   9    0.0015     0.043   12.9   7.5    14    68    28    82    25    84 0.92 -
14133at50557_7536_0:001741|STRG.2972.3:2171-3697|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   3   9     0.078       2.3    7.4   0.3    18    43   151   176   139   200 0.87 -
14133at50557_7536_0:001741|STRG.2972.3:2171-3697|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   4   9       3.5     1e+02    2.1   0.2    23    39   222   238   219   241 0.71 -
14133at50557_7536_0:001741|STRG.2972.3:2171-3697|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   5   9      0.11       3.1    7.0   1.2    18    68   244   297   240   299 0.84 -
14133at50557_7536_0:001741|STRG.2972.3:2171-3697|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   6   9      0.21       5.9    6.0   0.2    47    69   336   358   322   359 0.83 -
14133at50557_7536_0:001741|STRG.2972.3:2171-3697|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   7   9    0.0016     0.046   12.8   4.9    15    68   359   412   357   414 0.88 -
14133at50557_7536_0:001741|STRG.2972.3:2171-3697|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   8   9   1.5e-09   4.3e-08   32.1   2.1     9    68   419   478   414   480 0.90 -
14133at50557_7536_0:001741|STRG.2972.3:2171-3697|+      -            509 106896at50557        -             70   3.3e-16   58.1  64.9   9   9     0.017       0.5    9.5   0.4    36    68   474   506   473   508 0.88 -
35806at50557_116153_0:000b5d|STRG.7798.1:1798-2793|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   1   5   4.7e-05    0.0014   17.7   4.0     9    68    36   100    30   102 0.83 -
35806at50557_116153_0:000b5d|STRG.7798.1:1798-2793|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   2   5    0.0014     0.041   13.0   2.5    12    59   103   150   100   161 0.86 -
35806at50557_116153_0:000b5d|STRG.7798.1:1798-2793|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   3   5   0.00047     0.014   14.5   4.5    17    68   164   215   152   217 0.90 -
35806at50557_116153_0:000b5d|STRG.7798.1:1798-2793|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   4   5   0.00018    0.0052   15.8   0.3    21    67   224   271   219   273 0.93 -
35806at50557_116153_0:000b5d|STRG.7798.1:1798-2793|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   5   5   1.5e-06   4.2e-05   22.5   1.9     9    69   269   329   266   330 0.95 -
35806at50557_116153_0:000b5d|STRG.7798.2:1767-2762|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   1   5   4.7e-05    0.0014   17.7   4.0     9    68    36   100    30   102 0.83 -
35806at50557_116153_0:000b5d|STRG.7798.2:1767-2762|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   2   5    0.0014     0.041   13.0   2.5    12    59   103   150   100   161 0.86 -
35806at50557_116153_0:000b5d|STRG.7798.2:1767-2762|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   3   5   0.00047     0.014   14.5   4.5    17    68   164   215   152   217 0.90 -
35806at50557_116153_0:000b5d|STRG.7798.2:1767-2762|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   4   5   0.00018    0.0052   15.8   0.3    21    67   224   271   219   273 0.93 -
35806at50557_116153_0:000b5d|STRG.7798.2:1767-2762|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   5   5   1.5e-06   4.2e-05   22.5   1.9     9    69   269   329   266   330 0.95 -
35806at50557_116153_0:000b5d|STRG.7798.3:1840-2835|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   1   5   4.7e-05    0.0014   17.7   4.0     9    68    36   100    30   102 0.83 -
35806at50557_116153_0:000b5d|STRG.7798.3:1840-2835|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   2   5    0.0014     0.041   13.0   2.5    12    59   103   150   100   161 0.86 -
35806at50557_116153_0:000b5d|STRG.7798.3:1840-2835|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   3   5   0.00047     0.014   14.5   4.5    17    68   164   215   152   217 0.90 -
35806at50557_116153_0:000b5d|STRG.7798.3:1840-2835|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   4   5   0.00018    0.0052   15.8   0.3    21    67   224   271   219   273 0.93 -
35806at50557_116153_0:000b5d|STRG.7798.3:1840-2835|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   5   5   1.5e-06   4.2e-05   22.5   1.9     9    69   269   329   266   330 0.95 -
35806at50557_116153_0:000b5d|STRG.7798.4:1852-2847|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   1   5   4.7e-05    0.0014   17.7   4.0     9    68    36   100    30   102 0.83 -
35806at50557_116153_0:000b5d|STRG.7798.4:1852-2847|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   2   5    0.0014     0.041   13.0   2.5    12    59   103   150   100   161 0.86 -
35806at50557_116153_0:000b5d|STRG.7798.4:1852-2847|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   3   5   0.00047     0.014   14.5   4.5    17    68   164   215   152   217 0.90 -
35806at50557_116153_0:000b5d|STRG.7798.4:1852-2847|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   4   5   0.00018    0.0052   15.8   0.3    21    67   224   271   219   273 0.93 -
35806at50557_116153_0:000b5d|STRG.7798.4:1852-2847|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   5   5   1.5e-06   4.2e-05   22.5   1.9     9    69   269   329   266   330 0.95 -
35806at50557_116153_0:000b5d|STRG.7798.5:1856-2851|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   1   5   4.7e-05    0.0014   17.7   4.0     9    68    36   100    30   102 0.83 -
35806at50557_116153_0:000b5d|STRG.7798.5:1856-2851|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   2   5    0.0014     0.041   13.0   2.5    12    59   103   150   100   161 0.86 -
35806at50557_116153_0:000b5d|STRG.7798.5:1856-2851|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   3   5   0.00047     0.014   14.5   4.5    17    68   164   215   152   217 0.90 -
35806at50557_116153_0:000b5d|STRG.7798.5:1856-2851|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   4   5   0.00018    0.0052   15.8   0.3    21    67   224   271   219   273 0.93 -
35806at50557_116153_0:000b5d|STRG.7798.5:1856-2851|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   5   5   1.5e-06   4.2e-05   22.5   1.9     9    69   269   329   266   330 0.95 -
35806at50557_116153_0:000b5d|STRG.7798.6:1743-2738|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   1   5   4.7e-05    0.0014   17.7   4.0     9    68    36   100    30   102 0.83 -
35806at50557_116153_0:000b5d|STRG.7798.6:1743-2738|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   2   5    0.0014     0.041   13.0   2.5    12    59   103   150   100   161 0.86 -
35806at50557_116153_0:000b5d|STRG.7798.6:1743-2738|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   3   5   0.00047     0.014   14.5   4.5    17    68   164   215   152   217 0.90 -
35806at50557_116153_0:000b5d|STRG.7798.6:1743-2738|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   4   5   0.00018    0.0052   15.8   0.3    21    67   224   271   219   273 0.93 -
35806at50557_116153_0:000b5d|STRG.7798.6:1743-2738|+    -            332 106896at50557        -             70   4.8e-16   57.6  43.7   5   5   1.5e-06   4.2e-05   22.5   1.9     9    69   269   329   266   330 0.95 -
45419at50557_315563_0:0022b9|STRG.2484.1:732-2087|+     -            452 106896at50557        -             70   3.6e-13   48.4  55.3   1   7   0.00083     0.024   13.7   3.5    12    68    17    76    11    78 0.89 -
45419at50557_315563_0:0022b9|STRG.2484.1:732-2087|+     -            452 106896at50557        -             70   3.6e-13   48.4  55.3   2   7      0.35        10    5.3   0.6    50    68   171   189   168   190 0.88 -
45419at50557_315563_0:0022b9|STRG.2484.1:732-2087|+     -            452 106896at50557        -             70   3.6e-13   48.4  55.3   3   7       0.2       5.7    6.1   0.4    15    42   191   218   188   230 0.87 -
45419at50557_315563_0:0022b9|STRG.2484.1:732-2087|+     -            452 106896at50557        -             70   3.6e-13   48.4  55.3   4   7   4.8e-05    0.0014   17.7   0.4    16    54   255   293   243   297 0.89 -
45419at50557_315563_0:0022b9|STRG.2484.1:732-2087|+     -            452 106896at50557        -             70   3.6e-13   48.4  55.3   5   7      0.75        22    4.2   0.3    50    68   315   333   305   335 0.86 -
45419at50557_315563_0:0022b9|STRG.2484.1:732-2087|+     -            452 106896at50557        -             70   3.6e-13   48.4  55.3   6   7   8.9e-06   0.00026   20.0   4.8     9    66   339   395   332   398 0.84 -
45419at50557_315563_0:0022b9|STRG.2484.1:732-2087|+     -            452 106896at50557        -             70   3.6e-13   48.4  55.3   7   7     0.008      0.23   10.6   6.5     9    67   394   452   392   452 0.91 -
45419at50557_315563_0:0022b9|STRG.2484.2:570-1925|+     -            452 106896at50557        -             70   3.6e-13   48.4  55.3   1   7   0.00083     0.024   13.7   3.5    12    68    17    76    11    78 0.89 -
45419at50557_315563_0:0022b9|STRG.2484.2:570-1925|+     -            452 106896at50557        -             70   3.6e-13   48.4  55.3   2   7      0.35        10    5.3   0.6    50    68   171   189   168   190 0.88 -
45419at50557_315563_0:0022b9|STRG.2484.2:570-1925|+     -            452 106896at50557        -             70   3.6e-13   48.4  55.3   3   7       0.2       5.7    6.1   0.4    15    42   191   218   188   230 0.87 -
