#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
74932at50557_103372_0:0007c3|STRG.13118.1:0-1115|+     -            372 74932at50557         -            280  1.5e-152  505.6   1.3   1   1  1.2e-154  1.8e-152  505.4   1.3     1   280    36   342    36   342 0.94 -
108140at50557_29031_0:00184e|STRG.5639.2:287-703|+     -            139 74932at50557         -            280   1.5e-17   62.8   3.6   1   2   2.3e-18   3.4e-16   58.3   0.4    12    80    16    86     1    94 0.85 -
108140at50557_29031_0:00184e|STRG.5639.2:287-703|+     -            139 74932at50557         -            280   1.5e-17   62.8   3.6   2   2     0.017       2.5    6.3   0.3    51    89    93   136    89   139 0.76 -
109756at50557_52612_0:003ea0|STRG.6839.1:397-618|+     -             74 74932at50557         -            280   6.6e-16   57.4   0.4   1   1   5.2e-18   7.8e-16   57.1   0.4     2    64     3    73     2    74 0.90 -
109756at50557_103372_0:00251e|STRG.2664.3:171-794|+    -            208 74932at50557         -            280   7.2e-15   54.0   0.1   1   1     6e-17     9e-15   53.6   0.1     5    62    13    78     9    97 0.85 -
109756at50557_103372_0:00251e|STRG.2664.4:171-848|+    -            226 74932at50557         -            280   8.4e-15   53.7   0.1   1   1   7.1e-17   1.1e-14   53.4   0.1     5    62    13    78     9    97 0.85 -
109756at50557_103372_0:00251e|STRG.2664.2:176-865|+    -            230 74932at50557         -            280   8.8e-15   53.7   0.1   1   1   7.7e-17   1.2e-14   53.3   0.1     5    62    13    78     9    96 0.85 -
109756at50557_103372_0:00251e|STRG.2664.1:176-919|+    -            248 74932at50557         -            280     1e-14   53.5   0.1   1   1   8.9e-17   1.3e-14   53.1   0.1     5    62    13    78     9    96 0.85 -
41065at50557_7536_0:00279b|STRG.8749.1:170-466|+       -             99 74932at50557         -            280   8.1e-14   50.5   0.2   1   1     9e-16   1.3e-13   49.8   0.2     8    84    13    98     3    99 0.74 -
41065at50557_7536_0:00279b|STRG.8749.2:170-466|+       -             99 74932at50557         -            280   8.1e-14   50.5   0.2   1   1     9e-16   1.3e-13   49.8   0.2     8    84    13    98     3    99 0.74 -
74932at50557_104421_0:00028f|STRG.5490.3:223-936|+     -            238 74932at50557         -            280   1.3e-13   49.8   0.1   1   3   2.7e-07     4e-05   22.0   0.0    16    68     1    52     1    71 0.86 -
74932at50557_104421_0:00028f|STRG.5490.3:223-936|+     -            238 74932at50557         -            280   1.3e-13   49.8   0.1   2   3      0.49        73    1.5   0.0   198   242    95   140    76   148 0.74 -
74932at50557_104421_0:00028f|STRG.5490.3:223-936|+     -            238 74932at50557         -            280   1.3e-13   49.8   0.1   3   3   1.1e-07   1.7e-05   23.2   0.0   164   234   148   222   142   235 0.89 -
108140at50557_34720_0:001e92|STRG.12555.10:131-2056|+  -            642 74932at50557         -            280   5.4e-13   47.8   0.1   1   1   1.1e-14   1.7e-12   46.2   0.1    12    67    19    75     2   118 0.78 -
108140at50557_34720_0:001e92|STRG.12555.11:740-2665|+  -            642 74932at50557         -            280   5.4e-13   47.8   0.1   1   1   1.1e-14   1.7e-12   46.2   0.1    12    67    19    75     2   118 0.78 -
108140at50557_34720_0:001e92|STRG.12555.5:172-2097|+   -            642 74932at50557         -            280   5.4e-13   47.8   0.1   1   1   1.1e-14   1.7e-12   46.2   0.1    12    67    19    75     2   118 0.78 -
108140at50557_34720_0:001e92|STRG.12555.6:176-2101|+   -            642 74932at50557         -            280   5.4e-13   47.8   0.1   1   1   1.1e-14   1.7e-12   46.2   0.1    12    67    19    75     2   118 0.78 -
108140at50557_34720_0:001e92|STRG.12555.7:551-2476|+   -            642 74932at50557         -            280   5.4e-13   47.8   0.1   1   1   1.1e-14   1.7e-12   46.2   0.1    12    67    19    75     2   118 0.78 -
108140at50557_34720_0:001e92|STRG.12555.8:654-2579|+   -            642 74932at50557         -            280   5.4e-13   47.8   0.1   1   1   1.1e-14   1.7e-12   46.2   0.1    12    67    19    75     2   118 0.78 -
108140at50557_34720_0:001e92|STRG.12555.9:465-2390|+   -            642 74932at50557         -            280   5.4e-13   47.8   0.1   1   1   1.1e-14   1.7e-12   46.2   0.1    12    67    19    75     2   118 0.78 -
127306at50557_34720_0:0007b0|STRG.3509.1:285-866|+     -            194 74932at50557         -            280   5.8e-13   47.7   0.4   1   1   6.5e-15   9.7e-13   47.0   0.4     9    64    29    84    21    95 0.90 -
127306at50557_34720_0:0007b0|STRG.3509.4:190-771|+     -            194 74932at50557         -            280   5.8e-13   47.7   0.4   1   1   6.5e-15   9.7e-13   47.0   0.4     9    64    29    84    21    95 0.90 -
127306at50557_34720_0:0007b0|STRG.3509.5:245-826|+     -            194 74932at50557         -            280   5.8e-13   47.7   0.4   1   1   6.5e-15   9.7e-13   47.0   0.4     9    64    29    84    21    95 0.90 -
127306at50557_64793_0:0016b5|STRG.3509.2:237-800|+     -            188 74932at50557         -            280   6.1e-13   47.6   0.4   1   1   6.1e-15   9.1e-13   47.1   0.4     9    64    42    97    34   108 0.90 -
127306at50557_64793_0:0016b5|STRG.3509.3:474-1037|+    -            188 74932at50557         -            280   6.1e-13   47.6   0.4   1   1   6.1e-15   9.1e-13   47.1   0.4     9    64    42    97    34   108 0.90 -
100045at50557_34720_0:001e41|STRG.12561.1:34-996|+     -            321 74932at50557         -            280     7e-12   44.2   0.1   1   2   4.6e-14     7e-12   44.2   0.1    12    60    24    72     7    88 0.91 -
100045at50557_34720_0:001e41|STRG.12561.1:34-996|+     -            321 74932at50557         -            280     7e-12   44.2   0.1   2   2       8.9   1.3e+03   -2.7   0.2    15    51   103   138    89   167 0.71 -
100045at50557_34720_0:001e41|STRG.12561.2:34-999|+     -            322 74932at50557         -            280     7e-12   44.2   0.1   1   2   4.7e-14     7e-12   44.2   0.1    12    60    24    72     7    88 0.91 -
100045at50557_34720_0:001e41|STRG.12561.2:34-999|+     -            322 74932at50557         -            280     7e-12   44.2   0.1   2   2         9   1.3e+03   -2.7   0.2    15    51   103   138    89   167 0.71 -
41065at50557_103372_0:000e4c|STRG.1633.1:120-1562|+    -            481 74932at50557         -            280   2.4e-11   42.4   1.3   1   1   2.8e-13   4.2e-11   41.6   1.3     2    78   376   467   375   480 0.72 -
126448at50557_568069_0:001ed1|STRG.7522.1:129-866|+    -            246 74932at50557         -            280   9.4e-11   40.5   0.5   1   1     1e-12   1.5e-10   39.8   0.5     3    84    15   111    13   131 0.72 -
88846at50557_34720_0:00286f|STRG.16339.1:243-1559|+    -            439 74932at50557         -            280   1.6e-10   39.7   1.0   1   1   1.2e-12   1.9e-10   39.5   0.0     3    59    44   107    42   114 0.87 -
41065at50557_133901_0:001440|STRG.9215.1:368-1702|+    -            445 74932at50557         -            280   1.8e-10   39.6   1.7   1   1   1.2e-12   1.8e-10   39.6   1.7     3    69   342   420   340   444 0.71 -
74932at50557_64838_0:002280|STRG.5490.2:75-617|+       -            181 74932at50557         -            280   1.5e-08   33.2   0.1   1   2   9.2e-10   1.4e-07   30.1   0.1    12    70    34    90    16   109 0.86 -
74932at50557_64838_0:002280|STRG.5490.2:75-617|+       -            181 74932at50557         -            280   1.5e-08   33.2   0.1   2   2      0.47        71    1.5   0.0   197   240   131   175   111   181 0.74 -
60993at50557_103372_0:00057c|STRG.9051.1:81-1763|+     -            561 74932at50557         -            280   2.4e-08   32.6   0.0   1   1   3.3e-10     5e-08   31.5   0.0    12    69    30    90    12    94 0.88 -
125026at50557_411798_0:00322d|STRG.8635.1:1-777|+      -            259 74932at50557         -            280   2.4e-08   32.6   1.1   1   1   3.1e-10   4.6e-08   31.6   1.1     9    60    70   122    65   139 0.79 -
60993at50557_103372_0:00057c|STRG.9051.2:81-1757|+     -            559 74932at50557         -            280   2.4e-08   32.5   0.0   1   1   3.3e-10   4.9e-08   31.5   0.0    12    69    30    90    12    94 0.88 -
25981at50557_456900_0:000c28|STRG.15579.1:564-2843|+   -            760 74932at50557         -            280   8.6e-08   30.7   0.1   1   1   1.2e-09   1.8e-07   29.7   0.1    12    62   121   168   107   170 0.92 -
25981at50557_456900_0:000c28|STRG.15579.2:568-2847|+   -            760 74932at50557         -            280   8.6e-08   30.7   0.1   1   1   1.2e-09   1.8e-07   29.7   0.1    12    62   121   168   107   170 0.92 -
25981at50557_456900_0:000c28|STRG.15579.3:1037-3316|+  -            760 74932at50557         -            280   8.6e-08   30.7   0.1   1   1   1.2e-09   1.8e-07   29.7   0.1    12    62   121   168   107   170 0.92 -
25981at50557_456900_0:000c28|STRG.15579.4:1037-3316|+  -            760 74932at50557         -            280   8.6e-08   30.7   0.1   1   1   1.2e-09   1.8e-07   29.7   0.1    12    62   121   168   107   170 0.92 -
100045at50557_7395_0:004563|STRG.10205.1:105-386|+     -             94 74932at50557         -            280   1.9e-07   29.6   0.9   1   1   1.4e-09   2.2e-07   29.4   0.9    11    69    18    75     3    82 0.85 -
125026at50557_454923_0:000298|STRG.12055.1:2085-2474|+ -            130 74932at50557         -            280   2.6e-07   29.2   0.0   1   1   1.9e-09   2.9e-07   29.0   0.0    12    60    60   107    41   124 0.85 -
125026at50557_454923_0:000298|STRG.12055.2:2085-2474|+ -            130 74932at50557         -            280   2.6e-07   29.2   0.0   1   1   1.9e-09   2.9e-07   29.0   0.0    12    60    60   107    41   124 0.85 -
125026at50557_454923_0:000298|STRG.12055.3:1929-2318|+ -            130 74932at50557         -            280   2.6e-07   29.2   0.0   1   1   1.9e-09   2.9e-07   29.0   0.0    12    60    60   107    41   124 0.85 -
125026at50557_454923_0:000298|STRG.12055.4:2017-2406|+ -            130 74932at50557         -            280   2.6e-07   29.2   0.0   1   1   1.9e-09   2.9e-07   29.0   0.0    12    60    60   107    41   124 0.85 -
96874at50557_34720_0:002015|STRG.13045.1:345-1460|+    -            372 74932at50557         -            280   7.3e-06   24.4   0.5   1   1   6.5e-08   9.7e-06   24.0   0.5    12    56   316   364   302   372 0.79 -
96874at50557_34720_0:002015|STRG.13045.2:228-1343|+    -            372 74932at50557         -            280   7.3e-06   24.4   0.5   1   1   6.5e-08   9.7e-06   24.0   0.5    12    56   316   364   302   372 0.79 -
60993at50557_1155016_0:000fc6|STRG.15489.10:730-897|+  -             56 74932at50557         -            280   0.00028   19.2   0.3   1   1   1.9e-06   0.00029   19.2   0.3     2    39     9    46     8    55 0.78 -
60993at50557_1155016_0:000fc6|STRG.15489.11:467-634|+  -             56 74932at50557         -            280   0.00028   19.2   0.3   1   1   1.9e-06   0.00029   19.2   0.3     2    39     9    46     8    55 0.78 -
60993at50557_1155016_0:000fc6|STRG.15489.1:868-1035|+  -             56 74932at50557         -            280   0.00028   19.2   0.3   1   1   1.9e-06   0.00029   19.2   0.3     2    39     9    46     8    55 0.78 -
60993at50557_1155016_0:000fc6|STRG.15489.2:819-986|+   -             56 74932at50557         -            280   0.00028   19.2   0.3   1   1   1.9e-06   0.00029   19.2   0.3     2    39     9    46     8    55 0.78 -
60993at50557_1155016_0:000fc6|STRG.15489.3:686-853|+   -             56 74932at50557         -            280   0.00028   19.2   0.3   1   1   1.9e-06   0.00029   19.2   0.3     2    39     9    46     8    55 0.78 -
60993at50557_1155016_0:000fc6|STRG.15489.4:1014-1181|+ -             56 74932at50557         -            280   0.00028   19.2   0.3   1   1   1.9e-06   0.00029   19.2   0.3     2    39     9    46     8    55 0.78 -
60993at50557_1155016_0:000fc6|STRG.15489.7:1012-1179|+ -             56 74932at50557         -            280   0.00028   19.2   0.3   1   1   1.9e-06   0.00029   19.2   0.3     2    39     9    46     8    55 0.78 -
60993at50557_1155016_0:000fc6|STRG.15489.9:724-891|+   -             56 74932at50557         -            280   0.00028   19.2   0.3   1   1   1.9e-06   0.00029   19.2   0.3     2    39     9    46     8    55 0.78 -
2744at50557_103372_0:002a6a|STRG.498.2:2090-6898|+     -           1603 74932at50557         -            280    0.0005   18.4   0.0   1   1     7e-06    0.0011   17.3   0.0    10    50   681   718   676   723 0.89 -
2744at50557_103372_0:002a6a|STRG.498.3:2165-6973|+     -           1603 74932at50557         -            280    0.0005   18.4   0.0   1   1     7e-06    0.0011   17.3   0.0    10    50   681   718   676   723 0.89 -
60993at50557_1155016_0:000fc6|STRG.15489.5:1014-1151|+ -             46 74932at50557         -            280   0.00068   18.0   0.3   1   1   4.5e-06   0.00068   18.0   0.3     2    32     9    39     8    46 0.80 -
60993at50557_1155016_0:000fc6|STRG.15489.6:692-829|+   -             46 74932at50557         -            280   0.00068   18.0   0.3   1   1   4.5e-06   0.00068   18.0   0.3     2    32     9    39     8    46 0.80 -
60993at50557_1155016_0:000fc6|STRG.15489.8:813-950|+   -             46 74932at50557         -            280   0.00068   18.0   0.3   1   1   4.5e-06   0.00068   18.0   0.3     2    32     9    39     8    46 0.80 -
2744at50557_103372_0:002a6a|STRG.498.1:293-6982|+      -           2230 74932at50557         -            280   0.00075   17.8   0.0   1   1     1e-05    0.0015   16.8   0.0    10    50  1308  1345  1303  1350 0.89 -
109756at50557_378494_0:003794|STRG.5818.1:3485-3676|+  -             64 74932at50557         -            280   0.00088   17.6   0.1   1   1   6.5e-06   0.00097   17.5   0.1    12    53    15    59     5    63 0.80 -
109756at50557_378494_0:003794|STRG.5818.2:3499-3690|+  -             64 74932at50557         -            280   0.00088   17.6   0.1   1   1   6.5e-06   0.00097   17.5   0.1    12    53    15    59     5    63 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/74932at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/74932at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/74932at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:12:15 2024
# [ok]
