#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108301at50557_103372_0:000620|STRG.12178.1:263-1063|+ -            267 108301at50557        -            228  4.9e-109  362.2  11.8   1   1  2.9e-111  6.6e-109  361.8  11.8     1   227    13   266    13   267 0.97 -
57156at50557_77166_0:0029c4|STRG.14671.1:492-1697|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   5   6   4.3e-10     1e-07   30.8   0.6    62   169   230   332   228   342 0.90 -
57156at50557_77166_0:0029c4|STRG.14671.1:492-1697|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   6   6   2.6e-05    0.0059   15.2   0.0    97   166   328   397   327   401 0.90 -
57156at50557_77166_0:0029c4|STRG.14671.2:639-1844|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   1   6    0.0011      0.26    9.8   0.0   118   160     9    51     2    55 0.91 -
57156at50557_77166_0:0029c4|STRG.14671.2:639-1844|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   2   6    0.0043      0.99    7.9   0.4    97   159    56   118    53   127 0.93 -
57156at50557_77166_0:0029c4|STRG.14671.2:639-1844|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   3   6   2.3e-05    0.0053   15.3   0.0   113   161   140   188   121   191 0.94 -
57156at50557_77166_0:0029c4|STRG.14671.2:639-1844|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   4   6   1.8e-06   0.00042   18.9   0.2    93   170   188   265   187   277 0.89 -
57156at50557_77166_0:0029c4|STRG.14671.2:639-1844|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   5   6   4.3e-10     1e-07   30.8   0.6    62   169   230   332   228   342 0.90 -
57156at50557_77166_0:0029c4|STRG.14671.2:639-1844|+   -            402 108301at50557        -            228   1.1e-23   82.9   8.2   6   6   2.6e-05    0.0059   15.2   0.0    97   166   328   397   327   401 0.90 -
108301at50557_45779_0:00392d|STRG.8645.1:864-1283|+   -            140 108301at50557        -            228   2.4e-23   81.9   5.2   1   1   1.3e-25     3e-23   81.6   5.2    50   185    11   140     5   140 0.94 -
108301at50557_45779_0:00392d|STRG.8645.2:739-1158|+   -            140 108301at50557        -            228   2.4e-23   81.9   5.2   1   1   1.3e-25     3e-23   81.6   5.2    50   185    11   140     5   140 0.94 -
108301at50557_45779_0:00392d|STRG.8645.3:733-1152|+   -            140 108301at50557        -            228   2.4e-23   81.9   5.2   1   1   1.3e-25     3e-23   81.6   5.2    50   185    11   140     5   140 0.94 -
35300at50557_520822_0:00001c|STRG.6263.1:198-581|+    -            128 108301at50557        -            228   4.4e-20   71.2   1.4   1   1   2.2e-22   5.2e-20   71.0   1.4    52   154    31   128    21   128 0.94 -
35300at50557_520822_0:00001c|STRG.6263.2:198-581|+    -            128 108301at50557        -            228   4.4e-20   71.2   1.4   1   1   2.2e-22   5.2e-20   71.0   1.4    52   154    31   128    21   128 0.94 -
35300at50557_520822_0:00001c|STRG.6263.3:198-581|+    -            128 108301at50557        -            228   4.4e-20   71.2   1.4   1   1   2.2e-22   5.2e-20   71.0   1.4    52   154    31   128    21   128 0.94 -
41065at50557_103372_0:000e4c|STRG.1633.1:120-1562|+   -            481 108301at50557        -            228   5.1e-20   71.0  14.2   1   5   1.1e-12   2.6e-10   39.2   0.1    56   174    26   139    18   145 0.89 -
41065at50557_103372_0:000e4c|STRG.1633.1:120-1562|+   -            481 108301at50557        -            228   5.1e-20   71.0  14.2   2   5   1.2e-06   0.00027   19.6   0.0    68   165   152   244   147   267 0.86 -
41065at50557_103372_0:000e4c|STRG.1633.1:120-1562|+   -            481 108301at50557        -            228   5.1e-20   71.0  14.2   3   5       2.8   6.3e+02   -1.3   0.1   128   165   253   290   249   306 0.81 -
41065at50557_103372_0:000e4c|STRG.1633.1:120-1562|+   -            481 108301at50557        -            228   5.1e-20   71.0  14.2   4   5   9.2e-07   0.00021   19.9   1.1   108   172   305   368   291   379 0.88 -
41065at50557_103372_0:000e4c|STRG.1633.1:120-1562|+   -            481 108301at50557        -            228   5.1e-20   71.0  14.2   5   5       8.6     2e+03   -2.9   0.7    18    47   411   437   390   447 0.53 -
57156at50557_197043_0:0019bd|STRG.5169.1:203-529|+    -            109 108301at50557        -            228   1.2e-17   63.3   0.4   1   1   5.6e-20   1.3e-17   63.1   0.4    56   167     2   108     1   109 0.96 -
108301at50557_13249_0:002cbb|STRG.13720.3:554-1069|+  -            172 108301at50557        -            228   1.3e-16   59.8   9.4   1   1   1.1e-18   2.4e-16   59.0   9.4    16   138    48   172     1   172 0.86 -
108301at50557_13249_0:002cbb|STRG.13720.4:474-989|+   -            172 108301at50557        -            228   1.3e-16   59.8   9.4   1   1   1.1e-18   2.4e-16   59.0   9.4    16   138    48   172     1   172 0.86 -
108301at50557_123851_0:002a44|STRG.7993.1:971-1591|+  -            207 108301at50557        -            228   2.9e-16   58.7   0.1   1   1   1.4e-17   3.2e-15   55.3   0.1    26   166    57   200    34   203 0.82 -
108301at50557_123851_0:002a44|STRG.7993.2:1007-1627|+ -            207 108301at50557        -            228   2.9e-16   58.7   0.1   1   1   1.4e-17   3.2e-15   55.3   0.1    26   166    57   200    34   203 0.82 -
57156at50557_197043_0:0019bd|STRG.8512.3:511-846|+    -            112 108301at50557        -            228   7.5e-14   50.8   0.0   1   1   4.1e-16   9.5e-14   50.5   0.0    61   164     8   106     4   111 0.93 -
57156at50557_28612_0:002d5e|STRG.14671.3:1343-1966|+  -            208 108301at50557        -            228   1.4e-13   50.0   1.4   1   2   1.3e-10   3.1e-08   32.4   0.8    62   169     3   105     1   113 0.90 -
57156at50557_28612_0:002d5e|STRG.14671.3:1343-1966|+  -            208 108301at50557        -            228   1.4e-13   50.0   1.4   2   2     3e-06   0.00068   18.2   0.0    97   173   101   177   100   193 0.87 -
57156at50557_28612_0:002d5e|STRG.14671.4:1460-2083|+  -            208 108301at50557        -            228   1.4e-13   50.0   1.4   1   2   1.3e-10   3.1e-08   32.4   0.8    62   169     3   105     1   113 0.90 -
57156at50557_28612_0:002d5e|STRG.14671.4:1460-2083|+  -            208 108301at50557        -            228   1.4e-13   50.0   1.4   2   2     3e-06   0.00068   18.2   0.0    97   173   101   177   100   193 0.87 -
108301at50557_13164_0:001ae6|STRG.1244.1:518-907|+    -            130 108301at50557        -            228   1.9e-13   49.5   0.2   1   1   9.6e-16   2.2e-13   49.3   0.2    43   158    20   130     7   130 0.88 -
108301at50557_197043_0:001b73|STRG.8534.1:932-1315|+  -            128 108301at50557        -            228   1.3e-11   43.5   0.6   1   1   1.1e-12   2.5e-10   39.3   0.6    55   163     4   127     1   128 0.79 -
108301at50557_197043_0:001b73|STRG.8534.2:919-1302|+  -            128 108301at50557        -            228   1.3e-11   43.5   0.6   1   1   1.1e-12   2.5e-10   39.3   0.6    55   163     4   127     1   128 0.79 -
43553at50557_7070_0:0013d7|STRG.14602.1:1352-2146|+   -            265 108301at50557        -            228   1.2e-10   40.4   1.1   1   1   7.1e-13   1.6e-10   39.9   1.1    66   152     3    90     1   115 0.83 -
57156at50557_568069_0:001c11|STRG.8512.2:532-1545|+   -            338 108301at50557        -            228     1e-08   34.0   0.1   1   3   3.6e-10   8.3e-08   31.0   0.0    62   131     2    66     1    68 0.93 -
57156at50557_568069_0:001c11|STRG.8512.2:532-1545|+   -            338 108301at50557        -            228     1e-08   34.0   0.1   2   3       2.1   4.8e+02   -0.9   0.0   106   115   205   214   160   281 0.51 -
57156at50557_568069_0:001c11|STRG.8512.2:532-1545|+   -            338 108301at50557        -            228     1e-08   34.0   0.1   3   3       1.9   4.5e+02   -0.8   0.0    61   125   239   297   209   316 0.59 -
153723at50557_7176_0:003cd5|STRG.14218.1:424-1905|+   -            494 108301at50557        -            228   1.5e-08   33.5   1.7   1   1   1.1e-10   2.5e-08   32.7   1.7    23   170    12   168     2   204 0.72 -
153723at50557_7176_0:003cd5|STRG.14218.2:264-1745|+   -            494 108301at50557        -            228   1.5e-08   33.5   1.7   1   1   1.1e-10   2.5e-08   32.7   1.7    23   170    12   168     2   204 0.72 -
26870at50557_13249_0:003446|STRG.10023.1:1571-2431|+  -            287 108301at50557        -            228   9.6e-08   30.8   0.0   1   2   1.1e-06   0.00025   19.7   0.0   108   164   113   169    93   173 0.92 -
26870at50557_13249_0:003446|STRG.10023.1:1571-2431|+  -            287 108301at50557        -            228   9.6e-08   30.8   0.0   2   2    0.0021      0.48    8.9   0.0    67   160   179   267   173   281 0.78 -
89121at50557_454923_0:000612|STRG.15296.1:1980-3005|+ -            342 108301at50557        -            228   5.5e-07   28.4   1.9   1   4       6.5   1.5e+03   -2.5   0.0   112   162    12    62     6    77 0.69 -
89121at50557_454923_0:000612|STRG.15296.1:1980-3005|+ -            342 108301at50557        -            228   5.5e-07   28.4   1.9   2   4   0.00019     0.044   12.3   0.2   118   166   101   149    78   154 0.91 -
89121at50557_454923_0:000612|STRG.15296.1:1980-3005|+ -            342 108301at50557        -            228   5.5e-07   28.4   1.9   3   4    0.0073       1.7    7.2   0.2   141   171   158   188   147   216 0.67 -
89121at50557_454923_0:000612|STRG.15296.1:1980-3005|+ -            342 108301at50557        -            228   5.5e-07   28.4   1.9   4   4     0.013         3    6.3   0.0   121   165   277   322   268   329 0.81 -
57156at50557_197043_0:0019bd|STRG.6067.1:904-1221|+   -            106 108301at50557        -            228   0.00013   20.6   0.0   1   1   6.2e-07   0.00014   20.5   0.0    62   163     2    98     1   106 0.86 -
89121at50557_79782_0:0011ea|STRG.3718.1:579-1349|+    -            257 108301at50557        -            228     0.013   14.1   0.5   1   2    0.0066       1.5    7.3   0.0    53    92    30    70    11    76 0.72 -
89121at50557_79782_0:0011ea|STRG.3718.1:579-1349|+    -            257 108301at50557        -            228     0.013   14.1   0.5   2   2     0.035       8.1    4.9   0.1   117   148   226   257   185   257 0.86 -
27499at50557_319348_0:002d28|STRG.10203.1:1508-3349|+ -            614 108301at50557        -            228      0.41    9.1   5.5   1   4       3.3   7.7e+02   -1.6   0.0    64    83    22    41     5    63 0.64 -
27499at50557_319348_0:002d28|STRG.10203.1:1508-3349|+ -            614 108301at50557        -            228      0.41    9.1   5.5   2   4    0.0031      0.71    8.4   0.1   109   166   195   252   182   268 0.89 -
27499at50557_319348_0:002d28|STRG.10203.1:1508-3349|+ -            614 108301at50557        -            228      0.41    9.1   5.5   3   4       3.8   8.6e+02   -1.7   0.4    80   118   364   401   351   406 0.75 -
27499at50557_319348_0:002d28|STRG.10203.1:1508-3349|+ -            614 108301at50557        -            228      0.41    9.1   5.5   4   4      0.79   1.8e+02    0.5   0.0    87   159   433   504   416   525 0.77 -
27499at50557_319348_0:002d28|STRG.10203.2:1281-3122|+ -            614 108301at50557        -            228      0.41    9.1   5.5   1   4       3.3   7.7e+02   -1.6   0.0    64    83    22    41     5    63 0.64 -
27499at50557_319348_0:002d28|STRG.10203.2:1281-3122|+ -            614 108301at50557        -            228      0.41    9.1   5.5   2   4    0.0031      0.71    8.4   0.1   109   166   195   252   182   268 0.89 -
27499at50557_319348_0:002d28|STRG.10203.2:1281-3122|+ -            614 108301at50557        -            228      0.41    9.1   5.5   3   4       3.8   8.6e+02   -1.7   0.4    80   118   364   401   351   406 0.75 -
27499at50557_319348_0:002d28|STRG.10203.2:1281-3122|+ -            614 108301at50557        -            228      0.41    9.1   5.5   4   4      0.79   1.8e+02    0.5   0.0    87   159   433   504   416   525 0.77 -
27499at50557_319348_0:002d28|STRG.10203.3:1276-3117|+ -            614 108301at50557        -            228      0.41    9.1   5.5   1   4       3.3   7.7e+02   -1.6   0.0    64    83    22    41     5    63 0.64 -
27499at50557_319348_0:002d28|STRG.10203.3:1276-3117|+ -            614 108301at50557        -            228      0.41    9.1   5.5   2   4    0.0031      0.71    8.4   0.1   109   166   195   252   182   268 0.89 -
27499at50557_319348_0:002d28|STRG.10203.3:1276-3117|+ -            614 108301at50557        -            228      0.41    9.1   5.5   3   4       3.8   8.6e+02   -1.7   0.4    80   118   364   401   351   406 0.75 -
27499at50557_319348_0:002d28|STRG.10203.3:1276-3117|+ -            614 108301at50557        -            228      0.41    9.1   5.5   4   4      0.79   1.8e+02    0.5   0.0    87   159   433   504   416   525 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108301at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/108301at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108301at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:22 2024
# [ok]
