#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
120478at50557_103372_0:000c5c|STRG.9955.1:206-688|+  -            161 120478at50557        -            136   2.1e-70  234.2   0.1   1   1   6.6e-73   2.4e-70  234.0   0.1     1   136     3   160     3   160 0.94 -
27737at50557_121845_0:000a82|STRG.2320.2:313-807|+   -            165 120478at50557        -            136     5e-19   67.8   0.3   1   1   2.7e-20     1e-17   63.6   0.3     7   117    13   152    10   160 0.76 -
27737at50557_121845_0:000a82|STRG.2320.4:266-863|+   -            165 120478at50557        -            136     5e-19   67.8   0.3   1   1   2.7e-20     1e-17   63.6   0.3     7   117    13   152    10   160 0.76 -
92898at50557_62324_0:001787|STRG.11983.1:186-680|+   -            165 120478at50557        -            136   3.7e-18   65.0   0.1   1   1   1.9e-20   6.8e-18   64.1   0.1     1   114     3   139     3   156 0.81 -
120478at50557_411798_0:003623|STRG.9990.4:892-1347|+ -            152 120478at50557        -            136   3.4e-17   61.9   0.0   1   1   3.4e-19   1.2e-16   60.0   0.0     5   126     1   148     1   152 0.76 -
120478at50557_411798_0:003623|STRG.9990.5:188-643|+  -            152 120478at50557        -            136   3.4e-17   61.9   0.0   1   1   3.4e-19   1.2e-16   60.0   0.0     5   126     1   148     1   152 0.76 -
27737at50557_67767_0:00339d|STRG.10546.1:195-662|+   -            156 120478at50557        -            136     9e-17   60.5   0.1   1   1   3.3e-19   1.2e-16   60.1   0.1     7   110    13   135     7   148 0.77 -
27737at50557_121845_0:000a82|STRG.2320.3:7-454|+     -            115 120478at50557        -            136   1.7e-16   59.6   0.0   1   1   5.6e-19   2.1e-16   59.3   0.0    33   117     6   102     2   111 0.81 -
27737at50557_67767_0:00339d|STRG.12159.1:197-673|+   -            159 120478at50557        -            136   6.8e-15   54.4   0.2   1   1   1.5e-16   5.6e-14   51.5   0.2     6   118     8   146     3   159 0.75 -
27737at50557_67767_0:00339d|STRG.12159.2:163-639|+   -            159 120478at50557        -            136   6.8e-15   54.4   0.2   1   1   1.5e-16   5.6e-14   51.5   0.2     6   118     8   146     3   159 0.75 -
27737at50557_67767_0:00339d|STRG.16544.2:445-843|+   -            133 120478at50557        -            136   1.5e-14   53.3   0.0   1   2   2.2e-06    0.0008   18.6   0.0     7    50    16    68    10    72 0.81 -
27737at50557_67767_0:00339d|STRG.16544.2:445-843|+   -            133 120478at50557        -            136   1.5e-14   53.3   0.0   2   2   6.6e-11   2.4e-08   33.2   0.0    73   115    73   118    69   132 0.86 -
42193at50557_7539_0:00337e|STRG.172.1:12-266|+       -             85 120478at50557        -            136   7.5e-11   41.3   0.0   1   1   2.2e-13     8e-11   41.2   0.0    55   122     1    76     1    85 0.80 -
42193at50557_7539_0:00337e|STRG.15811.1:526-888|+    -            121 120478at50557        -            136   2.4e-09   36.4   0.1   1   1   7.4e-12   2.7e-09   36.3   0.1    22   114    12   120     1   121 0.76 -
42193at50557_7539_0:00337e|STRG.15811.2:408-770|+    -            121 120478at50557        -            136   2.4e-09   36.4   0.1   1   1   7.4e-12   2.7e-09   36.3   0.1    22   114    12   120     1   121 0.76 -
42193at50557_88501_0:0015e5|STRG.7783.1:191-3616|+   -            755 120478at50557        -            136   9.1e-05   21.6   0.4   1   2       2.2     8e+02   -0.8   0.1    72   126    95   151    88   157 0.69 -
42193at50557_88501_0:0015e5|STRG.7783.1:191-3616|+   -            755 120478at50557        -            136   9.1e-05   21.6   0.4   2   2   1.3e-06   0.00046   19.4   0.0     3    43   287   333   285   366 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/120478at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/120478at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/120478at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:06:03 2024
# [ok]
