#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.9820.1:157-573|+     -            139 129956at50557        -            110     6e-63  208.8   0.2   1   1   1.5e-64   7.1e-63  208.5   0.2     1   108     1   112     1   117 0.94 -
117816at50557_69004_0:00324f|STRG.6301.1:642-1685|+    -            348 129956at50557        -            110   3.3e-27   93.7   0.4   4   4   0.00046     0.021   13.8   0.0    44    93   299   346   265   348 0.77 -
100341at50557_319348_0:001dc7|STRG.16312.4:1376-2383|+ -            336 129956at50557        -            110   4.8e-26   89.9   0.0   1   3   1.2e-12   5.7e-11   41.4   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.16312.4:1376-2383|+ -            336 129956at50557        -            110   4.8e-26   89.9   0.0   2   3    0.0014     0.066   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.16312.4:1376-2383|+ -            336 129956at50557        -            110   4.8e-26   89.9   0.0   3   3   2.9e-09   1.4e-07   30.5   0.0    31   104   256   330   248   335 0.91 -
100341at50557_319348_0:001dc7|STRG.16312.2:179-1213|+  -            345 129956at50557        -            110   5.6e-26   89.7   0.0   1   3   1.3e-12     6e-11   41.3   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.16312.2:179-1213|+  -            345 129956at50557        -            110   5.6e-26   89.7   0.0   2   3    0.0015     0.069   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.16312.2:179-1213|+  -            345 129956at50557        -            110   5.6e-26   89.7   0.0   3   3   3.1e-09   1.4e-07   30.5   0.0    31   104   265   339   257   344 0.91 -
83433at50557_133901_0:001dd1|STRG.10587.2:142-663|+    -            174 129956at50557        -            110   3.8e-21   74.2   0.0   1   2   5.8e-10   2.7e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.10587.2:142-663|+    -            174 129956at50557        -            110   3.8e-21   74.2   0.0   2   2   4.7e-12   2.2e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
83433at50557_133901_0:001dd1|STRG.10587.3:142-663|+    -            174 129956at50557        -            110   3.8e-21   74.2   0.0   1   2   5.8e-10   2.7e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.10587.3:142-663|+    -            174 129956at50557        -            110   3.8e-21   74.2   0.0   2   2   4.7e-12   2.2e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
83433at50557_133901_0:001dd1|STRG.10587.4:142-663|+    -            174 129956at50557        -            110   3.8e-21   74.2   0.0   1   2   5.8e-10   2.7e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.10587.4:142-663|+    -            174 129956at50557        -            110   3.8e-21   74.2   0.0   2   2   4.7e-12   2.2e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
117816at50557_121225_0:000cee|STRG.452.4:132-635|+     -            168 129956at50557        -            110   3.8e-20   71.0   0.0   1   2   6.7e-12   3.1e-10   39.1   0.0    29   106     3    80     1    85 0.95 -
117816at50557_121225_0:000cee|STRG.452.4:132-635|+     -            168 129956at50557        -            110   3.8e-20   71.0   0.0   2   2   1.4e-09   6.5e-08   31.6   0.0    19   104    79   166    78   168 0.90 -
117816at50557_121225_0:000cee|STRG.452.5:219-722|+     -            168 129956at50557        -            110   3.8e-20   71.0   0.0   1   2   6.7e-12   3.1e-10   39.1   0.0    29   106     3    80     1    85 0.95 -
117816at50557_121225_0:000cee|STRG.452.5:219-722|+     -            168 129956at50557        -            110   3.8e-20   71.0   0.0   2   2   1.4e-09   6.5e-08   31.6   0.0    19   104    79   166    78   168 0.90 -
83433at50557_133901_0:001dd1|STRG.8019.1:122-682|+     -            187 129956at50557        -            110   9.4e-20   69.7   0.0   1   2   3.5e-10   1.6e-08   33.5   0.0    32    80    17    65     4    85 0.90 -
83433at50557_133901_0:001dd1|STRG.8019.1:122-682|+     -            187 129956at50557        -            110   9.4e-20   69.7   0.0   2   2     2e-10   9.2e-09   34.3   0.0    32    81   108   157   103   178 0.94 -
117816at50557_7200_0:000429|STRG.16312.8:812-1324|+    -            171 129956at50557        -            110   1.1e-19   69.5   0.0   1   2   2.4e-11   1.1e-09   37.3   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:000429|STRG.16312.8:812-1324|+    -            171 129956at50557        -            110   1.1e-19   69.5   0.0   2   2     3e-09   1.4e-07   30.5   0.0    30    94    76   140    71   153 0.94 -
117816at50557_7200_0:0014c2|STRG.16312.1:758-1477|+    -            240 129956at50557        -            110   3.7e-19   67.8   0.0   1   2   4.8e-11   2.2e-09   36.3   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.16312.1:758-1477|+    -            240 129956at50557        -            110   3.7e-19   67.8   0.0   2   2   6.2e-09   2.9e-07   29.5   0.0    30    94    76   140    71   152 0.95 -
117816at50557_29058_0:000b65|STRG.16830.10:347-820|+   -            158 129956at50557        -            110   3.4e-18   64.7   0.0   1   2   1.6e-08   7.4e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.16830.10:347-820|+   -            158 129956at50557        -            110   3.4e-18   64.7   0.0   2   2   1.4e-10   6.6e-09   34.8   0.0    32    93    82   143    75   146 0.92 -
117816at50557_29058_0:000b65|STRG.16830.1:1725-2198|+  -            158 129956at50557        -            110   3.4e-18   64.7   0.0   1   2   1.6e-08   7.4e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.16830.1:1725-2198|+  -            158 129956at50557        -            110   3.4e-18   64.7   0.0   2   2   1.4e-10   6.6e-09   34.8   0.0    32    93    82   143    75   146 0.92 -
117816at50557_29058_0:000b65|STRG.16830.4:1770-2243|+  -            158 129956at50557        -            110   3.4e-18   64.7   0.0   1   2   1.6e-08   7.4e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.16830.4:1770-2243|+  -            158 129956at50557        -            110   3.4e-18   64.7   0.0   2   2   1.4e-10   6.6e-09   34.8   0.0    32    93    82   143    75   146 0.92 -
117816at50557_29058_0:000b65|STRG.16830.5:601-1074|+   -            158 129956at50557        -            110   3.4e-18   64.7   0.0   1   2   1.6e-08   7.4e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.16830.5:601-1074|+   -            158 129956at50557        -            110   3.4e-18   64.7   0.0   2   2   1.4e-10   6.6e-09   34.8   0.0    32    93    82   143    75   146 0.92 -
117816at50557_29058_0:000b65|STRG.16830.6:362-835|+    -            158 129956at50557        -            110   3.4e-18   64.7   0.0   1   2   1.6e-08   7.4e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.16830.6:362-835|+    -            158 129956at50557        -            110   3.4e-18   64.7   0.0   2   2   1.4e-10   6.6e-09   34.8   0.0    32    93    82   143    75   146 0.92 -
117816at50557_29058_0:000b65|STRG.16830.8:389-862|+    -            158 129956at50557        -            110   3.4e-18   64.7   0.0   1   2   1.6e-08   7.4e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.16830.8:389-862|+    -            158 129956at50557        -            110   3.4e-18   64.7   0.0   2   2   1.4e-10   6.6e-09   34.8   0.0    32    93    82   143    75   146 0.92 -
117816at50557_29058_0:000b65|STRG.16830.9:875-1348|+   -            158 129956at50557        -            110   3.4e-18   64.7   0.0   1   2   1.6e-08   7.4e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.16830.9:875-1348|+   -            158 129956at50557        -            110   3.4e-18   64.7   0.0   2   2   1.4e-10   6.6e-09   34.8   0.0    32    93    82   143    75   146 0.92 -
129956at50557_286306_0:000be5|STRG.14761.1:248-508|+   -             87 129956at50557        -            110   2.3e-17   62.0   0.0   1   1   5.6e-19   2.6e-17   61.8   0.0    32   106     1    75     1    79 0.97 -
129956at50557_286306_0:000be5|STRG.14761.2:248-508|+   -             87 129956at50557        -            110   2.3e-17   62.0   0.0   1   1   5.6e-19   2.6e-17   61.8   0.0    32   106     1    75     1    79 0.97 -
129956at50557_286306_0:000be5|STRG.14761.3:248-508|+   -             87 129956at50557        -            110   2.3e-17   62.0   0.0   1   1   5.6e-19   2.6e-17   61.8   0.0    32   106     1    75     1    79 0.97 -
129956at50557_286306_0:000be5|STRG.14761.4:248-508|+   -             87 129956at50557        -            110   2.3e-17   62.0   0.0   1   1   5.6e-19   2.6e-17   61.8   0.0    32   106     1    75     1    79 0.97 -
83433at50557_166361_0:0030d8|STRG.16830.7:643-1203|+   -            187 129956at50557        -            110   4.7e-17   61.0   0.0   1   2   1.8e-07   8.1e-06   24.8   0.0    41   106     2    67     1    71 0.93 -
83433at50557_166361_0:0030d8|STRG.16830.7:643-1203|+   -            187 129956at50557        -            110   4.7e-17   61.0   0.0   2   2   2.1e-10   9.5e-09   34.3   0.0    32    93    79   140    72   143 0.92 -
129956at50557_112268_0:002589|STRG.5736.2:345-698|+    -            118 129956at50557        -            110   3.9e-16   58.1   0.0   1   2   2.3e-10   1.1e-08   34.1   0.0    32    83     1    52     1    79 0.87 -
129956at50557_112268_0:002589|STRG.5736.2:345-698|+    -            118 129956at50557        -            110   3.9e-16   58.1   0.0   2   2   8.1e-07   3.8e-05   22.7   0.0    31    67    80   116    64   118 0.90 -
129956at50557_112268_0:002589|STRG.5736.3:345-698|+    -            118 129956at50557        -            110   3.9e-16   58.1   0.0   1   2   2.3e-10   1.1e-08   34.1   0.0    32    83     1    52     1    79 0.87 -
129956at50557_112268_0:002589|STRG.5736.3:345-698|+    -            118 129956at50557        -            110   3.9e-16   58.1   0.0   2   2   8.1e-07   3.8e-05   22.7   0.0    31    67    80   116    64   118 0.90 -
129956at50557_112268_0:002589|STRG.5736.4:345-698|+    -            118 129956at50557        -            110   3.9e-16   58.1   0.0   1   2   2.3e-10   1.1e-08   34.1   0.0    32    83     1    52     1    79 0.87 -
129956at50557_112268_0:002589|STRG.5736.4:345-698|+    -            118 129956at50557        -            110   3.9e-16   58.1   0.0   2   2   8.1e-07   3.8e-05   22.7   0.0    31    67    80   116    64   118 0.90 -
129956at50557_112268_0:002589|STRG.5736.6:344-697|+    -            118 129956at50557        -            110   3.9e-16   58.1   0.0   1   2   2.3e-10   1.1e-08   34.1   0.0    32    83     1    52     1    79 0.87 -
129956at50557_112268_0:002589|STRG.5736.6:344-697|+    -            118 129956at50557        -            110   3.9e-16   58.1   0.0   2   2   8.1e-07   3.8e-05   22.7   0.0    31    67    80   116    64   118 0.90 -
129956at50557_64459_0:001a3e|STRG.14457.1:518-931|+    -            138 129956at50557        -            110   8.7e-15   53.7   0.0   1   2   8.2e-12   3.8e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.14457.1:518-931|+    -            138 129956at50557        -            110   8.7e-15   53.7   0.0   2   2   0.00063     0.029   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.14457.2:506-919|+    -            138 129956at50557        -            110   8.7e-15   53.7   0.0   1   2   8.2e-12   3.8e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.14457.2:506-919|+    -            138 129956at50557        -            110   8.7e-15   53.7   0.0   2   2   0.00063     0.029   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.14457.4:2071-2484|+  -            138 129956at50557        -            110   8.7e-15   53.7   0.0   1   2   8.2e-12   3.8e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.14457.4:2071-2484|+  -            138 129956at50557        -            110   8.7e-15   53.7   0.0   2   2   0.00063     0.029   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.14457.5:1758-2171|+  -            138 129956at50557        -            110   8.7e-15   53.7   0.0   1   2   8.2e-12   3.8e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.14457.5:1758-2171|+  -            138 129956at50557        -            110   8.7e-15   53.7   0.0   2   2   0.00063     0.029   13.4   0.0    25    64    92   131    81   138 0.85 -
117816at50557_7200_0:0014c2|STRG.16312.5:1418-2200|+   -            261 129956at50557        -            110   1.1e-14   53.4   0.0   1   2   5.6e-11   2.6e-09   36.1   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.16312.5:1418-2200|+   -            261 129956at50557        -            110   1.1e-14   53.4   0.0   2   2   0.00089     0.041   12.9   0.0    30    93    76   152    71   159 0.73 -
83433at50557_133901_0:001dd1|STRG.7111.1:738-1253|+    -            172 129956at50557        -            110   3.4e-14   51.8   0.1   1   2   2.3e-06   0.00011   21.2   0.0    32    83     2    53     1    78 0.89 -
83433at50557_133901_0:001dd1|STRG.7111.1:738-1253|+    -            172 129956at50557        -            110   3.4e-14   51.8   0.1   2   2   8.4e-09   3.9e-07   29.1   0.1    29    82    87   140    73   165 0.87 -
83433at50557_133901_0:001dd1|STRG.7111.3:647-1162|+    -            172 129956at50557        -            110   3.4e-14   51.8   0.1   1   2   2.3e-06   0.00011   21.2   0.0    32    83     2    53     1    78 0.89 -
83433at50557_133901_0:001dd1|STRG.7111.3:647-1162|+    -            172 129956at50557        -            110   3.4e-14   51.8   0.1   2   2   8.4e-09   3.9e-07   29.1   0.1    29    82    87   140    73   165 0.87 -
83433at50557_133901_0:001dd1|STRG.7111.5:600-1115|+    -            172 129956at50557        -            110   3.4e-14   51.8   0.1   1   2   2.3e-06   0.00011   21.2   0.0    32    83     2    53     1    78 0.89 -
83433at50557_133901_0:001dd1|STRG.7111.5:600-1115|+    -            172 129956at50557        -            110   3.4e-14   51.8   0.1   2   2   8.4e-09   3.9e-07   29.1   0.1    29    82    87   140    73   165 0.87 -
83433at50557_133901_0:001dd1|STRG.7111.6:596-1111|+    -            172 129956at50557        -            110   3.4e-14   51.8   0.1   1   2   2.3e-06   0.00011   21.2   0.0    32    83     2    53     1    78 0.89 -
83433at50557_133901_0:001dd1|STRG.7111.6:596-1111|+    -            172 129956at50557        -            110   3.4e-14   51.8   0.1   2   2   8.4e-09   3.9e-07   29.1   0.1    29    82    87   140    73   165 0.87 -
83433at50557_133901_0:001dd1|STRG.7111.7:433-948|+     -            172 129956at50557        -            110   3.4e-14   51.8   0.1   1   2   2.3e-06   0.00011   21.2   0.0    32    83     2    53     1    78 0.89 -
83433at50557_133901_0:001dd1|STRG.7111.7:433-948|+     -            172 129956at50557        -            110   3.4e-14   51.8   0.1   2   2   8.4e-09   3.9e-07   29.1   0.1    29    82    87   140    73   165 0.87 -
101501at50557_34720_0:0002e2|STRG.1211.4:373-2223|+    -            617 129956at50557        -            110   6.1e-14   51.0   1.3   1   4   0.00035     0.016   14.2   0.0    28   102    45   117    24   124 0.84 -
101501at50557_34720_0:0002e2|STRG.1211.4:373-2223|+    -            617 129956at50557        -            110   6.1e-14   51.0   1.3   2   4   4.9e-08   2.3e-06   26.6   0.0    14   105   173   264   160   268 0.83 -
101501at50557_34720_0:0002e2|STRG.1211.4:373-2223|+    -            617 129956at50557        -            110   6.1e-14   51.0   1.3   3   4       1.9        86    2.2   0.0    26    79   385   438   362   456 0.84 -
101501at50557_34720_0:0002e2|STRG.1211.4:373-2223|+    -            617 129956at50557        -            110   6.1e-14   51.0   1.3   4   4      0.94        43    3.2   0.0    61    92   576   607   563   615 0.75 -
24138at50557_7176_0:001e33|STRG.452.6:106-570|+        -            155 129956at50557        -            110   7.1e-14   50.8   0.0   1   2   2.3e-05    0.0011   18.0   0.0    57   106     1    50     1    55 0.94 -
24138at50557_7176_0:001e33|STRG.452.6:106-570|+        -            155 129956at50557        -            110   7.1e-14   50.8   0.0   2   2   7.9e-10   3.7e-08   32.4   0.0    19   104    49   136    48   142 0.90 -
117816at50557_7493_0:002cdd|STRG.14623.1:707-1183|+    -            159 129956at50557        -            110   1.3e-13   50.0   0.0   1   2   0.00016    0.0073   15.3   0.0    32   105     1    71     1    76 0.90 -
117816at50557_7493_0:002cdd|STRG.14623.1:707-1183|+    -            159 129956at50557        -            110   1.3e-13   50.0   0.0   2   2   5.3e-10   2.4e-08   32.9   0.0    30   102    87   159    80   159 0.94 -
101501at50557_34720_0:0002e2|STRG.1211.3:373-2715|+    -            781 129956at50557        -            110   1.6e-13   49.6   1.4   1   4   0.00053     0.024   13.6   0.0    28   102    45   117    25   123 0.85 -
101501at50557_34720_0:0002e2|STRG.1211.3:373-2715|+    -            781 129956at50557        -            110   1.6e-13   49.6   1.4   2   4     7e-08   3.2e-06   26.1   0.0    14   105   173   264   160   268 0.83 -
101501at50557_34720_0:0002e2|STRG.1211.3:373-2715|+    -            781 129956at50557        -            110   1.6e-13   49.6   1.4   3   4       2.6   1.2e+02    1.8   0.0    26    79   385   438   362   455 0.84 -
101501at50557_34720_0:0002e2|STRG.1211.3:373-2715|+    -            781 129956at50557        -            110   1.6e-13   49.6   1.4   4   4       1.1        49    3.0   0.0    61    92   576   607   563   618 0.75 -
101501at50557_34720_0:0002e2|STRG.1211.5:19-2361|+     -            781 129956at50557        -            110   1.6e-13   49.6   1.4   1   4   0.00053     0.024   13.6   0.0    28   102    45   117    25   123 0.85 -
101501at50557_34720_0:0002e2|STRG.1211.5:19-2361|+     -            781 129956at50557        -            110   1.6e-13   49.6   1.4   2   4     7e-08   3.2e-06   26.1   0.0    14   105   173   264   160   268 0.83 -
101501at50557_34720_0:0002e2|STRG.1211.5:19-2361|+     -            781 129956at50557        -            110   1.6e-13   49.6   1.4   3   4       2.6   1.2e+02    1.8   0.0    26    79   385   438   362   455 0.84 -
101501at50557_34720_0:0002e2|STRG.1211.5:19-2361|+     -            781 129956at50557        -            110   1.6e-13   49.6   1.4   4   4       1.1        49    3.0   0.0    61    92   576   607   563   618 0.75 -
100341at50557_319348_0:001dc7|STRG.3858.7:503-1540|+   -            346 129956at50557        -            110   2.9e-13   48.8   0.0   1   2   0.00034     0.016   14.3   0.0    31    95    18    81    10    93 0.90 -
100341at50557_319348_0:001dc7|STRG.3858.7:503-1540|+   -            346 129956at50557        -            110   2.9e-13   48.8   0.0   2   2   7.5e-10   3.5e-08   32.4   0.0    32   104   272   344   267   346 0.95 -
24138at50557_34720_0:0016ec|STRG.9398.1:17-2212|+      -            732 129956at50557        -            110   7.7e-13   47.4   0.0   1   3   7.9e-08   3.6e-06   25.9   0.0     9   102   171   263   163   270 0.83 -
24138at50557_34720_0:0016ec|STRG.9398.1:17-2212|+      -            732 129956at50557        -            110   7.7e-13   47.4   0.0   2   3       9.1   4.2e+02   -0.0   0.0    32    85   506   564   477   588 0.73 -
24138at50557_34720_0:0016ec|STRG.9398.1:17-2212|+      -            732 129956at50557        -            110   7.7e-13   47.4   0.0   3   3   0.00018    0.0083   15.1   0.0    30    88   608   667   582   687 0.82 -
129956at50557_132113_0:001471|STRG.6122.24:2154-2456|+ -            101 129956at50557        -            110   1.1e-12   47.0   0.0   1   1   2.6e-14   1.2e-12   46.8   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.9:1726-2028|+  -            101 129956at50557        -            110   1.1e-12   47.0   0.0   1   1   2.6e-14   1.2e-12   46.8   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.10:1773-2084|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.11:1773-2084|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.12:1773-2084|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.13:1773-2084|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.14:1773-2084|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.15:1773-2084|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.16:1773-2084|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.17:1773-2084|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.18:1697-2008|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.19:1773-2084|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.20:1773-2084|+ -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.4:1802-2113|+  -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.5:1726-2037|+  -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_132113_0:001471|STRG.6122.7:1685-1996|+  -            104 129956at50557        -            110   1.1e-12   46.9   0.0   1   1   2.9e-14   1.3e-12   46.7   0.0    29    97    17    85     7    96 0.90 -
129956at50557_13686_0:0011f5|STRG.13208.1:804-1031|+   -             76 129956at50557        -            110   1.4e-12   46.6   0.0   1   1   3.3e-14   1.5e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.13208.2:954-1181|+   -             76 129956at50557        -            110   1.4e-12   46.6   0.0   1   1   3.3e-14   1.5e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.13208.3:1461-1688|+  -             76 129956at50557        -            110   1.4e-12   46.6   0.0   1   1   3.3e-14   1.5e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.13208.4:1522-1749|+  -             76 129956at50557        -            110   1.4e-12   46.6   0.0   1   1   3.3e-14   1.5e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
24138at50557_7004_0:0051ca|STRG.4669.2:10-375|+        -            122 129956at50557        -            110   1.6e-12   46.4   0.0   1   2   6.7e-06   0.00031   19.7   0.0    50    90     2    44     1    65 0.82 -
24138at50557_7004_0:0051ca|STRG.4669.2:10-375|+        -            122 129956at50557        -            110   1.6e-12   46.4   0.0   2   2   1.3e-07   5.9e-06   25.3   0.0    31    79    72   120    62   122 0.94 -
24138at50557_7004_0:0051ca|STRG.4669.4:10-375|+        -            122 129956at50557        -            110   1.6e-12   46.4   0.0   1   2   6.7e-06   0.00031   19.7   0.0    50    90     2    44     1    65 0.82 -
24138at50557_7004_0:0051ca|STRG.4669.4:10-375|+        -            122 129956at50557        -            110   1.6e-12   46.4   0.0   2   2   1.3e-07   5.9e-06   25.3   0.0    31    79    72   120    62   122 0.94 -
129956at50557_7395_0:00347a|STRG.6122.1:547-801|+      -             85 129956at50557        -            110   2.3e-12   45.9   0.0   1   1   5.7e-14   2.6e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.6122.2:547-801|+      -             85 129956at50557        -            110   2.3e-12   45.9   0.0   1   1   5.7e-14   2.6e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.6122.3:547-801|+      -             85 129956at50557        -            110   2.3e-12   45.9   0.0   1   1   5.7e-14   2.6e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.6122.6:488-742|+      -             85 129956at50557        -            110   2.3e-12   45.9   0.0   1   1   5.7e-14   2.6e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
