#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68325at50557_34720_0:0013d3|STRG.8229.1:2-1162|+       -            387 68325at50557         -            295  2.1e-154  512.0   0.2   1   1    4e-152  1.8e-150  499.1   0.2     2   295    35   386    34   386 0.89 -
43553at50557_13686_0:000241|STRG.15103.1:425-1957|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   2   4      0.93        41    2.2   0.0    77   116   296   333   290   342 0.87 -
43553at50557_13686_0:000241|STRG.15103.1:425-1957|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   3   4     0.027       1.2    7.3   0.0   101   144   360   403   348   404 0.83 -
43553at50557_13686_0:000241|STRG.15103.1:425-1957|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   4   4   6.2e-07   2.8e-05   22.5   0.0   100   162   401   461   388   484 0.81 -
43553at50557_13686_0:000241|STRG.15103.2:241-1773|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   1   4       1.9        84    1.2   0.0   218   251   219   251   201   279 0.79 -
43553at50557_13686_0:000241|STRG.15103.2:241-1773|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   2   4      0.93        41    2.2   0.0    77   116   296   333   290   342 0.87 -
43553at50557_13686_0:000241|STRG.15103.2:241-1773|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   3   4     0.027       1.2    7.3   0.0   101   144   360   403   348   404 0.83 -
43553at50557_13686_0:000241|STRG.15103.2:241-1773|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   4   4   6.2e-07   2.8e-05   22.5   0.0   100   162   401   461   388   484 0.81 -
43553at50557_13686_0:000241|STRG.15103.3:390-1922|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   1   4       1.9        84    1.2   0.0   218   251   219   251   201   279 0.79 -
43553at50557_13686_0:000241|STRG.15103.3:390-1922|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   2   4      0.93        41    2.2   0.0    77   116   296   333   290   342 0.87 -
43553at50557_13686_0:000241|STRG.15103.3:390-1922|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   3   4     0.027       1.2    7.3   0.0   101   144   360   403   348   404 0.83 -
43553at50557_13686_0:000241|STRG.15103.3:390-1922|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   4   4   6.2e-07   2.8e-05   22.5   0.0   100   162   401   461   388   484 0.81 -
43553at50557_13686_0:000241|STRG.15103.4:315-1847|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   1   4       1.9        84    1.2   0.0   218   251   219   251   201   279 0.79 -
43553at50557_13686_0:000241|STRG.15103.4:315-1847|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   2   4      0.93        41    2.2   0.0    77   116   296   333   290   342 0.87 -
43553at50557_13686_0:000241|STRG.15103.4:315-1847|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   3   4     0.027       1.2    7.3   0.0   101   144   360   403   348   404 0.83 -
43553at50557_13686_0:000241|STRG.15103.4:315-1847|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   4   4   6.2e-07   2.8e-05   22.5   0.0   100   162   401   461   388   484 0.81 -
43553at50557_13686_0:000241|STRG.15103.5:405-1937|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   1   4       1.9        84    1.2   0.0   218   251   219   251   201   279 0.79 -
43553at50557_13686_0:000241|STRG.15103.5:405-1937|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   2   4      0.93        41    2.2   0.0    77   116   296   333   290   342 0.87 -
43553at50557_13686_0:000241|STRG.15103.5:405-1937|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   3   4     0.027       1.2    7.3   0.0   101   144   360   403   348   404 0.83 -
43553at50557_13686_0:000241|STRG.15103.5:405-1937|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   4   4   6.2e-07   2.8e-05   22.5   0.0   100   162   401   461   388   484 0.81 -
43553at50557_13686_0:000241|STRG.15103.6:241-1773|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   1   4       1.9        84    1.2   0.0   218   251   219   251   201   279 0.79 -
43553at50557_13686_0:000241|STRG.15103.6:241-1773|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   2   4      0.93        41    2.2   0.0    77   116   296   333   290   342 0.87 -
43553at50557_13686_0:000241|STRG.15103.6:241-1773|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   3   4     0.027       1.2    7.3   0.0   101   144   360   403   348   404 0.83 -
43553at50557_13686_0:000241|STRG.15103.6:241-1773|+    -            511 68325at50557         -            295   6.6e-10   37.7   0.3   4   4   6.2e-07   2.8e-05   22.5   0.0   100   162   401   461   388   484 0.81 -
80377at50557_7070_0:0023da|STRG.13987.1:1378-2109|+    -            244 68325at50557         -            295   1.6e-09   36.4   1.9   1   2      0.97        43    2.2   0.0   250   278    37    65    28    69 0.86 -
80377at50557_7070_0:0023da|STRG.13987.1:1378-2109|+    -            244 68325at50557         -            295   1.6e-09   36.4   1.9   2   2   2.1e-10   9.3e-09   33.9   0.7   104   253    66   207    61   214 0.84 -
57752at50557_69319_0:000ee5|STRG.8887.1:190-993|+      -            268 68325at50557         -            295   2.3e-09   35.9   0.7   1   4       3.1   1.4e+02    0.5   0.0   107   161     9    62     4    69 0.75 -
57752at50557_69319_0:000ee5|STRG.8887.1:190-993|+      -            268 68325at50557         -            295   2.3e-09   35.9   0.7   2   4      0.14       6.3    4.9   0.0    65   115    53   101    42   109 0.82 -
57752at50557_69319_0:000ee5|STRG.8887.1:190-993|+      -            268 68325at50557         -            295   2.3e-09   35.9   0.7   3   4   1.6e-06   7.1e-05   21.2   0.0    60   118   137   192   110   200 0.77 -
57752at50557_69319_0:000ee5|STRG.8887.1:190-993|+      -            268 68325at50557         -            295   2.3e-09   35.9   0.7   4   4      0.05       2.2    6.4   0.0    99   152   215   267   189   268 0.69 -
116554at50557_307491_0:000d5d|STRG.10580.1:364-1149|+  -            262 68325at50557         -            295   2.6e-09   35.7   0.6   1   2     3e-09   1.3e-07   30.1   0.1    45   163    33   163    24   182 0.72 -
116554at50557_307491_0:000d5d|STRG.10580.1:364-1149|+  -            262 68325at50557         -            295   2.6e-09   35.7   0.6   2   2      0.39        18    3.5   0.0   234   278   186   230   163   246 0.71 -
90358at50557_680683_0:0009ec|STRG.7094.1:1191-1964|+   -            258 68325at50557         -            295   2.9e-09   35.6   0.1   1   2   1.1e-07     5e-06   24.9   0.0    84   209     5   133     1   142 0.82 -
90358at50557_680683_0:0009ec|STRG.7094.1:1191-1964|+   -            258 68325at50557         -            295   2.9e-09   35.6   0.1   2   2    0.0087      0.39    8.9   0.0   132   170   143   181   137   198 0.83 -
90358at50557_680683_0:0009ec|STRG.7094.2:6163-6936|+   -            258 68325at50557         -            295   2.9e-09   35.6   0.1   1   2   1.1e-07     5e-06   24.9   0.0    84   209     5   133     1   142 0.82 -
90358at50557_680683_0:0009ec|STRG.7094.2:6163-6936|+   -            258 68325at50557         -            295   2.9e-09   35.6   0.1   2   2    0.0087      0.39    8.9   0.0   132   170   143   181   137   198 0.83 -
57752at50557_103372_0:000c5a|STRG.9911.1:169-1530|+    -            454 68325at50557         -            295   9.9e-09   33.8   5.2   1   4     0.023         1    7.5   0.0    53   115   146   215   124   222 0.69 -
57752at50557_103372_0:000c5a|STRG.9911.1:169-1530|+    -            454 68325at50557         -            295   9.9e-09   33.8   5.2   2   4   0.00015    0.0065   14.7   0.5   101   166   243   307   223   321 0.62 -
57752at50557_103372_0:000c5a|STRG.9911.1:169-1530|+    -            454 68325at50557         -            295   9.9e-09   33.8   5.2   3   4    0.0054      0.24    9.6   0.1    76   117   345   383   325   388 0.83 -
57752at50557_103372_0:000c5a|STRG.9911.1:169-1530|+    -            454 68325at50557         -            295   9.9e-09   33.8   5.2   4   4      0.28        12    4.0   0.1   141   185   364   417   362   430 0.60 -
14512at50557_103372_0:0005b9|STRG.9027.1:361-2940|+    -            860 68325at50557         -            295   2.6e-08   32.4   0.2   1   1   3.8e-09   1.7e-07   29.8   0.1    78   254    12   178     3   213 0.80 -
14512at50557_103372_0:0005b9|STRG.9027.2:361-2997|+    -            879 68325at50557         -            295   2.8e-08   32.4   0.2   1   1   3.9e-09   1.8e-07   29.7   0.1    78   254    12   178     3   213 0.80 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 68325at50557         -            295   3.2e-08   32.2   8.6   1   5   7.2e-05    0.0032   15.7   0.7    86   150    14    79     5   103 0.76 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 68325at50557         -            295   3.2e-08   32.2   8.6   2   5   0.00063     0.028   12.6   0.1    61   120   123   180   115   199 0.80 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 68325at50557         -            295   3.2e-08   32.2   8.6   3   5      0.67        30    2.7   0.0   101   119   203   221   186   227 0.85 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 68325at50557         -            295   3.2e-08   32.2   8.6   4   5       2.1        92    1.1   0.0   101   119   247   265   233   271 0.80 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 68325at50557         -            295   3.2e-08   32.2   8.6   5   5      0.76        34    2.5   0.1   104   287   250   300   244   301 0.54 -
49370at50557_2015173_0:001990|STRG.6458.1:624-1610|+   -            329 68325at50557         -            295   3.2e-08   32.2   2.9   1   3    0.0031      0.14   10.4   0.1   100   150    55   105    50   125 0.73 -
49370at50557_2015173_0:001990|STRG.6458.1:624-1610|+   -            329 68325at50557         -            295   3.2e-08   32.2   2.9   2   3   1.9e-05   0.00084   17.7   0.1    52   160   130   246   124   249 0.86 -
49370at50557_2015173_0:001990|STRG.6458.1:624-1610|+   -            329 68325at50557         -            295   3.2e-08   32.2   2.9   3   3    0.0083      0.37    9.0   0.1    79   159   210   290   205   309 0.70 -
49370at50557_2015173_0:001990|STRG.6458.2:451-1437|+   -            329 68325at50557         -            295   3.2e-08   32.2   2.9   1   3    0.0031      0.14   10.4   0.1   100   150    55   105    50   125 0.73 -
49370at50557_2015173_0:001990|STRG.6458.2:451-1437|+   -            329 68325at50557         -            295   3.2e-08   32.2   2.9   2   3   1.9e-05   0.00084   17.7   0.1    52   160   130   246   124   249 0.86 -
49370at50557_2015173_0:001990|STRG.6458.2:451-1437|+   -            329 68325at50557         -            295   3.2e-08   32.2   2.9   3   3    0.0083      0.37    9.0   0.1    79   159   210   290   205   309 0.70 -
80377at50557_77166_0:002f29|STRG.7816.1:552-1430|+     -            293 68325at50557         -            295   5.5e-08   31.4   0.0   1   3     0.031       1.4    7.1   0.0    61   117    62   117    40   126 0.75 -
80377at50557_77166_0:002f29|STRG.7816.1:552-1430|+     -            293 68325at50557         -            295   5.5e-08   31.4   0.0   2   3      0.03       1.3    7.1   0.0    83   117   132   164   126   173 0.78 -
80377at50557_77166_0:002f29|STRG.7816.1:552-1430|+     -            293 68325at50557         -            295   5.5e-08   31.4   0.0   3   3   0.00032     0.014   13.6   0.0    13   114   177   289   166   291 0.79 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 68325at50557         -            295     6e-08   31.3   2.9   1   4    0.0067       0.3    9.3   0.0    80   118     2    39     1    53 0.86 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 68325at50557         -            295     6e-08   31.3   2.9   2   4   0.00047     0.021   13.1   0.1    57   119    55   124    48   139 0.68 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 68325at50557         -            295     6e-08   31.3   2.9   3   4      0.61        27    2.8   0.0   101   118   148   165   128   174 0.84 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 68325at50557         -            295     6e-08   31.3   2.9   4   4       0.5        22    3.1   0.0   100   126   189   215   178   226 0.85 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 68325at50557         -            295     6e-08   31.3   2.9   1   4    0.0067       0.3    9.3   0.0    80   118     2    39     1    53 0.86 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 68325at50557         -            295     6e-08   31.3   2.9   2   4   0.00047     0.021   13.1   0.1    57   119    55   124    48   139 0.68 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 68325at50557         -            295     6e-08   31.3   2.9   3   4      0.61        27    2.8   0.0   101   118   148   165   128   174 0.84 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 68325at50557         -            295     6e-08   31.3   2.9   4   4       0.5        22    3.1   0.0   100   126   189   215   178   226 0.85 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   1   6      0.99        44    2.1   0.0   101   116    20    35    17    43 0.87 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   2   6     0.082       3.7    5.7   0.1    59   115    55   119    46   130 0.52 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   3   6      0.29        13    3.9   0.1    92   122   139   168   121   179 0.76 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   4   6     0.015      0.68    8.1   0.1    81   115   185   222   173   227 0.82 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   5   6    0.0046       0.2    9.8   0.1    79   133   230   285   223   289 0.72 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   6   6     0.096       4.3    5.5   0.1    80   114   273   305   268   305 0.79 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   1   6      0.99        44    2.1   0.0   101   116    20    35    17    43 0.87 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   2   6     0.082       3.7    5.7   0.1    59   115    55   119    46   130 0.52 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   3   6      0.29        13    3.9   0.1    92   122   139   168   121   179 0.76 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   4   6     0.015      0.68    8.1   0.1    81   115   185   222   173   227 0.82 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   5   6    0.0046       0.2    9.8   0.1    79   133   230   285   223   289 0.72 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 68325at50557         -            295   1.1e-07   30.4  13.0   6   6     0.096       4.3    5.5   0.1    80   114   273   305   268   305 0.79 -
80377at50557_37344_0:0017d3|STRG.15493.1:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   1   4      0.17       7.4    4.7   0.0    83   125    10    54     3    84 0.57 -
80377at50557_37344_0:0017d3|STRG.15493.1:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   2   4   2.9e-05    0.0013   17.0   0.1    54   119    84   147    79   153 0.83 -
80377at50557_37344_0:0017d3|STRG.15493.1:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   3   4      0.29        13    3.9   0.0   208   251   202   245   187   282 0.67 -
80377at50557_37344_0:0017d3|STRG.15493.1:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   4   4       7.8   3.5e+02   -0.8   0.0    11    35   258   282   249   291 0.77 -
80377at50557_37344_0:0017d3|STRG.15493.2:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   1   4      0.17       7.4    4.7   0.0    83   125    10    54     3    84 0.57 -
80377at50557_37344_0:0017d3|STRG.15493.2:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   2   4   2.9e-05    0.0013   17.0   0.1    54   119    84   147    79   153 0.83 -
80377at50557_37344_0:0017d3|STRG.15493.2:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   3   4      0.29        13    3.9   0.0   208   251   202   245   187   282 0.67 -
80377at50557_37344_0:0017d3|STRG.15493.2:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   4   4       7.8   3.5e+02   -0.8   0.0    11    35   258   282   249   291 0.77 -
80377at50557_37344_0:0017d3|STRG.15493.3:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   1   4      0.17       7.4    4.7   0.0    83   125    10    54     3    84 0.57 -
80377at50557_37344_0:0017d3|STRG.15493.3:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   2   4   2.9e-05    0.0013   17.0   0.1    54   119    84   147    79   153 0.83 -
80377at50557_37344_0:0017d3|STRG.15493.3:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   3   4      0.29        13    3.9   0.0   208   251   202   245   187   282 0.67 -
80377at50557_37344_0:0017d3|STRG.15493.3:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   4   4       7.8   3.5e+02   -0.8   0.0    11    35   258   282   249   291 0.77 -
80377at50557_37344_0:0017d3|STRG.15493.4:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   1   4      0.17       7.4    4.7   0.0    83   125    10    54     3    84 0.57 -
80377at50557_37344_0:0017d3|STRG.15493.4:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   2   4   2.9e-05    0.0013   17.0   0.1    54   119    84   147    79   153 0.83 -
80377at50557_37344_0:0017d3|STRG.15493.4:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   3   4      0.29        13    3.9   0.0   208   251   202   245   187   282 0.67 -
80377at50557_37344_0:0017d3|STRG.15493.4:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   4   4       7.8   3.5e+02   -0.8   0.0    11    35   258   282   249   291 0.77 -
80377at50557_37344_0:0017d3|STRG.15493.5:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   1   4      0.17       7.4    4.7   0.0    83   125    10    54     3    84 0.57 -
80377at50557_37344_0:0017d3|STRG.15493.5:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   2   4   2.9e-05    0.0013   17.0   0.1    54   119    84   147    79   153 0.83 -
80377at50557_37344_0:0017d3|STRG.15493.5:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   3   4      0.29        13    3.9   0.0   208   251   202   245   187   282 0.67 -
80377at50557_37344_0:0017d3|STRG.15493.5:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   4   4       7.8   3.5e+02   -0.8   0.0    11    35   258   282   249   291 0.77 -
80377at50557_37344_0:0017d3|STRG.15493.6:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   1   4      0.17       7.4    4.7   0.0    83   125    10    54     3    84 0.57 -
80377at50557_37344_0:0017d3|STRG.15493.6:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   2   4   2.9e-05    0.0013   17.0   0.1    54   119    84   147    79   153 0.83 -
80377at50557_37344_0:0017d3|STRG.15493.6:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   3   4      0.29        13    3.9   0.0   208   251   202   245   187   282 0.67 -
80377at50557_37344_0:0017d3|STRG.15493.6:881-1840|+    -            320 68325at50557         -            295   1.5e-07   29.9   0.4   4   4       7.8   3.5e+02   -0.8   0.0    11    35   258   282   249   291 0.77 -
104016at50557_520822_0:000af5|STRG.9247.1:402-1526|+   -            375 68325at50557         -            295     2e-07   29.5   1.7   1   4     0.036       1.6    6.9   0.2   100   163    60   125    48   135 0.73 -
104016at50557_520822_0:000af5|STRG.9247.1:402-1526|+   -            375 68325at50557         -            295     2e-07   29.5   1.7   2   4      0.17       7.8    4.6   0.0    89   159   137   204   131   213 0.66 -
104016at50557_520822_0:000af5|STRG.9247.1:402-1526|+   -            375 68325at50557         -            295     2e-07   29.5   1.7   3   4   0.00039     0.017   13.3   0.0   100   161   238   299   227   305 0.82 -
104016at50557_520822_0:000af5|STRG.9247.1:402-1526|+   -            375 68325at50557         -            295     2e-07   29.5   1.7   4   4    0.0041      0.19   10.0   0.1    52    95   268   311   262   324 0.83 -
104016at50557_520822_0:000af5|STRG.9247.2:246-1370|+   -            375 68325at50557         -            295     2e-07   29.5   1.7   1   4     0.036       1.6    6.9   0.2   100   163    60   125    48   135 0.73 -
104016at50557_520822_0:000af5|STRG.9247.2:246-1370|+   -            375 68325at50557         -            295     2e-07   29.5   1.7   2   4      0.17       7.8    4.6   0.0    89   159   137   204   131   213 0.66 -
104016at50557_520822_0:000af5|STRG.9247.2:246-1370|+   -            375 68325at50557         -            295     2e-07   29.5   1.7   3   4   0.00039     0.017   13.3   0.0   100   161   238   299   227   305 0.82 -
104016at50557_520822_0:000af5|STRG.9247.2:246-1370|+   -            375 68325at50557         -            295     2e-07   29.5   1.7   4   4    0.0041      0.19   10.0   0.1    52    95   268   311   262   324 0.83 -
80377at50557_30019_0:0008bb|STRG.9983.1:229-996|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   1   4     0.013      0.58    8.3   0.1    89   126    51    87    47   105 0.83 -
80377at50557_30019_0:0008bb|STRG.9983.1:229-996|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   2   4   4.9e-05    0.0022   16.3   0.3   100   163   104   166    99   183 0.76 -
80377at50557_30019_0:0008bb|STRG.9983.1:229-996|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   3   4      0.04       1.8    6.7   0.0    97   129   143   175   124   200 0.78 -
80377at50557_30019_0:0008bb|STRG.9983.1:229-996|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   4   4      0.15       6.8    4.8   0.1    95   122   225   251   186   255 0.79 -
80377at50557_30019_0:0008bb|STRG.9983.2:216-983|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   1   4     0.013      0.58    8.3   0.1    89   126    51    87    47   105 0.83 -
80377at50557_30019_0:0008bb|STRG.9983.2:216-983|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   2   4   4.9e-05    0.0022   16.3   0.3   100   163   104   166    99   183 0.76 -
80377at50557_30019_0:0008bb|STRG.9983.2:216-983|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   3   4      0.04       1.8    6.7   0.0    97   129   143   175   124   200 0.78 -
80377at50557_30019_0:0008bb|STRG.9983.2:216-983|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   4   4      0.15       6.8    4.8   0.1    95   122   225   251   186   255 0.79 -
80377at50557_30019_0:0008bb|STRG.9983.3:140-907|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   1   4     0.013      0.58    8.3   0.1    89   126    51    87    47   105 0.83 -
80377at50557_30019_0:0008bb|STRG.9983.3:140-907|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   2   4   4.9e-05    0.0022   16.3   0.3   100   163   104   166    99   183 0.76 -
80377at50557_30019_0:0008bb|STRG.9983.3:140-907|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   3   4      0.04       1.8    6.7   0.0    97   129   143   175   124   200 0.78 -
80377at50557_30019_0:0008bb|STRG.9983.3:140-907|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   4   4      0.15       6.8    4.8   0.1    95   122   225   251   186   255 0.79 -
80377at50557_30019_0:0008bb|STRG.9983.4:175-942|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   1   4     0.013      0.58    8.3   0.1    89   126    51    87    47   105 0.83 -
80377at50557_30019_0:0008bb|STRG.9983.4:175-942|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   2   4   4.9e-05    0.0022   16.3   0.3   100   163   104   166    99   183 0.76 -
80377at50557_30019_0:0008bb|STRG.9983.4:175-942|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   3   4      0.04       1.8    6.7   0.0    97   129   143   175   124   200 0.78 -
80377at50557_30019_0:0008bb|STRG.9983.4:175-942|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   4   4      0.15       6.8    4.8   0.1    95   122   225   251   186   255 0.79 -
80377at50557_30019_0:0008bb|STRG.9983.5:175-942|+      -            256 68325at50557         -            295     2e-07   29.5   7.7   1   4     0.013      0.58    8.3   0.1    89   126    51    87    47   105 0.83 -
