#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
46658at50557_219809_0:0017ae|STRG.15304.1:515-1864|+  -            450 46658at50557         -            373  1.3e-239  793.8   1.4   1   1  1.3e-241  1.5e-239  793.5   1.4     1   373    36   434    36   434 0.97 -
35385at50557_7370_0:001aad|STRG.7999.1:679-2733|+     -            685 46658at50557         -            373   2.2e-48  164.4   0.0   1   1   2.9e-50   3.6e-48  163.7   0.0    25   339    91   437    73   467 0.81 -
35385at50557_7370_0:001aad|STRG.7999.2:375-2429|+     -            685 46658at50557         -            373   2.2e-48  164.4   0.0   1   1   2.9e-50   3.6e-48  163.7   0.0    25   339    91   437    73   467 0.81 -
35385at50557_7370_0:001aad|STRG.7999.3:375-2429|+     -            685 46658at50557         -            373   2.2e-48  164.4   0.0   1   1   2.9e-50   3.6e-48  163.7   0.0    25   339    91   437    73   467 0.81 -
35385at50557_7370_0:001aad|STRG.5763.1:1151-2458|+    -            436 46658at50557         -            373   1.2e-47  162.0   0.0   1   1   1.3e-49   1.6e-47  161.6   0.0    33   348    67   410    53   433 0.82 -
35385at50557_7370_0:001aad|STRG.5763.2:1147-2454|+    -            436 46658at50557         -            373   1.2e-47  162.0   0.0   1   1   1.3e-49   1.6e-47  161.6   0.0    33   348    67   410    53   433 0.82 -
35385at50557_7370_0:001aad|STRG.5763.3:909-2216|+     -            436 46658at50557         -            373   1.2e-47  162.0   0.0   1   1   1.3e-49   1.6e-47  161.6   0.0    33   348    67   410    53   433 0.82 -
35385at50557_7370_0:001aad|STRG.5763.4:1002-2309|+    -            436 46658at50557         -            373   1.2e-47  162.0   0.0   1   1   1.3e-49   1.6e-47  161.6   0.0    33   348    67   410    53   433 0.82 -
35385at50557_7370_0:001aad|STRG.5763.5:1114-2421|+    -            436 46658at50557         -            373   1.2e-47  162.0   0.0   1   1   1.3e-49   1.6e-47  161.6   0.0    33   348    67   410    53   433 0.82 -
35385at50557_7370_0:001aad|STRG.5763.6:804-2111|+     -            436 46658at50557         -            373   1.2e-47  162.0   0.0   1   1   1.3e-49   1.6e-47  161.6   0.0    33   348    67   410    53   433 0.82 -
35385at50557_7370_0:001aad|STRG.5763.7:1021-2328|+    -            436 46658at50557         -            373   1.2e-47  162.0   0.0   1   1   1.3e-49   1.6e-47  161.6   0.0    33   348    67   410    53   433 0.82 -
35385at50557_7370_0:001aad|STRG.5763.8:986-2293|+     -            436 46658at50557         -            373   1.2e-47  162.0   0.0   1   1   1.3e-49   1.6e-47  161.6   0.0    33   348    67   410    53   433 0.82 -
35385at50557_37001_0:001231|STRG.12011.1:406-1740|+   -            445 46658at50557         -            373   1.8e-46  158.1   0.0   1   1   2.1e-48   2.5e-46  157.6   0.0    25   339    51   397    36   427 0.82 -
35385at50557_37001_0:001231|STRG.12011.2:242-1576|+   -            445 46658at50557         -            373   1.8e-46  158.1   0.0   1   1   2.1e-48   2.5e-46  157.6   0.0    25   339    51   397    36   427 0.82 -
35385at50557_37001_0:001231|STRG.12011.3:406-1740|+   -            445 46658at50557         -            373   1.8e-46  158.1   0.0   1   1   2.1e-48   2.5e-46  157.6   0.0    25   339    51   397    36   427 0.82 -
35385at50557_7375_0:0001af|STRG.12011.5:599-1954|+    -            452 46658at50557         -            373   1.9e-46  158.0   0.0   1   1   2.2e-48   2.7e-46  157.6   0.0    25   339    59   405    44   435 0.82 -
65449at50557_7237_0:000776|STRG.8371.1:104-1294|+     -            397 46658at50557         -            373   3.6e-46  157.1   1.1   1   1   4.1e-48   4.9e-46  156.7   1.1    24   361    13   381     5   392 0.82 -
65449at50557_7237_0:000776|STRG.8371.2:276-1466|+     -            397 46658at50557         -            373   3.6e-46  157.1   1.1   1   1   4.1e-48   4.9e-46  156.7   1.1    24   361    13   381     5   392 0.82 -
35385at50557_37001_0:001231|STRG.12011.4:242-2355|+   -            430 46658at50557         -            373   7.9e-46  156.0   0.0   1   1   9.1e-48   1.1e-45  155.5   0.0    25   339    51   397    36   427 0.82 -
18450at50557_144034_0:001371|STRG.13693.1:169-3258|+  -           1030 46658at50557         -            373   1.4e-45  155.2   0.0   1   1   1.7e-47   2.1e-45  154.6   0.0    40   344   385   722   372   741 0.82 -
18450at50557_1155016_0:0026c2|STRG.6927.1:1125-2327|+ -            401 46658at50557         -            373   5.3e-44  150.0   0.0   1   1   6.5e-46   7.8e-44  149.4   0.0    24   339    14   370    10   390 0.79 -
18450at50557_1155016_0:0026c2|STRG.6927.2:1068-2270|+ -            401 46658at50557         -            373   5.3e-44  150.0   0.0   1   1   6.5e-46   7.8e-44  149.4   0.0    24   339    14   370    10   390 0.79 -
35385at50557_35570_0:00290c|STRG.2844.1:1014-2258|+   -            415 46658at50557         -            373   4.3e-43  147.0   0.0   1   2   8.4e-13     1e-10   40.5   0.0    25    87    11    73     7    78 0.90 -
35385at50557_35570_0:00290c|STRG.2844.1:1014-2258|+   -            415 46658at50557         -            373   4.3e-43  147.0   0.0   2   2   2.9e-32   3.5e-30  104.5   0.0    91   351    95   385    86   403 0.81 -
35385at50557_456900_0:001092|STRG.307.1:117-1994|+    -            626 46658at50557         -            373   2.5e-42  144.5   0.8   1   1   1.7e-43   2.1e-41  141.5   0.8    24   341   186   539   183   564 0.81 -
65449at50557_42026_0:002fbc|STRG.5863.1:304-1617|+    -            438 46658at50557         -            373   3.4e-42  144.0   0.2   1   1   3.7e-44   4.4e-42  143.7   0.2    25   354     1   362     1   379 0.85 -
29312at50557_116153_0:001f21|STRG.9559.1:754-1842|+   -            363 46658at50557         -            373   5.7e-42  143.3   0.3   1   1   5.4e-44   6.6e-42  143.1   0.3    25   348     2   356     1   363 0.83 -
29312at50557_34720_0:0009c1|STRG.4125.1:133-2436|+    -            768 46658at50557         -            373   7.4e-42  142.9   0.0   1   1   9.3e-44   1.1e-41  142.4   0.0    24   364   255   627   251   635 0.80 -
65449at50557_34720_0:000b83|STRG.4923.2:205-1974|+    -            590 46658at50557         -            373   1.5e-41  141.9   0.2   1   1   1.7e-43   2.1e-41  141.5   0.2    34   368    17   388     2   393 0.80 -
68043at50557_34720_0:001307|STRG.7857.2:128-1804|+    -            559 46658at50557         -            373     9e-41  139.4   0.0   1   1   1.2e-42   1.5e-40  138.6   0.0    28   356   139   500   130   512 0.80 -
68043at50557_34720_0:001307|STRG.7857.1:128-1804|+    -            559 46658at50557         -            373     9e-41  139.4   0.0   1   1   1.2e-42   1.5e-40  138.6   0.0    28   356   139   500   130   512 0.80 -
35385at50557_37001_0:001231|STRG.1830.2:1026-2255|+   -            410 46658at50557         -            373   4.7e-39  133.7   0.1   1   2   7.3e-17   8.8e-15   53.8   0.1    31   175    27   199    19   204 0.73 -
35385at50557_37001_0:001231|STRG.1830.2:1026-2255|+   -            410 46658at50557         -            373   4.7e-39  133.7   0.1   2   2   5.3e-24   6.3e-22   77.3   0.0   173   347   225   400   215   409 0.90 -
35385at50557_37001_0:001231|STRG.1830.3:1023-2252|+   -            410 46658at50557         -            373   4.7e-39  133.7   0.1   1   2   7.3e-17   8.8e-15   53.8   0.1    31   175    27   199    19   204 0.73 -
35385at50557_37001_0:001231|STRG.1830.3:1023-2252|+   -            410 46658at50557         -            373   4.7e-39  133.7   0.1   2   2   5.3e-24   6.3e-22   77.3   0.0   173   347   225   400   215   409 0.90 -
65449at50557_7237_0:000776|STRG.7536.1:178-1842|+     -            555 46658at50557         -            373   2.2e-35  121.7   0.8   1   1   2.4e-37   2.9e-35  121.2   0.1    32   342    75   417    51   432 0.83 -
65449at50557_7274_0:002e60|STRG.7536.2:274-1776|+     -            501 46658at50557         -            373   2.4e-35  121.5   1.1   1   1   2.2e-37   2.6e-35  121.4   0.2    33   342    22   363     5   378 0.83 -
41619at50557_34720_0:0004fb|STRG.2175.1:130-1770|+    -            547 46658at50557         -            373   5.6e-34  117.0   2.2   1   2   1.3e-27   1.6e-25   89.2   0.8    22   296    11   318     4   323 0.80 -
41619at50557_34720_0:0004fb|STRG.2175.1:130-1770|+    -            547 46658at50557         -            373   5.6e-34  117.0   2.2   2   2   1.1e-08   1.3e-06   26.9   0.0   299   358   344   404   335   416 0.87 -
65449at50557_199890_0:0002ce|STRG.4923.4:217-1849|+   -            539 46658at50557         -            373   5.1e-32  110.6   0.4   1   2   1.1e-25   1.3e-23   82.9   0.2    40   207    19   217     5   239 0.76 -
65449at50557_199890_0:0002ce|STRG.4923.4:217-1849|+   -            539 46658at50557         -            373   5.1e-32  110.6   0.4   2   2   3.2e-08   3.8e-06   25.4   0.0   296   368   269   342   258   347 0.83 -
65449at50557_7220_0:002055|STRG.16957.1:1209-3020|+   -            604 46658at50557         -            373     4e-30  104.3   0.3   1   2   2.1e-18   2.5e-16   58.9   0.1    42   173     4   162     1   167 0.73 -
65449at50557_7220_0:002055|STRG.16957.1:1209-3020|+   -            604 46658at50557         -            373     4e-30  104.3   0.3   2   2   1.5e-13   1.8e-11   43.0   0.0   266   361   401   496   396   508 0.87 -
25910at50557_103372_0:001a63|STRG.11026.2:0-2186|+    -            729 46658at50557         -            373   7.5e-30  103.4   0.6   1   3   4.4e-12   5.3e-10   38.1   0.0    24    90     3    69     1    99 0.94 -
25910at50557_103372_0:001a63|STRG.11026.2:0-2186|+    -            729 46658at50557         -            373   7.5e-30  103.4   0.6   2   3   1.8e-07   2.2e-05   22.9   0.0    88   204   286   431   282   456 0.70 -
25910at50557_103372_0:001a63|STRG.11026.2:0-2186|+    -            729 46658at50557         -            373   7.5e-30  103.4   0.6   3   3   2.2e-12   2.6e-10   39.1   0.0   236   341   503   611   491   619 0.88 -
25910at50557_520822_0:0021f4|STRG.11026.1:18-2186|+   -            723 46658at50557         -            373   8.3e-29  100.0   0.8   1   3   4.9e-11   5.9e-09   34.7   0.0    38    90    12    64     5    95 0.92 -
25910at50557_520822_0:0021f4|STRG.11026.1:18-2186|+   -            723 46658at50557         -            373   8.3e-29  100.0   0.8   2   3   1.8e-07   2.1e-05   23.0   0.0    88   204   281   426   277   451 0.70 -
25910at50557_520822_0:0021f4|STRG.11026.1:18-2186|+   -            723 46658at50557         -            373   8.3e-29  100.0   0.8   3   3   2.2e-12   2.6e-10   39.1   0.0   236   341   498   606   486   614 0.88 -
25910at50557_103372_0:001a63|STRG.11026.3:15-2153|+   -            713 46658at50557         -            373   2.4e-27   95.2   0.4   1   3   1.9e-09   2.3e-07   29.4   0.0    44    90     7    53     3    84 0.92 -
25910at50557_103372_0:001a63|STRG.11026.3:15-2153|+   -            713 46658at50557         -            373   2.4e-27   95.2   0.4   2   3   1.7e-07   2.1e-05   23.0   0.0    88   204   270   415   266   440 0.70 -
25910at50557_103372_0:001a63|STRG.11026.3:15-2153|+   -            713 46658at50557         -            373   2.4e-27   95.2   0.4   3   3   2.1e-12   2.5e-10   39.2   0.0   236   341   487   595   475   603 0.88 -
65449at50557_103372_0:002499|STRG.4923.3:205-885|+    -            227 46658at50557         -            373   8.9e-25   86.7   0.2   1   1   9.2e-27   1.1e-24   86.4   0.2    34   206    17   220     2   225 0.75 -
123578at50557_7168_0:0013fb|STRG.10928.1:397-1815|+   -            473 46658at50557         -            373   1.5e-24   86.0   1.7   1   1     3e-26   3.6e-24   84.7   1.7    24   364    76   464    57   471 0.75 -
123578at50557_7168_0:0013fb|STRG.10928.2:397-1815|+   -            473 46658at50557         -            373   1.5e-24   86.0   1.7   1   1     3e-26   3.6e-24   84.7   1.7    24   364    76   464    57   471 0.75 -
46658at50557_29031_0:002653|STRG.13327.3:503-976|+    -            158 46658at50557         -            373   1.7e-24   85.8   0.1   1   1   1.6e-26   1.9e-24   85.6   0.1   226   348     2   124     1   136 0.95 -
43304at50557_34720_0:00174e|STRG.9580.1:48-2264|+     -            739 46658at50557         -            373   2.2e-23   82.2   2.4   1   3   5.7e-06   0.00069   18.0   0.0    38    87   154   204   128   216 0.86 -
43304at50557_34720_0:00174e|STRG.9580.1:48-2264|+     -            739 46658at50557         -            373   2.2e-23   82.2   2.4   2   3   0.00016     0.019   13.2   0.1    90   185   256   379   252   404 0.62 -
43304at50557_34720_0:00174e|STRG.9580.1:48-2264|+     -            739 46658at50557         -            373   2.2e-23   82.2   2.4   3   3   2.1e-15   2.6e-13   49.0   0.1   234   357   456   580   415   597 0.87 -
43304at50557_34720_0:00174e|STRG.9580.2:48-2279|+     -            744 46658at50557         -            373   2.4e-23   82.0   2.5   1   3     6e-06   0.00072   17.9   0.0    38    87   154   204   128   211 0.85 -
43304at50557_34720_0:00174e|STRG.9580.2:48-2279|+     -            744 46658at50557         -            373   2.4e-23   82.0   2.5   2   3   0.00017     0.021   13.1   0.1    90   185   261   384   257   401 0.60 -
43304at50557_34720_0:00174e|STRG.9580.2:48-2279|+     -            744 46658at50557         -            373   2.4e-23   82.0   2.5   3   3   2.2e-15   2.6e-13   49.0   0.1   234   357   461   585   420   602 0.87 -
57791at50557_34720_0:001e64|STRG.12347.1:233-2176|+   -            648 46658at50557         -            373   2.7e-20   72.0   0.2   1   2   2.3e-05    0.0027   16.0   0.1    62   118   227   287   221   357 0.74 -
57791at50557_34720_0:001e64|STRG.12347.1:233-2176|+   -            648 46658at50557         -            373   2.7e-20   72.0   0.2   2   2   3.5e-16   4.2e-14   51.6   0.0   228   364   453   591   446   600 0.83 -
57791at50557_34720_0:001e64|STRG.12347.2:0-1967|+     -            656 46658at50557         -            373   2.8e-20   72.0   0.2   1   2   2.3e-05    0.0027   16.0   0.1    62   118   235   295   229   364 0.74 -
57791at50557_34720_0:001e64|STRG.12347.2:0-1967|+     -            656 46658at50557         -            373   2.8e-20   72.0   0.2   2   2   3.6e-16   4.3e-14   51.6   0.0   228   364   461   599   454   608 0.83 -
18450at50557_121845_0:000f40|STRG.1830.1:1343-2287|+  -            315 46658at50557         -            373     6e-17   61.0   0.2   1   2   3.8e-17   4.5e-15   54.8   0.1    31   175    35   207    27   212 0.73 -
18450at50557_121845_0:000f40|STRG.1830.1:1343-2287|+  -            315 46658at50557         -            373     6e-17   61.0   0.2   2   2      0.15        18    3.5   0.0   173   202   233   262   223   313 0.84 -
65449at50557_103372_0:002499|STRG.4923.1:240-862|+    -            158 46658at50557         -            373   2.7e-15   55.5   0.1   1   1   2.8e-17   3.3e-15   55.2   0.1    34   144    17   148     2   156 0.72 -
19244at50557_29053_0:002948|STRG.1344.2:1653-2840|+   -            396 46658at50557         -            373   1.4e-08   33.4   1.5   1   2      0.31        37    2.4   0.0    48   111     9    69     3    87 0.85 -
19244at50557_29053_0:002948|STRG.1344.2:1653-2840|+   -            396 46658at50557         -            373   1.4e-08   33.4   1.5   2   2   1.5e-09   1.9e-07   29.7   0.6   230   359   219   346   202   360 0.85 -
19244at50557_29053_0:002948|STRG.1344.3:1626-2813|+   -            396 46658at50557         -            373   1.4e-08   33.4   1.5   1   2      0.31        37    2.4   0.0    48   111     9    69     3    87 0.85 -
19244at50557_29053_0:002948|STRG.1344.3:1626-2813|+   -            396 46658at50557         -            373   1.4e-08   33.4   1.5   2   2   1.5e-09   1.9e-07   29.7   0.6   230   359   219   346   202   360 0.85 -
19244at50557_116153_0:001e22|STRG.1032.1:158-1183|+   -            342 46658at50557         -            373   1.4e-08   33.4   0.4   1   2       2.5   3.1e+02   -0.6   0.0    52   116    14    74     6    99 0.65 -
19244at50557_116153_0:001e22|STRG.1032.1:158-1183|+   -            342 46658at50557         -            373   1.4e-08   33.4   0.4   2   2   5.9e-10   7.1e-08   31.1   0.1   237   334   238   335   117   341 0.82 -
19244at50557_29053_0:002948|STRG.480.1:432-1661|+     -            410 46658at50557         -            373   9.7e-08   30.7   0.2   1   2       3.1   3.7e+02   -0.9   0.2   164   210   111   157    32   165 0.62 -
19244at50557_29053_0:002948|STRG.480.1:432-1661|+     -            410 46658at50557         -            373   9.7e-08   30.7   0.2   2   2   8.1e-10   9.7e-08   30.7   0.2   230   362   245   378   219   388 0.85 -
19244at50557_29053_0:002948|STRG.480.2:660-1889|+     -            410 46658at50557         -            373   9.7e-08   30.7   0.2   1   2       3.1   3.7e+02   -0.9   0.2   164   210   111   157    32   165 0.62 -
19244at50557_29053_0:002948|STRG.480.2:660-1889|+     -            410 46658at50557         -            373   9.7e-08   30.7   0.2   2   2   8.1e-10   9.7e-08   30.7   0.2   230   362   245   378   219   388 0.85 -
19244at50557_29053_0:002948|STRG.480.4:331-1560|+     -            410 46658at50557         -            373   9.7e-08   30.7   0.2   1   2       3.1   3.7e+02   -0.9   0.2   164   210   111   157    32   165 0.62 -
19244at50557_29053_0:002948|STRG.480.4:331-1560|+     -            410 46658at50557         -            373   9.7e-08   30.7   0.2   2   2   8.1e-10   9.7e-08   30.7   0.2   230   362   245   378   219   388 0.85 -
19244at50557_29053_0:002948|STRG.480.6:347-1576|+     -            410 46658at50557         -            373   9.7e-08   30.7   0.2   1   2       3.1   3.7e+02   -0.9   0.2   164   210   111   157    32   165 0.62 -
19244at50557_29053_0:002948|STRG.480.6:347-1576|+     -            410 46658at50557         -            373   9.7e-08   30.7   0.2   2   2   8.1e-10   9.7e-08   30.7   0.2   230   362   245   378   219   388 0.85 -
65449at50557_88501_0:00074b|STRG.4923.4:1040-4798|+   -           1041 46658at50557         -            373   2.6e-05   22.7   0.0   1   1   3.2e-07   3.9e-05   22.1   0.0   298   368     2    73     1    77 0.87 -
65449at50557_1629725_0:001b14|STRG.16957.2:593-1057|+ -            155 46658at50557         -            373   3.1e-05   22.4   0.0   1   1   3.4e-07   4.1e-05   22.0   0.0   296   361     1    66     1    78 0.83 -
19244at50557_34720_0:002014|STRG.12985.2:258-4712|+   -           1485 46658at50557         -            373   4.3e-05   22.0   0.6   1   2     0.021       2.5    6.3   0.0    49   139   796   888   781   898 0.83 -
19244at50557_34720_0:002014|STRG.12985.2:258-4712|+   -           1485 46658at50557         -            373   4.3e-05   22.0   0.6   2   2   0.00013     0.015   13.6   0.1   268   333  1061  1126  1051  1165 0.85 -
19244at50557_34720_0:002014|STRG.12985.1:101-4666|+   -           1522 46658at50557         -            373   4.5e-05   21.9   0.6   1   2     0.021       2.6    6.2   0.0    49   139   833   925   818   935 0.83 -
19244at50557_34720_0:002014|STRG.12985.1:101-4666|+   -           1522 46658at50557         -            373   4.5e-05   21.9   0.6   2   2   0.00013     0.016   13.5   0.1   268   333  1098  1163  1088  1202 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/46658at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/46658at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/46658at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:09:50 2024
# [ok]
