#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66691at50557_456900_0:002b0f|STRG.6704.1:456-1556|+    -            367 66691at50557         -            296  4.4e-145  481.5   9.9   1   1  2.1e-146  1.3e-144  479.9   9.9     1   290    15   355    15   360 0.89 -
40115at50557_156304_0:001c45|STRG.7719.1:147-1073|+    -            309 66691at50557         -            296   6.6e-15   54.1  10.7   3   3   1.1e-05    0.0007   17.9   0.2    23   183   140   287   137   305 0.81 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+    -            309 66691at50557         -            296   6.6e-15   54.1  10.7   1   3   1.1e-11   6.7e-10   37.7   0.9    27   200    18   178     6   186 0.89 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+    -            309 66691at50557         -            296   6.6e-15   54.1  10.7   2   3   6.6e-06   0.00042   18.7   0.3   119   201   104   179    97   217 0.62 -
40115at50557_156304_0:001c45|STRG.7719.4:189-1115|+    -            309 66691at50557         -            296   6.6e-15   54.1  10.7   3   3   1.1e-05    0.0007   17.9   0.2    23   183   140   287   137   305 0.81 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+    -            309 66691at50557         -            296   6.6e-15   54.1  10.7   1   3   1.1e-11   6.7e-10   37.7   0.9    27   200    18   178     6   186 0.89 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+    -            309 66691at50557         -            296   6.6e-15   54.1  10.7   2   3   6.6e-06   0.00042   18.7   0.3   119   201   104   179    97   217 0.62 -
40115at50557_156304_0:001c45|STRG.7719.5:297-1223|+    -            309 66691at50557         -            296   6.6e-15   54.1  10.7   3   3   1.1e-05    0.0007   17.9   0.2    23   183   140   287   137   305 0.81 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   1   6      0.64        41    2.3   0.0   120   146    15    40    11    50 0.83 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   2   6    0.0097      0.61    8.3   0.0    23    91    54   121    44   173 0.83 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   3   6       3.7   2.3e+02   -0.2   0.1    40    58   221   239   176   249 0.58 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   4   6   2.5e-06   0.00016   20.0   0.2    11    96   247   330   237   339 0.88 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   5   6      0.11         7    4.8   0.0    16    60   377   420   365   433 0.75 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   6   6   0.00012    0.0076   14.5   0.0    22    91   436   504   427   510 0.85 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   1   6      0.64        41    2.3   0.0   120   146    15    40    11    50 0.83 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   2   6    0.0097      0.61    8.3   0.0    23    91    54   121    44   173 0.83 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   3   6       3.7   2.3e+02   -0.2   0.1    40    58   221   239   176   249 0.58 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   4   6   2.5e-06   0.00016   20.0   0.2    11    96   247   330   237   339 0.88 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   5   6      0.11         7    4.8   0.0    16    60   377   420   365   433 0.75 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 66691at50557         -            296   6.9e-15   54.1   6.5   6   6   0.00012    0.0076   14.5   0.0    22    91   436   504   427   510 0.85 -
56099at50557_34720_0:001a91|STRG.10950.2:86-1417|+     -            444 66691at50557         -            296   3.9e-11   41.7   0.2   1   2    0.0021      0.13   10.5   0.0   120   198    67   139    63   145 0.81 -
56099at50557_34720_0:001a91|STRG.10950.2:86-1417|+     -            444 66691at50557         -            296   3.9e-11   41.7   0.2   2   2   4.1e-09   2.6e-07   29.2   0.1    29   150   237   355   206   366 0.83 -
78072at50557_7070_0:002a52|STRG.1939.1:1066-1908|+     -            281 66691at50557         -            296   5.9e-11   41.2   8.2   1   3       8.8   5.6e+02   -1.4   0.0    34    53     3    22     1    34 0.66 -
78072at50557_7070_0:002a52|STRG.1939.1:1066-1908|+     -            281 66691at50557         -            296   5.9e-11   41.2   8.2   2   3   1.8e-06   0.00011   20.5   1.5    24   142    35   146    25   153 0.84 -
78072at50557_7070_0:002a52|STRG.1939.1:1066-1908|+     -            281 66691at50557         -            296   5.9e-11   41.2   8.2   3   3   2.1e-07   1.3e-05   23.6   0.7    24   143   162   278   152   281 0.80 -
78072at50557_7070_0:002a52|STRG.1939.2:1025-1867|+     -            281 66691at50557         -            296   5.9e-11   41.2   8.2   1   3       8.8   5.6e+02   -1.4   0.0    34    53     3    22     1    34 0.66 -
78072at50557_7070_0:002a52|STRG.1939.2:1025-1867|+     -            281 66691at50557         -            296   5.9e-11   41.2   8.2   2   3   1.8e-06   0.00011   20.5   1.5    24   142    35   146    25   153 0.84 -
78072at50557_7070_0:002a52|STRG.1939.2:1025-1867|+     -            281 66691at50557         -            296   5.9e-11   41.2   8.2   3   3   2.1e-07   1.3e-05   23.6   0.7    24   143   162   278   152   281 0.80 -
71739at50557_30019_0:000544|STRG.9601.1:294-1151|+     -            286 66691at50557         -            296   6.4e-11   41.0   1.1   1   2   1.4e-06   8.8e-05   20.9   0.8    26   146    50   164    46   165 0.85 -
71739at50557_30019_0:000544|STRG.9601.1:294-1151|+     -            286 66691at50557         -            296   6.4e-11   41.0   1.1   2   2   2.2e-05    0.0014   16.9   0.1    39   189   147   281   129   286 0.65 -
49370at50557_2015173_0:001990|STRG.6458.1:624-1610|+   -            329 66691at50557         -            296   6.8e-10   37.7   0.2   1   2    0.0002     0.013   13.8   0.3    20    65    32    77    20   151 0.69 -
49370at50557_2015173_0:001990|STRG.6458.1:624-1610|+   -            329 66691at50557         -            296   6.8e-10   37.7   0.2   2   2   2.4e-06   0.00015   20.1   0.0    21   147   163   287   157   300 0.89 -
49370at50557_2015173_0:001990|STRG.6458.2:451-1437|+   -            329 66691at50557         -            296   6.8e-10   37.7   0.2   1   2    0.0002     0.013   13.8   0.3    20    65    32    77    20   151 0.69 -
49370at50557_2015173_0:001990|STRG.6458.2:451-1437|+   -            329 66691at50557         -            296   6.8e-10   37.7   0.2   2   2   2.4e-06   0.00015   20.1   0.0    21   147   163   287   157   300 0.89 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 66691at50557         -            296   2.3e-09   35.9   7.1   1   5   1.4e-05   0.00089   17.6   0.3    25    95     2    71     1    84 0.79 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 66691at50557         -            296   2.3e-09   35.9   7.1   2   5      0.17        11    4.2   0.0    25    59    87   121    83   139 0.72 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 66691at50557         -            296   2.3e-09   35.9   7.1   3   5     0.028       1.7    6.8   0.1    24    60   170   206   139   214 0.79 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 66691at50557         -            296   2.3e-09   35.9   7.1   4   5     0.029       1.8    6.7   0.0    25    62   214   251   205   256 0.88 -
40115at50557_110193_0:00292f|STRG.12771.1:689-1549|+   -            287 66691at50557         -            296   2.3e-09   35.9   7.1   5   5       1.9   1.2e+02    0.8   0.0    21    56   252   287   249   287 0.85 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 66691at50557         -            296   2.3e-09   35.9   7.1   1   5   1.4e-05   0.00089   17.6   0.3    25    95     2    71     1    84 0.79 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 66691at50557         -            296   2.3e-09   35.9   7.1   2   5      0.17        11    4.2   0.0    25    59    87   121    83   139 0.72 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 66691at50557         -            296   2.3e-09   35.9   7.1   3   5     0.028       1.7    6.8   0.1    24    60   170   206   139   214 0.79 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 66691at50557         -            296   2.3e-09   35.9   7.1   4   5     0.029       1.8    6.7   0.0    25    62   214   251   205   256 0.88 -
40115at50557_110193_0:00292f|STRG.12771.2:682-1542|+   -            287 66691at50557         -            296   2.3e-09   35.9   7.1   5   5       1.9   1.2e+02    0.8   0.0    21    56   252   287   249   287 0.85 -
13625at50557_34720_0:001854|STRG.9689.1:116-2605|+     -            830 66691at50557         -            296   5.2e-09   34.8   1.1   1   4   4.3e-07   2.7e-05   22.6   0.0    30   147    93   210    65   216 0.83 -
13625at50557_34720_0:001854|STRG.9689.1:116-2605|+     -            830 66691at50557         -            296   5.2e-09   34.8   1.1   2   4       3.1   1.9e+02    0.1   0.1   101   146   330   376   315   434 0.63 -
13625at50557_34720_0:001854|STRG.9689.1:116-2605|+     -            830 66691at50557         -            296   5.2e-09   34.8   1.1   3   4       1.4        87    1.2   0.1   118   193   433   501   397   528 0.73 -
13625at50557_34720_0:001854|STRG.9689.1:116-2605|+     -            830 66691at50557         -            296   5.2e-09   34.8   1.1   4   4     0.061       3.9    5.6   0.0    26    92   559   625   553   638 0.76 -
43121at50557_103372_0:001d6c|STRG.14418.2:0-1529|+     -            510 66691at50557         -            296   6.5e-09   34.5   0.6   1   2   5.6e-05    0.0036   15.6   0.0   110   201   205   297   195   306 0.90 -
43121at50557_103372_0:001d6c|STRG.14418.2:0-1529|+     -            510 66691at50557         -            296   6.5e-09   34.5   0.6   2   2     3e-05    0.0019   16.5   0.3   118   195   306   376   297   389 0.87 -
43121at50557_103372_0:001d6c|STRG.14418.1:108-1705|+   -            510 66691at50557         -            296   6.7e-09   34.4   0.6   1   2     6e-05    0.0038   15.5   0.0   110   201   205   297   196   305 0.91 -
43121at50557_103372_0:001d6c|STRG.14418.1:108-1705|+   -            510 66691at50557         -            296   6.7e-09   34.4   0.6   2   2   3.2e-05     0.002   16.4   0.3   118   195   306   376   298   390 0.87 -
80377at50557_37344_0:0017d3|STRG.15493.1:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   1   5     0.032         2    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.15493.1:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   2   5   0.00016      0.01   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.15493.1:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   3   5      0.43        27    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.15493.1:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   4   5     0.071       4.5    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.15493.1:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   5   5       5.1   3.2e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.15493.2:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   1   5     0.032         2    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.15493.2:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   2   5   0.00016      0.01   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.15493.2:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   3   5      0.43        27    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.15493.2:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   4   5     0.071       4.5    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.15493.2:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   5   5       5.1   3.2e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.15493.3:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   1   5     0.032         2    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.15493.3:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   2   5   0.00016      0.01   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.15493.3:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   3   5      0.43        27    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.15493.3:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   4   5     0.071       4.5    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.15493.3:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   5   5       5.1   3.2e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.15493.4:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   1   5     0.032         2    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.15493.4:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   2   5   0.00016      0.01   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.15493.4:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   3   5      0.43        27    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.15493.4:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   4   5     0.071       4.5    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.15493.4:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   5   5       5.1   3.2e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.15493.5:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   1   5     0.032         2    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.15493.5:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   2   5   0.00016      0.01   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.15493.5:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   3   5      0.43        27    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.15493.5:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   4   5     0.071       4.5    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.15493.5:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   5   5       5.1   3.2e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.15493.6:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   1   5     0.032         2    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.15493.6:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   2   5   0.00016      0.01   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.15493.6:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   3   5      0.43        27    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.15493.6:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   4   5     0.071       4.5    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.15493.6:881-1840|+    -            320 66691at50557         -            296   7.1e-09   34.3   1.8   5   5       5.1   3.2e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
40115at50557_144034_0:000898|STRG.16274.1:736-1605|+   -            290 66691at50557         -            296   1.1e-08   33.6   0.3   1   3    0.0057      0.36    9.0   0.3    25   102     2    77     1   111 0.84 -
40115at50557_144034_0:000898|STRG.16274.1:736-1605|+   -            290 66691at50557         -            296   1.1e-08   33.6   0.3   2   3       2.9   1.8e+02    0.2   0.0    40    62   104   126    76   133 0.72 -
40115at50557_144034_0:000898|STRG.16274.1:736-1605|+   -            290 66691at50557         -            296   1.1e-08   33.6   0.3   3   3   1.1e-06   6.8e-05   21.2   0.0    28   148   134   250   127   266 0.89 -
40115at50557_144034_0:000898|STRG.16274.2:769-1638|+   -            290 66691at50557         -            296   1.1e-08   33.6   0.3   1   3    0.0057      0.36    9.0   0.3    25   102     2    77     1   111 0.84 -
40115at50557_144034_0:000898|STRG.16274.2:769-1638|+   -            290 66691at50557         -            296   1.1e-08   33.6   0.3   2   3       2.9   1.8e+02    0.2   0.0    40    62   104   126    76   133 0.72 -
40115at50557_144034_0:000898|STRG.16274.2:769-1638|+   -            290 66691at50557         -            296   1.1e-08   33.6   0.3   3   3   1.1e-06   6.8e-05   21.2   0.0    28   148   134   250   127   266 0.89 -
56099at50557_56086_0:002294|STRG.10950.1:102-1414|+    -            411 66691at50557         -            296   1.7e-08   33.1   0.1   1   2       1.3        80    1.3   0.0   120   183    66   123    62   134 0.77 -
56099at50557_56086_0:002294|STRG.10950.1:102-1414|+    -            411 66691at50557         -            296   1.7e-08   33.1   0.1   2   2   3.5e-09   2.2e-07   29.4   0.1    29   150   208   326   177   337 0.83 -
80377at50557_166361_0:002fc1|STRG.1990.1:437-1150|+    -            238 66691at50557         -            296   1.9e-08   32.9   0.2   1   3     0.084       5.3    5.2   0.0   168   204     5    41     1    48 0.85 -
80377at50557_166361_0:002fc1|STRG.1990.1:437-1150|+    -            238 66691at50557         -            296   1.9e-08   32.9   0.2   2   3   2.6e-05    0.0017   16.7   0.0   122   149    68    95    64   108 0.83 -
80377at50557_166361_0:002fc1|STRG.1990.1:437-1150|+    -            238 66691at50557         -            296   1.9e-08   32.9   0.2   3   3     0.043       2.7    6.2   0.1    78   194   114   224   110   234 0.57 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 66691at50557         -            296   2.2e-08   32.7  10.2   1   4    0.0031      0.19    9.9   0.8   120   200   121   194   117   213 0.81 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 66691at50557         -            296   2.2e-08   32.7  10.2   2   4     0.066       4.2    5.5   1.2    23    84   199   263   191   282 0.68 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 66691at50557         -            296   2.2e-08   32.7  10.2   3   4     0.064       4.1    5.6   0.0   161   200   361   400   338   405 0.80 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 66691at50557         -            296   2.2e-08   32.7  10.2   4   4   0.00027     0.017   13.4   0.1    25    96   406   475   402   478 0.64 -
80377at50557_30019_0:0008bb|STRG.7719.3:370-972|+      -            201 66691at50557         -            296   2.5e-08   32.5   2.7   1   2   2.3e-06   0.00014   20.2   0.3    28   144     5   115     1   128 0.55 -
80377at50557_30019_0:0008bb|STRG.7719.3:370-972|+      -            201 66691at50557         -            296   2.5e-08   32.5   2.7   2   2   3.9e-06   0.00025   19.4   0.1    23   181    42   187    39   201 0.81 -
56099at50557_34720_0:001a91|STRG.10950.1:560-1426|+    -            289 66691at50557         -            296   6.8e-08   31.1   0.0   1   1   1.5e-09   9.7e-08   30.6   0.0    29   150    82   200    49   212 0.83 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 66691at50557         -            296   7.3e-08   31.0   7.4   1   5     0.085       5.4    5.2   0.1   261   295    16    49     4    50 0.66 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 66691at50557         -            296   7.3e-08   31.0   7.4   2   5     0.025       1.6    6.9   0.1   165   200    54    89    46   104 0.83 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 66691at50557         -            296   7.3e-08   31.0   7.4   3   5   0.00048      0.03   12.6   0.0    25    69   142   186   135   210 0.84 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 66691at50557         -            296   7.3e-08   31.0   7.4   4   5      0.45        28    2.8   0.0    27    60   186   219   181   226 0.86 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 66691at50557         -            296   7.3e-08   31.0   7.4   5   5      0.12       7.7    4.7   0.2    25    56   270   301   244   301 0.76 -
49370at50557_79782_0:001886|STRG.10460.1:1564-2550|+   -            329 66691at50557         -            296     8e-08   30.9   0.1   1   4   4.9e-05    0.0031   15.8   0.0    22    91    36   104    27   123 0.85 -
49370at50557_79782_0:001886|STRG.10460.1:1564-2550|+   -            329 66691at50557         -            296     8e-08   30.9   0.1   2   4         4   2.5e+02   -0.3   0.0    27    55   173   200   162   205 0.80 -
49370at50557_79782_0:001886|STRG.10460.1:1564-2550|+   -            329 66691at50557         -            296     8e-08   30.9   0.1   3   4      0.13       8.4    4.5   0.0    22    59   246   284   229   289 0.79 -
49370at50557_79782_0:001886|STRG.10460.1:1564-2550|+   -            329 66691at50557         -            296     8e-08   30.9   0.1   4   4      0.13       8.1    4.6   0.0    25    58   292   325   287   328 0.92 -
40115at50557_7370_0:002473|STRG.5214.2:613-1482|+      -            290 66691at50557         -            296     9e-08   30.7   1.4   1   2   5.2e-07   3.3e-05   22.3   0.3    26   200     2   163     1   169 0.87 -
40115at50557_7370_0:002473|STRG.5214.2:613-1482|+      -            290 66691at50557         -            296     9e-08   30.7   1.4   2   2      0.21        13    3.9   0.1    36    87   138   188   123   261 0.49 -
40115at50557_7370_0:002473|STRG.5214.3:431-1300|+      -            290 66691at50557         -            296     9e-08   30.7   1.4   1   2   5.2e-07   3.3e-05   22.3   0.3    26   200     2   163     1   169 0.87 -
40115at50557_7370_0:002473|STRG.5214.3:431-1300|+      -            290 66691at50557         -            296     9e-08   30.7   1.4   2   2      0.21        13    3.9   0.1    36    87   138   188   123   261 0.49 -
40115at50557_7370_0:002473|STRG.5214.4:227-1096|+      -            290 66691at50557         -            296     9e-08   30.7   1.4   1   2   5.2e-07   3.3e-05   22.3   0.3    26   200     2   163     1   169 0.87 -
40115at50557_7370_0:002473|STRG.5214.4:227-1096|+      -            290 66691at50557         -            296     9e-08   30.7   1.4   2   2      0.21        13    3.9   0.1    36    87   138   188   123   261 0.49 -
