#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108452at50557_144034_0:001560|STRG.9348.1:76-921|+      -            282 108452at50557        -            212  4.5e-113  375.1   1.2   1   1  1.7e-115  5.8e-113  374.7   1.2     1   201    16   229    16   235 0.95 -
108452at50557_7536_0:002ce9|STRG.11878.1:716-1156|+     -            147 108452at50557        -            212   1.3e-15   56.7   6.6   1   1   5.1e-18   1.7e-15   56.2   6.6   137   201    80   144    68   147 0.83 -
108452at50557_7536_0:002ce9|STRG.11878.2:716-1156|+     -            147 108452at50557        -            212   1.3e-15   56.7   6.6   1   1   5.1e-18   1.7e-15   56.2   6.6   137   201    80   144    68   147 0.83 -
108452at50557_7536_0:002ce9|STRG.11878.3:716-1156|+     -            147 108452at50557        -            212   1.3e-15   56.7   6.6   1   1   5.1e-18   1.7e-15   56.2   6.6   137   201    80   144    68   147 0.83 -
108452at50557_7536_0:002ce9|STRG.11878.4:644-1084|+     -            147 108452at50557        -            212   1.3e-15   56.7   6.6   1   1   5.1e-18   1.7e-15   56.2   6.6   137   201    80   144    68   147 0.83 -
108452at50557_121845_0:000f76|STRG.14645.1:4811-5125|+  -            105 108452at50557        -            212   3.6e-15   55.2  11.6   1   1   1.3e-17   4.5e-15   54.9  11.6   140   198     1    63     1    73 0.88 -
108452at50557_121845_0:000f76|STRG.14645.2:4790-5104|+  -            105 108452at50557        -            212   3.6e-15   55.2  11.6   1   1   1.3e-17   4.5e-15   54.9  11.6   140   198     1    63     1    73 0.88 -
48864at50557_520822_0:000d82|STRG.3343.1:304-1839|+     -            512 108452at50557        -            212   9.5e-11   40.7   3.3   1   2   9.6e-13   3.3e-10   39.0   0.6   110   178   110   179    97   194 0.77 -
48864at50557_520822_0:000d82|STRG.3343.1:304-1839|+     -            512 108452at50557        -            212   9.5e-11   40.7   3.3   2   2      0.25        84    1.7   0.1   186   203   247   264   242   272 0.74 -
28503at50557_69004_0:0020b1|STRG.8358.1:705-4058|+      -           1118 108452at50557        -            212   1.4e-10   40.2   6.4   1   1   9.3e-13   3.2e-10   39.0   6.4   145   200  1057  1115  1052  1117 0.84 -
60694at50557_315563_0:000bf8|STRG.14424.2:139-6141|+    -           2001 108452at50557        -            212   1.5e-10   40.1   7.6   1   1   1.3e-12   4.6e-10   38.5   7.6   137   200   112   178    84   189 0.80 -
60694at50557_315563_0:000bf8|STRG.14424.1:139-6159|+    -           2007 108452at50557        -            212   2.7e-10   39.2   8.9   1   1   2.4e-12   8.1e-10   37.7   8.9   133   200   114   184    93   195 0.79 -
23788at50557_378494_0:0029c0|STRG.10092.1:10701-10844|+ -             48 108452at50557        -            212   7.7e-09   34.5   8.9   1   1   2.4e-11   8.1e-09   34.4   8.9   156   196     4    48     1    48 0.83 -
23788at50557_378494_0:0029c0|STRG.10092.2:10170-10313|+ -             48 108452at50557        -            212   7.7e-09   34.5   8.9   1   1   2.4e-11   8.1e-09   34.4   8.9   156   196     4    48     1    48 0.83 -
23788at50557_378494_0:0029c0|STRG.10092.3:10309-10452|+ -             48 108452at50557        -            212   7.7e-09   34.5   8.9   1   1   2.4e-11   8.1e-09   34.4   8.9   156   196     4    48     1    48 0.83 -
23788at50557_378494_0:0029c0|STRG.10092.4:10110-10253|+ -             48 108452at50557        -            212   7.7e-09   34.5   8.9   1   1   2.4e-11   8.1e-09   34.4   8.9   156   196     4    48     1    48 0.83 -
108452at50557_7536_0:002ce9|STRG.16531.1:3049-3414|+    -            122 108452at50557        -            212   6.4e-08   31.5   0.0   1   1   2.1e-10   7.3e-08   31.3   0.0    24   122    20   122     4   122 0.82 -
43010at50557_246812_0:0014c3|STRG.1125.1:1836-2330|+    -            165 108452at50557        -            212     9e-06   24.5  12.9   1   1   4.3e-08   1.5e-05   23.8  12.9   139   195   108   165     5   165 0.68 -
43010at50557_246812_0:0014c3|STRG.1125.2:1774-2268|+    -            165 108452at50557        -            212     9e-06   24.5  12.9   1   1   4.3e-08   1.5e-05   23.8  12.9   139   195   108   165     5   165 0.68 -
43010at50557_246812_0:0014c3|STRG.1125.3:1786-2280|+    -            165 108452at50557        -            212     9e-06   24.5  12.9   1   1   4.3e-08   1.5e-05   23.8  12.9   139   195   108   165     5   165 0.68 -
43010at50557_246812_0:0014c3|STRG.1125.4:1786-2280|+    -            165 108452at50557        -            212     9e-06   24.5  12.9   1   1   4.3e-08   1.5e-05   23.8  12.9   139   195   108   165     5   165 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108452at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/108452at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108452at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:05:23 2024
# [ok]
