#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
34006at50557_34720_0:00248d|STRG.14891.1:159-2135|+    -            659 34006at50557         -            414  6.1e-229  758.9   4.6   1   1  6.7e-230  2.6e-228  756.8   4.6     1   414   178   643   178   643 0.93 -
13625at50557_34720_0:001854|STRG.9689.1:116-2605|+     -            830 34006at50557         -            414   5.5e-16   57.5   2.6   2   6      0.12       4.7    5.0   0.0   149   184   178   213   163   255 0.75 -
13625at50557_34720_0:001854|STRG.9689.1:116-2605|+     -            830 34006at50557         -            414   5.5e-16   57.5   2.6   3   6       1.8        70    1.2   0.0   154   198   350   395   341   404 0.73 -
13625at50557_34720_0:001854|STRG.9689.1:116-2605|+     -            830 34006at50557         -            414   5.5e-16   57.5   2.6   4   6   5.9e-09   2.3e-07   29.1   0.1   129   221   409   510   404   539 0.80 -
13625at50557_34720_0:001854|STRG.9689.1:116-2605|+     -            830 34006at50557         -            414   5.5e-16   57.5   2.6   5   6   0.00018    0.0071   14.3   0.0   111   183   563   636   553   646 0.76 -
13625at50557_34720_0:001854|STRG.9689.1:116-2605|+     -            830 34006at50557         -            414   5.5e-16   57.5   2.6   6   6       9.1   3.6e+02   -1.2   0.0   152   185   666   700   638   713 0.68 -
80377at50557_166361_0:002fc1|STRG.1990.1:437-1150|+    -            238 34006at50557         -            414   7.4e-16   57.1   0.5   1   2   0.00086     0.034   12.1   0.0   153   189     5    41     2    47 0.87 -
80377at50557_166361_0:002fc1|STRG.1990.1:437-1150|+    -            238 34006at50557         -            414   7.4e-16   57.1   0.5   2   2   1.1e-11   4.2e-10   38.1   0.1    15   182    67   227    59   230 0.75 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 34006at50557         -            414   2.5e-15   55.3   3.9   1   3   0.00015    0.0059   14.6   0.2   108   194    10    99     3   117 0.76 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 34006at50557         -            414   2.5e-15   55.3   3.9   2   3   6.9e-05    0.0027   15.7   0.1   155   223   107   182    96   198 0.68 -
43553at50557_79782_0:002ee3|STRG.1065.1:238-1140|+     -            301 34006at50557         -            414   2.5e-15   55.3   3.9   3   3     3e-08   1.2e-06   26.7   0.1   111   214   186   301   181   301 0.70 -
40115at50557_7370_0:002473|STRG.5214.2:613-1482|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   1   4      0.04       1.6    6.6   0.0   189   245     5    65     2    66 0.85 -
40115at50557_7370_0:002473|STRG.5214.2:613-1482|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   2   4   8.1e-07   3.2e-05   22.1   0.1   127   184    62   120    53   132 0.88 -
40115at50557_7370_0:002473|STRG.5214.2:613-1482|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   3   4   2.6e-11     1e-09   36.8   0.1   110   236    86   224    83   263 0.74 -
40115at50557_7370_0:002473|STRG.5214.2:613-1482|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   4   4       5.4   2.1e+02   -0.4   0.0    23    45   229   251   216   281 0.65 -
40115at50557_7370_0:002473|STRG.5214.3:431-1300|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   1   4      0.04       1.6    6.6   0.0   189   245     5    65     2    66 0.85 -
40115at50557_7370_0:002473|STRG.5214.3:431-1300|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   2   4   8.1e-07   3.2e-05   22.1   0.1   127   184    62   120    53   132 0.88 -
40115at50557_7370_0:002473|STRG.5214.3:431-1300|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   3   4   2.6e-11     1e-09   36.8   0.1   110   236    86   224    83   263 0.74 -
40115at50557_7370_0:002473|STRG.5214.3:431-1300|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   4   4       5.4   2.1e+02   -0.4   0.0    23    45   229   251   216   281 0.65 -
40115at50557_7370_0:002473|STRG.5214.4:227-1096|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   1   4      0.04       1.6    6.6   0.0   189   245     5    65     2    66 0.85 -
40115at50557_7370_0:002473|STRG.5214.4:227-1096|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   2   4   8.1e-07   3.2e-05   22.1   0.1   127   184    62   120    53   132 0.88 -
40115at50557_7370_0:002473|STRG.5214.4:227-1096|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   3   4   2.6e-11     1e-09   36.8   0.1   110   236    86   224    83   263 0.74 -
40115at50557_7370_0:002473|STRG.5214.4:227-1096|+      -            290 34006at50557         -            414   8.5e-15   53.6   0.9   4   4       5.4   2.1e+02   -0.4   0.0    23    45   229   251   216   281 0.65 -
40115at50557_144034_0:000898|STRG.16274.1:736-1605|+   -            290 34006at50557         -            414   1.6e-14   52.7   2.8   1   3   0.00012    0.0048   14.9   0.1   110   183     3    78     1    88 0.79 -
40115at50557_144034_0:000898|STRG.16274.1:736-1605|+   -            290 34006at50557         -            414   1.6e-14   52.7   2.8   2   3   1.2e-10   4.9e-09   34.6   0.1   110   242    91   236    84   239 0.81 -
40115at50557_144034_0:000898|STRG.16274.1:736-1605|+   -            290 34006at50557         -            414   1.6e-14   52.7   2.8   3   3   0.00054     0.021   12.7   0.1   127   214   192   290   190   290 0.70 -
40115at50557_144034_0:000898|STRG.16274.2:769-1638|+   -            290 34006at50557         -            414   1.6e-14   52.7   2.8   1   3   0.00012    0.0048   14.9   0.1   110   183     3    78     1    88 0.79 -
40115at50557_144034_0:000898|STRG.16274.2:769-1638|+   -            290 34006at50557         -            414   1.6e-14   52.7   2.8   2   3   1.2e-10   4.9e-09   34.6   0.1   110   242    91   236    84   239 0.81 -
40115at50557_144034_0:000898|STRG.16274.2:769-1638|+   -            290 34006at50557         -            414   1.6e-14   52.7   2.8   3   3   0.00054     0.021   12.7   0.1   127   214   192   290   190   290 0.70 -
49370at50557_2015173_0:001990|STRG.6458.1:624-1610|+   -            329 34006at50557         -            414   3.1e-14   51.7   2.1   1   3   3.4e-05    0.0013   16.7   0.1   110   181    38   111    30   115 0.82 -
49370at50557_2015173_0:001990|STRG.6458.1:624-1610|+   -            329 34006at50557         -            414   3.1e-14   51.7   2.1   2   3     1e-08     4e-07   28.3   0.0   106   227   121   255   113   265 0.77 -
49370at50557_2015173_0:001990|STRG.6458.1:624-1610|+   -            329 34006at50557         -            414   3.1e-14   51.7   2.1   3   3     0.099       3.9    5.3   0.0   159   214   265   328   250   329 0.47 -
49370at50557_2015173_0:001990|STRG.6458.2:451-1437|+   -            329 34006at50557         -            414   3.1e-14   51.7   2.1   1   3   3.4e-05    0.0013   16.7   0.1   110   181    38   111    30   115 0.82 -
49370at50557_2015173_0:001990|STRG.6458.2:451-1437|+   -            329 34006at50557         -            414   3.1e-14   51.7   2.1   2   3     1e-08     4e-07   28.3   0.0   106   227   121   255   113   265 0.77 -
49370at50557_2015173_0:001990|STRG.6458.2:451-1437|+   -            329 34006at50557         -            414   3.1e-14   51.7   2.1   3   3     0.099       3.9    5.3   0.0   159   214   265   328   250   329 0.47 -
80377at50557_456900_0:000374|STRG.1093.1:114-1160|+    -            349 34006at50557         -            414     5e-14   51.0   0.3   1   2   3.7e-13   1.4e-11   42.9   0.2   105   220   134   259    46   298 0.71 -
80377at50557_456900_0:000374|STRG.1093.1:114-1160|+    -            349 34006at50557         -            414     5e-14   51.0   0.3   2   2       1.5        59    1.4   0.0   154   183   277   306   264   326 0.80 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 34006at50557         -            414   8.5e-14   50.3   8.0   1   4    0.0014     0.057   11.3   0.0    11    42   118   149   109   155 0.86 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 34006at50557         -            414   8.5e-14   50.3   8.0   2   4      0.48        19    3.0   0.0   154   183   163   192   157   203 0.81 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 34006at50557         -            414   8.5e-14   50.3   8.0   3   4    0.0016     0.061   11.2   1.0   118   181   212   279   194   290 0.61 -
40115at50557_103372_0:0021d6|STRG.7491.1:218-1660|+    -            481 34006at50557         -            414   8.5e-14   50.3   8.0   4   4   9.9e-08   3.9e-06   25.0   0.0   119   220   332   443   327   470 0.78 -
80377at50557_568069_0:004eea|STRG.1214.1:96-950|+      -            285 34006at50557         -            414   2.2e-13   48.9   0.5   1   3         1        40    2.0   0.1    15    41    10    36     1    49 0.66 -
80377at50557_568069_0:004eea|STRG.1214.1:96-950|+      -            285 34006at50557         -            414   2.2e-13   48.9   0.5   2   3   2.2e-09   8.6e-08   30.5   0.2   111   191    50   132    40   154 0.86 -
80377at50557_568069_0:004eea|STRG.1214.1:96-950|+      -            285 34006at50557         -            414   2.2e-13   48.9   0.5   3   3   0.00032     0.013   13.5   0.0    15    76   179   235   161   252 0.76 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 34006at50557         -            414   2.2e-13   48.9  11.7   1   3   4.1e-08   1.6e-06   26.3   0.3   119   216    13   119     2   127 0.78 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 34006at50557         -            414   2.2e-13   48.9  11.7   2   3   8.4e-08   3.3e-06   25.3   1.8    10   144    44   164    38   222 0.63 -
57752at50557_121225_0:0018b6|STRG.7485.1:539-1453|+    -            305 34006at50557         -            414   2.2e-13   48.9  11.7   3   3   1.9e-05   0.00075   17.5   0.1   127   215   207   305   186   305 0.74 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 34006at50557         -            414   2.2e-13   48.9  11.7   1   3   4.1e-08   1.6e-06   26.3   0.3   119   216    13   119     2   127 0.78 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 34006at50557         -            414   2.2e-13   48.9  11.7   2   3   8.4e-08   3.3e-06   25.3   1.8    10   144    44   164    38   222 0.63 -
57752at50557_121225_0:0018b6|STRG.7485.2:537-1451|+    -            305 34006at50557         -            414   2.2e-13   48.9  11.7   3   3   1.9e-05   0.00075   17.5   0.1   127   215   207   305   186   305 0.74 -
80377at50557_30019_0:0008bb|STRG.10204.1:1108-1968|+   -            287 34006at50557         -            414   5.1e-13   47.7   5.6   1   3     0.018       0.7    7.7   0.1   192   216    19    43     9    85 0.70 -
80377at50557_30019_0:0008bb|STRG.10204.1:1108-1968|+   -            287 34006at50557         -            414   5.1e-13   47.7   5.6   2   3   7.3e-08   2.9e-06   25.5   0.3   110   217    93   204    87   213 0.79 -
80377at50557_30019_0:0008bb|STRG.10204.1:1108-1968|+   -            287 34006at50557         -            414   5.1e-13   47.7   5.6   3   3   8.4e-07   3.3e-05   22.0   0.3   127   217   189   287   173   287 0.76 -
80377at50557_30019_0:0008bb|STRG.10204.2:1031-1891|+   -            287 34006at50557         -            414   5.1e-13   47.7   5.6   1   3     0.018       0.7    7.7   0.1   192   216    19    43     9    85 0.70 -
80377at50557_30019_0:0008bb|STRG.10204.2:1031-1891|+   -            287 34006at50557         -            414   5.1e-13   47.7   5.6   2   3   7.3e-08   2.9e-06   25.5   0.3   110   217    93   204    87   213 0.79 -
80377at50557_30019_0:0008bb|STRG.10204.2:1031-1891|+   -            287 34006at50557         -            414   5.1e-13   47.7   5.6   3   3   8.4e-07   3.3e-05   22.0   0.3   127   217   189   287   173   287 0.76 -
80377at50557_30019_0:0008bb|STRG.10204.3:1031-1891|+   -            287 34006at50557         -            414   5.1e-13   47.7   5.6   1   3     0.018       0.7    7.7   0.1   192   216    19    43     9    85 0.70 -
80377at50557_30019_0:0008bb|STRG.10204.3:1031-1891|+   -            287 34006at50557         -            414   5.1e-13   47.7   5.6   2   3   7.3e-08   2.9e-06   25.5   0.3   110   217    93   204    87   213 0.79 -
80377at50557_30019_0:0008bb|STRG.10204.3:1031-1891|+   -            287 34006at50557         -            414   5.1e-13   47.7   5.6   3   3   8.4e-07   3.3e-05   22.0   0.3   127   217   189   287   173   287 0.76 -
48053at50557_104421_0:0017a2|STRG.1224.1:20-1552|+     -            511 34006at50557         -            414   5.2e-13   47.7   0.2   1   3    0.0047      0.18    9.7   0.0    52   142   211   301   206   317 0.70 -
48053at50557_104421_0:0017a2|STRG.1224.1:20-1552|+     -            511 34006at50557         -            414   5.2e-13   47.7   0.2   2   3   8.5e-10   3.4e-08   31.8   0.0   156   241   359   455   309   464 0.77 -
48053at50557_104421_0:0017a2|STRG.1224.1:20-1552|+     -            511 34006at50557         -            414   5.2e-13   47.7   0.2   3   3     0.048       1.9    6.3   0.1   159   216   447   510   443   511 0.78 -
14512at50557_103372_0:0005b9|STRG.9027.1:361-2940|+    -            860 34006at50557         -            414   8.1e-13   47.1   0.0   1   1   6.9e-14   2.7e-12   45.3   0.0   110   267    58   224    39   259 0.77 -
14512at50557_103372_0:0005b9|STRG.9027.2:361-2997|+    -            879 34006at50557         -            414   8.5e-13   47.0   0.0   1   1     8e-14   3.2e-12   45.1   0.0   110   267    58   224    52   259 0.76 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 34006at50557         -            414   6.8e-12   44.0   7.9   1   5    0.0075      0.29    9.0   0.0   185   246    10    79     3   101 0.75 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 34006at50557         -            414   6.8e-12   44.0   7.9   2   5   9.4e-05    0.0037   15.2   0.1   127   229    75   187    58   205 0.63 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 34006at50557         -            414   6.8e-12   44.0   7.9   3   5       0.8        32    2.3   0.1   117   169   214   269   208   276 0.68 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 34006at50557         -            414   6.8e-12   44.0   7.9   4   5     1e-06   4.1e-05   21.7   0.3   111   193   263   347   253   353 0.88 -
40115at50557_7213_0:0002de|STRG.10460.1:364-1902|+     -            513 34006at50557         -            414   6.8e-12   44.0   7.9   5   5      0.74        29    2.4   0.1   128   177   459   510   441   513 0.57 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 34006at50557         -            414   6.8e-12   44.0   7.9   1   5    0.0075      0.29    9.0   0.0   185   246    10    79     3   101 0.75 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 34006at50557         -            414   6.8e-12   44.0   7.9   2   5   9.4e-05    0.0037   15.2   0.1   127   229    75   187    58   205 0.63 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 34006at50557         -            414   6.8e-12   44.0   7.9   3   5       0.8        32    2.3   0.1   117   169   214   269   208   276 0.68 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 34006at50557         -            414   6.8e-12   44.0   7.9   4   5     1e-06   4.1e-05   21.7   0.3   111   193   263   347   253   353 0.88 -
40115at50557_7213_0:0002de|STRG.10460.2:403-1941|+     -            513 34006at50557         -            414   6.8e-12   44.0   7.9   5   5      0.74        29    2.4   0.1   128   177   459   510   441   513 0.57 -
80377at50557_30019_0:0008bb|STRG.7719.3:370-972|+      -            201 34006at50557         -            414   8.7e-12   43.7   0.7   1   3    0.0042      0.17    9.8   0.0   187   244     4    65     1    66 0.77 -
80377at50557_30019_0:0008bb|STRG.7719.3:370-972|+      -            201 34006at50557         -            414   8.7e-12   43.7   0.7   2   3     5e-09     2e-07   29.3   0.2   111   217    46   162    40   169 0.81 -
80377at50557_30019_0:0008bb|STRG.7719.3:370-972|+      -            201 34006at50557         -            414   8.7e-12   43.7   0.7   3   3    0.0002    0.0078   14.2   0.0   119   180   140   201   130   201 0.73 -
33043at50557_7038_0:0032a9|STRG.13656.1:347-2239|+     -            631 34006at50557         -            414   1.3e-11   43.1  12.4   1   4      0.26        10    3.9   0.1    68   222    85   159    19   198 0.49 -
33043at50557_7038_0:0032a9|STRG.13656.1:347-2239|+     -            631 34006at50557         -            414   1.3e-11   43.1  12.4   2   4   0.00027      0.01   13.8   0.3   120   220   349   459   329   467 0.70 -
33043at50557_7038_0:0032a9|STRG.13656.1:347-2239|+     -            631 34006at50557         -            414   1.3e-11   43.1  12.4   3   4   1.1e-05   0.00043   18.3   0.3   153   249   427   533   403   548 0.73 -
33043at50557_7038_0:0032a9|STRG.13656.1:347-2239|+     -            631 34006at50557         -            414   1.3e-11   43.1  12.4   4   4     1e-06   3.9e-05   21.7   0.6   124   182   566   625   550   630 0.83 -
40115at50557_103372_0:0021d6|STRG.7491.2:2-1190|+      -            374 34006at50557         -            414   1.9e-11   42.6   5.6   1   4       0.2       7.7    4.3   0.0   153   182    31    60     6    70 0.65 -
40115at50557_103372_0:0021d6|STRG.7491.2:2-1190|+      -            374 34006at50557         -            414   1.9e-11   42.6   5.6   2   4      0.27        11    3.8   0.0   161   182    39    60    21    90 0.68 -
40115at50557_103372_0:0021d6|STRG.7491.2:2-1190|+      -            374 34006at50557         -            414   1.9e-11   42.6   5.6   3   4    0.0011     0.041   11.8   0.9   118   181   105   172    87   183 0.60 -
40115at50557_103372_0:0021d6|STRG.7491.2:2-1190|+      -            374 34006at50557         -            414   1.9e-11   42.6   5.6   4   4   6.1e-08   2.4e-06   25.7   0.0   119   220   225   336   220   363 0.78 -
40115at50557_1629725_0:001335|STRG.7122.1:1532-2335|+  -            268 34006at50557         -            414   2.3e-11   42.3   8.0   1   3     1e-05    0.0004   18.4   1.3   131   219     7   100     1   108 0.73 -
40115at50557_1629725_0:001335|STRG.7122.1:1532-2335|+  -            268 34006at50557         -            414   2.3e-11   42.3   8.0   2   3   7.6e-08     3e-06   25.4   0.2   111   218   111   222   106   233 0.73 -
40115at50557_1629725_0:001335|STRG.7122.1:1532-2335|+  -            268 34006at50557         -            414   2.3e-11   42.3   8.0   3   3       1.6        61    1.3   0.0   185   215   238   268   231   268 0.85 -
40115at50557_1629725_0:001335|STRG.7122.2:1532-2335|+  -            268 34006at50557         -            414   2.3e-11   42.3   8.0   1   3     1e-05    0.0004   18.4   1.3   131   219     7   100     1   108 0.73 -
40115at50557_1629725_0:001335|STRG.7122.2:1532-2335|+  -            268 34006at50557         -            414   2.3e-11   42.3   8.0   2   3   7.6e-08     3e-06   25.4   0.2   111   218   111   222   106   233 0.73 -
40115at50557_1629725_0:001335|STRG.7122.2:1532-2335|+  -            268 34006at50557         -            414   2.3e-11   42.3   8.0   3   3       1.6        61    1.3   0.0   185   215   238   268   231   268 0.85 -
49370at50557_456900_0:00265d|STRG.16305.2:214-1782|+   -            523 34006at50557         -            414   2.6e-11   42.1   0.9   1   3       6.8   2.7e+02   -0.8   0.0   233   246   230   243   220   305 0.76 -
49370at50557_456900_0:00265d|STRG.16305.2:214-1782|+   -            523 34006at50557         -            414   2.6e-11   42.1   0.9   2   3   8.2e-10   3.2e-08   31.9   0.1   118   218   331   439   311   451 0.78 -
49370at50557_456900_0:00265d|STRG.16305.2:214-1782|+   -            523 34006at50557         -            414   2.6e-11   42.1   0.9   3   3     0.037       1.5    6.7   0.0   121   180   460   520   444   522 0.77 -
49370at50557_456900_0:00265d|STRG.16305.1:416-1981|+   -            522 34006at50557         -            414   2.8e-11   42.0   0.9   1   3       7.4   2.9e+02   -0.9   0.0   233   246   230   243   224   305 0.76 -
49370at50557_456900_0:00265d|STRG.16305.1:416-1981|+   -            522 34006at50557         -            414   2.8e-11   42.0   0.9   2   3   7.5e-10   2.9e-08   32.0   0.1   118   218   331   439   311   453 0.78 -
49370at50557_456900_0:00265d|STRG.16305.1:416-1981|+   -            522 34006at50557         -            414   2.8e-11   42.0   0.9   3   3     0.037       1.5    6.7   0.0   121   180   460   520   444   522 0.77 -
80377at50557_30019_0:0008bb|STRG.9983.1:229-996|+      -            256 34006at50557         -            414   6.9e-11   40.7   2.1   1   2     4e-08   1.6e-06   26.4   0.2   116   218    52   163    36   168 0.82 -
80377at50557_30019_0:0008bb|STRG.9983.1:229-996|+      -            256 34006at50557         -            414   6.9e-11   40.7   2.1   2   2   0.00043     0.017   13.1   0.1   157   220   176   249   168   255 0.75 -
80377at50557_30019_0:0008bb|STRG.9983.2:216-983|+      -            256 34006at50557         -            414   6.9e-11   40.7   2.1   1   2     4e-08   1.6e-06   26.4   0.2   116   218    52   163    36   168 0.82 -
80377at50557_30019_0:0008bb|STRG.9983.2:216-983|+      -            256 34006at50557         -            414   6.9e-11   40.7   2.1   2   2   0.00043     0.017   13.1   0.1   157   220   176   249   168   255 0.75 -
80377at50557_30019_0:0008bb|STRG.9983.3:140-907|+      -            256 34006at50557         -            414   6.9e-11   40.7   2.1   1   2     4e-08   1.6e-06   26.4   0.2   116   218    52   163    36   168 0.82 -
80377at50557_30019_0:0008bb|STRG.9983.3:140-907|+      -            256 34006at50557         -            414   6.9e-11   40.7   2.1   2   2   0.00043     0.017   13.1   0.1   157   220   176   249   168   255 0.75 -
80377at50557_30019_0:0008bb|STRG.9983.4:175-942|+      -            256 34006at50557         -            414   6.9e-11   40.7   2.1   1   2     4e-08   1.6e-06   26.4   0.2   116   218    52   163    36   168 0.82 -
80377at50557_30019_0:0008bb|STRG.9983.4:175-942|+      -            256 34006at50557         -            414   6.9e-11   40.7   2.1   2   2   0.00043     0.017   13.1   0.1   157   220   176   249   168   255 0.75 -
80377at50557_30019_0:0008bb|STRG.9983.5:175-942|+      -            256 34006at50557         -            414   6.9e-11   40.7   2.1   1   2     4e-08   1.6e-06   26.4   0.2   116   218    52   163    36   168 0.82 -
80377at50557_30019_0:0008bb|STRG.9983.5:175-942|+      -            256 34006at50557         -            414   6.9e-11   40.7   2.1   2   2   0.00043     0.017   13.1   0.1   157   220   176   249   168   255 0.75 -
31374at50557_103372_0:0017b9|STRG.16521.1:92-2047|+    -            652 34006at50557         -            414   7.1e-11   40.7   0.2   1   2     0.098       3.8    5.3   0.1   123   181   408   467   369   476 0.62 -
31374at50557_103372_0:0017b9|STRG.16521.1:92-2047|+    -            652 34006at50557         -            414   7.1e-11   40.7   0.2   2   2   8.1e-10   3.2e-08   31.9   0.0   111   221   479   599   474   615 0.83 -
