#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_307658_0:00251a|STRG.5227.15:123-929|+   -            269 89317at50557         -            194    3e-113  375.6  14.0   1   1    1e-115  3.5e-113  375.4  14.0     1   194    21   234    21   234 0.95 -
89317at50557_54969_0:001249|STRG.2689.5:734-1417|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   3   3   7.2e-11   2.5e-08   33.3   0.9     3    54   169   222   167   228 0.90 -
89317at50557_54969_0:001249|STRG.2689.6:623-1306|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   1   3    0.0001     0.036   13.2   1.9     3    57     2    58     1    76 0.85 -
89317at50557_54969_0:001249|STRG.2689.6:623-1306|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   2   3   3.1e-08     1e-05   24.7   0.2     2    56    82   137    81   148 0.87 -
89317at50557_54969_0:001249|STRG.2689.6:623-1306|+    -            228 89317at50557         -            194     2e-17   62.9  14.5   3   3   7.2e-11   2.5e-08   33.3   0.9     3    54   169   222   167   228 0.90 -
89317at50557_38123_0:00252b|STRG.5230.1:693-1013|+    -            107 89317at50557         -            194   3.9e-12   45.7   3.8   1   1   2.7e-14   9.2e-12   44.5   3.8     8   105     1   107     1   107 0.85 -
89317at50557_28612_0:006203|STRG.12850.1:551-778|+    -             76 89317at50557         -            194   1.8e-11   43.5   1.7   1   1   5.8e-14     2e-11   43.4   1.7     1    56     8    63     8    73 0.94 -
89317at50557_28612_0:006203|STRG.12850.2:551-778|+    -             76 89317at50557         -            194   1.8e-11   43.5   1.7   1   1   5.8e-14     2e-11   43.4   1.7     1    56     8    63     8    73 0.94 -
89317at50557_680683_0:000b83|STRG.16716.1:3390-4082|+ -            231 89317at50557         -            194   2.8e-11   42.9  10.4   1   2   2.9e-05    0.0097   15.0   0.2    74   113     6    45     1    70 0.60 -
89317at50557_680683_0:000b83|STRG.16716.1:3390-4082|+ -            231 89317at50557         -            194   2.8e-11   42.9  10.4   2   2   3.9e-10   1.3e-07   30.9   4.9     8   111   109   218   102   230 0.82 -
89317at50557_7536_0:004844|STRG.4105.1:998-1369|+     -            124 89317at50557         -            194   3.1e-09   36.2   7.0   1   2   0.00049      0.17   11.0   0.3    31    55    12    36     4    67 0.90 -
89317at50557_7536_0:004844|STRG.4105.1:998-1369|+     -            124 89317at50557         -            194   3.1e-09   36.2   7.0   2   2   2.4e-09   8.2e-07   28.3   2.1    10    56    75   123    65   124 0.88 -
89317at50557_66420_0:0017df|STRG.1367.1:1264-1665|+   -            134 89317at50557         -            194   5.4e-07   28.9   3.3   1   1   2.1e-08   7.3e-06   25.2   3.3    72   180     9   132     1   134 0.68 -
89317at50557_66420_0:0017df|STRG.1367.2:2204-2605|+   -            134 89317at50557         -            194   5.4e-07   28.9   3.3   1   1   2.1e-08   7.3e-06   25.2   3.3    72   180     9   132     1   134 0.68 -
89317at50557_66420_0:0017df|STRG.1367.3:1936-2337|+   -            134 89317at50557         -            194   5.4e-07   28.9   3.3   1   1   2.1e-08   7.3e-06   25.2   3.3    72   180     9   132     1   134 0.68 -
72000at50557_121845_0:004970|STRG.15010.2:630-911|+   -             94 89317at50557         -            194   0.00072   18.7   0.9   1   1   2.5e-06   0.00086   18.5   0.9     8    55    37    85    29    92 0.87 -
90369at50557_29031_0:002749|STRG.16716.1:5463-7397|+  -            645 89317at50557         -            194    0.0018   17.4   1.3   1   1   9.2e-06    0.0031   16.6   1.3     9    84   465   539   456   548 0.84 -
89317at50557_136037_0:001c69|STRG.4104.1:157-582|+    -            142 89317at50557         -            194    0.0023   17.1   8.0   1   2   7.4e-05     0.025   13.7   1.6    12    60    13    61     1    89 0.84 -
89317at50557_136037_0:001c69|STRG.4104.1:157-582|+    -            142 89317at50557         -            194    0.0023   17.1   8.0   2   2    0.0049       1.7    7.8   0.6    10    45   107   142    96   142 0.81 -
89317at50557_286706_0:002e5b|STRG.9406.1:132-743|+    -            204 89317at50557         -            194    0.0045   16.1   8.4   1   1   6.2e-05     0.021   13.9   8.4    70   118    26    74     8   164 0.76 -
89317at50557_286706_0:002e5b|STRG.9406.2:132-743|+    -            204 89317at50557         -            194    0.0045   16.1   8.4   1   1   6.2e-05     0.021   13.9   8.4    70   118    26    74     8   164 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/89317at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm annotation_analysis/annotation_gcf/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 10:13:10 2024
# [ok]
