#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48053at50557_7536_0:0009dd|STRG.4090.1:36-437|+       -            134 48053at50557         -            417   1.1e-74  248.3   0.3   1   1     8e-76   1.2e-74  248.2   0.3     2   130     1   133     1   134 0.97 -
48053at50557_56086_0:003c0d|STRG.17919.2:441-1286|+   -            282 48053at50557         -            417   8.1e-16   54.4   0.0   2   3   1.1e-09   1.7e-08   30.3   0.0   284   348    93   164    72   172 0.78 -
48053at50557_56086_0:003c0d|STRG.17919.2:441-1286|+   -            282 48053at50557         -            417   8.1e-16   54.4   0.0   3   3   0.00035    0.0054   12.2   0.0   283   334   176   235   173   279 0.70 -
48053at50557_108931_0:0019fa|STRG.19880.1:1432-2229|+ -            266 48053at50557         -            417   3.5e-15   52.3   3.3   1   4     1e-08   1.6e-07   27.2   0.2   192   252     1    63     1    82 0.90 -
48053at50557_108931_0:0019fa|STRG.19880.1:1432-2229|+ -            266 48053at50557         -            417   3.5e-15   52.3   3.3   2   4       1.7        26    0.1   0.0   295   315    86   106    67   112 0.72 -
48053at50557_108931_0:0019fa|STRG.19880.1:1432-2229|+ -            266 48053at50557         -            417   3.5e-15   52.3   3.3   3   4   4.7e-07   7.2e-06   21.7   0.0   186   254   118   188   110   197 0.89 -
48053at50557_108931_0:0019fa|STRG.19880.1:1432-2229|+ -            266 48053at50557         -            417   3.5e-15   52.3   3.3   4   4    0.0047     0.072    8.5   0.0   185   252   157   226   157   235 0.85 -
48053at50557_315563_0:00236c|STRG.1509.1:453-2027|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   1   6     0.047      0.73    5.2   0.0   320   378     3    65     1    66 0.66 -
48053at50557_315563_0:00236c|STRG.1509.1:453-2027|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   2   6   1.5e-05   0.00024   16.7   0.0   291   363    54   132    42   144 0.78 -
48053at50557_315563_0:00236c|STRG.1509.1:453-2027|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   3   6      0.22       3.3    3.0   0.0   324   347   147   170   137   175 0.82 -
48053at50557_315563_0:00236c|STRG.1509.1:453-2027|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   4   6     0.081       1.2    4.4   0.0   325   344   331   350   293   368 0.82 -
48053at50557_315563_0:00236c|STRG.1509.1:453-2027|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   5   6   0.00012    0.0018   13.8   0.0   192   248   383   443   365   451 0.85 -
48053at50557_315563_0:00236c|STRG.1509.1:453-2027|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   6   6       0.2       3.1    3.1   0.0   298   356   433   498   431   522 0.64 -
48053at50557_315563_0:00236c|STRG.1509.2:669-2243|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   1   6     0.047      0.73    5.2   0.0   320   378     3    65     1    66 0.66 -
48053at50557_315563_0:00236c|STRG.1509.2:669-2243|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   2   6   1.5e-05   0.00024   16.7   0.0   291   363    54   132    42   144 0.78 -
48053at50557_315563_0:00236c|STRG.1509.2:669-2243|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   3   6      0.22       3.3    3.0   0.0   324   347   147   170   137   175 0.82 -
48053at50557_315563_0:00236c|STRG.1509.2:669-2243|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   4   6     0.081       1.2    4.4   0.0   325   344   331   350   293   368 0.82 -
48053at50557_315563_0:00236c|STRG.1509.2:669-2243|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   5   6   0.00012    0.0018   13.8   0.0   192   248   383   443   365   451 0.85 -
48053at50557_315563_0:00236c|STRG.1509.2:669-2243|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   6   6       0.2       3.1    3.1   0.0   298   356   433   498   431   522 0.64 -
48053at50557_315563_0:00236c|STRG.1509.3:451-2025|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   1   6     0.047      0.73    5.2   0.0   320   378     3    65     1    66 0.66 -
48053at50557_315563_0:00236c|STRG.1509.3:451-2025|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   2   6   1.5e-05   0.00024   16.7   0.0   291   363    54   132    42   144 0.78 -
48053at50557_315563_0:00236c|STRG.1509.3:451-2025|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   3   6      0.22       3.3    3.0   0.0   324   347   147   170   137   175 0.82 -
48053at50557_315563_0:00236c|STRG.1509.3:451-2025|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   4   6     0.081       1.2    4.4   0.0   325   344   331   350   293   368 0.82 -
48053at50557_315563_0:00236c|STRG.1509.3:451-2025|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   5   6   0.00012    0.0018   13.8   0.0   192   248   383   443   365   451 0.85 -
48053at50557_315563_0:00236c|STRG.1509.3:451-2025|+   -            525 48053at50557         -            417     8e-15   51.2   0.3   6   6       0.2       3.1    3.1   0.0   298   356   433   498   431   522 0.64 -
48053at50557_39758_0:003519|STRG.15815.1:30-869|+     -            280 48053at50557         -            417   4.2e-13   45.5   0.2   1   3   1.6e-05   0.00025   16.6   0.0   196   247    17    72     4    77 0.89 -
48053at50557_39758_0:003519|STRG.15815.1:30-869|+     -            280 48053at50557         -            417   4.2e-13   45.5   0.2   2   3   3.5e-06   5.4e-05   18.8   0.1   196   250    59   116    59   125 0.89 -
48053at50557_39758_0:003519|STRG.15815.1:30-869|+     -            280 48053at50557         -            417   4.2e-13   45.5   0.2   3   3   8.8e-05    0.0014   14.2   0.0   196   255   173   238   148   242 0.83 -
48053at50557_121225_0:000002|STRG.16929.1:139-855|+   -            239 48053at50557         -            417   6.2e-13   44.9   0.1   1   3   0.00039     0.006   12.1   0.0   194   247    53   110    26   114 0.90 -
48053at50557_121225_0:000002|STRG.16929.1:139-855|+   -            239 48053at50557         -            417   6.2e-13   44.9   0.1   2   3     0.012      0.19    7.1   0.0   218   247   120   154   112   161 0.60 -
48053at50557_121225_0:000002|STRG.16929.1:139-855|+   -            239 48053at50557         -            417   6.2e-13   44.9   0.1   3   3   3.7e-07   5.7e-06   22.0   0.0   193   246   182   239   167   239 0.90 -
48053at50557_454923_0:0026ff|STRG.931.2:584-1381|+    -            266 48053at50557         -            417   1.6e-12   43.5   2.9   1   3     0.024      0.37    6.2   0.0   317   353    26    62     1    71 0.72 -
48053at50557_454923_0:0026ff|STRG.931.2:584-1381|+    -            266 48053at50557         -            417   1.6e-12   43.5   2.9   2   3   7.9e-08   1.2e-06   24.2   0.3   194   353    36   189    28   204 0.72 -
48053at50557_454923_0:0026ff|STRG.931.2:584-1381|+    -            266 48053at50557         -            417   1.6e-12   43.5   2.9   3   3   0.00042    0.0065   11.9   0.1   195   246   209   266   191   266 0.82 -
48053at50557_6973_0:001acf|STRG.13802.1:234-950|+     -            239 48053at50557         -            417   1.7e-12   43.5   0.1   1   2   0.00073     0.011   11.1   0.0   282   380     7   115     4   132 0.63 -
48053at50557_6973_0:001acf|STRG.13802.1:234-950|+     -            239 48053at50557         -            417   1.7e-12   43.5   0.1   2   2   2.1e-09   3.2e-08   29.4   0.0   281   375   133   235   124   239 0.83 -
48053at50557_454923_0:0026ff|STRG.931.1:174-986|+     -            271 48053at50557         -            417   2.1e-12   43.2   3.8   1   4     0.016      0.24    6.8   0.1   300   353     7    67     2    75 0.73 -
48053at50557_454923_0:0026ff|STRG.931.1:174-986|+     -            271 48053at50557         -            417   2.1e-12   43.2   3.8   2   4    0.0023     0.035    9.5   0.0   285   352    76   150    69   154 0.78 -
48053at50557_454923_0:0026ff|STRG.931.1:174-986|+     -            271 48053at50557         -            417   2.1e-12   43.2   3.8   3   4   1.3e-05   0.00021   16.9   0.1   285   353   118   194   114   208 0.73 -
48053at50557_454923_0:0026ff|STRG.931.1:174-986|+     -            271 48053at50557         -            417   2.1e-12   43.2   3.8   4   4   0.00046    0.0071   11.8   0.1   196   246   215   271   203   271 0.81 -
48053at50557_307658_0:00145d|STRG.2435.1:27-758|+     -            244 48053at50557         -            417   4.7e-12   42.0   0.1   1   3      0.12       1.9    3.8   0.0   359   389    53    83    37    91 0.77 -
48053at50557_307658_0:00145d|STRG.2435.1:27-758|+     -            244 48053at50557         -            417   4.7e-12   42.0   0.1   2   3   0.00033    0.0051   12.3   0.0   198   253    65   125    51   140 0.56 -
48053at50557_307658_0:00145d|STRG.2435.1:27-758|+     -            244 48053at50557         -            417   4.7e-12   42.0   0.1   3   3     3e-10   4.6e-09   32.2   0.1   287   417    99   244    96   244 0.77 -
48053at50557_224129_0:000b24|STRG.2670.1:453-1226|+   -            258 48053at50557         -            417   5.1e-12   41.9   0.3   1   3     0.011      0.17    7.3   0.0   315   347    16    48     9    64 0.86 -
48053at50557_224129_0:000b24|STRG.2670.1:453-1226|+   -            258 48053at50557         -            417   5.1e-12   41.9   0.3   2   3   1.5e-06   2.4e-05   20.0   0.2   191   253    67   133    49   141 0.85 -
48053at50557_224129_0:000b24|STRG.2670.1:453-1226|+   -            258 48053at50557         -            417   5.1e-12   41.9   0.3   3   3   0.00053    0.0082   11.6   0.0   281   376   143   253   134   258 0.65 -
48053at50557_168631_0:000bf2|STRG.13802.2:2-346|+     -            115 48053at50557         -            417   5.2e-12   41.9   0.0   1   1   4.6e-13   7.1e-12   41.5   0.0   286   380     6   109     3   114 0.86 -
48053at50557_64793_0:0029f1|STRG.16923.1:1914-2534|+  -            207 48053at50557         -            417   5.8e-12   41.8   0.2   1   1   7.8e-13   1.2e-11   40.7   0.2   292   416    67   206     3   207 0.78 -
48053at50557_64793_0:0029f1|STRG.16923.2:1112-1732|+  -            207 48053at50557         -            417   5.8e-12   41.8   0.2   1   1   7.8e-13   1.2e-11   40.7   0.2   292   416    67   206     3   207 0.78 -
48053at50557_121225_0:000002|STRG.2473.1:159-908|+    -            250 48053at50557         -            417   6.7e-12   41.5   2.2   1   3     0.044      0.68    5.3   0.1   218   253     1    40     1    59 0.83 -
48053at50557_121225_0:000002|STRG.2473.1:159-908|+    -            250 48053at50557         -            417   6.7e-12   41.5   2.2   2   3     1e-07   1.6e-06   23.9   0.0   287   351   104   174    92   179 0.81 -
48053at50557_121225_0:000002|STRG.2473.1:159-908|+    -            250 48053at50557         -            417   6.7e-12   41.5   2.2   3   3    0.0024     0.037    9.5   0.0   286   318   186   218   180   250 0.69 -
48053at50557_1155016_0:001034|STRG.1917.1:713-1441|+  -            243 48053at50557         -            417   8.4e-12   41.2   0.0   1   3       1.9        30   -0.1   0.0   282   308     2    28     1    63 0.81 -
48053at50557_1155016_0:001034|STRG.1917.1:713-1441|+  -            243 48053at50557         -            417   8.4e-12   41.2   0.0   2   3   2.9e-05   0.00044   15.8   0.0   303   354    73   122    63   127 0.86 -
48053at50557_1155016_0:001034|STRG.1917.1:713-1441|+  -            243 48053at50557         -            417   8.4e-12   41.2   0.0   3   3   5.1e-07   7.8e-06   21.6   0.0   315   416   127   240   118   241 0.74 -
48053at50557_1155016_0:001034|STRG.1917.2:531-1259|+  -            243 48053at50557         -            417   8.4e-12   41.2   0.0   1   3       1.9        30   -0.1   0.0   282   308     2    28     1    63 0.81 -
48053at50557_1155016_0:001034|STRG.1917.2:531-1259|+  -            243 48053at50557         -            417   8.4e-12   41.2   0.0   2   3   2.9e-05   0.00044   15.8   0.0   303   354    73   122    63   127 0.86 -
48053at50557_1155016_0:001034|STRG.1917.2:531-1259|+  -            243 48053at50557         -            417   8.4e-12   41.2   0.0   3   3   5.1e-07   7.8e-06   21.6   0.0   315   416   127   240   118   241 0.74 -
48053at50557_108931_0:0019fa|STRG.1723.1:1012-1836|+  -            275 48053at50557         -            417   1.4e-11   40.5   0.1   1   4      0.57       8.8    1.6   0.0   329   409     6    97     3   105 0.63 -
48053at50557_108931_0:0019fa|STRG.1723.1:1012-1836|+  -            275 48053at50557         -            417   1.4e-11   40.5   0.1   2   4      0.22       3.3    3.0   0.0   196   252    48   111    27   129 0.65 -
48053at50557_108931_0:0019fa|STRG.1723.1:1012-1836|+  -            275 48053at50557         -            417   1.4e-11   40.5   0.1   3   4   1.6e-10   2.4e-09   33.1   0.1   267   371   102   223    90   239 0.72 -
48053at50557_108931_0:0019fa|STRG.1723.1:1012-1836|+  -            275 48053at50557         -            417   1.4e-11   40.5   0.1   4   4      0.04      0.62    5.4   0.0   179   246   202   275   195   275 0.72 -
48053at50557_326594_0:000a53|STRG.18790.1:288-1043|+  -            252 48053at50557         -            417   1.6e-11   40.3   0.0   1   2   1.5e-05   0.00024   16.7   0.0   194   344   110   169    39   178 0.63 -
48053at50557_326594_0:000a53|STRG.18790.1:288-1043|+  -            252 48053at50557         -            417   1.6e-11   40.3   0.0   2   2   8.6e-05    0.0013   14.2   0.0   184   246   184   252   176   252 0.80 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 48053at50557         -            417   1.7e-11   40.2   6.0   1   4     3e-05   0.00047   15.7   0.4   190   251    15    80     6    88 0.87 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 48053at50557         -            417   1.7e-11   40.2   6.0   2   4    0.0075      0.12    7.8   0.1   324   380   100   158    89   177 0.64 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 48053at50557         -            417   1.7e-11   40.2   6.0   3   4    0.0012     0.018   10.5   0.0   315   415   343   448   329   452 0.75 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 48053at50557         -            417   1.7e-11   40.2   6.0   4   4     0.093       1.4    4.2   0.0   289   342   530   590   522   592 0.72 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 48053at50557         -            417   1.7e-11   40.2   6.0   1   4     3e-05   0.00047   15.7   0.4   190   251    15    80     6    88 0.87 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 48053at50557         -            417   1.7e-11   40.2   6.0   2   4    0.0075      0.12    7.8   0.1   324   380   100   158    89   177 0.64 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 48053at50557         -            417   1.7e-11   40.2   6.0   3   4    0.0012     0.018   10.5   0.0   315   415   343   448   329   452 0.75 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 48053at50557         -            417   1.7e-11   40.2   6.0   4   4     0.093       1.4    4.2   0.0   289   342   530   590   522   592 0.72 -
48053at50557_1155016_0:001034|STRG.7364.1:132-854|+   -            241 48053at50557         -            417   2.4e-11   39.7   1.5   1   3    0.0071      0.11    7.9   0.0   196   248    15    71     8    78 0.88 -
48053at50557_1155016_0:001034|STRG.7364.1:132-854|+   -            241 48053at50557         -            417   2.4e-11   39.7   1.5   2   3   1.4e-06   2.2e-05   20.1   0.1   194   247   137   194   124   200 0.90 -
48053at50557_1155016_0:001034|STRG.7364.1:132-854|+   -            241 48053at50557         -            417   2.4e-11   39.7   1.5   3   3    0.0021     0.032    9.6   0.1   216   247   202   236   195   239 0.82 -
48053at50557_1155016_0:001034|STRG.7364.2:261-983|+   -            241 48053at50557         -            417   2.4e-11   39.7   1.5   1   3    0.0071      0.11    7.9   0.0   196   248    15    71     8    78 0.88 -
48053at50557_1155016_0:001034|STRG.7364.2:261-983|+   -            241 48053at50557         -            417   2.4e-11   39.7   1.5   2   3   1.4e-06   2.2e-05   20.1   0.1   194   247   137   194   124   200 0.90 -
48053at50557_1155016_0:001034|STRG.7364.2:261-983|+   -            241 48053at50557         -            417   2.4e-11   39.7   1.5   3   3    0.0021     0.032    9.6   0.1   216   247   202   236   195   239 0.82 -
48053at50557_1155016_0:001034|STRG.7364.3:183-905|+   -            241 48053at50557         -            417   2.4e-11   39.7   1.5   1   3    0.0071      0.11    7.9   0.0   196   248    15    71     8    78 0.88 -
48053at50557_1155016_0:001034|STRG.7364.3:183-905|+   -            241 48053at50557         -            417   2.4e-11   39.7   1.5   2   3   1.4e-06   2.2e-05   20.1   0.1   194   247   137   194   124   200 0.90 -
48053at50557_1155016_0:001034|STRG.7364.3:183-905|+   -            241 48053at50557         -            417   2.4e-11   39.7   1.5   3   3    0.0021     0.032    9.6   0.1   216   247   202   236   195   239 0.82 -
48053at50557_315563_0:00236c|STRG.13622.1:2413-4005|+ -            531 48053at50557         -            417     1e-10   37.6   2.4   1   3     0.031      0.47    5.8   0.0   225   351    35    70    12   253 0.57 -
48053at50557_315563_0:00236c|STRG.13622.1:2413-4005|+ -            531 48053at50557         -            417     1e-10   37.6   2.4   2   3   1.1e-06   1.6e-05   20.5   0.0   186   254   296   370   285   389 0.85 -
48053at50557_315563_0:00236c|STRG.13622.1:2413-4005|+ -            531 48053at50557         -            417     1e-10   37.6   2.4   3   3    0.0084      0.13    7.7   0.3   175   248   452   529   449   531 0.79 -
48053at50557_315563_0:00236c|STRG.13622.2:2616-4208|+ -            531 48053at50557         -            417     1e-10   37.6   2.4   1   3     0.031      0.47    5.8   0.0   225   351    35    70    12   253 0.57 -
48053at50557_315563_0:00236c|STRG.13622.2:2616-4208|+ -            531 48053at50557         -            417     1e-10   37.6   2.4   2   3   1.1e-06   1.6e-05   20.5   0.0   186   254   296   370   285   389 0.85 -
48053at50557_315563_0:00236c|STRG.13622.2:2616-4208|+ -            531 48053at50557         -            417     1e-10   37.6   2.4   3   3    0.0084      0.13    7.7   0.3   175   248   452   529   449   531 0.79 -
48053at50557_315563_0:00236c|STRG.13622.3:2466-4058|+ -            531 48053at50557         -            417     1e-10   37.6   2.4   1   3     0.031      0.47    5.8   0.0   225   351    35    70    12   253 0.57 -
48053at50557_315563_0:00236c|STRG.13622.3:2466-4058|+ -            531 48053at50557         -            417     1e-10   37.6   2.4   2   3   1.1e-06   1.6e-05   20.5   0.0   186   254   296   370   285   389 0.85 -
48053at50557_315563_0:00236c|STRG.13622.3:2466-4058|+ -            531 48053at50557         -            417     1e-10   37.6   2.4   3   3    0.0084      0.13    7.7   0.3   175   248   452   529   449   531 0.79 -
48053at50557_29053_0:00114c|STRG.19597.1:516-1325|+   -            270 48053at50557         -            417   1.2e-10   37.4   0.6   1   4       7.1   1.1e+02   -2.0   0.0   196   235     2    41     1    56 0.83 -
48053at50557_29053_0:00114c|STRG.19597.1:516-1325|+   -            270 48053at50557         -            417   1.2e-10   37.4   0.6   2   4    0.0013      0.02   10.3   0.0   296   347    46   103    32   111 0.73 -
48053at50557_29053_0:00114c|STRG.19597.1:516-1325|+   -            270 48053at50557         -            417   1.2e-10   37.4   0.6   3   4   3.1e-07   4.8e-06   22.2   0.0   286   348   119   190   114   196 0.79 -
48053at50557_29053_0:00114c|STRG.19597.1:516-1325|+   -            270 48053at50557         -            417   1.2e-10   37.4   0.6   4   4      0.58       8.9    1.6   0.1   214   248   190   229   187   270 0.66 -
48053at50557_224129_0:000b24|STRG.4106.1:114-953|+    -            280 48053at50557         -            417   1.2e-10   37.4   0.1   1   2     6e-05   0.00092   14.7   0.0   294   373    50   137    37   154 0.80 -
48053at50557_224129_0:000b24|STRG.4106.1:114-953|+    -            280 48053at50557         -            417   1.2e-10   37.4   0.1   2   2   9.4e-07   1.4e-05   20.7   0.0   319   381   164   228   155   264 0.72 -
48053at50557_79782_0:00090a|STRG.4708.1:345-1184|+    -            280 48053at50557         -            417   1.7e-10   36.9   0.0   1   2   3.4e-10   5.3e-09   32.0   0.0   284   416    10   162     5   163 0.75 -
48053at50557_79782_0:00090a|STRG.4708.1:345-1184|+    -            280 48053at50557         -            417   1.7e-10   36.9   0.0   2   2      0.27       4.2    2.7   0.0   221   416   251   279   219   280 0.48 -
48053at50557_79782_0:00090a|STRG.989.1:467-1231|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   1   3       3.9        60   -1.1   0.0   319   343    16    39    12    49 0.76 -
48053at50557_79782_0:00090a|STRG.989.1:467-1231|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   2   3     0.013       0.2    7.0   0.0   285   331    66   112    59   120 0.75 -
48053at50557_79782_0:00090a|STRG.989.1:467-1231|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   3   3     2e-08   3.1e-07   26.2   0.1   288   414   113   252   106   255 0.79 -
48053at50557_79782_0:00090a|STRG.989.2:916-1680|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   1   3       3.9        60   -1.1   0.0   319   343    16    39    12    49 0.76 -
48053at50557_79782_0:00090a|STRG.989.2:916-1680|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   2   3     0.013       0.2    7.0   0.0   285   331    66   112    59   120 0.75 -
48053at50557_79782_0:00090a|STRG.989.2:916-1680|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   3   3     2e-08   3.1e-07   26.2   0.1   288   414   113   252   106   255 0.79 -
48053at50557_79782_0:00090a|STRG.989.3:799-1563|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   1   3       3.9        60   -1.1   0.0   319   343    16    39    12    49 0.76 -
48053at50557_79782_0:00090a|STRG.989.3:799-1563|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   2   3     0.013       0.2    7.0   0.0   285   331    66   112    59   120 0.75 -
48053at50557_79782_0:00090a|STRG.989.3:799-1563|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   3   3     2e-08   3.1e-07   26.2   0.1   288   414   113   252   106   255 0.79 -
48053at50557_79782_0:00090a|STRG.989.4:724-1488|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   1   3       3.9        60   -1.1   0.0   319   343    16    39    12    49 0.76 -
48053at50557_79782_0:00090a|STRG.989.4:724-1488|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   2   3     0.013       0.2    7.0   0.0   285   331    66   112    59   120 0.75 -
48053at50557_79782_0:00090a|STRG.989.4:724-1488|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   3   3     2e-08   3.1e-07   26.2   0.1   288   414   113   252   106   255 0.79 -
48053at50557_79782_0:00090a|STRG.989.5:691-1455|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   1   3       3.9        60   -1.1   0.0   319   343    16    39    12    49 0.76 -
48053at50557_79782_0:00090a|STRG.989.5:691-1455|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   2   3     0.013       0.2    7.0   0.0   285   331    66   112    59   120 0.75 -
48053at50557_79782_0:00090a|STRG.989.5:691-1455|+     -            255 48053at50557         -            417   4.7e-10   35.5   0.1   3   3     2e-08   3.1e-07   26.2   0.1   288   414   113   252   106   255 0.79 -
48053at50557_166423_0:00101b|STRG.10610.1:689-1513|+  -            275 48053at50557         -            417   7.5e-10   34.8   7.2   1   4     0.002     0.031    9.7   0.1   196   248     4    63     1    72 0.83 -
48053at50557_166423_0:00101b|STRG.10610.1:689-1513|+  -            275 48053at50557         -            417   7.5e-10   34.8   7.2   2   4    0.0015     0.023   10.2   0.0   263   314    57   111    48   122 0.79 -
48053at50557_166423_0:00101b|STRG.10610.1:689-1513|+  -            275 48053at50557         -            417   7.5e-10   34.8   7.2   3   4   0.00062    0.0096   11.4   0.0   296   380   135   231   124   233 0.72 -
