#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
37475at50557_103372_0:00039a|STRG.14964.1:2-1201|+    -            400 37475at50557         -            589   4.3e-95  315.9   8.0   1   1   1.2e-94   1.3e-93  311.0   8.0   257   566     7   400     4   400 0.86 -
48053at50557_315563_0:00236c|STRG.13622.2:2616-4208|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   3   7   3.6e-05    0.0004   15.5   0.0    71   195   107   243    95   262 0.80 -
48053at50557_315563_0:00236c|STRG.13622.2:2616-4208|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   4   7      0.33       3.7    2.4   0.0    77   109   289   321   285   331 0.89 -
48053at50557_315563_0:00236c|STRG.13622.2:2616-4208|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   5   7     0.011      0.12    7.3   0.0   149   180   332   363   327   372 0.89 -
48053at50557_315563_0:00236c|STRG.13622.2:2616-4208|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   6   7    0.0042     0.048    8.7   0.0    80   183   375   488   370   495 0.73 -
48053at50557_315563_0:00236c|STRG.13622.2:2616-4208|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   7   7      0.43       4.8    2.1   0.2   150   182   497   530   490   531 0.79 -
48053at50557_315563_0:00236c|STRG.13622.3:2466-4058|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   1   7    0.0051     0.058    8.4   0.0   147   182    28    63    19    68 0.92 -
48053at50557_315563_0:00236c|STRG.13622.3:2466-4058|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   2   7      0.42       4.7    2.1   0.0   146   175    69    98    63   101 0.85 -
48053at50557_315563_0:00236c|STRG.13622.3:2466-4058|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   3   7   3.6e-05    0.0004   15.5   0.0    71   195   107   243    95   262 0.80 -
48053at50557_315563_0:00236c|STRG.13622.3:2466-4058|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   4   7      0.33       3.7    2.4   0.0    77   109   289   321   285   331 0.89 -
48053at50557_315563_0:00236c|STRG.13622.3:2466-4058|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   5   7     0.011      0.12    7.3   0.0   149   180   332   363   327   372 0.89 -
48053at50557_315563_0:00236c|STRG.13622.3:2466-4058|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   6   7    0.0042     0.048    8.7   0.0    80   183   375   488   370   495 0.73 -
48053at50557_315563_0:00236c|STRG.13622.3:2466-4058|+ -            531 37475at50557         -            589   1.5e-15   53.2   3.5   7   7      0.43       4.8    2.1   0.2   150   182   497   530   490   531 0.79 -
48053at50557_1155016_0:001034|STRG.9325.1:345-1220|+  -            292 37475at50557         -            589     5e-15   51.5  11.7   1   4      0.46       5.3    1.9   0.0   165   184     2    21     1    26 0.88 -
48053at50557_1155016_0:001034|STRG.9325.1:345-1220|+  -            292 37475at50557         -            589     5e-15   51.5  11.7   2   4   0.00087    0.0099   10.9   0.2    84   118    47    81    42    84 0.90 -
48053at50557_1155016_0:001034|STRG.9325.1:345-1220|+  -            292 37475at50557         -            589     5e-15   51.5  11.7   3   4   2.1e-10   2.4e-09   32.8   7.0    62   191    66   207    65   222 0.82 -
48053at50557_1155016_0:001034|STRG.9325.1:345-1220|+  -            292 37475at50557         -            589     5e-15   51.5  11.7   4   4    0.0016     0.018   10.1   0.1   148   206   206   283   201   287 0.67 -
48053at50557_6973_0:001acf|STRG.8335.1:999-1772|+     -            258 37475at50557         -            589     8e-14   47.6   0.7   1   4   1.6e-05   0.00018   16.6   0.0    96   185     4    96     1   131 0.61 -
48053at50557_6973_0:001acf|STRG.8335.1:999-1772|+     -            258 37475at50557         -            589     8e-14   47.6   0.7   2   4     0.021      0.23    6.4   0.0   152   185   147   180   140   185 0.82 -
48053at50557_6973_0:001acf|STRG.8335.1:999-1772|+     -            258 37475at50557         -            589     8e-14   47.6   0.7   3   4   0.00069    0.0078   11.3   0.0   148   190   185   227   180   229 0.90 -
48053at50557_6973_0:001acf|STRG.8335.1:999-1772|+     -            258 37475at50557         -            589     8e-14   47.6   0.7   4   4     0.003     0.034    9.2   0.0   149   179   228   258   224   258 0.93 -
48053at50557_454923_0:0026ff|STRG.19236.1:591-1418|+  -            276 37475at50557         -            589   1.9e-12   43.0   3.5   1   3    0.0016     0.018   10.0   0.1   153   189    34    70    19    94 0.87 -
48053at50557_454923_0:0026ff|STRG.19236.1:591-1418|+  -            276 37475at50557         -            589   1.9e-12   43.0   3.5   2   3   8.1e-07   9.2e-06   21.0   0.3   145   238   110   219   102   221 0.73 -
48053at50557_454923_0:0026ff|STRG.19236.1:591-1418|+  -            276 37475at50557         -            589   1.9e-12   43.0   3.5   3   3   3.9e-05   0.00044   15.4   0.3    79   180   157   275   153   276 0.78 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   1   7       1.1        12    0.8   0.0   148   188    44    84    10    87 0.82 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   2   7   1.5e-05   0.00017   16.7   0.3   146   187    84   125    67   131 0.86 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   3   7       1.2        14    0.6   0.0   144   180   124   160   122   164 0.88 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   4   7       2.2        24   -0.3   0.0    75   113   334   373   326   391 0.74 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   5   7    0.0026      0.03    9.3   0.1    53   109   394   451   342   454 0.84 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   6   7     0.015      0.17    6.9   0.0   149   180   517   548   485   554 0.90 -
48053at50557_315563_0:00236c|STRG.12642.1:623-2398|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   7   7     0.091         1    4.3   0.0    75   180   556   590   551   592 0.57 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   1   7       1.1        12    0.8   0.0   148   188    44    84    10    87 0.82 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   2   7   1.5e-05   0.00017   16.7   0.3   146   187    84   125    67   131 0.86 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   3   7       1.2        14    0.6   0.0   144   180   124   160   122   164 0.88 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   4   7       2.2        24   -0.3   0.0    75   113   334   373   326   391 0.74 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   5   7    0.0026      0.03    9.3   0.1    53   109   394   451   342   454 0.84 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   6   7     0.015      0.17    6.9   0.0   149   180   517   548   485   554 0.90 -
48053at50557_315563_0:00236c|STRG.12642.2:177-1952|+  -            592 37475at50557         -            589   2.5e-11   39.3   8.3   7   7     0.091         1    4.3   0.0    75   180   556   590   551   592 0.57 -
37475at50557_29031_0:002211|STRG.11276.1:400-888|+    -            163 37475at50557         -            589   4.7e-11   38.4   1.8   1   3   4.9e-07   5.5e-06   21.7   0.1   151   180     1    31     1    38 0.87 -
37475at50557_29031_0:002211|STRG.11276.1:400-888|+    -            163 37475at50557         -            589   4.7e-11   38.4   1.8   2   3     0.096       1.1    4.2   0.0    79   109    50    81    42    90 0.80 -
37475at50557_29031_0:002211|STRG.11276.1:400-888|+    -            163 37475at50557         -            589   4.7e-11   38.4   1.8   3   3   0.00067    0.0076   11.3   0.0    76   136    90   152    82   163 0.81 -
37475at50557_29031_0:002211|STRG.11276.4:395-883|+    -            163 37475at50557         -            589   4.7e-11   38.4   1.8   1   3   4.9e-07   5.5e-06   21.7   0.1   151   180     1    31     1    38 0.87 -
37475at50557_29031_0:002211|STRG.11276.4:395-883|+    -            163 37475at50557         -            589   4.7e-11   38.4   1.8   2   3     0.096       1.1    4.2   0.0    79   109    50    81    42    90 0.80 -
37475at50557_29031_0:002211|STRG.11276.4:395-883|+    -            163 37475at50557         -            589   4.7e-11   38.4   1.8   3   3   0.00067    0.0076   11.3   0.0    76   136    90   152    82   163 0.81 -
37475at50557_29031_0:002211|STRG.11276.5:237-725|+    -            163 37475at50557         -            589   4.7e-11   38.4   1.8   1   3   4.9e-07   5.5e-06   21.7   0.1   151   180     1    31     1    38 0.87 -
37475at50557_29031_0:002211|STRG.11276.5:237-725|+    -            163 37475at50557         -            589   4.7e-11   38.4   1.8   2   3     0.096       1.1    4.2   0.0    79   109    50    81    42    90 0.80 -
37475at50557_29031_0:002211|STRG.11276.5:237-725|+    -            163 37475at50557         -            589   4.7e-11   38.4   1.8   3   3   0.00067    0.0076   11.3   0.0    76   136    90   152    82   163 0.81 -
48053at50557_108931_0:0019fa|STRG.19880.1:1432-2229|+ -            266 37475at50557         -            589   5.4e-11   38.2  10.7   1   6     0.052      0.59    5.1   0.1   165   187     3    25     1    29 0.84 -
48053at50557_108931_0:0019fa|STRG.19880.1:1432-2229|+ -            266 37475at50557         -            589   5.4e-11   38.2  10.7   2   6     4e-05   0.00045   15.4   0.1   146   189    26    67    22    78 0.82 -
48053at50557_108931_0:0019fa|STRG.19880.1:1432-2229|+ -            266 37475at50557         -            589   5.4e-11   38.2  10.7   3   6      0.41       4.6    2.1   0.0   155   187    75   105    66   110 0.80 -
48053at50557_108931_0:0019fa|STRG.19880.1:1432-2229|+ -            266 37475at50557         -            589   5.4e-11   38.2  10.7   4   6      0.13       1.4    3.8   0.0   163   187   124   148   106   158 0.78 -
48053at50557_108931_0:0019fa|STRG.19880.1:1432-2229|+ -            266 37475at50557         -            589   5.4e-11   38.2  10.7   5   6      0.21       2.4    3.1   0.0   160   182   161   183   149   191 0.79 -
48053at50557_108931_0:0019fa|STRG.19880.1:1432-2229|+ -            266 37475at50557         -            589   5.4e-11   38.2  10.7   6   6   0.00024    0.0027   12.8   0.1   148   181   191   222   185   234 0.87 -
48053at50557_56086_0:003c0d|STRG.17919.1:441-1286|+   -            282 37475at50557         -            589   5.7e-11   38.2   0.6   1   5      0.11       1.3    4.0   0.0   150   191     1    43     1    47 0.81 -
48053at50557_56086_0:003c0d|STRG.17919.1:441-1286|+   -            282 37475at50557         -            589   5.7e-11   38.2   0.6   2   5     0.083      0.94    4.4   0.0   150   182    44    76    41    80 0.88 -
48053at50557_56086_0:003c0d|STRG.17919.1:441-1286|+   -            282 37475at50557         -            589   5.7e-11   38.2   0.6   3   5     0.016      0.18    6.7   0.0   146   187    82   123    77   127 0.87 -
48053at50557_56086_0:003c0d|STRG.17919.1:441-1286|+   -            282 37475at50557         -            589   5.7e-11   38.2   0.6   4   5   0.00022    0.0025   12.9   0.0    79   109   128   158   124   167 0.88 -
48053at50557_56086_0:003c0d|STRG.17919.1:441-1286|+   -            282 37475at50557         -            589   5.7e-11   38.2   0.6   5   5     0.055      0.62    5.0   0.0   148   209   168   240   159   248 0.72 -
48053at50557_56086_0:003c0d|STRG.17919.2:441-1286|+   -            282 37475at50557         -            589   5.7e-11   38.2   0.6   1   5      0.11       1.3    4.0   0.0   150   191     1    43     1    47 0.81 -
48053at50557_56086_0:003c0d|STRG.17919.2:441-1286|+   -            282 37475at50557         -            589   5.7e-11   38.2   0.6   2   5     0.083      0.94    4.4   0.0   150   182    44    76    41    80 0.88 -
48053at50557_56086_0:003c0d|STRG.17919.2:441-1286|+   -            282 37475at50557         -            589   5.7e-11   38.2   0.6   3   5     0.016      0.18    6.7   0.0   146   187    82   123    77   127 0.87 -
48053at50557_56086_0:003c0d|STRG.17919.2:441-1286|+   -            282 37475at50557         -            589   5.7e-11   38.2   0.6   4   5   0.00022    0.0025   12.9   0.0    79   109   128   158   124   167 0.88 -
48053at50557_56086_0:003c0d|STRG.17919.2:441-1286|+   -            282 37475at50557         -            589   5.7e-11   38.2   0.6   5   5     0.055      0.62    5.0   0.0   148   209   168   240   159   248 0.72 -
48053at50557_307658_0:00145d|STRG.2435.1:27-758|+     -            244 37475at50557         -            589   9.4e-11   37.4   0.2   1   3      0.15       1.7    3.5   0.0   141   184    37    80    11    87 0.76 -
48053at50557_307658_0:00145d|STRG.2435.1:27-758|+     -            244 37475at50557         -            589   9.4e-11   37.4   0.2   2   3    0.0001    0.0011   14.0   0.0    79   184    46   166    44   178 0.67 -
48053at50557_307658_0:00145d|STRG.2435.1:27-758|+     -            244 37475at50557         -            589   9.4e-11   37.4   0.2   3   3    0.0011     0.013   10.6   0.1   155   185   178   208   173   243 0.80 -
37475at50557_29031_0:002211|STRG.11276.3:673-1098|+   -            142 37475at50557         -            589   1.4e-10   36.8   2.3   1   3     4e-07   4.6e-06   22.0   0.1   151   180     1    31     1    38 0.87 -
37475at50557_29031_0:002211|STRG.11276.3:673-1098|+   -            142 37475at50557         -            589   1.4e-10   36.8   2.3   2   3     0.073      0.82    4.6   0.0    79   109    50    81    40    90 0.80 -
37475at50557_29031_0:002211|STRG.11276.3:673-1098|+   -            142 37475at50557         -            589   1.4e-10   36.8   2.3   3   3    0.0025     0.028    9.4   0.0    76   109    90   123    82   137 0.85 -
48053at50557_307658_0:00145d|STRG.5080.1:2041-2544|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   1   3   7.8e-08   8.8e-07   24.3   1.1   148   182    32    66    15    80 0.92 -
48053at50557_307658_0:00145d|STRG.5080.1:2041-2544|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   2   3    0.0013     0.015   10.4   0.1   151   182    84   115    66   123 0.88 -
48053at50557_307658_0:00145d|STRG.5080.1:2041-2544|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   3   3     0.026       0.3    6.0   0.1   148   191   123   166   117   168 0.91 -
48053at50557_307658_0:00145d|STRG.5080.2:1988-2491|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   1   3   7.8e-08   8.8e-07   24.3   1.1   148   182    32    66    15    80 0.92 -
48053at50557_307658_0:00145d|STRG.5080.2:1988-2491|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   2   3    0.0013     0.015   10.4   0.1   151   182    84   115    66   123 0.88 -
48053at50557_307658_0:00145d|STRG.5080.2:1988-2491|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   3   3     0.026       0.3    6.0   0.1   148   191   123   166   117   168 0.91 -
48053at50557_307658_0:00145d|STRG.5080.3:2109-2612|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   1   3   7.8e-08   8.8e-07   24.3   1.1   148   182    32    66    15    80 0.92 -
48053at50557_307658_0:00145d|STRG.5080.3:2109-2612|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   2   3    0.0013     0.015   10.4   0.1   151   182    84   115    66   123 0.88 -
48053at50557_307658_0:00145d|STRG.5080.3:2109-2612|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   3   3     0.026       0.3    6.0   0.1   148   191   123   166   117   168 0.91 -
48053at50557_307658_0:00145d|STRG.5080.4:2065-2568|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   1   3   7.8e-08   8.8e-07   24.3   1.1   148   182    32    66    15    80 0.92 -
48053at50557_307658_0:00145d|STRG.5080.4:2065-2568|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   2   3    0.0013     0.015   10.4   0.1   151   182    84   115    66   123 0.88 -
48053at50557_307658_0:00145d|STRG.5080.4:2065-2568|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   3   3     0.026       0.3    6.0   0.1   148   191   123   166   117   168 0.91 -
48053at50557_307658_0:00145d|STRG.5080.5:2162-2665|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   1   3   7.8e-08   8.8e-07   24.3   1.1   148   182    32    66    15    80 0.92 -
48053at50557_307658_0:00145d|STRG.5080.5:2162-2665|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   2   3    0.0013     0.015   10.4   0.1   151   182    84   115    66   123 0.88 -
48053at50557_307658_0:00145d|STRG.5080.5:2162-2665|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   3   3     0.026       0.3    6.0   0.1   148   191   123   166   117   168 0.91 -
48053at50557_307658_0:00145d|STRG.5080.6:2514-3017|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   1   3   7.8e-08   8.8e-07   24.3   1.1   148   182    32    66    15    80 0.92 -
48053at50557_307658_0:00145d|STRG.5080.6:2514-3017|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   2   3    0.0013     0.015   10.4   0.1   151   182    84   115    66   123 0.88 -
48053at50557_307658_0:00145d|STRG.5080.6:2514-3017|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   3   3     0.026       0.3    6.0   0.1   148   191   123   166   117   168 0.91 -
48053at50557_307658_0:00145d|STRG.5080.7:2503-3006|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   1   3   7.8e-08   8.8e-07   24.3   1.1   148   182    32    66    15    80 0.92 -
48053at50557_307658_0:00145d|STRG.5080.7:2503-3006|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   2   3    0.0013     0.015   10.4   0.1   151   182    84   115    66   123 0.88 -
48053at50557_307658_0:00145d|STRG.5080.7:2503-3006|+  -            168 37475at50557         -            589   2.2e-10   36.2   8.4   3   3     0.026       0.3    6.0   0.1   148   191   123   166   117   168 0.91 -
48053at50557_79782_0:00090a|STRG.4708.1:345-1184|+    -            280 37475at50557         -            589   3.1e-10   35.7   9.3   1   4   3.7e-06   4.2e-05   18.8   0.7   185   246     6    71     1    82 0.81 -
48053at50557_79782_0:00090a|STRG.4708.1:345-1184|+    -            280 37475at50557         -            589   3.1e-10   35.7   9.3   2   4    0.0058     0.066    8.2   0.2   146   187    84   130    78   138 0.76 -
48053at50557_79782_0:00090a|STRG.4708.1:345-1184|+    -            280 37475at50557         -            589   3.1e-10   35.7   9.3   3   4     0.024      0.27    6.2   0.1     6    33   139   166   136   174 0.79 -
48053at50557_79782_0:00090a|STRG.4708.1:345-1184|+    -            280 37475at50557         -            589   3.1e-10   35.7   9.3   4   4      0.31       3.5    2.5   0.0   147   179   248   280   241   280 0.86 -
37475at50557_411798_0:00107d|STRG.4993.1:456-1001|+   -            182 37475at50557         -            589   3.3e-10   35.6   0.0   1   2   8.5e-06   9.6e-05   17.6   0.0    77   212     1   138     1   147 0.77 -
37475at50557_411798_0:00107d|STRG.4993.1:456-1001|+   -            182 37475at50557         -            589   3.3e-10   35.6   0.0   2   2   0.00011    0.0013   13.9   0.1    79   108   152   181   146   182 0.93 -
48053at50557_1155016_0:001034|STRG.15839.1:179-880|+  -            234 37475at50557         -            589   3.7e-10   35.5   6.1   1   4     0.064      0.72    4.8   0.1   145   181    39    75    12    80 0.88 -
48053at50557_1155016_0:001034|STRG.15839.1:179-880|+  -            234 37475at50557         -            589   3.7e-10   35.5   6.1   2   4   9.9e-06   0.00011   17.4   0.0   144   185    80   121    75   127 0.90 -
48053at50557_1155016_0:001034|STRG.15839.1:179-880|+  -            234 37475at50557         -            589   3.7e-10   35.5   6.1   3   4     0.034      0.38    5.7   0.2   151   181   130   162   126   168 0.78 -
48053at50557_1155016_0:001034|STRG.15839.1:179-880|+  -            234 37475at50557         -            589   3.7e-10   35.5   6.1   4   4    0.0055     0.062    8.3   0.0   150   191   173   214   166   228 0.84 -
