#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
57153at50557_103372_0:001f4c|STRG.13758.3:556-1647|+  -            364 57153at50557         -            185   9.8e-83  275.4  13.6   1   1   3.6e-82   1.3e-79  265.2  13.6     1   185   118   345   118   345 0.89 -
119324at50557_28612_0:006210|STRG.9528.1:384-722|+    -            113 57153at50557         -            185   7.1e-05   21.6   0.7   2   2   0.00096      0.35    9.6   0.2     3    22    49    68    47    81 0.87 -
119324at50557_1049336_0:003cac|STRG.18425.1:39-443|+  -            135 57153at50557         -            185   0.00024   19.9   5.5   1   4    0.0019      0.69    8.6   0.0     1    25    12    36    12    43 0.86 -
119324at50557_1049336_0:003cac|STRG.18425.1:39-443|+  -            135 57153at50557         -            185   0.00024   19.9   5.5   2   4      0.11        41    2.8   0.1   147   172    46    71    38    84 0.64 -
119324at50557_1049336_0:003cac|STRG.18425.1:39-443|+  -            135 57153at50557         -            185   0.00024   19.9   5.5   3   4     0.011         4    6.1   0.0   146   171    82   107    76   119 0.76 -
119324at50557_1049336_0:003cac|STRG.18425.1:39-443|+  -            135 57153at50557         -            185   0.00024   19.9   5.5   4   4     0.097        35    3.0   0.2     3    15   123   135   122   135 0.94 -
119324at50557_28612_0:006210|STRG.13904.1:30-512|+    -            161 57153at50557         -            185    0.0019   16.9   0.6   1   3    0.0081       2.9    6.5   0.0     2    17    62    77    61    95 0.80 -
119324at50557_28612_0:006210|STRG.13904.1:30-512|+    -            161 57153at50557         -            185    0.0019   16.9   0.6   2   3     0.025       9.2    4.9   0.0     1    25    97   121    97   128 0.84 -
119324at50557_28612_0:006210|STRG.13904.1:30-512|+    -            161 57153at50557         -            185    0.0019   16.9   0.6   3   3      0.22        82    1.8   0.1   149   164   145   160   138   161 0.77 -
119324at50557_38123_0:00169f|STRG.18425.2:439-705|+   -             89 57153at50557         -            185    0.0021   16.8   0.9   1   2    0.0032       1.2    7.9   0.1   145   173    29    57    11    69 0.80 -
119324at50557_38123_0:00169f|STRG.18425.2:439-705|+   -             89 57153at50557         -            185    0.0021   16.8   0.9   2   2    0.0041       1.5    7.5   0.1     3    20    71    88    69    89 0.89 -
112578at50557_88501_0:001fa9|STRG.16303.1:290-784|+   -            165 57153at50557         -            185    0.0031   16.3   1.7   1   3     0.061        22    3.7   0.1     3    24    72    93    70   105 0.82 -
112578at50557_88501_0:001fa9|STRG.16303.1:290-784|+   -            165 57153at50557         -            185    0.0031   16.3   1.7   2   3     0.002      0.72    8.6   0.2     2    28   107   133   106   153 0.59 -
112578at50557_88501_0:001fa9|STRG.16303.1:290-784|+   -            165 57153at50557         -            185    0.0031   16.3   1.7   3   3     0.023       8.4    5.1   0.1   132   163   134   165   129   165 0.92 -
112578at50557_88501_0:001fa9|STRG.16303.2:290-784|+   -            165 57153at50557         -            185    0.0031   16.3   1.7   1   3     0.061        22    3.7   0.1     3    24    72    93    70   105 0.82 -
112578at50557_88501_0:001fa9|STRG.16303.2:290-784|+   -            165 57153at50557         -            185    0.0031   16.3   1.7   2   3     0.002      0.72    8.6   0.2     2    28   107   133   106   153 0.59 -
112578at50557_88501_0:001fa9|STRG.16303.2:290-784|+   -            165 57153at50557         -            185    0.0031   16.3   1.7   3   3     0.023       8.4    5.1   0.1   132   163   134   165   129   165 0.92 -
112578at50557_88501_0:001fa9|STRG.16303.3:290-784|+   -            165 57153at50557         -            185    0.0031   16.3   1.7   1   3     0.061        22    3.7   0.1     3    24    72    93    70   105 0.82 -
112578at50557_88501_0:001fa9|STRG.16303.3:290-784|+   -            165 57153at50557         -            185    0.0031   16.3   1.7   2   3     0.002      0.72    8.6   0.2     2    28   107   133   106   153 0.59 -
112578at50557_88501_0:001fa9|STRG.16303.3:290-784|+   -            165 57153at50557         -            185    0.0031   16.3   1.7   3   3     0.023       8.4    5.1   0.1   132   163   134   165   129   165 0.92 -
119324at50557_319348_0:001162|STRG.10803.1:217-630|+  -            138 57153at50557         -            185    0.0058   15.4   0.5   1   2       1.3   4.7e+02   -0.6   0.0    30    30    36    36     7    67 0.51 -
119324at50557_319348_0:001162|STRG.10803.1:217-630|+  -            138 57153at50557         -            185    0.0058   15.4   0.5   2   2   0.00011      0.04   12.6   0.1   122   169    88   136    84   138 0.85 -
119324at50557_319348_0:001162|STRG.10803.2:39-452|+   -            138 57153at50557         -            185    0.0058   15.4   0.5   1   2       1.3   4.7e+02   -0.6   0.0    30    30    36    36     7    67 0.51 -
119324at50557_319348_0:001162|STRG.10803.2:39-452|+   -            138 57153at50557         -            185    0.0058   15.4   0.5   2   2   0.00011      0.04   12.6   0.1   122   169    88   136    84   138 0.85 -
119324at50557_319348_0:001162|STRG.10803.3:667-1080|+ -            138 57153at50557         -            185    0.0058   15.4   0.5   1   2       1.3   4.7e+02   -0.6   0.0    30    30    36    36     7    67 0.51 -
119324at50557_319348_0:001162|STRG.10803.3:667-1080|+ -            138 57153at50557         -            185    0.0058   15.4   0.5   2   2   0.00011      0.04   12.6   0.1   122   169    88   136    84   138 0.85 -
119324at50557_454923_0:001f56|STRG.18425.3:9-311|+    -            101 57153at50557         -            185       0.1   11.3   2.5   1   3     0.078        28    3.3   0.0   147   172    14    39     7    48 0.62 -
119324at50557_454923_0:001f56|STRG.18425.3:9-311|+    -            101 57153at50557         -            185       0.1   11.3   2.5   2   3    0.0063       2.3    6.9   0.0   146   172    50    76    44    87 0.76 -
119324at50557_454923_0:001f56|STRG.18425.3:9-311|+    -            101 57153at50557         -            185       0.1   11.3   2.5   3   3         1   3.8e+02   -0.3   0.2     3    13    91   101    90   101 0.88 -
119324at50557_454923_0:001f56|STRG.7278.1:201-500|+   -            100 57153at50557         -            185      0.17   10.6   3.1   1   3       1.3   4.7e+02   -0.6   0.0    39    55     2    18     1    29 0.60 -
119324at50557_454923_0:001f56|STRG.7278.1:201-500|+   -            100 57153at50557         -            185      0.17   10.6   3.1   2   3     0.012       4.4    6.0   0.1     1    22    31    52    31    61 0.85 -
119324at50557_454923_0:001f56|STRG.7278.1:201-500|+   -            100 57153at50557         -            185      0.17   10.6   3.1   3   3     0.042        15    4.2   0.1   140   165    72    97    63    99 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57153at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/57153at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/57153at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:35:47 2024
# [ok]
