#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30467at50557_144034_0:0022a4|STRG.15987.1:195-2345|+  -            717 30467at50557         -            614         0 1055.3   8.4   1   1         0         0 1055.0   8.4     8   614    38   715    30   715 0.92 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+      -            291 30467at50557         -            614   1.9e-06   25.4   0.4   3   3     0.033         5    4.1   0.1   446   507   184   253   183   263 0.56 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+     -            285 30467at50557         -            614   3.2e-06   24.6   0.1   1   2      0.52        80    0.2   0.0   476   504    10    38     3    72 0.77 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+     -            285 30467at50557         -            614   3.2e-06   24.6   0.1   2   2   1.3e-06   0.00019   18.7   0.1   401   522    98   225    77   235 0.75 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 30467at50557         -            614   6.5e-06   23.6   0.7   1   4      0.34        52    0.8   0.0   480   502     4    26     1    39 0.78 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 30467at50557         -            614   6.5e-06   23.6   0.7   2   4     8e-05     0.012   12.8   0.1   186   255    45   118    31   122 0.78 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 30467at50557         -            614   6.5e-06   23.6   0.7   3   4     0.041       6.3    3.8   0.0   217   252   124   159   119   175 0.89 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 30467at50557         -            614   6.5e-06   23.6   0.7   4   4      0.18        28    1.7   0.0   474   501   167   194   160   226 0.77 -
42371at50557_520822_0:00190c|STRG.12385.5:90-1665|+   -            467 30467at50557         -            614   2.3e-05   21.8   0.0   1   2    0.0015      0.23    8.5   0.0   186   250   152   227   139   241 0.76 -
42371at50557_520822_0:00190c|STRG.12385.5:90-1665|+   -            467 30467at50557         -            614   2.3e-05   21.8   0.0   2   2   0.00025     0.038   11.1   0.0   398   514   241   360   233   365 0.86 -
42371at50557_520822_0:00190c|STRG.12385.4:496-2316|+  -            607 30467at50557         -            614   5.2e-05   20.6   0.0   1   2    0.0023      0.35    7.9   0.0   186   250   292   367   280   381 0.76 -
42371at50557_520822_0:00190c|STRG.12385.4:496-2316|+  -            607 30467at50557         -            614   5.2e-05   20.6   0.0   2   2   0.00039     0.059   10.5   0.0   398   514   381   500   373   505 0.86 -
42371at50557_520822_0:00190c|STRG.12385.1:496-2316|+  -            607 30467at50557         -            614   5.3e-05   20.6   0.0   1   2    0.0023      0.35    7.9   0.0   186   250   292   367   280   381 0.76 -
42371at50557_520822_0:00190c|STRG.12385.1:496-2316|+  -            607 30467at50557         -            614   5.3e-05   20.6   0.0   2   2   0.00039     0.059   10.5   0.0   398   514   381   500   373   505 0.86 -
42371at50557_520822_0:00190c|STRG.12385.2:496-2319|+  -            608 30467at50557         -            614   5.3e-05   20.6   0.0   1   2    0.0023      0.36    7.9   0.0   186   250   293   368   281   382 0.76 -
42371at50557_520822_0:00190c|STRG.12385.2:496-2319|+  -            608 30467at50557         -            614   5.3e-05   20.6   0.0   2   2   0.00039     0.059   10.5   0.0   398   514   382   501   374   506 0.86 -
42371at50557_520822_0:00190c|STRG.12385.3:496-2340|+  -            608 30467at50557         -            614   5.3e-05   20.6   0.0   1   2    0.0023      0.36    7.9   0.0   186   250   293   368   281   382 0.76 -
42371at50557_520822_0:00190c|STRG.12385.3:496-2340|+  -            608 30467at50557         -            614   5.3e-05   20.6   0.0   2   2   0.00039     0.059   10.5   0.0   398   514   382   501   374   506 0.86 -
42371at50557_144034_0:001692|STRG.12385.6:106-1098|+  -            289 30467at50557         -            614   8.8e-05   19.8   0.0   1   2     0.013       1.9    5.5   0.0   212   250    11    49     2    67 0.86 -
42371at50557_144034_0:001692|STRG.12385.6:106-1098|+  -            289 30467at50557         -            614   8.8e-05   19.8   0.0   2   2   9.5e-05     0.015   12.5   0.0   398   514    63   182    55   187 0.86 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+  -            329 30467at50557         -            614   0.00025   18.4   0.0   1   2   0.00097      0.15    9.2   0.0   216   263    41    86    30    99 0.86 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+  -            329 30467at50557         -            614   0.00025   18.4   0.0   2   2    0.0047      0.72    6.9   0.0   211   257   166   212   155   216 0.88 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+ -            515 30467at50557         -            614   0.00044   17.5   0.0   1   1   9.8e-06    0.0015   15.8   0.0   186   284   360   471   354   476 0.54 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+  -            515 30467at50557         -            614   0.00044   17.5   0.0   1   1   9.8e-06    0.0015   15.8   0.0   186   284   360   471   354   476 0.54 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+   -            329 30467at50557         -            614   0.00047   17.4   0.0   1   3    0.0053      0.81    6.8   0.0   216   255    43    80    35    85 0.77 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+   -            329 30467at50557         -            614   0.00047   17.4   0.0   2   3    0.0033      0.51    7.4   0.0   187   237    92   149    84   166 0.74 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+   -            329 30467at50557         -            614   0.00047   17.4   0.0   3   3       6.5   9.9e+02   -3.4   0.0   218   251   255   287   249   325 0.68 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+   -            206 30467at50557         -            614   0.00084   16.6   0.1   1   1   9.8e-06    0.0015   15.8   0.1   182   257   104   184    98   193 0.76 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+    -            337 30467at50557         -            614   0.00088   16.6   0.3   1   2   2.4e-05    0.0036   14.5   0.1   431   504    56   136    16   179 0.70 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+    -            337 30467at50557         -            614   0.00088   16.6   0.3   2   2       1.2   1.8e+02   -1.0   0.1   476   498   198   220   145   225 0.51 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+   -            339 30467at50557         -            614   0.00091   16.5   0.3   1   2   2.6e-05    0.0039   14.4   0.1   431   504    58   138    21   181 0.70 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+   -            339 30467at50557         -            614   0.00091   16.5   0.3   2   2       1.2   1.8e+02   -1.0   0.1   476   498   200   222   147   227 0.51 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+   -            346 30467at50557         -            614   0.00096   16.4   0.7   1   3     0.023       3.5    4.6   0.0   187   257    73   147    66   207 0.61 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+   -            346 30467at50557         -            614   0.00096   16.4   0.7   2   3     0.021       3.1    4.8   0.0   475   505   192   222   177   247 0.79 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+   -            346 30467at50557         -            614   0.00096   16.4   0.7   3   3     0.013         2    5.4   0.1   167   256   217   322   213   331 0.57 -
76755at50557_7224_0:001e1c|STRG.18933.1:14-712|+      -            233 30467at50557         -            614    0.0031   14.7   0.2   1   2   5.7e-05    0.0087   13.3   0.1   211   252    59   100    39   130 0.84 -
76755at50557_7224_0:001e1c|STRG.18933.1:14-712|+      -            233 30467at50557         -            614    0.0031   14.7   0.2   2   2       1.6   2.4e+02   -1.4   0.0   214   238   105   129    99   146 0.65 -
76755at50557_7224_0:001e1c|STRG.18933.4:14-712|+      -            233 30467at50557         -            614    0.0031   14.7   0.2   1   2   5.7e-05    0.0087   13.3   0.1   211   252    59   100    39   130 0.84 -
76755at50557_7224_0:001e1c|STRG.18933.4:14-712|+      -            233 30467at50557         -            614    0.0031   14.7   0.2   2   2       1.6   2.4e+02   -1.4   0.0   214   238   105   129    99   146 0.65 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+   -            756 30467at50557         -            614    0.0032   14.7   0.0   1   3     0.064       9.7    3.2   0.0   210   256   115   161    99   167 0.79 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+   -            756 30467at50557         -            614    0.0032   14.7   0.0   2   3     0.014       2.2    5.3   0.0   218   255   167   202   161   207 0.84 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+   -            756 30467at50557         -            614    0.0032   14.7   0.0   3   3       0.2        30    1.6   0.0   187   237   460   517   443   535 0.65 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+   -            767 30467at50557         -            614    0.0033   14.6   0.0   1   3     0.065       9.9    3.2   0.0   210   256   144   190   128   196 0.79 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+   -            767 30467at50557         -            614    0.0033   14.6   0.0   2   3     0.014       2.2    5.3   0.0   218   255   196   231   190   236 0.84 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+   -            767 30467at50557         -            614    0.0033   14.6   0.0   3   3       0.2        31    1.5   0.0   187   237   489   546   472   564 0.65 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+   -            776 30467at50557         -            614    0.0035   14.6   0.0   1   3     0.066        10    3.1   0.0   210   256   135   181   119   187 0.79 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+   -            776 30467at50557         -            614    0.0035   14.6   0.0   2   3     0.015       2.2    5.3   0.0   218   255   187   222   181   227 0.84 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+   -            776 30467at50557         -            614    0.0035   14.6   0.0   3   3      0.21        31    1.5   0.0   187   237   480   537   463   555 0.65 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+   -            305 30467at50557         -            614     0.004   14.4   0.8   1   3     0.042       6.5    3.8   0.0   475   504    23    52     9    63 0.75 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+   -            305 30467at50557         -            614     0.004   14.4   0.8   2   3      0.76   1.2e+02   -0.4   0.0   473   510    65   102    53   121 0.82 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+   -            305 30467at50557         -            614     0.004   14.4   0.8   3   3    0.0099       1.5    5.9   0.2   164   200   263   298   250   304 0.75 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+   -            523 30467at50557         -            614    0.0041   14.3   0.6   1   5         6   9.2e+02   -3.3   0.0   186   208   229   252   226   265 0.56 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+   -            523 30467at50557         -            614    0.0041   14.3   0.6   2   5     0.041       6.3    3.8   0.0   475   504   325   354   319   365 0.84 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+   -            523 30467at50557         -            614    0.0041   14.3   0.6   3   5      0.55        84    0.1   0.0   221   249   413   439   403   446 0.67 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+   -            523 30467at50557         -            614    0.0041   14.3   0.6   4   5     0.012       1.8    5.6   0.1   465   504   441   481   412   489 0.74 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+   -            523 30467at50557         -            614    0.0041   14.3   0.6   5   5       1.4   2.2e+02   -1.3   0.0   476   502   495   521   484   522 0.81 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+     -            523 30467at50557         -            614    0.0041   14.3   0.6   1   5         6   9.2e+02   -3.3   0.0   186   208   229   252   226   265 0.56 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+     -            523 30467at50557         -            614    0.0041   14.3   0.6   2   5     0.041       6.3    3.8   0.0   475   504   325   354   319   365 0.84 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+     -            523 30467at50557         -            614    0.0041   14.3   0.6   3   5      0.55        84    0.1   0.0   221   249   413   439   403   446 0.67 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+     -            523 30467at50557         -            614    0.0041   14.3   0.6   4   5     0.012       1.8    5.6   0.1   465   504   441   481   412   489 0.74 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+     -            523 30467at50557         -            614    0.0041   14.3   0.6   5   5       1.4   2.2e+02   -1.3   0.0   476   502   495   521   484   522 0.81 -
117816at50557_133901_0:0032ab|STRG.5090.2:12-530|+    -            173 30467at50557         -            614     0.005   14.1   0.1   1   2   0.00045     0.069   10.3   0.0    73   131    23    85    12    92 0.72 -
117816at50557_133901_0:0032ab|STRG.5090.2:12-530|+    -            173 30467at50557         -            614     0.005   14.1   0.1   2   2      0.12        19    2.3   0.0    71   110   114   152    79   166 0.69 -
117816at50557_121225_0:000cee|STRG.5090.1:151-654|+   -            168 30467at50557         -            614     0.005   14.0   0.1   1   2   0.00041     0.063   10.4   0.0    73   131    24    86    13    94 0.73 -
117816at50557_121225_0:000cee|STRG.5090.1:151-654|+   -            168 30467at50557         -            614     0.005   14.0   0.1   2   2      0.13        20    2.2   0.0    70   109   114   152    79   162 0.69 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+  -            605 30467at50557         -            614    0.0054   13.9   0.6   1   2   7.4e-05     0.011   12.9   0.1   431   503    55   134    17   175 0.71 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+  -            605 30467at50557         -            614    0.0054   13.9   0.6   2   2       7.3   1.1e+03   -3.6   0.1   477   501   198   222   188   223 0.74 -
78072at50557_156304_0:001dd8|STRG.4879.3:1678-2394|+  -            239 30467at50557         -            614    0.0055   13.9   0.3   1   2     0.017       2.6    5.1   0.1   223   305    13    63     5    91 0.42 -
78072at50557_156304_0:001dd8|STRG.4879.3:1678-2394|+  -            239 30467at50557         -            614    0.0055   13.9   0.3   2   2    0.0057      0.87    6.6   0.0   215   248   103   134    57   142 0.80 -
77772at50557_121845_0:003bba|STRG.14135.1:2659-3565|- -            300 30467at50557         -            614    0.0076   13.5   0.0   1   2   0.00013      0.02   12.1   0.0   211   257    15    59     7    76 0.87 -
77772at50557_121845_0:003bba|STRG.14135.1:2659-3565|- -            300 30467at50557         -            614    0.0076   13.5   0.0   2   2       3.7   5.6e+02   -2.6   0.0   222   248   231   255   154   260 0.58 -
77772at50557_121845_0:003bba|STRG.14137.1:4588-5494|- -            300 30467at50557         -            614    0.0076   13.5   0.0   1   2   0.00013      0.02   12.1   0.0   211   257    15    59     7    76 0.87 -
77772at50557_121845_0:003bba|STRG.14137.1:4588-5494|- -            300 30467at50557         -            614    0.0076   13.5   0.0   2   2       3.7   5.6e+02   -2.6   0.0   222   248   231   255   154   260 0.58 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   1   3     0.005      0.77    6.8   0.1   472   505   170   203   163   215 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   2   3      0.96   1.5e+02   -0.7   0.0   218   258   216   255   203   262 0.76 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   3   3      0.11        17    2.4   0.0   186   209   267   290   251   310 0.79 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   1   3     0.005      0.77    6.8   0.1   472   505   170   203   163   215 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   2   3      0.96   1.5e+02   -0.7   0.0   218   258   216   255   203   262 0.76 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   3   3      0.11        17    2.4   0.0   186   209   267   290   251   310 0.79 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   1   3     0.005      0.77    6.8   0.1   472   505   170   203   163   215 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   2   3      0.96   1.5e+02   -0.7   0.0   218   258   216   255   203   262 0.76 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   3   3      0.11        17    2.4   0.0   186   209   267   290   251   310 0.79 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   1   3     0.005      0.77    6.8   0.1   472   505   170   203   163   215 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   2   3      0.96   1.5e+02   -0.7   0.0   218   258   216   255   203   262 0.76 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   3   3      0.11        17    2.4   0.0   186   209   267   290   251   310 0.79 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   1   3     0.005      0.77    6.8   0.1   472   505   170   203   163   215 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   2   3      0.96   1.5e+02   -0.7   0.0   218   258   216   255   203   262 0.76 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+  -            320 30467at50557         -            614     0.011   12.9   0.4   3   3      0.11        17    2.4   0.0   186   209   267   290   251   310 0.79 -
14512at50557_197043_0:0050fb|STRG.4714.1:382-726|+    -            115 30467at50557         -            614     0.012   12.8   0.0   1   2      0.26        39    1.2   0.0   477   505     8    36     3    45 0.87 -
14512at50557_197043_0:0050fb|STRG.4714.1:382-726|+    -            115 30467at50557         -            614     0.012   12.8   0.0   2   2   0.00061     0.093    9.9   0.0   213   259    45    89    37   110 0.81 -
129956at50557_7536_0:0043e4|STRG.18034.7:588-896|+    -            103 30467at50557         -            614     0.015   12.4   0.0   1   1    0.0001     0.016   12.4   0.0    87   124    37    75    18    90 0.87 -
129956at50557_7536_0:0043e4|STRG.18034.2:1561-1878|+  -            106 30467at50557         -            614     0.016   12.4   0.0   1   1   0.00011     0.017   12.3   0.0    87   124    37    75    18    91 0.87 -
129956at50557_7536_0:0043e4|STRG.18034.6:552-869|+    -            106 30467at50557         -            614     0.016   12.4   0.0   1   1   0.00011     0.017   12.3   0.0    87   124    37    75    18    91 0.87 -
129956at50557_7536_0:0043e4|STRG.18034.3:552-905|+    -            118 30467at50557         -            614     0.017   12.3   0.0   1   1   0.00011     0.017   12.3   0.0    87   124    37    75    19   111 0.87 -
78072at50557_123851_0:000487|STRG.5543.1:156-1043|+   -            296 30467at50557         -            614     0.036   11.2   0.6   1   3    0.0073       1.1    6.3   0.1   441   502    78   145    42   153 0.72 -
78072at50557_123851_0:000487|STRG.5543.1:156-1043|+   -            296 30467at50557         -            614     0.036   11.2   0.6   2   3      0.23        35    1.4   0.0   443   456   171   184   165   189 0.63 -
78072at50557_123851_0:000487|STRG.5543.1:156-1043|+   -            296 30467at50557         -            614     0.036   11.2   0.6   3   3       0.7   1.1e+02   -0.2   0.0   179   207   264   294   246   296 0.68 -
78072at50557_123851_0:000487|STRG.5543.2:445-1332|+   -            296 30467at50557         -            614     0.036   11.2   0.6   1   3    0.0073       1.1    6.3   0.1   441   502    78   145    42   153 0.72 -
78072at50557_123851_0:000487|STRG.5543.2:445-1332|+   -            296 30467at50557         -            614     0.036   11.2   0.6   2   3      0.23        35    1.4   0.0   443   456   171   184   165   189 0.63 -
78072at50557_123851_0:000487|STRG.5543.2:445-1332|+   -            296 30467at50557         -            614     0.036   11.2   0.6   3   3       0.7   1.1e+02   -0.2   0.0   179   207   264   294   246   296 0.68 -
40115at50557_411798_0:002bfa|STRG.19236.1:627-1412|+  -            262 30467at50557         -            614     0.043   11.0   0.0   1   2   0.00056     0.086   10.0   0.0   253   305   104   158    18   164 0.74 -
40115at50557_411798_0:002bfa|STRG.19236.1:627-1412|+  -            262 30467at50557         -            614     0.043   11.0   0.0   2   2       3.8   5.8e+02   -2.7   0.0   203   215   216   228   184   261 0.42 -
56752at50557_144034_0:000a3e|STRG.17520.3:112-1869|+  -            586 30467at50557         -            614     0.054   10.7   0.1   1   1   0.00054     0.083   10.0   0.1   441   506   146   216   116   230 0.70 -
56752at50557_144034_0:000a3e|STRG.17520.2:706-2637|+  -            644 30467at50557         -            614     0.061   10.5   0.1   1   1   0.00062     0.095    9.8   0.1   441   506   236   306   206   320 0.70 -
56752at50557_144034_0:000a3e|STRG.17520.1:706-2733|+  -            676 30467at50557         -            614     0.065   10.4   0.1   1   1   0.00067       0.1    9.7   0.1   441   506   236   306   206   320 0.70 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/30467at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/30467at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/30467at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:34:27 2024
# [ok]
