#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+       -            652 31374at50557         -            569  1.9e-291  966.2  18.7   1   1  5.7e-291  1.7e-289  959.7  18.7     1   569     4   646     4   646 0.94 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+     -            767 31374at50557         -            569   1.1e-51  174.6   8.0   2   3   2.1e-14   6.4e-13   46.6   0.2   336   474   372   526   352   527 0.79 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+     -            767 31374at50557         -            569   1.1e-51  174.6   8.0   3   3   4.1e-21   1.2e-19   68.8   0.1   343   481   521   659   511   667 0.94 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+     -            776 31374at50557         -            569   1.2e-51  174.5   8.0   1   3   3.4e-20     1e-18   65.8   0.4   346   472    98   226    76   246 0.81 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+     -            776 31374at50557         -            569   1.2e-51  174.5   8.0   2   3   2.2e-14   6.5e-13   46.6   0.2   336   474   363   517   343   518 0.79 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+     -            776 31374at50557         -            569   1.2e-51  174.5   8.0   3   3   4.1e-21   1.2e-19   68.8   0.1   343   481   512   650   502   658 0.94 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+       -            481 31374at50557         -            569   1.6e-47  160.9   8.3   1   4   2.1e-13   6.2e-12   43.4   1.2   340   439   113   213   106   219 0.79 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+       -            481 31374at50557         -            569   1.6e-47  160.9   8.3   2   4   1.5e-15   4.6e-14   50.4   0.2   399   538   220   359   200   363 0.87 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+       -            481 31374at50557         -            569   1.6e-47  160.9   8.3   3   4   1.3e-07   3.9e-06   24.2   0.0   362   419   340   398   333   405 0.77 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+       -            481 31374at50557         -            569   1.6e-47  160.9   8.3   4   4   8.7e-16   2.6e-14   51.2   0.2   341   417   404   480   399   481 0.96 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+     -            523 31374at50557         -            569   1.2e-43  148.1   5.2   1   3   1.1e-07   3.4e-06   24.4   0.0   376   446   208   281   188   293 0.78 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+     -            523 31374at50557         -            569   1.2e-43  148.1   5.2   2   3   7.6e-16   2.3e-14   51.4   0.2   361   476   294   411   289   412 0.93 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+     -            523 31374at50557         -            569   1.2e-43  148.1   5.2   3   3   2.4e-24   7.3e-23   79.4   0.3   343   458   404   520   402   522 0.97 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+       -            523 31374at50557         -            569   1.2e-43  148.1   5.2   1   3   1.1e-07   3.4e-06   24.4   0.0   376   446   208   281   188   293 0.78 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+       -            523 31374at50557         -            569   1.2e-43  148.1   5.2   2   3   7.6e-16   2.3e-14   51.4   0.2   361   476   294   411   289   412 0.93 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+       -            523 31374at50557         -            569   1.2e-43  148.1   5.2   3   3   2.4e-24   7.3e-23   79.4   0.3   343   458   404   520   402   522 0.97 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+        -            291 31374at50557         -            569   1.1e-42  144.8   5.1   1   2   2.3e-13   6.9e-12   43.2   0.2   386   473     3    90     1    91 0.97 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+        -            291 31374at50557         -            569   1.1e-42  144.8   5.1   2   2   2.2e-32   6.7e-31  106.0   0.9   342   531    85   291    80   291 0.90 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+       -            289 31374at50557         -            569   1.4e-41  141.2   5.1   1   2   2.7e-13     8e-12   43.0   0.2   387   473     3    89     1    90 0.97 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+       -            289 31374at50557         -            569   1.4e-41  141.2   5.1   2   2   2.3e-31     7e-30  102.6   0.9   343   527    85   284    82   289 0.89 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+     -            346 31374at50557         -            569   4.6e-39  132.9  11.6   1   3     8e-09   2.4e-07   28.2   0.2   339   420     4    98     2   104 0.78 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+     -            346 31374at50557         -            569   4.6e-39  132.9  11.6   2   3   1.8e-18   5.5e-17   60.0   1.6   343   475   104   235    98   241 0.94 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+     -            346 31374at50557         -            569   4.6e-39  132.9  11.6   3   3   5.1e-15   1.5e-13   48.7   0.2   356   429   250   324   247   334 0.90 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+    -            859 31374at50557         -            569   1.2e-38  131.6   0.0   1   3   9.7e-19   2.9e-17   61.0   0.0   341   460    12   132     5   136 0.92 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+    -            859 31374at50557         -            569   1.2e-38  131.6   0.0   2   3   9.4e-24   2.8e-22   77.5   0.0   353   461   109   217   106   224 0.96 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+    -            859 31374at50557         -            569   1.2e-38  131.6   0.0   3   3      0.25       7.5    3.5   0.0   501   526   227   252   220   263 0.84 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+    -            878 31374at50557         -            569   1.3e-38  131.5   0.0   1   3     1e-18     3e-17   60.9   0.0   341   460    12   132     5   136 0.92 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+    -            878 31374at50557         -            569   1.3e-38  131.5   0.0   2   3   9.7e-24   2.9e-22   77.5   0.0   353   461   109   217   106   224 0.96 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+    -            878 31374at50557         -            569   1.3e-38  131.5   0.0   3   3      0.25       7.7    3.4   0.0   501   526   227   252   220   263 0.84 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+     -            206 31374at50557         -            569   2.7e-38  130.4   5.1   1   2   1.4e-16   4.3e-15   53.8   0.6   343   458    15   130     1   130 0.93 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+     -            206 31374at50557         -            569   2.7e-38  130.4   5.1   2   2   3.2e-26   9.8e-25   85.6   0.3   345   474    59   188    54   193 0.96 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+       -            349 31374at50557         -            569   5.3e-36  122.8   0.4   1   2   1.3e-21   3.8e-20   70.5   0.1   381   538    49   218    25   221 0.86 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+       -            349 31374at50557         -            569   5.3e-36  122.8   0.4   2   2   5.8e-16   1.7e-14   51.8   0.0   340   457   219   344   215   349 0.90 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+     -            339 31374at50557         -            569   2.1e-35  120.8  17.2   1   4     3e-14   9.1e-13   46.1   0.2   341   420    13    95     8    99 0.91 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+     -            339 31374at50557         -            569   2.1e-35  120.8  17.2   2   4   1.9e-13   5.8e-12   43.5   0.2   380   459    99   180    96   187 0.85 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+     -            339 31374at50557         -            569   2.1e-35  120.8  17.2   3   4   3.7e-06   0.00011   19.4   0.8   379   418   188   227   183   231 0.95 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+     -            339 31374at50557         -            569   2.1e-35  120.8  17.2   4   4   4.1e-07   1.2e-05   22.6   0.5   378   458   244   335   242   338 0.86 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+      -            337 31374at50557         -            569   2.1e-35  120.8  17.2   1   4     3e-14     9e-13   46.1   0.2   341   420    11    93     6    97 0.91 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+      -            337 31374at50557         -            569   2.1e-35  120.8  17.2   2   4   1.9e-13   5.7e-12   43.5   0.2   380   459    97   178    94   185 0.85 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+      -            337 31374at50557         -            569   2.1e-35  120.8  17.2   3   4   3.6e-06   0.00011   19.4   0.8   379   418   186   225   181   229 0.95 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+      -            337 31374at50557         -            569   2.1e-35  120.8  17.2   4   4   4.1e-07   1.2e-05   22.6   0.5   378   458   242   333   240   336 0.86 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+       -            434 31374at50557         -            569   4.7e-35  119.7   3.4   1   3   3.5e-08   1.1e-06   26.1   0.0   424   474   117   167   110   168 0.93 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+       -            434 31374at50557         -            569   4.7e-35  119.7   3.4   2   3   1.9e-29   5.8e-28   96.3   2.0   341   534   160   362   157   370 0.92 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+       -            434 31374at50557         -            569   4.7e-35  119.7   3.4   3   3       6.2   1.9e+02   -1.1   0.0   392   420   385   413   381   419 0.69 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+    -            329 31374at50557         -            569   4.8e-35  119.7   3.8   1   2   1.3e-05   0.00038   17.7   0.0   420   465    30    75    22   102 0.91 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+    -            329 31374at50557         -            569   4.8e-35  119.7   3.8   2   2   5.5e-31   1.7e-29  101.4   2.0   332   531   114   328   102   329 0.87 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   1   5   5.4e-07   1.6e-05   22.2   0.0   346   479     1   133     1   144 0.90 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   2   5       3.8   1.1e+02   -0.4   0.0   486   536   107   159   101   164 0.80 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   3   5   5.2e-05    0.0016   15.6   0.0   503   537   177   211   170   215 0.90 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   4   5   5.8e-12   1.7e-10   38.6   0.2   341   459   214   328   209   336 0.90 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   5   5     2e-15     6e-14   50.0   4.5   345   533   259   456   257   457 0.85 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   1   5   5.4e-07   1.6e-05   22.2   0.0   346   479     1   133     1   144 0.90 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   2   5       3.8   1.1e+02   -0.4   0.0   486   536   107   159   101   164 0.80 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   3   5   5.2e-05    0.0016   15.6   0.0   503   537   177   211   170   215 0.90 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   4   5   5.8e-12   1.7e-10   38.6   0.2   341   459   214   328   209   336 0.90 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   5   5     2e-15     6e-14   50.0   4.5   345   533   259   456   257   457 0.85 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   1   5   5.4e-07   1.6e-05   22.2   0.0   346   479     1   133     1   144 0.90 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   2   5       3.8   1.1e+02   -0.4   0.0   486   536   107   159   101   164 0.80 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   3   5   5.2e-05    0.0016   15.6   0.0   503   537   177   211   170   215 0.90 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   4   5   5.8e-12   1.7e-10   38.6   0.2   341   459   214   328   209   336 0.90 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+   -            457 31374at50557         -            569   1.4e-34  118.1   9.6   5   5     2e-15     6e-14   50.0   4.5   345   533   259   456   257   457 0.85 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+    -            605 31374at50557         -            569   4.2e-34  116.6  14.6   1   4   7.8e-14   2.4e-12   44.7   0.2   342   420    11    92     6    96 0.91 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+    -            605 31374at50557         -            569   4.2e-34  116.6  14.6   2   4     5e-13   1.5e-11   42.1   0.2   380   459    96   177    93   183 0.85 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+    -            605 31374at50557         -            569   4.2e-34  116.6  14.6   3   4     8e-06   0.00024   18.3   0.8   379   418   185   224   182   228 0.95 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+    -            605 31374at50557         -            569   4.2e-34  116.6  14.6   4   4   2.9e-06   8.7e-05   19.8   0.1   378   467   241   344   239   390 0.80 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+  -            268 31374at50557         -            569     4e-33  113.3  10.1   1   2   2.7e-12     8e-11   39.7   0.4   406   476     5    73     2    78 0.90 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+  -            268 31374at50557         -            569     4e-33  113.3  10.1   2   2     0.035       1.1    6.3   0.1   342   374   237   267   230   268 0.88 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+       -            287 31374at50557         -            569   8.3e-33  112.3   1.8   1   3   6.3e-07   1.9e-05   21.9   0.2   425   488     9    77     4    87 0.64 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+       -            287 31374at50557         -            569   8.3e-33  112.3   1.8   2   3   2.9e-16   8.6e-15   52.8   0.0   338   442    96   199    83   202 0.92 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+       -            287 31374at50557         -            569   8.3e-33  112.3   1.8   3   3   4.4e-12   1.3e-10   39.0   0.1   395   476   194   277   193   286 0.87 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+     -            260 31374at50557         -            569     1e-32  112.0   7.1   1   2   8.3e-19   2.5e-17   61.2   0.5   343   462     1   126     1   132 0.89 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+     -            260 31374at50557         -            569     1e-32  112.0   7.1   2   2   6.9e-19   2.1e-17   61.4   1.2   339   502    87   260    84   260 0.86 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+     -            287 31374at50557         -            569   1.2e-32  111.7  15.9   1   3   5.9e-20   1.8e-18   65.0   4.2   343   476    11   139     5   143 0.91 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+     -            287 31374at50557         -            569   1.2e-32  111.7  15.9   2   3   2.2e-13   6.6e-12   43.3   0.8   343   471   132   254   132   257 0.90 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+     -            287 31374at50557         -            569   1.2e-32  111.7  15.9   3   3   5.1e-07   1.5e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 31374at50557         -            569   4.8e-31  106.4   0.8   1   5   1.5e-05   0.00046   17.4   0.0   384   422    53    91    47   118 0.89 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 31374at50557         -            569   4.8e-31  106.4   0.8   2   5     5e-05    0.0015   15.7   0.0   335   413   134   213   124   224 0.88 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 31374at50557         -            569   4.8e-31  106.4   0.8   3   5     3e-12     9e-11   39.5   0.0   346   473   232   362   226   398 0.87 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 31374at50557         -            569   4.8e-31  106.4   0.8   4   5   1.6e-08   4.7e-07   27.2   0.2   388   468   482   564   480   574 0.88 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 31374at50557         -            569   4.8e-31  106.4   0.8   5   5       3.8   1.1e+02   -0.4   0.0   499   534   565   600   558   601 0.67 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+       -            237 31374at50557         -            569   2.9e-30  103.9   5.7   1   2   6.1e-23   1.8e-21   74.8   1.5   344   461     5   122     2   130 0.96 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+       -            237 31374at50557         -            569   2.9e-30  103.9   5.7   2   2     1e-09   3.1e-08   31.1   0.1   404   460   179   237   154   237 0.84 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+     -            290 31374at50557         -            569     4e-30  103.4   6.6   1   3   6.4e-11   1.9e-09   35.1   1.7   343   465     2   127     1   130 0.83 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+     -            290 31374at50557         -            569     4e-30  103.4   6.6   2   3     9e-21   2.7e-19   67.7   0.1   341   474   129   264   127   267 0.93 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+     -            290 31374at50557         -            569     4e-30  103.4   6.6   3   3   2.8e-05   0.00084   16.5   0.1   391   458   223   290   213   290 0.94 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+     -            329 31374at50557         -            569   8.7e-29   99.0   9.7   1   3   7.9e-07   2.4e-05   21.6   0.1   360   421     2    75     1    86 0.75 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+     -            329 31374at50557         -            569   8.7e-29   99.0   9.7   2   3   4.5e-16   1.4e-14   52.1   0.5   338   462    34   159    25   174 0.90 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+     -            329 31374at50557         -            569   8.7e-29   99.0   9.7   3   3   1.4e-13   4.3e-12   43.9   2.0   281   417   198   324   164   328 0.79 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+     -            305 31374at50557         -            569   9.3e-29   98.9   4.7   1   2   2.9e-17   8.7e-16   56.1   0.1   339   461    14   138    11   146 0.93 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+     -            305 31374at50557         -            569   9.3e-29   98.9   4.7   2   2   1.1e-13   3.3e-12   44.2   0.9   330   455   174   303   164   305 0.90 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+      -            268 31374at50557         -            569   3.3e-28   97.1   6.5   1   3   0.00012    0.0036   14.4   0.1   414   473    13    72     5    75 0.88 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+      -            268 31374at50557         -            569   3.3e-28   97.1   6.5   2   3     4e-22   1.2e-20   72.1   2.7   343   475    68   204    61   206 0.91 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+      -            268 31374at50557         -            569   3.3e-28   97.1   6.5   3   3   4.9e-06   0.00015   19.0   0.0   341   375   196   230   189   236 0.86 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+      -            281 31374at50557         -            569   5.7e-28   96.3   8.8   1   4   6.6e-05     0.002   15.3   0.3   393   476     2    84     1    86 0.94 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+      -            281 31374at50557         -            569   5.7e-28   96.3   8.8   2   4   5.7e-21   1.7e-19   68.3   1.3   343   476    36   170    31   171 0.94 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+      -            281 31374at50557         -            569   5.7e-28   96.3   8.8   3   4   9.4e-10   2.8e-08   31.3   0.1   371   464   149   244   149   249 0.90 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+      -            281 31374at50557         -            569   5.7e-28   96.3   8.8   4   4    0.0088      0.26    8.3   0.2   387   416   252   281   248   281 0.90 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+        -            286 31374at50557         -            569   2.2e-27   94.3   0.9   1   3   1.4e-09   4.1e-08   30.7   0.0   386   468     5    90     2    95 0.93 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+        -            286 31374at50557         -            569   2.2e-27   94.3   0.9   2   3   2.2e-12   6.5e-11   40.0   0.1   388   535    93   249    90   255 0.82 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+        -            286 31374at50557         -            569   2.2e-27   94.3   0.9   3   3   7.3e-08   2.2e-06   25.0   0.0   350   415   221   286   219   286 0.86 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+     -            534 31374at50557         -            569   4.3e-26   90.1   2.3   1   3     8e-07   2.4e-05   21.6   0.1   372   462    34   124    24   128 0.62 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+     -            534 31374at50557         -            569   4.3e-26   90.1   2.3   2   3   3.7e-12   1.1e-10   39.2   0.1   340   417   128   205   123   214 0.95 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+     -            534 31374at50557         -            569   4.3e-26   90.1   2.3   3   3   3.6e-08   1.1e-06   26.1   0.0   422   540   376   504   366   525 0.80 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+      -            534 31374at50557         -            569   4.3e-26   90.1   2.3   1   3     8e-07   2.4e-05   21.6   0.1   372   462    34   124    24   128 0.62 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+      -            534 31374at50557         -            569   4.3e-26   90.1   2.3   2   3   3.7e-12   1.1e-10   39.2   0.1   340   417   128   205   123   214 0.95 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+      -            534 31374at50557         -            569   4.3e-26   90.1   2.3   3   3   3.6e-08   1.1e-06   26.1   0.0   422   540   376   504   366   525 0.80 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+      -            156 31374at50557         -            569   5.5e-25   86.4   0.1   1   2   0.00022    0.0067   13.5   0.0   437   472     7    42     5    44 0.94 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+      -            156 31374at50557         -            569   5.5e-25   86.4   0.1   2   2   1.3e-23   3.8e-22   77.1   0.1   343   459    39   156    36   156 0.96 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+       -            853 31374at50557         -            569   9.5e-25   85.7  22.3   1   5   0.00024    0.0073   13.4   0.3   394   459    25    97    22    99 0.77 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+       -            853 31374at50557         -            569   9.5e-25   85.7  22.3   2   5   0.00013    0.0038   14.4   1.4   343   416    65   140    57   145 0.79 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+       -            853 31374at50557         -            569   9.5e-25   85.7  22.3   3   5      0.91        28    1.6   0.8   205   304   169   265   161   279 0.67 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+       -            853 31374at50557         -            569   9.5e-25   85.7  22.3   4   5   1.2e-15   3.6e-14   50.7   0.8   361   488   293   426   280   432 0.85 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+       -            853 31374at50557         -            569   9.5e-25   85.7  22.3   5   5   3.9e-09   1.2e-07   29.2   0.0   361   532   420   583   410   600 0.79 -
43553at50557_103372_0:0013d1|STRG.7364.3:48-1112|+      -            355 31374at50557         -            569     2e-24   84.6   4.7   1   3   2.4e-15   7.2e-14   49.7   0.1   384   460    39   116    30   131 0.92 -
43553at50557_103372_0:0013d1|STRG.7364.3:48-1112|+      -            355 31374at50557         -            569     2e-24   84.6   4.7   2   3   0.00049     0.015   12.4   0.0   422   478   160   216   157   221 0.93 -
43553at50557_103372_0:0013d1|STRG.7364.3:48-1112|+      -            355 31374at50557         -            569     2e-24   84.6   4.7   3   3   4.9e-09   1.5e-07   28.9   0.9   343   468   207   331   205   354 0.77 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+       -            793 31374at50557         -            569   2.1e-24   84.5  20.5   1   4   0.00016    0.0048   14.0   1.7   343   416     5    80     2    85 0.78 -
