#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_7004_0:0045a0|STRG.16512.1:1-903|+       -            301 35385at50557         -            530  1.6e-171  570.6   1.1   1   1  1.7e-173  1.9e-171  570.4   1.1   164   440     1   301     1   301 0.96 -
35385at50557_7370_0:001aad|STRG.15942.1:1191-2468|+   -            426 35385at50557         -            530   3.9e-73  245.9   0.0   1   1   4.4e-75   4.7e-73  245.6   0.0   127   477    54   426    38   426 0.86 -
35385at50557_7370_0:001aad|STRG.15942.3:612-1889|+    -            426 35385at50557         -            530   3.9e-73  245.9   0.0   1   1   4.4e-75   4.7e-73  245.6   0.0   127   477    54   426    38   426 0.86 -
18450at50557_1155016_0:0026c2|STRG.17079.1:995-2197|+ -            401 35385at50557         -            530     2e-72  243.6   0.0   1   1   2.2e-74   2.4e-72  243.3   0.0   126   483    10   400     2   401 0.85 -
18450at50557_144034_0:001371|STRG.10469.1:0-2852|+    -            951 35385at50557         -            530     8e-71  238.3   0.0   1   1   1.4e-72   1.5e-70  237.4   0.0   126   489   286   672   258   685 0.85 -
35385at50557_123851_0:00322b|STRG.16511.1:167-799|+   -            211 35385at50557         -            530   2.2e-70  236.8   1.9   1   1   2.7e-72   2.9e-70  236.4   1.9     5   162    24   211    21   211 0.92 -
35385at50557_123851_0:00322b|STRG.16511.2:98-730|+    -            211 35385at50557         -            530   2.2e-70  236.8   1.9   1   1   2.7e-72   2.9e-70  236.4   1.9     5   162    24   211    21   211 0.92 -
35385at50557_123851_0:00322b|STRG.16511.3:33-677|+    -            215 35385at50557         -            530   2.4e-70  236.7   1.9   1   1   2.9e-72   3.1e-70  236.3   1.9     5   162    28   215    25   215 0.92 -
35385at50557_37001_0:001231|STRG.13467.4:201-1280|+   -            360 35385at50557         -            530     5e-60  202.6   0.0   1   1   5.5e-62   5.9e-60  202.4   0.0   125   420    45   360    17   360 0.84 -
35385at50557_37001_0:001231|STRG.13467.5:201-1280|+   -            360 35385at50557         -            530     5e-60  202.6   0.0   1   1   5.5e-62   5.9e-60  202.4   0.0   125   420    45   360    17   360 0.84 -
43304at50557_568069_0:003ee6|STRG.1168.1:142-1446|+   -            435 35385at50557         -            530   3.9e-58  196.4   0.9   1   1   4.6e-60   4.9e-58  196.1   0.9   130   472    18   375     9   419 0.86 -
43304at50557_568069_0:003ee6|STRG.1168.2:3-1238|+     -            412 35385at50557         -            530   1.1e-57  194.9   0.9   1   1   1.3e-59   1.4e-57  194.6   0.9   149   472    14   352     3   396 0.87 -
29312at50557_116153_0:001f21|STRG.810.1:450-1589|+    -            380 35385at50557         -            530   2.3e-57  193.9   1.0   1   1   2.5e-59   2.7e-57  193.6   1.0   130   479     1   369     1   374 0.87 -
46658at50557_28612_0:0048c7|STRG.9429.1:99-1220|+     -            374 35385at50557         -            530   8.5e-54  182.1   0.0   1   1   9.4e-56     1e-53  181.8   0.0   130   472     6   366     2   374 0.85 -
46658at50557_211228_0:001f32|STRG.3167.1:51-1145|+    -            365 35385at50557         -            530   9.3e-52  175.4   1.6   1   1     1e-53   1.1e-51  175.1   1.6   131   470     1   355     1   364 0.85 -
68043at50557_456900_0:001f98|STRG.14512.2:0-1586|+    -            529 35385at50557         -            530   7.2e-51  172.4   0.1   1   1   9.4e-53     1e-50  171.9   0.1   111   488    77   485    24   490 0.83 -
68043at50557_34720_0:001307|STRG.14512.1:137-1810|+   -            558 35385at50557         -            530   8.5e-51  172.2   0.1   1   1   1.1e-52   1.2e-50  171.7   0.1   111   488   106   514    53   519 0.83 -
65449at50557_42026_0:002fbc|STRG.10164.1:117-1430|+   -            438 35385at50557         -            530   4.6e-48  163.2   0.0   1   1   5.4e-50   5.8e-48  162.8   0.0   132   450     2   339     1   365 0.83 -
65449at50557_34720_0:000b83|STRG.12673.1:187-2941|+   -            587 35385at50557         -            530   2.9e-47  160.6   0.1   1   1   4.4e-49   4.7e-47  159.8   0.1   135   452    12   352     3   402 0.85 -
46658at50557_219809_0:0017ae|STRG.15186.1:508-1857|+  -            450 35385at50557         -            530   5.2e-47  159.7   0.8   1   1   6.1e-49   6.5e-47  159.4   0.8   124   468    56   413    20   429 0.83 -
46658at50557_219809_0:0017ae|STRG.15186.2:1122-2471|+ -            450 35385at50557         -            530   5.2e-47  159.7   0.8   1   1   6.1e-49   6.5e-47  159.4   0.8   124   468    56   413    20   429 0.83 -
65449at50557_34720_0:000b83|STRG.12673.3:0-1763|+     -            588 35385at50557         -            530   6.7e-47  159.3   0.1   1   1     1e-48   1.1e-46  158.6   0.1   135   452    12   353     3   403 0.84 -
35385at50557_7536_0:00469e|STRG.16513.1:0-317|+       -            106 35385at50557         -            530   1.3e-44  151.8   0.1   1   1   1.9e-46     2e-44  151.1   0.1   441   530     1   106     1   106 0.89 -
46658at50557_28612_0:0048c7|STRG.11789.1:216-1400|+   -            395 35385at50557         -            530   3.9e-44  150.2   2.1   1   1   4.6e-46   4.9e-44  149.9   2.1   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.11789.2:216-1400|+   -            395 35385at50557         -            530   3.9e-44  150.2   2.1   1   1   4.6e-46   4.9e-44  149.9   2.1   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.11789.3:216-2566|+   -            395 35385at50557         -            530   3.9e-44  150.2   2.1   1   1   4.6e-46   4.9e-44  149.9   2.1   129   469    16   375     3   386 0.83 -
65449at50557_7220_0:002055|STRG.4386.1:1185-2996|+    -            604 35385at50557         -            530   6.8e-43  146.1   0.6   1   3   1.5e-28   1.6e-26   92.1   0.0   146   297     2   164     1   169 0.84 -
65449at50557_7220_0:002055|STRG.4386.1:1185-2996|+    -            604 35385at50557         -            530   6.8e-43  146.1   0.6   2   3      0.09       9.7    3.7   0.0   296   329   268   303   251   310 0.80 -
65449at50557_7220_0:002055|STRG.4386.1:1185-2996|+    -            604 35385at50557         -            530   6.8e-43  146.1   0.6   3   3   6.8e-15   7.3e-13   47.0   0.0   390   477   404   497   389   520 0.77 -
46658at50557_211228_0:001f32|STRG.15110.1:99-1172|+   -            358 35385at50557         -            530   1.7e-41  141.5   0.7   1   1   1.9e-43     2e-41  141.3   0.7   131   470     1   348     1   357 0.85 -
65449at50557_7237_0:000776|STRG.3410.1:226-1503|+     -            426 35385at50557         -            530   1.7e-39  134.9   0.0   1   1   1.9e-41     2e-39  134.6   0.0   202   450     8   277     1   301 0.81 -
43304at50557_34720_0:00174e|STRG.791.1:151-2355|+     -            735 35385at50557         -            530   1.3e-38  131.9   6.0   1   3   3.1e-11   3.3e-09   34.9   0.0   126   192   135   202   123   217 0.87 -
43304at50557_34720_0:00174e|STRG.791.1:151-2355|+     -            735 35385at50557         -            530   1.3e-38  131.9   6.0   2   3   9.1e-14   9.8e-12   43.3   0.0   203   310   253   378   231   401 0.76 -
43304at50557_34720_0:00174e|STRG.791.1:151-2355|+     -            735 35385at50557         -            530   1.3e-38  131.9   6.0   3   3   1.9e-17     2e-15   55.4   0.0   389   458   489   564   408   585 0.80 -
43304at50557_34720_0:00174e|STRG.791.2:0-2204|+       -            735 35385at50557         -            530   1.3e-38  131.9   6.0   1   3   3.1e-11   3.3e-09   34.9   0.0   126   192   135   202   123   217 0.87 -
43304at50557_34720_0:00174e|STRG.791.2:0-2204|+       -            735 35385at50557         -            530   1.3e-38  131.9   6.0   2   3   9.1e-14   9.8e-12   43.3   0.0   203   310   253   378   231   401 0.76 -
43304at50557_34720_0:00174e|STRG.791.2:0-2204|+       -            735 35385at50557         -            530   1.3e-38  131.9   6.0   3   3   1.9e-17     2e-15   55.4   0.0   389   458   489   564   408   585 0.80 -
46658at50557_7274_0:00208b|STRG.5936.2:137-1170|+     -            336 35385at50557         -            530     6e-37  126.5   0.2   1   1     7e-39   7.5e-37  126.2   0.2   129   446    11   336     3   336 0.87 -
46658at50557_6973_0:00426b|STRG.11425.1:3-702|+       -            170 35385at50557         -            530   2.7e-33  114.4   0.0   1   1   2.7e-35   2.9e-33  114.3   0.0   148   311     5   168     1   170 0.90 -
65449at50557_217634_0:0037dd|STRG.13926.1:534-1780|+  -            397 35385at50557         -            530   9.1e-33  112.7   0.1   1   1     1e-34   1.1e-32  112.4   0.1   155   480     1   322     1   371 0.80 -
65449at50557_217634_0:0037dd|STRG.13926.2:534-1780|+  -            397 35385at50557         -            530   9.1e-33  112.7   0.1   1   1     1e-34   1.1e-32  112.4   0.1   155   480     1   322     1   371 0.80 -
123578at50557_7168_0:0013fb|STRG.15010.1:421-1821|+   -            467 35385at50557         -            530   7.4e-30  103.1   0.3   1   1   3.2e-31   3.5e-29  100.9   0.2   129   452    72   428    55   446 0.80 -
46658at50557_174628_0:001983|STRG.18954.1:224-1333|+  -            370 35385at50557         -            530   1.6e-29  102.0   0.3   1   1     2e-31   2.2e-29  101.5   0.3   133   463     3   353     1   364 0.81 -
65449at50557_7425_0:001950|STRG.13926.3:367-1295|+    -            301 35385at50557         -            530   8.3e-27   93.0   0.1   1   1   9.6e-29     1e-26   92.7   0.1   155   443    10   301     6   301 0.81 -
41619at50557_103372_0:0019ac|STRG.18312.1:11-921|+    -            298 35385at50557         -            530   1.7e-23   82.1   0.0   1   1   1.8e-25   1.9e-23   81.9   0.0   146   327     4   196     1   244 0.84 -
41619at50557_103372_0:0019ac|STRG.18312.2:11-904|+    -            298 35385at50557         -            530   1.7e-23   82.1   0.0   1   1   1.8e-25   1.9e-23   81.9   0.0   146   327     4   196     1   244 0.84 -
46658at50557_144034_0:002a0f|STRG.15186.3:169-840|+   -            224 35385at50557         -            530   2.4e-23   81.6   0.2   1   1   2.6e-25   2.8e-23   81.4   0.2   124   286    50   215    15   223 0.84 -
57791at50557_34720_0:001e64|STRG.693.1:0-1973|+       -            658 35385at50557         -            530   6.6e-23   80.1   7.6   1   2   2.8e-11     3e-09   35.1   3.7    91   324    67   416    13   424 0.60 -
57791at50557_34720_0:001e64|STRG.693.1:0-1973|+       -            658 35385at50557         -            530   6.6e-23   80.1   7.6   2   2   1.6e-14   1.7e-12   45.8   0.1   408   525   530   650   463   655 0.81 -
46658at50557_28612_0:0048c7|STRG.5936.2:481-1170|+    -            230 35385at50557         -            530   8.1e-22   76.6   0.0   1   1   9.3e-24     1e-21   76.3   0.0   246   446    13   230     5   230 0.85 -
25910at50557_103372_0:001a63|STRG.17951.1:2-2629|+    -            605 35385at50557         -            530   4.2e-21   74.2   0.2   1   3    0.0014      0.15    9.7   0.0   201   225   199   223   188   235 0.86 -
25910at50557_103372_0:001a63|STRG.17951.1:2-2629|+    -            605 35385at50557         -            530   4.2e-21   74.2   0.2   2   3      0.28        31    2.0   0.0   260   292   228   263   222   307 0.74 -
25910at50557_103372_0:001a63|STRG.17951.1:2-2629|+    -            605 35385at50557         -            530   4.2e-21   74.2   0.2   3   3   1.6e-18   1.8e-16   58.9   0.0   364   464   382   495   350   499 0.86 -
46658at50557_168631_0:000a66|STRG.11789.3:2024-2566|+ -            181 35385at50557         -            530   8.2e-18   63.3   0.2   1   1   8.3e-20   8.9e-18   63.2   0.2   350   469    33   161     2   173 0.75 -
46658at50557_168631_0:000569|STRG.5936.1:137-487|+    -            117 35385at50557         -            530   8.7e-11   40.2   0.1   1   1   9.1e-13   9.8e-11   40.0   0.1   129   224    11   100     2   113 0.88 -
65449at50557_34720_0:000b83|STRG.12673.2:869-1798|+   -            310 35385at50557         -            530   9.7e-10   36.7   0.0   1   1   1.7e-11   1.9e-09   35.8   0.0   391   452    11    75     5   130 0.82 -
41619at50557_143948_0:002374|STRG.18313.1:8-658|+     -            217 35385at50557         -            530   7.2e-08   30.5   0.0   1   1   8.2e-10   8.9e-08   30.2   0.0   417   494    18   103    13   143 0.73 -
41619at50557_121225_0:000d27|STRG.6543.3:654-1595|+   -            314 35385at50557         -            530   8.8e-07   26.9   0.0   1   1   1.4e-08   1.6e-06   26.1   0.0   151   285    10   156     3   168 0.74 -
19244at50557_34720_0:002014|STRG.18598.3:0-4418|+     -           1473 35385at50557         -            530   1.2e-05   23.2   0.0   1   2       1.3   1.4e+02   -0.1   0.0   155   189   783   817   732   827 0.82 -
19244at50557_34720_0:002014|STRG.18598.3:0-4418|+     -           1473 35385at50557         -            530   1.2e-05   23.2   0.0   2   2   9.8e-07   0.00011   20.1   0.0   408   468  1070  1133  1046  1169 0.76 -
19244at50557_34720_0:002014|STRG.18598.4:454-4929|+   -           1492 35385at50557         -            530   1.2e-05   23.2   0.0   1   2       1.3   1.4e+02   -0.1   0.0   155   189   802   836   751   846 0.82 -
19244at50557_34720_0:002014|STRG.18598.4:454-4929|+   -           1492 35385at50557         -            530   1.2e-05   23.2   0.0   2   2   9.9e-07   0.00011   20.1   0.0   408   468  1089  1152  1065  1188 0.76 -
19244at50557_34720_0:002014|STRG.18598.5:127-4611|+   -           1495 35385at50557         -            530   1.2e-05   23.2   0.0   1   2       1.3   1.4e+02   -0.1   0.0   155   189   805   839   754   849 0.82 -
19244at50557_34720_0:002014|STRG.18598.5:127-4611|+   -           1495 35385at50557         -            530   1.2e-05   23.2   0.0   2   2   9.9e-07   0.00011   20.1   0.0   408   468  1092  1155  1068  1191 0.76 -
19244at50557_34720_0:002014|STRG.18598.1:117-4691|+   -           1525 35385at50557         -            530   1.3e-05   23.1   0.0   1   2       1.3   1.4e+02   -0.2   0.0   155   189   835   869   784   879 0.82 -
19244at50557_34720_0:002014|STRG.18598.1:117-4691|+   -           1525 35385at50557         -            530   1.3e-05   23.1   0.0   2   2     1e-06   0.00011   20.0   0.0   408   468  1122  1185  1098  1221 0.76 -
19244at50557_13037_0:00338e|STRG.18598.2:229-1719|+   -            497 35385at50557         -            530   1.6e-05   22.8   0.0   1   1   2.2e-07   2.3e-05   22.2   0.0   408   468    94   157    69   195 0.75 -
19244at50557_29053_0:002948|STRG.12343.1:1587-2774|+  -            396 35385at50557         -            530   1.9e-05   22.6   0.3   1   2      0.25        27    2.2   0.0   153   187     8    42     2    54 0.87 -
19244at50557_29053_0:002948|STRG.12343.1:1587-2774|+  -            396 35385at50557         -            530   1.9e-05   22.6   0.3   2   2   3.2e-06   0.00035   18.4   0.1   408   495   279   369   231   381 0.82 -
19244at50557_116153_0:001e22|STRG.5619.1:27-1052|+    -            342 35385at50557         -            530   5.7e-05   21.0   0.0   1   2     0.015       1.6    6.3   0.0   154   200     9    54     6    61 0.80 -
19244at50557_116153_0:001e22|STRG.5619.1:27-1052|+    -            342 35385at50557         -            530   5.7e-05   21.0   0.0   2   2   0.00021     0.022   12.4   0.0   367   451   243   334   237   338 0.79 -
19244at50557_7536_0:001656|STRG.5111.1:321-1445|+     -            375 35385at50557         -            530     0.013   13.2   0.1   1   2       1.3   1.4e+02   -0.2   0.0   164   189     2    27     1    40 0.88 -
19244at50557_7536_0:001656|STRG.5111.1:321-1445|+     -            375 35385at50557         -            530     0.013   13.2   0.1   2   2   0.00067     0.072   10.7   0.0   409   454   265   310   240   348 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/35385at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:34:37 2024
# [ok]
