#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
92898at50557_103372_0:00055a|STRG.17915.1:1334-2137|+  -            268 92898at50557         -            222  4.6e-109  361.6   3.9   1   1  1.4e-110  4.1e-108  358.5   3.9     1   222     3   249     3   249 0.95 -
138527at50557_7029_0:001a95|STRG.12254.1:18-317|+      -            100 92898at50557         -            222   5.3e-05   21.3   0.0   1   1   1.9e-07   5.9e-05   21.2   0.0   119   176    16    71     5    81 0.84 -
138527at50557_7029_0:001a95|STRG.12254.2:18-317|+      -            100 92898at50557         -            222   5.3e-05   21.3   0.0   1   1   1.9e-07   5.9e-05   21.2   0.0   119   176    16    71     5    81 0.84 -
138527at50557_1049336_0:004c49|STRG.3690.1:1214-1591|+ -            126 92898at50557         -            222   0.00026   19.1   0.0   1   1   9.1e-07   0.00028   19.0   0.0   115   160    36    82     9   108 0.77 -
65618at50557_64459_0:000660|STRG.1401.4:45-938|+       -            298 92898at50557         -            222   0.00074   17.6   0.1   1   2     6e-06    0.0018   16.3   0.1   111   196     7    91     2   121 0.79 -
65618at50557_64459_0:000660|STRG.1401.4:45-938|+       -            298 92898at50557         -            222   0.00074   17.6   0.1   2   2         6   1.8e+03   -3.3   0.0   104   134   142   172   140   173 0.82 -
60961at50557_104452_0:000511|STRG.8678.3:603-878|+     -             92 92898at50557         -            222   0.00076   17.5   0.2   1   1   2.5e-06   0.00076   17.5   0.2   116   147    29    60     9    83 0.86 -
65618at50557_64459_0:000660|STRG.1401.1:273-1118|+     -            282 92898at50557         -            222   0.00085   17.4   0.1   1   1   5.3e-06    0.0016   16.5   0.1   111   196     7    91     2   121 0.79 -
65618at50557_64459_0:000660|STRG.1401.2:367-1212|+     -            282 92898at50557         -            222   0.00085   17.4   0.1   1   1   5.3e-06    0.0016   16.5   0.1   111   196     7    91     2   121 0.79 -
60961at50557_74873_0:000464|STRG.8678.1:603-1283|+     -            227 92898at50557         -            222    0.0015   16.6   0.6   1   2     2e-05    0.0061   14.6   0.2   116   146    29    59     9    75 0.86 -
60961at50557_74873_0:000464|STRG.8678.1:603-1283|+     -            227 92898at50557         -            222    0.0015   16.6   0.6   2   2      0.65     2e+02   -0.2   0.0   137   188   169   218   151   224 0.76 -
60961at50557_74873_0:000464|STRG.8678.2:379-1059|+     -            227 92898at50557         -            222    0.0015   16.6   0.6   1   2     2e-05    0.0061   14.6   0.2   116   146    29    59     9    75 0.86 -
60961at50557_74873_0:000464|STRG.8678.2:379-1059|+     -            227 92898at50557         -            222    0.0015   16.6   0.6   2   2      0.65     2e+02   -0.2   0.0   137   188   169   218   151   224 0.76 -
60961at50557_74873_0:000464|STRG.8678.4:252-932|+      -            227 92898at50557         -            222    0.0015   16.6   0.6   1   2     2e-05    0.0061   14.6   0.2   116   146    29    59     9    75 0.86 -
60961at50557_74873_0:000464|STRG.8678.4:252-932|+      -            227 92898at50557         -            222    0.0015   16.6   0.6   2   2      0.65     2e+02   -0.2   0.0   137   188   169   218   151   224 0.76 -
60961at50557_74873_0:000464|STRG.8678.5:105-785|+      -            227 92898at50557         -            222    0.0015   16.6   0.6   1   2     2e-05    0.0061   14.6   0.2   116   146    29    59     9    75 0.86 -
60961at50557_74873_0:000464|STRG.8678.5:105-785|+      -            227 92898at50557         -            222    0.0015   16.6   0.6   2   2      0.65     2e+02   -0.2   0.0   137   188   169   218   151   224 0.76 -
60961at50557_286306_0:0036dd|STRG.12390.2:995-1225|+   -             77 92898at50557         -            222    0.0028   15.7   0.0   1   1     1e-05    0.0032   15.5   0.0   120   173    18    72     5    76 0.84 -
138527at50557_1049336_0:004c49|STRG.8383.1:1035-1319|+ -             95 92898at50557         -            222    0.0057   14.7   0.0   1   1   1.9e-05    0.0059   14.6   0.0   117   159    35    77    12    91 0.81 -
138527at50557_224129_0:002956|STRG.12390.1:867-1154|+  -             96 92898at50557         -            222     0.021   12.8   0.0   1   1   8.2e-05     0.025   12.6   0.0   123   195    13    82     4    93 0.82 -
65618at50557_110193_0:0020cd|STRG.3690.1:281-970|+     -            230 92898at50557         -            222     0.023   12.7   0.0   1   1   0.00012     0.037   12.0   0.0   116   173     7    66     2    82 0.77 -
60961at50557_7493_0:002994|STRG.8383.1:54-743|+        -            230 92898at50557         -            222     0.025   12.6   0.0   1   1   0.00012     0.038   12.0   0.0   112   146    13    47     7    85 0.80 -
138527at50557_103372_0:00284e|STRG.12259.1:0-416|+     -            139 92898at50557         -            222     0.036   12.1   0.0   1   1   0.00015     0.044   11.8   0.0   119   195    51   120    28   137 0.81 -
65618at50557_64459_0:000660|STRG.1401.3:299-1090|+     -            264 92898at50557         -            222      0.05   11.6   0.0   1   1   0.00031     0.094   10.7   0.0   124   196     2    73     1   104 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/92898at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/92898at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/92898at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:59 2024
# [ok]
