#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
27737at50557_103372_0:000a01|STRG.9979.1:0-1832|+      -            611 27737at50557         -            506  7.2e-264  874.8  10.1   1   1  2.8e-265  2.6e-263  872.9  10.1     6   506    27   605    22   605 0.91 -
78072at50557_7038_0:0021a3|STRG.17926.3:316-1059|+     -            248 27737at50557         -            506   1.9e-06   25.5   0.1   1   2   5.8e-08   5.3e-06   24.1   0.0    44    98    68   130    62   140 0.85 -
78072at50557_7038_0:0021a3|STRG.17926.3:316-1059|+     -            248 27737at50557         -            506   1.9e-06   25.5   0.1   2   2       5.4   4.9e+02   -2.2   0.0    81    99   209   227   191   237 0.69 -
78072at50557_7038_0:0021a3|STRG.17926.4:316-1059|+     -            248 27737at50557         -            506   1.9e-06   25.5   0.1   1   2   5.8e-08   5.3e-06   24.1   0.0    44    98    68   130    62   140 0.85 -
78072at50557_7038_0:0021a3|STRG.17926.4:316-1059|+     -            248 27737at50557         -            506   1.9e-06   25.5   0.1   2   2       5.4   4.9e+02   -2.2   0.0    81    99   209   227   191   237 0.69 -
78072at50557_7038_0:0021a3|STRG.17926.1:331-1179|+     -            283 27737at50557         -            506   2.5e-06   25.1   0.1   1   2   7.5e-08   6.9e-06   23.7   0.0    44    98   103   165    98   175 0.85 -
78072at50557_7038_0:0021a3|STRG.17926.1:331-1179|+     -            283 27737at50557         -            506   2.5e-06   25.1   0.1   2   2       6.7   6.2e+02   -2.5   0.0    81    99   244   262   226   269 0.68 -
78072at50557_7038_0:0021a3|STRG.17926.2:331-1179|+     -            283 27737at50557         -            506   2.5e-06   25.1   0.1   1   2   7.5e-08   6.9e-06   23.7   0.0    44    98   103   165    98   175 0.85 -
78072at50557_7038_0:0021a3|STRG.17926.2:331-1179|+     -            283 27737at50557         -            506   2.5e-06   25.1   0.1   2   2       6.7   6.2e+02   -2.5   0.0    81    99   244   262   226   269 0.68 -
78072at50557_7038_0:0021a3|STRG.17926.5:331-1179|+     -            283 27737at50557         -            506   2.5e-06   25.1   0.1   1   2   7.5e-08   6.9e-06   23.7   0.0    44    98   103   165    98   175 0.85 -
78072at50557_7038_0:0021a3|STRG.17926.5:331-1179|+     -            283 27737at50557         -            506   2.5e-06   25.1   0.1   2   2       6.7   6.2e+02   -2.5   0.0    81    99   244   262   226   269 0.68 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 27737at50557         -            506   4.8e-06   24.2   1.1   1   3    0.0003     0.028   11.8   0.2    37    95    46   109    29   110 0.68 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 27737at50557         -            506   4.8e-06   24.2   1.1   2   3     0.007      0.64    7.3   0.0   185   217    86   118    81   122 0.87 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 27737at50557         -            506   4.8e-06   24.2   1.1   3   3    0.0088      0.81    7.0   0.1    45    99   137   199   122   217 0.61 -
43553at50557_103372_0:0013d1|STRG.7364.3:48-1112|+     -            355 27737at50557         -            506   1.1e-05   23.0   0.4   1   2      0.19        17    2.6   0.0    24   105    35   126    15   144 0.63 -
43553at50557_103372_0:0013d1|STRG.7364.3:48-1112|+     -            355 27737at50557         -            506   1.1e-05   23.0   0.4   2   2   4.3e-06   0.00039   17.9   0.3    31   100   210   286   201   325 0.78 -
43553at50557_103372_0:0013d1|STRG.7364.1:0-1127|+      -            376 27737at50557         -            506   1.5e-05   22.6   0.5   1   2      0.21        19    2.4   0.0    24   105    34   125    14   143 0.62 -
43553at50557_103372_0:0013d1|STRG.7364.1:0-1127|+      -            376 27737at50557         -            506   1.5e-05   22.6   0.5   2   2   4.5e-06   0.00042   17.8   0.4    31    99   209   284   191   322 0.79 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+    -            206 27737at50557         -            506   1.5e-05   22.6   0.7   1   2    0.0098      0.91    6.8   0.0   177   207    54    88    44    99 0.75 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+    -            206 27737at50557         -            506   1.5e-05   22.6   0.7   2   2   7.9e-05    0.0073   13.7   0.3    44   106   116   184   102   193 0.81 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 27737at50557         -            506   1.6e-05   22.5   4.0   1   4      0.04       3.7    4.8   0.1    31    95    14    82    11    93 0.72 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 27737at50557         -            506   1.6e-05   22.5   4.0   2   4      0.63        58    0.9   0.0   184   224    98   138    90   151 0.76 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 27737at50557         -            506   1.6e-05   22.5   4.0   3   4     0.046       4.3    4.6   0.0    46    98   189   245   179   253 0.69 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 27737at50557         -            506   1.6e-05   22.5   4.0   4   4    0.0019      0.17    9.2   0.2    31    59   258   285   254   287 0.80 -
43553at50557_103372_0:0013d1|STRG.7364.2:0-1190|+      -            397 27737at50557         -            506   1.7e-05   22.4   0.5   1   2      0.23        21    2.3   0.0    24   105    77   168    57   186 0.62 -
43553at50557_103372_0:0013d1|STRG.7364.2:0-1190|+      -            397 27737at50557         -            506   1.7e-05   22.4   0.5   2   2     5e-06   0.00046   17.7   0.3    31   100   252   328   242   370 0.78 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   1   3     0.045       4.2    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   2   3     0.053       4.9    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   3   3   0.00029     0.027   11.8   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   1   3     0.045       4.2    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   2   3     0.053       4.9    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   3   3   0.00029     0.027   11.8   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   1   3     0.045       4.2    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   2   3     0.053       4.9    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   3   3   0.00029     0.027   11.8   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   1   3     0.045       4.2    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   2   3     0.053       4.9    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   3   3   0.00029     0.027   11.8   0.0    18   100   157   248   139   269 0.72 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   1   3     0.045       4.2    4.6   0.1    38    62    22    46    10    62 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   2   3     0.053       4.9    4.4   0.1   142   209    28    98    23   124 0.57 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+   -            320 27737at50557         -            506   2.4e-05   21.9   0.3   3   3   0.00029     0.027   11.8   0.0    18   100   157   248   139   269 0.72 -
22030at50557_104452_0:001960|STRG.11310.1:0-965|+      -            242 27737at50557         -            506   2.5e-05   21.9   0.5   1   2   3.9e-05    0.0036   14.7   0.3    23   100    48   133    34   168 0.74 -
22030at50557_104452_0:001960|STRG.11310.1:0-965|+      -            242 27737at50557         -            506   2.5e-05   21.9   0.5   2   2     0.025       2.3    5.5   0.0    31    75   192   236   183   241 0.78 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 27737at50557         -            506   3.2e-05   21.5   0.1   1   4      0.01      0.92    6.8   0.0   183   211   123   151   100   156 0.85 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 27737at50557         -            506   3.2e-05   21.5   0.1   2   4      0.21        19    2.4   0.0    31    64   251   284   225   303 0.85 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 27737at50557         -            506   3.2e-05   21.5   0.1   3   4    0.0086      0.79    7.0   0.0    37    95   373   438   362   448 0.57 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 27737at50557         -            506   3.2e-05   21.5   0.1   4   4       2.2     2e+02   -0.9   0.0   170   207   442   479   435   480 0.89 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 27737at50557         -            506   4.6e-05   21.0   0.5   1   5     0.033         3    5.1   0.0   179   217     5    43     1    50 0.89 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 27737at50557         -            506   4.6e-05   21.0   0.5   2   5     0.023       2.1    5.6   0.0    41    96    58   119    45   128 0.69 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 27737at50557         -            506   4.6e-05   21.0   0.5   3   5       1.6   1.5e+02   -0.5   0.0   185   214   137   166   131   179 0.62 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 27737at50557         -            506   4.6e-05   21.0   0.5   4   5      0.37        34    1.6   0.0   186   218   181   213   177   219 0.87 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 27737at50557         -            506   4.6e-05   21.0   0.5   5   5      0.34        32    1.7   0.1    39    79   228   267   220   291 0.65 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 27737at50557         -            506   6.1e-05   20.6   0.5   1   6      0.04       3.7    4.8   0.0   180   217     5    42     1    46 0.89 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 27737at50557         -            506   6.1e-05   20.6   0.5   2   6     0.021       1.9    5.7   0.0    41    97    57   119    44   131 0.70 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 27737at50557         -            506   6.1e-05   20.6   0.5   3   6       2.5   2.3e+02   -1.1   0.0    31    60   130   160   120   164 0.72 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 27737at50557         -            506   6.1e-05   20.6   0.5   4   6       1.7   1.6e+02   -0.6   0.0   185   213   136   164   130   174 0.58 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 27737at50557         -            506   6.1e-05   20.6   0.5   5   6      0.31        29    1.8   0.0   186   218   180   212   175   225 0.87 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 27737at50557         -            506   6.1e-05   20.6   0.5   6   6      0.45        42    1.3   0.1    38    79   226   266   216   288 0.77 -
71739at50557_103372_0:00145d|STRG.7372.1:0-965|+       -            322 27737at50557         -            506   0.00012   19.5   0.0   1   3       5.9   5.4e+02   -2.4   0.0   187   214    55    82    49    91 0.80 -
71739at50557_103372_0:00145d|STRG.7372.1:0-965|+       -            322 27737at50557         -            506   0.00012   19.5   0.0   2   3     7e-06   0.00064   17.2   0.0    44   108   156   226   144   244 0.78 -
71739at50557_103372_0:00145d|STRG.7372.1:0-965|+       -            322 27737at50557         -            506   0.00012   19.5   0.0   3   3       4.3   3.9e+02   -1.9   0.0   184   210   286   312   260   315 0.79 -
71739at50557_103372_0:00145d|STRG.7372.2:110-1042|+    -            311 27737at50557         -            506   0.00021   18.8   0.0   1   2       5.2   4.8e+02   -2.2   0.0   187   214    59    86    51    96 0.80 -
71739at50557_103372_0:00145d|STRG.7372.2:110-1042|+    -            311 27737at50557         -            506   0.00021   18.8   0.0   2   2   6.5e-06    0.0006   17.3   0.0    44   108   160   230   148   248 0.78 -
43121at50557_103372_0:001d6c|STRG.9312.1:248-1243|+    -            332 27737at50557         -            506   0.00032   18.2   0.0   1   2   0.00034     0.031   11.6   0.0   185   242   219   274   196   278 0.79 -
43121at50557_103372_0:001d6c|STRG.9312.1:248-1243|+    -            332 27737at50557         -            506   0.00032   18.2   0.0   2   2    0.0081      0.75    7.1   0.0    32    79   265   312   257   331 0.61 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   1   5       1.2   1.1e+02   -0.0   0.0    31    59     1    30     1    37 0.84 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   2   5      0.18        17    2.6   0.0   185   218    90   123    84   139 0.90 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   3   5       4.8   4.5e+02   -2.1   0.0    34    58   130   154   127   159 0.79 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   4   5       1.3   1.2e+02   -0.2   0.0   182   216   222   256   208   271 0.80 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   5   5    0.0038      0.35    8.2   0.1    31    96   341   414   326   425 0.58 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   1   5       1.2   1.1e+02   -0.0   0.0    31    59     1    30     1    37 0.84 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   2   5      0.18        17    2.6   0.0   185   218    90   123    84   139 0.90 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   3   5       4.8   4.5e+02   -2.1   0.0    34    58   130   154   127   159 0.79 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   4   5       1.3   1.2e+02   -0.2   0.0   182   216   222   256   208   271 0.80 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   5   5    0.0038      0.35    8.2   0.1    31    96   341   414   326   425 0.58 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   1   5       1.2   1.1e+02   -0.0   0.0    31    59     1    30     1    37 0.84 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   2   5      0.18        17    2.6   0.0   185   218    90   123    84   139 0.90 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   3   5       4.8   4.5e+02   -2.1   0.0    34    58   130   154   127   159 0.79 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   4   5       1.3   1.2e+02   -0.2   0.0   182   216   222   256   208   271 0.80 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 27737at50557         -            506   0.00033   18.1   1.8   5   5    0.0038      0.35    8.2   0.1    31    96   341   414   326   425 0.58 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+  -            515 27737at50557         -            506   0.00035   18.0   0.0   1   3     0.013       1.2    6.4   0.0   185   223   360   398   354   404 0.89 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+  -            515 27737at50557         -            506   0.00035   18.0   0.0   2   3     0.083       7.6    3.7   0.0   185   215   402   432   398   437 0.88 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+  -            515 27737at50557         -            506   0.00035   18.0   0.0   3   3     0.052       4.8    4.4   0.0    31    65   438   473   421   483 0.86 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+   -            515 27737at50557         -            506   0.00035   18.0   0.0   1   3     0.013       1.2    6.4   0.0   185   223   360   398   354   404 0.89 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+   -            515 27737at50557         -            506   0.00035   18.0   0.0   2   3     0.083       7.6    3.7   0.0   185   215   402   432   398   437 0.88 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+   -            515 27737at50557         -            506   0.00035   18.0   0.0   3   3     0.052       4.8    4.4   0.0    31    65   438   473   421   483 0.86 -
49370at50557_1155016_0:000d9f|STRG.13802.2:14-331|+    -            106 27737at50557         -            506   0.00063   17.2   0.2   1   1   0.00013     0.012   13.0   0.2   168   206    67   105    13   106 0.66 -
25500at50557_121845_0:000041|STRG.14386.1:502-1215|+   -            238 27737at50557         -            506    0.0007   17.1   0.2   1   2      0.47        43    1.3   0.1    31    78    41    89    22    99 0.71 -
25500at50557_121845_0:000041|STRG.14386.1:502-1215|+   -            238 27737at50557         -            506    0.0007   17.1   0.2   2   2   0.00011    0.0099   13.3   0.0    48    96   103   158    96   167 0.83 -
25500at50557_121845_0:000041|STRG.14386.2:189-902|+    -            238 27737at50557         -            506    0.0007   17.1   0.2   1   2      0.47        43    1.3   0.1    31    78    41    89    22    99 0.71 -
25500at50557_121845_0:000041|STRG.14386.2:189-902|+    -            238 27737at50557         -            506    0.0007   17.1   0.2   2   2   0.00011    0.0099   13.3   0.0    48    96   103   158    96   167 0.83 -
14512at50557_197043_0:0050fb|STRG.4714.1:382-726|+     -            115 27737at50557         -            506   0.00075   17.0   1.2   1   2   2.2e-05    0.0021   15.5   1.2    31    97     4    78     3    87 0.79 -
14512at50557_197043_0:0050fb|STRG.4714.1:382-726|+     -            115 27737at50557         -            506   0.00075   17.0   1.2   2   2   0.00053     0.049   11.0   0.2    34    77    50    93    40   115 0.63 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+     -            268 27737at50557         -            506    0.0015   15.9   2.2   1   4       1.6   1.5e+02   -0.5   0.0    80    95    43    58     3    67 0.49 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+     -            268 27737at50557         -            506    0.0015   15.9   2.2   2   4      0.24        22    2.2   0.1    40    75    39    73    32    81 0.77 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+     -            268 27737at50557         -            506    0.0015   15.9   2.2   3   4   0.00017     0.016   12.6   0.3    30    96    70   145    63   155 0.76 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+     -            268 27737at50557         -            506    0.0015   15.9   2.2   4   4       1.3   1.2e+02   -0.2   0.0    45    59   216   230   200   237 0.76 -
40115at50557_29031_0:00277e|STRG.18933.1:1235-2020|+   -            262 27737at50557         -            506     0.002   15.5   0.3   1   5       4.7   4.3e+02   -2.0   0.0   115   146    19    52    12    57 0.74 -
40115at50557_29031_0:00277e|STRG.18933.1:1235-2020|+   -            262 27737at50557         -            506     0.002   15.5   0.3   2   5       1.4   1.3e+02   -0.4   0.0   194   220    61    88    46   108 0.68 -
40115at50557_29031_0:00277e|STRG.18933.1:1235-2020|+   -            262 27737at50557         -            506     0.002   15.5   0.3   3   5   0.00093     0.085   10.2   0.0   189   222   152   185   139   193 0.78 -
40115at50557_29031_0:00277e|STRG.18933.1:1235-2020|+   -            262 27737at50557         -            506     0.002   15.5   0.3   4   5       2.7   2.5e+02   -1.2   0.0   190   214   198   222   189   235 0.69 -
40115at50557_29031_0:00277e|STRG.18933.1:1235-2020|+   -            262 27737at50557         -            506     0.002   15.5   0.3   5   5       2.7   2.5e+02   -1.2   0.0   183   207   233   257   225   259 0.80 -
40115at50557_29031_0:00277e|STRG.18933.4:1235-2020|+   -            262 27737at50557         -            506     0.002   15.5   0.3   1   5       4.7   4.3e+02   -2.0   0.0   115   146    19    52    12    57 0.74 -
40115at50557_29031_0:00277e|STRG.18933.4:1235-2020|+   -            262 27737at50557         -            506     0.002   15.5   0.3   2   5       1.4   1.3e+02   -0.4   0.0   194   220    61    88    46   108 0.68 -
