#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17536at50557_103372_0:00299d|STRG.7965.1:0-1967|+       -            656 17536at50557         -            591  3.1e-212  704.9  28.3   1   1  8.1e-211  5.7e-209  694.1  28.3    74   591     1   655     1   655 0.83 -
17536at50557_7493_0:002a62|STRG.11187.3:6474-7784|+     -            437 17536at50557         -            591   2.3e-16   58.1  27.5   3   3   8.6e-14     6e-12   43.5   0.2   369   591   188   437   183   437 0.70 -
98621at50557_286706_0:000660|STRG.10653.2:95-820|+      -            242 17536at50557         -            591   4.9e-16   57.0   0.0   1   1   9.9e-18   6.9e-16   56.5   0.0   394   588    15   238     1   240 0.73 -
17536at50557_7493_0:002a62|STRG.11187.1:6474-7787|+     -            438 17536at50557         -            591   6.8e-16   56.5  28.0   1   3      0.04       2.8    5.0  14.8   257   304     1    57     1    62 0.76 -
17536at50557_7493_0:002a62|STRG.11187.1:6474-7787|+     -            438 17536at50557         -            591   6.8e-16   56.5  28.0   2   3   0.00012    0.0086   13.3   4.0   271   302    58    91    51   101 0.83 -
17536at50557_7493_0:002a62|STRG.11187.1:6474-7787|+     -            438 17536at50557         -            591   6.8e-16   56.5  28.0   3   3   2.2e-13   1.5e-11   42.1   0.3   369   591   188   438   183   438 0.70 -
17536at50557_7493_0:002a62|STRG.11187.2:6306-7619|+     -            438 17536at50557         -            591   6.8e-16   56.5  28.0   1   3      0.04       2.8    5.0  14.8   257   304     1    57     1    62 0.76 -
17536at50557_7493_0:002a62|STRG.11187.2:6306-7619|+     -            438 17536at50557         -            591   6.8e-16   56.5  28.0   2   3   0.00012    0.0086   13.3   4.0   271   302    58    91    51   101 0.83 -
17536at50557_7493_0:002a62|STRG.11187.2:6306-7619|+     -            438 17536at50557         -            591   6.8e-16   56.5  28.0   3   3   2.2e-13   1.5e-11   42.1   0.3   369   591   188   438   183   438 0.70 -
98621at50557_286706_0:000660|STRG.10653.1:95-832|+      -            246 17536at50557         -            591   9.9e-16   56.0   0.0   1   1   2.3e-17   1.6e-15   55.3   0.0   394   588    15   242     1   244 0.72 -
98621at50557_79782_0:0026bc|STRG.10657.1:24-710|+       -            229 17536at50557         -            591   1.7e-14   51.9   0.0   1   1   9.8e-16   6.8e-14   49.9   0.0   394   587     8   229     5   229 0.76 -
98621at50557_174628_0:0021a4|STRG.2094.1:155-820|+      -            222 17536at50557         -            591   4.6e-14   50.5   0.0   1   1   8.8e-16   6.1e-14   50.1   0.0   394   591     7   221     3   221 0.81 -
98621at50557_7038_0:0003d0|STRG.16628.1:1-744|+         -            248 17536at50557         -            591   4.1e-12   44.0   0.1   1   1   7.6e-14   5.4e-12   43.7   0.1   394   587    15   248     1   248 0.71 -
45935at50557_67767_0:003589|STRG.8710.1:1-792|+         -            264 17536at50557         -            591   1.5e-11   42.1   0.2   1   2   1.5e-07   1.1e-05   22.8   0.1   396   493    26   136    13   147 0.66 -
45935at50557_67767_0:003589|STRG.8710.1:1-792|+         -            264 17536at50557         -            591   1.5e-11   42.1   0.2   2   2   5.8e-06   0.00041   17.6   0.0   522   591   187   259   176   259 0.80 -
98621at50557_110193_0:0027e7|STRG.12944.1:723-1436|+    -            238 17536at50557         -            591     3e-11   41.2   0.2   1   2   2.4e-08   1.6e-06   25.5   0.0   394   494    15   125     1   135 0.73 -
98621at50557_110193_0:0027e7|STRG.12944.1:723-1436|+    -            238 17536at50557         -            591     3e-11   41.2   0.2   2   2   7.8e-05    0.0054   13.9   0.1   552   587   203   238   156   238 0.88 -
107413at50557_79782_0:001336|STRG.9058.2:843-1601|+     -            253 17536at50557         -            591   4.6e-11   40.6   0.0   1   1   2.5e-12   1.7e-10   38.7   0.0   396   588    29   252    21   253 0.76 -
107413at50557_454923_0:0008d7|STRG.15150.1:151-777|+    -            209 17536at50557         -            591   6.9e-11   40.0   0.1   1   1   1.7e-12   1.2e-10   39.2   0.1   400   587     1   209     1   209 0.75 -
98621at50557_29031_0:002023|STRG.10718.1:113-949|+      -            243 17536at50557         -            591     1e-10   39.4   0.2   1   1   8.9e-12   6.2e-10   36.8   0.2   391   591    10   243     2   243 0.76 -
98621at50557_7460_0:000221|STRG.10718.2:177-896|+       -            240 17536at50557         -            591   1.6e-09   35.5   0.1   1   1   1.3e-10   9.2e-09   33.0   0.1   393   591     7   240     1   240 0.74 -
107413at50557_156304_0:00001e|STRG.10652.1:72-545|+     -            158 17536at50557         -            591     3e-09   34.6   0.0   1   1   5.1e-11   3.6e-09   34.3   0.0   473   590    19   157    15   158 0.81 -
98621at50557_13037_0:001de5|STRG.17172.1:222-956|+      -            245 17536at50557         -            591   4.5e-09   34.0   0.0   1   2   4.5e-07   3.1e-05   21.3   0.0   396   493     7   116     4   161 0.78 -
98621at50557_13037_0:001de5|STRG.17172.1:222-956|+      -            245 17536at50557         -            591   4.5e-09   34.0   0.0   2   2   0.00062     0.043   10.9   0.0   556   591   210   245   202   245 0.93 -
98621at50557_28612_0:00515f|STRG.16649.1:161-589|+      -            143 17536at50557         -            591   8.7e-09   33.0   0.0   1   1   1.5e-10   1.1e-08   32.8   0.0   396   497    13   129     6   138 0.74 -
98621at50557_136037_0:0009c4|STRG.16645.1:2567-3367|+   -            267 17536at50557         -            591   1.5e-08   32.3   0.0   1   1   2.7e-10   1.9e-08   32.0   0.0   393   581    33   261     7   267 0.65 -
98621at50557_29031_0:002023|STRG.7285.2:1741-2526|+     -            262 17536at50557         -            591   1.8e-08   32.0   0.0   1   1   3.6e-10   2.5e-08   31.5   0.0   394   591    31   262     2   262 0.72 -
98621at50557_29031_0:002023|STRG.7285.3:48-773|+        -            242 17536at50557         -            591   2.4e-08   31.6   0.0   1   1   5.1e-10   3.6e-08   31.0   0.0   396   591    13   242     3   242 0.73 -
107413at50557_108931_0:000e8f|STRG.18081.2:990-1721|+   -            244 17536at50557         -            591   7.2e-08   30.0   0.0   1   1   3.1e-09   2.2e-07   28.5   0.0   396   587    14   244     7   244 0.70 -
107413at50557_108931_0:000e8f|STRG.18081.3:1095-1826|+  -            244 17536at50557         -            591   7.2e-08   30.0   0.0   1   1   3.1e-09   2.2e-07   28.5   0.0   396   587    14   244     7   244 0.70 -
98621at50557_166361_0:000283|STRG.10647.1:291-1034|+    -            248 17536at50557         -            591   8.4e-08   29.8   0.0   1   1   1.9e-09   1.3e-07   29.1   0.0   394   538    17   187     1   248 0.62 -
98621at50557_13249_0:0015dd|STRG.10646.1:231-941|+      -            237 17536at50557         -            591   9.3e-08   29.7   0.0   1   1   2.4e-09   1.7e-07   28.8   0.0   398   587    18   237     9   237 0.73 -
98621at50557_79782_0:0026bc|STRG.15203.1:28-708|+       -            227 17536at50557         -            591     1e-07   29.5   0.0   1   1   8.6e-09     6e-07   27.0   0.0   395   587     7   227     3   227 0.68 -
98621at50557_30019_0:0019d5|STRG.15149.2:70-1324|+      -            230 17536at50557         -            591   2.1e-07   28.5   0.0   1   1   6.7e-09   4.7e-07   27.3   0.0   398   588    22   230    14   230 0.78 -
93746at50557_568069_0:0045cd|STRG.7442.2:327-1361|+     -            345 17536at50557         -            591   2.2e-07   28.4   0.0   1   2   5.6e-07   3.9e-05   21.0   0.0   413   504   127   226    83   231 0.74 -
93746at50557_568069_0:0045cd|STRG.7442.2:327-1361|+     -            345 17536at50557         -            591   2.2e-07   28.4   0.0   2   2     0.029         2    5.4   0.0   550   590   304   343   285   344 0.85 -
93746at50557_568069_0:0045cd|STRG.7442.3:153-1187|+     -            345 17536at50557         -            591   2.2e-07   28.4   0.0   1   2   5.6e-07   3.9e-05   21.0   0.0   413   504   127   226    83   231 0.74 -
93746at50557_568069_0:0045cd|STRG.7442.3:153-1187|+     -            345 17536at50557         -            591   2.2e-07   28.4   0.0   2   2     0.029         2    5.4   0.0   550   590   304   343   285   344 0.85 -
98621at50557_136037_0:0009c4|STRG.11921.1:2879-3577|+   -            233 17536at50557         -            591   2.5e-07   28.2   0.0   1   1   5.7e-09     4e-07   27.6   0.0   394   542    10   187     4   232 0.64 -
98621at50557_136037_0:0009c4|STRG.11921.2:1969-2667|+   -            233 17536at50557         -            591   2.5e-07   28.2   0.0   1   1   5.7e-09     4e-07   27.6   0.0   394   542    10   187     4   232 0.64 -
98621at50557_136037_0:0009c4|STRG.11921.3:1009-1707|+   -            233 17536at50557         -            591   2.5e-07   28.2   0.0   1   1   5.7e-09     4e-07   27.6   0.0   394   542    10   187     4   232 0.64 -
93746at50557_568069_0:0045cd|STRG.7442.1:91-1173|+      -            361 17536at50557         -            591   2.6e-07   28.2   0.0   1   2   6.2e-07   4.3e-05   20.8   0.0   413   504   143   242    99   247 0.74 -
93746at50557_568069_0:0045cd|STRG.7442.1:91-1173|+      -            361 17536at50557         -            591   2.6e-07   28.2   0.0   2   2      0.03       2.1    5.3   0.0   550   590   320   359   301   360 0.85 -
93746at50557_568069_0:0045cd|STRG.7442.4:91-1176|+      -            362 17536at50557         -            591   2.6e-07   28.2   0.0   1   2   6.2e-07   4.3e-05   20.8   0.0   413   504   144   243   100   248 0.74 -
93746at50557_568069_0:0045cd|STRG.7442.4:91-1176|+      -            362 17536at50557         -            591   2.6e-07   28.2   0.0   2   2     0.031       2.1    5.3   0.0   550   590   321   360   302   361 0.85 -
98621at50557_79782_0:0026bc|STRG.10720.1:167-874|+      -            236 17536at50557         -            591   4.2e-07   27.5   0.0   1   1   9.9e-09   6.9e-07   26.8   0.0   410   587    28   236     4   236 0.69 -
98621at50557_174628_0:0021a4|STRG.15149.1:70-780|+      -            237 17536at50557         -            591   5.9e-07   27.0   0.0   1   1   2.2e-08   1.5e-06   25.6   0.0   398   588    22   232    14   234 0.77 -
98621at50557_174628_0:0021a4|STRG.15149.3:3-713|+       -            237 17536at50557         -            591   5.9e-07   27.0   0.0   1   1   2.2e-08   1.5e-06   25.6   0.0   398   588    22   232    14   234 0.77 -
98621at50557_286706_0:000660|STRG.15207.1:146-847|+     -            234 17536at50557         -            591   7.6e-07   26.6   0.0   1   1   1.4e-07   9.7e-06   23.0   0.0   394   591     5   233     3   233 0.73 -
98621at50557_7038_0:0003d0|STRG.7283.3:531-1356|+       -            270 17536at50557         -            591     1e-06   26.2   0.1   1   1   4.2e-08     3e-06   24.7   0.1   395   590    36   269    17   270 0.69 -
107413at50557_136037_0:000dc2|STRG.7196.1:3964-4695|+   -            244 17536at50557         -            591   1.1e-06   26.1   0.2   1   3   0.00077     0.054   10.6   0.0   395   445     7    62     2    78 0.82 -
107413at50557_136037_0:000dc2|STRG.7196.1:3964-4695|+   -            244 17536at50557         -            591   1.1e-06   26.1   0.2   2   3         7   4.9e+02   -2.4   0.0   475   495   100   121    92   123 0.75 -
107413at50557_136037_0:000dc2|STRG.7196.1:3964-4695|+   -            244 17536at50557         -            591   1.1e-06   26.1   0.2   3   3   0.00014    0.0097   13.1   0.0   546   591   194   241   177   241 0.87 -
107413at50557_136037_0:000dc2|STRG.7196.3:3233-3964|+   -            244 17536at50557         -            591   1.1e-06   26.1   0.2   1   3   0.00077     0.054   10.6   0.0   395   445     7    62     2    78 0.82 -
107413at50557_136037_0:000dc2|STRG.7196.3:3233-3964|+   -            244 17536at50557         -            591   1.1e-06   26.1   0.2   2   3         7   4.9e+02   -2.4   0.0   475   495   100   121    92   123 0.75 -
107413at50557_136037_0:000dc2|STRG.7196.3:3233-3964|+   -            244 17536at50557         -            591   1.1e-06   26.1   0.2   3   3   0.00014    0.0097   13.1   0.0   546   591   194   241   177   241 0.87 -
107413at50557_136037_0:000dc2|STRG.7196.7:316-1047|+    -            244 17536at50557         -            591   1.1e-06   26.1   0.2   1   3   0.00077     0.054   10.6   0.0   395   445     7    62     2    78 0.82 -
107413at50557_136037_0:000dc2|STRG.7196.7:316-1047|+    -            244 17536at50557         -            591   1.1e-06   26.1   0.2   2   3         7   4.9e+02   -2.4   0.0   475   495   100   121    92   123 0.75 -
107413at50557_136037_0:000dc2|STRG.7196.7:316-1047|+    -            244 17536at50557         -            591   1.1e-06   26.1   0.2   3   3   0.00014    0.0097   13.1   0.0   546   591   194   241   177   241 0.87 -
98621at50557_110193_0:0027e7|STRG.13921.4:79-798|+      -            240 17536at50557         -            591   1.9e-06   25.3   0.1   1   2   2.6e-05    0.0018   15.5   0.0   394   432    16    55     1    71 0.80 -
98621at50557_110193_0:0027e7|STRG.13921.4:79-798|+      -            240 17536at50557         -            591   1.9e-06   25.3   0.1   2   2    0.0045      0.32    8.1   0.1   516   581   171   237   161   240 0.78 -
93746at50557_54969_0:0026b9|STRG.7283.1:450-1346|+      -            299 17536at50557         -            591   1.9e-06   25.3   0.2   1   1   1.1e-07     8e-06   23.3   0.2   395   590    63   297    44   298 0.69 -
93746at50557_54969_0:0026b9|STRG.7283.2:450-1346|+      -            299 17536at50557         -            591   1.9e-06   25.3   0.2   1   1   1.1e-07     8e-06   23.3   0.2   395   590    63   297    44   298 0.69 -
17536at50557_168631_0:001847|STRG.7196.1:2599-3180|+    -            194 17536at50557         -            591   2.5e-06   24.9  19.4   1   2   3.5e-06   0.00024   18.4   3.6   277   308     7    41     1    80 0.84 -
17536at50557_168631_0:001847|STRG.7196.1:2599-3180|+    -            194 17536at50557         -            591   2.5e-06   24.9  19.4   2   2    0.0013     0.089    9.9  11.3   265   301   114   152    58   190 0.70 -
17536at50557_168631_0:001847|STRG.7196.2:3022-3603|+    -            194 17536at50557         -            591   2.5e-06   24.9  19.4   1   2   3.5e-06   0.00024   18.4   3.6   277   308     7    41     1    80 0.84 -
17536at50557_168631_0:001847|STRG.7196.2:3022-3603|+    -            194 17536at50557         -            591   2.5e-06   24.9  19.4   2   2    0.0013     0.089    9.9  11.3   265   301   114   152    58   190 0.70 -
17536at50557_168631_0:001847|STRG.7196.3:1868-2449|+    -            194 17536at50557         -            591   2.5e-06   24.9  19.4   1   2   3.5e-06   0.00024   18.4   3.6   277   308     7    41     1    80 0.84 -
17536at50557_168631_0:001847|STRG.7196.3:1868-2449|+    -            194 17536at50557         -            591   2.5e-06   24.9  19.4   2   2    0.0013     0.089    9.9  11.3   265   301   114   152    58   190 0.70 -
17536at50557_168631_0:001847|STRG.7196.5:1646-2227|+    -            194 17536at50557         -            591   2.5e-06   24.9  19.4   1   2   3.5e-06   0.00024   18.4   3.6   277   308     7    41     1    80 0.84 -
17536at50557_168631_0:001847|STRG.7196.5:1646-2227|+    -            194 17536at50557         -            591   2.5e-06   24.9  19.4   2   2    0.0013     0.089    9.9  11.3   265   301   114   152    58   190 0.70 -
17536at50557_168631_0:001847|STRG.7196.6:1596-2177|+    -            194 17536at50557         -            591   2.5e-06   24.9  19.4   1   2   3.5e-06   0.00024   18.4   3.6   277   308     7    41     1    80 0.84 -
17536at50557_168631_0:001847|STRG.7196.6:1596-2177|+    -            194 17536at50557         -            591   2.5e-06   24.9  19.4   2   2    0.0013     0.089    9.9  11.3   265   301   114   152    58   190 0.70 -
98621at50557_13249_0:0015dd|STRG.10646.2:241-1108|+     -            237 17536at50557         -            591   2.7e-06   24.8   0.0   1   1   6.6e-08   4.6e-06   24.1   0.0   398   587    18   237     9   237 0.70 -
98621at50557_38123_0:000655|STRG.16648.1:15-314|+       -            100 17536at50557         -            591   2.8e-06   24.8   0.1   1   1     4e-08   2.8e-06   24.8   0.1   546   590    50    98     2    99 0.84 -
98621at50557_28612_0:00515f|STRG.15152.1:87-1360|+      -            224 17536at50557         -            591   3.1e-06   24.6   0.2   1   1   7.8e-08   5.5e-06   23.8   0.2   398   587    10   224     5   224 0.73 -
98621at50557_79782_0:0026bc|STRG.15152.2:87-758|+       -            224 17536at50557         -            591   3.1e-06   24.6   0.2   1   1   7.8e-08   5.5e-06   23.8   0.2   398   587    10   224     5   224 0.73 -
60890at50557_29030_0:000c1c|STRG.18176.1:1545-1841|+    -             99 17536at50557         -            591   3.6e-06   24.4  18.6   1   2   6.9e-05    0.0048   14.1   7.2   271   298     2    32     1    44 0.80 -
60890at50557_29030_0:000c1c|STRG.18176.1:1545-1841|+    -             99 17536at50557         -            591   3.6e-06   24.4  18.6   2   2   1.3e-05   0.00092   16.5   7.2   258   296    31    74    29    87 0.84 -
98621at50557_156304_0:000097|STRG.1897.1:73-537|-       -            155 17536at50557         -            591   4.9e-06   24.0   0.0   1   1   7.8e-08   5.4e-06   23.8   0.0   395   495     6   115     3   153 0.78 -
98621at50557_156304_0:000097|STRG.15205.1:183-890|+     -            236 17536at50557         -            591     5e-06   23.9   0.0   1   2   3.7e-05    0.0026   15.0   0.0   394   448     6    67     3   119 0.83 -
98621at50557_156304_0:000097|STRG.15205.1:183-890|+     -            236 17536at50557         -            591     5e-06   23.9   0.0   2   2    0.0075      0.53    7.4   0.1   520   590   165   235   148   236 0.80 -
98621at50557_156304_0:000097|STRG.15205.2:183-890|+     -            236 17536at50557         -            591     5e-06   23.9   0.0   1   2   3.7e-05    0.0026   15.0   0.0   394   448     6    67     3   119 0.83 -
98621at50557_156304_0:000097|STRG.15205.2:183-890|+     -            236 17536at50557         -            591     5e-06   23.9   0.0   2   2    0.0075      0.53    7.4   0.1   520   590   165   235   148   236 0.80 -
98621at50557_156304_0:000097|STRG.15205.3:142-849|+     -            236 17536at50557         -            591     5e-06   23.9   0.0   1   2   3.7e-05    0.0026   15.0   0.0   394   448     6    67     3   119 0.83 -
98621at50557_156304_0:000097|STRG.15205.3:142-849|+     -            236 17536at50557         -            591     5e-06   23.9   0.0   2   2    0.0075      0.53    7.4   0.1   520   590   165   235   148   236 0.80 -
98621at50557_166361_0:000283|STRG.13921.2:364-1110|+    -            249 17536at50557         -            591   5.4e-06   23.8   0.0   1   1   9.2e-07   6.4e-05   20.3   0.0   396   582    17   246     1   249 0.61 -
107413at50557_13249_0:002cfe|STRG.9058.1:1339-1956|+    -            206 17536at50557         -            591   8.7e-06   23.1   0.0   1   1   4.2e-07     3e-05   21.4   0.0   415   588     2   205     1   206 0.76 -
98621at50557_286706_0:000660|STRG.7283.4:600-1381|+     -            249 17536at50557         -            591   1.4e-05   22.5   0.0   1   2     8e-05    0.0056   13.9   0.0   396   451    14    74     1   132 0.66 -
98621at50557_286706_0:000660|STRG.7283.4:600-1381|+     -            249 17536at50557         -            591   1.4e-05   22.5   0.0   2   2    0.0078      0.55    7.3   0.0   556   588   217   249   143   249 0.94 -
98621at50557_69319_0:0025d4|STRG.7778.1:68-349|+        -             94 17536at50557         -            591   1.5e-05   22.3   0.0   1   1   2.4e-07   1.7e-05   22.2   0.0   374   433    18    77     6    91 0.83 -
45935at50557_1041015_0:0000df|STRG.11772.1:952-1641|+   -            230 17536at50557         -            591   1.8e-05   22.1   0.1   1   1     8e-07   5.6e-05   20.5   0.1   399   588     1   229     1   230 0.68 -
107413at50557_77166_0:001c77|STRG.11333.1:1470-2162|+   -            231 17536at50557         -            591     2e-05   22.0   0.2   1   1   4.6e-07   3.2e-05   21.3   0.2   399   591     1   231     1   231 0.66 -
98621at50557_156304_0:000097|STRG.15203.2:90-701|+      -            204 17536at50557         -            591   2.1e-05   21.9   0.1   1   1   1.3e-06     9e-05   19.8   0.1   413   588     1   202     1   204 0.60 -
98621at50557_110193_0:0027e7|STRG.18782.1:1617-2411|+   -            265 17536at50557         -            591   2.1e-05   21.9   0.1   1   1   1.8e-06   0.00013   19.3   0.1   393   437    18    65     1   151 0.64 -
98621at50557_110193_0:0027e7|STRG.18782.2:1262-2056|+   -            265 17536at50557         -            591   2.1e-05   21.9   0.1   1   1   1.8e-06   0.00013   19.3   0.1   393   437    18    65     1   151 0.64 -
98621at50557_110193_0:0027e7|STRG.18782.3:1073-1867|+   -            265 17536at50557         -            591   2.1e-05   21.9   0.1   1   1   1.8e-06   0.00013   19.3   0.1   393   437    18    65     1   151 0.64 -
98621at50557_110193_0:0027e7|STRG.18782.4:1430-2224|+   -            265 17536at50557         -            591   2.1e-05   21.9   0.1   1   1   1.8e-06   0.00013   19.3   0.1   393   437    18    65     1   151 0.64 -
98621at50557_110193_0:0027e7|STRG.18782.5:888-1682|+    -            265 17536at50557         -            591   2.1e-05   21.9   0.1   1   1   1.8e-06   0.00013   19.3   0.1   393   437    18    65     1   151 0.64 -
98621at50557_535359_0:001ced|STRG.18081.4:1038-1535|+   -            166 17536at50557         -            591   2.3e-05   21.7   0.0   1   1   4.5e-07   3.1e-05   21.3   0.0   394   449    31    91    12   159 0.63 -
98621at50557_224129_0:000cf8|STRG.10719.1:108-512|+     -            135 17536at50557         -            591     3e-05   21.4   0.0   1   1   4.2e-07     3e-05   21.4   0.0   396   434     9    47     3   102 0.88 -
98621at50557_110193_0:0027e7|STRG.13921.1:364-1137|+    -            258 17536at50557         -            591   4.8e-05   20.7   0.0   1   1   5.1e-06   0.00036   17.8   0.0   396   493    17   130     1   258 0.68 -
98621at50557_110193_0:0027e7|STRG.13921.3:264-1037|+    -            258 17536at50557         -            591   4.8e-05   20.7   0.0   1   1   5.1e-06   0.00036   17.8   0.0   396   493    17   130     1   258 0.68 -
45935at50557_136037_0:001135|STRG.2699.1:48-728|+       -            227 17536at50557         -            591   7.1e-05   20.1   0.0   1   1   1.6e-06   0.00011   19.5   0.0   412   590     3   221     1   222 0.70 -
98621at50557_79782_0:0026bc|STRG.10717.2:284-1027|+     -            248 17536at50557         -            591   9.3e-05   19.8   0.0   1   1   2.5e-06   0.00018   18.8   0.0   396   497    15   128     7   248 0.82 -
93746at50557_568069_0:0045cd|STRG.14592.1:165-1304|+    -            380 17536at50557         -            591   0.00012   19.4   0.0   1   2    0.0035      0.25    8.4   0.0   397   449   134   190   117   198 0.78 -
93746at50557_568069_0:0045cd|STRG.14592.1:165-1304|+    -            380 17536at50557         -            591   0.00012   19.4   0.0   2   2    0.0048      0.34    8.0   0.0   473   505   240   279   237   380 0.48 -
98621at50557_166361_0:000283|STRG.7947.1:1-666|+        -            222 17536at50557         -            591   0.00021   18.6   0.0   1   2    0.0001    0.0073   13.5   0.0   396   432     4    40     1    69 0.78 -
98621at50557_166361_0:000283|STRG.7947.1:1-666|+        -            222 17536at50557         -            591   0.00021   18.6   0.0   2   2     0.095       6.7    3.7   0.0   507   591   137   222    81   222 0.79 -
93746at50557_568069_0:0045cd|STRG.17173.1:167-1288|+    -            374 17536at50557         -            591   0.00026   18.3   0.2   1   1   6.8e-06   0.00048   17.4   0.2   393   493   129   244   113   373 0.68 -
107413at50557_1507135_0:0019c2|STRG.15224.1:1392-2144|+ -            251 17536at50557         -            591    0.0007   16.9   0.0   1   1   3.9e-05    0.0028   14.9   0.0   396   435     7    51     3   138 0.67 -
98621at50557_197043_0:006184|STRG.10717.4:305-565|+     -             87 17536at50557         -            591   0.00071   16.8   0.0   1   1   1.1e-05   0.00079   16.7   0.0   396   459     8    76     4    81 0.80 -
107413at50557_1155016_0:001042|STRG.7154.1:19-213|+     -             65 17536at50557         -            591   0.00086   16.6   0.1   1   1   1.2e-05   0.00086   16.6   0.1   547   587    23    65     5    65 0.85 -
98621at50557_79782_0:0026bc|STRG.10717.1:284-1027|+     -            248 17536at50557         -            591    0.0018   15.5   0.0   1   1   4.9e-05    0.0034   14.6   0.0   412   497    35   128    10   248 0.79 -
45935at50557_104452_0:001a48|STRG.3819.1:8-310|+        -            101 17536at50557         -            591    0.0022   15.2   0.0   1   1   3.1e-05    0.0022   15.2   0.0   546   590    47    95     1    96 0.79 -
98621at50557_7460_0:000221|STRG.10654.1:84-809|+        -            242 17536at50557         -            591    0.0029   14.8   0.0   1   1   0.00014    0.0098   13.1   0.0   397   588    18   240     7   242 0.63 -
98621at50557_29031_0:002023|STRG.7285.1:1793-2341|+     -            183 17536at50557         -            591    0.0056   13.9   0.0   1   1   0.00011    0.0077   13.4   0.0   469   591    35   183    30   183 0.68 -
98621at50557_29031_0:002023|STRG.7285.4:2803-3351|+     -            183 17536at50557         -            591    0.0056   13.9   0.0   1   1   0.00011    0.0077   13.4   0.0   469   591    35   183    30   183 0.68 -
98621at50557_28612_0:002b49|STRG.5075.1:89-730|+        -            214 17536at50557         -            591    0.0081   13.3   1.4   1   2   0.00091     0.064   10.4   0.2   409   433     5    29     1    44 0.88 -
98621at50557_28612_0:002b49|STRG.5075.1:89-730|+        -            214 17536at50557         -            591    0.0081   13.3   1.4   2   2      0.23        16    2.4   0.1   547   588   173   213   125   214 0.78 -
107413at50557_13249_0:002cfe|STRG.11969.1:304-993|+     -            230 17536at50557         -            591     0.011   12.8   0.0   1   1   0.00025     0.017   12.3   0.0   396   452     8    69     3   229 0.67 -
98621at50557_13037_0:001de5|STRG.10655.1:46-513|+       -            156 17536at50557         -            591     0.012   12.8   0.0   1   1   0.00043      0.03   11.5   0.0   473   587    19   156    14   156 0.69 -
107413at50557_1155016_0:001042|STRG.15207.1:593-847|+   -             85 17536at50557         -            591     0.012   12.7   0.0   1   1   0.00018     0.012   12.7   0.0   555   591    48    84     4    84 0.87 -
