#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
22030at50557_104452_0:001960|STRG.11310.1:0-965|+      -            242 22030at50557         -            392    7e-141  468.5   7.4   1   1  2.5e-142  7.9e-141  468.4   7.4     4   233     1   242     1   242 0.97 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 22030at50557         -            392   1.7e-35  121.6  21.3   2   5   0.00043     0.014   13.3   0.0   154   224   134   205   119   218 0.62 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 22030at50557         -            392   1.7e-35  121.6  21.3   3   5   0.00017    0.0054   14.6   0.3   106   251   232   380   222   384 0.80 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 22030at50557         -            392   1.7e-35  121.6  21.3   4   5   7.1e-12   2.3e-10   38.9   2.8    64   229   368   541   363   549 0.84 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 22030at50557         -            392   1.7e-35  121.6  21.3   5   5   2.8e-12   8.9e-11   40.2   0.5   196   252   550   606   546   624 0.89 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 22030at50557         -            392   1.9e-35  121.4  21.3   1   5     2e-09   6.4e-08   30.8   0.4   142   226    64   150    41   177 0.83 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 22030at50557         -            392   1.9e-35  121.4  21.3   2   5   0.00044     0.014   13.2   0.0   154   224   163   234   148   247 0.62 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 22030at50557         -            392   1.9e-35  121.4  21.3   3   5   0.00017    0.0055   14.6   0.3   106   251   261   409   251   413 0.80 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 22030at50557         -            392   1.9e-35  121.4  21.3   4   5   7.3e-12   2.3e-10   38.9   2.8    64   229   397   570   392   578 0.84 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 22030at50557         -            392   1.9e-35  121.4  21.3   5   5   2.8e-12     9e-11   40.2   0.5   196   252   579   635   575   653 0.89 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 22030at50557         -            392   2.1e-35  121.3  21.3   1   5     2e-09   6.5e-08   30.8   0.4   142   226    55   141    32   168 0.83 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 22030at50557         -            392   2.1e-35  121.3  21.3   2   5   0.00045     0.014   13.2   0.0   154   224   154   225   139   238 0.62 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 22030at50557         -            392   2.1e-35  121.3  21.3   3   5   0.00018    0.0056   14.5   0.3   106   251   252   400   242   404 0.80 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 22030at50557         -            392   2.1e-35  121.3  21.3   4   5   7.4e-12   2.4e-10   38.8   2.8    64   229   388   561   383   569 0.84 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 22030at50557         -            392   2.1e-35  121.3  21.3   5   5   2.9e-12   9.2e-11   40.2   0.5   196   252   570   626   566   644 0.89 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   1   6   0.00026    0.0084   14.0   0.0   187   255     5    72     1    80 0.79 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   2   6   1.4e-05   0.00044   18.2   0.0   177   247    78   149    73   155 0.89 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   3   6   3.7e-05    0.0012   16.8   0.0   177   230   171   224   165   228 0.90 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   4   6   3.5e-08   1.1e-06   26.7   0.2   144   256   221   330   214   339 0.83 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   5   6   1.1e-05   0.00034   18.6   0.2   158   232   315   390   298   397 0.83 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   6   6   1.8e-07   5.8e-06   24.4   0.5   156   212   398   455   390   457 0.91 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   1   6   0.00026    0.0084   14.0   0.0   187   255     5    72     1    80 0.79 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   2   6   1.4e-05   0.00044   18.2   0.0   177   247    78   149    73   155 0.89 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   3   6   3.7e-05    0.0012   16.8   0.0   177   230   171   224   165   228 0.90 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   4   6   3.5e-08   1.1e-06   26.7   0.2   144   256   221   330   214   339 0.83 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   5   6   1.1e-05   0.00034   18.6   0.2   158   232   315   390   298   397 0.83 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   6   6   1.8e-07   5.8e-06   24.4   0.5   156   212   398   455   390   457 0.91 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   1   6   0.00026    0.0084   14.0   0.0   187   255     5    72     1    80 0.79 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   2   6   1.4e-05   0.00044   18.2   0.0   177   247    78   149    73   155 0.89 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   3   6   3.7e-05    0.0012   16.8   0.0   177   230   171   224   165   228 0.90 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   4   6   3.5e-08   1.1e-06   26.7   0.2   144   256   221   330   214   339 0.83 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   5   6   1.1e-05   0.00034   18.6   0.2   158   232   315   390   298   397 0.83 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 22030at50557         -            392   3.5e-32  110.7  11.6   6   6   1.8e-07   5.8e-06   24.4   0.5   156   212   398   455   390   457 0.91 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 22030at50557         -            392   2.8e-31  107.7  16.3   1   7   4.9e-06   0.00016   19.7   0.1   156   228    15    94     8    98 0.81 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 22030at50557         -            392   2.8e-31  107.7  16.3   2   7     0.041       1.3    6.7   0.1   187   244    95   152    89   181 0.78 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 22030at50557         -            392   2.8e-31  107.7  16.3   3   7   2.6e-08   8.3e-07   27.2   0.5    43   123   246   326   240   342 0.92 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 22030at50557         -            392   2.8e-31  107.7  16.3   4   7    0.0089      0.29    8.9   0.0    42    81   370   408   362   411 0.87 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 22030at50557         -            392   2.8e-31  107.7  16.3   5   7   1.8e-08   5.7e-07   27.7   0.0    37   132   417   514   412   540 0.80 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 22030at50557         -            392   2.8e-31  107.7  16.3   6   7      0.37        12    3.6   0.0   180   217   513   551   508   616 0.69 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 22030at50557         -            392   2.8e-31  107.7  16.3   7   7   1.7e-06   5.4e-05   21.2   0.1    62   120   654   712   622   712 0.88 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 22030at50557         -            392   1.3e-29  102.2  11.6   1   3   3.6e-13   1.1e-11   43.2   2.9   158   255     3    97     1    98 0.90 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 22030at50557         -            392   1.3e-29  102.2  11.6   2   3   2.3e-09   7.3e-08   30.6   0.4   156   235    81   162    76   166 0.84 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 22030at50557         -            392   1.3e-29  102.2  11.6   3   3   5.1e-12   1.6e-10   39.4   0.2   156   252   164   266   158   268 0.78 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 22030at50557         -            392   3.1e-29  101.0   0.2   1   3     0.047       1.5    6.5   0.0   186   217   325   356   311   364 0.84 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 22030at50557         -            392   3.1e-29  101.0   0.2   2   3   2.1e-10   6.8e-09   34.0   0.0   166   248   377   460   369   462 0.90 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 22030at50557         -            392   3.1e-29  101.0   0.2   3   3   2.9e-17   9.1e-16   56.6   0.1    65   213   452   593   449   615 0.87 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+      -            434 22030at50557         -            392   2.2e-28   98.2   1.9   1   2   9.3e-22     3e-20   71.4   0.8    50   241   123   307   120   313 0.89 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+      -            434 22030at50557         -            392   2.2e-28   98.2   1.9   2   2   4.5e-07   1.4e-05   23.1   0.0    67   171   308   410   302   417 0.89 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 22030at50557         -            392   8.3e-27   93.0   7.2   1   3    0.0062       0.2    9.5   0.0   176   215     4    43     2    57 0.72 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 22030at50557         -            392   8.3e-27   93.0   7.2   2   3     3e-13   9.4e-12   43.4   3.0    58   232    74   239    66   244 0.85 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 22030at50557         -            392   8.3e-27   93.0   7.2   3   3   6.9e-11   2.2e-09   35.6   0.0    65   122   256   313   252   324 0.94 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+    -            260 22030at50557         -            392   4.4e-24   84.0   4.4   1   2   6.7e-15   2.1e-13   48.9   0.3   149   254    11   123     1   135 0.81 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+    -            260 22030at50557         -            392   4.4e-24   84.0   4.4   2   2   5.9e-11   1.9e-09   35.9   0.2   152   234   149   231   141   241 0.89 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 22030at50557         -            392   4.7e-24   83.9   2.9   1   2     7e-16   2.2e-14   52.1   0.8    62   256    52   245    35   246 0.90 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 22030at50557         -            392   4.7e-24   83.9   2.9   2   2   4.2e-09   1.4e-07   29.8   0.0   148   211   264   328   249   329 0.84 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+      -            287 22030at50557         -            392   1.1e-23   82.8   2.2   1   2   1.2e-19   3.8e-18   64.5   1.2    46   252    10   214     3   218 0.91 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+      -            287 22030at50557         -            392   1.1e-23   82.8   2.2   2   2   0.00051     0.016   13.0   0.0   149   196   238   286   230   287 0.85 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+     -            156 22030at50557         -            392   3.1e-23   81.2   0.0   1   2   1.7e-09   5.4e-08   31.1   0.0   148   226     6    85     2    89 0.92 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+     -            156 22030at50557         -            392   3.1e-23   81.2   0.0   2   2   1.7e-15   5.4e-14   50.8   0.1   180   252    81   154    77   156 0.81 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 22030at50557         -            392   4.7e-23   80.6   1.2   1   2   2.2e-17     7e-16   57.0   0.1    58   255    13   206     1   214 0.88 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 22030at50557         -            392   4.7e-23   80.6   1.2   2   2   6.3e-07     2e-05   22.6   0.1   146   211   224   290   214   290 0.92 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+     -            268 22030at50557         -            392   6.3e-23   80.2   1.6   1   2     0.072       2.3    5.9   0.0   205   253     9    57     3    63 0.89 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+     -            268 22030at50557         -            392   6.3e-23   80.2   1.6   2   2   3.7e-22   1.2e-20   72.7   0.3    44   235    65   253    60   265 0.82 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+    -            305 22030at50557         -            392   1.1e-22   79.4   6.8   1   3   5.7e-13   1.8e-11   42.5   0.7    88   221    17   145     9   159 0.88 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+    -            305 22030at50557         -            392   1.1e-22   79.4   6.8   2   3   3.4e-07   1.1e-05   23.5   0.1   153   222   160   229   148   237 0.91 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+    -            305 22030at50557         -            392   1.1e-22   79.4   6.8   3   3   5.6e-05    0.0018   16.2   0.1   191   251   244   304   238   305 0.91 -
40115at50557_597456_0:00265e|STRG.5080.1:1879-2748|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   1   3   4.3e-09   1.4e-07   29.7   3.5    92   212     1   118     1   127 0.83 -
40115at50557_597456_0:00265e|STRG.5080.1:1879-2748|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   2   3   7.1e-10   2.3e-08   32.3   1.1   174   256   130   211   125   234 0.89 -
40115at50557_597456_0:00265e|STRG.5080.1:1879-2748|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   3   3   2.8e-06     9e-05   20.5   0.0   199   252   235   288   223   290 0.92 -
40115at50557_597456_0:00265e|STRG.5080.2:1826-2695|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   1   3   4.3e-09   1.4e-07   29.7   3.5    92   212     1   118     1   127 0.83 -
40115at50557_597456_0:00265e|STRG.5080.2:1826-2695|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   2   3   7.1e-10   2.3e-08   32.3   1.1   174   256   130   211   125   234 0.89 -
40115at50557_597456_0:00265e|STRG.5080.2:1826-2695|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   3   3   2.8e-06     9e-05   20.5   0.0   199   252   235   288   223   290 0.92 -
40115at50557_597456_0:00265e|STRG.5080.3:1947-2816|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   1   3   4.3e-09   1.4e-07   29.7   3.5    92   212     1   118     1   127 0.83 -
40115at50557_597456_0:00265e|STRG.5080.3:1947-2816|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   2   3   7.1e-10   2.3e-08   32.3   1.1   174   256   130   211   125   234 0.89 -
40115at50557_597456_0:00265e|STRG.5080.3:1947-2816|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   3   3   2.8e-06     9e-05   20.5   0.0   199   252   235   288   223   290 0.92 -
40115at50557_597456_0:00265e|STRG.5080.4:1903-2772|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   1   3   4.3e-09   1.4e-07   29.7   3.5    92   212     1   118     1   127 0.83 -
40115at50557_597456_0:00265e|STRG.5080.4:1903-2772|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   2   3   7.1e-10   2.3e-08   32.3   1.1   174   256   130   211   125   234 0.89 -
40115at50557_597456_0:00265e|STRG.5080.4:1903-2772|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   3   3   2.8e-06     9e-05   20.5   0.0   199   252   235   288   223   290 0.92 -
40115at50557_597456_0:00265e|STRG.5080.5:2000-2869|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   1   3   4.3e-09   1.4e-07   29.7   3.5    92   212     1   118     1   127 0.83 -
40115at50557_597456_0:00265e|STRG.5080.5:2000-2869|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   2   3   7.1e-10   2.3e-08   32.3   1.1   174   256   130   211   125   234 0.89 -
40115at50557_597456_0:00265e|STRG.5080.5:2000-2869|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   3   3   2.8e-06     9e-05   20.5   0.0   199   252   235   288   223   290 0.92 -
40115at50557_597456_0:00265e|STRG.5080.6:2352-3221|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   1   3   4.3e-09   1.4e-07   29.7   3.5    92   212     1   118     1   127 0.83 -
40115at50557_597456_0:00265e|STRG.5080.6:2352-3221|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   2   3   7.1e-10   2.3e-08   32.3   1.1   174   256   130   211   125   234 0.89 -
40115at50557_597456_0:00265e|STRG.5080.6:2352-3221|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   3   3   2.8e-06     9e-05   20.5   0.0   199   252   235   288   223   290 0.92 -
40115at50557_597456_0:00265e|STRG.5080.7:2341-3210|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   1   3   4.3e-09   1.4e-07   29.7   3.5    92   212     1   118     1   127 0.83 -
40115at50557_597456_0:00265e|STRG.5080.7:2341-3210|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   2   3   7.1e-10   2.3e-08   32.3   1.1   174   256   130   211   125   234 0.89 -
40115at50557_597456_0:00265e|STRG.5080.7:2341-3210|+   -            290 22030at50557         -            392   2.7e-22   78.1  12.9   3   3   2.8e-06     9e-05   20.5   0.0   199   252   235   288   223   290 0.92 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+   -            859 22030at50557         -            392   2.9e-22   78.0   0.2   1   3   2.7e-08   8.6e-07   27.1   0.2   148   231    23   108    15   111 0.89 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+   -            859 22030at50557         -            392   2.9e-22   78.0   0.2   2   3   2.3e-11   7.5e-10   37.2   0.0   143   226   103   187    99   195 0.89 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+   -            859 22030at50557         -            392   2.9e-22   78.0   0.2   3   3    0.0018     0.059   11.2   0.0   156   225   200   270   191   305 0.78 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+   -            878 22030at50557         -            392   3.3e-22   77.9   0.2   1   3   2.6e-08   8.4e-07   27.1   0.2   148   231    23   108    15   112 0.89 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+   -            878 22030at50557         -            392   3.3e-22   77.9   0.2   2   3     9e-11   2.9e-09   35.3   0.0   149   226   109   187   105   194 0.89 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+   -            878 22030at50557         -            392   3.3e-22   77.9   0.2   3   3    0.0019     0.061   11.1   0.0   156   225   200   270   190   304 0.78 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 22030at50557         -            392   3.6e-22   77.7   4.0   1   4   0.00014    0.0046   14.8   0.0   157   232    24    99    15   101 0.83 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 22030at50557         -            392   3.6e-22   77.7   4.0   2   4   2.1e-15   6.9e-14   50.5   0.7   143   255    93   206    86   216 0.90 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 22030at50557         -            392   3.6e-22   77.7   4.0   3   4    0.0056      0.18    9.6   0.0   176   255   379   455   370   463 0.83 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 22030at50557         -            392   3.6e-22   77.7   4.0   4   4      0.73        23    2.6   0.0   181   213   465   497   456   521 0.70 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 22030at50557         -            392   3.6e-22   77.7   4.0   1   4   0.00014    0.0046   14.8   0.0   157   232    24    99    15   101 0.83 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 22030at50557         -            392   3.6e-22   77.7   4.0   2   4   2.1e-15   6.9e-14   50.5   0.7   143   255    93   206    86   216 0.90 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 22030at50557         -            392   3.6e-22   77.7   4.0   3   4    0.0056      0.18    9.6   0.0   176   255   379   455   370   463 0.83 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 22030at50557         -            392   3.6e-22   77.7   4.0   4   4      0.73        23    2.6   0.0   181   213   465   497   456   521 0.70 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 22030at50557         -            392   3.6e-22   77.7   1.0   1   3   3.3e-06   0.00011   20.2   0.0    48   102     5    59     1    64 0.85 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 22030at50557         -            392   3.6e-22   77.7   1.0   2   3   8.9e-11   2.8e-09   35.3   0.2    66   125    65   124    61   130 0.95 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 22030at50557         -            392   3.6e-22   77.7   1.0   3   3   4.6e-06   0.00015   19.8   0.0   156   213   177   237   146   237 0.72 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 22030at50557         -            392   8.2e-22   76.6   4.9   1   3   7.2e-06   0.00023   19.1   0.0   146   232     1    87     1    92 0.90 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 22030at50557         -            392   8.2e-22   76.6   4.9   2   3   1.1e-13   3.7e-12   44.8   0.2   142   262    80   203    70   207 0.92 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 22030at50557         -            392   8.2e-22   76.6   4.9   3   3   1.8e-08   5.8e-07   27.7   0.2   152   248   176   276   175   280 0.79 -
37700at50557_34720_0:0020a5|STRG.9037.1:497-2719|+     -            741 22030at50557         -            392     9e-21   73.1   0.0   1   4   5.2e-05    0.0017   16.3   0.0   159   215   413   465   397   478 0.71 -
37700at50557_34720_0:0020a5|STRG.9037.1:497-2719|+     -            741 22030at50557         -            392     9e-21   73.1   0.0   2   4     0.027      0.85    7.4   0.0   179   216   482   519   476   548 0.76 -
37700at50557_34720_0:0020a5|STRG.9037.1:497-2719|+     -            741 22030at50557         -            392     9e-21   73.1   0.0   3   4     0.031         1    7.1   0.0   179   229   535   584   525   594 0.78 -
37700at50557_34720_0:0020a5|STRG.9037.1:497-2719|+     -            741 22030at50557         -            392     9e-21   73.1   0.0   4   4   4.9e-12   1.6e-10   39.4   0.0    66   227   553   710   551   736 0.73 -
37700at50557_34720_0:0020a5|STRG.9037.2:497-2716|+     -            740 22030at50557         -            392   1.3e-20   72.6   0.0   1   4   7.5e-05    0.0024   15.8   0.0   165   215   418   464   397   474 0.69 -
37700at50557_34720_0:0020a5|STRG.9037.2:497-2716|+     -            740 22030at50557         -            392   1.3e-20   72.6   0.0   2   4     0.027      0.87    7.3   0.0   180   216   482   518   476   547 0.76 -
37700at50557_34720_0:0020a5|STRG.9037.2:497-2716|+     -            740 22030at50557         -            392   1.3e-20   72.6   0.0   3   4     0.032         1    7.1   0.0   179   229   534   583   523   588 0.77 -
