#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132744at50557_103372_0:0003f0|STRG.15035.1:295-666|+  -            124 132744at50557        -             95   4.4e-51  169.9   0.8   1   1   7.5e-53   1.6e-50  168.1   0.8     1    95    14   124    14   124 0.94 -
10394at50557_38123_0:002dad|STRG.14337.6:2355-2735|+  -            127 132744at50557        -             95   1.9e-05   23.7   0.1   1   2    0.0017      0.36    9.9   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.14337.6:2355-2735|+  -            127 132744at50557        -             95   1.9e-05   23.7   0.1   2   2   0.00035     0.076   12.1   0.0    13    78    57   126    47   127 0.76 -
132744at50557_108931_0:001550|STRG.322.1:3656-3934|+  -             93 132744at50557        -             95   6.1e-05   22.0   0.0   1   1   1.4e-06   0.00031   19.8   0.0    17    88    25    92     9    93 0.73 -
132744at50557_108931_0:001550|STRG.322.2:3686-3964|+  -             93 132744at50557        -             95   6.1e-05   22.0   0.0   1   1   1.4e-06   0.00031   19.8   0.0    17    88    25    92     9    93 0.73 -
132744at50557_108931_0:001550|STRG.322.3:2769-3047|+  -             93 132744at50557        -             95   6.1e-05   22.0   0.0   1   1   1.4e-06   0.00031   19.8   0.0    17    88    25    92     9    93 0.73 -
110125at50557_74873_0:001c94|STRG.14337.1:1209-1748|+ -            180 132744at50557        -             95   0.00046   19.2   0.1   1   1   5.3e-06    0.0012   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.14337.2:1098-1637|+ -            180 132744at50557        -             95   0.00046   19.2   0.1   1   1   5.3e-06    0.0012   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.14337.3:1098-1637|+ -            180 132744at50557        -             95   0.00046   19.2   0.1   1   1   5.3e-06    0.0012   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.14337.4:1098-1637|+ -            180 132744at50557        -             95   0.00046   19.2   0.1   1   1   5.3e-06    0.0012   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.14337.5:1098-1637|+ -            180 132744at50557        -             95   0.00046   19.2   0.1   1   1   5.3e-06    0.0012   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.14337.6:1098-1637|+ -            180 132744at50557        -             95   0.00046   19.2   0.1   1   1   5.3e-06    0.0012   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.14337.7:1098-1637|+ -            180 132744at50557        -             95   0.00046   19.2   0.1   1   1   5.3e-06    0.0012   17.9   0.0    42    91     7    58     1    62 0.80 -
110125at50557_74873_0:001c94|STRG.14337.8:1098-1637|+ -            180 132744at50557        -             95   0.00046   19.2   0.1   1   1   5.3e-06    0.0012   17.9   0.0    42    91     7    58     1    62 0.80 -
132744at50557_319348_0:00228b|STRG.16240.3:480-656|+  -             59 132744at50557        -             95   0.00055   19.0   0.0   1   1   2.6e-06   0.00057   18.9   0.0    39    87     1    52     1    59 0.71 -
132744at50557_319348_0:00228b|STRG.16240.6:363-539|+  -             59 132744at50557        -             95   0.00055   19.0   0.0   1   1   2.6e-06   0.00057   18.9   0.0    39    87     1    52     1    59 0.71 -
110125at50557_7539_0:00092e|STRG.8373.1:3518-3781|+   -             88 132744at50557        -             95    0.0057   15.7   0.0   1   1   3.2e-05    0.0071   15.4   0.0    42    82    21    63     9    71 0.87 -
110125at50557_7539_0:00092e|STRG.8373.2:3518-3781|+   -             88 132744at50557        -             95    0.0057   15.7   0.0   1   1   3.2e-05    0.0071   15.4   0.0    42    82    21    63     9    71 0.87 -
37657at50557_108931_0:003065|STRG.17042.4:147-710|+   -            188 132744at50557        -             95     0.006   15.6   0.0   1   1   5.8e-05     0.013   14.6   0.0    46    87    52    96     7   101 0.80 -
37657at50557_307658_0:001de5|STRG.17042.3:0-1610|+    -            537 132744at50557        -             95     0.034   13.2   0.0   1   1   0.00036     0.079   12.0   0.0    46    87   101   145    57   150 0.82 -
48837at50557_34720_0:0008c2|STRG.13659.1:147-2045|+   -            633 132744at50557        -             95     0.038   13.1   0.0   1   1    0.0004     0.088   11.9   0.0    40    81    91   133    68   145 0.85 -
110125at50557_7539_0:00092e|STRG.16154.1:704-1060|+   -            119 132744at50557        -             95     0.065   12.3   0.0   1   1   0.00045     0.098   11.7   0.0    43    88    18    66    11    72 0.83 -
37657at50557_76194_0:0021a4|STRG.15326.1:1452-1754|+  -            101 132744at50557        -             95     0.067   12.3   0.0   1   1   0.00048       0.1   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.15326.2:1374-1676|+  -            101 132744at50557        -             95     0.067   12.3   0.0   1   1   0.00048       0.1   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.15326.3:2005-2307|+  -            101 132744at50557        -             95     0.067   12.3   0.0   1   1   0.00048       0.1   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.15326.4:2706-3008|+  -            101 132744at50557        -             95     0.067   12.3   0.0   1   1   0.00048       0.1   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.15326.5:2703-3005|+  -            101 132744at50557        -             95     0.067   12.3   0.0   1   1   0.00048       0.1   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.15326.6:2430-2732|+  -            101 132744at50557        -             95     0.067   12.3   0.0   1   1   0.00048       0.1   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.15326.7:1341-1643|+  -            101 132744at50557        -             95     0.067   12.3   0.0   1   1   0.00048       0.1   11.7   0.0    47    81    56    91    39   100 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132744at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/132744at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132744at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:33:15 2024
# [ok]
