#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109776at50557_456900_0:0015c4|STRG.4460.1:0-713|+       -            238 109776at50557        -            209   1.1e-86  288.3   7.0   1   1   2.1e-88   1.5e-86  287.8   7.0     1   209     1   234     1   234 0.93 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 109776at50557        -            209     1e-43  147.9  58.7   3   8   9.3e-11   6.7e-09   34.2   2.8    31   185   170   346   163   377 0.70 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 109776at50557        -            209     1e-43  147.9  58.7   4   8   0.00073     0.053   11.6   1.7    26   163   308   451   302   452 0.72 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 109776at50557        -            209     1e-43  147.9  58.7   5   8     4e-08   2.9e-06   25.5   4.7    22   168   383   552   375   556 0.78 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 109776at50557        -            209     1e-43  147.9  58.7   6   8     6e-10   4.3e-08   31.5   5.0    29   144   557   694   552   694 0.76 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 109776at50557        -            209     1e-43  147.9  58.7   7   8   0.00025     0.018   13.1   0.9    84   129   697   744   692   791 0.80 -
25718at50557_7160_0:003d21|STRG.19900.2:492-3428|+      -            979 109776at50557        -            209     1e-43  147.9  58.7   8   8   1.3e-12   9.3e-11   40.2   4.9    15   130   810   939   804   949 0.81 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 109776at50557        -            209   3.8e-43  146.0  36.4   1   5   1.2e-12   8.6e-11   40.3   8.7    33   162   137   260   132   262 0.55 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 109776at50557        -            209   3.8e-43  146.0  36.4   2   5   3.2e-12   2.3e-10   38.9  10.3    31   127   181   288   180   291 0.86 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 109776at50557        -            209   3.8e-43  146.0  36.4   3   5   3.3e-16   2.3e-14   52.0   1.8    28   164   270   426   266   432 0.84 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 109776at50557        -            209   3.8e-43  146.0  36.4   4   5   2.7e-07     2e-05   22.8   4.3    31    91   414   484   408   486 0.64 -
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 109776at50557        -            209   3.8e-43  146.0  36.4   5   5   1.2e-13   8.9e-12   43.6   5.2    28   130   480   594   475   596 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   1   5     2e-12   1.4e-10   39.6   9.2    31   128     2   110     1   113 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   2   5   3.5e-15   2.5e-13   48.6   9.9    31   162    48   194    46   199 0.82 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   3   5   2.1e-09   1.5e-07   29.7   1.5    82   156   200   281   197   292 0.82 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   4   5   1.7e-05    0.0012   17.0   0.0    31    71   343   386   326   390 0.76 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   5   5   1.5e-13   1.1e-11   43.3   5.3    31   121   390   492   386   492 0.81 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   1   5     2e-12   1.4e-10   39.6   9.2    31   128     2   110     1   113 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   2   5   3.5e-15   2.5e-13   48.6   9.9    31   162    48   194    46   199 0.82 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   3   5   2.1e-09   1.5e-07   29.7   1.5    82   156   200   281   197   292 0.82 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   4   5   1.7e-05    0.0012   17.0   0.0    31    71   343   386   326   390 0.76 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   5   5   1.5e-13   1.1e-11   43.3   5.3    31   121   390   492   386   492 0.81 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   1   5     2e-12   1.4e-10   39.6   9.2    31   128     2   110     1   113 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   2   5   3.5e-15   2.5e-13   48.6   9.9    31   162    48   194    46   199 0.82 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   3   5   2.1e-09   1.5e-07   29.7   1.5    82   156   200   281   197   292 0.82 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   4   5   1.7e-05    0.0012   17.0   0.0    31    71   343   386   326   390 0.76 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 109776at50557        -            209   2.2e-41  140.2  44.7   5   5   1.5e-13   1.1e-11   43.3   5.3    31   121   390   492   386   492 0.81 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 109776at50557        -            209   2.7e-40  136.7  24.7   1   4   2.5e-09   1.8e-07   29.5   0.5    76   132    40    97     6    99 0.81 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 109776at50557        -            209   2.7e-40  136.7  24.7   2   4   9.1e-15   6.5e-13   47.3   0.1    26   133    95   213    92   214 0.87 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 109776at50557        -            209   2.7e-40  136.7  24.7   3   4   1.1e-13   8.1e-12   43.7   0.2    29   128   144   254   140   261 0.84 -
54603at50557_7070_0:002ddb|STRG.322.1:926-2107|+        -            394 109776at50557        -            209   2.7e-40  136.7  24.7   4   4   3.3e-15   2.4e-13   48.7   8.8    17   133   240   374   240   388 0.83 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 109776at50557        -            209   2.7e-40  136.7  24.7   1   4   2.5e-09   1.8e-07   29.5   0.5    76   132    40    97     6    99 0.81 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 109776at50557        -            209   2.7e-40  136.7  24.7   2   4   9.1e-15   6.5e-13   47.3   0.1    26   133    95   213    92   214 0.87 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 109776at50557        -            209   2.7e-40  136.7  24.7   3   4   1.1e-13   8.1e-12   43.7   0.2    29   128   144   254   140   261 0.84 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 109776at50557        -            209   2.7e-40  136.7  24.7   4   4   3.3e-15   2.4e-13   48.7   8.8    17   133   240   374   240   388 0.83 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 109776at50557        -            209   3.4e-40  136.4  25.4   1   4   2.7e-09     2e-07   29.4   0.5    76   132    40    97     6    99 0.81 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 109776at50557        -            209   3.4e-40  136.4  25.4   2   4     1e-14   7.2e-13   47.1   0.1    26   133    95   213    92   214 0.87 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 109776at50557        -            209   3.4e-40  136.4  25.4   3   4   1.3e-13   9.2e-12   43.5   0.2    29   128   144   254   140   260 0.84 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 109776at50557        -            209   3.4e-40  136.4  25.4   4   4   3.2e-15   2.3e-13   48.7   9.8    17   133   240   374   239   405 0.84 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 109776at50557        -            209   8.9e-40  135.0  53.3   1   7   4.5e-05    0.0032   15.6   0.3    90   162    21   102     6   106 0.73 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 109776at50557        -            209   8.9e-40  135.0  53.3   2   7   9.8e-11   7.1e-09   34.1   3.3    30   185    68   245    59   276 0.71 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 109776at50557        -            209   8.9e-40  135.0  53.3   3   7   0.00079     0.057   11.5   1.8    26   163   207   350   202   351 0.72 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 109776at50557        -            209   8.9e-40  135.0  53.3   4   7   5.3e-08   3.8e-06   25.2   5.2    22   168   282   451   274   454 0.78 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 109776at50557        -            209   8.9e-40  135.0  53.3   5   7   4.5e-10   3.2e-08   31.9   4.7    29   144   456   593   452   593 0.76 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 109776at50557        -            209   8.9e-40  135.0  53.3   6   7   0.00022     0.016   13.3   0.8    84   129   596   643   591   694 0.80 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 109776at50557        -            209   8.9e-40  135.0  53.3   7   7   1.1e-12   8.1e-11   40.4   5.0    15   130   709   838   701   851 0.81 -
54603at50557_224129_0:0029b4|STRG.4378.1:620-1834|+     -            405 109776at50557        -            209   6.6e-35  119.1  25.8   1   3   8.1e-16   5.8e-14   50.7   1.6    29   147    10   149     5   152 0.78 -
54603at50557_224129_0:0029b4|STRG.4378.1:620-1834|+     -            405 109776at50557        -            209   6.6e-35  119.1  25.8   2   3   2.3e-18   1.6e-16   59.0  12.7    29   179   153   323   148   329 0.80 -
54603at50557_224129_0:0029b4|STRG.4378.1:620-1834|+     -            405 109776at50557        -            209   6.6e-35  119.1  25.8   3   3   7.9e-06   0.00057   18.1   0.1    29    79   319   372   315   379 0.86 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 109776at50557        -            209   9.6e-32  108.8  57.1   1   9   5.5e-05    0.0039   15.3   0.2    31   102    67   151    54   154 0.69 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 109776at50557        -            209   9.6e-32  108.8  57.1   2   9     0.016       1.2    7.2   0.0    90   127   160   198   158   202 0.74 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 109776at50557        -            209   9.6e-32  108.8  57.1   3   9     5e-06   0.00036   18.7   7.5    32   163   232   386   198   411 0.40 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 109776at50557        -            209   9.6e-32  108.8  57.1   4   9   0.00035     0.025   12.7   0.5    20   119   315   431   314   441 0.61 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 109776at50557        -            209   9.6e-32  108.8  57.1   5   9   7.7e-07   5.5e-05   21.4   0.8    23   165   441   584   436   588 0.68 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 109776at50557        -            209   9.6e-32  108.8  57.1   6   9   8.4e-11     6e-09   34.3   1.2    20   162   560   723   556   724 0.79 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 109776at50557        -            209   9.6e-32  108.8  57.1   7   9   1.1e-06   8.3e-05   20.8   0.6    23   128   705   752   699   758 0.65 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 109776at50557        -            209   9.6e-32  108.8  57.1   8   9   1.5e-05    0.0011   17.2  12.1    32   165   737   890   735   891 0.74 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 109776at50557        -            209   9.6e-32  108.8  57.1   9   9     0.022       1.6    6.8   2.7    24   132   870   982   867  1028 0.63 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 109776at50557        -            209   9.7e-32  108.8  28.4   1   8    0.0023      0.17   10.0   0.0    87   126    15    56     7    62 0.80 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 109776at50557        -            209   9.7e-32  108.8  28.4   2   8   2.6e-11   1.9e-09   35.9   4.2    29   164    68   229    62   230 0.72 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 109776at50557        -            209   9.7e-32  108.8  28.4   3   8   8.6e-07   6.2e-05   21.2   2.1    77   163   227   323   226   325 0.85 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 109776at50557        -            209   9.7e-32  108.8  28.4   4   8   3.9e-11   2.8e-09   35.4   0.7    23   164   257   419   254   428 0.80 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 109776at50557        -            209   9.7e-32  108.8  28.4   5   8   2.7e-11     2e-09   35.9   2.6    25   180   306   480   303   486 0.74 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 109776at50557        -            209   9.7e-32  108.8  28.4   6   8    0.0032      0.23    9.5   0.7   112   163   454   511   436   525 0.74 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 109776at50557        -            209   9.7e-32  108.8  28.4   7   8      0.36        26    2.8   0.0   124   164   649   690   634   696 0.82 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 109776at50557        -            209   9.7e-32  108.8  28.4   8   8   9.3e-07   6.7e-05   21.1   0.1    90   185   678   780   670   794 0.75 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 109776at50557        -            209   1.6e-30  104.8  37.0   1   8   5.1e-05    0.0037   15.4   0.0    77   127    53   105     6   116 0.84 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 109776at50557        -            209   1.6e-30  104.8  37.0   2   8   2.8e-08     2e-06   26.1   4.1    26   129   143   263   121   266 0.61 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 109776at50557        -            209   1.6e-30  104.8  37.0   3   8   3.4e-12   2.5e-10   38.8   5.7    21   164   260   425   259   426 0.82 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 109776at50557        -            209   1.6e-30  104.8  37.0   4   8   0.00039     0.028   12.5   0.1    84   138   383   439   380   442 0.82 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 109776at50557        -            209   1.6e-30  104.8  37.0   5   8    0.0034      0.24    9.5   0.1    85   137   432   485   428   508 0.83 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 109776at50557        -            209   1.6e-30  104.8  37.0   6   8     0.017       1.2    7.2   0.7    91   172   483   572   481   576 0.60 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 109776at50557        -            209   1.6e-30  104.8  37.0   7   8       5.7   4.1e+02   -1.1   0.0   124   148   700   724   685   746 0.77 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 109776at50557        -            209   1.6e-30  104.8  37.0   8   8   1.7e-05    0.0012   17.0   0.7   106   186   747   835   728   848 0.74 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 109776at50557        -            209   8.9e-28   95.8  36.4   1   7    0.0049      0.35    8.9   0.2    32    65     1    38     1    42 0.80 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 109776at50557        -            209   8.9e-28   95.8  36.4   2   7     3e-08   2.2e-06   25.9   4.4    30   124    52   161    48   164 0.79 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 109776at50557        -            209   8.9e-28   95.8  36.4   3   7   2.2e-07   1.6e-05   23.1   6.3    23   124    93   211    89   212 0.74 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 109776at50557        -            209   8.9e-28   95.8  36.4   4   7   6.7e-11   4.8e-09   34.6   5.7    21   164   189   354   188   378 0.76 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 109776at50557        -            209   8.9e-28   95.8  36.4   5   7   9.4e-07   6.8e-05   21.1   4.4    20   164   331   494   329   508 0.75 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 109776at50557        -            209   8.9e-28   95.8  36.4   6   7     0.075       5.4    5.0   0.0   124   160   630   667   616   677 0.83 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 109776at50557        -            209   8.9e-28   95.8  36.4   7   7    0.0009     0.065   11.3   0.1    29   161   681   740   671   749 0.50 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 109776at50557        -            209   6.4e-27   93.0  45.9   1   7   0.00018     0.013   13.6   3.5    19   164    20   167    14   176 0.73 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 109776at50557        -            209   6.4e-27   93.0  45.9   2   7   3.1e-08   2.2e-06   25.9   0.5    20    93   196   273   177   285 0.87 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 109776at50557        -            209   6.4e-27   93.0  45.9   3   7     1e-05   0.00073   17.7   1.5    56   130   270   347   270   374 0.77 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 109776at50557        -            209   6.4e-27   93.0  45.9   4   7    0.0002     0.014   13.5   0.2   112   163   389   449   384   459 0.79 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 109776at50557        -            209   6.4e-27   93.0  45.9   5   7   3.9e-07   2.8e-05   22.3   1.0    21   122   476   570   471   575 0.75 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 109776at50557        -            209   6.4e-27   93.0  45.9   6   7   5.4e-08   3.9e-06   25.1   2.4    33   144   562   694   552   696 0.63 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 109776at50557        -            209   6.4e-27   93.0  45.9   7   7      0.22        16    3.5   1.2    28   153   676   803   674   832 0.59 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 109776at50557        -            209     1e-26   92.4  46.5   1   7   0.00018     0.013   13.6   3.5    19   164    20   167    14   176 0.73 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 109776at50557        -            209     1e-26   92.4  46.5   2   7   3.1e-08   2.2e-06   25.9   0.5    20    93   196   273   177   285 0.87 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 109776at50557        -            209     1e-26   92.4  46.5   3   7     1e-05   0.00073   17.7   1.5    56   130   270   347   270   374 0.77 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 109776at50557        -            209     1e-26   92.4  46.5   4   7   0.00019     0.014   13.5   0.2   112   163   389   449   384   461 0.79 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 109776at50557        -            209     1e-26   92.4  46.5   5   7     9e-07   6.5e-05   21.1   2.4    21   122   476   570   457   575 0.73 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 109776at50557        -            209     1e-26   92.4  46.5   6   7   6.5e-08   4.7e-06   24.9   2.8    34   144   563   694   554   697 0.59 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 109776at50557        -            209     1e-26   92.4  46.5   7   7      0.26        19    3.3   1.3    28   152   676   802   673   830 0.57 -
25718at50557_136037_0:000614|STRG.11039.1:1296-3854|+   -            853 109776at50557        -            209   2.2e-26   91.2  44.8   1   6   9.8e-08     7e-06   24.3   2.2    18   125    42   166    27   167 0.63 -
25718at50557_136037_0:000614|STRG.11039.1:1296-3854|+   -            853 109776at50557        -            209   2.2e-26   91.2  44.8   2   6   6.5e-09   4.7e-07   28.1   2.0    85   164   148   238   145   244 0.80 -
25718at50557_136037_0:000614|STRG.11039.1:1296-3854|+   -            853 109776at50557        -            209   2.2e-26   91.2  44.8   3   6     3e-05    0.0022   16.1   1.4   107   164   247   312   244   336 0.76 -
25718at50557_136037_0:000614|STRG.11039.1:1296-3854|+   -            853 109776at50557        -            209   2.2e-26   91.2  44.8   4   6   9.5e-11   6.8e-09   34.1   6.1    25   164   270   431   266   434 0.79 -
25718at50557_136037_0:000614|STRG.11039.1:1296-3854|+   -            853 109776at50557        -            209   2.2e-26   91.2  44.8   5   6   7.7e-05    0.0055   14.8   3.7    18   145   406   548   400   560 0.78 -
25718at50557_136037_0:000614|STRG.11039.1:1296-3854|+   -            853 109776at50557        -            209   2.2e-26   91.2  44.8   6   6   0.00062     0.045   11.8   4.7   105   164   749   816   717   822 0.67 -
25718at50557_136037_0:000614|STRG.11039.2:333-2891|+    -            853 109776at50557        -            209   2.2e-26   91.2  44.8   1   6   9.8e-08     7e-06   24.3   2.2    18   125    42   166    27   167 0.63 -
25718at50557_136037_0:000614|STRG.11039.2:333-2891|+    -            853 109776at50557        -            209   2.2e-26   91.2  44.8   2   6   6.5e-09   4.7e-07   28.1   2.0    85   164   148   238   145   244 0.80 -
25718at50557_136037_0:000614|STRG.11039.2:333-2891|+    -            853 109776at50557        -            209   2.2e-26   91.2  44.8   3   6     3e-05    0.0022   16.1   1.4   107   164   247   312   244   336 0.76 -
25718at50557_136037_0:000614|STRG.11039.2:333-2891|+    -            853 109776at50557        -            209   2.2e-26   91.2  44.8   4   6   9.5e-11   6.8e-09   34.1   6.1    25   164   270   431   266   434 0.79 -
25718at50557_136037_0:000614|STRG.11039.2:333-2891|+    -            853 109776at50557        -            209   2.2e-26   91.2  44.8   5   6   7.7e-05    0.0055   14.8   3.7    18   145   406   548   400   560 0.78 -
25718at50557_136037_0:000614|STRG.11039.2:333-2891|+    -            853 109776at50557        -            209   2.2e-26   91.2  44.8   6   6   0.00062     0.045   11.8   4.7   105   164   749   816   717   822 0.67 -
54603at50557_116153_0:001d7a|STRG.14138.3:956-1822|+    -            289 109776at50557        -            209     1e-23   82.6  18.4   1   3   1.1e-08   7.8e-07   27.4   2.4    88   156     3    78     1   113 0.83 -
54603at50557_116153_0:001d7a|STRG.14138.3:956-1822|+    -            289 109776at50557        -            209     1e-23   82.6  18.4   2   3   6.2e-06   0.00044   18.4   0.1    22    71   129   183   113   188 0.78 -
54603at50557_116153_0:001d7a|STRG.14138.3:956-1822|+    -            289 109776at50557        -            209     1e-23   82.6  18.4   3   3   5.1e-14   3.7e-12   44.8   5.1    30   121   186   289   183   289 0.81 -
8280at50557_7160_0:00112a|STRG.5577.1:1342-2520|+       -            393 109776at50557        -            209   3.6e-22   77.5  10.0   1   4     5e-07   3.6e-05   22.0   0.0    21    86    14    81     7    88 0.80 -
8280at50557_7160_0:00112a|STRG.5577.1:1342-2520|+       -            393 109776at50557        -            209   3.6e-22   77.5  10.0   2   4   1.5e-06   0.00011   20.4   0.6    51   125    96   181    86   184 0.49 -
8280at50557_7160_0:00112a|STRG.5577.1:1342-2520|+       -            393 109776at50557        -            209   3.6e-22   77.5  10.0   3   4   3.9e-06   0.00028   19.0   0.2    20    88   181   254   179   258 0.83 -
8280at50557_7160_0:00112a|STRG.5577.1:1342-2520|+       -            393 109776at50557        -            209   3.6e-22   77.5  10.0   4   4   9.9e-06   0.00072   17.7   0.1    21    60   254   296   249   323 0.81 -
8280at50557_7160_0:00112a|STRG.5577.2:312-1490|+        -            393 109776at50557        -            209   3.6e-22   77.5  10.0   1   4     5e-07   3.6e-05   22.0   0.0    21    86    14    81     7    88 0.80 -
8280at50557_7160_0:00112a|STRG.5577.2:312-1490|+        -            393 109776at50557        -            209   3.6e-22   77.5  10.0   2   4   1.5e-06   0.00011   20.4   0.6    51   125    96   181    86   184 0.49 -
8280at50557_7160_0:00112a|STRG.5577.2:312-1490|+        -            393 109776at50557        -            209   3.6e-22   77.5  10.0   3   4   3.9e-06   0.00028   19.0   0.2    20    88   181   254   179   258 0.83 -
8280at50557_7160_0:00112a|STRG.5577.2:312-1490|+        -            393 109776at50557        -            209   3.6e-22   77.5  10.0   4   4   9.9e-06   0.00072   17.7   0.1    21    60   254   296   249   323 0.81 -
109776at50557_13249_0:0026b7|STRG.14138.3:391-858|+     -            156 109776at50557        -            209     4e-22   77.4  22.8   1   2   1.5e-13   1.1e-11   43.2   9.5    31   128     3   111     1   114 0.86 -
109776at50557_13249_0:0026b7|STRG.14138.3:391-858|+     -            156 109776at50557        -            209     4e-22   77.4  22.8   2   2   1.5e-14   1.1e-12   46.5   5.3    31   127    49   156    48   156 0.85 -
109776at50557_13249_0:0026b7|STRG.14138.4:99-716|+      -            206 109776at50557        -            209   6.5e-22   76.7  22.6   1   3      0.12       8.3    4.4   0.0    13    31     1    19     1    40 0.71 -
109776at50557_13249_0:0026b7|STRG.14138.4:99-716|+      -            206 109776at50557        -            209   6.5e-22   76.7  22.6   2   3     9e-14   6.5e-12   44.0   8.8    28   128    50   161    44   164 0.85 -
