#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
43121at50557_103372_0:001d6c|STRG.9312.1:248-1243|+    -            332 43121at50557         -            432  2.5e-162  539.6   2.0   1   1  3.3e-163  1.4e-161  537.1   2.0     1   290     1   332     1   332 0.92 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   2   5    0.0072      0.31    8.8   0.0   266   306   179   219   172   221 0.54 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   3   5   3.7e-09   1.6e-07   29.5   0.1   263   333   218   290   215   300 0.91 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   4   5   0.00026     0.011   13.5   0.0   187   225   340   378   334   381 0.86 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 43121at50557         -            432   5.1e-25   87.1   5.5   5   5   1.4e-05   0.00059   17.7   0.4   263   334   382   457   379   457 0.90 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 43121at50557         -            432   1.1e-24   86.0   0.2   1   4      0.25        11    3.7   0.0   187   218    55    86    29    93 0.82 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 43121at50557         -            432   1.1e-24   86.0   0.2   2   4     1e-11   4.4e-10   37.9   0.0   263   337    98   176    93   185 0.86 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 43121at50557         -            432   1.1e-24   86.0   0.2   3   4   4.1e-10   1.8e-08   32.6   0.0   266   338   185   260   176   268 0.89 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 43121at50557         -            432   1.1e-24   86.0   0.2   4   4     0.021      0.88    7.3   0.0   265   328   276   342   263   349 0.75 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 43121at50557         -            432   2.1e-22   78.5  12.5   1   7   1.1e-06   4.8e-05   21.3   0.0   186   288    46   147    42   161 0.71 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 43121at50557         -            432   2.1e-22   78.5  12.5   2   7   0.00041     0.018   12.8   0.0   181   283    85   183    80   235 0.75 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 43121at50557         -            432   2.1e-22   78.5  12.5   3   7   1.3e-07   5.4e-06   24.4   0.2   248   334   238   326   223   330 0.88 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 43121at50557         -            432   2.1e-22   78.5  12.5   4   7     0.069       2.9    5.5   0.1   300   339   372   413   357   426 0.80 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 43121at50557         -            432   2.1e-22   78.5  12.5   5   7     0.029       1.3    6.7   0.0   191   224   434   467   416   474 0.88 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 43121at50557         -            432   2.1e-22   78.5  12.5   6   7   0.00039     0.017   12.9   0.0   266   348   476   563   469   573 0.85 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+    -            712 43121at50557         -            432   2.1e-22   78.5  12.5   7   7     0.007       0.3    8.8   0.2   262   331   639   712   566   712 0.81 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 43121at50557         -            432   2.5e-22   78.2   5.1   1   4   1.3e-06   5.6e-05   21.1   0.1   279   333     2    57     1    71 0.87 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 43121at50557         -            432   2.5e-22   78.2   5.1   2   4     1e-05   0.00043   18.2   0.1   271   333    74   140    66   146 0.81 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 43121at50557         -            432   2.5e-22   78.2   5.1   3   4   1.4e-11   6.1e-10   37.4   0.0   262   334   150   221   145   231 0.91 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 43121at50557         -            432   2.5e-22   78.2   5.1   4   4       1.2        53    1.4   0.0   305   331   240   267   227   268 0.64 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 43121at50557         -            432   2.9e-21   74.8   1.5   1   3   1.4e-05   0.00059   17.7   0.0   255   311   243   297   160   308 0.55 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 43121at50557         -            432   2.9e-21   74.8   1.5   2   3   2.4e-12     1e-10   40.0   0.2   263   337   366   443   359   449 0.91 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 43121at50557         -            432   2.9e-21   74.8   1.5   3   3   6.7e-07   2.9e-05   22.0   0.1   196   260   417   479   412   481 0.91 -
22030at50557_104452_0:001960|STRG.11310.1:0-965|+      -            242 43121at50557         -            432   3.6e-21   74.4   0.4   1   3   6.9e-12     3e-10   38.5   0.0   260   333     9    87     2    93 0.89 -
22030at50557_104452_0:001960|STRG.11310.1:0-965|+      -            242 43121at50557         -            432   3.6e-21   74.4   0.4   2   3     0.068       2.9    5.5   0.0   262   294    97   129    92   144 0.87 -
22030at50557_104452_0:001960|STRG.11310.1:0-965|+      -            242 43121at50557         -            432   3.6e-21   74.4   0.4   3   3   1.5e-08   6.5e-07   27.5   0.0   267   336   153   225   142   236 0.85 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 43121at50557         -            432   2.1e-20   71.9   0.0   1   3   2.5e-13   1.1e-11   43.2   0.0   182   334    34   203    11   203 0.80 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 43121at50557         -            432   2.1e-20   71.9   0.0   2   3   1.1e-05   0.00046   18.1   0.0   279   336   187   247   174   257 0.87 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 43121at50557         -            432   2.1e-20   71.9   0.0   3   3   0.00081     0.035   11.9   0.0   184   216   296   328   282   329 0.88 -
80377at50557_30019_0:0008bb|STRG.6991.1:27-794|+       -            256 43121at50557         -            432   3.6e-20   71.1   2.5   1   3     1e-08   4.3e-07   28.1   0.1   273   341    56   127    45   141 0.86 -
80377at50557_30019_0:0008bb|STRG.6991.1:27-794|+       -            256 43121at50557         -            432   3.6e-20   71.1   2.5   2   3     0.061       2.6    5.7   0.0   277   305   144   172   127   174 0.73 -
80377at50557_30019_0:0008bb|STRG.6991.1:27-794|+       -            256 43121at50557         -            432   3.6e-20   71.1   2.5   3   3   4.9e-10   2.1e-08   32.4   0.0   258   335   165   247   161   252 0.80 -
80377at50557_116153_0:0002e6|STRG.6991.2:180-1013|+    -            278 43121at50557         -            432   9.4e-20   69.8   2.4   1   4      0.24        10    3.8   0.0   268   306     4    42     1    49 0.54 -
80377at50557_116153_0:0002e6|STRG.6991.2:180-1013|+    -            278 43121at50557         -            432   9.4e-20   69.8   2.4   2   4   1.2e-08   5.1e-07   27.8   0.1   273   341    51   122    39   133 0.86 -
80377at50557_116153_0:0002e6|STRG.6991.2:180-1013|+    -            278 43121at50557         -            432   9.4e-20   69.8   2.4   3   4     0.074       3.2    5.4   0.0   277   305   139   167   125   169 0.73 -
80377at50557_116153_0:0002e6|STRG.6991.2:180-1013|+    -            278 43121at50557         -            432   9.4e-20   69.8   2.4   4   4   5.6e-10   2.4e-08   32.2   0.0   258   335   160   242   156   248 0.81 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+    -            206 43121at50557         -            432   2.5e-17   61.8   0.6   1   3       1.8        77    0.9   0.0   268   298    21    52    10    61 0.50 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+    -            206 43121at50557         -            432   2.5e-17   61.8   0.6   2   3   8.1e-10   3.5e-08   31.7   0.1   262   331    58   130    53   136 0.93 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+    -            206 43121at50557         -            432   2.5e-17   61.8   0.6   3   3   2.1e-08   8.9e-07   27.0   0.0   185   230   141   186   133   193 0.91 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+    -            260 43121at50557         -            432   3.7e-17   61.2   1.2   1   3      0.29        12    3.5   0.0   304   337     2    39     1    49 0.76 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+    -            260 43121at50557         -            432   3.7e-17   61.2   1.2   2   3   1.7e-09   7.4e-08   30.6   0.3   263   333    51   124    46   130 0.89 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+    -            260 43121at50557         -            432   3.7e-17   61.2   1.2   3   3   1.8e-07   7.8e-06   23.9   0.1   258   337   131   215   127   232 0.85 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 43121at50557         -            432     1e-16   59.8   1.3   1   3      0.43        19    2.9   0.0   314   336   333   355   322   360 0.64 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 43121at50557         -            432     1e-16   59.8   1.3   2   3   9.5e-08   4.1e-06   24.8   0.0   260   338   433   514   429   519 0.88 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 43121at50557         -            432     1e-16   59.8   1.3   3   3   1.3e-05   0.00057   17.8   0.0   263   333   520   593   511   629 0.76 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 43121at50557         -            432   2.6e-16   58.4   2.7   1   4      0.78        33    2.1   0.0   303   336     8    44     3    59 0.63 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 43121at50557         -            432   2.6e-16   58.4   2.7   2   4     0.019       0.8    7.4   0.0   265   334    67   138    61   150 0.80 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 43121at50557         -            432   2.6e-16   58.4   2.7   3   4   4.7e-08     2e-06   25.8   0.1   277   336   161   223   153   239 0.87 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 43121at50557         -            432   2.6e-16   58.4   2.7   4   4   5.3e-06   0.00023   19.1   0.1   278   335   255   315   230   321 0.87 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+     -            156 43121at50557         -            432   5.7e-16   57.3   0.1   1   1   1.9e-16     8e-15   53.5   0.1   196   328     8   152     3   155 0.81 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+   -            859 43121at50557         -            432   5.8e-16   57.3   0.0   1   3     0.017      0.74    7.5   0.0   257   334     9    91     4    98 0.77 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+   -            859 43121at50557         -            432   5.8e-16   57.3   0.0   2   3   3.4e-13   1.5e-11   42.8   0.0   187   334    59   217    58   220 0.82 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+   -            859 43121at50557         -            432   5.8e-16   57.3   0.0   3   3     0.054       2.3    5.9   0.0   260   324   225   288   218   302 0.80 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+   -            878 43121at50557         -            432   6.5e-16   57.1   0.0   1   3     0.017      0.71    7.6   0.0   257   334     9    91     3    99 0.76 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+   -            878 43121at50557         -            432   6.5e-16   57.1   0.0   2   3   3.2e-13   1.4e-11   42.9   0.0   187   334    59   217    57   221 0.82 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+   -            878 43121at50557         -            432   6.5e-16   57.1   0.0   3   3     0.055       2.4    5.8   0.0   259   324   224   288   217   300 0.80 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 43121at50557         -            432   1.3e-14   52.9   0.1   1   4      0.24        10    3.7   0.0   191   225    60    95    51   143 0.80 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 43121at50557         -            432   1.3e-14   52.9   0.1   2   4   2.4e-05     0.001   16.9   0.0   188   329   145   301   142   315 0.72 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 43121at50557         -            432   1.3e-14   52.9   0.1   3   4    0.0021      0.09   10.5   0.0   262   329   316   385   309   401 0.77 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 43121at50557         -            432   1.3e-14   52.9   0.1   4   4   0.00012    0.0053   14.6   0.0   177   279   471   573   410   599 0.82 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 43121at50557         -            432   2.1e-14   52.2  12.1   1   6    0.0082      0.35    8.6   0.3   266   340    37   115    18   121 0.80 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 43121at50557         -            432   2.1e-14   52.2  12.1   2   6    0.0085      0.37    8.5   0.0   178   228   154   204   149   254 0.67 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 43121at50557         -            432   2.1e-14   52.2  12.1   3   6      0.46        20    2.8   0.1   282   356   287   363   266   431 0.64 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 43121at50557         -            432   2.1e-14   52.2  12.1   4   6     0.074       3.2    5.4   0.0   263   307   452   496   444   499 0.90 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 43121at50557         -            432   2.1e-14   52.2  12.1   5   6   8.4e-09   3.6e-07   28.3   0.0   262   336   493   570   485   576 0.90 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 43121at50557         -            432   2.1e-14   52.2  12.1   6   6       3.7   1.6e+02   -0.2   0.0   303   332   579   608   571   628 0.65 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   1   4     0.023      0.99    7.1   0.1   313   343    24    54     7    60 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   2   4   0.00014     0.006   14.4   0.1   268   336    72   146    63   154 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   3   4   2.6e-08   1.1e-06   26.7   0.0   267   337   174   248   167   263 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.1:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   4   4       8.5   3.6e+02   -1.4   0.0   193   221   266   294   258   303 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   1   4     0.023      0.99    7.1   0.1   313   343    24    54     7    60 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   2   4   0.00014     0.006   14.4   0.1   268   336    72   146    63   154 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   3   4   2.6e-08   1.1e-06   26.7   0.0   267   337   174   248   167   263 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.2:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   4   4       8.5   3.6e+02   -1.4   0.0   193   221   266   294   258   303 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   1   4     0.023      0.99    7.1   0.1   313   343    24    54     7    60 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   2   4   0.00014     0.006   14.4   0.1   268   336    72   146    63   154 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   3   4   2.6e-08   1.1e-06   26.7   0.0   267   337   174   248   167   263 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   4   4       8.5   3.6e+02   -1.4   0.0   193   221   266   294   258   303 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   1   4     0.023      0.99    7.1   0.1   313   343    24    54     7    60 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   2   4   0.00014     0.006   14.4   0.1   268   336    72   146    63   154 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   3   4   2.6e-08   1.1e-06   26.7   0.0   267   337   174   248   167   263 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   4   4       8.5   3.6e+02   -1.4   0.0   193   221   266   294   258   303 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   1   4     0.023      0.99    7.1   0.1   313   343    24    54     7    60 0.84 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   2   4   0.00014     0.006   14.4   0.1   268   336    72   146    63   154 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   3   4   2.6e-08   1.1e-06   26.7   0.0   267   337   174   248   167   263 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+   -            320 43121at50557         -            432   2.1e-14   52.1   1.8   4   4       8.5   3.6e+02   -1.4   0.0   193   221   266   294   258   303 0.84 -
80377at50557_217634_0:002edc|STRG.10431.1:288-881|+    -            198 43121at50557         -            432   2.2e-14   52.1   4.8   1   2   1.5e-08   6.5e-07   27.5   0.3   244   335    18   122     7   126 0.73 -
80377at50557_217634_0:002edc|STRG.10431.1:288-881|+    -            198 43121at50557         -            432   2.2e-14   52.1   4.8   2   2   2.5e-10   1.1e-08   33.3   0.5   260   346    86   177    81   193 0.89 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 43121at50557         -            432   2.3e-14   52.0  12.4   1   7       9.1   3.9e+02   -1.5   0.0   338   364    30    57    24    65 0.78 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 43121at50557         -            432   2.3e-14   52.0  12.4   2   7    0.0081      0.35    8.6   0.4   266   340    66   144    47   158 0.81 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 43121at50557         -            432   2.3e-14   52.0  12.4   3   7    0.0087      0.37    8.5   0.0   178   228   183   233   178   283 0.67 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 43121at50557         -            432   2.3e-14   52.0  12.4   4   7      0.47        20    2.8   0.1   282   356   316   392   295   460 0.64 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 43121at50557         -            432   2.3e-14   52.0  12.4   5   7      0.13       5.6    4.6   0.0   263   306   481   524   473   525 0.88 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 43121at50557         -            432   2.3e-14   52.0  12.4   6   7   8.3e-09   3.6e-07   28.3   0.0   262   336   522   599   513   605 0.90 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 43121at50557         -            432   2.3e-14   52.0  12.4   7   7       3.8   1.6e+02   -0.2   0.0   303   332   608   637   600   657 0.65 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 43121at50557         -            432   2.6e-14   51.8  12.5   1   7       9.2     4e+02   -1.5   0.0   338   364    21    48    15    56 0.78 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 43121at50557         -            432   2.6e-14   51.8  12.5   2   7    0.0084      0.36    8.5   0.4   266   340    57   135    38   147 0.81 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 43121at50557         -            432   2.6e-14   51.8  12.5   3   7    0.0079      0.34    8.6   0.0   178   238   174   239   169   276 0.66 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 43121at50557         -            432   2.6e-14   51.8  12.5   4   7      0.49        21    2.7   0.1   282   356   307   383   286   450 0.64 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 43121at50557         -            432   2.6e-14   51.8  12.5   5   7     0.077       3.3    5.4   0.0   263   307   472   516   464   519 0.90 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 43121at50557         -            432   2.6e-14   51.8  12.5   6   7   9.7e-09   4.2e-07   28.1   0.0   262   336   513   590   507   595 0.90 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 43121at50557         -            432   2.6e-14   51.8  12.5   7   7       3.9   1.7e+02   -0.3   0.1   303   332   599   628   590   647 0.67 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+    -            523 43121at50557         -            432   3.7e-14   51.4   0.4   1   4      0.61        26    2.4   0.0   185   227   220   262   182   269 0.70 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+    -            523 43121at50557         -            432   3.7e-14   51.4   0.4   2   4       2.9   1.3e+02    0.2   0.0   319   332   295   308   281   313 0.82 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+    -            523 43121at50557         -            432   3.7e-14   51.4   0.4   3   4   2.6e-08   1.1e-06   26.7   0.1   261   337   362   441   355   451 0.87 -
