#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_104421_0:00067b|STRG.908.1:1-441|-      -            147 89317at50557         -            194   2.7e-66  222.1   7.9   1   1   9.4e-69     3e-66  221.9   7.9     1   115    21   145    21   147 0.95 -
89317at50557_104688_0:0015ad|STRG.905.2:171-821|+    -            217 89317at50557         -            194   2.6e-19   68.7  10.9   1   1   1.4e-21   4.4e-19   68.0  10.9     3   181    19   216    18   217 0.81 -
89317at50557_7224_0:001109|STRG.16652.1:3169-3807|+  -            213 89317at50557         -            194   1.7e-16   59.6  23.5   1   3   1.3e-10     4e-08   32.2   5.7     2    58     3    60     2    76 0.88 -
89317at50557_7224_0:001109|STRG.16652.1:3169-3807|+  -            213 89317at50557         -            194   1.7e-16   59.6  23.5   2   3   8.2e-09   2.6e-06   26.3   1.8    10    55    78   123    68   144 0.88 -
89317at50557_7224_0:001109|STRG.16652.1:3169-3807|+  -            213 89317at50557         -            194   1.7e-16   59.6  23.5   3   3   0.00016     0.051   12.3   1.6    12    59   160   207   147   212 0.84 -
89317at50557_7224_0:001109|STRG.16652.2:3195-3833|+  -            213 89317at50557         -            194   1.7e-16   59.6  23.5   1   3   1.3e-10     4e-08   32.2   5.7     2    58     3    60     2    76 0.88 -
89317at50557_7224_0:001109|STRG.16652.2:3195-3833|+  -            213 89317at50557         -            194   1.7e-16   59.6  23.5   2   3   8.2e-09   2.6e-06   26.3   1.8    10    55    78   123    68   144 0.88 -
89317at50557_7224_0:001109|STRG.16652.2:3195-3833|+  -            213 89317at50557         -            194   1.7e-16   59.6  23.5   3   3   0.00016     0.051   12.3   1.6    12    59   160   207   147   212 0.84 -
89317at50557_38123_0:00252b|STRG.907.1:736-1056|+    -            107 89317at50557         -            194   7.4e-13   47.7   4.1   1   1     8e-15   2.5e-12   45.9   4.1     8   105     1   107     1   107 0.85 -
90369at50557_29031_0:002749|STRG.16834.1:0-2480|+    -            827 89317at50557         -            194   4.8e-11   41.8   7.3   1   2     7e-05     0.022   13.5   0.3    11   114   419   462   410   497 0.61 -
90369at50557_29031_0:002749|STRG.16834.1:0-2480|+    -            827 89317at50557         -            194   4.8e-11   41.8   7.3   2   2   3.5e-10   1.1e-07   30.8   2.0     8   124   530   655   523   675 0.76 -
89317at50557_13249_0:000fb7|STRG.16652.1:1900-2385|+ -            162 89317at50557         -            194   5.8e-11   41.5  15.1   1   3   1.8e-07   5.9e-05   21.9   0.3    13    53     2    42     1    52 0.93 -
89317at50557_13249_0:000fb7|STRG.16652.1:1900-2385|+ -            162 89317at50557         -            194   5.8e-11   41.5  15.1   2   3   1.9e-07     6e-05   21.9   1.6    10    54    72   115    64   129 0.84 -
89317at50557_13249_0:000fb7|STRG.16652.1:1900-2385|+ -            162 89317at50557         -            194   5.8e-11   41.5  15.1   3   3    0.0089       2.8    6.6   1.3     9    32   138   161   127   162 0.87 -
89317at50557_13249_0:000fb7|STRG.16652.2:1926-2411|+ -            162 89317at50557         -            194   5.8e-11   41.5  15.1   1   3   1.8e-07   5.9e-05   21.9   0.3    13    53     2    42     1    52 0.93 -
89317at50557_13249_0:000fb7|STRG.16652.2:1926-2411|+ -            162 89317at50557         -            194   5.8e-11   41.5  15.1   2   3   1.9e-07     6e-05   21.9   1.6    10    54    72   115    64   129 0.84 -
89317at50557_13249_0:000fb7|STRG.16652.2:1926-2411|+ -            162 89317at50557         -            194   5.8e-11   41.5  15.1   3   3    0.0089       2.8    6.6   1.3     9    32   138   161   127   162 0.87 -
89317at50557_29031_0:001282|STRG.7195.2:519-881|+    -            121 89317at50557         -            194   2.1e-08   33.1   2.7   1   2     8e-05     0.025   13.3   0.2    15    56     3    44     1    62 0.86 -
89317at50557_29031_0:001282|STRG.7195.2:519-881|+    -            121 89317at50557         -            194   2.1e-08   33.1   2.7   2   2   4.9e-07   0.00016   20.5   0.2     2    52    69   120    68   121 0.91 -
89317at50557_74873_0:002294|STRG.7195.1:798-1217|+   -            140 89317at50557         -            194   8.6e-08   31.2   8.0   1   2   3.5e-05     0.011   14.5   1.9     2    56     5    61     4    79 0.86 -
89317at50557_74873_0:002294|STRG.7195.1:798-1217|+   -            140 89317at50557         -            194   8.6e-08   31.2   8.0   2   2   4.2e-07   0.00013   20.7   0.5     2    52    86   137    85   140 0.90 -
89317at50557_535359_0:0022dc|STRG.17374.1:102-536|+  -            145 89317at50557         -            194   2.5e-07   29.7   4.5   1   2     0.022       7.2    5.3   0.6     7    23     9    25     4    33 0.73 -
89317at50557_535359_0:0022dc|STRG.17374.1:102-536|+  -            145 89317at50557         -            194   2.5e-07   29.7   4.5   2   2     9e-09   2.9e-06   26.2   0.3    89   180    38   137    27   142 0.76 -
89317at50557_1155016_0:000ed3|STRG.16653.1:6-362|+   -            119 89317at50557         -            194     9e-06   24.6   0.4   1   2   6.4e-05      0.02   13.6   0.0    11    48     1    38     1    53 0.89 -
89317at50557_1155016_0:000ed3|STRG.16653.1:6-362|+   -            119 89317at50557         -            194     9e-06   24.6   0.4   2   2    0.0012      0.37    9.5   0.1    10    40    83   113    74   117 0.88 -
89317at50557_29031_0:001282|STRG.12083.1:273-602|+   -            110 89317at50557         -            194   0.00056   18.7   4.9   1   1   5.8e-05     0.019   13.8   4.9    75   163     3    96     1   110 0.59 -
72000at50557_378494_0:002eaf|STRG.1331.2:292-600|+   -            103 89317at50557         -            194    0.0007   18.4   0.9   1   1   2.7e-06   0.00085   18.1   0.9     8    55    46    94    38   101 0.87 -
90369at50557_29031_0:002749|STRG.16833.1:806-2743|+  -            646 89317at50557         -            194     0.017   13.8   1.4   1   1    0.0001     0.033   12.9   1.4     9    64   465   518   457   552 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/89317at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/89317at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:55 2024
# [ok]
