#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 25500at50557         -            513  2.6e-292  968.8   7.5   1   1    3e-291  1.3e-289  959.9   7.5     1   513     6   599     6   599 0.91 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 25500at50557         -            513   1.7e-19   68.7   6.4   3   5   0.00026     0.011   13.2   0.0   285   349   349   413   334   416 0.82 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 25500at50557         -            513   1.7e-19   68.7   6.4   4   5   2.3e-06    0.0001   19.9   0.1   408   472   371   441   370   447 0.64 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 25500at50557         -            513   1.7e-19   68.7   6.4   5   5      0.19       8.5    3.7   0.0   222   247   450   475   443   481 0.51 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 25500at50557         -            513   1.9e-17   62.0   1.2   1   3     4e-06   0.00018   19.2   0.0   293   338    30    75     7    81 0.82 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 25500at50557         -            513   1.9e-17   62.0   1.2   2   3   1.4e-05    0.0006   17.4   0.1   183   256    83   162    78   174 0.80 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 25500at50557         -            513   1.9e-17   62.0   1.2   3   3   2.5e-07   1.1e-05   23.2   0.0   193   331   186   328   172   329 0.81 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+    -            339 25500at50557         -            513   5.1e-15   53.9   2.6   1   4    0.0014     0.062   10.8   0.0   441   493    18    72     2    74 0.74 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+    -            339 25500at50557         -            513   5.1e-15   53.9   2.6   2   4   2.4e-09   1.1e-07   29.8   0.1   158   255    36   140    33   155 0.85 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+    -            339 25500at50557         -            513   5.1e-15   53.9   2.6   3   4   9.5e-06   0.00042   17.9   0.1   181   250   150   225   141   238 0.83 -
78072at50557_34720_0:000cf9|STRG.15555.1:334-1350|+    -            339 25500at50557         -            513   5.1e-15   53.9   2.6   4   4       0.5        22    2.3   0.0   137   167   304   334   294   337 0.79 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+     -            337 25500at50557         -            513   7.7e-15   53.3   2.9   1   4    0.0019     0.085   10.3   0.0   443   493    18    70     8    72 0.75 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+     -            337 25500at50557         -            513   7.7e-15   53.3   2.9   2   4   2.3e-09     1e-07   29.8   0.1   157   255    33   138    27   149 0.86 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+     -            337 25500at50557         -            513   7.7e-15   53.3   2.9   3   4   9.3e-06   0.00041   17.9   0.1   181   250   148   223   138   235 0.83 -
78072at50557_34720_0:000cf9|STRG.15555.3:18-1028|+     -            337 25500at50557         -            513   7.7e-15   53.3   2.9   4   4       0.5        22    2.3   0.0   137   167   302   332   292   335 0.79 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 25500at50557         -            513   4.2e-14   50.9   4.3   1   2   2.1e-06   9.3e-05   20.1   0.5    52   149     5    99     2   101 0.48 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 25500at50557         -            513   4.2e-14   50.9   4.3   2   2   2.3e-12     1e-10   39.7   0.2   156   349    63   265    62   285 0.84 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 25500at50557         -            513   6.1e-14   50.4   3.8   1   2   0.00028     0.013   13.0   0.4    51   112     3    63     1    65 0.79 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 25500at50557         -            513   6.1e-14   50.4   3.8   2   2   2.1e-12   9.1e-11   39.9   0.2   156   349    62   264    60   280 0.84 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 25500at50557         -            513   9.7e-14   49.7   0.2   1   3       0.5        22    2.3   0.0   449   490   331   371   314   382 0.86 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 25500at50557         -            513   9.7e-14   49.7   0.2   2   3     1e-08   4.5e-07   27.7   0.2   206   345   380   521   373   522 0.82 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 25500at50557         -            513   9.7e-14   49.7   0.2   3   3     2e-05   0.00087   16.9   0.0   400   477   517   600   514   616 0.80 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+      -            434 25500at50557         -            513   2.9e-13   48.1   0.0   1   2   8.8e-05    0.0039   14.7   0.0   293   355   113   175   108   205 0.90 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+      -            434 25500at50557         -            513   2.9e-13   48.1   0.0   2   2   1.7e-09   7.6e-08   30.3   0.0   112   300   222   409   179   420 0.81 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+   -            605 25500at50557         -            513     3e-13   48.1   3.5   1   4    0.0045       0.2    9.1   0.0   444   493    18    69     8    71 0.75 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+   -            605 25500at50557         -            513     3e-13   48.1   3.5   2   4   8.7e-09   3.8e-07   27.9   0.1   158   254    33   136    29   146 0.86 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+   -            605 25500at50557         -            513     3e-13   48.1   3.5   3   4   2.3e-05     0.001   16.6   0.1   181   250   147   222   142   246 0.83 -
78072at50557_286306_0:00290a|STRG.15555.2:150-2096|+   -            605 25500at50557         -            513     3e-13   48.1   3.5   4   4       1.6        68    0.7   0.1   137   166   301   330   292   353 0.76 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 25500at50557         -            513   5.1e-13   47.3   0.6   1   3   1.3e-05   0.00058   17.5   0.0   193   254    70   131    54   138 0.82 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 25500at50557         -            513   5.1e-13   47.3   0.6   2   3   1.8e-05   0.00081   17.0   0.0   129   253   131   256   130   267 0.83 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 25500at50557         -            513   5.1e-13   47.3   0.6   3   3   0.00018     0.008   13.7   0.0    61   165   234   342   225   347 0.77 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+      -            287 25500at50557         -            513   5.7e-13   47.2   2.6   1   3   0.00067      0.03   11.8   0.1   299   478    10    52     2    60 0.58 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+      -            287 25500at50557         -            513   5.7e-13   47.2   2.6   2   3    0.0048      0.21    9.0   0.0   193   258    70   139    56   143 0.67 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+      -            287 25500at50557         -            513   5.7e-13   47.2   2.6   3   3   7.3e-08   3.2e-06   24.9   0.1   222   353   144   281   137   285 0.81 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+    -            523 25500at50557         -            513   1.3e-12   46.0   0.0   1   3       0.5        22    2.3   0.0   302   354   222   274   214   286 0.85 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+    -            523 25500at50557         -            513   1.3e-12   46.0   0.0   2   3      0.13       5.8    4.3   0.0   194   261   294   362   273   376 0.66 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+    -            523 25500at50557         -            513   1.3e-12   46.0   0.0   3   3   1.4e-12   6.2e-11   40.5   0.0    58   248   329   517   314   523 0.86 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+      -            523 25500at50557         -            513   1.3e-12   46.0   0.0   1   3       0.5        22    2.3   0.0   302   354   222   274   214   286 0.85 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+      -            523 25500at50557         -            513   1.3e-12   46.0   0.0   2   3      0.13       5.8    4.3   0.0   194   261   294   362   273   376 0.66 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+      -            523 25500at50557         -            513   1.3e-12   46.0   0.0   3   3   1.4e-12   6.2e-11   40.5   0.0    58   248   329   517   314   523 0.86 -
80377at50557_30019_0:0008bb|STRG.6991.1:27-794|+       -            256 25500at50557         -            513   1.8e-12   45.6   1.1   1   3   6.5e-08   2.9e-06   25.1   0.0   405   471     6    78     1    81 0.81 -
80377at50557_30019_0:0008bb|STRG.6991.1:27-794|+       -            256 25500at50557         -            513   1.8e-12   45.6   1.1   2   3   1.1e-05   0.00049   17.7   0.1   129   237    79   185    77   212 0.73 -
80377at50557_30019_0:0008bb|STRG.6991.1:27-794|+       -            256 25500at50557         -            513   1.8e-12   45.6   1.1   3   3      0.95        42    1.4   0.0   206   255   198   248   175   254 0.62 -
80377at50557_116153_0:0002e6|STRG.6991.2:180-1013|+    -            278 25500at50557         -            513   2.8e-12   44.9   1.4   1   3   1.3e-07   5.7e-06   24.1   0.0   406   472     2    74     1    81 0.82 -
80377at50557_116153_0:0002e6|STRG.6991.2:180-1013|+    -            278 25500at50557         -            513   2.8e-12   44.9   1.4   2   3   1.9e-05   0.00084   16.9   0.0   129   220    74   167    73   204 0.73 -
80377at50557_116153_0:0002e6|STRG.6991.2:180-1013|+    -            278 25500at50557         -            513   2.8e-12   44.9   1.4   3   3      0.97        43    1.4   0.0    70   104   228   264   222   273 0.72 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 25500at50557         -            513   3.6e-12   44.5   5.7   1   4     0.062       2.8    5.3   0.0   295   344     6    54     2    59 0.71 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 25500at50557         -            513   3.6e-12   44.5   5.7   2   4    0.0033      0.14    9.5   0.3   452   513    65   123    55   123 0.80 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 25500at50557         -            513   3.6e-12   44.5   5.7   3   4   5.2e-08   2.3e-06   25.4   0.1   402   513   133   243   126   243 0.77 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 25500at50557         -            513   3.6e-12   44.5   5.7   4   4      0.14       6.4    4.1   0.0    52    80   258   285   247   287 0.66 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 25500at50557         -            513   3.8e-12   44.5   2.1   1   2     9e-05     0.004   14.7   0.1   297   353    33    88     3    91 0.81 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 25500at50557         -            513   3.8e-12   44.5   2.1   2   2   2.8e-09   1.2e-07   29.6   0.3    51   248    79   278    75   281 0.77 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 25500at50557         -            513   3.8e-12   44.4   1.6   1   3   0.00011     0.005   14.4   0.0   296   355    43   102    32   106 0.93 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 25500at50557         -            513   3.8e-12   44.4   1.6   2   3    0.0001    0.0045   14.5   0.2   454   512   106   163   100   164 0.82 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 25500at50557         -            513   3.8e-12   44.4   1.6   3   3   0.00063     0.028   11.9   0.0   216   334   379   498   358   510 0.82 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 25500at50557         -            513   3.8e-12   44.4   1.6   1   3   0.00011     0.005   14.4   0.0   296   355    43   102    32   106 0.93 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 25500at50557         -            513   3.8e-12   44.4   1.6   2   3    0.0001    0.0045   14.5   0.2   454   512   106   163   100   164 0.82 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 25500at50557         -            513   3.8e-12   44.4   1.6   3   3   0.00063     0.028   11.9   0.0   216   334   379   498   358   510 0.82 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 25500at50557         -            513   4.2e-12   44.3   2.0   1   5   3.2e-05    0.0014   16.2   0.0   406   486    21   115     6   143 0.67 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 25500at50557         -            513   4.2e-12   44.3   2.0   2   5    0.0025      0.11    9.9   0.2   226   355   200   330   195   330 0.82 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 25500at50557         -            513   4.2e-12   44.3   2.0   3   5   0.00025     0.011   13.2   0.1    52    82   320   351   320   354 0.85 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 25500at50557         -            513   4.2e-12   44.3   2.0   4   5    0.0016     0.072   10.5   0.1    61    83   329   352   328   436 0.77 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 25500at50557         -            513   4.2e-12   44.3   2.0   5   5      0.21       9.4    3.6   0.0   136   469   445   521   406   578 0.58 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 25500at50557         -            513   8.9e-12   43.2   3.9   1   3    0.0016     0.072   10.6   0.0   440   512    11    95     3    96 0.71 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 25500at50557         -            513   8.9e-12   43.2   3.9   2   3   5.3e-07   2.3e-05   22.1   0.4   194   350    81   237    79   245 0.77 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 25500at50557         -            513   8.9e-12   43.2   3.9   3   3   0.00039     0.017   12.6   0.1   159   215   260   319   223   346 0.50 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 25500at50557         -            513   9.7e-12   43.1   0.8   1   3     0.023         1    6.7   0.0   223   336     1   117     1   124 0.80 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 25500at50557         -            513   9.7e-12   43.1   0.8   2   3     0.025       1.1    6.6   0.0   299   356   173   230   138   232 0.86 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 25500at50557         -            513   9.7e-12   43.1   0.8   3   3    0.0036      0.16    9.4   0.0   447   512   226   289   217   290 0.84 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 25500at50557         -            513   9.7e-12   43.1   0.8   1   3     0.023         1    6.7   0.0   223   336     1   117     1   124 0.80 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 25500at50557         -            513   9.7e-12   43.1   0.8   2   3     0.025       1.1    6.6   0.0   299   356   173   230   138   232 0.86 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 25500at50557         -            513   9.7e-12   43.1   0.8   3   3    0.0036      0.16    9.4   0.0   447   512   226   289   217   290 0.84 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 25500at50557         -            513   9.7e-12   43.1   0.8   1   3     0.023         1    6.7   0.0   223   336     1   117     1   124 0.80 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 25500at50557         -            513   9.7e-12   43.1   0.8   2   3     0.025       1.1    6.6   0.0   299   356   173   230   138   232 0.86 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 25500at50557         -            513   9.7e-12   43.1   0.8   3   3    0.0036      0.16    9.4   0.0   447   512   226   289   217   290 0.84 -
56099at50557_103372_0:001a7e|STRG.18490.2:87-1425|+    -            443 25500at50557         -            513   2.9e-11   41.5   0.4   1   4       1.1        48    1.2   0.0   300   336    62    99    54   103 0.82 -
56099at50557_103372_0:001a7e|STRG.18490.2:87-1425|+    -            443 25500at50557         -            513   2.9e-11   41.5   0.4   2   4     0.067         3    5.2   0.0   222   251   107   137   102   154 0.84 -
56099at50557_103372_0:001a7e|STRG.18490.2:87-1425|+    -            443 25500at50557         -            513   2.9e-11   41.5   0.4   3   4     0.072       3.2    5.1   0.0   407   435   197   225   186   232 0.89 -
56099at50557_103372_0:001a7e|STRG.18490.2:87-1425|+    -            443 25500at50557         -            513   2.9e-11   41.5   0.4   4   4   1.7e-07   7.3e-06   23.7   0.0   399   482   274   364   264   379 0.85 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 25500at50557         -            513   6.8e-11   40.3   2.5   1   3     1e-05   0.00046   17.8   0.3   292   375    18   105     2   124 0.70 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 25500at50557         -            513   6.8e-11   40.3   2.5   2   3   4.8e-07   2.1e-05   22.2   0.1   233   333   120   220   110   230 0.80 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 25500at50557         -            513   6.8e-11   40.3   2.5   3   3       9.5   4.2e+02   -1.9   0.0   154   167   253   266   238   268 0.55 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+       -            286 25500at50557         -            513   9.1e-11   39.9   1.3   1   3   5.8e-11   2.6e-09   35.1   0.1   183   338    14   171     7   176 0.84 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+       -            286 25500at50557         -            513   9.1e-11   39.9   1.3   2   3      0.98        43    1.4   0.1   310   336   184   209   172   239 0.79 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+       -            286 25500at50557         -            513   9.1e-11   39.9   1.3   3   3       2.7   1.2e+02   -0.1   0.0   404   420   259   275   245   285 0.61 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 25500at50557         -            513   1.5e-10   39.2   1.4   1   2    0.0012     0.053   11.0   0.1   193   259    61   129    47   141 0.73 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 25500at50557         -            513   1.5e-10   39.2   1.4   2   2   4.8e-06   0.00021   18.9   0.0   194   331   149   290   134   290 0.74 -
56099at50557_103372_0:001a7e|STRG.18490.1:87-1418|+    -            444 25500at50557         -            513     2e-10   38.7   0.5   1   4         1        46    1.3   0.0   300   336    62    99    55   105 0.82 -
56099at50557_103372_0:001a7e|STRG.18490.1:87-1418|+    -            444 25500at50557         -            513     2e-10   38.7   0.5   2   4     0.071       3.1    5.1   0.0   222   251   107   137   104   154 0.83 -
56099at50557_103372_0:001a7e|STRG.18490.1:87-1418|+    -            444 25500at50557         -            513     2e-10   38.7   0.5   3   4       0.5        22    2.3   0.0   407   435   197   226   187   234 0.81 -
56099at50557_103372_0:001a7e|STRG.18490.1:87-1418|+    -            444 25500at50557         -            513     2e-10   38.7   0.5   4   4   1.6e-07     7e-06   23.8   0.1   399   482   275   365   256   376 0.85 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+     -            156 25500at50557         -            513   2.2e-10   38.7   0.3   1   2   2.1e-07   9.2e-06   23.4   0.0   272   349    12    88     5    91 0.90 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+     -            156 25500at50557         -            513   2.2e-10   38.7   0.3   2   2   0.00017    0.0075   13.8   0.2   445   511    89   155    82   156 0.79 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 25500at50557         -            513   3.7e-10   37.9   4.7   1   4   0.00058     0.025   12.0   0.1   438   486     3    55     1    83 0.65 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 25500at50557         -            513   3.7e-10   37.9   4.7   2   4    0.0022     0.099   10.1   0.2   226   355   140   270   135   270 0.82 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 25500at50557         -            513   3.7e-10   37.9   4.7   3   4   0.00014    0.0061   14.1   0.1    52    82   260   291   258   297 0.86 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 25500at50557         -            513   3.7e-10   37.9   4.7   4   4      0.21       9.4    3.6   0.0   136   470   385   462   353   512 0.56 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+    -            305 25500at50557         -            513   4.2e-10   37.7   0.7   1   2   0.00026     0.011   13.2   0.1   220   355    18   158     9   183 0.56 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+    -            305 25500at50557         -            513   4.2e-10   37.7   0.7   2   2   1.2e-06   5.2e-05   20.9   0.1   406   499   192   293   185   304 0.74 -
55830at50557_103372_0:000f54|STRG.13807.2:0-1340|+     -            447 25500at50557         -            513   1.3e-09   36.0   0.4   1   4   4.4e-05    0.0019   15.7   0.0   284   337   106   157    49   173 0.71 -
55830at50557_103372_0:000f54|STRG.13807.2:0-1340|+     -            447 25500at50557         -            513   1.3e-09   36.0   0.4   2   4     0.006      0.27    8.7   0.0   292   351   204   263   172   267 0.78 -
55830at50557_103372_0:000f54|STRG.13807.2:0-1340|+     -            447 25500at50557         -            513   1.3e-09   36.0   0.4   3   4    0.0096      0.42    8.0   0.0   438   511   255   327   248   329 0.81 -
55830at50557_103372_0:000f54|STRG.13807.2:0-1340|+     -            447 25500at50557         -            513   1.3e-09   36.0   0.4   4   4         2        88    0.4   0.0   451   473   361   383   351   425 0.60 -
55830at50557_103372_0:000f54|STRG.13807.1:284-1669|+   -            462 25500at50557         -            513   1.6e-09   35.8   0.4   1   4   4.3e-05    0.0019   15.7   0.0   284   338   124   176    66   194 0.72 -
55830at50557_103372_0:000f54|STRG.13807.1:284-1669|+   -            462 25500at50557         -            513   1.6e-09   35.8   0.4   2   4    0.0065      0.29    8.6   0.0   292   351   222   281   191   285 0.78 -
55830at50557_103372_0:000f54|STRG.13807.1:284-1669|+   -            462 25500at50557         -            513   1.6e-09   35.8   0.4   3   4     0.012      0.54    7.7   0.0   439   511   274   345   269   347 0.81 -
55830at50557_103372_0:000f54|STRG.13807.1:284-1669|+   -            462 25500at50557         -            513   1.6e-09   35.8   0.4   4   4       2.1        92    0.3   0.0   451   473   379   401   369   443 0.60 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+    -            260 25500at50557         -            513   2.7e-09   35.1   0.2   1   3      0.84        37    1.6   0.0   458   474    23    39     3    82 0.42 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+    -            260 25500at50557         -            513   2.7e-09   35.1   0.2   2   3   7.4e-07   3.3e-05   21.6   0.1   407   512    55   168    48   169 0.73 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+    -            260 25500at50557         -            513   2.7e-09   35.1   0.2   3   3   0.00011    0.0047   14.5   0.0   142   256   140   255   135   259 0.68 -
77772at50557_121845_0:003bba|STRG.14135.1:2659-3565|-  -            300 25500at50557         -            513   2.8e-09   35.0   0.0   1   3     0.013      0.57    7.6   0.1   407   440    22    55     8   100 0.59 -
77772at50557_121845_0:003bba|STRG.14135.1:2659-3565|-  -            300 25500at50557         -            513   2.8e-09   35.0   0.0   2   3    0.0069       0.3    8.5   0.0   440   480   105   145    84   151 0.82 -
77772at50557_121845_0:003bba|STRG.14135.1:2659-3565|-  -            300 25500at50557         -            513   2.8e-09   35.0   0.0   3   3   5.1e-05    0.0022   15.5   0.0   390   484   165   268   143   282 0.59 -
77772at50557_121845_0:003bba|STRG.14137.1:4588-5494|-  -            300 25500at50557         -            513   2.8e-09   35.0   0.0   1   3     0.013      0.57    7.6   0.1   407   440    22    55     8   100 0.59 -
77772at50557_121845_0:003bba|STRG.14137.1:4588-5494|-  -            300 25500at50557         -            513   2.8e-09   35.0   0.0   2   3    0.0069       0.3    8.5   0.0   440   480   105   145    84   151 0.82 -
77772at50557_121845_0:003bba|STRG.14137.1:4588-5494|-  -            300 25500at50557         -            513   2.8e-09   35.0   0.0   3   3   5.1e-05    0.0022   15.5   0.0   390   484   165   268   143   282 0.59 -
40115at50557_597456_0:00265e|STRG.5080.1:1879-2748|+   -            290 25500at50557         -            513   3.5e-09   34.7   5.4   1   2   0.00028     0.012   13.1   0.6   269   341    56   127     1   131 0.78 -
40115at50557_597456_0:00265e|STRG.5080.1:1879-2748|+   -            290 25500at50557         -            513   3.5e-09   34.7   5.4   2   2   2.2e-07   9.5e-06   23.3   0.4   181   331   140   289   129   290 0.87 -
40115at50557_597456_0:00265e|STRG.5080.2:1826-2695|+   -            290 25500at50557         -            513   3.5e-09   34.7   5.4   1   2   0.00028     0.012   13.1   0.6   269   341    56   127     1   131 0.78 -
40115at50557_597456_0:00265e|STRG.5080.2:1826-2695|+   -            290 25500at50557         -            513   3.5e-09   34.7   5.4   2   2   2.2e-07   9.5e-06   23.3   0.4   181   331   140   289   129   290 0.87 -
40115at50557_597456_0:00265e|STRG.5080.3:1947-2816|+   -            290 25500at50557         -            513   3.5e-09   34.7   5.4   1   2   0.00028     0.012   13.1   0.6   269   341    56   127     1   131 0.78 -
40115at50557_597456_0:00265e|STRG.5080.3:1947-2816|+   -            290 25500at50557         -            513   3.5e-09   34.7   5.4   2   2   2.2e-07   9.5e-06   23.3   0.4   181   331   140   289   129   290 0.87 -
40115at50557_597456_0:00265e|STRG.5080.4:1903-2772|+   -            290 25500at50557         -            513   3.5e-09   34.7   5.4   1   2   0.00028     0.012   13.1   0.6   269   341    56   127     1   131 0.78 -
40115at50557_597456_0:00265e|STRG.5080.4:1903-2772|+   -            290 25500at50557         -            513   3.5e-09   34.7   5.4   2   2   2.2e-07   9.5e-06   23.3   0.4   181   331   140   289   129   290 0.87 -
