#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48331at50557_456900_0:001f7e|STRG.6645.1:0-1430|+   -            477 48331at50557         -            377  9.3e-189  625.9   0.5   1   1  1.2e-188  7.1e-186  616.5   0.5     1   377    40   474    40   474 0.90 -
69102at50557_41427_0:0029ce|STRG.13512.2:674-1414|+ -            247 48331at50557         -            377   5.1e-13   47.5   0.2   2   3   3.1e-06    0.0018   16.1   0.0   107   215    64   170    57   170 0.71 -
69102at50557_41427_0:0029ce|STRG.13512.2:674-1414|+ -            247 48331at50557         -            377   5.1e-13   47.5   0.2   3   3   1.7e-07    0.0001   20.2   0.0   239   273   171   205   165   225 0.89 -
48331at50557_28612_0:003af4|STRG.4901.3:206-868|+   -            221 48331at50557         -            377   9.9e-11   40.0   0.1   1   1   2.2e-12   1.3e-09   36.3   0.1   133   281     1   160     1   195 0.80 -
69102at50557_143948_0:0005b9|STRG.16510.1:63-938|+  -            292 48331at50557         -            377   1.1e-07   30.0   0.0   1   1   2.3e-09   1.3e-06   26.4   0.0    44   269    42   278    13   289 0.70 -
69102at50557_74869_0:000e3a|STRG.15643.1:575-1123|+ -            183 48331at50557         -            377    0.0097   13.7   0.0   1   1   2.4e-05     0.014   13.2   0.0    51   178     3   122     1   133 0.70 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/48331at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/48331at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/48331at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:35:33 2024
# [ok]
