#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68043at50557_456900_0:001f98|STRG.14512.2:0-1586|+    -            529 68043at50557         -            302  2.8e-144  478.5   0.0   1   1  8.5e-146    9e-144  476.8   0.0     8   302   113   450   107   450 0.91 -
123578at50557_7168_0:0013fb|STRG.15010.1:421-1821|+   -            467 68043at50557         -            302   3.2e-32  110.5   1.6   2   2   5.1e-18   5.4e-16   57.2   0.0   158   298   287   428   264   431 0.80 -
46658at50557_7274_0:00208b|STRG.5936.2:137-1170|+     -            336 68043at50557         -            302     9e-31  105.8   0.1   1   1   1.7e-29   1.8e-27   94.9   0.1    15   292    28   336    20   336 0.75 -
65449at50557_7425_0:001950|STRG.13926.3:367-1295|+    -            301 68043at50557         -            302   3.2e-28   97.4   0.3   1   1   7.2e-30   7.7e-28   96.1   0.3    18   289     4   301     1   301 0.76 -
65449at50557_7237_0:000776|STRG.3410.1:226-1503|+     -            426 68043at50557         -            302   2.5e-27   94.5   0.0   1   1   3.7e-29     4e-27   93.8   0.0    59   297     9   278     5   284 0.78 -
46658at50557_6973_0:00426b|STRG.11425.1:3-702|+       -            170 68043at50557         -            302   1.4e-25   88.7   0.0   1   1   1.7e-27   1.8e-25   88.3   0.0    16   151     4   153     2   166 0.80 -
46658at50557_144034_0:002a0f|STRG.15186.3:169-840|+   -            224 68043at50557         -            302     4e-24   83.9   0.1   1   1   5.2e-26   5.5e-24   83.5   0.1    17   147    74   221    65   224 0.80 -
41619at50557_103372_0:0019ac|STRG.18312.1:11-921|+    -            298 68043at50557         -            302   6.5e-21   73.4   0.4   1   2   5.7e-22     6e-20   70.2   0.8    14   150     3   164     1   187 0.74 -
41619at50557_103372_0:0019ac|STRG.18312.1:11-921|+    -            298 68043at50557         -            302   6.5e-21   73.4   0.4   2   2       1.9   2.1e+02   -0.5   0.0   201   258   234   291   203   294 0.76 -
41619at50557_103372_0:0019ac|STRG.18312.2:11-904|+    -            298 68043at50557         -            302   6.5e-21   73.4   0.4   1   2   5.7e-22     6e-20   70.2   0.8    14   150     3   164     1   187 0.74 -
41619at50557_103372_0:0019ac|STRG.18312.2:11-904|+    -            298 68043at50557         -            302   6.5e-21   73.4   0.4   2   2       1.9   2.1e+02   -0.5   0.0   201   258   234   291   203   294 0.76 -
46658at50557_28612_0:0048c7|STRG.5936.2:481-1170|+    -            230 68043at50557         -            302   1.3e-20   72.4   0.3   1   1   2.9e-19     3e-17   61.3   0.3    94   292     8   230     3   230 0.75 -
25910at50557_103372_0:001a63|STRG.17951.1:2-2629|+    -            605 68043at50557         -            302     5e-19   67.2   0.3   1   3   0.00096       0.1   10.4   0.0    60    84   202   226   199   237 0.84 -
25910at50557_103372_0:001a63|STRG.17951.1:2-2629|+    -            605 68043at50557         -            302     5e-19   67.2   0.3   2   3      0.79        84    0.8   0.0   120   137   238   255   233   265 0.84 -
25910at50557_103372_0:001a63|STRG.17951.1:2-2629|+    -            605 68043at50557         -            302     5e-19   67.2   0.3   3   3   1.7e-16   1.8e-14   52.2   0.0   227   300   409   482   362   484 0.84 -
19244at50557_116153_0:001e22|STRG.5619.1:27-1052|+    -            342 68043at50557         -            302   7.4e-18   63.3   0.8   1   2   1.3e-10   1.4e-08   32.9   0.5    23   144     9   151     2   188 0.69 -
19244at50557_116153_0:001e22|STRG.5619.1:27-1052|+    -            342 68043at50557         -            302   7.4e-18   63.3   0.8   2   2   3.7e-09   3.9e-07   28.1   0.0   207   299   244   336   237   338 0.92 -
46658at50557_168631_0:000a66|STRG.11789.3:2024-2566|+ -            181 68043at50557         -            302   4.2e-16   57.6   0.1   1   1   4.7e-18     5e-16   57.4   0.1   190   300    35   142     8   144 0.87 -
65449at50557_34720_0:000b83|STRG.12673.2:869-1798|+   -            310 68043at50557         -            302   4.2e-15   54.3   0.2   1   1   7.1e-17   7.5e-15   53.5   0.0   226   302     4    79     1    79 0.94 -
19244at50557_29053_0:002948|STRG.12343.1:1587-2774|+  -            396 68043at50557         -            302   1.3e-11   42.8   0.3   1   2   0.00092     0.098   10.4   0.1    23    97     9    84     2   179 0.74 -
19244at50557_29053_0:002948|STRG.12343.1:1587-2774|+  -            396 68043at50557         -            302   1.3e-11   42.8   0.3   2   2   1.1e-09   1.2e-07   29.8   0.0   206   298   231   323   207   326 0.89 -
19244at50557_34720_0:002014|STRG.18598.3:0-4418|+     -           1473 68043at50557         -            302   3.2e-10   38.3   1.1   1   2     0.023       2.4    5.8   0.1    24   110   783   884   762   923 0.59 -
19244at50557_34720_0:002014|STRG.18598.3:0-4418|+     -           1473 68043at50557         -            302   3.2e-10   38.3   1.1   2   2   2.6e-09   2.8e-07   28.6   0.1   231   297  1047  1113  1039  1117 0.94 -
19244at50557_34720_0:002014|STRG.18598.5:127-4611|+   -           1495 68043at50557         -            302   3.4e-10   38.2   1.1   1   2     0.023       2.5    5.8   0.1    24   110   805   906   784   945 0.59 -
19244at50557_34720_0:002014|STRG.18598.5:127-4611|+   -           1495 68043at50557         -            302   3.4e-10   38.2   1.1   2   2   2.7e-09   2.8e-07   28.6   0.1   231   297  1069  1135  1061  1139 0.94 -
19244at50557_34720_0:002014|STRG.18598.4:454-4929|+   -           1492 68043at50557         -            302   3.4e-10   38.2   1.2   1   2     0.023       2.4    5.8   0.1    24   110   802   903   781   942 0.59 -
19244at50557_34720_0:002014|STRG.18598.4:454-4929|+   -           1492 68043at50557         -            302   3.4e-10   38.2   1.2   2   2   2.7e-09   2.8e-07   28.6   0.1   231   297  1066  1132  1058  1136 0.94 -
19244at50557_34720_0:002014|STRG.18598.1:117-4691|+   -           1525 68043at50557         -            302   3.7e-10   38.1   1.2   1   2     0.024       2.5    5.8   0.1    24   110   835   936   814   975 0.59 -
19244at50557_34720_0:002014|STRG.18598.1:117-4691|+   -           1525 68043at50557         -            302   3.7e-10   38.1   1.2   2   2   2.7e-09   2.9e-07   28.6   0.1   231   297  1099  1165  1091  1169 0.94 -
41619at50557_143948_0:002374|STRG.18313.1:8-658|+     -            217 68043at50557         -            302   1.9e-09   35.8   0.1   1   2   4.2e-11   4.5e-09   34.5   0.0   262   300    17    55    14    57 0.94 -
41619at50557_143948_0:002374|STRG.18313.1:8-658|+     -            217 68043at50557         -            302   1.9e-09   35.8   0.1   2   2       7.5     8e+02   -2.4   0.0   161   182   108   129    95   135 0.76 -
46658at50557_168631_0:000569|STRG.5936.1:137-487|+    -            117 68043at50557         -            302   1.3e-08   32.9   0.1   1   1   1.6e-10   1.7e-08   32.6   0.1    15    77    28    97    18   112 0.81 -
68043at50557_133901_0:001e43|STRG.6007.1:1684-2922|+  -            413 68043at50557         -            302   2.7e-08   31.9   2.3   1   2   1.1e-06   0.00011   20.1   0.7    33   134    34   161     5   188 0.69 -
68043at50557_133901_0:001e43|STRG.6007.1:1684-2922|+  -            413 68043at50557         -            302   2.7e-08   31.9   2.3   2   2    0.0023      0.24    9.1   0.0   219   275   313   367   240   395 0.84 -
68043at50557_133901_0:001e43|STRG.6007.2:1275-2513|+  -            413 68043at50557         -            302   2.7e-08   31.9   2.3   1   2   1.1e-06   0.00011   20.1   0.7    33   134    34   161     5   188 0.69 -
68043at50557_133901_0:001e43|STRG.6007.2:1275-2513|+  -            413 68043at50557         -            302   2.7e-08   31.9   2.3   2   2    0.0023      0.24    9.1   0.0   219   275   313   367   240   395 0.84 -
19244at50557_13037_0:00338e|STRG.18598.2:229-1719|+   -            497 68043at50557         -            302   3.3e-08   31.6   0.1   1   1   6.5e-10   6.9e-08   30.6   0.1   231   297    71   137    63   141 0.94 -
19244at50557_7536_0:001656|STRG.5111.1:321-1445|+     -            375 68043at50557         -            302     6e-08   30.8   0.0   1   2     0.013       1.4    6.6   0.0    37    90     6    59     1   130 0.69 -
19244at50557_7536_0:001656|STRG.5111.1:321-1445|+     -            375 68043at50557         -            302     6e-08   30.8   0.0   2   2   2.1e-07   2.2e-05   22.4   0.0   193   300   202   310   193   312 0.88 -
68043at50557_45779_0:0013b8|STRG.6007.1:4291-5382|+   -            364 68043at50557         -            302   1.5e-07   29.5   0.1   1   2   6.2e-07   6.6e-05   20.8   0.0    23   136     1   133     1   180 0.72 -
68043at50557_45779_0:0013b8|STRG.6007.1:4291-5382|+   -            364 68043at50557         -            302   1.5e-07   29.5   0.1   2   2     0.016       1.7    6.3   0.0   230   275   289   334   275   341 0.89 -
68043at50557_45779_0:0013b8|STRG.6007.2:3882-4973|+   -            364 68043at50557         -            302   1.5e-07   29.5   0.1   1   2   6.2e-07   6.6e-05   20.8   0.0    23   136     1   133     1   180 0.72 -
68043at50557_45779_0:0013b8|STRG.6007.2:3882-4973|+   -            364 68043at50557         -            302   1.5e-07   29.5   0.1   2   2     0.016       1.7    6.3   0.0   230   275   289   334   275   341 0.89 -
41619at50557_121225_0:000d27|STRG.6543.3:654-1595|+   -            314 68043at50557         -            302   0.00019   19.3   0.1   1   1   6.3e-05    0.0067   14.2   0.1    96   136   111   154     2   165 0.54 -
68043at50557_7200_0:000154|STRG.7688.1:1420-2565|+    -            382 68043at50557         -            302   0.00024   19.0   1.3   1   2   6.1e-05    0.0064   14.3   0.2    24   136     8   147     1   167 0.61 -
68043at50557_7200_0:000154|STRG.7688.1:1420-2565|+    -            382 68043at50557         -            302   0.00024   19.0   1.3   2   2      0.48        50    1.5   0.0   230   274   307   351   243   355 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/68043at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/68043at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/68043at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:12 2024
# [ok]
