#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
28600at50557_520822_0:000c07|STRG.19519.2:698-2578|+   -            627 28600at50557         -            507  1.9e-241  800.9  16.5   1   1  1.2e-241  8.4e-240  795.5  16.5     1   497    10   609    10   620 0.87 -
108271at50557_224129_0:0005ad|STRG.8113.1:9-551|+      -            181 28600at50557         -            507     5e-12   44.0   0.1   1   1   7.8e-14   5.3e-12   44.0   0.1     4   167     2   177     1   181 0.78 -
107216at50557_110193_0:000c8b|STRG.14579.2:30-608|+    -            193 28600at50557         -            507     7e-12   43.6   0.0   1   1   1.3e-13   8.8e-12   43.2   0.0     4   149    14   171    12   186 0.79 -
140221at50557_568069_0:001a32|STRG.8309.1:138-617|+    -            160 28600at50557         -            507   1.5e-11   42.5   0.0   1   1   2.4e-13   1.6e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
140221at50557_568069_0:001a32|STRG.8309.2:136-615|+    -            160 28600at50557         -            507   1.5e-11   42.5   0.0   1   1   2.4e-13   1.6e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
140221at50557_568069_0:001a32|STRG.8309.3:564-1043|+   -            160 28600at50557         -            507   1.5e-11   42.5   0.0   1   1   2.4e-13   1.6e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
140221at50557_568069_0:001a32|STRG.8309.4:0-479|+      -            160 28600at50557         -            507   1.5e-11   42.5   0.0   1   1   2.4e-13   1.6e-11   42.4   0.0     2   124     3   134     2   159 0.79 -
104262at50557_132113_0:00109a|STRG.11720.1:604-1074|+  -            157 28600at50557         -            507   5.7e-11   40.6   0.0   1   1   9.7e-13   6.6e-11   40.3   0.0     4   146     5   157     3   157 0.79 -
104262at50557_132113_0:00109a|STRG.11720.2:200-709|+   -            170 28600at50557         -            507   7.6e-11   40.2   0.0   1   1   1.3e-12     9e-11   39.9   0.0     4   146    18   170    16   170 0.79 -
106023at50557_34720_0:001fd2|STRG.3841.1:900-1559|+    -            220 28600at50557         -            507     1e-10   39.7   0.0   1   1   1.9e-12   1.3e-10   39.4   0.0     3   149    27   183    25   193 0.74 -
140221at50557_568069_0:001a32|STRG.17594.1:0-479|+     -            160 28600at50557         -            507   1.1e-10   39.7   0.0   1   1   1.7e-12   1.2e-10   39.5   0.0     2   117     3   126     2   157 0.81 -
108755at50557_456900_0:000c82|STRG.12749.1:0-634|+     -            207 28600at50557         -            507   1.3e-10   39.4   0.0   1   1   2.4e-12   1.6e-10   39.0   0.0     2   148    13   169    12   177 0.80 -
108755at50557_178035_0:0020de|STRG.12749.2:233-859|+   -            209 28600at50557         -            507   1.3e-10   39.3   0.0   1   1   2.5e-12   1.7e-10   39.0   0.0     2   148    13   169    12   177 0.80 -
106023at50557_456900_0:0019f7|STRG.3841.2:347-1307|+   -            243 28600at50557         -            507   1.4e-10   39.3   0.0   1   1   2.6e-12   1.8e-10   38.9   0.0     3   149    50   206    48   216 0.74 -
106023at50557_456900_0:0019f7|STRG.3841.3:347-1075|+   -            243 28600at50557         -            507   1.4e-10   39.3   0.0   1   1   2.6e-12   1.8e-10   38.9   0.0     3   149    50   206    48   216 0.74 -
105221at50557_7460_0:001362|STRG.1752.1:54-695|+       -            214 28600at50557         -            507   1.6e-10   39.1   0.0   1   1   2.7e-12   1.9e-10   38.9   0.0     3   147    26   183    24   206 0.77 -
129498at50557_103372_0:001a9c|STRG.18458.1:454-1158|+  -            235 28600at50557         -            507   1.7e-10   39.0   0.0   1   1   2.9e-12     2e-10   38.8   0.0     3   149    12   168    10   191 0.76 -
104262at50557_132113_0:00109a|STRG.8823.1:439-915|+    -            159 28600at50557         -            507   1.8e-10   38.9   0.0   1   1     3e-12     2e-10   38.7   0.0     4   146     8   159     5   159 0.79 -
105221at50557_54969_0:000f08|STRG.3110.2:353-841|+     -            163 28600at50557         -            507   3.1e-10   38.2   0.5   1   1   5.5e-12   3.8e-10   37.9   0.5     4   147     7   160     4   162 0.80 -
140221at50557_568069_0:001a32|STRG.18055.1:3-482|+     -            160 28600at50557         -            507     6e-10   37.2   0.0   1   1     1e-11   7.2e-10   36.9   0.0     2   118     3   128     2   136 0.82 -
108271at50557_43151_0:001e01|STRG.5703.1:89-646|+      -            186 28600at50557         -            507   1.1e-09   36.3   0.0   1   1   1.9e-11   1.3e-09   36.1   0.0     4   153     2   161     1   173 0.76 -
108271at50557_197043_0:002be2|STRG.6929.1:12-521|+     -            170 28600at50557         -            507   1.4e-09   36.0   0.0   1   1   2.3e-11   1.6e-09   35.8   0.0     4   147     1   154     1   165 0.79 -
140221at50557_568069_0:001a32|STRG.14219.1:275-721|+   -            149 28600at50557         -            507   1.9e-09   35.6   0.0   1   1   2.9e-11     2e-09   35.5   0.0     4   119     2   125     1   149 0.75 -
140221at50557_568069_0:001a32|STRG.14219.2:325-771|+   -            149 28600at50557         -            507   1.9e-09   35.6   0.0   1   1   2.9e-11     2e-09   35.5   0.0     4   119     2   125     1   149 0.75 -
140221at50557_568069_0:001a32|STRG.14219.3:2184-2630|+ -            149 28600at50557         -            507   1.9e-09   35.6   0.0   1   1   2.9e-11     2e-09   35.5   0.0     4   119     2   125     1   149 0.75 -
140221at50557_568069_0:001a32|STRG.14219.4:27-473|+    -            149 28600at50557         -            507   1.9e-09   35.6   0.0   1   1   2.9e-11     2e-09   35.5   0.0     4   119     2   125     1   149 0.75 -
108271at50557_28612_0:005172|STRG.5526.1:156-725|+     -            190 28600at50557         -            507   2.2e-09   35.3   0.0   1   1   3.2e-11   2.2e-09   35.3   0.0     4   122     5   132     2   187 0.80 -
108271at50557_43151_0:001e01|STRG.11476.1:568-1303|-   -            158 28600at50557         -            507   3.9e-09   34.5   0.0   1   1   6.9e-11   4.7e-09   34.2   0.0     4   147     2   155     1   157 0.77 -
115559at50557_286306_0:000620|STRG.9565.1:140-745|+    -            202 28600at50557         -            507   4.6e-09   34.3   0.1   1   1     8e-11   5.4e-09   34.0   0.1     2   151    26   185    25   196 0.74 -
115559at50557_286306_0:000620|STRG.9565.2:211-816|+    -            202 28600at50557         -            507   4.6e-09   34.3   0.1   1   1     8e-11   5.4e-09   34.0   0.1     2   151    26   185    25   196 0.74 -
115559at50557_286306_0:000620|STRG.9565.3:134-739|+    -            202 28600at50557         -            507   4.6e-09   34.3   0.1   1   1     8e-11   5.4e-09   34.0   0.1     2   151    26   185    25   196 0.74 -
104262at50557_132113_0:00109a|STRG.6684.1:85-633|+     -            183 28600at50557         -            507   5.8e-09   33.9   0.0   1   1   9.1e-11   6.2e-09   33.8   0.0     3   119    14   138    12   177 0.80 -
115559at50557_42026_0:0013f7|STRG.12111.1:1119-1610|+  -            164 28600at50557         -            507     1e-08   33.1   0.0   1   1   1.8e-10   1.2e-08   32.9   0.0     5   145    11   159     7   162 0.72 -
104262at50557_39758_0:003743|STRG.17582.1:6-617|+      -            204 28600at50557         -            507   3.6e-08   31.3   0.0   1   1   6.9e-10   4.7e-08   30.9   0.0     4   151     8   165     6   176 0.75 -
107216at50557_56086_0:000591|STRG.2392.1:3-509|+       -            169 28600at50557         -            507   3.8e-08   31.2   0.0   1   1   6.8e-10   4.7e-08   30.9   0.0     3   146     9   162     7   168 0.71 -
107216at50557_39758_0:004d90|STRG.5756.1:284-826|+     -            181 28600at50557         -            507   6.1e-08   30.6   0.0   1   1   1.1e-09   7.6e-08   30.2   0.0     4   155    13   174    11   178 0.77 -
108271at50557_43041_0:000285|STRG.15809.1:69-608|+     -            180 28600at50557         -            507   8.4e-08   30.1   0.0   1   1   1.3e-09   9.2e-08   30.0   0.0     3   118    16   140    14   175 0.76 -
108271at50557_40932_0:00088c|STRG.15809.2:111-739|+    -            167 28600at50557         -            507   1.1e-07   29.7   0.0   1   1   1.7e-09   1.2e-07   29.7   0.0     4   118     3   126     1   162 0.76 -
108271at50557_7536_0:004142|STRG.2261.1:600-1139|+     -            180 28600at50557         -            507   1.9e-07   28.9   0.0   1   1   3.2e-09   2.2e-07   28.7   0.0     5   154     2   162     1   171 0.74 -
106023at50557_37001_0:0016d5|STRG.7639.2:12-521|+      -            170 28600at50557         -            507   3.2e-07   28.2   0.0   1   1   5.8e-09     4e-07   27.9   0.0     4   147     9   166     6   170 0.69 -
107216at50557_7038_0:002032|STRG.617.1:660-1193|+      -            178 28600at50557         -            507   3.2e-07   28.2   0.0   1   1     6e-09   4.1e-07   27.8   0.0     4   147    18   172    16   177 0.71 -
140221at50557_568069_0:001a32|STRG.18055.2:492-941|+   -            150 28600at50557         -            507   3.3e-07   28.2   0.0   1   1   5.7e-09   3.9e-07   27.9   0.0    12   118     3   118     1   126 0.81 -
106023at50557_39758_0:004d29|STRG.7639.1:109-645|+     -            179 28600at50557         -            507   3.8e-07   27.9   0.0   1   1   6.8e-09   4.6e-07   27.7   0.0     4   147    18   175    14   179 0.69 -
107216at50557_7004_0:001b36|STRG.17482.2:6-569|+       -            188 28600at50557         -            507     4e-07   27.9   0.0   1   1   7.4e-09     5e-07   27.5   0.0     4   147     8   160     6   173 0.77 -
107216at50557_39758_0:004d90|STRG.2190.1:60-563|+      -            168 28600at50557         -            507   4.6e-07   27.7   0.0   1   1   7.6e-09   5.2e-07   27.5   0.0     4   144    10   166     7   168 0.72 -
107216at50557_39758_0:004d90|STRG.2190.4:60-563|+      -            168 28600at50557         -            507   4.6e-07   27.7   0.0   1   1   7.6e-09   5.2e-07   27.5   0.0     4   144    10   166     7   168 0.72 -
107216at50557_103372_0:00094d|STRG.4293.1:361-1005|+   -            215 28600at50557         -            507   6.1e-07   27.3   0.0   1   1   1.1e-08   7.7e-07   26.9   0.0     4   148    13   167    11   180 0.79 -
107216at50557_103372_0:00094d|STRG.4293.2:361-1005|+   -            215 28600at50557         -            507   6.1e-07   27.3   0.0   1   1   1.1e-08   7.7e-07   26.9   0.0     4   148    13   167    11   180 0.79 -
107216at50557_7004_0:001b36|STRG.17482.1:563-1430|+    -            183 28600at50557         -            507   6.6e-07   27.1   0.0   1   1   1.2e-08   8.3e-07   26.8   0.0     4   147     8   155     6   168 0.78 -
104262at50557_13164_0:00360e|STRG.11840.1:39-587|+     -            183 28600at50557         -            507   7.5e-07   27.0   0.0   1   1   1.3e-08   8.5e-07   26.8   0.0     4   119     1   129     1   167 0.72 -
115559at50557_51655_0:001474|STRG.8658.1:1-372|+       -            124 28600at50557         -            507   8.4e-07   26.8   0.1   1   1   1.4e-08   9.7e-07   26.6   0.1    13   116     2   116     1   121 0.77 -
129498at50557_37001_0:002409|STRG.19889.3:12-584|+     -            191 28600at50557         -            507     1e-06   26.5   0.1   1   1   1.7e-08   1.2e-06   26.4   0.1     4   149     3   164     1   186 0.72 -
107216at50557_103372_0:00094d|STRG.4293.3:0-617|+      -            206 28600at50557         -            507   1.1e-06   26.4   0.0   1   1   2.1e-08   1.4e-06   26.1   0.0     5   148     5   158     2   171 0.79 -
107216at50557_103372_0:00094d|STRG.2202.1:6-572|+      -            189 28600at50557         -            507   1.1e-06   26.4   0.0   1   1   2.1e-08   1.4e-06   26.1   0.0     4   156     6   168     4   179 0.74 -
104262at50557_411798_0:001745|STRG.9101.1:3-518|+      -            172 28600at50557         -            507     2e-06   25.6   0.0   1   1   3.5e-08   2.4e-06   25.3   0.0     4   154    10   170     8   172 0.75 -
108271at50557_34740_0:0010fd|STRG.10806.1:1467-2105|+  -            213 28600at50557         -            507   4.7e-06   24.3   0.0   1   1   2.1e-07   1.4e-05   22.7   0.0     2   147    37   205    36   212 0.64 -
129498at50557_7227_0:0034ce|STRG.6684.5:200-610|+      -            137 28600at50557         -            507   5.1e-06   24.2   0.0   1   1   7.5e-08   5.1e-06   24.2   0.0    68   120    27    82     3   121 0.80 -
107216at50557_7394_0:0010f2|STRG.19792.1:836-1432|+    -            199 28600at50557         -            507   5.9e-06   24.0   0.1   1   1     3e-07   2.1e-05   22.2   0.1     3   110     8   137     6   146 0.70 -
104262at50557_2015173_0:0022de|STRG.9936.1:144-596|+   -            151 28600at50557         -            507   6.6e-06   23.8   0.1   1   1   1.1e-07   7.4e-06   23.7   0.1     4   123     2   135     1   150 0.81 -
104262at50557_2015173_0:0022de|STRG.9936.2:369-821|+   -            151 28600at50557         -            507   6.6e-06   23.8   0.1   1   1   1.1e-07   7.4e-06   23.7   0.1     4   123     2   135     1   150 0.81 -
105221at50557_29053_0:00200e|STRG.10131.1:21-521|+     -            167 28600at50557         -            507     7e-06   23.8   0.0   1   1   1.3e-07   8.8e-06   23.4   0.0     4   147     1   160     1   165 0.72 -
129498at50557_7200_0:0025b6|STRG.19889.1:185-827|+     -            175 28600at50557         -            507   7.2e-06   23.7   0.1   1   1   1.3e-07   8.8e-06   23.4   0.1     3   146     8   167     6   172 0.75 -
129498at50557_7200_0:0025b6|STRG.19889.2:185-780|+     -            175 28600at50557         -            507   7.2e-06   23.7   0.1   1   1   1.3e-07   8.8e-06   23.4   0.1     3   146     8   167     6   172 0.75 -
129498at50557_7493_0:00132e|STRG.14417.1:977-1453|+    -            159 28600at50557         -            507   2.9e-05   21.7   0.0   1   1   5.9e-07     4e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
129498at50557_7493_0:00132e|STRG.14417.2:344-820|+     -            159 28600at50557         -            507   2.9e-05   21.7   0.0   1   1   5.9e-07     4e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
129498at50557_7493_0:00132e|STRG.14417.3:236-712|+     -            159 28600at50557         -            507   2.9e-05   21.7   0.0   1   1   5.9e-07     4e-05   21.3   0.0     4   148     2   153     1   159 0.73 -
104262at50557_88501_0:0010fe|STRG.4804.1:213-833|+     -            207 28600at50557         -            507   5.3e-05   20.9   0.3   1   2    0.0026      0.18    9.3   0.0     2    42    28    67    27    95 0.71 -
104262at50557_88501_0:0010fe|STRG.4804.1:213-833|+     -            207 28600at50557         -            507   5.3e-05   20.9   0.3   2   2    0.0015       0.1   10.1   0.1    52   122   110   180    98   200 0.79 -
104262at50557_88501_0:0010fe|STRG.4804.2:45-665|+      -            207 28600at50557         -            507   5.3e-05   20.9   0.3   1   2    0.0026      0.18    9.3   0.0     2    42    28    67    27    95 0.71 -
104262at50557_88501_0:0010fe|STRG.4804.2:45-665|+      -            207 28600at50557         -            507   5.3e-05   20.9   0.3   2   2    0.0015       0.1   10.1   0.1    52   122   110   180    98   200 0.79 -
104262at50557_88501_0:0010fe|STRG.4804.3:45-665|+      -            207 28600at50557         -            507   5.3e-05   20.9   0.3   1   2    0.0026      0.18    9.3   0.0     2    42    28    67    27    95 0.71 -
104262at50557_88501_0:0010fe|STRG.4804.3:45-665|+      -            207 28600at50557         -            507   5.3e-05   20.9   0.3   2   2    0.0015       0.1   10.1   0.1    52   122   110   180    98   200 0.79 -
109573at50557_103372_0:0023c7|STRG.7941.1:0-653|+      -            218 28600at50557         -            507   6.1e-05   20.7   0.0   1   1   1.2e-06   8.3e-05   20.2   0.0     3   155    10   177     8   189 0.70 -
107216at50557_103372_0:00094d|STRG.16101.1:5205-5741|+ -            179 28600at50557         -            507   6.2e-05   20.6   0.5   1   1   6.7e-06   0.00045   17.8   0.5     4   155     5   170     2   174 0.72 -
107216at50557_13164_0:0032c6|STRG.617.2:1230-1786|+    -            178 28600at50557         -            507   7.5e-05   20.4   0.0   1   1   1.4e-06   9.5e-05   20.0   0.0     4   147    11   162     9   172 0.70 -
107216at50557_139723_0:001fab|STRG.2190.3:1061-1441|+  -            127 28600at50557         -            507   8.8e-05   20.1   0.0   1   1   1.4e-06   9.6e-05   20.0   0.0     4   107    11   127     8   127 0.73 -
107216at50557_139723_0:001fab|STRG.2190.5:1061-1441|+  -            127 28600at50557         -            507   8.8e-05   20.1   0.0   1   1   1.4e-06   9.6e-05   20.0   0.0     4   107    11   127     8   127 0.73 -
129498at50557_7029_0:0053a0|STRG.16101.2:5214-5898|+   -            171 28600at50557         -            507   9.2e-05   20.1   0.8   1   1     1e-05    0.0007   17.2   0.8     4   154     2   165     1   169 0.72 -
104262at50557_104421_0:0019e6|STRG.7160.2:9-494|+      -            162 28600at50557         -            507   0.00011   19.9   0.0   1   1   1.9e-06   0.00013   19.6   0.0     3   146     6   159     4   161 0.75 -
104262at50557_88501_0:0010fe|STRG.9468.1:239-889|+     -            217 28600at50557         -            507   0.00021   18.9   0.0   1   1     5e-06   0.00034   18.2   0.0     4   154    15   182    12   189 0.72 -
115559at50557_110193_0:002217|STRG.2261.2:166-552|+    -            129 28600at50557         -            507   0.00023   18.8   0.0   1   1   3.8e-06   0.00026   18.6   0.0    49   145    15   121     7   128 0.65 -
108755at50557_121225_0:0004e7|STRG.12193.2:443-934|+   -            164 28600at50557         -            507   0.00038   18.0   0.0   1   1   7.2e-06   0.00049   17.7   0.0     3   147     4   160     2   163 0.66 -
105221at50557_13164_0:0022d8|STRG.17630.2:679-1590|+   -            174 28600at50557         -            507   0.00042   17.9   0.1   1   1   0.00018     0.012   13.0   0.1    97   147   121   172     5   174 0.72 -
105221at50557_121845_0:0034ac|STRG.17630.1:679-1317|+  -            175 28600at50557         -            507   0.00057   17.5   0.1   1   1   0.00025     0.017   12.6   0.1    97   147   121   173     5   175 0.69 -
108271at50557_13249_0:001644|STRG.7267.1:21-506|+      -            162 28600at50557         -            507   0.00072   17.1   0.0   1   1   1.2e-05    0.0008   17.0   0.0     4   111     1   116     1   138 0.78 -
105221at50557_121845_0:0034ac|STRG.17630.3:228-761|+   -            178 28600at50557         -            507     0.001   16.6   0.2   1   2     0.091       6.2    4.2   0.0     3    37     7    41     4    97 0.86 -
105221at50557_121845_0:0034ac|STRG.17630.3:228-761|+   -            178 28600at50557         -            507     0.001   16.6   0.2   2   2   0.00068     0.046   11.2   0.4    97   147   124   176    81   178 0.77 -
119324at50557_516756_0:001c87|STRG.4603.1:3257-3619|+  -            121 28600at50557         -            507    0.0012   16.4   1.4   1   2     0.011      0.75    7.2   0.0   278   305    18    45     7    53 0.86 -
119324at50557_516756_0:001c87|STRG.4603.1:3257-3619|+  -            121 28600at50557         -            507    0.0012   16.4   1.4   2   2    0.0037      0.25    8.7   0.2   165   192    54    81    48   107 0.84 -
119324at50557_516756_0:001c87|STRG.4603.2:3158-3520|+  -            121 28600at50557         -            507    0.0012   16.4   1.4   1   2     0.011      0.75    7.2   0.0   278   305    18    45     7    53 0.86 -
119324at50557_516756_0:001c87|STRG.4603.2:3158-3520|+  -            121 28600at50557         -            507    0.0012   16.4   1.4   2   2    0.0037      0.25    8.7   0.2   165   192    54    81    48   107 0.84 -
119324at50557_516756_0:001c87|STRG.4603.3:3065-3427|+  -            121 28600at50557         -            507    0.0012   16.4   1.4   1   2     0.011      0.75    7.2   0.0   278   305    18    45     7    53 0.86 -
119324at50557_516756_0:001c87|STRG.4603.3:3065-3427|+  -            121 28600at50557         -            507    0.0012   16.4   1.4   2   2    0.0037      0.25    8.7   0.2   165   192    54    81    48   107 0.84 -
99773at50557_520822_0:00002c|STRG.3152.1:0-1181|+      -            394 28600at50557         -            507    0.0013   16.3   0.2   1   2      0.09       6.2    4.2   0.0     5    33    37    65    33    96 0.80 -
99773at50557_520822_0:00002c|STRG.3152.1:0-1181|+      -            394 28600at50557         -            507    0.0013   16.3   0.2   2   2    0.0014     0.093   10.2   0.2    75   149   165   244   141   255 0.72 -
107216at50557_28612_0:00371f|STRG.2190.2:1085-1438|+   -            118 28600at50557         -            507    0.0014   16.2   0.0   1   2    0.0081      0.55    7.6   0.0     4    30     3    29     1    33 0.92 -
107216at50557_28612_0:00371f|STRG.2190.2:1085-1438|+   -            118 28600at50557         -            507    0.0014   16.2   0.0   2   2    0.0093      0.63    7.4   0.0    71   144    32   116    29   118 0.60 -
104262at50557_610380_0:000ef5|STRG.19903.2:3-623|+     -            207 28600at50557         -            507    0.0025   15.3   0.0   1   1   4.7e-05    0.0032   15.0   0.0     3   145     6   164     4   183 0.72 -
112578at50557_29031_0:0005ec|STRG.5177.1:185-571|+     -            129 28600at50557         -            507    0.0047   14.4   0.1   1   2   0.00012    0.0084   13.6   0.0   277   304     3    30     1    60 0.87 -
112578at50557_29031_0:0005ec|STRG.5177.1:185-571|+     -            129 28600at50557         -            507    0.0047   14.4   0.1   2   2       6.2   4.3e+02   -1.9   0.0   282   301    75    94    66   110 0.78 -
109797at50557_56086_0:0019c0|STRG.6684.4:73-291|+      -             73 28600at50557         -            507    0.0089   13.5   0.0   1   1   0.00014    0.0092   13.5   0.0    68   110    28    73     1    73 0.76 -
107216at50557_7038_0:002032|STRG.617.3:660-1060|+      -            126 28600at50557         -            507     0.015   12.8   0.0   1   1    0.0003      0.02   12.3   0.0     4    99    18   115    16   124 0.73 -
104262at50557_13164_0:00360e|STRG.11840.2:459-971|+    -            171 28600at50557         -            507     0.015   12.8   0.0   1   1   0.00025     0.017   12.6   0.0    63   119    54   117    36   155 0.74 -
108271at50557_13037_0:002e30|STRG.11476.1:803-1309|-   -            106 28600at50557         -            507     0.016   12.7   0.0   1   1   0.00027     0.018   12.5   0.0     4    85     4    89     1   102 0.78 -
105221at50557_166361_0:00208a|STRG.16101.3:753-1076|+  -            108 28600at50557         -            507     0.016   12.7   0.9   1   2       1.1        76    0.5   0.1   428   446     4    22     1    35 0.67 -
105221at50557_166361_0:00208a|STRG.16101.3:753-1076|+  -            108 28600at50557         -            507     0.016   12.7   0.9   2   2   0.00079     0.054   10.9   0.2    75   148    24   105    17   107 0.73 -
119324at50557_454923_0:001f56|STRG.7278.1:201-500|+    -            100 28600at50557         -            507     0.022   12.2   0.0   1   2      0.02       1.4    6.3   0.0   163   188    21    46    10    66 0.68 -
119324at50557_454923_0:001f56|STRG.7278.1:201-500|+    -            100 28600at50557         -            507     0.022   12.2   0.0   2   2     0.048       3.3    5.1   0.0   148   188    59    96    46   100 0.62 -
119324at50557_609295_0:001eaf|STRG.2959.2:0-485|+      -            162 28600at50557         -            507     0.028   11.9   0.9   1   2       1.4        94    0.2   0.0   282   307    17    42    10    56 0.83 -
119324at50557_609295_0:001eaf|STRG.2959.2:0-485|+      -            162 28600at50557         -            507     0.028   11.9   0.9   2   2    0.0025      0.17    9.3   0.3   167   210    84   129    65   150 0.69 -
119324at50557_609295_0:001eaf|STRG.2959.1:159-668|+    -            170 28600at50557         -            507     0.037   11.5   1.1   1   2       1.4        93    0.3   0.0   281   307    24    50    12    62 0.83 -
119324at50557_609295_0:001eaf|STRG.2959.1:159-668|+    -            170 28600at50557         -            507     0.037   11.5   1.1   2   2    0.0027      0.19    9.2   0.3   167   210    92   137    73   158 0.69 -
104262at50557_6973_0:00268c|STRG.19903.1:470-996|+     -            170 28600at50557         -            507     0.067   10.6   0.0   1   2      0.33        23    2.3   0.0     3    23    13    33    11    44 0.83 -
104262at50557_6973_0:00268c|STRG.19903.1:470-996|+     -            170 28600at50557         -            507     0.067   10.6   0.0   2   2     0.017       1.1    6.6   0.0    99   145    80   127    53   147 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/28600at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/28600at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/28600at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:34:24 2024
# [ok]
