#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.9690.1:0-1172|+    -            391 75144at50557         -            307  2.9e-148  491.7   1.4   1   1    8e-149    2e-146  485.6   1.4     1   307     7   381     7   381 0.87 -
57613at50557_610380_0:00141b|STRG.881.1:164-1300|+  -            356 75144at50557         -            307   1.3e-40  138.1   0.1   2   2      0.59   1.5e+02   -0.0   0.0   293   307   330   344   291   344 0.84 -
75144at50557_30025_0:002475|STRG.419.2:281-2081|+   -            381 75144at50557         -            307   9.5e-32  109.0   0.1   1   1   1.6e-31     4e-29  100.3   0.1     1   286     2   343     2   381 0.68 -
75144at50557_30025_0:002475|STRG.419.4:281-2152|+   -            381 75144at50557         -            307   9.5e-32  109.0   0.1   1   1   1.6e-31     4e-29  100.3   0.1     1   286     2   343     2   381 0.68 -
75144at50557_30025_0:002475|STRG.419.5:281-2153|+   -            381 75144at50557         -            307   9.5e-32  109.0   0.1   1   1   1.6e-31     4e-29  100.3   0.1     1   286     2   343     2   381 0.68 -
57613at50557_112268_0:002522|STRG.114.1:0-410|-     -            137 75144at50557         -            307   3.1e-24   84.3   0.0   1   1   1.6e-24   3.9e-22   77.4   0.0   161   281     3   134     1   137 0.80 -
52703at50557_174628_0:00214a|STRG.12046.1:26-1214|- -            347 75144at50557         -            307   5.2e-24   83.5   0.1   1   1   1.1e-24   2.8e-22   77.9   0.1    51   280     4   274     1   284 0.74 -
75144at50557_28612_0:003734|STRG.419.1:186-767|+    -            194 75144at50557         -            307   6.2e-20   70.2   0.0   1   1     3e-22   7.4e-20   69.9   0.0     1   161     9   193     9   194 0.77 -
75144at50557_28612_0:003734|STRG.419.3:260-841|+    -            194 75144at50557         -            307   6.2e-20   70.2   0.0   1   1     3e-22   7.4e-20   69.9   0.0     1   161     9   193     9   194 0.77 -
75144at50557_7539_0:003503|STRG.6067.1:232-1521|+   -            430 75144at50557         -            307   3.9e-19   67.6   0.2   1   3   4.5e-15   1.1e-12   46.3   0.0    53   145    87   187    78   213 0.86 -
75144at50557_7539_0:003503|STRG.6067.1:232-1521|+   -            430 75144at50557         -            307   3.9e-19   67.6   0.2   2   3    0.0075       1.8    6.2   0.0   225   244   297   316   257   330 0.86 -
75144at50557_7539_0:003503|STRG.6067.1:232-1521|+   -            430 75144at50557         -            307   3.9e-19   67.6   0.2   3   3   0.00022     0.055   11.2   0.0   240   283   334   378   325   422 0.80 -
75144at50557_7539_0:003503|STRG.6067.2:27-1316|+    -            430 75144at50557         -            307   3.9e-19   67.6   0.2   1   3   4.5e-15   1.1e-12   46.3   0.0    53   145    87   187    78   213 0.86 -
75144at50557_7539_0:003503|STRG.6067.2:27-1316|+    -            430 75144at50557         -            307   3.9e-19   67.6   0.2   2   3    0.0075       1.8    6.2   0.0   225   244   297   316   257   330 0.86 -
75144at50557_7539_0:003503|STRG.6067.2:27-1316|+    -            430 75144at50557         -            307   3.9e-19   67.6   0.2   3   3   0.00022     0.055   11.2   0.0   240   283   334   378   325   422 0.80 -
75144at50557_7539_0:003503|STRG.10954.1:24-1256|+   -            411 75144at50557         -            307   3.8e-18   64.3   0.1   1   2   5.1e-14   1.3e-11   42.9   0.0    53   161    75   196    57   213 0.82 -
75144at50557_7539_0:003503|STRG.10954.1:24-1256|+   -            411 75144at50557         -            307   3.8e-18   64.3   0.1   2   2   5.7e-06    0.0014   16.5   0.0   239   294   316   383   282   405 0.67 -
57613at50557_38123_0:002cba|STRG.92.1:0-368|+       -            123 75144at50557         -            307   4.6e-18   64.0   0.0   1   1   2.1e-20   5.1e-18   63.9   0.0    27   113    34   120    21   123 0.91 -
57613at50557_38123_0:002cba|STRG.7515.1:102-500|+   -            133 75144at50557         -            307   7.4e-14   50.2   0.1   1   1   4.9e-16   1.2e-13   49.5   0.1    17   107    35   131    10   133 0.73 -
57613at50557_7536_0:002bce|STRG.419.1:1650-2006|+   -            119 75144at50557         -            307   1.3e-11   42.9   0.0   1   1   7.5e-12   1.9e-09   35.8   0.0   223   294     2    97     1   119 0.64 -
57613at50557_7536_0:002bce|STRG.419.3:1724-2080|+   -            119 75144at50557         -            307   1.3e-11   42.9   0.0   1   1   7.5e-12   1.9e-09   35.8   0.0   223   294     2    97     1   119 0.64 -
52703at50557_116153_0:001375|STRG.2954.1:51-1052|+  -            334 75144at50557         -            307   4.7e-11   41.0   0.0   1   1   5.4e-12   1.3e-09   36.2   0.0    70   282    62   288     1   310 0.67 -
52703at50557_13249_0:002cd0|STRG.12046.1:891-1211|- -            107 75144at50557         -            307   1.6e-10   39.3   0.1   1   1   4.3e-12   1.1e-09   36.6   0.1    51   139     3   107     1   107 0.74 -
57613at50557_38123_0:002cba|STRG.7515.3:102-628|+   -            126 75144at50557         -            307   2.3e-10   38.7   0.0   1   1   1.6e-12   3.9e-10   38.0   0.0    16   102    34   126    10   126 0.71 -
57613at50557_38123_0:002cba|STRG.7515.4:102-497|+   -            132 75144at50557         -            307   4.4e-10   37.8   0.1   1   1   4.5e-12   1.1e-09   36.5   0.1    25   102    54   132    10   132 0.86 -
75144at50557_132113_0:003254|STRG.7939.1:792-1577|+ -            262 75144at50557         -            307   1.2e-09   36.4   0.0   1   1   5.9e-12   1.5e-09   36.1   0.0    65   283     3   247     1   259 0.75 -
57613at50557_6973_0:0030bf|STRG.7516.1:1-444|+      -            148 75144at50557         -            307   2.6e-09   35.3   0.1   1   2   4.3e-09   1.1e-06   26.7   0.0   221   279     8    82     6    95 0.79 -
57613at50557_6973_0:0030bf|STRG.7516.1:1-444|+      -            148 75144at50557         -            307   2.6e-09   35.3   0.1   2   2      0.17        42    1.8   0.1   293   307   125   139    86   139 0.82 -
150643at50557_315563_0:0000a6|STRG.18238.1:75-371|+ -             99 75144at50557         -            307   1.6e-06   26.1   0.0   1   1   1.4e-08   3.5e-06   25.0   0.0   251   307    17    90     5    90 0.73 -
45419at50557_51655_0:002e4f|STRG.1435.5:2145-2399|+ -             85 75144at50557         -            307     0.061   11.1   0.0   1   1   0.00025     0.061   11.1   0.0    85   128     2    45     1    71 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/75144at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:36:26 2024
# [ok]
