#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.12287.1:56-1173|+    -            297 107413at50557        -             88   2.3e-35  119.6   2.4   1   1   1.9e-36   1.4e-34  117.1   2.4     1    88   180   286   180   286 0.85 -
98621at50557_286706_0:000660|STRG.10653.2:95-820|+      -            242 107413at50557        -             88   7.6e-19   66.7   0.8   1   1   9.8e-20   7.3e-18   63.5   0.8    23    88   169   237   131   237 0.73 -
98621at50557_286706_0:000660|STRG.10653.1:95-832|+      -            246 107413at50557        -             88   9.1e-19   66.4   0.8   1   1     1e-19   7.5e-18   63.5   0.8    23    88   173   241   135   241 0.73 -
98621at50557_13249_0:0015dd|STRG.10646.1:231-941|+      -            237 107413at50557        -             88   3.9e-18   64.4   2.6   1   1   1.6e-18   1.2e-16   59.7   2.6    17    88   164   237   132   237 0.79 -
98621at50557_136037_0:0009c4|STRG.16645.1:2567-3367|+   -            267 107413at50557        -             88   1.2e-17   62.8   0.5   1   1   1.4e-17     1e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
107413at50557_13249_0:002cfe|STRG.9058.1:1339-1956|+    -            206 107413at50557        -             88   6.6e-17   60.4   0.5   1   1   5.6e-18   4.1e-16   57.9   0.5     1    88    95   204    95   204 0.76 -
98621at50557_7425_0:001b7b|STRG.5228.1:804-1544|+       -            247 107413at50557        -             88   7.2e-17   60.3   3.5   1   1   4.9e-18   3.7e-16   58.1   3.5    28    88   183   242   138   242 0.91 -
98621at50557_13249_0:0015dd|STRG.10646.2:241-1108|+     -            237 107413at50557        -             88   8.1e-17   60.2   2.2   1   1   3.2e-17   2.4e-15   55.4   2.2    17    88   164   237   132   237 0.79 -
45935at50557_104452_0:001a48|STRG.3819.1:8-310|+        -            101 107413at50557        -             88   8.2e-17   60.1   0.2   1   1   1.3e-18     1e-16   59.9   0.2    21    88    21    92     9    92 0.89 -
107413at50557_79782_0:001336|STRG.9058.2:843-1601|+     -            253 107413at50557        -             88   1.2e-16   59.6   0.6   1   1   9.5e-18     7e-16   57.2   0.6     1    88   142   251   142   251 0.76 -
98621at50557_38123_0:000655|STRG.16648.1:15-314|+       -            100 107413at50557        -             88   1.2e-16   59.6   0.1   1   1   1.9e-18   1.4e-16   59.4   0.1    14    88    17    95     4    95 0.85 -
107413at50557_136037_0:000dc2|STRG.7196.1:3964-4695|+   -            244 107413at50557        -             88   1.3e-16   59.5   2.8   1   1   3.6e-18   2.7e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.7196.3:3233-3964|+   -            244 107413at50557        -             88   1.3e-16   59.5   2.8   1   1   3.6e-18   2.7e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_136037_0:000dc2|STRG.7196.7:316-1047|+    -            244 107413at50557        -             88   1.3e-16   59.5   2.8   1   1   3.6e-18   2.7e-16   58.5   2.8    27    88   174   237   156   237 0.91 -
107413at50557_156304_0:00001e|STRG.10652.1:72-545|+     -            158 107413at50557        -             88   3.2e-16   58.3   0.9   1   1     8e-17   5.9e-15   54.2   0.9     4    88    54   154    51   154 0.70 -
98621at50557_110193_0:0027e7|STRG.12944.1:723-1436|+    -            238 107413at50557        -             88   4.1e-16   57.9   2.1   1   1   2.5e-17   1.8e-15   55.8   2.1     2    88   135   238   134   238 0.79 -
98621at50557_79782_0:0026bc|STRG.10339.1:54-839|+       -            262 107413at50557        -             88   1.6e-15   56.0   5.5   1   1   4.5e-16   3.3e-14   51.8   3.6    27    88   190   256   145   256 0.88 -
107413at50557_108931_0:000e8f|STRG.18081.2:990-1721|+   -            244 107413at50557        -             88   3.6e-15   54.9   1.8   1   1   1.4e-16     1e-14   53.4   1.8    27    88   181   244   142   244 0.80 -
107413at50557_108931_0:000e8f|STRG.18081.3:1095-1826|+  -            244 107413at50557        -             88   3.6e-15   54.9   1.8   1   1   1.4e-16     1e-14   53.4   1.8    27    88   181   244   142   244 0.80 -
98621at50557_7038_0:0003d0|STRG.7283.3:531-1356|+       -            270 107413at50557        -             88   4.9e-15   54.5   2.0   1   2       4.2   3.1e+02    0.6   0.0     3    23   155   177   153   190 0.80 -
98621at50557_7038_0:0003d0|STRG.7283.3:531-1356|+       -            270 107413at50557        -             88   4.9e-15   54.5   2.0   2   2   2.1e-16   1.6e-14   52.8   0.4    28    88   199   266   186   266 0.81 -
98621at50557_166361_0:000283|STRG.13921.2:364-1110|+    -            249 107413at50557        -             88   5.3e-15   54.3   0.7   1   1   9.4e-15     7e-13   47.5   0.7     4    85   147   248   145   249 0.69 -
93746at50557_54969_0:0026b9|STRG.7283.1:450-1346|+      -            299 107413at50557        -             88   5.6e-15   54.3   1.6   1   1   4.8e-16   3.6e-14   51.7   1.6    28    88   227   294   180   294 0.85 -
93746at50557_54969_0:0026b9|STRG.7283.2:450-1346|+      -            299 107413at50557        -             88   5.6e-15   54.3   1.6   1   1   4.8e-16   3.6e-14   51.7   1.6    28    88   227   294   180   294 0.85 -
98621at50557_7038_0:0003d0|STRG.16628.1:1-744|+         -            248 107413at50557        -             88     1e-14   53.5   2.3   1   2         5   3.7e+02    0.3   0.1     3    11   141   149   139   183 0.64 -
98621at50557_7038_0:0003d0|STRG.16628.1:1-744|+         -            248 107413at50557        -             88     1e-14   53.5   2.3   2   2   3.4e-16   2.6e-14   52.2   0.5    28    88   186   248   180   248 0.90 -
98621at50557_286706_0:000660|STRG.7283.4:600-1381|+     -            249 107413at50557        -             88   1.2e-14   53.3   0.2   1   1   1.6e-16   1.2e-14   53.3   0.2    28    88   181   248   168   248 0.81 -
98621at50557_13037_0:001de5|STRG.17172.1:222-956|+      -            245 107413at50557        -             88   2.2e-14   52.3   0.1   1   1     3e-16   2.2e-14   52.3   0.1    29    88   177   241   162   241 0.85 -
98621at50557_29031_0:002023|STRG.7285.1:1793-2341|+     -            183 107413at50557        -             88   2.5e-14   52.2   2.0   1   1   2.2e-15   1.6e-13   49.6   2.0    29    88   118   179    70   179 0.84 -
98621at50557_29031_0:002023|STRG.7285.4:2803-3351|+     -            183 107413at50557        -             88   2.5e-14   52.2   2.0   1   1   2.2e-15   1.6e-13   49.6   2.0    29    88   118   179    70   179 0.84 -
98621at50557_110193_0:0027e7|STRG.13921.1:364-1137|+    -            258 107413at50557        -             88   2.9e-14   52.0   0.8   1   1   5.1e-14   3.8e-12   45.2   0.8     5    88   148   254   145   254 0.69 -
98621at50557_110193_0:0027e7|STRG.13921.3:264-1037|+    -            258 107413at50557        -             88   2.9e-14   52.0   0.8   1   1   5.1e-14   3.8e-12   45.2   0.8     5    88   148   254   145   254 0.69 -
98621at50557_29031_0:002023|STRG.7285.3:48-773|+        -            242 107413at50557        -             88   3.4e-14   51.8   1.6   1   1   3.1e-15   2.3e-13   49.1   1.6    29    88   177   238   129   238 0.84 -
98621at50557_29031_0:002023|STRG.7285.2:1741-2526|+     -            262 107413at50557        -             88   3.9e-14   51.6   1.5   1   1   3.4e-15   2.5e-13   49.0   1.5    29    88   197   258   149   258 0.84 -
98621at50557_13037_0:001de5|STRG.10655.1:46-513|+       -            156 107413at50557        -             88   5.4e-14   51.1   0.4   1   1   1.1e-15   8.3e-14   50.5   0.4    28    88    93   156    55   156 0.89 -
107413at50557_1155016_0:001042|STRG.15207.1:593-847|+   -             85 107413at50557        -             88   1.4e-13   49.8   0.3   1   1   2.1e-15   1.6e-13   49.6   0.3    27    88    21    80     3    80 0.88 -
107413at50557_1155016_0:001042|STRG.7154.1:19-213|+     -             65 107413at50557        -             88   1.4e-13   49.7   0.8   1   1   2.3e-15   1.7e-13   49.5   0.8    30    88     5    65     2    65 0.92 -
98621at50557_136037_0:0009c4|STRG.11921.1:2879-3577|+   -            233 107413at50557        -             88   4.7e-13   48.1   4.1   1   2       8.3   6.1e+02   -0.3   0.0    26    46    31    56    19    75 0.68 -
98621at50557_136037_0:0009c4|STRG.11921.1:2879-3577|+   -            233 107413at50557        -             88   4.7e-13   48.1   4.1   2   2   8.3e-13   6.1e-11   41.3   2.9     3    73   137   228   135   233 0.65 -
98621at50557_136037_0:0009c4|STRG.11921.2:1969-2667|+   -            233 107413at50557        -             88   4.7e-13   48.1   4.1   1   2       8.3   6.1e+02   -0.3   0.0    26    46    31    56    19    75 0.68 -
98621at50557_136037_0:0009c4|STRG.11921.2:1969-2667|+   -            233 107413at50557        -             88   4.7e-13   48.1   4.1   2   2   8.3e-13   6.1e-11   41.3   2.9     3    73   137   228   135   233 0.65 -
98621at50557_136037_0:0009c4|STRG.11921.3:1009-1707|+   -            233 107413at50557        -             88   4.7e-13   48.1   4.1   1   2       8.3   6.1e+02   -0.3   0.0    26    46    31    56    19    75 0.68 -
98621at50557_136037_0:0009c4|STRG.11921.3:1009-1707|+   -            233 107413at50557        -             88   4.7e-13   48.1   4.1   2   2   8.3e-13   6.1e-11   41.3   2.9     3    73   137   228   135   233 0.65 -
107413at50557_13249_0:002cfe|STRG.11969.1:304-993|+     -            230 107413at50557        -             88   5.5e-13   47.9   3.9   1   2       1.3        96    2.2   0.0    23    38    20    35     5    50 0.73 -
107413at50557_13249_0:002cfe|STRG.11969.1:304-993|+     -            230 107413at50557        -             88   5.5e-13   47.9   3.9   2   2   7.9e-14   5.9e-12   44.6   1.8    26    88   167   227   125   227 0.89 -
45935at50557_67767_0:003589|STRG.8710.1:1-792|+         -            264 107413at50557        -             88   8.8e-13   47.2   6.1   1   1   2.1e-14   1.6e-12   46.4   3.1    29    88   195   255   147   255 0.90 -
98621at50557_79782_0:0026bc|STRG.10657.1:24-710|+       -            229 107413at50557        -             88     1e-12   47.0   1.5   1   1   5.8e-14   4.3e-12   45.0   1.5     3    88   128   229   126   229 0.71 -
98621at50557_286706_0:000660|STRG.15207.1:146-847|+     -            234 107413at50557        -             88   1.2e-12   46.8   0.8   1   1   2.8e-14   2.1e-12   46.0   0.3    27    88   170   229   152   229 0.89 -
98621at50557_110193_0:0027e7|STRG.13921.5:15-623|+      -            203 107413at50557        -             88   2.1e-12   46.0   1.6   1   2      0.13        10    5.4   0.0     3    28   100   128    98   147 0.72 -
98621at50557_110193_0:0027e7|STRG.13921.5:15-623|+      -            203 107413at50557        -             88   2.1e-12   46.0   1.6   2   2   2.2e-12   1.6e-10   40.0   0.3    31    84   149   202   140   203 0.86 -
98621at50557_174628_0:0021a4|STRG.2094.1:155-820|+      -            222 107413at50557        -             88   2.4e-12   45.8   3.2   1   2       5.3   3.9e+02    0.3   0.1    25    36    21    32    15    47 0.84 -
98621at50557_174628_0:0021a4|STRG.2094.1:155-820|+      -            222 107413at50557        -             88   2.4e-12   45.8   3.2   2   2   4.7e-14   3.5e-12   45.3   0.6    27    88   160   217   122   217 0.87 -
98621at50557_166361_0:000283|STRG.10647.1:291-1034|+    -            248 107413at50557        -             88   2.5e-12   45.8   1.3   1   1   6.5e-13   4.8e-11   41.6   1.3     2    88   136   247   135   247 0.71 -
98621at50557_166361_0:000283|STRG.14594.2:110-907|+     -            266 107413at50557        -             88   2.9e-12   45.6   4.3   1   1   6.7e-13     5e-11   41.6   3.4     2    88   154   262   153   262 0.71 -
98621at50557_166361_0:000283|STRG.14594.3:180-977|+     -            266 107413at50557        -             88   2.9e-12   45.6   4.3   1   1   6.7e-13     5e-11   41.6   3.4     2    88   154   262   153   262 0.71 -
98621at50557_166361_0:000283|STRG.7947.1:1-666|+        -            222 107413at50557        -             88   6.9e-12   44.4   0.9   1   2      0.93        69    2.7   0.0    23    36    15    27     5    44 0.78 -
98621at50557_166361_0:000283|STRG.7947.1:1-666|+        -            222 107413at50557        -             88   6.9e-12   44.4   0.9   2   2   5.1e-12   3.8e-10   38.8   0.1     3    88   122   218   120   218 0.69 -
98621at50557_7460_0:000221|STRG.10718.2:177-896|+       -            240 107413at50557        -             88   7.1e-12   44.3   1.6   1   2       3.7   2.8e+02    0.8   0.0    28    36    25    33    17    50 0.71 -
98621at50557_7460_0:000221|STRG.10718.2:177-896|+       -            240 107413at50557        -             88   7.1e-12   44.3   1.6   2   2   6.5e-13   4.8e-11   41.7   0.8    27    88   172   236   127   236 0.90 -
98621at50557_156304_0:000097|STRG.15205.1:183-890|+     -            236 107413at50557        -             88   7.5e-12   44.2   0.8   1   2       7.1   5.2e+02   -0.1   0.0    28    36    27    35     5    63 0.72 -
98621at50557_156304_0:000097|STRG.15205.1:183-890|+     -            236 107413at50557        -             88   7.5e-12   44.2   0.8   2   2   3.8e-13   2.8e-11   42.4   0.1    26    88   171   232   157   232 0.86 -
98621at50557_156304_0:000097|STRG.15205.2:183-890|+     -            236 107413at50557        -             88   7.5e-12   44.2   0.8   1   2       7.1   5.2e+02   -0.1   0.0    28    36    27    35     5    63 0.72 -
98621at50557_156304_0:000097|STRG.15205.2:183-890|+     -            236 107413at50557        -             88   7.5e-12   44.2   0.8   2   2   3.8e-13   2.8e-11   42.4   0.1    26    88   171   232   157   232 0.86 -
98621at50557_156304_0:000097|STRG.15205.3:142-849|+     -            236 107413at50557        -             88   7.5e-12   44.2   0.8   1   2       7.1   5.2e+02   -0.1   0.0    28    36    27    35     5    63 0.72 -
98621at50557_156304_0:000097|STRG.15205.3:142-849|+     -            236 107413at50557        -             88   7.5e-12   44.2   0.8   2   2   3.8e-13   2.8e-11   42.4   0.1    26    88   171   232   157   232 0.86 -
98621at50557_30019_0:0019d5|STRG.15149.2:70-1324|+      -            230 107413at50557        -             88   7.9e-12   44.2   3.2   1   1   1.3e-12   9.3e-11   40.7   3.2     3    88   132   229   130   229 0.76 -
93746at50557_568069_0:0045cd|STRG.17173.1:167-1288|+    -            374 107413at50557        -             88   8.2e-12   44.1   3.6   1   2       6.9   5.1e+02   -0.1   0.0     2    22   256   280   255   300 0.66 -
93746at50557_568069_0:0045cd|STRG.17173.1:167-1288|+    -            374 107413at50557        -             88   8.2e-12   44.1   3.6   2   2   1.4e-13   1.1e-11   43.7   1.2    27    88   306   369   295   369 0.83 -
98621at50557_110193_0:0027e7|STRG.13921.4:79-798|+      -            240 107413at50557        -             88   1.5e-11   43.3   4.6   1   1   4.3e-12   3.2e-10   39.0   1.7    30    84   185   239   135   240 0.80 -
107413at50557_454923_0:0008d7|STRG.15150.1:151-777|+    -            209 107413at50557        -             88   1.8e-11   43.1   1.3   1   1   1.7e-12   1.3e-10   40.3   0.3    25    88   149   209   109   209 0.75 -
98621at50557_174628_0:0021a4|STRG.15149.1:70-780|+      -            237 107413at50557        -             88   3.8e-11   42.0   3.5   1   1   4.6e-12   3.4e-10   38.9   3.5     4    88   133   231   130   234 0.67 -
98621at50557_174628_0:0021a4|STRG.15149.3:3-713|+       -            237 107413at50557        -             88   3.8e-11   42.0   3.5   1   1   4.6e-12   3.4e-10   38.9   3.5     4    88   133   231   130   234 0.67 -
45935at50557_1041015_0:0000df|STRG.11772.1:952-1641|+   -            230 107413at50557        -             88   8.4e-11   40.9   4.7   1   2      0.37        28    4.0   0.0     1    23   117   143   117   150 0.65 -
45935at50557_1041015_0:0000df|STRG.11772.1:952-1641|+   -            230 107413at50557        -             88   8.4e-11   40.9   4.7   2   2   2.9e-11   2.1e-09   36.4   3.2    15    88   152   228   145   228 0.79 -
98621at50557_79782_0:0026bc|STRG.10717.2:284-1027|+     -            248 107413at50557        -             88   9.9e-11   40.6   1.1   1   2         7   5.2e+02   -0.1   0.0    24    36    30    42    24    60 0.80 -
98621at50557_79782_0:0026bc|STRG.10717.2:284-1027|+     -            248 107413at50557        -             88   9.9e-11   40.6   1.1   2   2   9.1e-12   6.7e-10   38.0   0.1    31    88   185   244   177   244 0.84 -
98621at50557_79782_0:0026bc|STRG.10720.1:167-874|+      -            236 107413at50557        -             88   1.1e-10   40.5   3.2   1   1   2.8e-12   2.1e-10   39.6   1.6    28    88   174   236   126   236 0.87 -
98621at50557_38123_0:000655|STRG.2989.1:32-358|+        -            109 107413at50557        -             88   1.6e-10   39.9   1.8   1   1   9.5e-12   7.1e-10   37.9   1.8     5    88    10   107     6   107 0.65 -
107413at50557_1155016_0:001042|STRG.10717.4:820-963|+   -             48 107413at50557        -             88   2.3e-10   39.5   0.2   1   1   3.4e-12   2.5e-10   39.3   0.2    42    88     1    48     1    48 0.92 -
107413at50557_1155016_0:001042|STRG.5075.3:983-1192|+   -             70 107413at50557        -             88   2.5e-10   39.4   0.6   1   1     4e-12   2.9e-10   39.1   0.6    31    88    10    66     3    66 0.86 -
93746at50557_568069_0:0045cd|STRG.7442.2:327-1361|+     -            345 107413at50557        -             88   2.7e-10   39.3   0.5   1   1     9e-12   6.7e-10   38.0   0.5    35    88   286   340   274   340 0.84 -
93746at50557_568069_0:0045cd|STRG.7442.3:153-1187|+     -            345 107413at50557        -             88   2.7e-10   39.3   0.5   1   1     9e-12   6.7e-10   38.0   0.5    35    88   286   340   274   340 0.84 -
107413at50557_7425_0:0008d4|STRG.10717.3:245-981|+      -            242 107413at50557        -             88   2.8e-10   39.2   1.4   1   1   8.7e-12   6.4e-10   38.0   0.1    31    88   177   236   169   236 0.84 -
93746at50557_568069_0:0045cd|STRG.7442.1:91-1173|+      -            361 107413at50557        -             88   2.9e-10   39.2   0.5   1   1   9.7e-12   7.2e-10   37.9   0.5    35    88   302   356   290   356 0.84 -
98621at50557_79782_0:0026bc|STRG.10717.1:284-1027|+     -            248 107413at50557        -             88     3e-10   39.1   1.5   1   1   9.1e-12   6.7e-10   38.0   0.1    31    88   185   244   177   244 0.84 -
98621at50557_156304_0:000097|STRG.15203.2:90-701|+      -            204 107413at50557        -             88   3.1e-10   39.1   4.9   1   1   1.9e-11   1.4e-09   36.9   4.9    29    88   144   201    99   201 0.88 -
93746at50557_568069_0:0045cd|STRG.7442.4:91-1176|+      -            362 107413at50557        -             88   4.7e-10   38.5   1.6   1   1   9.7e-12   7.2e-10   37.9   0.5    35    88   303   357   291   357 0.84 -
93746at50557_568069_0:0045cd|STRG.14592.1:165-1304|+    -            380 107413at50557        -             88   6.7e-10   38.0   7.1   1   1     4e-11   2.9e-09   35.9   4.3    25    88   310   380   270   380 0.71 -
107413at50557_1155016_0:001042|STRG.16325.1:126-281|+   -             52 107413at50557        -             88   1.1e-09   37.3   0.1   1   1   1.6e-11   1.2e-09   37.2   0.1    41    88     3    52     1    52 0.86 -
98621at50557_79782_0:0026bc|STRG.15203.1:28-708|+       -            227 107413at50557        -             88   1.1e-09   37.2   7.0   1   1   2.5e-11   1.8e-09   36.6   4.9    29    88   170   227   125   227 0.88 -
98621at50557_7176_0:003115|STRG.15583.1:97-540|+        -            148 107413at50557        -             88   1.5e-09   36.9   1.2   1   1   3.9e-11   2.9e-09   36.0   1.2    21    88    75   143    51   143 0.69 -
98621at50557_28612_0:002b49|STRG.5075.1:89-730|+        -            214 107413at50557        -             88   1.6e-09   36.8   0.9   1   1   6.6e-11   4.9e-09   35.2   0.9    31    88   156   212   139   212 0.86 -
45935at50557_136037_0:001135|STRG.2699.1:48-728|+       -            227 107413at50557        -             88   1.8e-09   36.6   3.4   1   2      0.26        19    4.5   0.0     1    23   104   131   104   140 0.67 -
45935at50557_136037_0:001135|STRG.2699.1:48-728|+       -            227 107413at50557        -             88   1.8e-09   36.6   3.4   2   2   1.1e-09   7.9e-08   31.4   1.7    28    88   154   218   135   218 0.86 -
98621at50557_28612_0:00515f|STRG.15152.1:87-1360|+      -            224 107413at50557        -             88   6.7e-09   34.8   4.1   1   1   9.3e-10   6.9e-08   31.5   4.1     2    88   123   224   122   224 0.73 -
98621at50557_79782_0:0026bc|STRG.15152.2:87-758|+       -            224 107413at50557        -             88   6.7e-09   34.8   4.1   1   1   9.3e-10   6.9e-08   31.5   4.1     2    88   123   224   122   224 0.73 -
98621at50557_29031_0:002023|STRG.10718.1:113-949|+      -            243 107413at50557        -             88   8.6e-09   34.4   1.3   1   2       3.8   2.8e+02    0.7   0.0    28    36    30    38    22    55 0.71 -
98621at50557_29031_0:002023|STRG.10718.1:113-949|+      -            243 107413at50557        -             88   8.6e-09   34.4   1.3   2   2   8.6e-10   6.4e-08   31.7   0.6    27    88   177   239   132   239 0.89 -
98621at50557_166361_0:000283|STRG.7948.1:81-791|+       -            237 107413at50557        -             88   9.6e-09   34.3   1.7   1   1   1.9e-10   1.4e-08   33.7   0.5    31    88   181   236   162   236 0.83 -
107413at50557_1507135_0:0019c2|STRG.15224.1:1392-2144|+ -            251 107413at50557        -             88   1.7e-08   33.5   2.5   1   1   8.7e-09   6.4e-07   28.4   2.5    27    88   185   250   142   250 0.71 -
98621at50557_29029_0:001d93|STRG.3794.2:301-1073|+      -            248 107413at50557        -             88   3.4e-08   32.5   0.4   1   1   1.1e-09   8.4e-08   31.3   0.4    29    88   176   243   163   243 0.79 -
98621at50557_29029_0:001d93|STRG.3794.1:291-1052|+      -            254 107413at50557        -             88   3.4e-08   32.5   0.4   1   1   1.2e-09   8.8e-08   31.2   0.4    29    88   182   249   169   249 0.79 -
98621at50557_7370_0:001243|STRG.17144.1:1183-1869|+     -            229 107413at50557        -             88   1.1e-07   30.9   2.4   1   2       8.9   6.6e+02   -0.5   0.0     4    27   115   140   112   148 0.66 -
98621at50557_7370_0:001243|STRG.17144.1:1183-1869|+     -            229 107413at50557        -             88   1.1e-07   30.9   2.4   2   2   6.5e-09   4.8e-07   28.8   1.5    22    88   150   225   138   225 0.76 -
98621at50557_166361_0:000283|STRG.14594.1:110-910|+     -            267 107413at50557        -             88   5.7e-06   25.4   4.0   1   1   2.1e-07   1.6e-05   24.0   3.0    28    88   196   263   153   263 0.78 -
98621at50557_110193_0:0027e7|STRG.18782.1:1617-2411|+   -            265 107413at50557        -             88   2.2e-05   23.5   0.2   1   1   1.1e-06   7.8e-05   21.8   0.1    27    88   193   261   186   261 0.76 -
98621at50557_110193_0:0027e7|STRG.18782.2:1262-2056|+   -            265 107413at50557        -             88   2.2e-05   23.5   0.2   1   1   1.1e-06   7.8e-05   21.8   0.1    27    88   193   261   186   261 0.76 -
98621at50557_110193_0:0027e7|STRG.18782.3:1073-1867|+   -            265 107413at50557        -             88   2.2e-05   23.5   0.2   1   1   1.1e-06   7.8e-05   21.8   0.1    27    88   193   261   186   261 0.76 -
98621at50557_110193_0:0027e7|STRG.18782.4:1430-2224|+   -            265 107413at50557        -             88   2.2e-05   23.5   0.2   1   1   1.1e-06   7.8e-05   21.8   0.1    27    88   193   261   186   261 0.76 -
98621at50557_110193_0:0027e7|STRG.18782.5:888-1682|+    -            265 107413at50557        -             88   2.2e-05   23.5   0.2   1   1   1.1e-06   7.8e-05   21.8   0.1    27    88   193   261   186   261 0.76 -
107413at50557_136037_0:000dc2|STRG.7196.8:463-978|+     -            172 107413at50557        -             88     3e-05   23.1   1.0   1   1   8.3e-07   6.2e-05   22.1   1.0    26    53   145   172   124   172 0.91 -
107413at50557_136037_0:000dc2|STRG.7196.9:241-1003|+    -            189 107413at50557        -             88   3.6e-05   22.8   1.0   1   1     1e-06   7.7e-05   21.8   1.0    26    53   162   189   143   189 0.91 -
17536at50557_103372_0:00299d|STRG.7965.1:0-1967|+       -            656 107413at50557        -             88   0.00019   20.5   0.2   1   1   9.4e-06    0.0007   18.7   0.2    27    88   583   651   551   651 0.62 -
107413at50557_77166_0:001c77|STRG.11333.1:1470-2162|+   -            231 107413at50557        -             88   0.00037   19.6   3.7   1   2      0.38        28    4.0   0.1     1    10   120   129   120   163 0.82 -
107413at50557_77166_0:001c77|STRG.11333.1:1470-2162|+   -            231 107413at50557        -             88   0.00037   19.6   3.7   2   2   7.3e-05    0.0054   15.9   1.1    31    71   169   211   149   227 0.80 -
17536at50557_7493_0:002a62|STRG.11187.3:6474-7784|+     -            437 107413at50557        -             88    0.0074   15.4   0.0   1   1   0.00041      0.03   13.5   0.0    41    87   380   432   328   433 0.79 -
17536at50557_7493_0:002a62|STRG.11187.1:6474-7787|+     -            438 107413at50557        -             88    0.0077   15.4   0.0   1   1   0.00041      0.03   13.5   0.0    41    87   381   433   329   434 0.79 -
17536at50557_7493_0:002a62|STRG.11187.2:6306-7619|+     -            438 107413at50557        -             88    0.0077   15.4   0.0   1   1   0.00041      0.03   13.5   0.0    41    87   381   433   329   434 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/107413at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/107413at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
