#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
19423at50557_197043_0:0028de|STRG.4328.1:110-687|-     -            158 19423at50557         -            535     2e-88  295.7   0.4   1   1   3.2e-90     3e-88  295.1   0.4   134   277     1   158     1   158 0.97 -
82016at50557_103372_0:000f18|STRG.1303.1:156-1367|+    -            404 19423at50557         -            535   1.3e-12   45.5   0.0   1   1     2e-14   1.9e-12   45.0   0.0   266   319    18    70     8   121 0.90 -
98332at50557_103372_0:00196c|STRG.1008.1:0-632|+       -            211 19423at50557         -            535   2.2e-12   44.7   0.0   1   2     2e-06   0.00019   18.6   0.0   486   534     5    55     2    56 0.89 -
98332at50557_103372_0:00196c|STRG.1008.1:0-632|+       -            211 19423at50557         -            535   2.2e-12   44.7   0.0   2   2   3.6e-08   3.4e-06   24.4   0.0   477   533   150   207   124   209 0.84 -
98332at50557_77166_0:00193f|STRG.16330.2:1224-1625|+   -            134 19423at50557         -            535   4.4e-11   40.5   0.0   1   2   2.9e-08   2.7e-06   24.7   0.0   479   533    17    72     4    74 0.80 -
98332at50557_77166_0:00193f|STRG.16330.2:1224-1625|+   -            134 19423at50557         -            535   4.4e-11   40.5   0.0   2   2   4.5e-05    0.0043   14.1   0.0   484   532    85   134    81   134 0.82 -
98332at50557_77166_0:00193f|STRG.16330.3:924-1325|+    -            134 19423at50557         -            535   4.4e-11   40.5   0.0   1   2   2.9e-08   2.7e-06   24.7   0.0   479   533    17    72     4    74 0.80 -
98332at50557_77166_0:00193f|STRG.16330.3:924-1325|+    -            134 19423at50557         -            535   4.4e-11   40.5   0.0   2   2   4.5e-05    0.0043   14.1   0.0   484   532    85   134    81   134 0.82 -
98332at50557_77166_0:00193f|STRG.16330.4:1594-1995|+   -            134 19423at50557         -            535   4.4e-11   40.5   0.0   1   2   2.9e-08   2.7e-06   24.7   0.0   479   533    17    72     4    74 0.80 -
98332at50557_77166_0:00193f|STRG.16330.4:1594-1995|+   -            134 19423at50557         -            535   4.4e-11   40.5   0.0   2   2   4.5e-05    0.0043   14.1   0.0   484   532    85   134    81   134 0.82 -
98332at50557_77166_0:00193f|STRG.16330.5:1302-1703|+   -            134 19423at50557         -            535   4.4e-11   40.5   0.0   1   2   2.9e-08   2.7e-06   24.7   0.0   479   533    17    72     4    74 0.80 -
98332at50557_77166_0:00193f|STRG.16330.5:1302-1703|+   -            134 19423at50557         -            535   4.4e-11   40.5   0.0   2   2   4.5e-05    0.0043   14.1   0.0   484   532    85   134    81   134 0.82 -
68581at50557_680683_0:0014ea|STRG.11293.1:3673-4479|+  -            269 19423at50557         -            535   2.8e-10   37.8   0.0   1   3    0.0017      0.16    9.0   0.0   486   533     4    51     2    53 0.81 -
68581at50557_680683_0:0014ea|STRG.11293.1:3673-4479|+  -            269 19423at50557         -            535   2.8e-10   37.8   0.0   2   3       0.1       9.7    3.0   0.0   488   523   134   168    65   187 0.78 -
68581at50557_680683_0:0014ea|STRG.11293.1:3673-4479|+  -            269 19423at50557         -            535   2.8e-10   37.8   0.0   3   3   1.2e-07   1.2e-05   22.6   0.0   481   533   210   263   194   265 0.82 -
33399at50557_34720_0:002432|STRG.11245.2:319-1572|+    -            418 19423at50557         -            535   3.2e-09   34.3   2.0   1   1   6.5e-11   6.2e-09   33.4   2.0   266   312    10    55     4   222 0.82 -
33399at50557_34720_0:002432|STRG.11245.1:0-2024|+      -            675 19423at50557         -            535   7.9e-09   33.0   2.2   1   1   1.9e-10   1.8e-08   31.9   2.2   266   312     9    54     5   216 0.86 -
15573at50557_103372_0:00195a|STRG.998.2:276-2084|+     -            603 19423at50557         -            535   5.3e-07   27.0   0.0   1   2     0.018       1.7    5.5   0.1   150   236    37   133     6   141 0.66 -
15573at50557_103372_0:00195a|STRG.998.2:276-2084|+     -            603 19423at50557         -            535   5.3e-07   27.0   0.0   2   2   1.3e-06   0.00012   19.3   0.0   483   534   548   601   541   602 0.90 -
30640at50557_103372_0:0017a1|STRG.12164.1:0-2381|+     -            794 19423at50557         -            535   6.1e-07   26.8   0.1   1   2         7   6.6e+02   -3.0   0.0   508   532   256   280   252   282 0.85 -
30640at50557_103372_0:0017a1|STRG.12164.1:0-2381|+     -            794 19423at50557         -            535   6.1e-07   26.8   0.1   2   2   1.5e-08   1.4e-06   25.7   0.1   461   534   508   583   485   584 0.80 -
98332at50557_1218281_0:000683|STRG.1008.2:42-209|+     -             56 19423at50557         -            535   7.3e-07   26.6   0.0   1   1     8e-09   7.6e-07   26.5   0.0   484   533     2    52     1    54 0.85 -
82016at50557_7536_0:0000b9|STRG.7528.1:30-275|+        -             82 19423at50557         -            535   1.1e-06   25.9   0.0   1   1   1.2e-08   1.2e-06   25.9   0.0   257   313     5    59     2    74 0.81 -
68581at50557_45779_0:003c15|STRG.19126.1:1318-1458|+   -             47 19423at50557         -            535   1.1e-06   25.9   0.0   1   1   1.2e-08   1.2e-06   25.9   0.0   488   532     1    46     1    47 0.84 -
68581at50557_45779_0:003c15|STRG.19126.2:1617-1757|+   -             47 19423at50557         -            535   1.1e-06   25.9   0.0   1   1   1.2e-08   1.2e-06   25.9   0.0   488   532     1    46     1    47 0.84 -
68581at50557_45779_0:003c15|STRG.19126.3:1377-1517|+   -             47 19423at50557         -            535   1.1e-06   25.9   0.0   1   1   1.2e-08   1.2e-06   25.9   0.0   488   532     1    46     1    47 0.84 -
68581at50557_45779_0:003c15|STRG.19126.4:1315-1455|+   -             47 19423at50557         -            535   1.1e-06   25.9   0.0   1   1   1.2e-08   1.2e-06   25.9   0.0   488   532     1    46     1    47 0.84 -
68581at50557_45779_0:003c15|STRG.19126.5:1203-1343|+   -             47 19423at50557         -            535   1.1e-06   25.9   0.0   1   1   1.2e-08   1.2e-06   25.9   0.0   488   532     1    46     1    47 0.84 -
68581at50557_45779_0:003c15|STRG.19126.6:1374-1514|+   -             47 19423at50557         -            535   1.1e-06   25.9   0.0   1   1   1.2e-08   1.2e-06   25.9   0.0   488   532     1    46     1    47 0.84 -
98332at50557_77166_0:00193f|STRG.10987.1:444-986|+     -            181 19423at50557         -            535   1.8e-06   25.3   0.0   1   2     0.015       1.4    5.8   0.0   494   532     3    43     1    46 0.75 -
98332at50557_77166_0:00193f|STRG.10987.1:444-986|+     -            181 19423at50557         -            535   1.8e-06   25.3   0.0   2   2   3.8e-06   0.00036   17.7   0.0   466   532   114   181   100   181 0.88 -
98332at50557_1218281_0:000683|STRG.16330.1:2049-2192|+ -             48 19423at50557         -            535   3.4e-06   24.3   0.0   1   1   3.9e-08   3.6e-06   24.3   0.0   486   532     1    48     1    48 0.90 -
98332at50557_1218281_0:000683|STRG.8434.1:367-531|+    -             55 19423at50557         -            535   5.8e-06   23.6   0.0   1   1   6.4e-08     6e-06   23.5   0.0   485   533     2    51     1    53 0.86 -
98332at50557_1218281_0:000683|STRG.8434.2:367-531|+    -             55 19423at50557         -            535   5.8e-06   23.6   0.0   1   1   6.4e-08     6e-06   23.5   0.0   485   533     2    51     1    53 0.86 -
98332at50557_1218281_0:000683|STRG.1041.1:980-1123|+   -             48 19423at50557         -            535   1.3e-05   22.4   0.0   1   1   1.5e-07   1.4e-05   22.3   0.0   486   532     1    48     1    48 0.89 -
98332at50557_1218281_0:000683|STRG.1041.2:1049-1192|+  -             48 19423at50557         -            535   1.3e-05   22.4   0.0   1   1   1.5e-07   1.4e-05   22.3   0.0   486   532     1    48     1    48 0.89 -
98332at50557_1218281_0:000683|STRG.1041.3:965-1108|+   -             48 19423at50557         -            535   1.3e-05   22.4   0.0   1   1   1.5e-07   1.4e-05   22.3   0.0   486   532     1    48     1    48 0.89 -
98332at50557_1218281_0:000683|STRG.1041.4:944-1087|+   -             48 19423at50557         -            535   1.3e-05   22.4   0.0   1   1   1.5e-07   1.4e-05   22.3   0.0   486   532     1    48     1    48 0.89 -
98332at50557_1218281_0:000683|STRG.1041.5:1121-1264|+  -             48 19423at50557         -            535   1.3e-05   22.4   0.0   1   1   1.5e-07   1.4e-05   22.3   0.0   486   532     1    48     1    48 0.89 -
30640at50557_1629725_0:002003|STRG.12164.2:35-1032|+   -            325 19423at50557         -            535   2.2e-05   21.7   0.3   1   2       2.1     2e+02   -1.3   0.0   508   532     7    31     3    34 0.84 -
30640at50557_1629725_0:002003|STRG.12164.2:35-1032|+   -            325 19423at50557         -            535   2.2e-05   21.7   0.3   2   2   7.7e-07   7.3e-05   20.0   0.3   461   518   259   317   230   322 0.80 -
98332at50557_1155016_0:002d21|STRG.19575.1:1710-1868|+ -             53 19423at50557         -            535   6.1e-05   20.2   0.0   1   1   6.9e-07   6.5e-05   20.1   0.0   485   534     1    51     1    52 0.91 -
98332at50557_1155016_0:002d21|STRG.19575.2:1903-2061|+ -             53 19423at50557         -            535   6.1e-05   20.2   0.0   1   1   6.9e-07   6.5e-05   20.1   0.0   485   534     1    51     1    52 0.91 -
98332at50557_1155016_0:002d21|STRG.19575.3:3294-3452|+ -             53 19423at50557         -            535   6.1e-05   20.2   0.0   1   1   6.9e-07   6.5e-05   20.1   0.0   485   534     1    51     1    52 0.91 -
98332at50557_1155016_0:002d21|STRG.13360.1:837-998|+   -             54 19423at50557         -            535   6.3e-05   20.2   0.0   1   1   6.6e-07   6.3e-05   20.2   0.0   484   525     1    41     1    54 0.77 -
98332at50557_1155016_0:002d21|STRG.13360.2:837-998|+   -             54 19423at50557         -            535   6.3e-05   20.2   0.0   1   1   6.6e-07   6.3e-05   20.2   0.0   484   525     1    41     1    54 0.77 -
98332at50557_1155016_0:002d21|STRG.13360.3:837-998|+   -             54 19423at50557         -            535   6.3e-05   20.2   0.0   1   1   6.6e-07   6.3e-05   20.2   0.0   484   525     1    41     1    54 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.10:2486-2758|+  -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.10:2486-2758|+  -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_37001_0:001c0d|STRG.13455.11:2340-2612|+  -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.11:2340-2612|+  -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_37001_0:001c0d|STRG.13455.1:1711-1983|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.1:1711-1983|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_37001_0:001c0d|STRG.13455.2:1174-1446|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.2:1174-1446|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_37001_0:001c0d|STRG.13455.3:1744-2016|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.3:1744-2016|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_37001_0:001c0d|STRG.13455.4:2343-2615|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.4:2343-2615|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_37001_0:001c0d|STRG.13455.5:2497-2769|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.5:2497-2769|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_37001_0:001c0d|STRG.13455.6:6148-6420|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.6:6148-6420|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_37001_0:001c0d|STRG.13455.7:1066-1338|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.7:1066-1338|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_37001_0:001c0d|STRG.13455.8:7803-8075|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.8:7803-8075|+   -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_37001_0:001c0d|STRG.13455.9:827-1099|+    -             91 19423at50557         -            535   8.1e-05   19.8   0.0   1   2         4   3.8e+02   -2.2   0.0   514   534     1    23     1    24 0.77 -
98332at50557_37001_0:001c0d|STRG.13455.9:827-1099|+    -             91 19423at50557         -            535   8.1e-05   19.8   0.0   2   2   1.5e-06   0.00014   19.0   0.0   483   532    41    91    33    91 0.86 -
98332at50557_1155016_0:002d21|STRG.16465.1:3739-3891|+ -             51 19423at50557         -            535   0.00014   19.0   0.0   1   1   1.6e-06   0.00015   18.9   0.0   484   532     1    50     1    51 0.84 -
68581at50557_1629725_0:001166|STRG.6686.2:1452-2651|+  -            143 19423at50557         -            535   0.00017   18.7   0.0   1   1   3.4e-06   0.00032   17.8   0.0   486   533     4    54     2    56 0.82 -
98332at50557_133901_0:000b7a|STRG.6686.1:1458-1874|+   -            139 19423at50557         -            535   0.00022   18.4   0.0   1   1   3.9e-06   0.00036   17.7   0.0   486   533     2    52     1    54 0.82 -
98332at50557_133901_0:000b7a|STRG.6686.4:1458-1874|+   -            139 19423at50557         -            535   0.00022   18.4   0.0   1   1   3.9e-06   0.00036   17.7   0.0   486   533     2    52     1    54 0.82 -
91571at50557_2015173_0:000792|STRG.12457.1:887-1714|+  -            276 19423at50557         -            535    0.0004   17.5   0.0   1   2     9e-06   0.00085   16.4   0.0   481   533    98   152    93   154 0.85 -
91571at50557_2015173_0:000792|STRG.12457.1:887-1714|+  -            276 19423at50557         -            535    0.0004   17.5   0.0   2   2       4.8   4.6e+02   -2.5   0.0   492   533   221   263   212   265 0.70 -
91571at50557_2015173_0:000792|STRG.12457.2:0-860|+     -            287 19423at50557         -            535   0.00043   17.4   0.0   1   2   9.6e-06    0.0009   16.3   0.0   481   533   109   163   104   165 0.85 -
91571at50557_2015173_0:000792|STRG.12457.2:0-860|+     -            287 19423at50557         -            535   0.00043   17.4   0.0   2   2       5.1   4.8e+02   -2.6   0.0   492   533   232   274   223   276 0.70 -
60857at50557_411798_0:00371a|STRG.1686.1:179-1261|+    -            361 19423at50557         -            535    0.0006   16.9   0.2   1   2         2   1.9e+02   -1.2   0.3   113   146   137   170   124   192 0.76 -
60857at50557_411798_0:00371a|STRG.1686.1:179-1261|+    -            361 19423at50557         -            535    0.0006   16.9   0.2   2   2   2.3e-05    0.0022   15.1   0.0   483   533   301   359   286   361 0.81 -
60857at50557_103372_0:002a12|STRG.1686.2:0-1238|+      -            413 19423at50557         -            535    0.0011   16.0   0.5   1   2       2.5   2.4e+02   -1.5   0.2   113   146   127   160   118   181 0.75 -
60857at50557_103372_0:002a12|STRG.1686.2:0-1238|+      -            413 19423at50557         -            535    0.0011   16.0   0.5   2   2   3.1e-05     0.003   14.6   0.0   483   533   353   411   350   413 0.78 -
68581at50557_166423_0:000f4f|STRG.7529.1:0-863|+       -            288 19423at50557         -            535    0.0016   15.5   0.0   1   2    0.0057      0.54    7.2   0.0   487   533    19    66    13    68 0.83 -
68581at50557_166423_0:000f4f|STRG.7529.1:0-863|+       -            288 19423at50557         -            535    0.0016   15.5   0.0   2   2      0.01      0.97    6.3   0.0   484   525    88   130    70   143 0.79 -
98332at50557_1155016_0:002d21|STRG.4309.1:491-634|+    -             48 19423at50557         -            535    0.0017   15.4   0.0   1   1   1.8e-05    0.0017   15.4   0.0   485   513     1    29     1    47 0.83 -
98332at50557_1155016_0:002d21|STRG.19630.1:488-640|+   -             51 19423at50557         -            535    0.0027   14.8   0.0   1   1   2.9e-05    0.0027   14.8   0.0   485   532     3    51     1    51 0.79 -
98332at50557_1155016_0:002d21|STRG.19630.2:5376-5528|+ -             51 19423at50557         -            535    0.0027   14.8   0.0   1   1   2.9e-05    0.0027   14.8   0.0   485   532     3    51     1    51 0.79 -
68581at50557_104452_0:00171a|STRG.5166.1:3593-4108|+   -            172 19423at50557         -            535    0.0035   14.4   0.0   1   2     0.011         1    6.2   0.0   494   533    38    79    21    81 0.83 -
68581at50557_104452_0:00171a|STRG.5166.1:3593-4108|+   -            172 19423at50557         -            535    0.0035   14.4   0.0   2   2    0.0092      0.87    6.5   0.0   491   532   127   170   111   172 0.84 -
68581at50557_104452_0:00171a|STRG.5166.2:3377-3892|+   -            172 19423at50557         -            535    0.0035   14.4   0.0   1   2     0.011         1    6.2   0.0   494   533    38    79    21    81 0.83 -
68581at50557_104452_0:00171a|STRG.5166.2:3377-3892|+   -            172 19423at50557         -            535    0.0035   14.4   0.0   2   2    0.0092      0.87    6.5   0.0   491   532   127   170   111   172 0.84 -
71152at50557_103372_0:00095c|STRG.460.1:0-1415|+       -            472 19423at50557         -            535    0.0047   14.0   0.0   1   1   4.9e-05    0.0047   14.0   0.0   480   534   410   466   380   467 0.80 -
98332at50557_197043_0:002812|STRG.17727.1:1996-2169|+  -             58 19423at50557         -            535    0.0075   13.3   0.0   1   1   8.8e-05    0.0083   13.2   0.0   485   532     4    52     2    55 0.82 -
98332at50557_197043_0:002812|STRG.17727.2:1996-2169|+  -             58 19423at50557         -            535    0.0075   13.3   0.0   1   1   8.8e-05    0.0083   13.2   0.0   485   532     4    52     2    55 0.82 -
98332at50557_197043_0:002812|STRG.17727.3:1996-2169|+  -             58 19423at50557         -            535    0.0075   13.3   0.0   1   1   8.8e-05    0.0083   13.2   0.0   485   532     4    52     2    55 0.82 -
10008at50557_378494_0:004813|STRG.14173.1:105-383|+    -             93 19423at50557         -            535      0.01   12.8   0.0   1   1   0.00011      0.01   12.8   0.0   186   256    18    90     1    92 0.68 -
91571at50557_7038_0:00203c|STRG.5992.1:1105-2019|+     -            305 19423at50557         -            535     0.051   10.6   0.0   1   1   0.00088     0.083    9.9   0.0   474   534   232   294   216   295 0.84 -
91571at50557_7038_0:00203c|STRG.5992.2:1184-2098|+     -            305 19423at50557         -            535     0.051   10.6   0.0   1   1   0.00088     0.083    9.9   0.0   474   534   232   294   216   295 0.84 -
98332at50557_1218281_0:000683|STRG.11435.1:1076-1225|- -             50 19423at50557         -            535     0.097    9.6   0.0   1   1     0.001     0.097    9.6   0.0   486   525     1    39     1    50 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/19423at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/19423at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/19423at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:33:54 2024
# [ok]
