#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
63645at50557_34720_0:0006b0|STRG.16132.1:0-1040|+     -            347 63645at50557         -            280  5.7e-182  601.6   2.8   1   1  3.2e-183  3.2e-181  599.2   2.8     1   280    10   324    10   324 0.94 -
69548at50557_116153_0:002191|STRG.4684.6:594-1292|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   3   4   8.1e-06    0.0008   17.2   0.2   186   260   120   195   112   200 0.83 -
69548at50557_116153_0:002191|STRG.4684.6:594-1292|+   -            233 63645at50557         -            280   3.9e-13   47.7   0.5   4   4      0.34        33    2.0   0.0   222   254   201   233   195   233 0.90 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+   -            346 63645at50557         -            280   1.6e-11   42.4   6.9   1   3    0.0081      0.79    7.3   0.0   216   270     2    55     1    64 0.79 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+   -            346 63645at50557         -            280   1.6e-11   42.4   6.9   2   3   2.1e-05    0.0021   15.8   4.6    89   258    66   222    50   226 0.82 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+   -            346 63645at50557         -            280   1.6e-11   42.4   6.9   3   3   2.4e-08   2.4e-06   25.4   0.3    59   206   155   308   146   314 0.70 -
25500at50557_121845_0:000041|STRG.14386.1:502-1215|+  -            238 63645at50557         -            280   1.7e-11   42.3   1.5   1   2   5.9e-08   5.8e-06   24.2   0.4    97   259     3   161     1   166 0.87 -
25500at50557_121845_0:000041|STRG.14386.1:502-1215|+  -            238 63645at50557         -            280   1.7e-11   42.3   1.5   2   2   5.9e-06   0.00058   17.6   0.0   182   244   172   235   163   238 0.85 -
25500at50557_121845_0:000041|STRG.14386.2:189-902|+   -            238 63645at50557         -            280   1.7e-11   42.3   1.5   1   2   5.9e-08   5.8e-06   24.2   0.4    97   259     3   161     1   166 0.87 -
25500at50557_121845_0:000041|STRG.14386.2:189-902|+   -            238 63645at50557         -            280   1.7e-11   42.3   1.5   2   2   5.9e-06   0.00058   17.6   0.0   182   244   172   235   163   238 0.85 -
71739at50557_66420_0:0008cd|STRG.17936.1:657-1238|+   -            194 63645at50557         -            280   1.8e-09   35.7   0.1   1   2   3.9e-08   3.8e-06   24.8   0.2    97   256    10   161     5   162 0.84 -
71739at50557_66420_0:0008cd|STRG.17936.1:657-1238|+   -            194 63645at50557         -            280   1.8e-09   35.7   0.1   2   2   2.4e-05    0.0024   15.6   0.0   132   185   126   177   124   193 0.80 -
71739at50557_66420_0:0008cd|STRG.17936.2:729-1310|+   -            194 63645at50557         -            280   1.8e-09   35.7   0.1   1   2   3.9e-08   3.8e-06   24.8   0.2    97   256    10   161     5   162 0.84 -
71739at50557_66420_0:0008cd|STRG.17936.2:729-1310|+   -            194 63645at50557         -            280   1.8e-09   35.7   0.1   2   2   2.4e-05    0.0024   15.6   0.0   132   185   126   177   124   193 0.80 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 63645at50557         -            280   2.2e-09   35.4  11.6   1   5    0.0017      0.17    9.5   0.2   104   180    62   132    51   152 0.76 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 63645at50557         -            280   2.2e-09   35.4  11.6   2   5   5.2e-05     0.005   14.5   0.2   106   259   269   410   256   423 0.80 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 63645at50557         -            280   2.2e-09   35.4  11.6   3   5       1.1   1.1e+02    0.4   0.1    95   124   434   465   416   473 0.61 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 63645at50557         -            280   2.2e-09   35.4  11.6   4   5    0.0012      0.12   10.0   0.0   228   261   477   509   466   523 0.82 -
33043at50557_568069_0:003d26|STRG.5325.1:635-2770|+   -            712 63645at50557         -            280   2.2e-09   35.4  11.6   5   5      0.14        14    3.2   0.0   130   204   635   707   624   712 0.75 -
40115at50557_411798_0:002bfa|STRG.19236.1:627-1412|+  -            262 63645at50557         -            280   1.1e-08   33.2   0.6   1   4     0.087       8.6    3.9   0.0   185   236    25    73    16    83 0.81 -
40115at50557_411798_0:002bfa|STRG.19236.1:627-1412|+  -            262 63645at50557         -            280   1.1e-08   33.2   0.6   2   4   0.00011     0.011   13.4   0.0   209   259    87   137    76   144 0.83 -
40115at50557_411798_0:002bfa|STRG.19236.1:627-1412|+  -            262 63645at50557         -            280   1.1e-08   33.2   0.6   3   4     0.038       3.7    5.1   0.1   217   246   138   167   135   184 0.80 -
40115at50557_411798_0:002bfa|STRG.19236.1:627-1412|+  -            262 63645at50557         -            280   1.1e-08   33.2   0.6   4   4     0.011       1.1    6.8   0.0   184   248   194   257   189   262 0.73 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+     -            349 63645at50557         -            280   1.9e-08   32.4   0.0   1   4     0.039       3.8    5.1   0.0   194   258    69   131    47   135 0.86 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+     -            349 63645at50557         -            280   1.9e-08   32.4   0.0   2   4    0.0015      0.15    9.7   0.0   215   258   131   174   130   191 0.90 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+     -            349 63645at50557         -            280   1.9e-08   32.4   0.0   3   4   0.00011     0.011   13.4   0.0   154   257   198   306   182   315 0.76 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+     -            349 63645at50557         -            280   1.9e-08   32.4   0.0   4   4       1.9   1.9e+02   -0.5   0.0   221   256   313   347   310   349 0.83 -
78072at50557_39758_0:003b38|STRG.4389.1:322-1152|+    -            277 63645at50557         -            280   2.3e-08   32.1   1.6   1   2   2.1e-08     2e-06   25.7   1.5    89   256    45   214    36   235 0.77 -
78072at50557_39758_0:003b38|STRG.4389.1:322-1152|+    -            277 63645at50557         -            280   2.3e-08   32.1   1.6   2   2       3.6   3.5e+02   -1.4   0.0    97   124   238   265   227   270 0.83 -
78072at50557_39758_0:003b38|STRG.4389.3:216-1046|+    -            277 63645at50557         -            280   2.3e-08   32.1   1.6   1   2   2.1e-08     2e-06   25.7   1.5    89   256    45   214    36   235 0.77 -
78072at50557_39758_0:003b38|STRG.4389.3:216-1046|+    -            277 63645at50557         -            280   2.3e-08   32.1   1.6   2   2       3.6   3.5e+02   -1.4   0.0    97   124   238   265   227   270 0.83 -
78072at50557_39758_0:003b38|STRG.9154.1:151-690|+     -            180 63645at50557         -            280   2.5e-08   31.9   2.1   1   1   8.2e-08     8e-06   23.7   0.1   184   259    63   140    54   143 0.83 -
78072at50557_123851_0:000487|STRG.5543.1:156-1043|+   -            296 63645at50557         -            280     1e-07   29.9   1.4   1   3    0.0037      0.36    8.5   0.0   210   256     3    46     1    50 0.81 -
78072at50557_123851_0:000487|STRG.5543.1:156-1043|+   -            296 63645at50557         -            280     1e-07   29.9   1.4   2   3   0.00011     0.011   13.5   0.2   219   261    67   108    61   110 0.89 -
78072at50557_123851_0:000487|STRG.5543.1:156-1043|+   -            296 63645at50557         -            280     1e-07   29.9   1.4   3   3   1.2e-05    0.0012   16.6   0.2   182   257    75   147    73   159 0.84 -
78072at50557_123851_0:000487|STRG.5543.2:445-1332|+   -            296 63645at50557         -            280     1e-07   29.9   1.4   1   3    0.0037      0.36    8.5   0.0   210   256     3    46     1    50 0.81 -
78072at50557_123851_0:000487|STRG.5543.2:445-1332|+   -            296 63645at50557         -            280     1e-07   29.9   1.4   2   3   0.00011     0.011   13.5   0.2   219   261    67   108    61   110 0.89 -
78072at50557_123851_0:000487|STRG.5543.2:445-1332|+   -            296 63645at50557         -            280     1e-07   29.9   1.4   3   3   1.2e-05    0.0012   16.6   0.2   182   257    75   147    73   159 0.84 -
80377at50557_7070_0:0023da|STRG.17188.2:1631-2362|+   -            244 63645at50557         -            280   2.2e-07   28.8   5.5   1   4     0.033       3.3    5.3   0.1    93   126    50    83    41    93 0.88 -
80377at50557_7070_0:0023da|STRG.17188.2:1631-2362|+   -            244 63645at50557         -            280   2.2e-07   28.8   5.5   2   4   0.00082      0.08   10.6   0.1    95   124    95   124    87   130 0.91 -
80377at50557_7070_0:0023da|STRG.17188.2:1631-2362|+   -            244 63645at50557         -            280   2.2e-07   28.8   5.5   3   4   9.8e-05    0.0096   13.6   0.1   222   263   129   169   123   174 0.88 -
80377at50557_7070_0:0023da|STRG.17188.2:1631-2362|+   -            244 63645at50557         -            280   2.2e-07   28.8   5.5   4   4       3.3   3.2e+02   -1.2   0.0   224   257   174   205   168   213 0.75 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 63645at50557         -            280   1.1e-06   26.5   1.2   1   4     0.034       3.3    5.3   0.0   219   257    74   111    66   120 0.85 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 63645at50557         -            280   1.1e-06   26.5   1.2   2   4     0.052       5.1    4.7   0.1   221   255   118   153   111   160 0.84 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 63645at50557         -            280   1.1e-06   26.5   1.2   3   4   0.00018     0.018   12.7   0.0   181   257   167   241   161   253 0.86 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+    -            281 63645at50557         -            280   1.1e-06   26.5   1.2   4   4       2.5   2.5e+02   -0.8   0.1   223   254   251   281   245   281 0.80 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+   -            523 63645at50557         -            280   1.9e-06   25.8   1.6   1   3       3.7   3.7e+02   -1.4   0.1   215   247   255   287   235   303 0.81 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+   -            523 63645at50557         -            280   1.9e-06   25.8   1.6   2   3   0.00012     0.012   13.3   0.2   140   258   327   439   275   441 0.79 -
49370at50557_456900_0:00265d|STRG.7846.1:253-1821|+   -            523 63645at50557         -            280   1.9e-06   25.8   1.6   3   3   1.1e-06   0.00011   20.0   0.1   104   250   379   516   374   523 0.75 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+     -            523 63645at50557         -            280   1.9e-06   25.8   1.6   1   3       3.7   3.7e+02   -1.4   0.1   215   247   255   287   235   303 0.81 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+     -            523 63645at50557         -            280   1.9e-06   25.8   1.6   2   3   0.00012     0.012   13.3   0.2   140   258   327   439   275   441 0.79 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+     -            523 63645at50557         -            280   1.9e-06   25.8   1.6   3   3   1.1e-06   0.00011   20.0   0.1   104   250   379   516   374   523 0.75 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+   -            329 63645at50557         -            280   2.9e-06   25.2   0.2   1   3      0.07       6.9    4.2   0.0   104   170     2    73     1    77 0.64 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+   -            329 63645at50557         -            280   2.9e-06   25.2   0.2   2   3   0.00041      0.04   11.6   0.0   227   261    87   120    77   139 0.82 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+   -            329 63645at50557         -            280   2.9e-06   25.2   0.2   3   3     0.033       3.2    5.3   0.0   130   205   246   319   234   327 0.77 -
78072at50557_7038_0:0021a3|STRG.17926.3:316-1059|+    -            248 63645at50557         -            280   2.9e-06   25.1   3.0   1   2     0.011       1.1    6.9   0.1    95   121    17    43     6    53 0.72 -
78072at50557_7038_0:0021a3|STRG.17926.3:316-1059|+    -            248 63645at50557         -            280   2.9e-06   25.1   3.0   2   2   3.3e-06   0.00033   18.4   0.3   187   262    61   134    53   142 0.88 -
78072at50557_7038_0:0021a3|STRG.17926.4:316-1059|+    -            248 63645at50557         -            280   2.9e-06   25.1   3.0   1   2     0.011       1.1    6.9   0.1    95   121    17    43     6    53 0.72 -
78072at50557_7038_0:0021a3|STRG.17926.4:316-1059|+    -            248 63645at50557         -            280   2.9e-06   25.1   3.0   2   2   3.3e-06   0.00033   18.4   0.3   187   262    61   134    53   142 0.88 -
78072at50557_7038_0:0021a3|STRG.17926.1:331-1179|+    -            283 63645at50557         -            280   3.3e-06   25.0   3.4   1   1   5.6e-07   5.5e-05   21.0   3.4    97   262     5   169     3   177 0.77 -
78072at50557_7038_0:0021a3|STRG.17926.2:331-1179|+    -            283 63645at50557         -            280   3.3e-06   25.0   3.4   1   1   5.6e-07   5.5e-05   21.0   3.4    97   262     5   169     3   177 0.77 -
78072at50557_7038_0:0021a3|STRG.17926.5:331-1179|+    -            283 63645at50557         -            280   3.3e-06   25.0   3.4   1   1   5.6e-07   5.5e-05   21.0   3.4    97   262     5   169     3   177 0.77 -
40115at50557_116153_0:000cbb|STRG.8802.1:180-1076|+   -            299 63645at50557         -            280   5.2e-06   24.3   0.3   1   4     0.084       8.2    4.0   0.0   225   264     1    39     1    52 0.81 -
40115at50557_116153_0:000cbb|STRG.8802.1:180-1076|+   -            299 63645at50557         -            280   5.2e-06   24.3   0.3   2   4       1.3   1.3e+02    0.1   0.0   234   257    57    79    40    86 0.74 -
40115at50557_116153_0:000cbb|STRG.8802.1:180-1076|+   -            299 63645at50557         -            280   5.2e-06   24.3   0.3   3   4   5.2e-05    0.0051   14.5   0.0   134   224    87   175    83   189 0.76 -
40115at50557_116153_0:000cbb|STRG.8802.1:180-1076|+   -            299 63645at50557         -            280   5.2e-06   24.3   0.3   4   4       1.4   1.4e+02   -0.0   0.1   222   254   268   299   261   299 0.82 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+   -            290 63645at50557         -            280   8.1e-06   23.7   1.4   1   3      0.74        72    0.9   0.0   222   261     2    40     1    55 0.79 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+   -            290 63645at50557         -            280   8.1e-06   23.7   1.4   2   3         3   2.9e+02   -1.1   0.0   107   131    64    88    59    95 0.76 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+   -            290 63645at50557         -            280   8.1e-06   23.7   1.4   3   3   8.7e-07   8.5e-05   20.4   0.2   102   262   104   256   100   261 0.77 -
33043at50557_6973_0:0036f9|STRG.8807.1:1713-2348|+    -            212 63645at50557         -            280     2e-05   22.4   3.9   1   3       0.2        20    2.8   0.0   189   212    84   106    75   118 0.83 -
33043at50557_6973_0:0036f9|STRG.8807.1:1713-2348|+    -            212 63645at50557         -            280     2e-05   22.4   3.9   2   3   7.4e-06   0.00072   17.3   0.1   218   258   133   173   115   181 0.87 -
33043at50557_6973_0:0036f9|STRG.8807.1:1713-2348|+    -            212 63645at50557         -            280     2e-05   22.4   3.9   3   3      0.49        48    1.5   0.0    92   118   186   212   181   212 0.89 -
33043at50557_6973_0:0036f9|STRG.8807.2:1488-2123|+    -            212 63645at50557         -            280     2e-05   22.4   3.9   1   3       0.2        20    2.8   0.0   189   212    84   106    75   118 0.83 -
33043at50557_6973_0:0036f9|STRG.8807.2:1488-2123|+    -            212 63645at50557         -            280     2e-05   22.4   3.9   2   3   7.4e-06   0.00072   17.3   0.1   218   258   133   173   115   181 0.87 -
33043at50557_6973_0:0036f9|STRG.8807.2:1488-2123|+    -            212 63645at50557         -            280     2e-05   22.4   3.9   3   3      0.49        48    1.5   0.0    92   118   186   212   181   212 0.89 -
33043at50557_6973_0:0036f9|STRG.8807.3:1416-2051|+    -            212 63645at50557         -            280     2e-05   22.4   3.9   1   3       0.2        20    2.8   0.0   189   212    84   106    75   118 0.83 -
33043at50557_6973_0:0036f9|STRG.8807.3:1416-2051|+    -            212 63645at50557         -            280     2e-05   22.4   3.9   2   3   7.4e-06   0.00072   17.3   0.1   218   258   133   173   115   181 0.87 -
33043at50557_6973_0:0036f9|STRG.8807.3:1416-2051|+    -            212 63645at50557         -            280     2e-05   22.4   3.9   3   3      0.49        48    1.5   0.0    92   118   186   212   181   212 0.89 -
40115at50557_108931_0:001d6b|STRG.8807.1:1200-2348|+  -            383 63645at50557         -            280   2.9e-05   21.9   3.7   1   4      0.74        73    0.9   0.0   148   195   130   168    99   180 0.66 -
40115at50557_108931_0:001d6b|STRG.8807.1:1200-2348|+  -            383 63645at50557         -            280   2.9e-05   21.9   3.7   2   4      0.33        32    2.1   0.1   189   212   255   277   206   287 0.82 -
40115at50557_108931_0:001d6b|STRG.8807.1:1200-2348|+  -            383 63645at50557         -            280   2.9e-05   21.9   3.7   3   4   2.1e-05    0.0021   15.8   0.6   218   258   304   344   246   349 0.86 -
40115at50557_108931_0:001d6b|STRG.8807.1:1200-2348|+  -            383 63645at50557         -            280   2.9e-05   21.9   3.7   4   4       1.1     1e+02    0.4   0.1    92   118   357   383   352   383 0.89 -
40115at50557_108931_0:001d6b|STRG.8807.2:975-2123|+   -            383 63645at50557         -            280   2.9e-05   21.9   3.7   1   4      0.74        73    0.9   0.0   148   195   130   168    99   180 0.66 -
40115at50557_108931_0:001d6b|STRG.8807.2:975-2123|+   -            383 63645at50557         -            280   2.9e-05   21.9   3.7   2   4      0.33        32    2.1   0.1   189   212   255   277   206   287 0.82 -
40115at50557_108931_0:001d6b|STRG.8807.2:975-2123|+   -            383 63645at50557         -            280   2.9e-05   21.9   3.7   3   4   2.1e-05    0.0021   15.8   0.6   218   258   304   344   246   349 0.86 -
40115at50557_108931_0:001d6b|STRG.8807.2:975-2123|+   -            383 63645at50557         -            280   2.9e-05   21.9   3.7   4   4       1.1     1e+02    0.4   0.1    92   118   357   383   352   383 0.89 -
40115at50557_108931_0:001d6b|STRG.8807.3:903-2051|+   -            383 63645at50557         -            280   2.9e-05   21.9   3.7   1   4      0.74        73    0.9   0.0   148   195   130   168    99   180 0.66 -
40115at50557_108931_0:001d6b|STRG.8807.3:903-2051|+   -            383 63645at50557         -            280   2.9e-05   21.9   3.7   2   4      0.33        32    2.1   0.1   189   212   255   277   206   287 0.82 -
40115at50557_108931_0:001d6b|STRG.8807.3:903-2051|+   -            383 63645at50557         -            280   2.9e-05   21.9   3.7   3   4   2.1e-05    0.0021   15.8   0.6   218   258   304   344   246   349 0.86 -
40115at50557_108931_0:001d6b|STRG.8807.3:903-2051|+   -            383 63645at50557         -            280   2.9e-05   21.9   3.7   4   4       1.1     1e+02    0.4   0.1    92   118   357   383   352   383 0.89 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+     -            652 63645at50557         -            280   4.9e-05   21.1   0.6   1   2     0.052       5.1    4.7   0.1   101   125   406   430   376   469 0.82 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+     -            652 63645at50557         -            280   4.9e-05   21.1   0.6   2   2   7.2e-05    0.0071   14.1   0.0   103   203   492   585   467   595 0.83 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+    -            602 63645at50557         -            280   6.8e-05   20.7   4.5   1   4       6.7   6.6e+02   -2.2   0.0   205   258    38    89    26   111 0.65 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+    -            602 63645at50557         -            280   6.8e-05   20.7   4.5   2   4    0.0087      0.85    7.2   0.0   224   259   231   265   225   277 0.83 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+    -            602 63645at50557         -            280   6.8e-05   20.7   4.5   3   4      0.35        34    2.0   0.2   102   203   330   439   317   456 0.73 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+    -            602 63645at50557         -            280   6.8e-05   20.7   4.5   4   4    0.0019      0.19    9.4   0.3   161   258   461   558   452   568 0.61 -
43553at50557_103372_0:0013d1|STRG.7364.1:0-1127|+     -            376 63645at50557         -            280   9.1e-05   20.3   3.2   1   4    0.0073      0.72    7.5   0.1   215   259    32    76    19    92 0.80 -
43553at50557_103372_0:0013d1|STRG.7364.1:0-1127|+     -            376 63645at50557         -            280   9.1e-05   20.3   3.2   2   4       2.5   2.4e+02   -0.8   0.0   224   261    84   126    77   141 0.66 -
43553at50557_103372_0:0013d1|STRG.7364.1:0-1127|+     -            376 63645at50557         -            280   9.1e-05   20.3   3.2   3   4     0.019       1.8    6.1   0.1   160   260   188   285   176   299 0.78 -
43553at50557_103372_0:0013d1|STRG.7364.1:0-1127|+     -            376 63645at50557         -            280   9.1e-05   20.3   3.2   4   4     0.046       4.5    4.9   0.0   214   256   327   370   305   376 0.81 -
78072at50557_29058_0:001c12|STRG.9346.1:150-896|+     -            249 63645at50557         -            280   0.00016   19.5   0.4   1   2   0.00012     0.012   13.3   0.0   183   247    11    75     5   106 0.75 -
78072at50557_29058_0:001c12|STRG.9346.1:150-896|+     -            249 63645at50557         -            280   0.00016   19.5   0.4   2   2     0.058       5.7    4.5   0.1   220   255   154   192   122   215 0.80 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+  -            329 63645at50557         -            280   0.00021   19.1   3.8   1   4    0.0083      0.81    7.3   0.1   215   258    30    72     3    89 0.80 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+  -            329 63645at50557         -            280   0.00021   19.1   3.8   2   4    0.0021      0.21    9.2   0.2   106   171   144   204   128   218 0.77 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+  -            329 63645at50557         -            280   0.00021   19.1   3.8   3   4      0.17        16    3.0   0.0   207   257   197   245   186   267 0.74 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+  -            329 63645at50557         -            280   0.00021   19.1   3.8   4   4      0.53        52    1.4   0.0   105   131   229   256   208   317 0.61 -
57752at50557_45779_0:003ace|STRG.1785.1:767-1675|+    -            303 63645at50557         -            280    0.0003   18.5   0.1   1   3      0.37        37    1.9   0.1   225   256     1    31     1    37 0.85 -
57752at50557_45779_0:003ace|STRG.1785.1:767-1675|+    -            303 63645at50557         -            280    0.0003   18.5   0.1   2   3   0.00019     0.018   12.7   0.0   157   260    64   169    58   176 0.82 -
57752at50557_45779_0:003ace|STRG.1785.1:767-1675|+    -            303 63645at50557         -            280    0.0003   18.5   0.1   3   3       1.5   1.5e+02   -0.2   0.0   221   256   225   262   182   269 0.79 -
57752at50557_45779_0:003ace|STRG.1785.2:1101-2009|+   -            303 63645at50557         -            280    0.0003   18.5   0.1   1   3      0.37        37    1.9   0.1   225   256     1    31     1    37 0.85 -
57752at50557_45779_0:003ace|STRG.1785.2:1101-2009|+   -            303 63645at50557         -            280    0.0003   18.5   0.1   2   3   0.00019     0.018   12.7   0.0   157   260    64   169    58   176 0.82 -
57752at50557_45779_0:003ace|STRG.1785.2:1101-2009|+   -            303 63645at50557         -            280    0.0003   18.5   0.1   3   3       1.5   1.5e+02   -0.2   0.0   221   256   225   262   182   269 0.79 -
80377at50557_108931_0:002353|STRG.11711.1:2268-2888|+ -            207 63645at50557         -            280   0.00039   18.2   0.0   1   1   5.1e-06    0.0005   17.8   0.0   100   203    47   150    38   181 0.78 -
