#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66691at50557_456900_0:002b0f|STRG.1574.1:0-1100|+     -            367 66691at50557         -            296  2.1e-144  478.9   8.7   1   1  8.3e-146  6.3e-144  477.3   8.7     1   290    15   355    15   360 0.89 -
80377at50557_37344_0:0017d3|STRG.16297.3:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   5   5       3.3   2.5e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   1   5      0.02       1.5    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   2   5    0.0001    0.0079   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   3   5      0.27        21    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   4   5     0.046       3.5    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.16297.4:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   5   5       3.3   2.5e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   1   5      0.02       1.5    6.6   0.0   117   148    67    98    57   102 0.85 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   2   5    0.0001    0.0079   14.1   0.1    25    70   110   155   106   159 0.91 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   3   5      0.27        21    2.9   0.1   119   155   172   208   168   223 0.82 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   4   5     0.046       3.5    5.4   0.0   275   293   229   247   211   250 0.80 -
80377at50557_37344_0:0017d3|STRG.16297.5:1013-1972|+  -            320 66691at50557         -            296   5.5e-09   34.3   1.8   5   5       3.3   2.5e+02   -0.7   0.0    74    91   263   280   255   291 0.75 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+   -            290 66691at50557         -            296   8.9e-09   33.6   0.3   1   3    0.0036      0.28    9.0   0.3    25   102     2    77     1   111 0.84 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+   -            290 66691at50557         -            296   8.9e-09   33.6   0.3   2   3       1.8   1.4e+02    0.2   0.0    40    62   104   126    76   133 0.72 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+   -            290 66691at50557         -            296   8.9e-09   33.6   0.3   3   3   6.9e-07   5.3e-05   21.2   0.0    28   148   134   250   127   266 0.89 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+      -            291 66691at50557         -            296   4.9e-08   31.2   1.3   1   2   2.2e-07   1.7e-05   22.8   0.9    25   200     2   164     1   249 0.90 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+      -            291 66691at50557         -            296   4.9e-08   31.2   1.3   2   2      0.33        25    2.6   0.1    35    97   181   244   165   280 0.61 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+   -            329 66691at50557         -            296   5.2e-08   31.1   0.1   1   3   2.5e-05    0.0019   16.1   0.0    22    91    36   104     1   122 0.88 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+   -            329 66691at50557         -            296   5.2e-08   31.1   0.1   2   3       1.8   1.4e+02    0.2   0.0    27    58   173   203   162   213 0.83 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+   -            329 66691at50557         -            296   5.2e-08   31.1   0.1   3   3     0.023       1.7    6.4   0.0    23    95   247   318   230   322 0.74 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+     -            287 66691at50557         -            296   5.5e-08   31.0   3.9   1   4      0.05       3.9    5.3   0.0   261   295    16    49     4    50 0.66 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+     -            287 66691at50557         -            296   5.5e-08   31.0   3.9   2   4     0.011      0.86    7.4   0.2   167   200    56    89    46   138 0.77 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+     -            287 66691at50557         -            296   5.5e-08   31.0   3.9   3   4   0.00057     0.044   11.7   0.0    25    67   142   184   132   186 0.90 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+     -            287 66691at50557         -            296   5.5e-08   31.0   3.9   4   4     0.082       6.3    4.6   0.0    27    62   186   221   182   258 0.88 -
80377at50557_123851_0:001311|STRG.4993.1:456-1250|+   -            265 66691at50557         -            296   6.4e-08   30.8   0.2   1   3      0.13        10    3.9   0.0   169   204     6    41     1    48 0.85 -
80377at50557_123851_0:001311|STRG.4993.1:456-1250|+   -            265 66691at50557         -            296   6.4e-08   30.8   0.2   2   3   1.8e-05    0.0014   16.6   0.0   122   150    68    96    63   109 0.83 -
80377at50557_123851_0:001311|STRG.4993.1:456-1250|+   -            265 66691at50557         -            296   6.4e-08   30.8   0.2   3   3      0.02       1.5    6.6   0.2   122   199   112   185    98   234 0.47 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+     -            289 66691at50557         -            296   8.1e-08   30.5   1.6   1   2   3.6e-07   2.7e-05   22.2   0.3    26   200     2   163     1   168 0.87 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+     -            289 66691at50557         -            296   8.1e-08   30.5   1.6   2   2      0.14        10    3.9   0.1    36    87   138   188   123   261 0.49 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+ -            515 66691at50557         -            296   8.7e-08   30.4   1.1   1   3       9.2   7.1e+02   -2.2   0.0    75    93   197   215   181   224 0.77 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+ -            515 66691at50557         -            296   8.7e-08   30.4   1.1   2   3   2.4e-07   1.8e-05   22.7   0.0   122   198   358   427   356   436 0.91 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+ -            515 66691at50557         -            296   8.7e-08   30.4   1.1   3   3     0.074       5.7    4.7   0.0   118   148   438   468   434   497 0.73 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+  -            515 66691at50557         -            296   8.7e-08   30.4   1.1   1   3       9.2   7.1e+02   -2.2   0.0    75    93   197   215   181   224 0.77 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+  -            515 66691at50557         -            296   8.7e-08   30.4   1.1   2   3   2.4e-07   1.8e-05   22.7   0.0   122   198   358   427   356   436 0.91 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+  -            515 66691at50557         -            296   8.7e-08   30.4   1.1   3   3     0.074       5.7    4.7   0.0   118   148   438   468   434   497 0.73 -
56099at50557_34720_0:001a91|STRG.18490.2:727-1425|+   -            233 66691at50557         -            296   1.2e-07   29.9   0.1   1   1   2.2e-09   1.7e-07   29.4   0.1    30   150    27   144    20   158 0.81 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+   -            305 66691at50557         -            296   1.4e-07   29.7   4.2   1   3   0.00021     0.016   13.1   0.0   122   184    25    82    19    92 0.71 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+   -            305 66691at50557         -            296   1.4e-07   29.7   4.2   2   3     0.032       2.4    5.9   0.0    31    68    68   105    60   133 0.78 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+   -            305 66691at50557         -            296   1.4e-07   29.7   4.2   3   3    0.0013       0.1   10.5   0.2    21   200   100   269    95   281 0.71 -
78072at50557_156304_0:001dd8|STRG.4879.3:1678-2394|+  -            239 66691at50557         -            296   3.8e-07   28.3   1.4   1   3   6.8e-06   0.00052   18.0   0.0    25   104     2    84     1    96 0.77 -
78072at50557_156304_0:001dd8|STRG.4879.3:1678-2394|+  -            239 66691at50557         -            296   3.8e-07   28.3   1.4   2   3     0.011      0.88    7.4   0.1    26    64   101   139    94   164 0.83 -
78072at50557_156304_0:001dd8|STRG.4879.3:1678-2394|+  -            239 66691at50557         -            296   3.8e-07   28.3   1.4   3   3       1.3     1e+02    0.6   0.0   167   194   194   221   160   232 0.81 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+     -            285 66691at50557         -            296   4.3e-07   28.1   1.5   1   4      0.04       3.1    5.6   0.0   166   204     6    44     1    51 0.65 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+     -            285 66691at50557         -            296   4.3e-07   28.1   1.5   2   4    0.0032      0.25    9.2   0.2    34    98    57   119    46   128 0.75 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+     -            285 66691at50557         -            296   4.3e-07   28.1   1.5   3   4     0.036       2.8    5.8   0.0   113   198   171   249   141   255 0.73 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+     -            285 66691at50557         -            296   4.3e-07   28.1   1.5   4   4      0.27        20    2.9   0.0   117   140   258   281   252   283 0.83 -
40115at50557_411798_0:002bfa|STRG.19236.1:627-1412|+  -            262 66691at50557         -            296   6.7e-07   27.5   0.9   1   3     0.017       1.3    6.8   0.3   160   211    13    66     2    92 0.79 -
40115at50557_411798_0:002bfa|STRG.19236.1:627-1412|+  -            262 66691at50557         -            296   6.7e-07   27.5   0.9   2   3   2.7e-05    0.0021   16.0   0.0    23    93    99   168    81   180 0.83 -
40115at50557_411798_0:002bfa|STRG.19236.1:627-1412|+  -            262 66691at50557         -            296   6.7e-07   27.5   0.9   3   3      0.54        41    1.9   0.0    23    53   229   259   191   262 0.82 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+     -            349 66691at50557         -            296   6.8e-07   27.5   0.2   1   2     0.006      0.46    8.3   0.1   122   201    60   133    54   216 0.82 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+     -            349 66691at50557         -            296   6.8e-07   27.5   0.2   2   2    0.0002     0.016   13.1   0.0    21   143   218   342   212   347 0.75 -
42371at50557_144034_0:001692|STRG.12385.6:106-1098|+  -            289 66691at50557         -            296   9.1e-07   27.0   3.3   1   3   0.00029     0.022   12.7   0.3    21    92     7    81     2   122 0.80 -
42371at50557_144034_0:001692|STRG.12385.6:106-1098|+  -            289 66691at50557         -            296   9.1e-07   27.0   3.3   2   3     0.022       1.7    6.5   0.1    37    86   195   242   175   247 0.78 -
42371at50557_144034_0:001692|STRG.12385.6:106-1098|+  -            289 66691at50557         -            296   9.1e-07   27.0   3.3   3   3   0.00013    0.0096   13.8   0.2   121   175   231   289   204   289 0.75 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+   -            206 66691at50557         -            296   1.1e-06   26.8   0.2   1   2    0.0001    0.0078   14.1   0.1   116   193    58   128     9   133 0.74 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+   -            206 66691at50557         -            296   1.1e-06   26.8   0.2   2   2      0.01      0.79    7.5   0.0    22    67   138   183   135   200 0.71 -
40115at50557_123851_0:00295a|STRG.12074.1:1953-2921|+ -            323 66691at50557         -            296   1.4e-06   26.4   0.0   1   3     5e-07   3.8e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.12074.1:1953-2921|+ -            323 66691at50557         -            296   1.4e-06   26.4   0.0   2   3       6.2   4.7e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.12074.1:1953-2921|+ -            323 66691at50557         -            296   1.4e-06   26.4   0.0   3   3      0.93        71    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.12074.2:1875-2843|+ -            323 66691at50557         -            296   1.4e-06   26.4   0.0   1   3     5e-07   3.8e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.12074.2:1875-2843|+ -            323 66691at50557         -            296   1.4e-06   26.4   0.0   2   3       6.2   4.7e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.12074.2:1875-2843|+ -            323 66691at50557         -            296   1.4e-06   26.4   0.0   3   3      0.93        71    1.1   0.0    25    56   292   323   289   323 0.91 -
40115at50557_123851_0:00295a|STRG.12074.4:1792-2760|+ -            323 66691at50557         -            296   1.4e-06   26.4   0.0   1   3     5e-07   3.8e-05   21.7   0.0    73   180    11   125     4   155 0.67 -
40115at50557_123851_0:00295a|STRG.12074.4:1792-2760|+ -            323 66691at50557         -            296   1.4e-06   26.4   0.0   2   3       6.2   4.7e+02   -1.6   0.0   161   185   243   267   204   285 0.48 -
40115at50557_123851_0:00295a|STRG.12074.4:1792-2760|+ -            323 66691at50557         -            296   1.4e-06   26.4   0.0   3   3      0.93        71    1.1   0.0    25    56   292   323   289   323 0.91 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+    -            602 66691at50557         -            296     2e-06   25.9   4.2   1   4       0.3        23    2.7   0.0   129   188    68   122    58   155 0.74 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+    -            602 66691at50557         -            296     2e-06   25.9   4.2   2   4       1.3     1e+02    0.6   0.0   121   151   191   221   165   232 0.66 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+    -            602 66691at50557         -            296     2e-06   25.9   4.2   3   4     0.083       6.4    4.6   0.0    28    60   232   264   229   273 0.89 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+    -            602 66691at50557         -            296     2e-06   25.9   4.2   4   4   6.8e-05    0.0052   14.7   1.4    27   138   481   590   445   599 0.74 -
78072at50557_29058_0:001c12|STRG.9346.1:150-896|+     -            249 66691at50557         -            296     3e-06   25.3  16.2   1   2   1.1e-05   0.00082   17.3   2.6    28   130     8   111     2   119 0.84 -
78072at50557_29058_0:001c12|STRG.9346.1:150-896|+     -            249 66691at50557         -            296     3e-06   25.3  16.2   2   2    0.0001    0.0077   14.1   4.9    23   108   154   243   150   248 0.84 -
78072at50557_39758_0:003b38|STRG.9154.1:151-690|+     -            180 66691at50557         -            296     3e-06   25.3   0.8   1   1   5.6e-08   4.3e-06   24.8   0.8    31   140    62   177    37   180 0.72 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+  -            859 66691at50557         -            296   4.5e-06   24.7   0.1   1   2   3.9e-05     0.003   15.5   0.0    26   198    15   175     9   184 0.78 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+  -            859 66691at50557         -            296   4.5e-06   24.7   0.1   2   2      0.02       1.5    6.6   0.0   122   145   190   213   185   251 0.86 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+  -            878 66691at50557         -            296   4.8e-06   24.7   0.1   1   2     4e-05     0.003   15.5   0.0    25   198    14   175     7   184 0.78 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+  -            878 66691at50557         -            296   4.8e-06   24.7   0.1   2   2     0.019       1.5    6.7   0.0   121   145   189   213   184   251 0.86 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+     -            652 66691at50557         -            296   5.1e-06   24.6   1.7   1   3       1.5   1.2e+02    0.4   0.0   121   148   325   352   320   362 0.89 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+     -            652 66691at50557         -            296   5.1e-06   24.6   1.7   2   3   3.9e-05     0.003   15.5   0.2    19   196   386   550   367   554 0.79 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+     -            652 66691at50557         -            296   5.1e-06   24.6   1.7   3   3   0.00012    0.0095   13.8   0.5    31   196   440   592   433   606 0.70 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+     -            853 66691at50557         -            296   7.5e-06   24.0   2.8   1   4   0.00015     0.012   13.6   0.1    78   147    25    97    11   125 0.85 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+     -            853 66691at50557         -            296   7.5e-06   24.0   2.8   2   4       3.7   2.9e+02   -0.9   0.1   104   143   220   260   209   316 0.61 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+     -            853 66691at50557         -            296   7.5e-06   24.0   2.8   3   4      0.86        66    1.2   0.1   118   196   320   391   305   414 0.72 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+     -            853 66691at50557         -            296   7.5e-06   24.0   2.8   4   4     0.039         3    5.7   0.0    27    92   447   512   440   525 0.76 -
