#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48053at50557_7536_0:0009dd|STRG.4090.1:36-437|+        -            134 48053at50557         -            417   4.7e-74  248.3   0.3   1   1     1e-75   5.2e-74  248.2   0.3     2   130     1   133     1   134 0.97 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+   -            878 48053at50557         -            417   4.1e-14   50.9   0.0   1   2   4.5e-09   2.3e-07   28.7   0.0   282   348   106   179    13   187 0.74 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+   -            878 48053at50557         -            417   4.1e-14   50.9   0.0   2   2   0.00035     0.018   12.6   0.0   283   382   191   300   188   329 0.73 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 48053at50557         -            417   5.6e-14   50.5   0.7   1   6     0.027       1.3    6.4   0.0   317   379    82   148    52   148 0.67 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 48053at50557         -            417   5.6e-14   50.5   0.7   2   6   3.2e-05    0.0016   16.0   0.0   291   362   136   213   123   226 0.78 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 48053at50557         -            417   5.6e-14   50.5   0.7   3   6      0.42        21    2.4   0.0   324   347   229   252   219   257 0.82 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 48053at50557         -            417   5.6e-14   50.5   0.7   4   6      0.16       8.3    3.8   0.0   324   344   412   432   371   444 0.80 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 48053at50557         -            417   5.6e-14   50.5   0.7   5   6   0.00024     0.012   13.1   0.0   192   248   465   525   447   534 0.85 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 48053at50557         -            417   5.6e-14   50.5   0.7   6   6     0.039         2    5.8   0.0   294   388   511   614   504   633 0.67 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 48053at50557         -            417   5.9e-14   50.4   0.6   1   6     0.027       1.4    6.4   0.0   317   379   111   177    81   177 0.67 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 48053at50557         -            417   5.9e-14   50.4   0.6   2   6   3.3e-05    0.0017   15.9   0.0   291   362   165   242   152   254 0.78 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 48053at50557         -            417   5.9e-14   50.4   0.6   3   6      0.44        22    2.4   0.0   324   347   258   281   249   286 0.82 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 48053at50557         -            417   5.9e-14   50.4   0.6   4   6      0.17       8.7    3.7   0.0   324   344   441   461   401   472 0.80 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 48053at50557         -            417   5.9e-14   50.4   0.6   5   6   9.9e-05     0.005   14.4   0.0   184   248   484   554   432   563 0.70 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 48053at50557         -            417   5.9e-14   50.4   0.6   6   6       1.2        59    1.0   0.0   324   387   577   642   566   662 0.67 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 48053at50557         -            417   6.4e-14   50.3   0.6   1   6     0.027       1.4    6.3   0.0   317   379   102   168    72   168 0.67 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 48053at50557         -            417   6.4e-14   50.3   0.6   2   6   3.7e-05    0.0018   15.8   0.0   291   362   156   233   143   243 0.78 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 48053at50557         -            417   6.4e-14   50.3   0.6   3   6      0.44        22    2.4   0.0   324   347   249   272   240   277 0.82 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 48053at50557         -            417   6.4e-14   50.3   0.6   4   6      0.17       8.8    3.7   0.0   324   344   432   452   392   463 0.80 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 48053at50557         -            417   6.4e-14   50.3   0.6   5   6    0.0001    0.0052   14.3   0.0   184   248   475   545   423   553 0.69 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 48053at50557         -            417   6.4e-14   50.3   0.6   6   6       1.2        60    0.9   0.0   324   387   568   633   557   653 0.67 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 48053at50557         -            417   6.9e-14   50.2   2.9   1   7    0.0047      0.24    8.9   0.1   315   359    10    54     6    83 0.84 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 48053at50557         -            417   6.9e-14   50.2   2.9   2   7       8.4   4.3e+02   -1.9   0.0   281   307   178   204   171   219 0.81 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 48053at50557         -            417   6.9e-14   50.2   2.9   3   7   0.00019    0.0098   13.4   0.0   304   354   251   299   241   304 0.86 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 48053at50557         -            417   6.9e-14   50.2   2.9   4   7   5.9e-06    0.0003   18.4   0.0   315   416   304   417   297   418 0.73 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 48053at50557         -            417   6.9e-14   50.2   2.9   5   7      0.01      0.51    7.8   0.0   186   257   351   429   347   438 0.82 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 48053at50557         -            417   6.9e-14   50.2   2.9   6   7       1.4        73    0.7   0.0   276   311   492   527   481   537 0.78 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+      -            793 48053at50557         -            417   6.9e-14   50.2   2.9   7   7       4.9   2.5e+02   -1.1   0.0   302   324   759   781   751   786 0.82 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 48053at50557         -            417   7.6e-14   50.0   2.7   1   7     0.004       0.2    9.1   0.0   314   359    69   114    50   143 0.85 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 48053at50557         -            417   7.6e-14   50.0   2.7   2   7       7.7   3.9e+02   -1.7   0.0   281   308   238   265   233   307 0.82 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 48053at50557         -            417   7.6e-14   50.0   2.7   3   7   0.00022     0.011   13.3   0.0   304   354   311   359   302   364 0.86 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 48053at50557         -            417   7.6e-14   50.0   2.7   4   7   6.5e-06   0.00033   18.3   0.0   315   416   364   477   357   478 0.72 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 48053at50557         -            417   7.6e-14   50.0   2.7   5   7      0.01      0.52    7.7   0.0   186   257   411   489   407   502 0.82 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 48053at50557         -            417   7.6e-14   50.0   2.7   6   7       1.6        80    0.5   0.0   276   311   552   587   541   597 0.78 -
13625at50557_103372_0:00203b|STRG.1917.1:2-2560|+      -            853 48053at50557         -            417   7.6e-14   50.0   2.7   7   7       5.3   2.7e+02   -1.2   0.0   302   324   819   841   811   846 0.82 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 48053at50557         -            417   8.2e-14   49.9   3.9   1   4   6.6e-08   3.4e-06   24.8   0.2   195   252     2    61     1    70 0.90 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 48053at50557         -            417   8.2e-14   49.9   3.9   2   4       2.5   1.3e+02   -0.1   0.0   296   315    85   104    72   110 0.73 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 48053at50557         -            417   8.2e-14   49.9   3.9   3   4   7.4e-07   3.7e-05   21.4   0.0   186   254   116   186   109   189 0.89 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 48053at50557         -            417   8.2e-14   49.9   3.9   4   4    0.0043      0.22    9.0   0.0   185   252   155   224   154   234 0.86 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 48053at50557         -            417   4.6e-13   47.4   0.0   1   4   0.00064     0.032   11.7   0.0   197   253    73   134    44   149 0.62 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 48053at50557         -            417   4.6e-13   47.4   0.0   2   4   8.9e-10   4.5e-08   31.0   0.1   286   417   107   253   104   253 0.77 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 48053at50557         -            417   4.6e-13   47.4   0.0   3   4   5.7e-05    0.0029   15.2   0.0   297   346   202   258   199   268 0.77 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 48053at50557         -            417   4.6e-13   47.4   0.0   4   4     0.052       2.6    5.4   0.0   192   236   287   331   268   348 0.86 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+      -            287 48053at50557         -            417   9.8e-13   46.4   2.8   1   3     0.035       1.8    6.0   0.2   218   253    10    49     6    88 0.82 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+      -            287 48053at50557         -            417   9.8e-13   46.4   2.8   2   3   1.6e-07   8.2e-06   23.6   0.0   287   351   113   183   100   189 0.81 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+      -            287 48053at50557         -            417   9.8e-13   46.4   2.8   3   3   8.6e-05    0.0043   14.6   0.0   286   348   195   266   189   286 0.78 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 48053at50557         -            417   1.1e-12   46.2   0.1   1   3   1.3e-09   6.5e-08   30.5   0.0   284   416   125   277   113   278 0.76 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 48053at50557         -            417   1.1e-12   46.2   0.1   2   3     0.023       1.2    6.6   0.0   193   255   337   404   333   423 0.73 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+      -            481 48053at50557         -            417   1.1e-12   46.2   0.1   3   3     0.043       2.2    5.7   0.0   290   342   421   480   410   481 0.72 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+     -            268 48053at50557         -            417   1.1e-12   46.2   0.1   1   3    0.0006      0.03   11.8   0.0   194   247    43   100    14   104 0.90 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+     -            268 48053at50557         -            417   1.1e-12   46.2   0.1   2   3    0.0041      0.21    9.0   0.0   196   248    87   145    87   150 0.72 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+     -            268 48053at50557         -            417   1.1e-12   46.2   0.1   3   3   1.1e-07   5.8e-06   24.1   0.0   193   247   172   230   157   237 0.90 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 48053at50557         -            417   7.3e-12   43.5   0.1   1   3   1.4e-05    0.0007   17.2   0.0   196   247    23    78     6    82 0.87 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 48053at50557         -            417   7.3e-12   43.5   0.1   2   3   0.00051     0.026   12.0   0.0   212   250    81   122    78   131 0.79 -
14512at50557_29053_0:0002b6|STRG.15815.1:12-722|+      -            237 48053at50557         -            417   7.3e-12   43.5   0.1   3   3     0.001     0.052   11.0   0.0   196   247   179   236   174   237 0.78 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+      -            285 48053at50557         -            417   2.2e-11   41.9   0.3   1   3      0.17       8.4    3.8   0.0   310   343     4    37     1    64 0.79 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+      -            285 48053at50557         -            417   2.2e-11   41.9   0.3   2   3   9.6e-05    0.0049   14.4   0.1   294   373    68   155    56   166 0.80 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+      -            285 48053at50557         -            417   2.2e-11   41.9   0.3   3   3   1.3e-06   6.4e-05   20.6   0.0   319   381   182   246   173   282 0.72 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 48053at50557         -            417   2.5e-11   41.7   0.1   1   3      0.18       9.1    3.6   0.0   315   409     7   112     3   120 0.69 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 48053at50557         -            417   2.5e-11   41.7   0.1   2   3   1.2e-09     6e-08   30.6   0.0   268   349   118   212   106   235 0.72 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 48053at50557         -            417   2.5e-11   41.7   0.1   3   3     0.061       3.1    5.2   0.0   179   246   217   290   212   290 0.72 -
49370at50557_1155016_0:000d9f|STRG.13802.2:14-331|+    -            106 48053at50557         -            417   3.8e-11   41.1   0.0   1   1   8.6e-13   4.4e-11   40.9   0.0   286   379     2   104     1   106 0.87 -
80377at50557_39758_0:001a6c|STRG.989.1:599-1360|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   1   3     0.019      0.94    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.989.1:599-1360|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   2   3   2.8e-08   1.4e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.989.1:599-1360|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   3   3     0.019      0.96    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.989.2:1048-1809|+     -            254 48053at50557         -            417   3.9e-11   41.1   0.3   1   3     0.019      0.94    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.989.2:1048-1809|+     -            254 48053at50557         -            417   3.9e-11   41.1   0.3   2   3   2.8e-08   1.4e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.989.2:1048-1809|+     -            254 48053at50557         -            417   3.9e-11   41.1   0.3   3   3     0.019      0.96    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.989.3:931-1692|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   1   3     0.019      0.94    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.989.3:931-1692|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   2   3   2.8e-08   1.4e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.989.3:931-1692|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   3   3     0.019      0.96    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.989.4:856-1617|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   1   3     0.019      0.94    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.989.4:856-1617|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   2   3   2.8e-08   1.4e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.989.4:856-1617|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   3   3     0.019      0.96    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.989.5:823-1584|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   1   3     0.019      0.94    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.989.5:823-1584|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   2   3   2.8e-08   1.4e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.989.5:823-1584|+      -            254 48053at50557         -            417   3.9e-11   41.1   0.3   3   3     0.019      0.96    6.9   0.0   164   209   206   253   202   254 0.80 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 48053at50557         -            417     5e-11   40.7   0.0   1   5       3.6   1.8e+02   -0.7   0.0   218   252    36    74    16    91 0.77 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 48053at50557         -            417     5e-11   40.7   0.0   2   5       7.9     4e+02   -1.8   0.0   280   317    84   121    70   138 0.71 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 48053at50557         -            417     5e-11   40.7   0.0   3   5    0.0051      0.26    8.7   0.0   187   249   135   203   113   208 0.77 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 48053at50557         -            417     5e-11   40.7   0.0   4   5   2.9e-05    0.0015   16.1   0.0   292   373   186   271   183   273 0.73 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 48053at50557         -            417     5e-11   40.7   0.0   5   5   0.00011    0.0053   14.3   0.0   185   246   261   328   254   329 0.80 -
76755at50557_64793_0:0021c2|STRG.1353.1:0-959|+        -            320 48053at50557         -            417   6.1e-11   40.4   0.7   1   3      0.52        26    2.1   0.0   290   309    10    29     2    73 0.59 -
76755at50557_64793_0:0021c2|STRG.1353.1:0-959|+        -            320 48053at50557         -            417   6.1e-11   40.4   0.7   2   3     5e-09   2.5e-07   28.5   0.0   278   380    83   195    77   199 0.80 -
76755at50557_64793_0:0021c2|STRG.1353.1:0-959|+        -            320 48053at50557         -            417   6.1e-11   40.4   0.7   3   3      0.13       6.5    4.1   0.0   189   233   270   314   259   319 0.84 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 48053at50557         -            417   6.6e-11   40.3   2.3   1   3       1.1        56    1.1   0.0   283   376     6   107     4   143 0.68 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 48053at50557         -            417   6.6e-11   40.3   2.3   2   3   1.1e-06   5.5e-05   20.8   0.0   186   254   181   255   170   274 0.85 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 48053at50557         -            417   6.6e-11   40.3   2.3   3   3   4.6e-05    0.0023   15.5   0.8   175   256   337   422   334   436 0.83 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 48053at50557         -            417   6.6e-11   40.3   2.3   1   3       1.1        56    1.1   0.0   283   376     6   107     4   143 0.68 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 48053at50557         -            417   6.6e-11   40.3   2.3   2   3   1.1e-06   5.5e-05   20.8   0.0   186   254   181   255   170   274 0.85 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 48053at50557         -            417   6.6e-11   40.3   2.3   3   3   4.6e-05    0.0023   15.5   0.8   175   256   337   422   334   436 0.83 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 48053at50557         -            417   6.6e-11   40.3   2.3   1   3       1.1        56    1.1   0.0   283   376     6   107     4   143 0.68 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 48053at50557         -            417   6.6e-11   40.3   2.3   2   3   1.1e-06   5.5e-05   20.8   0.0   186   254   181   255   170   274 0.85 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 48053at50557         -            417   6.6e-11   40.3   2.3   3   3   4.6e-05    0.0023   15.5   0.8   175   256   337   422   334   436 0.83 -
80377at50557_123851_0:001311|STRG.4993.1:456-1250|+    -            265 48053at50557         -            417   2.2e-10   38.6   0.1   1   3      0.19       9.7    3.5   0.0   317   345     8    36     2    42 0.67 -
80377at50557_123851_0:001311|STRG.4993.1:456-1250|+    -            265 48053at50557         -            417   2.2e-10   38.6   0.1   2   3     0.079         4    4.8   0.0   282   321    68   107    57   112 0.87 -
80377at50557_123851_0:001311|STRG.4993.1:456-1250|+    -            265 48053at50557         -            417   2.2e-10   38.6   0.1   3   3   1.2e-08   6.2e-07   27.3   0.1   247   344   110   228   102   236 0.76 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+  -            515 48053at50557         -            417   2.7e-10   38.3   0.2   1   1   1.1e-11   5.6e-10   37.3   0.2   292   416   326   465   271   466 0.79 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+   -            515 48053at50557         -            417   2.7e-10   38.3   0.2   1   1   1.1e-11   5.6e-10   37.3   0.2   292   416   326   465   271   466 0.79 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 48053at50557         -            417   3.8e-10   37.8   0.4   1   5         4     2e+02   -0.8   0.0   195   236    12    53     7    69 0.83 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 48053at50557         -            417   3.8e-10   37.8   0.4   2   5    0.0018      0.09   10.3   0.0   296   347    57   114    43   123 0.73 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 48053at50557         -            417   3.8e-10   37.8   0.4   3   5   4.1e-07   2.1e-05   22.2   0.0   286   348   130   201   124   208 0.79 -
