#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106025at50557_103372_0:001869|STRG.14319.1:0-647|+   -            216 106025at50557        -            190    2e-114  378.5   0.3   1   1  5.8e-117  2.3e-114  378.3   0.3     1   190    21   216    21   216 0.96 -
11128at50557_411798_0:002d1b|STRG.12868.6:0-3323|+   -           1108 106025at50557        -            190      0.87    7.9   6.3   1   2      0.11        44    2.4   1.2   109   137   524   552   501   561 0.87 -
11128at50557_411798_0:002d1b|STRG.12868.6:0-3323|+   -           1108 106025at50557        -            190      0.87    7.9   6.3   2   2    0.0034       1.4    7.3   0.3   103   145   884   926   874   932 0.89 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/106025at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/106025at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/106025at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:32:43 2024
# [ok]
