#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
40442at50557_103372_0:0005ec|STRG.5879.1:0-1505|+      -            502 40442at50557         -            389  1.2e-167  556.1   4.0   1   1  4.3e-169  3.8e-167  554.5   4.0     1   388    39   500    39   501 0.88 -
116554at50557_29031_0:00078e|STRG.11893.1:348-1889|+   -            514 40442at50557         -            389   5.4e-09   33.9   0.4   1   1     9e-11   7.9e-09   33.3   0.4    57   215     8   177     2   183 0.79 -
68878at50557_29031_0:000dd0|STRG.12799.2:1090-1416|+   -            109 40442at50557         -            389   6.9e-09   33.5   0.1   1   1   8.7e-11   7.6e-09   33.4   0.1     8    97     9    98     3   108 0.81 -
70122at50557_197043_0:006b82|STRG.4040.1:89-557|+      -            114 40442at50557         -            389   1.7e-08   32.3   0.0   1   1   2.3e-10     2e-08   32.0   0.0     5   104    15   113     5   114 0.84 -
70122at50557_197043_0:006b82|STRG.14022.1:757-1116|+   -            120 40442at50557         -            389   2.6e-08   31.7   0.2   1   1   3.4e-10     3e-08   31.5   0.2     7   106    14   115     8   119 0.78 -
70122at50557_197043_0:006b82|STRG.14022.4:51-410|+     -            120 40442at50557         -            389   2.6e-08   31.7   0.2   1   1   3.4e-10     3e-08   31.5   0.2     7   106    14   115     8   119 0.78 -
70122at50557_197043_0:006b82|STRG.3075.1:515-841|+     -            109 40442at50557         -            389   7.4e-08   30.1   0.0   1   1     9e-10   7.9e-08   30.1   0.0     7    97    11   102     5   109 0.80 -
70122at50557_197043_0:006b82|STRG.3075.3:182-718|+     -            109 40442at50557         -            389   1.2e-07   29.4   0.0   1   1   1.5e-09   1.3e-07   29.3   0.0     7    93    11    95     5   109 0.81 -
68878at50557_29031_0:000dd0|STRG.14025.10:192-530|+    -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.11:192-530|+    -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.13:192-530|+    -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.14:1269-1607|+  -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.15:1269-1607|+  -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.16:1269-1607|+  -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.17:2053-2391|+  -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.18:582-920|+    -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.19:582-920|+    -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.1:232-570|+     -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.20:12-350|+     -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.2:232-570|+     -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.3:232-570|+     -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.4:232-570|+     -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.5:232-570|+     -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.6:232-570|+     -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.7:192-530|+     -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.8:192-530|+     -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
68878at50557_29031_0:000dd0|STRG.14025.9:192-530|+     -            113 40442at50557         -            389   1.5e-07   29.1   0.1   1   1     2e-09   1.7e-07   28.9   0.1     4   103    11   111     8   113 0.79 -
70122at50557_197043_0:006b82|STRG.17440.1:469-840|+    -            124 40442at50557         -            389   7.9e-07   26.8   0.0   1   1   9.7e-09   8.5e-07   26.7   0.0     7    94    14    99     9   118 0.77 -
70122at50557_197043_0:006b82|STRG.17440.2:752-1123|+   -            124 40442at50557         -            389   7.9e-07   26.8   0.0   1   1   9.7e-09   8.5e-07   26.7   0.0     7    94    14    99     9   118 0.77 -
70122at50557_56086_0:00188d|STRG.5322.1:411-767|+      -            119 40442at50557         -            389     8e-07   26.8   0.0   1   1     1e-08   8.8e-07   26.6   0.0     5   103    12   112     8   117 0.81 -
70122at50557_56086_0:00188d|STRG.5322.4:372-728|+      -            119 40442at50557         -            389     8e-07   26.8   0.0   1   1     1e-08   8.8e-07   26.6   0.0     5   103    12   112     8   117 0.81 -
70122at50557_197043_0:006b82|STRG.5322.2:9-356|+       -            116 40442at50557         -            389   8.2e-07   26.7   0.0   1   1   9.8e-09   8.6e-07   26.6   0.0     5   103    12   112     8   116 0.81 -
68878at50557_29031_0:000dd0|STRG.4212.1:1045-1404|+    -            120 40442at50557         -            389   8.9e-07   26.6   0.0   1   1   1.2e-08   1.1e-06   26.3   0.0     9   106    16   114     8   119 0.80 -
68878at50557_29031_0:000dd0|STRG.4212.2:1045-1404|+    -            120 40442at50557         -            389   8.9e-07   26.6   0.0   1   1   1.2e-08   1.1e-06   26.3   0.0     9   106    16   114     8   119 0.80 -
68878at50557_29031_0:000dd0|STRG.4212.5:1045-1404|+    -            120 40442at50557         -            389   8.9e-07   26.6   0.0   1   1   1.2e-08   1.1e-06   26.3   0.0     9   106    16   114     8   119 0.80 -
70122at50557_69820_0:0007b8|STRG.3075.2:182-1303|+     -            374 40442at50557         -            389     1e-06   26.4   0.0   1   1   1.6e-08   1.4e-06   25.9   0.0     7   100    11   105     5   120 0.82 -
68878at50557_535359_0:002063|STRG.14025.12:1269-2555|+ -            429 40442at50557         -            389   1.9e-06   25.5   0.0   1   1     3e-08   2.6e-06   25.0   0.0     4   105    11   113     8   122 0.81 -
70122at50557_456900_0:000ad6|STRG.19097.2:2672-3946|+  -            425 40442at50557         -            389   2.3e-06   25.2   0.0   1   1   3.7e-08   3.2e-06   24.8   0.0     5   104    16   116    12   135 0.81 -
70122at50557_411798_0:0024d5|STRG.19097.3:1272-2525|+  -            418 40442at50557         -            389   2.3e-06   25.2   0.0   1   1   3.5e-08   3.1e-06   24.8   0.0     5   104    16   116    12   135 0.81 -
70122at50557_411798_0:0024d5|STRG.19097.1:1420-2781|+  -            454 40442at50557         -            389   2.7e-06   25.0   0.0   1   1   4.1e-08   3.6e-06   24.6   0.0     5   104    16   116    12   135 0.81 -
70122at50557_411798_0:0024d5|STRG.19097.4:780-2141|+   -            454 40442at50557         -            389   2.7e-06   25.0   0.0   1   1   4.1e-08   3.6e-06   24.6   0.0     5   104    16   116    12   135 0.81 -
68878at50557_121845_0:001d53|STRG.4494.1:439-753|-     -            105 40442at50557         -            389   3.4e-06   24.7   0.1   1   1   4.5e-08     4e-06   24.5   0.1     8    88    18    96    11   103 0.85 -
116554at50557_29031_0:00078e|STRG.12799.1:533-1999|+   -            489 40442at50557         -            389   3.4e-06   24.7   0.4   1   1   5.1e-08   4.5e-06   24.3   0.4    53   229     3   194     1   213 0.75 -
68878at50557_307491_0:0030a6|STRG.9818.1:202-1233|+    -            344 40442at50557         -            389   3.5e-06   24.6   0.0   1   1   5.2e-08   4.6e-06   24.3   0.0     9   109    16   117     8   123 0.80 -
70122at50557_286706_0:000bf4|STRG.10736.1:27-1079|+    -            351 40442at50557         -            389   4.1e-06   24.4   0.0   1   1   5.9e-08   5.2e-06   24.1   0.0     4   106    14   117    11   131 0.83 -
70122at50557_56086_0:00188d|STRG.14628.1:278-631|+     -            118 40442at50557         -            389   4.5e-06   24.3   0.1   1   1   6.1e-08   5.4e-06   24.0   0.1    11   104    21   115    14   117 0.81 -
70122at50557_34740_0:00443e|STRG.10736.3:651-1796|+    -            382 40442at50557         -            389   4.6e-06   24.3   0.0   1   1   6.9e-08   6.1e-06   23.8   0.0     4   106    11   114     8   128 0.83 -
70122at50557_7130_0:001fba|STRG.10736.2:651-1898|+     -            416 40442at50557         -            389   5.5e-06   24.0   0.0   1   1   8.1e-08   7.1e-06   23.6   0.0     4   106    11   114     8   128 0.83 -
68878at50557_29031_0:000dd0|STRG.2157.1:862-1194|+     -            111 40442at50557         -            389   5.6e-06   24.0   0.0   1   1   7.4e-08   6.5e-06   23.8   0.0    16    90    19    97     9   107 0.77 -
68878at50557_29031_0:000dd0|STRG.2157.2:862-1194|+     -            111 40442at50557         -            389   5.6e-06   24.0   0.0   1   1   7.4e-08   6.5e-06   23.8   0.0    16    90    19    97     9   107 0.77 -
70122at50557_56086_0:00188d|STRG.1690.3:389-709|+      -            107 40442at50557         -            389   5.8e-06   23.9   0.3   1   1   7.1e-08   6.2e-06   23.8   0.3     9    96    12    97     6   107 0.81 -
68878at50557_29031_0:000dd0|STRG.13149.1:220-543|+     -            108 40442at50557         -            389   7.4e-06   23.6   0.0   1   1     1e-07   8.9e-06   23.3   0.0     9    95     7    94     2   107 0.75 -
68878at50557_286306_0:000f1f|STRG.1142.1:200-1993|+    -            598 40442at50557         -            389   9.2e-06   23.2   0.0   1   1   1.7e-07   1.5e-05   22.6   0.0     4   107    94   198    91   204 0.81 -
68878at50557_29031_0:000dd0|STRG.3970.1:78-437|+       -            120 40442at50557         -            389     1e-05   23.1   0.0   1   1   1.3e-07   1.1e-05   23.0   0.0     4   105    14   117    11   120 0.78 -
70122at50557_197043_0:006b82|STRG.20107.1:173-508|+    -            112 40442at50557         -            389   1.1e-05   23.1   0.0   1   1   1.2e-07   1.1e-05   23.0   0.0     7    91    14    96     8   112 0.80 -
70122at50557_197043_0:006b82|STRG.20107.2:15-350|+     -            112 40442at50557         -            389   1.1e-05   23.1   0.0   1   1   1.2e-07   1.1e-05   23.0   0.0     7    91    14    96     8   112 0.80 -
70122at50557_197043_0:006b82|STRG.20107.3:173-508|+    -            112 40442at50557         -            389   1.1e-05   23.1   0.0   1   1   1.2e-07   1.1e-05   23.0   0.0     7    91    14    96     8   112 0.80 -
68878at50557_121845_0:001d53|STRG.18608.1:350-691|+    -            114 40442at50557         -            389   1.3e-05   22.8   0.1   1   1   1.6e-07   1.4e-05   22.7   0.1    16    90    26    98    18   114 0.80 -
68878at50557_121845_0:001d53|STRG.18608.2:12-353|+     -            114 40442at50557         -            389   1.3e-05   22.8   0.1   1   1   1.6e-07   1.4e-05   22.7   0.1    16    90    26    98    18   114 0.80 -
70122at50557_286706_0:000bf4|STRG.14628.3:0-1278|+     -            398 40442at50557         -            389   3.6e-05   21.3   0.1   1   1   5.8e-07   5.1e-05   20.8   0.1    11   106    21   117    15   132 0.81 -
70122at50557_286706_0:000bf4|STRG.14628.2:266-1531|+   -            422 40442at50557         -            389     4e-05   21.1   0.1   1   1   6.4e-07   5.6e-05   20.7   0.1    11   106    25   121    19   136 0.81 -
70122at50557_56086_0:00188d|STRG.5322.3:432-885|+      -            114 40442at50557         -            389   4.8e-05   20.9   0.0   1   1   7.4e-07   6.5e-05   20.5   0.0     5   100    12   104     8   112 0.72 -
68878at50557_121845_0:001d53|STRG.6256.1:19-240|+      -             74 40442at50557         -            389     5e-05   20.8   0.0   1   1     6e-07   5.3e-05   20.8   0.0    35   101     1    71     1    74 0.85 -
116554at50557_29031_0:00078e|STRG.6503.1:75-1550|+     -            492 40442at50557         -            389   6.1e-05   20.6   0.1   1   1   8.8e-07   7.7e-05   20.2   0.1    54   213     5   175     1   212 0.77 -
70122at50557_56086_0:00188d|STRG.18720.1:439-789|+     -            117 40442at50557         -            389   0.00014   19.4   0.1   1   1   1.6e-06   0.00014   19.3   0.1    12   100    22   108    11   117 0.83 -
70122at50557_56086_0:00188d|STRG.18720.2:163-513|+     -            117 40442at50557         -            389   0.00014   19.4   0.1   1   1   1.6e-06   0.00014   19.3   0.1    12   100    22   108    11   117 0.83 -
70122at50557_56086_0:00188d|STRG.18720.3:45-395|+      -            117 40442at50557         -            389   0.00014   19.4   0.1   1   1   1.6e-06   0.00014   19.3   0.1    12   100    22   108    11   117 0.83 -
70122at50557_13686_0:000d36|STRG.11056.1:637-1221|+    -            195 40442at50557         -            389   0.00019   18.9   0.0   1   2   1.2e-05     0.001   16.5   0.0    14    84     1    73     1    81 0.80 -
70122at50557_13686_0:000d36|STRG.11056.1:637-1221|+    -            195 40442at50557         -            389   0.00019   18.9   0.0   2   2       1.5   1.3e+02   -0.3   0.0    31    52   141   162   138   176 0.81 -
70122at50557_13686_0:000d36|STRG.11056.2:655-1239|+    -            195 40442at50557         -            389   0.00019   18.9   0.0   1   2   1.2e-05     0.001   16.5   0.0    14    84     1    73     1    81 0.80 -
70122at50557_13686_0:000d36|STRG.11056.2:655-1239|+    -            195 40442at50557         -            389   0.00019   18.9   0.0   2   2       1.5   1.3e+02   -0.3   0.0    31    52   141   162   138   176 0.81 -
70122at50557_13686_0:000d36|STRG.11056.3:637-1221|+    -            195 40442at50557         -            389   0.00019   18.9   0.0   1   2   1.2e-05     0.001   16.5   0.0    14    84     1    73     1    81 0.80 -
70122at50557_13686_0:000d36|STRG.11056.3:637-1221|+    -            195 40442at50557         -            389   0.00019   18.9   0.0   2   2       1.5   1.3e+02   -0.3   0.0    31    52   141   162   138   176 0.81 -
70122at50557_56086_0:00188d|STRG.17613.1:629-976|+     -            116 40442at50557         -            389    0.0018   15.7   0.1   1   1   2.1e-05    0.0018   15.7   0.1     8    86    19    95    12   116 0.70 -
70122at50557_56086_0:00188d|STRG.17613.3:629-976|+     -            116 40442at50557         -            389    0.0018   15.7   0.1   1   1   2.1e-05    0.0018   15.7   0.1     8    86    19    95    12   116 0.70 -
70122at50557_56086_0:00188d|STRG.17613.4:779-1126|+    -            116 40442at50557         -            389    0.0018   15.7   0.1   1   1   2.1e-05    0.0018   15.7   0.1     8    86    19    95    12   116 0.70 -
70122at50557_197043_0:006b82|STRG.18970.1:1641-1964|+  -            108 40442at50557         -            389    0.0031   14.9   0.0   1   1   3.8e-05    0.0033   14.8   0.0    14   100    18   105     8   108 0.69 -
70122at50557_197043_0:006b82|STRG.18970.2:648-971|+    -            108 40442at50557         -            389    0.0031   14.9   0.0   1   1   3.8e-05    0.0033   14.8   0.0    14   100    18   105     8   108 0.69 -
70122at50557_7536_0:0046b6|STRG.17613.2:629-1795|+     -            389 40442at50557         -            389     0.017   12.5   0.0   1   1   0.00026     0.023   12.1   0.0     9    51    20    62    12   118 0.70 -
39871at50557_103372_0:000e6e|STRG.7314.1:3319-4776|+   -            486 40442at50557         -            389     0.022   12.1   0.0   1   1   0.00036     0.032   11.6   0.0    13    92    25   102    16   116 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/40442at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/40442at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/40442at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:34:50 2024
# [ok]
