#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76755at50557_64793_0:0021c2|STRG.1353.1:0-959|+         -            320 76755at50557         -            264  2.8e-137  455.2   2.4   1   1  1.3e-138  4.1e-137  454.7   2.4     1   264    13   314    13   314 0.93 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+       -            523 76755at50557         -            264     3e-22   78.1   0.1   1   2    0.0084      0.27    9.4   0.0   184   212   230   258   220   276 0.72 -
49370at50557_456900_0:00265d|STRG.7846.2:0-1568|+       -            523 76755at50557         -            264     3e-22   78.1   0.1   2   2   1.1e-17   3.5e-16   58.2   0.1     2   205   295   520   294   521 0.75 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+       -            481 76755at50557         -            264   3.9e-22   77.7   5.2   1   4   3.4e-08   1.1e-06   27.1   0.1   173   262   115   213   109   215 0.81 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+       -            481 76755at50557         -            264   3.9e-22   77.7   5.2   2   4     0.042       1.4    7.1   0.3   227   260   222   258   207   262 0.65 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+       -            481 76755at50557         -            264   3.9e-22   77.7   5.2   3   4     0.097       3.1    5.9   0.0     4    34   268   302   264   311 0.75 -
40115at50557_103372_0:0021d6|STRG.4708.1:0-1442|+       -            481 76755at50557         -            264   3.9e-22   77.7   5.2   4   4   3.5e-11   1.1e-09   36.9   0.2   170   260   360   458   340   462 0.81 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+       -            287 76755at50557         -            264   4.2e-22   77.6   0.1   1   3   3.5e-05    0.0011   17.2   0.0   171   258     8    99     4   104 0.80 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+       -            287 76755at50557         -            264   4.2e-22   77.6   0.1   2   3   1.3e-13   4.1e-12   44.9   0.0    35   135   115   222   108   232 0.88 -
43553at50557_79782_0:002ee3|STRG.2473.1:132-992|+       -            287 76755at50557         -            264   4.2e-22   77.6   0.1   3   3    0.0014     0.046   11.9   0.0    68    98   236   266   229   285 0.83 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 76755at50557         -            264   1.2e-21   76.1   0.0   1   6   5.1e-05    0.0017   16.7   0.0    76   210    30   179    22   188 0.68 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 76755at50557         -            264   1.2e-21   76.1   0.0   2   6       0.2       6.4    4.9   0.0    45   128   127   216   104   217 0.69 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 76755at50557         -            264   1.2e-21   76.1   0.0   3   6   5.8e-07   1.9e-05   23.0   0.0   175   247   186   265   179   274 0.85 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 76755at50557         -            264   1.2e-21   76.1   0.0   4   6    0.0042      0.14   10.4   0.0   100   138   318   356   312   365 0.91 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 76755at50557         -            264   1.2e-21   76.1   0.0   5   6   0.00011    0.0036   15.6   0.3    71   246   367   558   363   568 0.61 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+      -            602 76755at50557         -            264   1.2e-21   76.1   0.0   6   6     0.028      0.91    7.7   0.5   101   170   527   600   523   602 0.64 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   1   4   0.00091      0.03   12.6   0.0   190   261    14    92     5    95 0.79 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   2   4     0.093         3    6.0   0.0    98   152    82   137    78   159 0.83 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   3   4   8.2e-14   2.7e-12   45.5   0.0    27   246   180   416   169   419 0.75 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   4   4   5.4e-07   1.8e-05   23.1   0.1    74   208   310   457   304   457 0.80 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   1   4   0.00091      0.03   12.6   0.0   190   261    14    92     5    95 0.79 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   2   4     0.093         3    6.0   0.0    98   152    82   137    78   159 0.83 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   3   4   8.2e-14   2.7e-12   45.5   0.0    27   246   180   416   169   419 0.75 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   4   4   5.4e-07   1.8e-05   23.1   0.1    74   208   310   457   304   457 0.80 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   1   4   0.00091      0.03   12.6   0.0   190   261    14    92     5    95 0.79 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   2   4     0.093         3    6.0   0.0    98   152    82   137    78   159 0.83 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   3   4   8.2e-14   2.7e-12   45.5   0.0    27   246   180   416   169   419 0.75 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+   -            457 76755at50557         -            264   1.5e-20   72.5   0.0   4   4   5.4e-07   1.8e-05   23.1   0.1    74   208   310   457   304   457 0.80 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+       -            652 76755at50557         -            264   2.7e-20   71.7   0.3   1   4      0.72        24    3.1   0.0   219   244   327   352   317   359 0.61 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+       -            652 76755at50557         -            264   2.7e-20   71.7   0.3   2   4   1.7e-09   5.6e-08   31.3   0.1   174   262   392   488   386   490 0.81 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+       -            652 76755at50557         -            264   2.7e-20   71.7   0.3   3   4   5.6e-05    0.0018   16.5   0.0   222   263   487   531   481   532 0.85 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+       -            652 76755at50557         -            264   2.7e-20   71.7   0.3   4   4   2.7e-09   8.7e-08   30.7   0.0     2    95   495   595   494   614 0.85 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+     -            346 76755at50557         -            264   4.2e-20   71.1   3.3   1   4   1.4e-05   0.00045   18.5   0.0   172   218     6    52     3    64 0.90 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+     -            346 76755at50557         -            264   4.2e-20   71.1   3.3   2   4     0.036       1.2    7.3   0.0    64    92    67    95    58   115 0.77 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+     -            346 76755at50557         -            264   4.2e-20   71.1   3.3   3   4   2.8e-07     9e-06   24.1   0.3     4    97   125   224   122   242 0.79 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+     -            346 76755at50557         -            264   4.2e-20   71.1   3.3   4   4   3.8e-05    0.0012   17.1   0.0     2    52   257   312   256   324 0.69 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+     -            305 76755at50557         -            264   1.5e-19   69.2   0.1   1   2   6.5e-07   2.1e-05   22.9   0.0   173   261    17   115    10   117 0.77 -
80377at50557_77166_0:002f29|STRG.10610.1:593-1507|+     -            305 76755at50557         -            264   1.5e-19   69.2   0.1   2   2     2e-13   6.4e-12   44.2   0.0     2   153   123   289   122   302 0.80 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+       -            434 76755at50557         -            264   1.4e-18   66.1   1.4   1   3   1.7e-10   5.4e-09   34.6   0.0    31   139   130   246   118   259 0.77 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+       -            434 76755at50557         -            264   1.4e-18   66.1   1.4   2   3   3.3e-05    0.0011   17.3   0.0   191   262   221   300   218   302 0.60 -
57752at50557_103372_0:000c5a|STRG.2670.1:0-1301|+       -            434 76755at50557         -            264   1.4e-18   66.1   1.4   3   3   3.7e-07   1.2e-05   23.7   0.7    79   216   265   420   258   434 0.76 -
13553at50557_34720_0:0020c1|STRG.5928.1:0-2663|+        -            888 76755at50557         -            264   2.5e-18   65.2   0.1   1   4       2.5        82    1.3   0.1   204   258    45   103    19   109 0.63 -
13553at50557_34720_0:0020c1|STRG.5928.1:0-2663|+        -            888 76755at50557         -            264   2.5e-18   65.2   0.1   2   4    0.0084      0.27    9.4   0.0    80   132   113   173   108   178 0.74 -
13553at50557_34720_0:0020c1|STRG.5928.1:0-2663|+        -            888 76755at50557         -            264   2.5e-18   65.2   0.1   3   4   1.5e-05    0.0005   18.4   0.0    82   244   160   346   160   354 0.72 -
13553at50557_34720_0:0020c1|STRG.5928.1:0-2663|+        -            888 76755at50557         -            264   2.5e-18   65.2   0.1   4   4   5.8e-10   1.9e-08   32.9   0.0     2   129   493   635   486   663 0.72 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+       -            349 76755at50557         -            264     4e-18   64.6   0.0   1   3   2.2e-06   7.3e-05   21.1   0.0    28    99    60   135    27   149 0.85 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+       -            349 76755at50557         -            264     4e-18   64.6   0.0   2   3   4.4e-09   1.4e-07   30.0   0.0     2    94   158   256   157   271 0.85 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+       -            349 76755at50557         -            264     4e-18   64.6   0.0   3   3    0.0057      0.19    9.9   0.0   178   241   276   344   264   349 0.49 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+   -            515 76755at50557         -            264   4.7e-18   64.4   0.7   1   3   1.3e-06   4.2e-05   21.9   0.0   174   262   267   363   197   364 0.78 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+   -            515 76755at50557         -            264   4.7e-18   64.4   0.7   2   3     8e-10   2.6e-08   32.4   0.0   183   258   360   443   346   446 0.83 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+   -            515 76755at50557         -            264   4.7e-18   64.4   0.7   3   3    0.0045      0.15   10.3   0.0   215   245   439   469   434   482 0.78 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+    -            515 76755at50557         -            264   4.7e-18   64.4   0.7   1   3   1.3e-06   4.2e-05   21.9   0.0   174   262   267   363   197   364 0.78 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+    -            515 76755at50557         -            264   4.7e-18   64.4   0.7   2   3     8e-10   2.6e-08   32.4   0.0   183   258   360   443   346   446 0.83 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+    -            515 76755at50557         -            264   4.7e-18   64.4   0.7   3   3    0.0045      0.15   10.3   0.0   215   245   439   469   434   482 0.78 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+     -            534 76755at50557         -            264   5.1e-18   64.2   0.1   1   2   1.5e-15   4.7e-14   51.2   0.2    75   245    21   207     7   216 0.80 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+     -            534 76755at50557         -            264   5.1e-18   64.2   0.1   2   2     0.004      0.13   10.5   0.0     4    97   404   501   381   518 0.81 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+      -            534 76755at50557         -            264   5.1e-18   64.2   0.1   1   2   1.5e-15   4.7e-14   51.2   0.2    75   245    21   207     7   216 0.80 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+      -            534 76755at50557         -            264   5.1e-18   64.2   0.1   2   2     0.004      0.13   10.5   0.0     4    97   404   501   381   518 0.81 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+    -            859 76755at50557         -            264   7.8e-18   63.6   0.0   1   2   4.4e-06   0.00014   20.1   0.0    66   151    20   111    10   114 0.77 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+    -            859 76755at50557         -            264   7.8e-18   63.6   0.0   2   2   6.6e-13   2.1e-11   42.5   0.0    28   133   106   219    95   236 0.84 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+    -            878 76755at50557         -            264   8.3e-18   63.6   0.0   1   2   4.4e-06   0.00014   20.1   0.0    66   151    20   111     9   114 0.77 -
14512at50557_103372_0:0005b9|STRG.17919.2:396-3029|+    -            878 76755at50557         -            264   8.3e-18   63.6   0.0   2   2   6.4e-13   2.1e-11   42.6   0.0    28   133   106   219    92   235 0.84 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+     -            329 76755at50557         -            264   1.7e-17   62.5   2.9   1   5      0.56        18    3.4   0.0   230   249     4    23     1    32 0.84 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+     -            329 76755at50557         -            264   1.7e-17   62.5   2.9   2   5     1e-09   3.4e-08   32.1   0.0   174   263    39   137    34   138 0.85 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+     -            329 76755at50557         -            264   1.7e-17   62.5   2.9   3   5   3.5e-06   0.00012   20.5   0.1   184   248    92   161    92   172 0.84 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+     -            329 76755at50557         -            264   1.7e-17   62.5   2.9   4   5       6.1     2e+02    0.0   0.0   230   244   207   221   194   238 0.62 -
49370at50557_79782_0:001886|STRG.5325.1:1802-2788|+     -            329 76755at50557         -            264   1.7e-17   62.5   2.9   5   5   1.8e-05   0.00057   18.2   0.0   170   246   245   327   234   329 0.82 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+     -            290 76755at50557         -            264   7.4e-17   60.4   1.0   1   3   5.3e-05    0.0017   16.6   0.1   104   209     9   124     2   131 0.78 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+     -            290 76755at50557         -            264   7.4e-17   60.4   1.0   2   3   1.3e-09   4.1e-08   31.8   0.0    36   137   105   213   103   222 0.89 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+     -            290 76755at50557         -            264   7.4e-17   60.4   1.0   3   3    0.0049      0.16   10.2   0.1    60    99   217   256   212   290 0.73 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+      -            281 76755at50557         -            264   1.1e-16   59.9   4.7   1   3   0.00038     0.012   13.8   0.3   186   263     6    90     1    93 0.81 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+      -            281 76755at50557         -            264   1.1e-16   59.9   4.7   2   3     3e-07   9.9e-06   24.0   0.1    80   149    97   173    91   174 0.79 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+      -            281 76755at50557         -            264   1.1e-16   59.9   4.7   3   3     2e-07   6.7e-06   24.5   0.0    63   146   166   256   158   265 0.81 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+     -            260 76755at50557         -            264   1.2e-16   59.7   1.2   1   2   1.8e-06   5.7e-05   21.5   0.2   192   263    20   104    12   106 0.73 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+     -            260 76755at50557         -            264   1.2e-16   59.7   1.2   2   2   4.4e-11   1.4e-09   36.5   0.1     2   134   110   255   109   260 0.80 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+  -            268 76755at50557         -            264   1.5e-16   59.4   1.3   1   3   6.8e-06   0.00022   19.5   0.8     3    96     4   100     2   103 0.69 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+  -            268 76755at50557         -            264   1.5e-16   59.4   1.3   2   3   1.7e-08   5.7e-07   28.0   0.1   181   264    73   163    63   163 0.73 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+  -            268 76755at50557         -            264   1.5e-16   59.4   1.3   3   3   8.8e-05    0.0028   15.9   0.0     3   131   167   221   164   236 0.54 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+      -            268 76755at50557         -            264   1.6e-16   59.4   0.8   1   3   2.8e-07   9.2e-06   24.1   0.3    44   129    10   100     3   105 0.84 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+      -            268 76755at50557         -            264   1.6e-16   59.4   0.8   2   3   1.4e-07   4.5e-06   25.1   0.1   171   262   108   210   101   211 0.80 -
57752at50557_69319_0:000ee5|STRG.16929.1:169-972|+      -            268 76755at50557         -            264   1.6e-16   59.4   0.8   3   3   0.00026    0.0085   14.3   0.0    55    93   193   231   189   266 0.88 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+        -            286 76755at50557         -            264     3e-16   58.5   1.3   1   3   6.9e-07   2.2e-05   22.8   0.0   175   264    50   147    46   147 0.80 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+        -            286 76755at50557         -            264     3e-16   58.5   1.3   2   3   1.2e-09   3.7e-08   31.9   0.2     3   131    69   207    67   220 0.76 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+        -            286 76755at50557         -            264     3e-16   58.5   1.3   3   3   0.00012    0.0039   15.5   0.0     2   125   152   284   151   286 0.80 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+       -            793 76755at50557         -            264   4.4e-16   57.9   0.2   1   4      0.13       4.4    5.5   0.8   183   213    14    44     2    87 0.64 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+       -            793 76755at50557         -            264   4.4e-16   57.9   0.2   2   4     1e-10   3.4e-09   35.3   0.2    67   251   141   339   127   348 0.78 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+       -            793 76755at50557         -            264   4.4e-16   57.9   0.2   3   4   1.5e-08     5e-07   28.2   0.0    60   208   257   421   254   432 0.76 -
13625at50557_103372_0:00203b|STRG.1917.2:0-2378|+       -            793 76755at50557         -            264   4.4e-16   57.9   0.2   4   4     0.024      0.77    7.9   0.0    29   135   350   467   345   475 0.67 -
80377at50557_39758_0:001a6c|STRG.989.1:599-1360|+       -            254 76755at50557         -            264   5.3e-16   57.6   0.2   1   2      0.05       1.6    6.9   0.0   103   132    18    47     9    59 0.81 -
80377at50557_39758_0:001a6c|STRG.989.1:599-1360|+       -            254 76755at50557         -            264   5.3e-16   57.6   0.2   2   2   3.8e-13   1.2e-11   43.3   0.3    28   206    63   253    51   254 0.76 -
80377at50557_39758_0:001a6c|STRG.989.2:1048-1809|+      -            254 76755at50557         -            264   5.3e-16   57.6   0.2   1   2      0.05       1.6    6.9   0.0   103   132    18    47     9    59 0.81 -
