#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17638at50557_411798_0:0012c9|STRG.12033.1:0-1872|+    -            621 17638at50557         -            824  7.9e-218  724.3   2.3   1   1  2.6e-220  1.2e-217  723.7   2.3   382   821     4   486     1   532 0.91 -
17638at50557_609295_0:001159|STRG.20089.1:1447-3297|+ -            617 17638at50557         -            824   8.4e-30  102.3   1.5   1   2   1.3e-05    0.0058   13.5   0.0     2   129     1   132     1   142 0.72 -
17638at50557_609295_0:001159|STRG.20089.1:1447-3297|+ -            617 17638at50557         -            824   8.4e-30  102.3   1.5   2   2   6.5e-28   2.9e-25   87.3   1.0   198   521   243   578   222   606 0.78 -
19653at50557_456900_0:000161|STRG.9906.1:1-3570|+     -           1190 17638at50557         -            824   1.4e-28   98.3  23.3   1   3   2.7e-15   1.2e-12   45.6   1.5   203   388   273   465   256   486 0.82 -
19653at50557_456900_0:000161|STRG.9906.1:1-3570|+     -           1190 17638at50557         -            824   1.4e-28   98.3  23.3   2   3     0.017       7.7    3.2   0.0   447   536   591   678   579   775 0.66 -
19653at50557_456900_0:000161|STRG.9906.1:1-3570|+     -           1190 17638at50557         -            824   1.4e-28   98.3  23.3   3   3   5.9e-18   2.6e-15   54.4  12.9   629   787   855  1024   834  1036 0.83 -
17638at50557_7370_0:001e0e|STRG.7867.1:234-1568|+     -            445 17638at50557         -            824   9.1e-27   92.3  10.5   1   2     8e-08   3.6e-05   20.8   0.1     7   134     2   115     1   131 0.89 -
17638at50557_7370_0:001e0e|STRG.7867.1:234-1568|+     -            445 17638at50557         -            824   9.1e-27   92.3  10.5   2   2   1.5e-23   6.9e-21   72.8   7.1   132   395   157   428   133   437 0.77 -
17638at50557_7370_0:001e0e|STRG.7867.2:234-1568|+     -            445 17638at50557         -            824   9.1e-27   92.3  10.5   1   2     8e-08   3.6e-05   20.8   0.1     7   134     2   115     1   131 0.89 -
17638at50557_7370_0:001e0e|STRG.7867.2:234-1568|+     -            445 17638at50557         -            824   9.1e-27   92.3  10.5   2   2   1.5e-23   6.9e-21   72.8   7.1   132   395   157   428   133   437 0.77 -
17638at50557_7370_0:001e0e|STRG.7867.3:234-1568|+     -            445 17638at50557         -            824   9.1e-27   92.3  10.5   1   2     8e-08   3.6e-05   20.8   0.1     7   134     2   115     1   131 0.89 -
17638at50557_7370_0:001e0e|STRG.7867.3:234-1568|+     -            445 17638at50557         -            824   9.1e-27   92.3  10.5   2   2   1.5e-23   6.9e-21   72.8   7.1   132   395   157   428   133   437 0.77 -
19653at50557_133901_0:004263|STRG.7867.5:178-573|+    -            132 17638at50557         -            824   1.1e-09   35.7   0.1   1   1   2.8e-12   1.3e-09   35.6   0.1   202   323    10   131     3   132 0.86 -
19653at50557_133901_0:004263|STRG.7867.6:178-573|+    -            132 17638at50557         -            824   1.1e-09   35.7   0.1   1   1   2.8e-12   1.3e-09   35.6   0.1   202   323    10   131     3   132 0.86 -
19653at50557_133901_0:004263|STRG.7867.7:178-573|+    -            132 17638at50557         -            824   1.1e-09   35.7   0.1   1   1   2.8e-12   1.3e-09   35.6   0.1   202   323    10   131     3   132 0.86 -
19653at50557_133901_0:004263|STRG.7867.8:178-573|+    -            132 17638at50557         -            824   1.1e-09   35.7   0.1   1   1   2.8e-12   1.3e-09   35.6   0.1   202   323    10   131     3   132 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/17638at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/17638at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/17638at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:33:45 2024
# [ok]
