#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102968at50557_34720_0:0002ad|STRG.18837.1:0-5693|+    -           1898 102968at50557        -            278    5e-119  395.6   1.3   1   1  2.9e-121  8.9e-119  394.8   1.3     1   268     1   301     1   311 0.90 -
110125at50557_7539_0:00092e|STRG.8373.1:3518-3781|+   -             88 102968at50557        -            278     3e-05   22.4   0.0   1   1   1.1e-07   3.3e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.8373.2:3518-3781|+   -             88 102968at50557        -            278     3e-05   22.4   0.0   1   1   1.1e-07   3.3e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
31141at50557_34720_0:0021d7|STRG.1362.1:1131-2786|+   -            552 102968at50557        -            278    0.0002   19.7   0.3   1   2      0.65     2e+02    0.0   0.0    12    60    33    83    31    92 0.77 -
31141at50557_34720_0:0021d7|STRG.1362.1:1131-2786|+   -            552 102968at50557        -            278    0.0002   19.7   0.3   2   2   4.9e-06    0.0015   16.8   0.6    11    71   101   164    87   174 0.84 -
10394at50557_378494_0:004c1b|STRG.16055.2:1215-2030|+ -            272 102968at50557        -            278   0.00029   19.2   0.0   1   2    0.0055       1.7    6.8   0.0   187   248    10    71     7    79 0.89 -
10394at50557_378494_0:004c1b|STRG.16055.2:1215-2030|+ -            272 102968at50557        -            278   0.00029   19.2   0.0   2   2   0.00047      0.14   10.3   0.0   201   241   230   270   207   272 0.84 -
10394at50557_378494_0:004c1b|STRG.16055.4:1215-2030|+ -            272 102968at50557        -            278   0.00029   19.2   0.0   1   2    0.0055       1.7    6.8   0.0   187   248    10    71     7    79 0.89 -
10394at50557_378494_0:004c1b|STRG.16055.4:1215-2030|+ -            272 102968at50557        -            278   0.00029   19.2   0.0   2   2   0.00047      0.14   10.3   0.0   201   241   230   270   207   272 0.84 -
102616at50557_456900_0:0023c2|STRG.6751.1:272-1327|+  -            352 102968at50557        -            278    0.0025   16.1   0.0   1   1   1.2e-05    0.0037   15.5   0.0   173   246   147   219   146   241 0.83 -
102616at50557_456900_0:0023c2|STRG.6751.2:189-1244|+  -            352 102968at50557        -            278    0.0025   16.1   0.0   1   1   1.2e-05    0.0037   15.5   0.0   173   246   147   219   146   241 0.83 -
102616at50557_197043_0:0010e9|STRG.9699.2:1303-1548|+ -             82 102968at50557        -            278    0.0043   15.3   0.0   1   1   1.4e-05    0.0043   15.3   0.0   186   250    12    78     2    82 0.84 -
102616at50557_197043_0:0010e9|STRG.9699.3:270-515|+   -             82 102968at50557        -            278    0.0043   15.3   0.0   1   1   1.4e-05    0.0043   15.3   0.0   186   250    12    78     2    82 0.84 -
102616at50557_197043_0:0010e9|STRG.9699.4:335-580|+   -             82 102968at50557        -            278    0.0043   15.3   0.0   1   1   1.4e-05    0.0043   15.3   0.0   186   250    12    78     2    82 0.84 -
110125at50557_69820_0:0005bb|STRG.16055.1:2238-2570|+ -            111 102968at50557        -            278    0.0047   15.2   0.0   1   1   1.9e-05    0.0058   14.9   0.0   195   250    33    88    24    96 0.92 -
110125at50557_69820_0:0005bb|STRG.16055.2:2397-2729|+ -            111 102968at50557        -            278    0.0047   15.2   0.0   1   1   1.9e-05    0.0058   14.9   0.0   195   250    33    88    24    96 0.92 -
110125at50557_69820_0:0005bb|STRG.16055.3:2397-2729|+ -            111 102968at50557        -            278    0.0047   15.2   0.0   1   1   1.9e-05    0.0058   14.9   0.0   195   250    33    88    24    96 0.92 -
110125at50557_69820_0:0005bb|STRG.16055.4:2397-2729|+ -            111 102968at50557        -            278    0.0047   15.2   0.0   1   1   1.9e-05    0.0058   14.9   0.0   195   250    33    88    24    96 0.92 -
10394at50557_7536_0:0020dc|STRG.9682.2:231-758|+      -            176 102968at50557        -            278    0.0075   14.5   0.0   1   2     0.012       3.7    5.7   0.0   186   232    39    85    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.9682.2:231-758|+      -            176 102968at50557        -            278    0.0075   14.5   0.0   2   2    0.0045       1.4    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.9682.7:126-653|+      -            176 102968at50557        -            278    0.0075   14.5   0.0   1   2     0.012       3.7    5.7   0.0   186   232    39    85    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.9682.7:126-653|+      -            176 102968at50557        -            278    0.0075   14.5   0.0   2   2    0.0045       1.4    7.1   0.0   185   226   136   176   124   176 0.89 -
102616at50557_217634_0:0021fe|STRG.9699.1:635-1162|+  -            176 102968at50557        -            278     0.022   13.0   0.0   1   1   0.00011     0.032   12.4   0.0   186   250   106   172    93   176 0.83 -
10394at50557_7536_0:0020dc|STRG.3996.1:3800-4387|+    -            196 102968at50557        -            278      0.11   10.8   0.0   1   2    0.0075       2.3    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.3996.1:3800-4387|+    -            196 102968at50557        -            278      0.11   10.8   0.0   2   2      0.11        33    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.3996.2:1777-2364|+    -            196 102968at50557        -            278      0.11   10.8   0.0   1   2    0.0075       2.3    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.3996.2:1777-2364|+    -            196 102968at50557        -            278      0.11   10.8   0.0   2   2      0.11        33    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.3996.3:1409-1996|+    -            196 102968at50557        -            278      0.11   10.8   0.0   1   2    0.0075       2.3    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.3996.3:1409-1996|+    -            196 102968at50557        -            278      0.11   10.8   0.0   2   2      0.11        33    2.6   0.0   206   229   158   181   129   196 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/102968at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:32:41 2024
# [ok]
