#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
52703at50557_174628_0:00214a|STRG.12046.1:26-1214|- -            347 52703at50557         -            352  6.3e-155  513.8   0.1   1   1  8.8e-157    2e-154  512.1   0.1    62   352     2   345     1   345 0.91 -
57613at50557_112268_0:002522|STRG.114.1:0-410|-     -            137 52703at50557         -            352   5.2e-13   47.0   0.0   1   1   3.3e-15   7.6e-13   46.5   0.0   188   303     5   130     1   137 0.76 -
150643at50557_315563_0:0000a6|STRG.18238.1:75-371|+ -             99 52703at50557         -            352   2.9e-11   41.3   0.0   1   1   1.3e-13   2.9e-11   41.3   0.0   262   332     2    73     1    97 0.84 -
75144at50557_132113_0:003254|STRG.7939.1:792-1577|+ -            262 52703at50557         -            352   1.6e-06   25.7   0.0   1   1   1.1e-08   2.5e-06   25.1   0.0    98   302    26   240     6   253 0.79 -
57613at50557_7536_0:002bce|STRG.419.1:1650-2006|+   -            119 52703at50557         -            352   0.00036   18.0   0.0   1   1   1.6e-06   0.00038   17.9   0.0   232   304     2    73     1    99 0.88 -
57613at50557_7536_0:002bce|STRG.419.3:1724-2080|+   -            119 52703at50557         -            352   0.00036   18.0   0.0   1   1   1.6e-06   0.00038   17.9   0.0   232   304     2    73     1    99 0.88 -
147680at50557_103372_0:000c7a|STRG.11300.2:0-458|+  -            153 52703at50557         -            352    0.0008   16.8   0.3   1   1   4.1e-06   0.00094   16.6   0.3   164   234    81   150    65   153 0.83 -
147680at50557_103372_0:000c7a|STRG.11300.1:60-521|+ -            154 52703at50557         -            352   0.00081   16.8   0.3   1   1   4.1e-06   0.00096   16.6   0.3   164   234    82   151    66   154 0.83 -
80072at50557_103372_0:001f31|STRG.6118.1:0-1058|+   -            353 52703at50557         -            352     0.026   11.8   0.6   1   2   0.00087       0.2    8.9   0.1   243   308    89   158    73   202 0.82 -
80072at50557_103372_0:001f31|STRG.6118.1:0-1058|+   -            353 52703at50557         -            352     0.026   11.8   0.6   2   2      0.19        44    1.2   0.1   250   344   246   341   237   346 0.63 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/52703at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/52703at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/52703at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:35:38 2024
# [ok]
