#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102414at50557_104421_0:001872|STRG.3496.1:0-866|+     -            289 102414at50557        -            218  1.3e-107  357.2  10.1   1   1  3.8e-109  2.2e-106  353.1  10.1     1   217    15   262    15   263 0.92 -
89121at50557_156304_0:00118d|STRG.3747.2:639-1388|+   -            250 102414at50557        -            218   3.6e-05   22.3   3.7   2   2    0.0001     0.059   11.8   0.0   101   170   176   245   165   249 0.86 -
57156at50557_28612_0:002d5e|STRG.9855.1:429-1052|+    -            208 102414at50557        -            218    0.0015   17.0   0.6   1   2   0.00055      0.32    9.4   0.5    70   190    12   129     3   130 0.80 -
57156at50557_28612_0:002d5e|STRG.9855.1:429-1052|+    -            208 102414at50557        -            218    0.0015   17.0   0.6   2   2   9.9e-06    0.0058   15.1   0.3    88   191    64   164    38   178 0.87 -
57156at50557_28612_0:002d5e|STRG.9855.3:784-1407|+    -            208 102414at50557        -            218    0.0015   17.0   0.6   1   2   0.00055      0.32    9.4   0.5    70   190    12   129     3   130 0.80 -
57156at50557_28612_0:002d5e|STRG.9855.3:784-1407|+    -            208 102414at50557        -            218    0.0015   17.0   0.6   2   2   9.9e-06    0.0058   15.1   0.3    88   191    64   164    38   178 0.87 -
57156at50557_28612_0:002d5e|STRG.9855.4:291-791|+     -            167 102414at50557        -            218     0.003   16.0   0.4   1   1   6.2e-06    0.0036   15.7   0.4    88   191    23   123     3   158 0.89 -
65980at50557_224129_0:002010|STRG.9721.7:479-1201|+   -            241 102414at50557        -            218    0.0035   15.8   2.6   1   2   0.00051       0.3    9.5   0.1   168   199    37    68    13    90 0.78 -
65980at50557_224129_0:002010|STRG.9721.7:479-1201|+   -            241 102414at50557        -            218    0.0035   15.8   2.6   2   2    0.0039       2.3    6.6   0.3    66   154   142   230   109   239 0.81 -
65980at50557_224129_0:002010|STRG.9721.5:1221-1946|+  -            242 102414at50557        -            218    0.0035   15.8   2.6   1   2   0.00052       0.3    9.4   0.1   168   199    37    68    13    90 0.78 -
65980at50557_224129_0:002010|STRG.9721.5:1221-1946|+  -            242 102414at50557        -            218    0.0035   15.8   2.6   2   2    0.0039       2.3    6.6   0.3    66   154   142   230   109   239 0.81 -
58363at50557_103372_0:001475|STRG.5404.1:1-1492|-     -            431 102414at50557        -            218      0.04   12.3   0.8   1   2      0.43   2.6e+02   -0.1   0.1   106   157   247   299   206   312 0.70 -
58363at50557_103372_0:001475|STRG.5404.1:1-1492|-     -            431 102414at50557        -            218      0.04   12.3   0.8   2   2   0.00028      0.16   10.3   0.0   129   199   358   425   325   429 0.84 -
27499at50557_103372_0:00117b|STRG.1231.1:0-2558|+     -            853 102414at50557        -            218       2.6    6.4  14.1   1   4      0.22   1.3e+02    0.8   0.2    66   110    93   136    74   175 0.70 -
27499at50557_103372_0:00117b|STRG.1231.1:0-2558|+     -            853 102414at50557        -            218       2.6    6.4  14.1   2   4   4.9e-05     0.029   12.8   2.7    66   178   161   278   153   289 0.79 -
27499at50557_103372_0:00117b|STRG.1231.1:0-2558|+     -            853 102414at50557        -            218       2.6    6.4  14.1   3   4       5.5   3.2e+03   -3.7   0.0    69   111   388   430   380   434 0.69 -
27499at50557_103372_0:00117b|STRG.1231.1:0-2558|+     -            853 102414at50557        -            218       2.6    6.4  14.1   4   4       3.1   1.8e+03   -2.9   0.3   101   150   487   534   476   538 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102414at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/102414at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102414at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:32:39 2024
# [ok]
