#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
50572at50557_103372_0:001cd5|STRG.17429.1:0-1274|+    -            425 50572at50557         -            342  1.5e-192  637.5   0.0   1   1  1.5e-194  2.1e-192  637.1   0.0     2   335    10   371     9   374 0.96 -
58203at50557_1049336_0:002c09|STRG.17002.2:387-1079|+ -            231 50572at50557         -            342   2.1e-11   41.9   0.0   1   1   2.6e-13   3.7e-11   41.1   0.0   203   333    39   184    27   192 0.79 -
58203at50557_7222_0:002ade|STRG.13794.1:1079-1834|+   -            252 50572at50557         -            342     4e-11   41.0   0.0   1   1     4e-13   5.8e-11   40.5   0.0   182   325    25   180    15   195 0.80 -
58203at50557_7222_0:002ade|STRG.13794.2:1079-1834|+   -            252 50572at50557         -            342     4e-11   41.0   0.0   1   1     4e-13   5.8e-11   40.5   0.0   182   325    25   180    15   195 0.80 -
58203at50557_7222_0:002ade|STRG.13794.3:819-1574|+    -            252 50572at50557         -            342     4e-11   41.0   0.0   1   1     4e-13   5.8e-11   40.5   0.0   182   325    25   180    15   195 0.80 -
30467at50557_286306_0:001fcb|STRG.2205.1:684-2993|+   -            770 50572at50557         -            342   7.1e-11   40.2   0.0   1   3     0.018       2.7    5.4   0.0   202   232   264   294   255   335 0.77 -
30467at50557_286306_0:001fcb|STRG.2205.1:684-2993|+   -            770 50572at50557         -            342   7.1e-11   40.2   0.0   2   3       7.1     1e+03   -3.1   0.0    14    53   435   474   431   485 0.75 -
30467at50557_286306_0:001fcb|STRG.2205.1:684-2993|+   -            770 50572at50557         -            342   7.1e-11   40.2   0.0   3   3   1.8e-10   2.5e-08   31.8   0.0   204   327   521   656   517   668 0.76 -
58203at50557_7038_0:002086|STRG.5999.1:2535-3227|+    -            231 50572at50557         -            342     1e-10   39.6   0.0   1   1   1.1e-12   1.6e-10   39.1   0.0   194   327    31   174    23   185 0.77 -
58203at50557_28612_0:0055dd|STRG.6564.1:754-1515|+    -            254 50572at50557         -            342   1.7e-10   38.9   0.0   1   2    0.0008      0.12    9.9   0.0   196   219    27    50    14    65 0.83 -
58203at50557_28612_0:0055dd|STRG.6564.1:754-1515|+    -            254 50572at50557         -            342   1.7e-10   38.9   0.0   2   2     5e-09   7.2e-07   27.0   0.0   257   334   104   186    88   193 0.84 -
58203at50557_28612_0:0055dd|STRG.6564.2:754-1515|+    -            254 50572at50557         -            342   1.7e-10   38.9   0.0   1   2    0.0008      0.12    9.9   0.0   196   219    27    50    14    65 0.83 -
58203at50557_28612_0:0055dd|STRG.6564.2:754-1515|+    -            254 50572at50557         -            342   1.7e-10   38.9   0.0   2   2     5e-09   7.2e-07   27.0   0.0   257   334   104   186    88   193 0.84 -
58203at50557_217634_0:0013dc|STRG.10561.1:1428-2243|+ -            272 50572at50557         -            342   6.4e-10   37.1   0.0   1   1   7.7e-12   1.1e-09   36.3   0.0   197   326    77   219    71   228 0.75 -
58203at50557_88501_0:000fe4|STRG.15908.1:2161-3063|+  -            301 50572at50557         -            342   4.1e-09   34.4   0.0   1   2       4.1   5.9e+02   -2.3   0.0   136   163    36    62    29    76 0.75 -
58203at50557_88501_0:000fe4|STRG.15908.1:2161-3063|+  -            301 50572at50557         -            342   4.1e-09   34.4   0.0   2   2   6.8e-11   9.8e-09   33.2   0.0   195   319    84   218    77   231 0.84 -
58203at50557_88501_0:000fe4|STRG.15908.2:1830-2732|+  -            301 50572at50557         -            342   4.1e-09   34.4   0.0   1   2       4.1   5.9e+02   -2.3   0.0   136   163    36    62    29    76 0.75 -
58203at50557_88501_0:000fe4|STRG.15908.2:1830-2732|+  -            301 50572at50557         -            342   4.1e-09   34.4   0.0   2   2   6.8e-11   9.8e-09   33.2   0.0   195   319    84   218    77   231 0.84 -
67606at50557_224129_0:00052e|STRG.3563.1:418-1092|+   -            225 50572at50557         -            342   6.8e-09   33.7   0.0   1   1   5.9e-11   8.5e-09   33.4   0.0   203   315    39   163     9   174 0.72 -
67606at50557_224129_0:00052e|STRG.3563.2:470-1144|+   -            225 50572at50557         -            342   6.8e-09   33.7   0.0   1   1   5.9e-11   8.5e-09   33.4   0.0   203   315    39   163     9   174 0.72 -
67606at50557_224129_0:00052e|STRG.3563.3:279-953|+    -            225 50572at50557         -            342   6.8e-09   33.7   0.0   1   1   5.9e-11   8.5e-09   33.4   0.0   203   315    39   163     9   174 0.72 -
58203at50557_1155016_0:0013da|STRG.7398.2:2-700|+     -            208 50572at50557         -            342   7.7e-08   30.2   0.0   1   1   6.9e-10   9.9e-08   29.9   0.0   211   324     1   127     1   137 0.80 -
58203at50557_6973_0:002101|STRG.7398.1:2-625|+        -            208 50572at50557         -            342   7.7e-08   30.2   0.0   1   1   6.9e-10   9.9e-08   29.9   0.0   211   324     1   127     1   137 0.80 -
58203at50557_246812_0:00184e|STRG.17401.1:1-318|+     -            106 50572at50557         -            342   9.8e-07   26.6   0.0   1   1     7e-09     1e-06   26.5   0.0   191   269    19   104     2   106 0.78 -
67606at50557_29053_0:000ae8|STRG.5563.1:1113-1790|+   -            226 50572at50557         -            342   1.2e-06   26.3   0.0   1   1     1e-08   1.5e-06   26.0   0.0   204   312    38   158    32   184 0.77 -
67606at50557_1041015_0:003435|STRG.3197.1:1848-2729|+ -            294 50572at50557         -            342   1.4e-06   26.0   0.0   1   1   1.4e-08     2e-06   25.6   0.0   203   328    57   192    51   204 0.75 -
67606at50557_1041015_0:003435|STRG.3197.2:1575-2456|+ -            294 50572at50557         -            342   1.4e-06   26.0   0.0   1   1   1.4e-08     2e-06   25.6   0.0   203   328    57   192    51   204 0.75 -
67606at50557_1041015_0:003435|STRG.3197.3:1907-2788|+ -            294 50572at50557         -            342   1.4e-06   26.0   0.0   1   1   1.4e-08     2e-06   25.6   0.0   203   328    57   192    51   204 0.75 -
67606at50557_103372_0:002017|STRG.6646.1:0-1266|-     -            363 50572at50557         -            342   1.6e-06   25.8   0.0   1   1   1.6e-08   2.3e-06   25.3   0.0   195   296   111   219   105   260 0.70 -
76116at50557_166361_0:00022f|STRG.6059.1:2511-3281|+  -            257 50572at50557         -            342   1.3e-05   22.9   0.2   1   2   5.8e-05    0.0084   13.6   0.0   188   243    61   116    57   132 0.81 -
76116at50557_166361_0:00022f|STRG.6059.1:2511-3281|+  -            257 50572at50557         -            342   1.3e-05   22.9   0.2   2   2    0.0058      0.83    7.1   0.1   250   273   149   172   136   189 0.83 -
67606at50557_77166_0:002944|STRG.11329.1:618-1514|+   -            299 50572at50557         -            342   1.5e-05   22.7   0.0   1   1   1.3e-07   1.9e-05   22.3   0.0   204   296    55   155    29   192 0.70 -
67606at50557_123851_0:003a23|STRG.8124.1:834-1556|+   -            241 50572at50557         -            342   8.2e-05   20.3   0.1   1   2   3.6e-05    0.0052   14.3   0.0   200   226     8    34     3    40 0.88 -
67606at50557_123851_0:003a23|STRG.8124.1:834-1556|+   -            241 50572at50557         -            342   8.2e-05   20.3   0.1   2   2     0.052       7.5    3.9   0.1   258   324    87   158    71   172 0.73 -
67606at50557_123851_0:003a23|STRG.8124.2:760-1482|+   -            241 50572at50557         -            342   8.2e-05   20.3   0.1   1   2   3.6e-05    0.0052   14.3   0.0   200   226     8    34     3    40 0.88 -
67606at50557_123851_0:003a23|STRG.8124.2:760-1482|+   -            241 50572at50557         -            342   8.2e-05   20.3   0.1   2   2     0.052       7.5    3.9   0.1   258   324    87   158    71   172 0.73 -
67606at50557_123851_0:003a23|STRG.8124.3:393-1115|+   -            241 50572at50557         -            342   8.2e-05   20.3   0.1   1   2   3.6e-05    0.0052   14.3   0.0   200   226     8    34     3    40 0.88 -
67606at50557_123851_0:003a23|STRG.8124.3:393-1115|+   -            241 50572at50557         -            342   8.2e-05   20.3   0.1   2   2     0.052       7.5    3.9   0.1   258   324    87   158    71   172 0.73 -
67606at50557_224129_0:00052e|STRG.18730.1:937-1614|+  -            226 50572at50557         -            342   0.00046   17.8   0.0   1   1   3.6e-06   0.00051   17.6   0.0   165   230     6    70     3   134 0.85 -
67606at50557_224129_0:00052e|STRG.18730.2:912-1589|+  -            226 50572at50557         -            342   0.00046   17.8   0.0   1   1   3.6e-06   0.00051   17.6   0.0   165   230     6    70     3   134 0.85 -
58203at50557_29031_0:001dd4|STRG.17402.1:30-326|+     -             99 50572at50557         -            342   0.00048   17.7   0.0   1   1   4.2e-06    0.0006   17.4   0.0   300   321     1    22     1    42 0.90 -
58203at50557_1155016_0:0013da|STRG.15908.3:11-475|+   -            155 50572at50557         -            342    0.0012   16.5   0.0   1   1   1.1e-05    0.0016   16.0   0.0   258   320     8    73     3    86 0.83 -
78395at50557_38123_0:0002db|STRG.8261.1:60-1040|+     -            327 50572at50557         -            342    0.0014   16.2   0.0   1   1   1.4e-05     0.002   15.7   0.0   206   237    61    96    37   159 0.77 -
59039at50557_103372_0:001071|STRG.11403.1:96-2876|+   -            927 50572at50557         -            342     0.004   14.7   0.0   1   1   5.5e-05    0.0079   13.7   0.0   196   253   359   416   344   439 0.83 -
59039at50557_103372_0:001071|STRG.11403.2:96-2935|+   -            927 50572at50557         -            342     0.004   14.7   0.0   1   1   5.5e-05    0.0079   13.7   0.0   196   253   359   416   344   439 0.83 -
76116at50557_597456_0:00067b|STRG.4374.1:405-944|+    -            180 50572at50557         -            342    0.0051   14.4   0.0   1   1   4.8e-05    0.0069   13.9   0.0   206   256    55   109    47   179 0.62 -
78395at50557_103372_0:001bc6|STRG.382.1:0-1067|+      -            356 50572at50557         -            342     0.009   13.6   0.0   1   1   0.00012     0.017   12.7   0.0   206   245    69   108    62   117 0.79 -
78395at50557_113334_0:001f45|STRG.10788.1:120-854|+   -            245 50572at50557         -            342    0.0097   13.4   0.0   1   1   8.1e-05     0.012   13.2   0.0   207   241    57    95    42   174 0.78 -
59039at50557_166361_0:00097d|STRG.18227.1:1536-2840|+ -            435 50572at50557         -            342     0.022   12.3   0.0   1   1   0.00027     0.039   11.4   0.0   201   239    56    93    35   117 0.74 -
59039at50557_166361_0:00097d|STRG.18227.2:1536-2840|+ -            435 50572at50557         -            342     0.022   12.3   0.0   1   1   0.00027     0.039   11.4   0.0   201   239    56    93    35   117 0.74 -
59039at50557_166361_0:00097d|STRG.18227.3:1365-2669|+ -            435 50572at50557         -            342     0.022   12.3   0.0   1   1   0.00027     0.039   11.4   0.0   201   239    56    93    35   117 0.74 -
25937at50557_1629725_0:000a4d|STRG.9031.1:1650-2330|+ -            227 50572at50557         -            342     0.031   11.8   0.0   1   1   0.00028     0.041   11.4   0.0   200   264    42   109    26   137 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/50572at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/50572at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/50572at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:35:36 2024
# [ok]
