#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42648at50557_520822_0:00251c|STRG.8826.1:2-1294|+    -            431 42648at50557         -            349  2.2e-174  578.1  23.7   1   1  4.2e-176  1.3e-173  575.6  23.7     1   349    40   431    40   431 0.93 -
41050at50557_28612_0:003878|STRG.16860.2:1753-2892|+ -            380 42648at50557         -            349   7.7e-21   73.1  21.8   3   4   2.8e-06   0.00085   17.1   2.3   100   153   179   232   147   237 0.93 -
41050at50557_28612_0:003878|STRG.16860.2:1753-2892|+ -            380 42648at50557         -            349   7.7e-21   73.1  21.8   4   4   3.1e-17   9.6e-15   53.1   3.4    94   210   251   367   239   376 0.89 -
41050at50557_28612_0:003878|STRG.16860.3:1878-3017|+ -            380 42648at50557         -            349   7.7e-21   73.1  21.8   1   4   5.9e-05     0.018   12.7   0.0     9    45     4    40     1    46 0.90 -
41050at50557_28612_0:003878|STRG.16860.3:1878-3017|+ -            380 42648at50557         -            349   7.7e-21   73.1  21.8   2   4      0.16        49    1.5   0.3   147   212    39   108    37   149 0.68 -
41050at50557_28612_0:003878|STRG.16860.3:1878-3017|+ -            380 42648at50557         -            349   7.7e-21   73.1  21.8   3   4   2.8e-06   0.00085   17.1   2.3   100   153   179   232   147   237 0.93 -
41050at50557_28612_0:003878|STRG.16860.3:1878-3017|+ -            380 42648at50557         -            349   7.7e-21   73.1  21.8   4   4   3.1e-17   9.6e-15   53.1   3.4    94   210   251   367   239   376 0.89 -
42648at50557_7004_0:0018bf|STRG.10926.1:2580-3116|+  -            179 42648at50557         -            349   5.3e-16   57.2   5.7   1   2   0.00018     0.056   11.1   0.0   166   212    25    71    19    76 0.90 -
42648at50557_7004_0:0018bf|STRG.10926.1:2580-3116|+  -            179 42648at50557         -            349   5.3e-16   57.2   5.7   2   2   4.5e-16   1.4e-13   49.3   5.0    80   201    50   175    47   179 0.83 -
41050at50557_74869_0:000332|STRG.4779.1:1252-2205|+  -            318 42648at50557         -            349     2e-13   48.8  16.3   1   2   2.6e-15   8.1e-13   46.8   8.1   118   330     7   236     4   258 0.81 -
41050at50557_74869_0:000332|STRG.4779.1:1252-2205|+  -            318 42648at50557         -            349     2e-13   48.8  16.3   2   2    0.0034         1    6.9   1.3   117   160   270   313   249   318 0.61 -
41050at50557_74869_0:000332|STRG.4779.3:1073-2026|+  -            318 42648at50557         -            349     2e-13   48.8  16.3   1   2   2.6e-15   8.1e-13   46.8   8.1   118   330     7   236     4   258 0.81 -
41050at50557_74869_0:000332|STRG.4779.3:1073-2026|+  -            318 42648at50557         -            349     2e-13   48.8  16.3   2   2    0.0034         1    6.9   1.3   117   160   270   313   249   318 0.61 -
41050at50557_74869_0:000332|STRG.4779.5:990-1943|+   -            318 42648at50557         -            349     2e-13   48.8  16.3   1   2   2.6e-15   8.1e-13   46.8   8.1   118   330     7   236     4   258 0.81 -
41050at50557_74869_0:000332|STRG.4779.5:990-1943|+   -            318 42648at50557         -            349     2e-13   48.8  16.3   2   2    0.0034         1    6.9   1.3   117   160   270   313   249   318 0.61 -
41050at50557_7230_0:001173|STRG.4779.2:1266-2207|+   -            314 42648at50557         -            349   2.7e-13   48.3  16.4   1   2   2.8e-15   8.4e-13   46.7   8.1   118   330     4   233     1   251 0.82 -
41050at50557_7230_0:001173|STRG.4779.2:1266-2207|+   -            314 42648at50557         -            349   2.7e-13   48.3  16.4   2   2    0.0042       1.3    6.7   1.3   117   160   267   310   246   314 0.61 -
41050at50557_7230_0:001173|STRG.4779.4:1087-2028|+   -            314 42648at50557         -            349   2.7e-13   48.3  16.4   1   2   2.8e-15   8.4e-13   46.7   8.1   118   330     4   233     1   251 0.82 -
41050at50557_7230_0:001173|STRG.4779.4:1087-2028|+   -            314 42648at50557         -            349   2.7e-13   48.3  16.4   2   2    0.0042       1.3    6.7   1.3   117   160   267   310   246   314 0.61 -
8280at50557_43041_0:001bfd|STRG.3310.1:479-1828|-    -            450 42648at50557         -            349   5.2e-08   31.0   6.9   1   3     0.016       4.9    4.7   0.1   116   150    67    99    32   128 0.60 -
8280at50557_43041_0:001bfd|STRG.3310.1:479-1828|-    -            450 42648at50557         -            349   5.2e-08   31.0   6.9   2   3   1.3e-06   0.00039   18.2   1.0   132   276   131   278   113   297 0.72 -
8280at50557_43041_0:001bfd|STRG.3310.1:479-1828|-    -            450 42648at50557         -            349   5.2e-08   31.0   6.9   3   3    0.0011      0.34    8.5   0.1   213   343   311   445   306   449 0.74 -
42648at50557_6973_0:00277a|STRG.16113.1:1787-2578|+  -            264 42648at50557         -            349   1.7e-07   29.2  12.4   1   3   2.8e-06   0.00086   17.1   0.3    11    65    16    76    10    85 0.77 -
42648at50557_6973_0:00277a|STRG.16113.1:1787-2578|+  -            264 42648at50557         -            349   1.7e-07   29.2  12.4   2   3     0.035        11    3.6   1.8   263   346   101   183    66   189 0.71 -
42648at50557_6973_0:00277a|STRG.16113.1:1787-2578|+  -            264 42648at50557         -            349   1.7e-07   29.2  12.4   3   3   7.8e-06    0.0024   15.6   0.7    98   171   180   257   177   263 0.74 -
42648at50557_6973_0:00277a|STRG.16113.2:2044-2835|+  -            264 42648at50557         -            349   1.7e-07   29.2  12.4   1   3   2.8e-06   0.00086   17.1   0.3    11    65    16    76    10    85 0.77 -
42648at50557_6973_0:00277a|STRG.16113.2:2044-2835|+  -            264 42648at50557         -            349   1.7e-07   29.2  12.4   2   3     0.035        11    3.6   1.8   263   346   101   183    66   189 0.71 -
42648at50557_6973_0:00277a|STRG.16113.2:2044-2835|+  -            264 42648at50557         -            349   1.7e-07   29.2  12.4   3   3   7.8e-06    0.0024   15.6   0.7    98   171   180   257   177   263 0.74 -
42648at50557_6973_0:00277a|STRG.16113.3:2577-3368|+  -            264 42648at50557         -            349   1.7e-07   29.2  12.4   1   3   2.8e-06   0.00086   17.1   0.3    11    65    16    76    10    85 0.77 -
42648at50557_6973_0:00277a|STRG.16113.3:2577-3368|+  -            264 42648at50557         -            349   1.7e-07   29.2  12.4   2   3     0.035        11    3.6   1.8   263   346   101   183    66   189 0.71 -
42648at50557_6973_0:00277a|STRG.16113.3:2577-3368|+  -            264 42648at50557         -            349   1.7e-07   29.2  12.4   3   3   7.8e-06    0.0024   15.6   0.7    98   171   180   257   177   263 0.74 -
8280at50557_7160_0:00112a|STRG.3315.1:152-1180|+     -            343 42648at50557         -            349   3.9e-07   28.1   4.2   1   3      0.22        68    1.0   0.1   240   296    22    75    10    83 0.79 -
8280at50557_7160_0:00112a|STRG.3315.1:152-1180|+     -            343 42648at50557         -            349   3.9e-07   28.1   4.2   2   3   0.00097       0.3    8.7   1.0   141   188    87   138    65   147 0.62 -
8280at50557_7160_0:00112a|STRG.3315.1:152-1180|+     -            343 42648at50557         -            349   3.9e-07   28.1   4.2   3   3   5.6e-07   0.00017   19.4   0.2   143   324   137   319   134   328 0.74 -
41766at50557_286306_0:004435|STRG.11841.4:0-1493|+   -            498 42648at50557         -            349   4.8e-06   24.5  10.5   1   3   1.1e-05    0.0034   15.1   0.1     1    67    31    99    31   160 0.64 -
41766at50557_286306_0:004435|STRG.11841.4:0-1493|+   -            498 42648at50557         -            349   4.8e-06   24.5  10.5   2   3   0.00045      0.14    9.9   1.8    79   186   215   337   202   348 0.58 -
41766at50557_286306_0:004435|STRG.11841.4:0-1493|+   -            498 42648at50557         -            349   4.8e-06   24.5  10.5   3   3     0.055        17    3.0   0.3    97   207   350   472   346   484 0.64 -
41766at50557_144034_0:000df6|STRG.11841.1:113-1675|+ -            521 42648at50557         -            349   5.9e-06   24.2  10.9   1   3   1.2e-05    0.0037   15.0   0.1     1    66    38   105    38   167 0.64 -
41766at50557_144034_0:000df6|STRG.11841.1:113-1675|+ -            521 42648at50557         -            349   5.9e-06   24.2  10.9   2   3   0.00027     0.084   10.5   2.3    79   189   222   347   211   395 0.60 -
41766at50557_144034_0:000df6|STRG.11841.1:113-1675|+ -            521 42648at50557         -            349   5.9e-06   24.2  10.9   3   3     0.039        12    3.5   0.4    97   208   357   480   350   512 0.67 -
41766at50557_103372_0:0028c3|STRG.11841.2:168-1700|+ -            511 42648at50557         -            349   5.9e-06   24.2  11.0   1   3   1.2e-05    0.0036   15.0   0.1     1    67    28    96    28   157 0.64 -
41766at50557_103372_0:0028c3|STRG.11841.2:168-1700|+ -            511 42648at50557         -            349   5.9e-06   24.2  11.0   2   3   0.00029     0.088   10.5   2.4    79   189   212   337   201   385 0.60 -
41766at50557_103372_0:0028c3|STRG.11841.2:168-1700|+ -            511 42648at50557         -            349   5.9e-06   24.2  11.0   3   3     0.038        12    3.5   0.5    97   208   347   470   339   502 0.67 -
8280at50557_38123_0:003113|STRG.2404.1:159-1190|+    -            344 42648at50557         -            349   6.8e-06   24.0   2.3   1   3       2.9   8.8e+02   -2.7   0.0   258   279    56    77    49    81 0.76 -
8280at50557_38123_0:003113|STRG.2404.1:159-1190|+    -            344 42648at50557         -            349   6.8e-06   24.0   2.3   2   3    0.0068       2.1    6.0   0.1   208   274   116   182    86   202 0.65 -
8280at50557_38123_0:003113|STRG.2404.1:159-1190|+    -            344 42648at50557         -            349   6.8e-06   24.0   2.3   3   3   3.5e-06    0.0011   16.8   0.2   142   181   217   259   178   272 0.78 -
41766at50557_103372_0:0028c3|STRG.11841.3:318-1766|+ -            483 42648at50557         -            349     1e-05   23.4  11.0   1   3   2.4e-05    0.0073   14.0   0.1     3    67     2    68     1   129 0.63 -
41766at50557_103372_0:0028c3|STRG.11841.3:318-1766|+ -            483 42648at50557         -            349     1e-05   23.4  11.0   2   3   0.00026      0.08   10.6   2.7    78   209   183   333   171   358 0.60 -
41766at50557_103372_0:0028c3|STRG.11841.3:318-1766|+ -            483 42648at50557         -            349     1e-05   23.4  11.0   3   3     0.036        11    3.6   0.5    97   208   319   442   311   474 0.67 -
41050at50557_113334_0:003566|STRG.4266.1:976-1119|+  -             48 42648at50557         -            349    0.0015   16.3   0.0   1   1   4.8e-06    0.0015   16.3   0.0     6    38     3    35     1    48 0.79 -
83902at50557_7200_0:001fae|STRG.10487.1:738-992|+    -             85 42648at50557         -            349     0.013   13.2   0.1   1   1   4.6e-05     0.014   13.1   0.1   223   292     9    77     1    83 0.81 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42648at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/42648at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42648at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:34:56 2024
# [ok]
