#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.15855.1:0-1844|+      -            615 54603at50557         -            483    5e-232  769.4  24.3   1   1  8.9e-234  6.4e-232  769.0  24.3     1   481    96   613    96   615 0.95 -
54603at50557_7070_0:002ddb|STRG.322.3:39-1220|+         -            394 54603at50557         -            483   1.4e-51  174.3  16.6   4   4   1.2e-18   8.6e-17   59.6   3.8   335   438   284   389   284   392 0.94 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 54603at50557         -            483   3.1e-51  173.1  17.7   1   4     1e-13   7.6e-12   43.3   0.1   108   206    11   121     3   123 0.82 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 54603at50557         -            483   3.1e-51  173.1  17.7   2   4   2.3e-15   1.6e-13   48.7   0.2    55   139   120   204   117   206 0.95 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 54603at50557         -            483   3.1e-51  173.1  17.7   3   4     2e-14   1.5e-12   45.6   0.5   332   434   189   293   189   297 0.94 -
54603at50557_7070_0:002ddb|STRG.322.2:926-2170|+        -            415 54603at50557         -            483   3.1e-51  173.1  17.7   4   4   1.4e-18   9.9e-17   59.4   4.6   335   439   284   390   283   411 0.93 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 54603at50557         -            483   7.7e-49  165.3  50.8   1   7    0.0048      0.35    8.1   0.1    82   116    22    57     1    65 0.79 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 54603at50557         -            483   7.7e-49  165.3  50.8   2   7   1.3e-14     9e-13   46.3   1.8   271   433    70   241    61   261 0.83 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 54603at50557         -            483   7.7e-49  165.3  50.8   3   7   0.00026     0.019   12.3   2.3    43   139   218   327   216   330 0.75 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 54603at50557         -            483   7.7e-49  165.3  50.8   4   7   2.6e-07   1.9e-05   22.2   1.4   334   420   314   405   308   411 0.81 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 54603at50557         -            483   7.7e-49  165.3  50.8   5   7   0.00012    0.0084   13.4   0.3   271   307   412   448   404   453 0.93 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 54603at50557         -            483   7.7e-49  165.3  50.8   6   7   1.7e-15   1.2e-13   49.2   7.8    46   220   470   665   466   693 0.65 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 54603at50557         -            483   7.7e-49  165.3  50.8   7   7   1.3e-13   9.4e-12   42.9   5.3    55   180   698   838   678   856 0.82 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   1   5     2e-17   1.4e-15   55.5   8.9   329   424    19   116     2   118 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   2   5   3.3e-08   2.4e-06   25.1   0.2    67   120   103   156   102   163 0.95 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   3   5   5.1e-14   3.7e-12   44.3   4.7   337   435   164   264   157   275 0.90 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   4   5   1.1e-15     8e-14   49.8   0.7    28   146   334   455   324   456 0.88 -
54603at50557_116153_0:001d7a|STRG.14138.1:577-2052|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   5   5   1.1e-12   7.9e-11   39.9   4.0   336   433   391   491   390   492 0.92 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   1   5     2e-17   1.4e-15   55.5   8.9   329   424    19   116     2   118 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   2   5   3.3e-08   2.4e-06   25.1   0.2    67   120   103   156   102   163 0.95 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   3   5   5.1e-14   3.7e-12   44.3   4.7   337   435   164   264   157   275 0.90 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   4   5   1.1e-15     8e-14   49.8   0.7    28   146   334   455   324   456 0.88 -
54603at50557_116153_0:001d7a|STRG.14138.2:252-1727|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   5   5   1.1e-12   7.9e-11   39.9   4.0   336   433   391   491   390   492 0.92 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   1   5     2e-17   1.4e-15   55.5   8.9   329   424    19   116     2   118 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   2   5   3.3e-08   2.4e-06   25.1   0.2    67   120   103   156   102   163 0.95 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   3   5   5.1e-14   3.7e-12   44.3   4.7   337   435   164   264   157   275 0.90 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   4   5   1.1e-15     8e-14   49.8   0.7    28   146   334   455   324   456 0.88 -
54603at50557_116153_0:001d7a|STRG.14138.5:337-1812|+    -            492 54603at50557         -            483   3.6e-48  163.0  39.8   5   5   1.1e-12   7.9e-11   39.9   4.0   336   433   391   491   390   492 0.92 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 54603at50557         -            483     5e-45  152.7  51.6   1   8   1.9e-10   1.4e-08   32.5   2.4    62   199    46   197    21   218 0.57 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 54603at50557         -            483     5e-45  152.7  51.6   2   8   4.8e-09   3.4e-07   27.9   1.6    39   139   208   314   199   319 0.59 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 54603at50557         -            483     5e-45  152.7  51.6   3   8   6.9e-05     0.005   14.2   0.0   270   326   327   383   316   387 0.84 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 54603at50557         -            483     5e-45  152.7  51.6   4   8   9.9e-12   7.1e-10   36.7   0.8   274   416   379   537   376   542 0.82 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 54603at50557         -            483     5e-45  152.7  51.6   5   8   9.4e-06   0.00068   17.0   1.1    69   198   510   655   498   657 0.49 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 54603at50557         -            483     5e-45  152.7  51.6   6   8   9.6e-13   6.9e-11   40.1  11.5   275   459   647   847   645   865 0.66 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 54603at50557         -            483     5e-45  152.7  51.6   7   8   6.3e-08   4.6e-06   24.2  10.5   252   433   742   930   742   958 0.76 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 54603at50557         -            483     5e-45  152.7  51.6   8   8       2.5   1.8e+02   -0.9   0.1   105   118  1050  1062   980  1076 0.56 -
54603at50557_224129_0:0029b4|STRG.4378.1:620-1834|+     -            405 54603at50557         -            483   6.9e-42  142.3  56.7   1   3   3.5e-18   2.5e-16   58.0  17.3    53   226    32   223    27   225 0.84 -
54603at50557_224129_0:0029b4|STRG.4378.1:620-1834|+     -            405 54603at50557         -            483   6.9e-42  142.3  56.7   2   3   9.5e-18   6.8e-16   56.6  16.5   274   438   135   308   134   314 0.91 -
54603at50557_224129_0:0029b4|STRG.4378.1:620-1834|+     -            405 54603at50557         -            483   6.9e-42  142.3  56.7   3   3   2.4e-17   1.7e-15   55.3   6.9   269   417   226   382   226   390 0.79 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 54603at50557         -            483   3.8e-39  133.3  36.1   1   7    0.0064      0.46    7.7   0.0    79   121    16    59     9    65 0.80 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 54603at50557         -            483   3.8e-39  133.3  36.1   2   7   2.1e-07   1.5e-05   22.4   0.2    76   138    65   129    59   130 0.88 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 54603at50557         -            483   3.8e-39  133.3  36.1   3   7   4.2e-22     3e-20   71.0  11.2    56   306   116   372   112   375 0.83 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 54603at50557         -            483   3.8e-39  133.3  36.1   4   7   8.3e-08     6e-06   23.8   0.4   356   415   359   420   358   427 0.92 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 54603at50557         -            483   3.8e-39  133.3  36.1   5   7   9.4e-05    0.0068   13.7   1.1   229   308   437   514   422   519 0.90 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 54603at50557         -            483   3.8e-39  133.3  36.1   6   7   3.1e-05    0.0022   15.3   0.0   316   393   633   716   626   727 0.82 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 54603at50557         -            483   3.8e-39  133.3  36.1   7   7     0.005      0.36    8.0   0.1   271   309   727   765   719   780 0.72 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 54603at50557         -            483     3e-32  110.5  38.6   1   6   2.7e-06   0.00019   18.8   0.8    92   199    54   162     7   163 0.81 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 54603at50557         -            483     3e-32  110.5  38.6   2   6   3.2e-14   2.3e-12   45.0  10.5    40   230   126   342   119   342 0.82 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 54603at50557         -            483     3e-32  110.5  38.6   3   6   4.7e-13   3.4e-11   41.1   6.6   271   438   197   378   191   381 0.59 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 54603at50557         -            483     3e-32  110.5  38.6   4   6   3.1e-08   2.2e-06   25.2   0.4    81   155   342   426   340   430 0.81 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 54603at50557         -            483     3e-32  110.5  38.6   5   6      0.13         9    3.4   0.2   270   308   528   566   522   574 0.90 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 54603at50557         -            483     3e-32  110.5  38.6   6   6   4.7e-10   3.4e-08   31.2   0.8    40   173   687   822   679   831 0.85 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 54603at50557         -            483   6.6e-31  106.1  41.1   1   7   7.3e-06   0.00053   17.4   3.6    40   137     3   111     2   112 0.77 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 54603at50557         -            483   6.6e-31  106.1  41.1   2   7   4.3e-07   3.1e-05   21.4   2.8    54   137    97   185    89   189 0.83 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 54603at50557         -            483   6.6e-31  106.1  41.1   3   7    0.0001    0.0073   13.6   0.0   270   307   199   236   192   244 0.90 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 54603at50557         -            483   6.6e-31  106.1  41.1   4   7   1.2e-09   8.5e-08   29.9   1.7    56   139   245   330   238   334 0.87 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 54603at50557         -            483   6.6e-31  106.1  41.1   5   7     5e-06   0.00036   17.9   0.7   341   415   324   402   321   434 0.80 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 54603at50557         -            483   6.6e-31  106.1  41.1   6   7    0.0018      0.13    9.5   0.1   270   309   458   497   455   508 0.92 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 54603at50557         -            483   6.6e-31  106.1  41.1   7   7   2.6e-06   0.00019   18.9   0.1    40   153   617   742   612   746 0.80 -
25718at50557_136037_0:000614|STRG.11039.1:1296-3854|+   -            853 54603at50557         -            483   3.8e-28   97.0  36.1   1   3   2.5e-08   1.8e-06   25.5   0.7   183   312    53   195    25   200 0.64 -
25718at50557_136037_0:000614|STRG.11039.1:1296-3854|+   -            853 54603at50557         -            483   3.8e-28   97.0  36.1   2   3   1.3e-18   9.1e-17   59.5  20.7    39   394   179   571   171   581 0.81 -
25718at50557_136037_0:000614|STRG.11039.1:1296-3854|+   -            853 54603at50557         -            483   3.8e-28   97.0  36.1   3   3   6.9e-08     5e-06   24.1   1.3    40   156   690   810   684   826 0.80 -
25718at50557_136037_0:000614|STRG.11039.2:333-2891|+    -            853 54603at50557         -            483   3.8e-28   97.0  36.1   1   3   2.5e-08   1.8e-06   25.5   0.7   183   312    53   195    25   200 0.64 -
25718at50557_136037_0:000614|STRG.11039.2:333-2891|+    -            853 54603at50557         -            483   3.8e-28   97.0  36.1   2   3   1.3e-18   9.1e-17   59.5  20.7    39   394   179   571   171   581 0.81 -
25718at50557_136037_0:000614|STRG.11039.2:333-2891|+    -            853 54603at50557         -            483   3.8e-28   97.0  36.1   3   3   6.9e-08     5e-06   24.1   1.3    40   156   690   810   684   826 0.80 -
8280at50557_7160_0:00112a|STRG.5577.1:1342-2520|+       -            393 54603at50557         -            483   7.4e-28   96.1   8.1   1   3   3.1e-17   2.2e-15   54.9   0.0   278   418     8   160     2   163 0.86 -
8280at50557_7160_0:00112a|STRG.5577.1:1342-2520|+       -            393 54603at50557         -            483   7.4e-28   96.1   8.1   2   3   1.1e-08   8.3e-07   26.6   0.1    57   124   119   188   113   193 0.87 -
8280at50557_7160_0:00112a|STRG.5577.1:1342-2520|+       -            393 54603at50557         -            483   7.4e-28   96.1   8.1   3   3   2.3e-10   1.6e-08   32.3   1.8   268   389   166   297   163   305 0.84 -
8280at50557_7160_0:00112a|STRG.5577.2:312-1490|+        -            393 54603at50557         -            483   7.4e-28   96.1   8.1   1   3   3.1e-17   2.2e-15   54.9   0.0   278   418     8   160     2   163 0.86 -
8280at50557_7160_0:00112a|STRG.5577.2:312-1490|+        -            393 54603at50557         -            483   7.4e-28   96.1   8.1   2   3   1.1e-08   8.3e-07   26.6   0.1    57   124   119   188   113   193 0.87 -
8280at50557_7160_0:00112a|STRG.5577.2:312-1490|+        -            393 54603at50557         -            483   7.4e-28   96.1   8.1   3   3   2.3e-10   1.6e-08   32.3   1.8   268   389   166   297   163   305 0.84 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 54603at50557         -            483     7e-26   89.5  46.7   1   5    0.0016      0.11    9.7   1.6    58   118     8    71     4   108 0.76 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 54603at50557         -            483     7e-26   89.5  46.7   2   5     0.058       4.2    4.5   0.1   349   418    98   171    88   178 0.70 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 54603at50557         -            483     7e-26   89.5  46.7   3   5   5.4e-09   3.9e-07   27.7   7.7   266   414   203   367   180   375 0.69 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 54603at50557         -            483     7e-26   89.5  46.7   4   5     5e-13   3.6e-11   41.0   5.8    81   222   414   575   411   581 0.81 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 54603at50557         -            483     7e-26   89.5  46.7   5   5   5.5e-07     4e-05   21.1   4.1    62   149   613   702   587   741 0.79 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 54603at50557         -            483   7.3e-26   89.5  46.3   1   4   5.4e-09   3.9e-07   27.7  18.4    58   413     8   366     4   370 0.68 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 54603at50557         -            483   7.3e-26   89.5  46.3   2   4     6e-13   4.3e-11   40.8   5.7    81   222   414   575   412   580 0.81 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 54603at50557         -            483   7.3e-26   89.5  46.3   3   4   0.00011    0.0083   13.4   0.7    37   149   509   631   503   632 0.67 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 54603at50557         -            483   7.3e-26   89.5  46.3   4   4   3.2e-07   2.3e-05   21.9   2.5    67   149   618   702   603   732 0.75 -
83902at50557_13686_0:0017a1|STRG.4680.1:0-851|+         -            284 54603at50557         -            483   4.3e-25   86.9  19.5   1   2   1.1e-09   8.1e-08   30.0   2.9    40   140    32   136    11   140 0.61 -
83902at50557_13686_0:0017a1|STRG.4680.1:0-851|+         -            284 54603at50557         -            483   4.3e-25   86.9  19.5   2   2   7.9e-22   5.7e-20   70.1   8.9   264   425    48   217    40   229 0.89 -
83902at50557_319348_0:0019ae|STRG.14336.1:471-1037|+    -            189 54603at50557         -            483   4.5e-25   86.9   4.7   1   1   9.4e-27   6.8e-25   86.3   4.7   271   435     8   178     4   189 0.91 -
83902at50557_7165_0:002695|STRG.3556.1:165-677|+        -            171 54603at50557         -            483   7.5e-25   86.1   9.0   1   2   1.2e-14   8.3e-13   46.4   0.7    57   138    40   121    33   122 0.96 -
83902at50557_7165_0:002695|STRG.3556.1:165-677|+        -            171 54603at50557         -            483   7.5e-25   86.1   9.0   2   2   6.4e-16   4.6e-14   50.6   2.1   352   435    82   166    80   170 0.95 -
54603at50557_116153_0:001d7a|STRG.14138.3:956-1822|+    -            289 54603at50557         -            483   4.1e-24   83.7  13.4   1   3   1.7e-08   1.2e-06   26.1   0.4   379   435     5    61     2    81 0.86 -
54603at50557_116153_0:001d7a|STRG.14138.3:956-1822|+    -            289 54603at50557         -            483   4.1e-24   83.7  13.4   2   3   1.3e-06   9.7e-05   19.8   0.0   159   205   137   183   103   186 0.79 -
54603at50557_116153_0:001d7a|STRG.14138.3:956-1822|+    -            289 54603at50557         -            483   4.1e-24   83.7  13.4   3   3   3.6e-13   2.6e-11   41.5   4.0   336   433   188   288   185   289 0.92 -
83902at50557_568069_0:000a01|STRG.11078.2:405-995|+     -            197 54603at50557         -            483   5.4e-24   83.3   9.3   1   2   1.7e-09   1.2e-07   29.4   0.8   337   434     2   102     1   107 0.94 -
83902at50557_568069_0:000a01|STRG.11078.2:405-995|+     -            197 54603at50557         -            483   5.4e-24   83.3   9.3   2   2   1.7e-18   1.2e-16   59.1   2.2   344   435   102   195    99   197 0.91 -
83902at50557_568069_0:000a01|STRG.11078.3:126-716|+     -            197 54603at50557         -            483   5.4e-24   83.3   9.3   1   2   1.7e-09   1.2e-07   29.4   0.8   337   434     2   102     1   107 0.94 -
83902at50557_568069_0:000a01|STRG.11078.3:126-716|+     -            197 54603at50557         -            483   5.4e-24   83.3   9.3   2   2   1.7e-18   1.2e-16   59.1   2.2   344   435   102   195    99   197 0.91 -
109776at50557_69004_0:002548|STRG.10819.1:147-647|+     -            167 54603at50557         -            483   1.6e-23   81.7   6.6   1   2   1.2e-09   8.7e-08   29.9   0.2   368   425     8    66     1    70 0.77 -
109776at50557_69004_0:002548|STRG.10819.1:147-647|+     -            167 54603at50557         -            483   1.6e-23   81.7   6.6   2   2   7.6e-18   5.5e-16   56.9   1.7   330   434    61   167    59   167 0.93 -
83902at50557_568069_0:000a01|STRG.11078.1:405-1016|+    -            204 54603at50557         -            483   4.3e-23   80.3  10.4   1   2   1.9e-09   1.3e-07   29.2   0.9   337   435     2   103     1   110 0.93 -
83902at50557_568069_0:000a01|STRG.11078.1:405-1016|+    -            204 54603at50557         -            483   4.3e-23   80.3  10.4   2   2   2.6e-17   1.9e-15   55.1   2.8   351   435   117   202   107   204 0.93 -
109776at50557_13249_0:0026b7|STRG.14138.3:391-858|+     -            156 54603at50557         -            483   7.1e-22   76.3  14.2   1   2   9.8e-18   7.1e-16   56.5   9.2   329   419    20   112     5   114 0.86 -
109776at50557_13249_0:0026b7|STRG.14138.3:391-858|+     -            156 54603at50557         -            483   7.1e-22   76.3  14.2   2   2   7.1e-09   5.1e-07   27.3   0.3    66   119   103   156   101   156 0.95 -
109776at50557_13249_0:0026b7|STRG.14138.4:99-716|+      -            206 54603at50557         -            483   1.4e-21   75.3  15.8   1   2   5.3e-18   3.8e-16   57.4  11.2   274   421     7   164     3   166 0.76 -
109776at50557_13249_0:0026b7|STRG.14138.4:99-716|+      -            206 54603at50557         -            483   1.4e-21   75.3  15.8   2   2   1.7e-07   1.2e-05   22.7   0.1    72   119   159   206   157   206 0.93 -
8280at50557_121225_0:0005bf|STRG.9002.1:160-1965|+      -            602 54603at50557         -            483   5.4e-21   73.4  33.5   1   6     2e-07   1.5e-05   22.5   1.5    80   139    48   108     6   123 0.61 -
8280at50557_121225_0:0005bf|STRG.9002.1:160-1965|+      -            602 54603at50557         -            483   5.4e-21   73.4  33.5   2   6      0.15        11    3.2   1.0    11   138   151   285   143   286 0.68 -
8280at50557_121225_0:0005bf|STRG.9002.1:160-1965|+      -            602 54603at50557         -            483   5.4e-21   73.4  33.5   3   6   1.5e-06   0.00011   19.6   1.2   336   419   275   360   266   363 0.87 -
8280at50557_121225_0:0005bf|STRG.9002.1:160-1965|+      -            602 54603at50557         -            483   5.4e-21   73.4  33.5   4   6   0.00065     0.047   11.0   0.0   277   314   350   387   341   392 0.88 -
8280at50557_121225_0:0005bf|STRG.9002.1:160-1965|+      -            602 54603at50557         -            483   5.4e-21   73.4  33.5   5   6   4.3e-07   3.1e-05   21.4   0.4    83   146   393   458   388   461 0.84 -
8280at50557_121225_0:0005bf|STRG.9002.1:160-1965|+      -            602 54603at50557         -            483   5.4e-21   73.4  33.5   6   6   6.1e-06   0.00044   17.6   1.7   103   185   483   578   458   598 0.67 -
8280at50557_121225_0:0005bf|STRG.9002.2:78-1883|+       -            602 54603at50557         -            483   5.4e-21   73.4  33.5   1   6     2e-07   1.5e-05   22.5   1.5    80   139    48   108     6   123 0.61 -
8280at50557_121225_0:0005bf|STRG.9002.2:78-1883|+       -            602 54603at50557         -            483   5.4e-21   73.4  33.5   2   6      0.15        11    3.2   1.0    11   138   151   285   143   286 0.68 -
8280at50557_121225_0:0005bf|STRG.9002.2:78-1883|+       -            602 54603at50557         -            483   5.4e-21   73.4  33.5   3   6   1.5e-06   0.00011   19.6   1.2   336   419   275   360   266   363 0.87 -
